gene_id	TCGA-BH-A18U-01A-21R-A12D-07	gene_id	TCGA-BH-A18U-11A-23R-A12D-07
C1orf35	299.6834	C1orf35	166.5094
C1orf38	279.6342	C1orf38	377.3585
C1orf43	8145.9726	C1orf43	3542.9245
C1orf50	102.0049	C1orf50	125
C1orf51	183.9606	C1orf51	87.7358
C1orf52	244.1083	C1orf52	322.6415
C1orf53	15.8284	C1orf53	13.6792
C1orf54	104.4671	C1orf54	85.8491
C1orf55	1103.0601	C1orf55	838.6792
C1orf56	187.3092	C1orf56	116.4245
C1orf57	908.1956	C1orf57	383.4906
C1orf58	960.1935	C1orf58	423.5849
C1orf59	324.3053	C1orf59	255.6604
removed	removed	C1orf61	16.0377
C1orf63	413.2958	C1orf63	398.1132
C1orf64	29.5463	C1orf64	337.2642
C1orf66	964.8259	C1orf66	572.6415
C1orf69	172.0014	C1orf69	314.1509
C1orf74	188.885	C1orf74	145.7547
C1orf77	2774.1822	C1orf77	1447.6415
C1orf83	248.681	C1orf83	177.3585
C1orf84	9.6236	C1orf84	12.9953
C1orf85	808.3011	C1orf85	780.6604
C1orf86	92.8667	C1orf86	157.5943
C1orf88	251.1432	C1orf88	285.3774
C1orf89	54.8716	C1orf89	52.8302
C1orf91	187.0102	C1orf91	169.3113
C1orf93	638.6247	C1orf93	700.0708
removed	removed	C1orf95	100.9434
C1orf96	944.4249	C1orf96	508.0189
C1orf97	404.854	C1orf97	83.0189
C1orf9	2674.9912	C1orf9	1920.283
C20orf103	66.1273	C20orf103	8.0189
C20orf107	5.2761	removed	removed
C20orf108	4636.6514	C20orf108	3635.8491
C20orf111	1444.9525	C20orf111	803.3019
C20orf112	922.9687	C20orf112	800.9434
C20orf114	5.6279	C20orf114	32.0755
C20orf117	544.4953	C20orf117	609.9057
C20orf118	10.4713	C20orf118	27.4434
C20orf11	3366.5142	C20orf11	1678.7736
C20orf12	206.8238	C20orf12	183.4906
C20orf132	6.3313	C20orf132	20.7594
C20orf134	42.2089	C20orf134	21.6981
C20orf135	48.1885	C20orf135	48.1132
C20orf151	120.6472	C20orf151	72.1698
C20orf160	48.1885	C20orf160	121.6981
removed	removed	C20orf165	6.1321
C20orf177	680.0915	C20orf177	202.8302
C20orf191	24.6219	removed	removed
C20orf194	389.7292	C20orf194	897.6415
removed	removed	C20orf195	5.1887
C20orf196	65.0721	C20orf196	44.8113
removed	removed	C20orf197	9.434
C20orf199	4845.9374	C20orf199	1531.1321
C20orf202	8.09	removed	removed
C20orf203	9.497	C20orf203	10.3774
C20orf20	588.8146	C20orf20	217.4528
C20orf24	1944.9384	C20orf24	782.3019
C20orf26	38.3398	C20orf26	8.0189
C20orf27	689.0609	C20orf27	336.3208
C20orf29	303.5526	C20orf29	168.8679
C20orf30	4895.5329	C20orf30	2175.9434
C20orf3	7697.1509	C20orf3	2755.1887
C20orf43	3015.4766	C20orf43	2029.717
C20orf46	11.9592	C20orf46	16.5094
C20orf4	1916.6374	C20orf4	1110.3774
C20orf54	580.7246	C20orf54	334.9057
C20orf72	1474.4988	C20orf72	600.4717
C20orf7	189.2367	C20orf7	126.4151
C20orf94	71.4034	C20orf94	27.8302
C20orf96	238.8322	C20orf96	270.7547
C21orf119	130.496	C21orf119	79.2453
C21orf122	18.2905	C21orf122	43.3962
C21orf125	5.9796	C21orf125	6.1321
C21orf15	34.8224	C21orf15	24.0566
removed	removed	C21orf29	7.0755
C21orf2	93.9149	C21orf2	358.4906
C21orf33	1155.8213	C21orf33	1355.1887
C21orf34	11.9592	C21orf34	154.717
C21orf45	429.1242	C21orf45	178.7736
C21orf49	10.2005	C21orf49	12.2642
C21orf56	142.8069	C21orf56	111.7925
C21orf57	169.891	C21orf57	131.1321
C21orf58	221.5969	C21orf58	70.283
C21orf59	651.924	C21orf59	674.5283
C21orf63	64.3686	C21orf63	693.8679
C21orf67	69.9965	C21orf67	87.2642
C21orf70	102.7084	C21orf70	108.4906
C21orf7	73.1622	C21orf7	47.1698
C21orf81	7.0348	removed	removed
C21orf88	210.6929	C21orf88	70.283
C21orf91	511.4316	C21orf91	653.3019
C22orf13	2513.7742	C22orf13	1873.6085
C22orf23	71.0517	C22orf23	115.566
C22orf25	536.7569	C22orf25	407.5472
C22orf26	14.0696	C22orf26	6.1321
C22orf27	151.9522	C22orf27	148.1132
C22orf28	2380.9356	C22orf28	1746.6981
C22orf29	1119.0011	C22orf29	663.566
C22orf30	1760.4643	C22orf30	1288.2075
C22orf32	1128.0338	C22orf32	798.1132
C22orf34	7.0348	removed	removed
C22orf36	195.2163	C22orf36	168.3962
C22orf39	826.5916	C22orf39	583.9623
C22orf40	249.7362	C22orf40	114.1509
C22orf41	23.5667	C22orf41	5.6604
C22orf46	420.6824	C22orf46	659.434
C22orf9	1967.2881	C22orf9	1808.0189
C2CD2L	860.2814	C2CD2L	342.3774
C2CD2	402.7436	C2CD2	1012.7358
C2CD3	1283.8551	C2CD3	766.5094
C2CD4A	34.4706	removed	removed
C2CD4B	5.2761	C2CD4B	108.9623
C2CD4C	5.9796	C2CD4C	26.4151
C2CD4D	6.6831	C2CD4D	12.2642
C2orf15	126.8027	C2orf15	64.7877
C2orf16	53.1129	C2orf16	47.1698
C2orf18	1603.236	C2orf18	1129.2453
C2orf24	1495.955	C2orf24	1183.0189
C2orf27A	50.299	C2orf27A	33.0189
C2orf28	2098.9905	C2orf28	1691.25
C2orf29	1702.427	C2orf29	851.8868
C2orf34	119.9437	C2orf34	58.0189
removed	removed	C2orf39	5.6604
C2orf3	464.2983	C2orf3	516.5094
removed	removed	C2orf40	672.6415
C2orf42	226.873	C2orf42	214.6226
C2orf43	138.586	C2orf43	271.6981
C2orf44	352.4446	C2orf44	193.3962
C2orf47	370.7351	C2orf47	219.3396
C2orf48	24.2701	removed	removed
C2orf49	165.6701	C2orf49	143.8679
C2orf50	18.6423	C2orf50	17.4528
C2orf52	26.0288	C2orf52	9.9057
C2orf54	5.9796	C2orf54	22.6415
C2orf55	331.3401	C2orf55	327.8302
C2orf56	234.2596	C2orf56	242.4528
C2orf58	15.8284	C2orf58	16.9811
C2orf60	243.0531	C2orf60	229.2453
C2orf63	54.8716	C2orf63	111.3208
C2orf64	712.9792	C2orf64	409.9057
C2orf65	8.09	C2orf65	11.3208
C2orf67	340.904	C2orf67	517.7877
C2orf68	896.9399	C2orf68	783.9623
C2orf69	568.4136	C2orf69	353.7736
C2orf70	12.6627	removed	removed
C2orf72	58.0373	C2orf72	234.434
removed	removed	C2orf73	7.5472
C2orf74	60.8512	C2orf74	144.3396
C2orf76	106.9293	C2orf76	58.9623
C2orf77	192.7541	C2orf77	300.9434
C2orf79	153.7109	C2orf79	184.9057
C2orf7	262.7506	C2orf7	209.434
C2orf81	111.1643	C2orf81	53.934
removed	removed	C2orf82	16.0377
removed	removed	C2orf84	11.7925
C2orf86	106.2258	C2orf86	140.566
C2orf88	17.5871	C2orf88	296.6981
C2orf89	5.6279	C2orf89	27.8302
C2	1213.2782	C2	435.9811
C3AR1	467.8157	C3AR1	324.0566
C3orf10	5062.6099	C3orf10	2584.434
C3orf14	1513.8938	C3orf14	304.2453
C3orf15	287.7242	C3orf15	174.5283
C3orf17	1175.8706	C3orf17	1093.3962
C3orf18	157.9318	C3orf18	239.6226
C3orf19	509.3211	C3orf19	452.8302
C3orf1	1767.8509	C3orf1	829.717
C3orf21	201.5477	C3orf21	197.6415
C3orf23	640.5206	C3orf23	360.3774
C3orf26	981.006	C3orf26	384.434
C3orf31	233.2044	C3orf31	181.6038
C3orf32	16.5318	C3orf32	6.6038
C3orf33	164.6148	C3orf33	112.2642
C3orf34	122.0542	C3orf34	55.1887
C3orf35	5.6279	C3orf35	9.434
C3orf36	6.3313	removed	removed
C3orf37	1351.3894	C3orf37	1010.3774
C3orf38	682.0155	C3orf38	316.0377
C3orf39	895.8846	C3orf39	518.3962
C3orf42	10.2005	C3orf42	38.6792
C3orf47	22.1597	C3orf47	42.4528
C3orf52	505.1002	C3orf52	196.2264
C3orf54	14.4214	C3orf54	40.566
removed	removed	C3orf55	79.2453
C3orf57	2185.3676	C3orf57	147.6415
C3orf58	399.5779	C3orf58	809.9057
C3orf59	233.5561	C3orf59	274.5283
C3orf62	200.1407	C3orf62	131.1321
C3orf63	3310.3095	C3orf63	2048.7642
C3orf64	395.0053	C3orf64	1475
C3orf67	118.8885	C3orf67	15.0943
C3orf70	35.1741	C3orf70	238.2075
C3orf71	85.4731	C3orf71	26.4151
C3orf75	558.2132	C3orf75	321.6981
C3	5678.8604	C3	21994.3396
C4A	36838.5966	C4A	18330.1604
removed	removed	C4BPA	171.2264
removed	removed	C4BPB	25
C4orf10	193.2958	C4orf10	320.8915
C4orf12	13.7179	C4orf12	45.7547
C4orf14	342.9476	C4orf14	631.6038
C4orf19	216.5178	C4orf19	208.4575
C4orf21	142.1034	C4orf21	103.3019
C4orf23	123.4611	C4orf23	279.2453
C4orf27	597.2564	C4orf27	374.0566
C4orf29	123.8129	C4orf29	116.5094
C4orf31	48.5403	C4orf31	154.2453
C4orf32	1235.6665	C4orf32	951.8868
C4orf33	105.8741	C4orf33	174.5283
C4orf34	956.0324	C4orf34	1127.8302
removed	removed	C4orf36	16.0377
removed	removed	C4orf38	11.3208
removed	removed	C4orf39	49.5283
C4orf3	2664.439	C4orf3	3386.7925
C4orf41	883.2219	C4orf41	1086.7925
C4orf42	342.2441	C4orf42	342.9245
C4orf43	355.962	C4orf43	313.2075
C4orf46	184.6641	C4orf46	140.6085
C4orf47	35.8776	C4orf47	18.8679
removed	removed	C4orf48	5.1887
C4orf49	6.6831	C4orf49	48.5849
C4orf52	105.5223	C4orf52	262.7358
removed	removed	C4orf7	1167.9245
C5AR1	320.7879	C5AR1	213.2075
C5orf13	1625.044	C5orf13	768.3962
C5orf15	2161.4492	C5orf15	1531.6038
removed	removed	C5orf20	7.0755
C5orf22	635.2445	C5orf22	549.5283
C5orf23	120.6472	C5orf23	356.6038
C5orf24	1591.9803	C5orf24	1400
C5orf25	179.4724	C5orf25	203.7736
C5orf27	8.7935	C5orf27	47.6415
C5orf28	535.35	C5orf28	299.5283
C5orf30	1740.4151	C5orf30	302.3585
C5orf32	1009.497	C5orf32	752.3585
C5orf33	1239.184	C5orf33	718.3962
C5orf34	216.6725	C5orf34	53.3019
C5orf35	185.7193	C5orf35	108.4906
C5orf36	111.5019	C5orf36	79.2453
C5orf38	54.5199	C5orf38	33.4906
C5orf39	20.7527	C5orf39	41.0377
C5orf41	401.3366	C5orf41	847.6415
C5orf42	233.9078	C5orf42	724.5283
C5orf43	1613.7883	C5orf43	1029.717
C5orf44	744.4812	C5orf44	501.3868
C5orf45	285.1882	C5orf45	178.2406
C5orf46	129.4407	C5orf46	27.3585
C5orf49	55.5751	C5orf49	35.3774
C5orf4	181.1467	C5orf4	1423.1132
C5orf51	1765.0369	C5orf51	823.5849
C5orf53	166.7253	C5orf53	292.9245
C5orf54	235.3148	C5orf54	85.8491
C5orf55	117.1298	C5orf55	63.2075
C5orf56	52.4727	C5orf56	89.4198
C5orf58	34.8224	C5orf58	11.3208
C5orf62	554.344	C5orf62	538.6792
C5	233.5561	C5	218.8679
C6orf105	86.8801	C6orf105	56.1321
C6orf106	3532.8878	C6orf106	3014.6226
C6orf108	316.9187	C6orf108	188.2075
C6orf114	12.3109	C6orf114	12.7358
C6orf115	744.9877	C6orf115	430.1887
C6orf120	1221.0763	C6orf120	863.0708
C6orf122	9.796	C6orf122	14.6226
removed	removed	C6orf123	9.434
C6orf124	7.7383	C6orf124	33.0189
C6orf125	1356.8449	C6orf125	443.9057
C6orf126	108.688	removed	removed
C6orf127	22.8632	removed	removed
C6orf129	461.8361	C6orf129	100.9434
C6orf130	748.4348	C6orf130	336.7594
C6orf132	160.394	C6orf132	269.8113
C6orf134	332.7471	C6orf134	241.5094
C6orf136	370.0317	C6orf136	146.6981
removed	removed	C6orf138	21.2264
C6orf141	22.1597	C6orf141	65.566
C6orf145	239.184	C6orf145	1515.566
removed	removed	C6orf147	6.1321
C6orf150	79.4935	C6orf150	41.9811
C6orf153	1149.8417	C6orf153	510.8491
C6orf154	69.293	C6orf154	16.9811
C6orf155	6.3313	C6orf155	162.7358
removed	removed	C6orf15	24.5283
C6orf162	86.6901	C6orf162	131.1038
C6orf163	5.2761	C6orf163	15.0943
C6orf164	7.5765	C6orf164	6.1604
C6orf165	42.4446	C6orf165	13.2075
C6orf167	268.7302	C6orf167	399.5283
C6orf168	136.4756	C6orf168	206.6038
C6orf170	138.2343	C6orf170	128.3019
C6orf174	18.6423	C6orf174	119.5943
removed	removed	C6orf176	20.217
C6orf182	322.5466	C6orf182	123.1132
C6orf186	5.9796	C6orf186	7.5472
C6orf192	107.9845	C6orf192	512.2642
removed	removed	C6orf195	5.6604
C6orf1	690.1161	C6orf1	194.8113
removed	removed	C6orf201	11.3302
C6orf203	405.2058	C6orf203	186.7925
C6orf204	13.3662	C6orf204	56.1321
removed	removed	C6orf208	5.6604
C6orf211	4406.261	C6orf211	958.9623
removed	removed	C6orf217	18.3962
C6orf223	5.2761	removed	removed
C6orf225	219.1347	C6orf225	230.1887
C6orf226	123.8129	C6orf226	46.2264
C6orf26	44.7415	C6orf26	28.0283
C6orf27	10.2005	C6orf27	122.1698
C6orf35	312.6979	C6orf35	371.6981
removed	removed	C6orf41	9.434
C6orf47	741.822	C6orf47	673.5849
C6orf48	2655.9972	C6orf48	1387.7358
C6orf52	10.5522	C6orf52	9.434
C6orf57	68.5895	C6orf57	86.7925
removed	removed	C6orf59	12.2642
C6orf62	5452.3531	C6orf62	3100.9906
C6orf64	1908.8991	C6orf64	681.1321
C6orf70	428.7724	C6orf70	358.0189
C6orf72	818.1498	C6orf72	918.3962
C6orf81	11.6075	removed	removed
C6orf89	2816.0394	C6orf89	3746.6981
C6orf97	269.7854	C6orf97	376.8868
C6	7.3866	C6	29.2453
C7orf10	112.5572	C7orf10	22.6415
C7orf11	317.974	C7orf11	226.8868
C7orf13	64.3686	C7orf13	79.2453
C7orf23	200.4256	C7orf23	275
C7orf25	358.2202	C7orf25	239.3821
C7orf26	250.4397	C7orf26	490.566
C7orf27	362.9968	C7orf27	590.0943
C7orf28A	569.1171	C7orf28A	554.717
C7orf28B	921.5617	C7orf28B	718.8679
C7orf29	111.1502	C7orf29	191.0377
C7orf30	281.7446	C7orf30	256.1321
C7orf31	22.8632	C7orf31	133.9623
C7orf36	213.5069	C7orf36	183.4906
C7orf40	696.4474	C7orf40	290.0943
C7orf41	890.2568	C7orf41	2601.4151
C7orf42	2047.8368	C7orf42	3076.4151
C7orf43	253.2536	C7orf43	195.283
C7orf44	641.5758	C7orf44	518.8679
C7orf46	102.3567	C7orf46	177.3585
C7orf47	159.6905	C7orf47	71.6981
C7orf49	463.3345	C7orf49	418.7311
C7orf50	474.147	C7orf50	546.6981
removed	removed	C7orf51	42.4528
C7orf53	6.3313	C7orf53	19.3396
C7orf55	157.9318	C7orf55	163.6792
C7orf58	128.7372	C7orf58	584.9057
C7orf59	973.9712	C7orf59	757.5472
C7orf60	314.1048	C7orf60	339.1509
removed	removed	C7orf61	7.5472
C7orf63	102.7084	C7orf63	226.8868
C7orf64	270.8407	C7orf64	265.0943
C7orf68	1292.6486	C7orf68	169.8113
C7orf70	465.0018	C7orf70	338.2075
C7	14.7731	C7	1212.7358
C8ORFK29	25.0158	removed	removed
C8orf30A	1167.077	C8orf30A	249.0566
C8orf33	2735.4907	C8orf33	1164.1509
C8orf34	8.7935	C8orf34	24.5283
C8orf37	199.789	C8orf37	91.9811
C8orf38	715.7932	C8orf38	212.2642
C8orf39	9.1453	C8orf39	8.9623
C8orf40	312.6979	C8orf40	572.6415
C8orf41	380.1266	C8orf41	212.6179
C8orf42	201.1959	C8orf42	474.5283
C8orf44	44.3299	C8orf44	37.7877
C8orf45	52.4094	C8orf45	37.2642
C8orf46	17.2353	C8orf46	77.8302
removed	removed	C8orf47	7.5472
C8orf48	49.9472	C8orf48	18.8679
C8orf4	3001.7587	C8orf4	815.566
C8orf51	257.1228	C8orf51	40.0943
C8orf55	1405.5575	C8orf55	860.8491
C8orf56	15.4555	removed	removed
C8orf58	141.7517	C8orf58	249.0566
C8orf59	1088.076	C8orf59	451.2028
C8orf73	63.3134	C8orf73	53.3019
C8orf76	614.4917	C8orf76	237.3208
C8orf77	17.5871	removed	removed
C8orf79	747.8016	C8orf79	634.9057
C8orf80	16.8836	C8orf80	17.9245
C8orf83	800.211	C8orf83	688.2075
C8orf84	174.4636	C8orf84	684.9057
C8orf85	1431.9381	C8orf85	1313.6792
C8orf86	25.6771	removed	removed
C9orf100	241.2346	C9orf100	88.8491
C9orf102	158.7619	C9orf102	208.3774
C9orf103	74.5691	C9orf103	94.8113
C9orf106	33.7671	removed	removed
C9orf109	63.3134	C9orf109	18.3962
C9orf110	429.1242	C9orf110	143.8679
C9orf114	509.2156	C9orf114	444.5472
C9orf116	268.3785	C9orf116	43.8679
C9orf117	26.3806	C9orf117	10.3774
C9orf119	404.854	C9orf119	252.3585
C9orf122	56.9821	C9orf122	40.566
C9orf123	282.0964	C9orf123	566.9811
C9orf125	13.0144	C9orf125	84.9057
C9orf129	97.9036	C9orf129	97.9057
C9orf130	61.3577	C9orf130	238.7264
removed	removed	C9orf131	7.0755
C9orf139	8.389	removed	removed
C9orf140	1488.9202	C9orf140	160.3774
C9orf142	359.8312	C9orf142	139.1509
C9orf150	1662.6803	C9orf150	398.1132
C9orf152	470.2779	C9orf152	346.2264
C9orf156	181.1467	C9orf156	312.7358
C9orf163	27.0841	C9orf163	6.6038
C9orf167	66.1273	C9orf167	67.9245
C9orf169	43.1024	C9orf169	5.0047
C9orf16	580.3728	C9orf16	417.4528
C9orf172	10.904	removed	removed
C9orf21	112.2054	C9orf21	278.3019
C9orf23	428.4207	C9orf23	283.9623
C9orf25	429.8276	C9orf25	514.1509
C9orf30	154.6957	C9orf30	178.4811
C9orf37	254.6606	C9orf37	151.8868
C9orf3	342.6345	C9orf3	597.467
C9orf40	39.7467	C9orf40	124.0566
C9orf41	332.7471	C9orf41	159.9057
C9orf43	54.8716	C9orf43	5.6604
C9orf45	100.598	C9orf45	238.2075
C9orf46	326.7675	C9orf46	249.5283
C9orf47	32.7401	C9orf47	11.8066
C9orf5	2731.2698	C9orf5	2832.5472
C9orf64	452.6908	C9orf64	390.0943
removed	removed	C9orf66	40.0943
C9orf68	5.9796	C9orf68	107.0755
C9orf69	713.6827	C9orf69	604.717
C9orf6	773.4787	C9orf6	442.4528
C9orf72	166.7253	C9orf72	412.2642
C9orf78	1287.0208	C9orf78	1204.2453
C9orf7	688.3574	C9orf7	463.6792
C9orf80	478.7197	C9orf80	269.8113
C9orf82	306.0148	C9orf82	349.5283
C9orf84	18.2905	removed	removed
C9orf85	151.9522	C9orf85	133.9623
C9orf86	1887.7946	C9orf86	1274.0566
C9orf89	248.3292	C9orf89	227.8302
C9orf91	1205.7686	C9orf91	725.9434
C9orf93	32.7119	C9orf93	91.5094
C9orf95	190.2919	C9orf95	359.9057
C9orf96	21.8079	C9orf96	15.0943
C9orf98	135.4203	C9orf98	34.9057
C9orf9	306.7183	C9orf9	157.0755
CA10	116.7781	removed	removed
CA11	71.7552	CA11	340.0943
CA12	9420.6824	CA12	4356.1321
CA13	22.5114	CA13	236.4858
CA14	14.7731	CA14	12.2642
removed	removed	CA1	5.1887
CA2	399.2262	CA2	3458.4906
removed	removed	CA3	446.533
removed	removed	CA4	141.5094
CA5BP	189.2367	CA5BP	233.0189
CA5B	413.2958	CA5B	507.7217
removed	removed	CA6	11.3208
CA8	182.5536	CA8	406.6038
CA9	73.5702	removed	removed
CAB39L	468.1674	CAB39L	1781.6038
CAB39	2159.6905	CAB39	1949.0566
CABC1	976.0816	CABC1	1402.7358
CABIN1	1805.8389	CABIN1	1533.0189
CABLES1	564.8962	CABLES1	866.0377
CABLES2	304.6078	CABLES2	259.9057
removed	removed	CABP1	11.3208
CABP4	25.9128	CABP4	17.4528
removed	removed	CABP7	6.0425
CABYR	170.2427	CABYR	130.1887
CACHD1	70.3482	CACHD1	1153.7736
CACNA1A	8.7935	CACNA1A	32.0755
CACNA1B	29.898	removed	removed
CACNA1C	150.8969	CACNA1C	507.5472
CACNA1D	916.9891	CACNA1D	244.8113
CACNA1F	15.4766	CACNA1F	8.0189
removed	removed	CACNA1G	91.0377
CACNA1H	316.2153	CACNA1H	59.434
CACNA1I	24.9736	CACNA1I	35.3774
CACNA2D1	47.4851	CACNA2D1	163.2075
CACNA2D2	432.2898	CACNA2D2	158.4906
removed	removed	CACNA2D3	6.1321
CACNA2D4	25.3254	CACNA2D4	51.8868
CACNB1	121.3507	CACNB1	141.0377
CACNB2	16.1801	CACNB2	91.9811
CACNB3	408.3714	CACNB3	330.1887
CACNB4	269.082	CACNB4	140.566
CACNG1	68.2378	removed	removed
CACNG4	1768.5543	CACNG4	318.8679
CACYBP	2550.4749	CACYBP	891.9811
CADM1	1956.7358	CADM1	1016.0377
removed	removed	CADM2	25
CADM3	6.2047	CADM3	196.0708
CADM4	207.879	CADM4	956.6038
CADPS2	1194.1611	CADPS2	1164.1509
CAD	907.1403	CAD	1242.9245
CALB2	89.3422	CALB2	348.5849
CALCOCO1	1395.7088	CALCOCO1	3304.717
CALCOCO2	3345.4098	CALCOCO2	2673.5849
CALCRL	472.3883	CALCRL	449.0566
removed	removed	CALCR	93.8679
CALD1	6181.8502	CALD1	13458.9623
CALHM1	79.1418	removed	removed
CALHM2	581.7798	CALHM2	566.9811
CALM1	6775.9409	CALM1	6520.283
CALM2	13919.0995	CALM2	9986.3208
CALM3	4466.7605	CALM3	3806.6038
removed	removed	CALML3	692.9245
CALML4	133.6616	CALML4	316.9811
removed	removed	CALML5	64.1509
removed	removed	CALN1	24.0566
CALR	14090.7492	CALR	11240.566
CALU	5444.249	CALU	3263.6792
CAMK1D	47.8368	CAMK1D	73.5849
CAMK1	80.8371	CAMK1	286.3349
CAMK2A	5.9796	removed	removed
removed	removed	CAMK2B	73.5849
CAMK2D	208.2307	CAMK2D	884.9057
CAMK2G	715.0897	CAMK2G	698.5849
CAMK2N1	1283.1516	CAMK2N1	1140.566
CAMK2N2	82.6592	CAMK2N2	6.6038
removed	removed	CAMK4	6.1321
CAMKK1	263.1024	CAMKK1	211.7925
CAMKK2	1149.8417	CAMKK2	1706.1321
CAMLG	1564.1928	CAMLG	884.434
CAMP	89.3422	removed	removed
CAMSAP1L1	1575.4485	CAMSAP1L1	1675
CAMSAP1	1114.6676	CAMSAP1	1064.6226
CAMTA1	306.7183	CAMTA1	503.7736
CAMTA2	525.1495	CAMTA2	1233.4906
removed	removed	CAND1	3043.8679
CAND2	18.6423	CAND2	183.4906
CANT1	2047.1333	CANT1	1611.7925
CANX	25927.1896	CANX	17204.717
CAP1	7714.0345	CAP1	6102.8302
CAP2	1374.2526	CAP2	475.9434
CAPG	1884.6289	CAPG	1887.7358
CAPN10	168.9764	CAPN10	181.8443
removed	removed	CAPN11	93.8679
CAPN12	46.6444	CAPN12	88.6651
CAPN13	1954.6254	CAPN13	139.1509
CAPN14	5.9796	CAPN14	7.5472
CAPN1	834.6817	CAPN1	4093.8679
CAPN2	4150.8969	CAPN2	6295.283
CAPN3	43.6265	CAPN3	211.684
CAPN5	134.3651	CAPN5	341.5094
removed	removed	CAPN6	305.1887
CAPN7	1408.0197	CAPN7	1115.566
CAPN8	218.4312	CAPN8	196.2264
CAPN9	95.6736	CAPN9	23.5849
CAPNS1	5430.8829	CAPNS1	5605.1887
CAPRIN1	8881.815	CAPRIN1	6527.8302
CAPRIN2	370.3834	CAPRIN2	391.0377
CAPS2	14.0696	CAPS2	71.2264
CAPSL	20.7527	removed	removed
CAPS	1002.4622	CAPS	215.0943
CAPZA1	2661.625	CAPZA1	2217.4528
CAPZA2	2082.6592	CAPZA2	1997.1698
removed	removed	CAPZA3	13.6792
CAPZB	3835.7369	CAPZB	3620.7547
CARD10	177.7664	CARD10	797.1698
CARD11	58.7408	CARD11	104.2453
CARD14	118.8885	CARD14	241.9811
CARD16	80.9005	CARD16	129.717
CARD6	101.6532	CARD6	325
CARD8	557.5097	CARD8	709.434
CARD9	28.8428	CARD9	70.7547
CARHSP1	1168.3433	CARHSP1	1149.2547
CARKD	663.7355	CARKD	1045.283
CARM1	659.8663	CARM1	733.4906
CARNS1	11.2557	CARNS1	41.0377
CARS2	347.872	CARS2	503.8208
CARS	945.4801	CARS	706.6038
CASC1	20.401	CASC1	56.1321
CASC2	82.3074	CASC2	59.9057
CASC3	2928.5966	CASC3	3053.3019
CASC4	2791.0658	CASC4	2996.2264
CASC5	691.8748	CASC5	58.4906
CASD1	425.255	CASD1	776.4151
removed	removed	CASKIN1	16.1981
CASKIN2	605.969	CASKIN2	1087.0377
CASK	882.5185	CASK	1364.6226
CASP10	120.6472	CASP10	277.8302
removed	removed	CASP12	6.6038
CASP14	2901.8642	removed	removed
CASP1	396.4122	CASP1	513.2075
CASP2	1454.4495	CASP2	841.5094
CASP3	925.4309	CASP3	562.7358
CASP4	529.7221	CASP4	824.0566
CASP6	265.5645	CASP6	316.0377
CASP7	1761.8713	CASP7	862.7358
CASP8AP2	468.1674	CASP8AP2	725
CASP8	889.5533	CASP8	474.5283
CASP9	185.7193	CASP9	277.8302
CASQ1	5.9796	CASQ1	10.8491
CASQ2	5.9796	CASQ2	65.566
CASS4	15.4766	CASS4	33.9623
CAST	4880.7351	CAST	5743.4151
CASZ1	593.3873	CASZ1	1016.5094
CATSPER2P1	63.8129	CATSPER2P1	27.4292
CATSPER2	42.5079	CATSPER2	37.7358
CATSPER3	18.7619	removed	removed
CATSPERB	217.376	CATSPERB	55.1887
CATSPERG	51.7059	CATSPERG	40.0943
CAT	849.4548	CAT	3252.3585
CAV1	763.63	CAV1	9196.2264
CAV2	295.8143	CAV2	3151.8868
CBARA1	1490.3271	CBARA1	1016.5094
CBFA2T2	1101.3014	CBFA2T2	829.717
CBFA2T3	15.1249	CBFA2T3	162.7358
CBFB	1167.077	CBFB	960.8491
CBLB	477.6644	CBLB	391.9811
CBLC	42.5607	CBLC	208.0189
CBLL1	1020.7527	CBLL1	647.6415
removed	removed	CBLN1	7.0755
CBLN3	38.6915	CBLN3	100
CBLN4	5.6279	CBLN4	312.7358
CBL	1518.1147	CBL	1247.1698
CBR1	820.8371	CBR1	665.2972
CBR3	236.0183	CBR3	240.0943
CBR4	563.1375	CBR4	553.7736
CBS	503.6933	CBS	298.5849
removed	removed	CBWD1	935.3774
CBWD2	743.9325	CBWD2	446.6981
CBWD3	544.235	CBWD3	286.3774
CBWD5	6.5916	CBWD5	5.6038
CBWD6	131.1994	CBWD6	202.8302
CBX1	2657.7559	CBX1	1591.0377
CBX2	810.7633	CBX2	96.2264
CBX3	4427.3655	CBX3	2558.9623
CBX4	1139.6412	CBX4	343.8679
CBX5	4282.4481	CBX5	4319.3396
CBX6	512.8386	CBX6	883.0189
CBX7	361.9416	CBX7	2614.1509
CBX8	337.3197	CBX8	67.4528
CBY1	535.6279	CBY1	558.066
CC2D1A	514.949	CC2D1A	1137.7358
CC2D1B	426.3102	CC2D1B	791.0377
CC2D2A	124.8681	CC2D2A	481.1321
CCAR1	2021.8079	CCAR1	1333.0189
CCBE1	7.7383	CCBE1	77.3585
CCBL1	256.4193	CCBL1	93.3962
CCBL2	355.2832	CCBL2	621.5802
CCBP2	19.3458	CCBP2	186.3208
CCDC101	460.0774	CCDC101	332.0755
CCDC102A	27.7875	CCDC102A	170.283
CCDC102B	48.1885	CCDC102B	67.9245
CCDC103	226.873	CCDC103	151.4151
CCDC104	1756.9469	CCDC104	827.3585
CCDC106	137.8825	CCDC106	203.7736
CCDC107	141.7552	CCDC107	460.2075
