gene_id	TCGA-BH-A18U-01A-21R-A12D-07	gene_id	TCGA-BH-A18U-11A-23R-A12D-07
ACIN1	2059.4442	ACIN1	3361.3208
ACLY	8784.031	ACLY	3140.0943
ACN9	81.9557	ACN9	100
ACO1	772.0718	ACO1	1418.8679
ACO2	4325.6349	ACO2	2128.7406
ACOT11	16.8836	ACOT11	40.6509
ACOT13	1237.4112	ACOT13	478.2547
ACOT1	479.4231	ACOT1	467.9245
ACOT2	269.4337	ACOT2	320.7547
ACOT4	247.9775	ACOT4	123.5849
ACOT6	6.6831	removed	removed
ACOT7	620.1196	ACOT7	253.7736
ACOT8	783.7847	ACOT8	232.4009
ACOT9	253.9571	ACOT9	557.0755
ACOX1	1531.4808	ACOX1	1693.5566
ACOX2	1497.7137	ACOX2	241.9811
ACOX3	229.3352	ACOX3	440.0943
ACP1	2148.7865	ACP1	1067.4528
ACP2	1018.2905	ACP2	684.9057
ACP5	1309.5322	ACP5	677.3585
ACP6	173.4084	ACP6	306.1321
ACPL2	570.1724	ACPL2	452.3585
removed	removed	ACPP	30.1887
ACRBP	33.4154	ACRBP	22.1698
ACRC	10.5522	ACRC	21.6981
removed	removed	ACR	10.3774
removed	removed	ACSBG1	25.4717
ACSF2	540.6261	ACSF2	774.5283
ACSF3	205.7686	ACSF3	402.8302
ACSL1	3052.7612	ACSL1	3993.8679
ACSL3	3810.0598	ACSL3	2814.6226
ACSL4	676.0464	ACSL4	1371.6981
ACSL5	151.2487	ACSL5	780.6604
ACSL6	14.7731	ACSL6	10.8491
ACSM1	44.3194	ACSM1	62.2642
ACSM3	37.1052	ACSM3	143.0472
ACSM5	10.904	ACSM5	188.6792
ACSS1	2390.7844	ACSS1	891.0377
ACSS2	981.006	ACSS2	1356.1321
ACSS3	248.3292	ACSS3	369.3396
ACTA1	10.5522	ACTA1	43.8679
ACTA2	7871.2592	ACTA2	38788.1604
removed	removed	ACTBL2	12.2642
ACTB	88531.1291	ACTB	82513.2075
ACTG1	163953.9219	ACTG1	59597.1698
ACTG2	158.6352	ACTG2	13612.2642
ACTL6A	3410.8336	ACTL6A	863.6792
ACTL8	6.3313	removed	removed
