gene_id	TCGA-BH-A0BQ-01A-21R-A115-07	gene_id	TCGA-BH-A0BQ-11A-33R-A115-07
C19orf60	416.2559	C19orf60	200.3593
C19orf61	763.9136	C19orf61	495.4031
C19orf62	1231.9682	C19orf62	760.4354
C19orf63	3355.7973	C19orf63	2105.7297
C19orf66	645.6727	C19orf66	434.2217
C19orf6	1743.8883	C19orf6	1246.1165
C19orf70	871.2442	C19orf70	350.4174
C19orf73	18.6662	C19orf73	13.9491
C19orf76	24.7327	C19orf76	35.9294
removed	removed	C19orf77	32.5478
C1D	109.1972	C1D	97.2208
C1GALT1C1	701.8485	C1GALT1C1	487.3719
C1GALT1	161.9292	C1GALT1	328.4371
C1QA	1562.3596	C1QA	1029.2719
C1QBP	1319.7832	C1QBP	1577.8633
C1QB	1465.7621	C1QB	1429.9905
C1QC	1580.5592	C1QC	1111.6982
C1QL1	11.6664	C1QL1	44.3834
removed	removed	C1QL2	69.3226
C1QL3	20.5328	C1QL3	27.0527
C1QTNF1	807.3125	C1QTNF1	723.2379
C1QTNF2	21.4661	C1QTNF2	33.3932
C1QTNF3	765.7802	C1QTNF3	137.3772
C1QTNF4	33.5991	C1QTNF4	44.3834
C1QTNF6	1659.8905	C1QTNF6	198.6685
C1QTNF7	48.0654	C1QTNF7	65.0956
removed	removed	C1QTNF9B	7.8622
C1QTNF9	7.3825	C1QTNF9	27.1035
C1RL	1775.3828	C1RL	1727.2789
C1R	10014.8746	C1R	6603.4027
C1S	14021.5711	C1S	8620.0993
C1orf101	7.9331	C1orf101	17.3307
C1orf103	464.788	C1orf103	314.0653
C1orf104	36.7304	C1orf104	44.9836
C1orf106	103.1307	C1orf106	195.7096
C1orf107	925.8427	C1orf107	1015.3228
C1orf109	271.1263	C1orf109	344.9223
C1orf112	267.8131	C1orf112	109.4706
C1orf113	180.2827	C1orf113	134.0336
C1orf114	5.1332	C1orf114	6.3405
C1orf115	1625.358	C1orf115	1011.0958
C1orf116	175.4621	C1orf116	706.7526
C1orf122	876.1534	C1orf122	344.711
C1orf123	636.9835	C1orf123	446.7928
C1orf124	240.3271	C1orf124	249.3924
C1orf126	25.6893	C1orf126	92.7909
C1orf128	957.1086	C1orf128	876.2549
C1orf130	20.5328	C1orf130	692.3809
C1orf131	250.1269	C1orf131	177.9563
C1orf133	49.932	C1orf133	51.1466
C1orf135	30.7992	C1orf135	49.0331
C1orf144	3479.8434	C1orf144	3151.6432
C1orf151	1422.8299	C1orf151	641.2343
removed	removed	C1orf152	9.7221
C1orf156	335.9913	C1orf156	92.5711
C1orf158	12.5997	removed	removed
C1orf159	193.6617	C1orf159	151.7489
C1orf162	219.7943	C1orf162	112.0152
C1orf163	218.3944	C1orf163	246.8562
C1orf168	20.9995	C1orf168	51.1466
C1orf170	81.1979	C1orf170	27.8981
C1orf172	567.452	C1orf172	371.1297
C1orf173	89.131	C1orf173	13.9491
C1orf174	356.0575	C1orf174	300.1162
removed	removed	C1orf175	58.7552
C1orf182	14.9329	removed	removed
C1orf183	14.9329	C1orf183	57.0644
C1orf186	14.9329	C1orf186	6.3405
C1orf187	5.5999	removed	removed
C1orf189	6.0665	removed	removed
C1orf190	30.1319	C1orf190	49.7305
C1orf192	258.5267	C1orf192	39.311
C1orf194	61.5984	removed	removed
C1orf198	2787.7946	C1orf198	2916.6226
C1orf201	288.3925	C1orf201	299.6935
C1orf203	82.1639	C1orf203	60.074
C1orf204	18.4842	C1orf204	72.4168
C1orf210	362.5906	C1orf210	251.9286
C1orf212	641.1834	C1orf212	424.8124
C1orf213	27.206	C1orf213	54.4267
C1orf216	519.3866	C1orf216	297.58
C1orf21	2270.7413	C1orf21	3338.0535
C1orf220	5.1332	C1orf220	9.7221
C1orf226	809.6458	C1orf226	1601.1836
C1orf228	33.1325	C1orf228	8.8767
C1orf229	17.7329	C1orf229	14.7945
C1orf230	29.3992	removed	removed
C1orf25	648.6499	C1orf25	306.4567
C1orf26	152.1294	C1orf26	98.0662
C1orf27	1272.5671	C1orf27	781.5703
C1orf31	466.6546	C1orf31	125.5416
C1orf35	390.1233	C1orf35	80.3128
C1orf38	359.3241	C1orf38	344.0769
C1orf43	7236.8797	C1orf43	3230.6879
C1orf50	188.5285	C1orf50	132.3048
C1orf51	159.5959	C1orf51	130.1913
C1orf52	195.0616	C1orf52	275.5997
C1orf53	35.9324	C1orf53	15.6399
C1orf54	175.9288	C1orf54	100.1796
C1orf55	680.3824	C1orf55	651.3791
C1orf56	429.9196	C1orf56	113.2706
C1orf57	837.1784	C1orf57	407.0591
C1orf58	617.2627	C1orf58	411.937
C1orf59	198.3282	C1orf59	209.6587
removed	removed	C1orf61	34.6613
C1orf63	115.7303	C1orf63	270.1046
C1orf64	440.0553	C1orf64	84.1171
C1orf66	1023.8402	C1orf66	454.4014
C1orf69	245.927	C1orf69	209.6587
C1orf70	17.7329	removed	removed
C1orf74	148.3962	C1orf74	128.9232
C1orf77	1992.1485	C1orf77	1789.2846
C1orf83	191.3284	C1orf83	144.1403
C1orf84	9.7671	C1orf84	19.2878
C1orf85	2048.6137	C1orf85	742.2593
C1orf86	827.8779	C1orf86	246.4377
C1orf88	327.5915	C1orf88	195.2869
C1orf89	84.9311	C1orf89	35.084
C1orf91	176.3488	C1orf91	163.5845
C1orf92	16.3329	removed	removed
C1orf93	1119.9104	C1orf93	516.9608
C1orf95	49.932	C1orf95	141.6041
C1orf96	260.8599	C1orf96	382.9652
C1orf97	329.9248	C1orf97	90.4576
C1orf9	1884.818	C1orf9	1798.1613
C20orf103	382.1901	C20orf103	85.3852
removed	removed	C20orf106	5.4951
C20orf108	4191.9584	C20orf108	5360.6679
C20orf111	777.9132	C20orf111	849.2022
C20orf112	773.2467	C20orf112	867.8009
C20orf114	143.7296	C20orf114	136.5318
C20orf117	339.2579	C20orf117	406.2137
C20orf118	9.1791	C20orf118	45.5458
C20orf11	1698.1561	C20orf11	1687.8368
C20orf12	132.0633	C20orf12	107.3655
C20orf132	21.4754	C20orf132	15.2172
C20orf134	62.0651	C20orf134	29.5889
C20orf135	70.9315	C20orf135	43.538
removed	removed	C20orf141	5.9178
C20orf151	172.6622	C20orf151	41.8472
C20orf160	85.3978	C20orf160	118.3557
C20orf177	180.6513	C20orf177	202.8955
C20orf194	316.8585	C20orf194	922.7518
removed	removed	C20orf195	6.7632
C20orf196	45.7322	C20orf196	44.8061
removed	removed	C20orf197	5.0724
C20orf199	2620.2656	C20orf199	1834.0907
removed	removed	C20orf202	8.0313
removed	removed	C20orf203	7.6086
C20orf20	266.4598	C20orf20	156.8213
C20orf24	1013.7745	C20orf24	683.7705
C20orf26	77.4647	C20orf26	7.6086
C20orf27	465.2546	C20orf27	410.018
C20orf29	254.3268	C20orf29	186.8329
C20orf30	1909.084	C20orf30	1947.374
C20orf3	4519.0833	C20orf3	3072.1758
C20orf43	2046.2805	C20orf43	1554.6867
C20orf46	18.1995	C20orf46	17.7534
C20orf4	1106.9047	C20orf4	1041.5302
C20orf54	353.7242	C20orf54	119.2011
C20orf72	476.4544	C20orf72	661.1011
C20orf7	108.2639	C20orf7	153.017
C20orf85	191.795	C20orf85	7.1859
C20orf94	25.1993	C20orf94	35.084
C20orf96	243.5937	C20orf96	297.1573
C21orf119	65.7983	C21orf119	70.168
C21orf122	35.9324	C21orf122	37.1975
removed	removed	C21orf15	24.0938
removed	removed	C21orf29	5.0724
C21orf2	318.7251	C21orf2	321.6739
C21orf33	2209.1429	C21orf33	1323.4704
C21orf34	34.9991	C21orf34	157.6667
C21orf45	236.1272	C21orf45	139.9133
C21orf49	7.9331	C21orf49	23.2484
C21orf56	340.1912	C21orf56	147.9446
C21orf57	223.0609	C21orf57	84.5398
C21orf58	71.8648	C21orf58	60.0232
C21orf59	960.3752	C21orf59	477.2271
C21orf63	575.8518	C21orf63	1079.1504
C21orf67	92.3976	C21orf67	80.3128
C21orf70	250.1269	C21orf70	93.8392
C21orf7	121.7969	C21orf7	50.3012
C21orf82	5.5999	removed	removed
C21orf88	6.0665	C21orf88	43.9607
C21orf91	251.5268	C21orf91	526.6829
C22orf13	2631.89	C22orf13	1712.514
C22orf23	55.0652	C22orf23	85.8079
C22orf25	479.7209	C22orf25	293.3531
C22orf26	13.0663	removed	removed
C22orf27	105.9306	C22orf27	144.1403
C22orf28	2459.2698	C22orf28	1790.9754
C22orf29	769.5415	C22orf29	834.5387
C22orf30	996.7742	C22orf30	1186.5159
C22orf32	886.1771	C22orf32	808.6231
C22orf36	324.325	C22orf36	233.7525
C22orf39	462.9214	C22orf39	417.6096
C22orf40	125.9967	C22orf40	133.5729
C22orf41	16.7996	removed	removed
C22orf46	495.5872	C22orf46	470.0412
C22orf9	2627.2655	C22orf9	1590.6161
C2CD2L	457.6202	C2CD2L	153.6849
C2CD2	485.7875	C2CD2	921.061
C2CD3	666.8494	C2CD3	892.7401
C2CD4A	106.3973	C2CD4A	125.5416
C2CD4B	22.8661	C2CD4B	49.8785
C2CD4C	16.3329	C2CD4C	15.2172
C2CD4D	22.3994	C2CD4D	20.2895
C2orf15	108.1565	C2orf15	77.8654
C2orf16	54.1319	C2orf16	53.2601
C2orf18	2995.456	C2orf18	1156.0816
C2orf24	1816.2197	C2orf24	1085.0682
C2orf27A	42.4656	C2orf27A	11.8356
C2orf28	2570.0723	C2orf28	1844.1594
C2orf29	1046.7063	C2orf29	797.2102
C2orf34	106.3973	C2orf34	69.3226
C2orf39	71.3982	removed	removed
C2orf3	342.9911	C2orf3	613.7589
C2orf40	216.9944	C2orf40	1168.7625
C2orf42	199.7282	C2orf42	209.236
C2orf43	290.7258	C2orf43	313.2199
C2orf44	191.3284	C2orf44	257.4237
C2orf47	284.02	C2orf47	254.7311
C2orf49	117.597	C2orf49	101.4477
C2orf50	25.666	C2orf50	5.9178
C2orf52	5.1332	removed	removed
C2orf54	19.5995	C2orf54	20.7122
C2orf55	716.7815	C2orf55	388.883
C2orf56	194.595	C2orf56	206.6998
removed	removed	C2orf58	23.6711
C2orf60	163.9684	C2orf60	285.9009
C2orf62	9.7997	removed	removed
C2orf63	55.5319	C2orf63	103.1385
C2orf64	473.6544	C2orf64	402.8321
C2orf65	125.9967	C2orf65	14.7945
C2orf67	249.2962	C2orf67	388.7055
C2orf68	691.5821	C2orf68	951.0726
C2orf69	353.7242	C2orf69	340.6953
C2orf70	10.2664	C2orf70	11.8356
C2orf72	393.3898	C2orf72	142.0268
C2orf73	19.1328	C2orf73	6.7632
C2orf74	348.1243	C2orf74	206.6998
C2orf76	85.8644	C2orf76	47.765
C2orf77	320.1251	C2orf77	156.8213
C2orf79	420.4558	C2orf79	301.807
C2orf7	288.3925	C2orf7	154.7078
C2orf81	204.0167	C2orf81	90.0391
C2orf82	17.7329	C2orf82	10.5675
removed	removed	C2orf84	6.7632
C2orf86	101.2641	C2orf86	136.9545
C2orf88	43.8655	C2orf88	407.9045
C2orf89	23.3327	C2orf89	44.3834
C2	729.8665	C2	219.385
C3AR1	327.1249	C3AR1	319.1377
C3orf10	4014.163	C3orf10	2540.4206
C3orf14	580.985	C3orf14	262.0733
C3orf15	81.6646	C3orf15	140.7587
C3orf17	867.5109	C3orf17	1200.465
C3orf18	245.927	C3orf18	94.6846
C3orf19	372.3904	C3orf19	480.186
C3orf1	1193.2358	C3orf1	847.0887
C3orf21	449.3884	C3orf21	292.9304
C3orf23	401.7896	C3orf23	442.9885
C3orf26	364.4573	C3orf26	242.6292
C3orf31	206.728	C3orf31	193.5961
removed	removed	C3orf32	12.681
C3orf33	83.9978	C3orf33	117.0876
C3orf34	68.5982	C3orf34	27.8981
C3orf35	6.0665	C3orf35	15.2172
C3orf36	8.3998	C3orf36	5.0724
C3orf37	938.4424	C3orf37	779.4568
C3orf38	452.655	C3orf38	313.2199
C3orf39	644.9167	C3orf39	423.967
C3orf42	6.9998	C3orf42	19.0215
C3orf47	36.3991	C3orf47	27.0527
C3orf52	153.5294	C3orf52	169.5023
C3orf54	33.1325	C3orf54	34.2386
C3orf55	10.2664	C3orf55	51.5693
C3orf57	47.5988	C3orf57	192.328
C3orf58	343.9244	C3orf58	624.749
C3orf59	205.328	C3orf59	406.2137
C3orf62	97.9975	C3orf62	124.6962
C3orf63	1792.341	C3orf63	2158.3515
C3orf64	371.9237	C3orf64	1312.4802
C3orf67	44.3322	C3orf67	10.9902
C3orf70	58.7985	C3orf70	110.7471
C3orf71	38.121	C3orf71	27.5811
C3orf75	449.855	C3orf75	217.69
C3	23959.4477	C3	19100.074
C4A	91955.9431	C4A	29295.0016
C4BPA	5.5999	C4BPA	59.6005
removed	removed	C4BPB	6.3405
C4orf10	357.2428	C4orf10	330.8169
C4orf12	17.7329	C4orf12	40.1564
C4orf14	1001.9075	C4orf14	816.2316
C4orf19	17.7329	C4orf19	147.5219
C4orf21	34.0658	C4orf21	112.8606
C4orf22	12.133	removed	removed
C4orf23	339.2579	C4orf23	236.7114
C4orf27	437.722	C4orf27	301.3843
C4orf29	75.598	C4orf29	106.0974
C4orf31	39.6656	C4orf31	128.5005
C4orf32	640.7168	C4orf32	653.9152
C4orf33	273.9263	C4orf33	172.0385
C4orf34	1776.0875	C4orf34	985.7339
C4orf36	17.2662	C4orf36	12.681
C4orf38	16.3329	C4orf38	15.6399
C4orf39	19.5995	C4orf39	31.7024
C4orf3	2680.9307	C4orf3	2695.1284
C4orf41	916.9763	C4orf41	1273.1692
C4orf42	443.7885	C4orf42	380.0063
C4orf43	380.7902	C4orf43	255.7329
C4orf46	164.2624	C4orf46	180.9151
C4orf47	8.8664	removed	removed
C4orf48	60.6651	removed	removed
C4orf49	8.8664	C4orf49	8.0313
C4orf52	427.4556	C4orf52	286.1672
C4orf7	44.7988	C4orf7	672.514
C5AR1	89.131	C5AR1	46.9196
C5orf13	2219.4093	C5orf13	817.4997
C5orf15	1866.6184	C5orf15	1657.4025
C5orf20	6.9998	removed	removed
C5orf22	448.4551	C5orf22	586.2834
C5orf23	152.1294	C5orf23	56.219
C5orf24	817.5789	C5orf24	1169.6079
C5orf25	146.0629	C5orf25	256.5783
removed	removed	C5orf27	12.681
C5orf28	189.9284	C5orf28	282.7856
C5orf30	473.1878	C5orf30	462.0099
C5orf32	811.5124	C5orf32	837.3666
C5orf33	563.7188	C5orf33	568.5301
C5orf34	20.0661	C5orf34	21.9803
C5orf35	173.5955	C5orf35	169.925
C5orf36	122.7302	C5orf36	110.3244
C5orf38	379.8569	C5orf38	59.1779
C5orf39	41.5323	C5orf39	28.3208
C5orf41	334.5914	C5orf41	702.9483
C5orf42	302.3922	C5orf42	593.0466
C5orf43	1387.8308	C5orf43	976.0118
C5orf44	455.4549	C5orf44	566.4166
C5orf45	229.4727	C5orf45	129.1726
C5orf46	65.3316	C5orf46	35.5067
C5orf49	130.1966	C5orf49	13.5264
C5orf4	1003.3074	C5orf4	1616.4007
C5orf51	826.4453	C5orf51	899.0806
C5orf53	192.2617	C5orf53	279.404
C5orf54	76.0647	C5orf54	82.4263
C5orf55	49.4654	C5orf55	36.3521
C5orf56	69.1582	C5orf56	90.9564
removed	removed	C5orf58	9.7221
C5orf62	1159.6367	C5orf62	1172.9895
C5	101.7307	C5	208.8133
C6orf105	63.9317	C6orf105	144.9857
C6orf106	2614.1991	C6orf106	2468.5618
C6orf108	556.719	C6orf108	143.2949
C6orf114	11.1997	C6orf114	15.2172
C6orf115	522.6532	C6orf115	449.7517
C6orf118	9.3331	removed	removed
C6orf120	688.3716	C6orf120	939.5921
C6orf122	13.0103	C6orf122	8.8555
removed	removed	C6orf123	11.8356
C6orf124	5.5999	C6orf124	40.1564
C6orf125	839.8243	C6orf125	408.6146
C6orf126	59.2651	removed	removed
C6orf127	30.3325	C6orf127	5.0724
C6orf129	272.0596	C6orf129	73.9723
C6orf130	552.7944	C6orf130	395.6082
C6orf132	306.5921	C6orf132	184.7194
C6orf134	200.6615	C6orf134	378.7382
C6orf136	176.3954	C6orf136	145.4084
C6orf138	7.4665	C6orf138	25.3619
C6orf141	77.4647	C6orf141	44.3834
C6orf145	550.1858	C6orf145	1412.6598
C6orf150	46.1988	C6orf150	46.4969
C6orf153	817.5789	C6orf153	591.3558
C6orf154	91.931	C6orf154	15.2172
C6orf155	83.5312	C6orf155	140.7587
C6orf15	13.0663	C6orf15	53.6828
C6orf162	47.9861	C6orf162	126.2348
removed	removed	C6orf163	19.4442
removed	removed	C6orf164	18.7509
C6orf165	75.0054	C6orf165	12.681
C6orf167	79.3313	C6orf167	265.8776
C6orf168	120.3969	C6orf168	220.2261
C6orf170	39.6656	C6orf170	142.0268
C6orf174	32.1198	C6orf174	90.7619
removed	removed	C6orf176	17.3307
C6orf182	78.398	C6orf182	103.9839
C6orf186	10.2664	C6orf186	9.2994
C6orf192	300.9922	C6orf192	576.5613
removed	removed	C6orf195	5.4951
C6orf1	566.9854	C6orf1	179.2243
removed	removed	C6orf201	7.1859
C6orf203	139.5297	C6orf203	87.9214
C6orf204	12.5997	C6orf204	95.9527
removed	removed	C6orf208	8.8978
C6orf211	835.7784	C6orf211	806.5096
C6orf217	5.1332	C6orf217	19.8668
C6orf225	201.1281	C6orf225	160.6256
C6orf226	73.2648	C6orf226	51.992
C6orf26	18.6662	C6orf26	43.4154
C6orf27	67.6649	C6orf27	50.3012
C6orf35	291.1925	C6orf35	401.1413
C6orf41	6.9998	C6orf41	6.3405
C6orf47	811.0457	C6orf47	337.7364
C6orf48	1687.8897	C6orf48	1649.3712
C6orf52	24.7327	C6orf52	9.2994
C6orf57	84.4645	C6orf57	119.2011
removed	removed	C6orf59	11.4129
C6orf62	2638.6005	C6orf62	2601.192
C6orf64	626.2505	C6orf64	699.5667
C6orf70	210.9279	C6orf70	317.0242
C6orf72	565.5854	C6orf72	873.7187
C6orf81	5.1332	C6orf81	5.4951
C6orf89	2296.4073	C6orf89	3185.0365
C6orf97	539.4527	C6orf97	398.1824
C6	80.2646	C6	58.3325
C7orf10	102.1974	C7orf10	61.2913
C7orf11	428.8556	C7orf11	251.9286
C7orf13	69.5315	C7orf13	91.7257
C7orf23	249.1936	C7orf23	220.2261
C7orf25	327.5915	C7orf25	270.1046
C7orf26	514.72	C7orf26	495.8258
C7orf27	1001.4408	C7orf27	577.8294
C7orf28A	937.9758	C7orf28A	798.0556
C7orf28B	725.6479	C7orf28B	480.6087
C7orf29	216.5277	C7orf29	207.9679
C7orf30	314.0586	C7orf30	278.5586
C7orf31	82.5979	C7orf31	106.0974
C7orf36	217.9277	C7orf36	186.8329
C7orf40	192.2617	C7orf40	365.6346
C7orf41	766.2469	C7orf41	1719.1166
C7orf42	3638.9727	C7orf42	3356.6522
C7orf43	310.3253	C7orf43	226.1439
C7orf44	424.6557	C7orf44	531.7553
C7orf46	41.5323	C7orf46	74.395
C7orf47	281.8594	C7orf47	100.6023
C7orf49	523.5025	C7orf49	478.3684
C7orf50	924.9094	C7orf50	422.2762
removed	removed	C7orf51	25.3619
C7orf53	5.5999	C7orf53	35.5067
C7orf55	113.3971	C7orf55	155.1305
C7orf57	19.5995	removed	removed
C7orf58	248.7269	C7orf58	799.3237
C7orf59	1267.9006	C7orf59	414.6677
C7orf60	241.7271	C7orf60	330.1279
removed	removed	C7orf61	19.0215
C7orf63	146.9962	C7orf63	184.7194
C7orf64	192.2617	C7orf64	236.2887
C7orf68	472.7211	C7orf68	195.2869
C7orf70	471.3212	C7orf70	355.0671
removed	removed	C7orf71	5.4951
C7	496.5205	C7	2046.2855
C8orf30A	611.3175	C8orf30A	346.1904
C8orf31	5.5999	removed	removed
C8orf33	895.5102	C8orf33	1018.7044
C8orf34	81.6646	C8orf34	11.4129
C8orf37	82.1312	C8orf37	68.4772
C8orf38	225.3942	C8orf38	180.0697
removed	removed	C8orf39	6.7632
C8orf40	633.717	C8orf40	501.7436
C8orf41	269.2037	C8orf41	245.7149
C8orf42	163.3291	C8orf42	367.3254
C8orf44	23.0574	C8orf44	29.6439
C8orf45	20.0661	C8orf45	35.9294
C8orf46	11.1997	C8orf46	32.5478
removed	removed	C8orf47	38.0429
C8orf48	61.5984	C8orf48	29.5889
C8orf4	6503.7653	C8orf4	3119.5181
C8orf51	65.3316	C8orf51	38.4656
C8orf55	640.7168	C8orf55	552.8902
C8orf58	271.1263	C8orf58	218.958
C8orf59	659.761	C8orf59	463.5105
C8orf73	214.6611	C8orf73	60.4459
C8orf76	311.7859	C8orf76	293.7758
removed	removed	C8orf77	8.8767
C8orf79	227.7275	C8orf79	544.0135
removed	removed	C8orf80	15.6399
C8orf83	778.3799	C8orf83	468.3504
C8orf84	181.9953	C8orf84	724.9287
C8orf85	397.5897	C8orf85	270.1046
C9orf100	65.4903	C9orf100	57.3476
C9orf102	61.2718	C9orf102	276.0013
C9orf103	125.9967	C9orf103	59.6005
C9orf109	18.1995	C9orf109	11.4129
C9orf110	107.7972	C9orf110	106.5201
C9orf114	607.6636	C9orf114	407.7481
C9orf116	540.386	C9orf116	54.1055
C9orf117	45.2655	C9orf117	11.8356
C9orf119	389.6566	C9orf119	157.6667
C9orf122	32.6658	C9orf122	27.8981
C9orf123	780.7132	C9orf123	591.3558
C9orf125	43.3989	C9orf125	79.0447
C9orf129	107.4472	C9orf129	125.5712
C9orf130	58.2198	C9orf130	135.7286
removed	removed	C9orf131	5.4951
C9orf140	204.3947	C9orf140	202.4728
C9orf142	547.3859	C9orf142	225.7212
C9orf150	808.7124	C9orf150	408.7499
C9orf152	986.5078	C9orf152	784.5292
C9orf156	250.1269	C9orf156	341.5407
C9orf167	133.4632	C9orf167	66.7864
C9orf169	9.1651	removed	removed
C9orf16	1049.0396	C9orf16	466.2369
C9orf171	42.4656	removed	removed
C9orf172	50.3987	C9orf172	7.1859
C9orf21	150.7294	C9orf21	260.3825
C9orf23	432.5888	C9orf23	215.1538
C9orf24	9.7997	removed	removed
C9orf25	375.1903	C9orf25	390.9965
C9orf30	335.0953	C9orf30	184.2967
C9orf37	115.2637	C9orf37	65.5183
C9orf3	304.8748	C9orf3	303.3372
C9orf40	75.598	C9orf40	78.1993
C9orf41	108.2639	C9orf41	164.4299
C9orf43	6.5332	C9orf43	5.4951
C9orf44	6.5332	C9orf44	10.9902
C9orf45	42.9322	C9orf45	134.841
C9orf46	674.7826	C9orf46	288.7034
C9orf47	9.4124	C9orf47	24.1107
C9orf5	1218.4352	C9orf5	2715.4179
C9orf64	600.1178	C9orf64	330.5506
C9orf66	27.066	C9orf66	35.5067
C9orf68	98.9308	C9orf68	74.8177
C9orf69	958.5086	C9orf69	400.2959
C9orf6	396.1898	C9orf6	469.6185
C9orf72	130.1966	C9orf72	267.9911
C9orf78	1491.8948	C9orf78	941.7732
C9orf7	986.9745	C9orf7	365.6346
C9orf80	186.6618	C9orf80	247.2789
C9orf82	363.0573	C9orf82	259.5371
C9orf84	5.1332	removed	removed
C9orf85	126.4634	C9orf85	134.841
C9orf86	2382.2718	C9orf86	1072.3872
C9orf89	444.2552	C9orf89	218.5353
C9orf91	1617.8915	C9orf91	828.9126
C9orf93	73.7314	C9orf93	107.7882
C9orf95	348.1243	C9orf95	331.8187
C9orf96	6.9998	C9orf96	13.9491
C9orf98	265.0598	C9orf98	61.714
C9orf9	262.7265	C9orf9	179.2243
CA11	68.5982	CA11	249.3924
CA12	8734.3744	CA12	3920.1099
CA13	57.5618	CA13	204.3707
CA14	6.5332	CA14	10.1448
CA2	133.4632	CA2	786.22
CA3	31.1025	CA3	427.9869
CA4	32.6658	CA4	142.0268
CA5BP	207.1946	CA5BP	233.7525
CA5B	146.0489	CA5B	448.4878
removed	removed	CA6	15.6399
CA8	460.1214	CA8	257.4237
CA9	51.5747	CA9	5.4951
CAB39L	503.0537	CAB39L	1164.1129
CAB39	1735.4885	CAB39	2120.6805
CABC1	1336.2001	CABC1	1053.7884
CABIN1	1749.4881	CABIN1	1511.9941
CABLES1	773.7133	CABLES1	680.5453
CABLES2	206.728	CABLES2	233.3298
CABP1	9.7997	removed	removed
CABP4	18.6662	CABP4	19.0215
CABYR	382.1901	CABYR	135.6864
CACHD1	363.9906	CACHD1	1097.3264
CACNA1A	52.732	CACNA1A	26.2073
removed	removed	CACNA1B	8.454
CACNA1C	283.2593	CACNA1C	710.1342
CACNA1D	545.9859	CACNA1D	144.9857
CACNA1E	9.7997	removed	removed
CACNA1F	11.1997	removed	removed
CACNA1G	8.3998	CACNA1G	143.2949
CACNA1H	104.5306	CACNA1H	82.849
CACNA1I	12.5997	CACNA1I	29.5889
CACNA2D1	45.7322	CACNA2D1	148.3673
CACNA2D2	60.6651	CACNA2D2	252.774
CACNA2D3	18.1995	removed	removed
CACNA2D4	50.8654	CACNA2D4	57.0644
CACNB1	43.8655	CACNB1	148.79
CACNB2	7.9331	CACNB2	99.7569
CACNB3	812.4457	CACNB3	350.8401
CACNB4	23.3327	CACNB4	143.7176
CACNG1	11.6664	removed	removed
CACNG4	823.1787	CACNG4	574.8705
CACYBP	1569.3595	CACYBP	795.0967
CADM1	719.5814	CADM1	1145.0914
removed	removed	CADM2	22.8257
CADM3	17.9335	CADM3	475.9717
CADM4	846.9781	CADM4	484.8357
CADPS2	1245.0345	CADPS2	1952.4464
CADPS	5.5999	removed	removed
CAD	1363.0981	CAD	1412.2371
CALB2	66.7316	CALB2	268.8365
CALCOCO1	1644.9575	CALCOCO1	2111.3812
CALCOCO2	1872.2183	CALCOCO2	2490.9648
CALCRL	447.5218	CALCRL	696.6078
removed	removed	CALCR	8.8767
CALD1	7173.8813	CALD1	8497.5166
CALHM2	851.6447	CALHM2	490.3308
CALM1	4597.9479	CALM1	5448.1665
CALM2	12714.4715	CALM2	8326.7463
CALM3	4489.2174	CALM3	3663.9543
CALML3	733.1144	CALML3	1437.5991
CALML4	230.5274	CALML4	328.4371
CALML5	431.6555	CALML5	465.8142
removed	removed	CALN1	14.7945
CALR	17850.4722	CALR	10107.5769
CALU	5229.3316	CALU	3633.0973
CAMK1D	92.3976	CAMK1D	51.992
removed	removed	CAMK1G	5.9178
CAMK1	234.6899	CAMK1	283.1322
CAMK2A	11.1997	removed	removed
CAMK2B	66.7316	CAMK2B	392.2646
CAMK2D	962.2418	CAMK2D	1158.1951
CAMK2G	564.1854	CAMK2G	636.5846
CAMK2N1	1259.9675	CAMK2N1	1391.1022
CAMK2N2	11.6664	CAMK2N2	9.2994
CAMK4	22.3994	CAMK4	5.9178
CAMKK1	242.1937	CAMKK1	249.3924
CAMKK2	1602.4919	CAMKK2	1698.827
CAMLG	1017.3071	CAMLG	748.5998
CAMP	15.3996	removed	removed
CAMSAP1L1	1338.3654	CAMSAP1L1	1683.1871
CAMSAP1	772.3134	CAMSAP1	1104.935
CAMTA1	412.056	CAMTA1	785.7973
CAMTA2	678.0492	CAMTA2	1203.4239
CAND1	2783.5948	CAND1	3318.1866
CAND2	50.3987	CAND2	116.6649
CANT1	2933.8575	CANT1	1474.7966
CANX	14744.4191	CANX	15486.4208
CAP1	8374.5837	CAP1	6801.6485
CAP2	452.655	CAP2	481.4541
CAPG	3694.9712	CAPG	1777.0263
CAPN10	179.1954	CAPN10	116.0858
CAPN11	21.4661	CAPN11	115.3968
CAPN12	54.5426	CAPN12	107.1288
CAPN13	1575.426	CAPN13	377.4701
removed	removed	CAPN14	8.454
CAPN1	5194.3325	CAPN1	3301.7014
CAPN2	6791.6912	CAPN2	4548.2405
CAPN3	24.4014	CAPN3	127.355
CAPN5	232.394	CAPN5	510.1976
CAPN6	167.9957	CAPN6	2326.5349
CAPN7	688.7822	CAPN7	1069.0056
CAPN8	663.1162	CAPN8	277.7132
CAPN9	180.5953	CAPN9	13.1037
CAPNS1	8158.5226	CAPNS1	6201.8387
CAPRIN1	8541.1794	CAPRIN1	7658.4593
CAPRIN2	150.7294	CAPRIN2	333.5095
CAPS2	25.1993	CAPS2	54.5282
