gene_id	TCGA-BH-A0BQ-01A-21R-A115-07	gene_id	TCGA-BH-A0BQ-11A-33R-A115-07
ACO1	924.9094	ACO1	1486.6321
ACO2	2512.8698	ACO2	1844.9075
ACOT11	26.1327	ACOT11	50.3012
ACOT13	524.8511	ACOT13	359.3913
ACOT1	636.9835	ACOT1	427.7713
ACOT2	475.9877	ACOT2	301.3843
ACOT4	363.9906	ACOT4	86.6533
ACOT7	437.722	ACOT7	313.2199
ACOT8	238.6985	ACOT8	198.5628
ACOT9	456.8549	ACOT9	596.4282
ACOX1	980.4413	ACOX1	1492.9726
ACOX2	1998.6817	ACOX2	224.0304
ACOX3	1035.5066	ACOX3	812.85
ACP1	1333.2322	ACP1	1307.8305
ACP2	1412.5635	ACP2	680.968
ACP5	912.7764	ACP5	537.673
ACP6	717.2481	ACP6	367.3254
ACPL2	710.715	ACPL2	681.8134
ACPP	17.2662	ACPP	18.5988
ACRBP	25.666	ACRBP	6.7632
removed	removed	ACRC	10.1448
removed	removed	ACSBG1	9.2994
ACSF2	1497.4946	ACSF2	703.7937
ACSF3	303.7922	ACSF3	311.1064
ACSL1	1066.7724	ACSL1	4602.7687
ACSL3	3400.0455	ACSL3	3209.553
ACSL4	731.2478	ACSL4	1854.3802
ACSL5	965.0417	ACSL5	650.5337
ACSL6	6.9998	ACSL6	35.5067
ACSM1	100.3307	ACSM1	81.1582
ACSM3	39.3763	ACSM3	105.848
ACSM5	15.3996	ACSM5	52.8374
ACSS1	391.9899	ACSS1	549.9313
ACSS2	972.5082	ACSS2	1531.8609
ACSS3	181.5286	ACSS3	342.3861
ACTA1	46.6655	removed	removed
ACTA2	13194.2391	ACTA2	25923.2801
removed	removed	ACTBL2	5.4951
ACTB	119485.0466	ACTB	73495.9315
ACTG1	89375.5578	ACTG1	60021.1349
ACTG2	698.582	ACTG2	4009.2994
ACTL6A	988.8411	ACTL6A	842.8617
ACTN1	9397.0239	ACTN1	10151.5376
ACTN4	9398.4799	ACTN4	10257.449
ACTR10	988.3745	ACTR10	1102.3988
ACTR1A	2752.7956	ACTR1A	2128.7118
ACTR1B	1346.7652	ACTR1B	1271.0557
ACTR2	5919.5137	ACTR2	4787.0654
ACTR3B	170.3289	ACTR3B	233.3298
ACTR3C	27.066	ACTR3C	43.538
ACTR3	4296.9557	ACTR3	3166.015
ACTR5	183.8619	ACTR5	200.3593
ACTR6	536.6528	ACTR6	534.7141
ACTR8	585.1849	ACTR8	571.489
ACVR1B	1415.8301	ACVR1B	1214.414
ACVR1C	53.1986	ACVR1C	908.38
ACVR1	1339.7654	ACVR1	1431.6813
ACVR2A	276.7262	ACVR2A	604.0368
ACVR2B	379.8569	ACVR2B	265.4549
ACVRL1	778.3799	ACVRL1	616.7177
ACY1	1428.8964	ACY1	572.0342
removed	removed	ACY3	12.681
ACYP1	53.6653	ACYP1	49.0331
ACYP2	117.597	ACYP2	127.6551
ADAL	180.1287	ADAL	187.6783
ADAM10	1193.7025	ADAM10	2662.1579
removed	removed	ADAM11	16.0626
ADAM12	4116.3603	ADAM12	1580.4713
ADAM15	6699.4523	ADAM15	2235.232
ADAM17	698.582	ADAM17	1417.7322
ADAM19	551.5858	ADAM19	163.1618
ADAM21	20.0661	ADAM21	15.2172
ADAM22	46.1988	ADAM22	48.1877
ADAM23	69.0649	ADAM23	40.1564
ADAM28	75.598	ADAM28	163.5845
removed	removed	ADAM32	18.1761
ADAM33	83.5312	ADAM33	507.6614
ADAM6	46776.7909	ADAM6	49021.2068
ADAM8	421.8558	ADAM8	70.168
ADAM9	2693.0638	ADAM9	2358.2373
ADAMDEC1	26.5993	ADAMDEC1	13.9491
ADAMTS10	114.797	ADAMTS10	121.3146
ADAMTS12	460.5881	ADAMTS12	276.0224
ADAMTS13	57.8652	ADAMTS13	63.4048
ADAMTS14	184.3286	ADAMTS14	20.7122
ADAMTS15	677.5825	ADAMTS15	239.2476
ADAMTS16	328.9915	ADAMTS16	101.4477
ADAMTS17	106.8639	ADAMTS17	71.0134
ADAMTS18	12.133	ADAMTS18	237.5568
removed	removed	ADAMTS19	8.454
ADAMTS1	760.647	ADAMTS1	3414.1393
ADAMTS2	878.7106	ADAMTS2	352.5309
ADAMTS3	44.3322	ADAMTS3	125.1189
ADAMTS4	1631.8912	ADAMTS4	161.471
ADAMTS5	365.3906	ADAMTS5	2058.5438
ADAMTS6	46.1988	ADAMTS6	31.2797
ADAMTS7	342.5245	ADAMTS7	82.0036
ADAMTS8	171.2622	ADAMTS8	194.8642
ADAMTS9	229.1274	ADAMTS9	857.2334
ADAMTSL1	146.9962	ADAMTSL1	142.8722
ADAMTSL2	735.4477	ADAMTSL2	32.5478
ADAMTSL3	148.8628	ADAMTSL3	234.5979
ADAMTSL4	105.4639	ADAMTSL4	403.6775
ADAMTSL5	87.7311	ADAMTSL5	55.7963
ADAP1	264.9105	ADAP1	89.7348
ADAP2	212.7945	ADAP2	169.0796
ADARB1	503.0537	ADARB1	671.2459
ADAR	13880.6414	ADAR	8583.7472
ADAT1	203.4614	ADAT1	357.6033
ADAT2	28.9326	ADAT2	207.1225
ADAT3	119.9302	ADAT3	41.8472
ADA	239.8605	ADA	47.3423
ADCK1	143.7296	ADCK1	137.7999
ADCK2	1063.9725	ADCK2	575.7413
ADCK4	779.3132	ADCK4	458.6283
ADCK5	106.8639	ADCK5	43.9607
removed	removed	ADCY10	5.4951
ADCY1	186.6618	ADCY1	235.4433
ADCY2	34.5324	ADCY2	62.5594
ADCY3	1150.7703	ADCY3	1521.0652
ADCY4	166.129	ADCY4	386.7695
ADCY5	72.7981	ADCY5	280.6721
ADCY6	1506.8277	ADCY6	2126.5983
ADCY7	502.1204	ADCY7	355.9125
ADCY9	1103.6382	ADCY9	767.1986
ADCYAP1R1	6.9998	ADCYAP1R1	76.9312
ADCYAP1	10.2664	ADCYAP1	19.4442
ADC	365.3906	ADC	99.7569
ADD1	5039.4031	ADD1	5719.1166
ADD2	13.0663	ADD2	33.3932
ADD3	1105.9714	ADD3	2928.4582
ADH1A	19.1328	ADH1A	88.7668
ADH1B	1441.4961	ADH1B	10061.5027
ADH1C	44.7988	ADH1C	120.0465
removed	removed	ADH4	19.4442
ADH5	1882.9514	ADH5	2654.1266
ADH6	16.7996	removed	removed
ADHFE1	34.0658	ADHFE1	133.9956
ADI1	1257.1675	ADI1	1049.5614
ADIPOQ	871.7108	ADIPOQ	11447.1098
ADIPOR1	4026.7626	ADIPOR1	2127.021
ADIPOR2	4162.5591	ADIPOR2	2900.5601
ADK	446.5885	ADK	399.4505
ADM2	493.2539	ADM2	91.7257
ADM	157.7293	ADM	229.9482
ADNP2	901.1101	ADNP2	984.0431
ADNP	2665.0645	ADNP	3623.7979
ADORA1	373.7903	ADORA1	319.9831
ADORA2A	105.4639	ADORA2A	128.4836
ADORA2B	40.1323	ADORA2B	168.2342
ADORA3	225.3942	ADORA3	155.9759
ADO	717.7148	ADO	597.2736
ADPGK	911.2038	ADPGK	808.2004
