gene_id	TCGA-A7-A13E-01A-11R-A12P-07	gene_id	TCGA-A7-A13E-11A-61R-A12P-07
ACOT4	9.8217	ACOT4	241.0218
removed	removed	ACOT6	8.2943
ACOT7	575.2108	ACOT7	266.8804
ACOT8	386.0532	ACOT8	210.5964
ACOT9	433.8636	ACOT9	716.2347
ACOX1	1878.2748	ACOX1	3923.6781
ACOX2	23.0597	ACOX2	390.3186
ACOX3	298.0677	ACOX3	560.5951
ACP1	2983.6661	ACP1	1058.2514
ACP2	789.1534	ACP2	1252.9228
removed	removed	ACP5	1027.0259
ACP6	221.6291	ACP6	134.6599
ACPL2	447.9556	ACPL2	340.0651
removed	removed	ACPP	25.8586
ACRBP	84.1251	ACRBP	24.8828
ACRC	7.2595	ACRC	17.5643
removed	removed	ACR	7.8064
ACSBG1	5.1244	ACSBG1	13.1733
ACSF2	562.8269	ACSF2	981.1635
ACSF3	344.6141	ACSF3	222.4816
ACSL1	3993.1675	ACSL1	42020.2405
ACSL3	2159.4961	ACSL3	3099.13
ACSL4	241.6996	ACSL4	2400.9475
ACSL5	56.3681	ACSL5	968.966
ACSM1	17.9353	ACSM1	11.7096
ACSM3	13.4643	ACSM3	26.8832
ACSM5	6.4055	ACSM5	584.0143
ACSS1	901.0356	ACSS1	520.5875
ACSS2	992.8472	ACSS2	5176.6009
ACSS3	37.5787	ACSS3	812.8386
ACTA1	13.665	removed	removed
ACTA2	3745.8268	ACTA2	18190.8341
ACTB	79497.8115	ACTB	74102.9685
removed	removed	ACTC1	17.5643
ACTG1	45528.3442	ACTG1	40198.4282
ACTG2	148.6068	ACTG2	3967.5889
ACTL6A	1504.8575	ACTL6A	630.8525
ACTN1	5011.2096	ACTN1	8627.9934
ACTN4	20955.8194	ACTN4	10572.1608
ACTR10	733.2123	ACTR10	1189.9839
ACTR1A	2022.8462	ACTR1A	3366.9861
ACTR1B	1262.7309	ACTR1B	1174.3712
ACTR2	6652.717	ACTR2	5608.3909
ACTR3B	1330.2018	ACTR3B	103.9223
ACTR3C	24.3408	ACTR3C	20.4917
ACTR3	3117.7538	ACTR3	2864.9388
ACTR5	248.9591	ACTR5	157.5911
ACTR6	658.4819	ACTR6	414.7135
ACTR8	575.2108	ACTR8	447.4027
ACVR1B	540.1943	ACVR1B	1025.5622
ACVR1C	8.9677	ACVR1C	2052.1002
ACVR1	843.8134	ACVR1	1088.0132
ACVR2A	173.8016	ACVR2A	578.1595
ACVR2B	571.3676	ACVR2B	321.525
ACVRL1	189.1748	ACVRL1	1629.0924
ACY1	996.3147	ACY1	773.3042
ACYP1	18.3623	ACYP1	11.2217
ACYP2	350.5925	ACYP2	245.4128
ADAL	126.8282	ADAL	252.2434
ADAM10	1145.2973	ADAM10	1583.7179
ADAM11	8.9677	removed	removed
ADAM12	894.2031	ADAM12	1829.1307
ADAM15	9214.2244	ADAM15	3514.8193
ADAM17	1744.8489	ADAM17	730.8716
ADAM19	291.2352	ADAM19	167.837
ADAM21	8.9677	ADAM21	5.3669
removed	removed	ADAM22	191.744
ADAM23	8.1136	ADAM23	96.116
ADAM28	13.238	ADAM28	74.6484
ADAM32	115.7254	ADAM32	29.2739
removed	removed	ADAM33	652.8079
ADAM6	6612.9134	ADAM6	15746.2978
ADAM8	339.0627	ADAM8	52.693
ADAM9	3437.1731	ADAM9	2361.9156
ADAMDEC1	33.7355	ADAMDEC1	7.8064
ADAMTS10	336.5005	ADAMTS10	235.167
ADAMTS12	244.6888	ADAMTS12	491.3136
removed	removed	ADAMTS13	21.4675
ADAMTS14	67.0439	ADAMTS14	29.2739
ADAMTS15	8.1136	ADAMTS15	615.7276
ADAMTS16	23.9137	ADAMTS16	721.1137
ADAMTS17	5.9784	ADAMTS17	31.2255
removed	removed	ADAMTS18	251.7555
ADAMTS1	1318.6719	ADAMTS1	4726.7587
ADAMTS2	520.5509	ADAMTS2	1349.0388
ADAMTS3	134.9418	ADAMTS3	139.5389
ADAMTS4	363.8305	ADAMTS4	510.3416
ADAMTS5	189.1748	ADAMTS5	3519.6983
ADAMTS6	79.8548	ADAMTS6	35.1287
ADAMTS7	116.5795	ADAMTS7	175.6434
removed	removed	ADAMTS8	48.7898
ADAMTS9	90.9576	ADAMTS9	1028.9775
ADAMTSL1	117.0065	ADAMTSL1	699.6462
ADAMTSL2	86.2603	ADAMTSL2	147.8332
ADAMTSL3	14.9461	ADAMTSL3	663.0538
ADAMTSL4	248.105	ADAMTSL4	1199.7419
ADAMTSL5	11.5298	ADAMTSL5	54.6446
ADAP1	33.697	ADAP1	108.5574
ADAP2	127.2553	ADAP2	517.1722
ADARB1	2410.1633	ADARB1	1112.896
ADAR	10112.5227	ADAR	6169.9618
ADAT1	403.5444	ADAT1	353.7263
ADAT2	271.1647	ADAT2	110.265
ADAT3	40.995	ADAT3	19.5159
ADA	61.9195	ADA	200.5262
ADCK1	190.8829	ADCK1	201.9899
ADCK2	1167.93	ADCK2	465.9429
ADCK4	529.0915	ADCK4	330.3071
ADCK5	308.7435	ADCK5	33.1771
ADCY1	35.0165	ADCY1	341.5288
removed	removed	ADCY2	28.786
ADCY3	1984.1187	ADCY3	1837.6055
ADCY4	30.7462	ADCY4	626.4614
ADCY5	5.1244	ADCY5	713.3073
ADCY6	1366.0724	ADCY6	3929.5328
ADCY7	1635.956	ADCY7	960.1838
ADCY9	684.9578	ADCY9	805.5201
removed	removed	ADCYAP1R1	40.9835
removed	removed	ADCYAP1	88.3096
removed	removed	ADC	46.3503
ADD1	2835.0593	ADD1	7899.5613
ADD2	10.6758	ADD2	73.1847
ADD3	193.4451	ADD3	3608.4958
removed	removed	ADH1A	192.2319
ADH1B	158.0015	ADH1B	22596.0336
removed	removed	ADH1C	256.6345
removed	removed	ADH4	43.4229
ADH5	1832.3903	ADH5	3835.3685
removed	removed	ADHFE1	453.7454
ADI1	2228.2481	ADI1	2484.866
ADIPOQ	522.259	ADIPOQ	57953.0471
ADIPOR1	4790.8615	ADIPOR1	2321.4201
ADIPOR2	2682.6092	ADIPOR2	6732.5085
ADK	178.926	ADK	479.1161
ADM2	629.0168	ADM2	27.3223
ADM	363.8305	ADM	1014.8284
ADNP2	1722.6433	ADNP2	635.2436
ADNP	4112.7362	ADNP	2280.4366
ADORA1	473.5775	ADORA1	342.9925
ADORA2A	52.9519	ADORA2A	72.2529
ADORA2B	190.8829	ADORA2B	40.9835
ADORA3	60.6384	ADORA3	124.902
ADO	1114.1241	ADO	625.4856
ADPGK	617.6193	ADPGK	805.9299
ADPRHL1	326.2517	ADPRHL1	104.4102
ADPRHL2	627.7357	ADPRHL2	446.4269
ADPRH	231.8779	ADPRH	699.6462
removed	removed	ADRA1A	28.786
ADRA1B	6.4055	ADRA1B	70.2574
removed	removed	ADRA1D	19.028
ADRA2A	29.8922	ADRA2A	2715.154
ADRA2B	149.8879	ADRA2B	37.5682
removed	removed	ADRA2C	140.5147
removed	removed	ADRB1	155.6396
ADRB2	6.8325	ADRB2	387.8791
removed	removed	ADRB3	10.2459
ADRBK1	1332.764	ADRBK1	1454.9127
ADRBK2	579.9082	ADRBK2	4150.0629
ADRM1	2093.7333	ADRM1	940.18
ADSL	775.4884	ADSL	756.7303
ADSSL1	8.9677	ADSSL1	141.4905
ADSS	3125.8674	ADSS	890.9023
AEBP1	11159.1758	AEBP1	7131.1214
AEBP2	1060.7452	AEBP2	495.7047
AEN	301.4839	AEN	317.1339
AES	4905.3059	AES	7521.4401
AFAP1L1	100.3523	AFAP1L1	1028.4896
AFAP1L2	48.2545	AFAP1L2	704.0372
AFAP1	1521.3153	AFAP1	1826.6814
AFF1	1088.5022	AFF1	3150.8472
AFF2	5.5514	AFF2	134.6599
AFF3	18.3623	AFF3	1561.7624
AFF4	2336.714	AFF4	3055.2191
AFG3L1	308.7435	AFG3L1	134.172
AFG3L2	4032.2366	AFG3L2	1141.9747
AFMID	356.1439	AFMID	373.2422
removed	removed	AFP	56.1083
AFTPH	2121.9174	AFTPH	1160.71
AG2	57.2222	AG2	542.5429
AGAP11	38.8641	AGAP11	234.684
AGAP1	344.6141	AGAP1	370.3148
AGAP2	29.9306	AGAP2	59.6309
AGAP3	1688.4808	AGAP3	752.8271
AGAP4	428.3122	AGAP4	116.1198
AGAP5	26.4759	AGAP5	23.907
AGAP6	301.4839	AGAP6	76.6
AGAP8	32.0273	AGAP8	20.0038
AGA	494.929	AGA	527.906
removed	removed	AGBL2	5.3669
removed	removed	AGBL3	5.8548
AGBL5	2132.6017	AGBL5	615.2495
AGER	27.33	AGER	15.6127
AGFG1	1371.1968	AGFG1	2721.0088
AGFG2	271.1647	AGFG2	395.1976
AGGF1	689.2281	AGGF1	940.18
AGK	749.0125	AGK	537.6639
AGL	784.8831	AGL	1188.0323
AGMAT	84.9792	AGMAT	6.3427
AGPAT1	1821.9451	AGPAT1	2081.379
AGPAT2	2162.0583	AGPAT2	6006.028
AGPAT3	1807.6225	AGPAT3	3650.455
AGPAT4	718.2663	AGPAT4	246.3886
AGPAT5	635.8493	AGPAT5	462.0397
AGPAT6	3075.0507	AGPAT6	1389.0464
AGPAT9	16.6542	AGPAT9	87.8217
AGPHD1	25.6219	AGPHD1	54.1567
AGPS	570.9405	AGPS	1505.1662
removed	removed	AGR2	1575.4236
removed	removed	AGR3	328.8434
