gene_id	TCGA-A7-A13E-01A-11R-A12P-07	gene_id	TCGA-A7-A13E-11A-61R-A12P-07
COG1	722.9849	COG1	883.0276
COG2	1145.2973	COG2	680.1302
COG3	611.5085	COG3	691.8398
COG4	1699.1566	COG4	1184.6171
COG5	1692.5761	COG5	996.3078
COG6	509.021	COG6	711.8436
COG7	753.7098	COG7	529.8575
COG8	469.3669	COG8	430.6776
COIL	727.6609	COIL	343.4804
COL10A1	1767.0546	COL10A1	17.0764
COL11A1	3009.2879	COL11A1	29.7618
COL11A2	17.0812	COL11A2	6.8306
COL12A1	7192.0572	COL12A1	8701.1782
COL13A1	27.33	COL13A1	5.3669
COL14A1	233.159	COL14A1	10273.6743
COL15A1	1626.9884	COL15A1	7099.896
COL16A1	877.5488	COL16A1	984.0909
COL17A1	17.5083	COL17A1	2062.834
COL18A1	3501.2277	COL18A1	3762.1837
COL1A1	66179.5666	COL1A1	63379.9398
COL1A2	45674.8158	COL1A2	61262.4612
removed	removed	COL21A1	107.3376
COL22A1	33.7355	removed	removed
COL23A1	8.9677	COL23A1	23.4191
COL24A1	8.9677	COL24A1	19.5159
removed	removed	COL25A1	147.8332
COL27A1	396.7119	COL27A1	80.0153
COL28A1	68.752	COL28A1	6.8306
removed	removed	COL2A1	55.1325
COL3A1	40538.0591	COL3A1	76667.7522
COL4A1	7054.9802	COL4A1	23084.4198
COL4A2	6509.6616	COL4A2	17951.2419
COL4A3BP	556.8485	COL4A3BP	2205.3003
COL4A3	7.2595	COL4A3	12.6854
COL4A4	36.2976	COL4A4	180.5224
removed	removed	COL4A5	670.8602
removed	removed	COL4A6	232.2396
COL5A1	5510.4089	COL5A1	5626.4431
COL5A2	6588.6623	COL5A2	6105.0713
COL5A3	520.5509	COL5A3	1500.2873
COL6A1	5499.3061	COL6A1	16097.2284
COL6A2	8795.1318	COL6A2	16410.4591
COL6A3	11613.5369	COL6A3	19894.0529
removed	removed	COL6A6	496.1926
COL7A1	60.2114	COL7A1	24.3949
COL8A1	568.3783	COL8A1	688.4245
COL8A2	784.4561	COL8A2	647.9289
COL9A2	1171.3462	COL9A2	99.5313
COL9A3	273.2999	COL9A3	6.3427
COLEC11	10.6758	COLEC11	46.3503
COLEC12	122.1309	COLEC12	1556.8835
COLQ	17.0812	COLQ	40.0077
COMMD10	115.7254	COMMD10	398.6129
COMMD1	204.1208	COMMD1	275.6625
COMMD2	838.262	COMMD2	633.292
COMMD3	854.7454	COMMD3	591.7182
COMMD4	406.9606	COMMD4	589.869
COMMD5	604.0952	COMMD5	366.9385
COMMD6	1255.0443	COMMD6	1384.6554
COMMD7	1536.0307	COMMD7	1117.775
COMMD8	162.6988	COMMD8	230.288
COMMD9	507.3129	COMMD9	939.6921
COMP	3641.2939	COMP	103.4344
COMTD1	69.6061	COMTD1	31.7134
COMT	1195.687	COMT	1539.807
COPA	11231.6473	COPA	6420.7903
COPB1	3070.3534	COPB1	3416.9176
COPB2	4646.098	COPB2	3873.4245
COPE	3082.1608	COPE	1275.3661
COPG2	806.6617	COPG2	445.4511
COPG	6781.2533	COPG	3984.1775
COPS2	1419.0242	COPS2	1862.3078
COPS3	1291.769	COPS3	904.0755
COPS4	838.689	COPS4	975.7966
COPS5	1953.6671	COPS5	998.7278
COPS6	2314.5084	COPS6	1482.7229
COPS7A	2019.4299	COPS7A	1668.1243
COPS7B	634.1411	COPS7B	594.2601
COPS8	626.4247	COPS8	1173.3173
COPZ1	3110.4943	COPZ1	2736.1336
COPZ2	84.1251	COPZ2	942.6195
COQ10A	55.9411	COQ10A	148.3211
COQ10B	429.1662	COQ10B	663.5417
COQ2	323.2625	COQ2	152.7122
COQ3	220.7751	COQ3	160.0306
COQ4	471.4423	COQ4	476.1887
COQ5	634.5682	COQ5	668.9086
COQ6	197.2884	COQ6	389.2209
COQ7	432.1554	COQ7	439.5964
COQ9	1381.8725	COQ9	828.9392
CORIN	85.4062	CORIN	5.3669
CORO1A	263.9052	CORO1A	390.8065
CORO1B	1078.2534	CORO1B	1041.175
CORO1C	2281.627	CORO1C	5344.9258
CORO2A	647.8061	CORO2A	315.1823
CORO2B	16.6542	CORO2B	422.5199
CORO6	6.4055	CORO6	28.786
CORO7	399.2143	CORO7	594.3626
removed	removed	CORT	7.2746
COTL1	2293.1568	COTL1	1995.504
COX10	624.7465	COX10	383.0002
COX11	718.42	COX11	557.0384
COX15	474.534	COX15	1105.1579
COX16	359.5602	COX16	706.9646
COX17	346.3222	COX17	420.0804
COX18	442.8312	COX18	401.5403
COX19	389.0637	COX19	196.867
COX4I1	4068.752	COX4I1	4215.9291
COX4I2	14.092	COX4I2	102.4586
COX4NB	541.4754	COX4NB	405.9314
COX5A	1099.178	COX5A	1289.5152
COX5B	1248.6388	COX5B	1234.8706
COX6A1	1309.2772	COX6A1	1801.8084
COX6B1	9191.4167	COX6B1	3075.7108
removed	removed	COX6B2	5.8548
COX6C	2107.3983	COX6C	1700.8134
COX7A1	32.8814	COX7A1	1220.7215
COX7A2L	2273.0864	COX7A2L	1693.0071
COX7A2	1483.5059	COX7A2	1224.6247
COX7B	1033.4152	COX7B	1515.9
COX7C	1768.3356	COX7C	2391.1895
COX8A	1002.2419	COX8A	1630.5561
CP110	458.6314	CP110	440.5722
removed	removed	CPA1	140.5147
removed	removed	CPA2	20.4917
removed	removed	CPA3	487.4104
CPA4	49.1086	CPA4	71.2332
CPAMD8	2029.2516	CPAMD8	231.7517
removed	removed	CPB1	117.5835
CPD	1197.8221	CPD	3903.6742
removed	removed	CPEB1	38.544
CPEB2	345.8952	CPEB2	785.0284
CPEB3	183.6234	CPEB3	197.5988
CPEB4	468.026	CPEB4	1182.1776
CPE	468.4531	CPE	5967.484
CPLX1	9.8217	CPLX1	50.7414
CPLX3	5.9784	removed	removed
CPM	675.9902	CPM	4210.0744
removed	removed	CPN2	33.1771
CPNE1	2801.8832	CPNE1	837.2481
CPNE2	1021.0313	CPNE2	1669.588
CPNE3	4808.7968	CPNE3	3335.7606
CPNE5	28.6111	CPNE5	91.237
CPNE7	158.8556	removed	removed
CPNE8	26.903	CPNE8	344.9441
CPOX	385.6091	CPOX	220.0421
CPO	5.1244	removed	removed
CPPED1	96.9361	CPPED1	863.0921
CPS1	11.1028	CPS1	278.5899
CPSF1	4138.3581	CPSF1	785.0284
CPSF2	1392.1213	CPSF2	1275.854
CPSF3L	1695.7404	CPSF3L	827.4755
CPSF3	1840.0769	CPSF3	764.0487
CPSF4L	5.1244	removed	removed
CPSF4	436.4257	CPSF4	383.976
CPSF6	1645.3507	CPSF6	1158.2705
CPSF7	1359.6669	CPSF7	1492.9688
CPT1A	1248.2118	CPT1A	1816.4453
CPT1B	208.7072	CPT1B	143.4665
CPT1C	193.8721	CPT1C	50.7414
CPT2	727.6609	CPT2	749.8997
CPVL	126.8282	CPVL	1385.6312
CPXM1	138.7851	CPXM1	1517.3637
CPXM2	260.0619	CPXM2	3364.0587
CPZ	37.5787	CPZ	510.3416
CP	191.2928	CP	965.4239
CR1	36.2976	CR1	774.2946
removed	removed	CR2	9.758
CRABP1	424.4689	CRABP1	56.5962
CRABP2	16240.8455	CRABP2	1218.282
CRADD	96.9361	CRADD	176.1313
CRAMP1L	1255.9283	CRAMP1L	806.0616
CRAT	784.029	CRAT	1619.3344
CRB2	11.9569	CRB2	22.4433
CRB3	188.7477	CRB3	59.5236
CRBN	616.5304	CRBN	936.4086
CRCP	1152.5568	CRCP	741.1175
CREB1	805.3806	CREB1	1311.9585
CREB3L1	237.4293	CREB3L1	365.4358
CREB3L2	6625.814	CREB3L2	3674.8499
CREB3L4	1343.0127	CREB3L4	407.883
CREB3	2263.9821	CREB3	984.8276
CREB5	38.4328	CREB5	679.1544
CREBBP	3227.9278	CREBBP	2552.6839
CREBL2	985.5877	CREBL2	3198.6612
CREBZF	2599.3381	CREBZF	713.7952
CREG1	2157.3609	CREG1	4743.8351
CRELD1	1026.1557	CRELD1	1036.7839
CRELD2	288.246	CRELD2	302.009
CREM	464.1828	CREM	383.0002
removed	removed	CRHBP	333.7224
CRHR1	175.5311	CRHR1	17.5643
removed	removed	CRHR2	6.3427
CRIM1	1821.7145	CRIM1	9983.8628
CRIP1	467.172	CRIP1	2281.4124
CRIP2	1785.4169	CRIP2	2243.8442
CRIPAK	170.3854	CRIPAK	180.5224
CRIPT	734.9205	CRIPT	293.2269
CRISPLD1	16.6542	CRISPLD1	752.8271
CRISPLD2	685.8119	CRISPLD2	1366.6031
CRKL	1417.3161	CRKL	2035.9996
CRK	1081.6697	CRK	1670.0759
CRLF1	62.3465	CRLF1	197.5988
CRLF3	557.7026	CRLF3	289.8116
CRLS1	768.6559	CRLS1	838.2093
CRMP1	21.7786	CRMP1	142.6273
CRNKL1	1160.6704	CRNKL1	764.0487
CROCCL1	419.2164	CROCCL1	288.587
CROCCL2	62.3465	CROCCL2	48.3019
CROCC	419.7715	CROCC	153.2001
CROT	21.7786	CROT	380.5607
CRTAC1	26.4759	CRTAC1	132.7083
removed	removed	CRTAM	11.2217
CRTAP	2220.5615	CRTAP	10638.6223
CRTC1	235.7211	CRTC1	392.7581
CRTC2	1574.0365	CRTC2	796.7379
CRTC3	824.597	CRTC3	1755.946
CRY1	549.589	CRY1	463.0155
CRY2	275.008	CRY2	2363.8672
CRYAB	6639.479	CRYAB	18882.6397
CRYBB1	6.4055	CRYBB1	21.9554
removed	removed	CRYBB2	5.8548
CRYBG3	31.8053	CRYBG3	1217.4331
CRYGS	5.1244	CRYGS	18.0522
CRYL1	197.7154	CRYL1	686.4729
CRYZL1	245.1372	CRYZL1	408.366
CRYZ	493.2977	CRYZ	887.3699
CSAD	216.9318	CSAD	487.8983
CSDAP1	80.2818	CSDAP1	31.2255
CSDA	5278.958	CSDA	2389.7258
CSDC2	8.5406	CSDC2	19.028
CSDE1	11571.6878	CSDE1	23760.159
CSE1L	4509.021	CSE1L	1808.1511
CSF1R	522.259	CSF1R	4102.2488
CSF1	243.4077	CSF1	2085.7652
CSF2RA	131.0985	CSF2RA	137.0994
CSF2RB	82.844	CSF2RB	477.6524
CSF3R	43.5572	CSF3R	306.888
removed	removed	CSF3	40.9835
CSGALNACT1	85.8332	CSGALNACT1	788.4436
CSGALNACT2	1707.6972	CSGALNACT2	612.3124
CSK	1039.3936	CSK	610.8487
removed	removed	CSMD1	43.9108
removed	removed	CSMD2	20.9796
CSNK1A1	5049.2153	CSNK1A1	5131.2263
CSNK1D	2126.6147	CSNK1D	2479.987
CSNK1E	2301.2363	CSNK1E	1559.3229
CSNK1G1	500.4804	CSNK1G1	617.1913
CSNK1G2	983.0255	CSNK1G2	646.4652
CSNK1G3	529.0915	CSNK1G3	788.4436
CSNK2A1P	825.4511	CSNK2A1P	421.5441
CSNK2A1	2255.1511	CSNK2A1	1151.9279
CSNK2A2	772.0722	CSNK2A2	604.0181
CSNK2B	2603.8945	CSNK2B	1981.838
CSPG4	505.1778	CSPG4	2778.5808
CSPG5	22.2056	CSPG5	19.5159
CSPP1	316.003	CSPP1	246.6277
CSRNP1	279.2783	CSRNP1	1880.8479
CSRNP2	950.1441	CSRNP2	805.5201
removed	removed	CSRNP3	20.0038
CSRP1	2940.1089	CSRP1	9361.3045
CSRP2BP	673.428	CSRP2BP	616.2155
CSRP2	564.5351	CSRP2	332.7466
CST1	10.6758	removed	removed
removed	removed	CST2	11.7096
CST3	1963.9159	CST3	9917.0207
CST6	18.3623	CST6	11.2217
CST7	16.6542	CST7	78.5516
removed	removed	CST9	7.8064
CSTA	169.9584	CSTA	431.79
CSTB	6471.6558	CSTB	2509.2609
CSTF1	906.587	CSTF1	525.9544
CSTF2T	961.674	CSTF2T	924.0794
CSTF2	308.7435	CSTF2	212.2358
CSTF3	464.1187	CSTF3	493.6848
CS	3382.086	CS	7980.0645
removed	removed	CT62	38.0561
CTAGE4	100.7793	CTAGE4	30.2497
CTAGE5	807.5157	CTAGE5	585.1413
CTAGE6	7.2595	removed	removed
CTAGE9	308.3164	CTAGE9	75.1363
CTBP1	2001.2341	CTBP1	1898.139
CTBP2	1296.8933	CTBP2	1031.417
CTBS	485.5343	CTBS	517.6601
CTCFL	9.8815	CTCFL	7.3477
CTCF	1276.3959	CTCF	1262.6808
CTDP1	1531.3334	CTDP1	274.6867
CTDSP1	1762.3572	CTDSP1	3273.3096
CTDSP2	4017.5083	CTDSP2	8720.2062
CTDSPL2	517.1346	CTDSPL2	637.6831
CTDSPL	1233.6928	CTDSPL	1541.7586
CTF1	203.2668	CTF1	240.046
CTGF	3443.1515	CTGF	6906.6882
CTHRC1	1692.7511	CTHRC1	381.5365
CTH	73.4493	CTH	59.0357
CTLA4	12.3839	CTLA4	37.0803
CTNNA1	6247.0375	CTNNA1	10915.2606
removed	removed	CTNNA3	13.6612
CTNNAL1	32.8814	CTNNAL1	648.4168
removed	removed	CTNNB1	10246.274
CTNNBIP1	1712.8216	CTNNBIP1	1161.1979
CTNNBL1	1321.2341	CTNNBL1	692.3277
removed	removed	CTNND1	7777.5867
CTNND2	5.9784	CTNND2	77.0879
CTNS	297.4784	CTNS	442.2115
CTPS2	377.4955	CTPS2	434.2295
CTPS	1351.9804	CTPS	234.6791
CTR9	759.6883	CTR9	1516.8758
CTRL	5.1244	removed	removed
CTSA	4819.0712	CTSA	3725.0205
CTSB	14001.0676	CTSB	23055.6338
CTSC	1094.9077	CTSC	4820.4351
CTSD	16427.0311	CTSD	12715.1174
CTSF	1238.3901	CTSF	2220.913
removed	removed	CTSG	123.9262
CTSH	339.0627	CTSH	1475.8923
CTSK	1062.8803	CTSK	4207.6349
CTSL1	1422.8675	CTSL1	2710.275
CTSL2	151.596	CTSL2	20.9796
CTSO	507.7399	CTSO	1517.8516
CTSS	611.0815	CTSS	2722.4725
CTSW	12.8109	CTSW	94.1644
CTSZ	2788.5129	CTSZ	5175.6251
CTTNBP2NL	1171.7732	CTTNBP2NL	1076.3036
removed	removed	CTTNBP2	235.6549
CTTN	2839.7566	CTTN	3336.2485
CTU1	35.4436	CTU1	18.0522
CTU2	359.4748	CTU2	145.6962
CTXN1	298.9217	CTXN1	71.2332
CUBN	35.8706	CUBN	82.9427
CUEDC1	528.2374	CUEDC1	376.1696
CUEDC2	834.4187	CUEDC2	575.72
CUL1	2010.8893	CUL1	1467.5981
CUL2	2039.5004	CUL2	848.943
CUL3	1345.5749	CUL3	1605.6733
CUL4A	2524.1806	CUL4A	1687.1523
CUL4B	1325.5044	CUL4B	1825.7154
CUL5	709.7256	CUL5	1022.6348
CUL7	3202.2675	CUL7	808.9256
CUL9	1065.8695	CUL9	534.7365
CUTA	3903.491	CUTA	1503.2146
CUTC	246.9905	CUTC	560.9952
CUX1	1235.4009	CUX1	1674.4669
removed	removed	CUX2	13.6612
CUZD1	26.7663	CUZD1	5.9865
CWC15	430.4473	CWC15	705.9888
CWC22	490.2317	CWC22	672.3238
CWC25	491.9398	CWC25	360.5568
CWC27	415.5012	CWC27	429.3505
CWF19L1	476.5667	CWF19L1	466.4308
CWF19L2	340.3438	CWF19L2	486.9225
CWH43	241.6996	removed	removed
CX3CL1	1392.1213	CX3CL1	2205.7882
CX3CR1	10.6758	CX3CR1	352.2626
removed	removed	CXADRP3	9.2701
CXADR	880.111	CXADR	93.6765
CXCL10	183.6234	CXCL10	80.9911
CXCL11	36.2976	CXCL11	11.2217
CXCL12	1111.9889	CXCL12	14730.6253
CXCL13	24.3408	removed	removed
CXCL14	38.8598	CXCL14	6519.7849
CXCL16	3452.5462	CXCL16	1082.6463
removed	removed	CXCL17	20.9796
CXCL1	203.2668	CXCL1	76.1121
CXCL2	18.3623	CXCL2	342.0167
CXCL3	18.7894	CXCL3	15.6127
CXCL5	138.7851	removed	removed
CXCL6	8.9677	CXCL6	7.8064
CXCL9	195.5802	CXCL9	89.7733
removed	removed	CXCR1	54.6446
removed	removed	CXCR2	121.9746
CXCR3	14.5191	CXCR3	21.4675
CXCR4	1536.0307	CXCR4	779.1736
CXCR5	9.3947	CXCR5	7.3185
CXCR6	17.0812	CXCR6	34.1529
CXCR7	163.9799	CXCR7	4893.132
CXXC1	1207.6439	CXXC1	403.4919
CXXC4	75.5845	CXXC4	6.3427
CXXC5	46.9734	CXXC5	514.2448
CXorf21	26.0489	CXorf21	65.8663
CXorf23	115.2984	CXorf23	223.4574
CXorf26	400.5551	CXorf26	402.5161
CXorf36	148.1798	CXorf36	2750.2827
CXorf38	92.6657	CXorf38	185.8892
CXorf40A	213.0885	CXorf40A	350.7989
CXorf40B	247.251	CXorf40B	381.5365
CXorf42	5.9784	CXorf42	20.9796
CXorf49B	7.2595	removed	removed
CXorf56	213.0885	CXorf56	288.8358
removed	removed	CXorf57	20.0038
CXorf61	232.3049	removed	removed
CYB561D1	490.2317	CYB561D1	505.9505
CYB561D2	337.3545	CYB561D2	314.2065
CYB561	3075.0507	CYB561	1454.9127
CYB5A	228.0346	CYB5A	3913.4322
CYB5B	1587.2745	CYB5B	1992.0887
CYB5D1	588.4488	CYB5D1	671.3481
CYB5D2	866.019	CYB5D2	788.4436
CYB5R1	1226.4332	CYB5R1	1552.4924
CYB5R2	1393.4024	CYB5R2	152.2243
CYB5R3	3197.1816	CYB5R3	14606.6991
CYB5R4	246.3969	CYB5R4	257.1224
CYB5RL	70.4601	CYB5RL	109.2892
CYBASC3	1090.2103	CYBASC3	1812.0543
CYBA	735.7745	CYBA	590.8448
CYBB	453.934	CYBB	2122.3576
CYBRD1	2722.323	CYBRD1	15579.5683
CYC1	2593.3597	CYC1	1344.1598
CYCS	2471.2288	CYCS	1909.146
CYFIP1	3471.7626	CYFIP1	4362.2986
CYFIP2	43.5572	CYFIP2	246.8765
CYGB	150.3149	CYGB	716.7226
CYHR1	909.5762	CYHR1	524.0028
CYLD	1047.9342	CYLD	1269.5114
removed	removed	CYP11A1	125.8778
removed	removed	CYP19A1	37.0803
CYP1B1	336.5005	CYP1B1	1789.123
CYP20A1	468.4531	CYP20A1	637.6831
removed	removed	CYP21A2	102.7319
CYP24A1	86.6873	removed	removed
removed	removed	CYP26A1	43.4229
CYP26B1	562.3999	CYP26B1	839.673
CYP27A1	941.1765	CYP27A1	537.176
CYP27B1	67.4709	CYP27B1	6.8306
CYP27C1	84.9792	CYP27C1	27.3223
removed	removed	CYP2A6	29.2739
removed	removed	CYP2B7P1	22.9312
removed	removed	CYP2C18	14.7492
removed	removed	CYP2C8	10.2459
CYP2D7P1	5.1244	removed	removed
removed	removed	CYP2E1	9.8555
CYP2J2	424.4689	CYP2J2	105.8739
CYP2R1	250.6672	CYP2R1	169.3007
CYP2S1	26.0489	CYP2S1	49.2777
CYP2U1	75.5845	CYP2U1	725.0169
CYP39A1	324.5436	CYP39A1	122.4625
removed	removed	CYP3A4	25.3707
removed	removed	CYP3A5	23.907
CYP46A1	8.1136	CYP46A1	100.0192
removed	removed	CYP4B1	424.9594
removed	removed	CYP4F12	68.7937
removed	removed	CYP4F22	14.1491
CYP4V2	611.9355	CYP4V2	773.3188
removed	removed	CYP4X1	459.1123
removed	removed	CYP4Z1	50.2535
removed	removed	CYP4Z2P	18.0522
CYP51A1	2345.2546	CYP51A1	1219.7457
CYP7B1	54.66	CYP7B1	244.9249
removed	removed	CYP8B1	13.1733
CYR61	1553.112	CYR61	6112.3898
CYS1	69.6061	CYS1	190.2803
CYSLTR1	8.1136	CYSLTR1	115.144
removed	removed	CYSLTR2	106.8497
CYTH1	727.6609	CYTH1	729.8958
CYTH2	959.5388	CYTH2	684.0334
CYTH3	842.5323	CYTH3	1562.7382
CYTH4	176.7909	CYTH4	642.5621
CYTIP	51.2437	CYTIP	131.2446
removed	removed	CYTL1	61.9631
CYTSA	1512.544	CYTSA	2332.1538
CYTSB	115.7254	CYTSB	420.5683
CYYR1	70.0331	CYYR1	1765.216
D2HGDH	258.3538	D2HGDH	160.5185
D4S234E	5.1244	D4S234E	114.1682
DAAM1	529.5185	DAAM1	1317.8133
removed	removed	DAAM2	2210.9599
DAB2IP	1007.3663	DAB2IP	2277.0213
DAB2	707.5905	DAB2	7312.1317
removed	removed	DACH1	371.2906
DACT1	207.1101	DACT1	237.1186
DACT2	193.018	DACT2	89.7733
DACT3	26.4759	DACT3	109.2892
DAD1	1908.8289	DAD1	2512.1883
DAG1	5992.954	DAG1	4359.3712
DAGLA	102.0604	DAGLA	165.8854
DAGLB	654.2116	DAGLB	332.7466
DAK	1027.0097	DAK	495.2168
DALRD3	995.7724	DALRD3	530.0478
DAND5	26.903	DAND5	12.6854
DAP3	3297.1069	DAP3	1731.551
DAPK1	1754.6707	DAPK1	558.6435
DAPK2	209.6723	DAPK2	414.7135
DAPK3	611.0815	DAPK3	424.9594
DAPP1	53.8059	DAPP1	98.5555
DAP	4868.1542	DAP	2957.6395
DARC	22.2056	DARC	4134.4501
DARS2	1334.0451	DARS2	547.4219
DARS	1665.4212	DARS	1592.0121
DAXX	1896.872	DAXX	1074.8399
DAZAP1	1934.0237	DAZAP1	877.729
DAZAP2	3899.2207	DAZAP2	5752.8088
removed	removed	DBC1	146.3695
DBF4B	151.596	DBF4B	75.1363
DBF4	415.5012	DBF4	80.9911
DBI	2166.3286	DBI	3903.1863
DBN1	3057.5424	DBN1	1633.9714
DBNDD1	1024.8746	DBNDD1	210.2842
DBNDD2	1234.85	DBNDD2	682.8185
DBNL	1545.4254	DBNL	1495.4083
DBP	273.2828	DBP	258.0933
DBR1	334.7924	DBR1	359.0931
DBT	614.4977	DBT	946.5227
removed	removed	DBX2	53.6688
DCAF10	2130.885	DCAF10	978.724
DCAF11	2056.7994	DCAF11	1635.3863
DCAF12	3482.8654	DCAF12	1488.5777
DCAF13	1616.5987	DCAF13	555.7601
DCAF15	2348.2438	DCAF15	262.4893
DCAF16	656.3467	DCAF16	677.2028
DCAF17	332.2302	DCAF17	375.6817
DCAF4L1	8.5406	DCAF4L1	5.3669
DCAF4	627.7357	DCAF4	201.0141
DCAF5	744.3151	DCAF5	1945.2505
DCAF6	3935.0913	DCAF6	2178.4659
DCAF7	2664.2468	DCAF7	2080.8862
DCAF8	3411.7092	DCAF8	2381.4316
DCAKD	944.1657	DCAKD	894.3176
DCBLD1	335.2194	DCBLD1	254.195
DCBLD2	287.8189	DCBLD2	1657.3905
DCDC2	35.5888	DCDC2	258.3373
removed	removed	DCD	7.3185
DCHS1	297.2136	DCHS1	2160.4136
DCHS2	753.2828	DCHS2	85.3822
DCI	559.4107	DCI	343.9683
DCK	749.4395	DCK	417.153
DCLK1	24.7678	DCLK1	1298.2974
DCLK2	593.1462	DCLK2	109.7771
DCLK3	8.1136	DCLK3	28.2981
DCLRE1A	274.1539	DCLRE1A	267.8562
DCLRE1B	228.4616	DCLRE1B	265.4167
DCLRE1C	544.8916	DCLRE1C	205.8931
DCN	3665.6347	DCN	76559.0485
DCP1A	856.6243	DCP1A	989.9456
DCP1B	328.3869	DCP1B	366.8995
DCP2	470.5882	DCP2	1039.7113
DCPS	629.4438	DCPS	237.1186
DCST1	13.8657	removed	removed
DCST2	124.6931	DCST2	10.2459
DCTD	1259.3146	DCTD	1652.9994
DCTN1	6167.5243	DCTN1	3812.8032
DCTN2	2283.7621	DCTN2	2505.8456
DCTN3	996.6905	DCTN3	744.0449
DCTN4	953.9874	DCTN4	2110.1601
DCTN5	1771.7519	DCTN5	1308.5432
DCTN6	199.4235	DCTN6	716.7226
DCTPP1	1290.0566	DCTPP1	378.6091
removed	removed	DCT	8.2943
DCUN1D1	723.8177	DCUN1D1	576.2079
DCUN1D2	279.7053	DCUN1D2	198.5746
DCUN1D3	134.9418	DCUN1D3	732.3353
DCUN1D4	532.9348	DCUN1D4	1003.6068
DCUN1D5	417.6364	DCUN1D5	258.5861
DCXR	385.6091	DCXR	804.5443
removed	removed	DCX	58.5478
DDA1	2366.1791	DDA1	526.9302
DDAH1	627.3086	DDAH1	915.2972
DDAH2	2909.7897	DDAH2	1497.3599
DDB1	5072.275	DDB1	5988.4636
DDB2	260.489	DDB2	418.1288
DDHD1	272.8729	DDHD1	461.5518
DDHD2	2101.8469	DDHD2	2123.3334
DDI2	201.785	DDI2	185.8697
DDIT3	714.9055	DDIT3	203.3804
DDIT4L	86.2603	DDIT4L	116.6077
DDIT4	2529.732	DDIT4	3133.7707
DDN	34.3675	removed	removed
DDOST	6961.0334	DDOST	3826.5863
DDO	7.6866	DDO	90.2612
DDR1	10846.5891	DDR1	1926.2225
DDR2	600.8327	DDR2	4443.2898
DDRGK1	1577.8798	DDRGK1	447.8906
DDTL	133.4088	DDTL	217.8368
DDT	399.2313	DDT	745.211
DDX10	500.4804	DDX10	458.1365
removed	removed	DDX11L2	30.7376
DDX11	876.6948	DDX11	141.0026
DDX12	170.3854	DDX12	18.0522
DDX17	6767.5883	DDX17	7277.003
DDX18	1520.2306	DDX18	1633.9714
DDX19A	836.5539	DDX19A	1124.1177
DDX19B	1229.8281	DDX19B	792.3322
DDX1	5432.6892	DDX1	2628.796
DDX20	345.0411	DDX20	403.4919
DDX21	8023.0597	DDX21	1506.142
DDX23	1759.795	DDX23	1635.4351
DDX24	2018.5759	DDX24	3621.669
DDX26B	87.5414	DDX26B	174.1797
DDX27	2101.4199	DDX27	586.4537
DDX28	392.4416	DDX28	216.6268
DDX31	321.9814	DDX31	201.0141
DDX39	4977.0471	DDX39	422.5199
DDX3X	4986.8688	DDX3X	9324.2243
DDX41	1296.4663	DDX41	737.2143
DDX42	3782.2142	DDX42	3104.0089
removed	removed	DDX43	6.8306
DDX46	1353.2614	DDX46	1070.4489
DDX47	1565.1671	DDX47	893.3418
DDX49	1798.6549	DDX49	475.7008
DDX50	2690.2957	DDX50	907.9787
DDX51	379.2036	DDX51	254.195
DDX52	847.6567	DDX52	511.8053
DDX54	952.8814	DDX54	701.9442
DDX55	257.9268	DDX55	297.618
DDX56	2222.2697	DDX56	861.6284
DDX58	1389.9861	DDX58	633.292
DDX59	769.083	DDX59	323.4766
DDX5	8256.2186	DDX5	10281.9686
DDX60L	400.1281	DDX60L	500.0958
DDX60	811.7861	DDX60	678.6665
DDX6	2887.157	DDX6	4195.4374
DEAF1	487.2424	DEAF1	404.9556
DECR1	2093.7333	DECR1	1832.0581
DECR2	389.8794	DECR2	347.3836
DEDD2	310.0246	DEDD2	285.9084
DEDD	1344.1486	DEDD	845.879
DEF6	54.66	DEF6	136.1236
DEF8	728.515	DEF8	771.8551
removed	removed	DEFB132	1024.5864
DEFB1	6.8325	DEFB1	137.0994
DEGS1	1264.012	DEGS1	2556.5871
DEGS2	73.8764	DEGS2	134.6599
DEK	3714.7432	DEK	1718.3778
DEM1	214.7966	DEM1	129.293
DENND1A	557.2755	DENND1A	580.599
DENND1B	227.6076	DENND1B	104.8981
DENND1C	110.601	DENND1C	62.451
DENND2A	39.7139	DENND2A	531.8091
DENND2C	8.7926	DENND2C	57.6989
DENND2D	174.2287	DENND2D	518.6359
DENND3	209.2452	DENND3	764.0487
DENND4A	248.4979	DENND4A	700.5976
DENND4B	992.8814	DENND4B	914.8093
DENND4C	1949.8238	DENND4C	1689.5918
DENND5A	814.7753	DENND5A	4449.1445
DENND5B	122.9849	DENND5B	538.6397
DENR	1059.037	DENR	1242.677
DEPDC1B	139.6392	DEPDC1B	5.8548
DEPDC1	196.0073	DEPDC1	12.6854
DEPDC4	6.4055	DEPDC4	8.2943
DEPDC5	322.4085	DEPDC5	314.2065
DEPDC6	210.9533	DEPDC6	967.0144
DEPDC7	17.0812	DEPDC7	11.7096
DERA	1001.8149	DERA	421.5441
DERL1	2794.4913	DERL1	2170.1716
DERL2	593.5732	DERL2	583.0385
DERL3	265.6133	DERL3	103.4344
DES	37.5787	DES	664.5175
DET1	134.9418	DET1	198.0867
DEXI	403.5444	DEXI	714.2831
DFFA	771.2181	DFFA	469.3582
