gene_id	TCGA-BH-A0E0-01A-11R-A056-07	gene_id	TCGA-BH-A0E0-11A-13R-A089-07
removed	removed	?|100133144	7.1752
?|100134869	10.9933	removed	removed
?|10357	92.8397	?|10357	89.4279
?|10431	1728.2145	?|10431	993.3481
?|155060	239.4881	?|155060	123.2816
?|390284	9.7502	?|390284	17.7384
?|57714	159.6587	?|57714	195.5654
?|653553	563.6807	?|653553	83.3703
?|729884	31.0786	?|729884	456.3193
?|8225	895.1859	?|8225	780.0443
?|90288	10.3595	?|90288	33.7029
A1BG	56.6728	A1BG	158.0355
A2LD1	220.9628	A2LD1	69.7827
A2ML1	199.8781	A2ML1	31.929
A2M	7282.0719	A2M	33665.5432
A4GALT	120.6581	A4GALT	254.102
AAAS	372.3339	AAAS	895.3437
AACSL	19.5003	removed	removed
AACS	1263.2541	AACS	1834.5898
AADACL2	118.2206	removed	removed
AADAC	19.5003	AADAC	21.286
AADAT	226.691	AADAT	39.9113
AAGAB	1144.4241	AAGAB	1504.2129
AAK1	1168.7995	AAK1	679.8226
AAMP	2609.3845	AAMP	3154.7672
AARS2	1174.1499	AARS2	483.6009
AARSD1	295.5515	AARSD1	830.5987
AARS	3870.8105	AARS	3715.7428
AASDHPPT	1390.6155	AASDHPPT	703.7694
AASDH	229.738	AASDH	358.3149
AASS	183.4247	AASS	341.9069
AATF	1998.1718	AATF	1447.0067
AATK	22.5472	AATK	45.2328
ABAT	201.7063	ABAT	910.4213
ABCA10	6.0938	ABCA10	50.1109
ABCA11P	107.1481	ABCA11P	141.8271
ABCA12	447.2882	ABCA12	368.071
ABCA13	15.844	ABCA13	16.408
removed	removed	ABCA17P	5.765
ABCA1	376.5996	ABCA1	316.6297
ABCA2	372.9433	ABCA2	1300.2217
ABCA3	611.8221	ABCA3	1331.2639
ABCA4	143.8147	ABCA4	8.4257
ABCA5	162.0963	ABCA5	540.133
ABCA6	69.4698	ABCA6	148.5588
ABCA7	134.0646	ABCA7	283.8137
ABCA8	6.0938	ABCA8	251.4412
ABCA9	14.6252	ABCA9	342.3503
ABCB10	213.894	ABCB10	188.0266
ABCB1	29.2505	ABCB1	496.2306
ABCB4	7.922	ABCB4	22.1729
removed	removed	ABCB5	24.3902
ABCB6	1083.6807	ABCB6	595.0466
ABCB7	722.1207	ABCB7	704.6563
ABCB8	737.3553	ABCB8	600.4435
ABCB9	377.5442	ABCB9	181.2506
ABCC10	619.7441	ABCC10	392.4612
ABCC11	9.7502	ABCC11	4384.9224
removed	removed	ABCC12	5.765
ABCC1	1086.5326	ABCC1	1349.8891
ABCC2	7.3126	removed	removed
ABCC3	23.766	ABCC3	330.3769
ABCC4	32.9068	ABCC4	44.7894
ABCC5	277.27	ABCC5	798.6696
ABCC6P2	25.5941	ABCC6P2	26.1641
ABCC6	32.9068	ABCC6	79.3792
ABCC8	12.7971	ABCC8	983.592
ABCC9	154.1743	ABCC9	109.5344
ABCD1	403.4126	ABCD1	346.3415
removed	removed	ABCD2	23.9468
ABCD3	1709.933	ABCD3	3881.153
ABCD4	235.8318	ABCD4	642.1286
ABCE1	1746.496	ABCE1	1148.1153
ABCF1	2204.1438	ABCF1	1682.9268
ABCF2	2496.039	ABCF2	1487.3614
ABCF3	1191.9561	ABCF3	1128.6031
ABCG1	564.2901	ABCG1	370.7317
ABCG2	29.2505	ABCG2	99.3348
ABCG5	6.7032	removed	removed
ABCG8	16.4534	removed	removed
ABHD10	605.7282	ABHD10	757.4279
ABHD11	1491.1639	ABHD11	676.2749
ABHD12B	216.9409	removed	removed
ABHD12	3398.5375	ABHD12	946.3415
ABHD13	334.5521	ABHD13	365.8537
ABHD14A	167.5807	ABHD14A	350.3326
ABHD14B	880.5606	ABHD14B	2507.3171
ABHD15	202.925	ABHD15	427.9379
ABHD1	28.0317	ABHD1	22.1729
