gene_id	TCGA-BH-A0BV-01A-11R-A00Z-07	gene_id	TCGA-BH-A0BV-11A-31R-A089-07
removed	removed	CELF4	25.0704
removed	removed	CELF5	60.2301
CELF6	9.2095	CELF6	52.7395
CELSR1	4811.2049	CELSR1	4333.2006
CELSR2	3371.8342	CELSR2	4431.6477
CELSR3	232.7744	CELSR3	48.1871
removed	removed	CEL	20.4843
CEMP1	97.8511	CEMP1	136.6366
CENPA	37.2218	CENPA	29.0449
CENPBD1	405.9862	CENPBD1	321.9403
CENPB	1935.1497	CENPB	1671.1546
CENPC1	251.7268	CENPC1	503.8534
CENPE	298.1581	CENPE	114.6511
CENPF	2004.9885	CENPF	513.9427
CENPH	165.7713	CENPH	103.3389
CENPI	75.2111	CENPI	25.0704
CENPJ	145.8173	CENPJ	236.9456
CENPK	52.9547	CENPK	32.7138
CENPL	161.1665	CENPL	96.9184
CENPM	70.99	CENPM	30.2679
CENPN	205.6408	CENPN	148.5481
CENPO	60.1036	CENPO	89.6816
CENPP	77.9547	CENPP	99.0463
CENPQ	129.7007	CENPQ	96.0012
CENPT	326.5541	CENPT	393.1769
CENPV	49.8849	CENPV	166.932
CENPW	99.0023	CENPW	75.2111
CEP110	536.8381	CEP110	668.951
CEP120	713.3538	CEP120	649.6896
CEP135	230.6216	CEP135	257.1242
CEP152	53.7222	CEP152	118.3199
CEP164	437.0683	CEP164	686.6837
CEP170	1104.3745	CEP170	1093.9245
CEP192	707.9816	CEP192	979.5791
CEP250	1165.7713	CEP250	730.0983
CEP290	518.5188	CEP290	591.3276
CEP350	2722.1796	CEP350	1615.2049
CEP55	212.9701	CEP55	66.9562
CEP57	523.7913	CEP57	960.6235
CEP63	770.802	CEP63	697.9012
CEP68	859.1711	CEP68	1547.1571
CEP70	564.8503	CEP70	338.1443
CEP72	56.792	CEP72	86.5234
CEP76	177.6669	CEP76	168.4607
CEP78	266.6922	CEP78	313.074
CEP97	321.5656	CEP97	203.6204
CEPT1	891.7882	CEPT1	837.106
CERCAM	1199.1558	CERCAM	1344.0168
CERKL	369.8964	CERKL	46.1876
CERK	786.2625	CERK	898.559
CES1	164.6201	CES1	2388.1062
CES2	1019.954	CES2	1128.7784
CES3	27.6285	CES3	180.0787
CES4	11.5119	CES4	64.5104
CES8	26.4774	CES8	114.9568
CETN2	2712.2026	CETN2	997.0061
CETN3	313.5073	CETN3	331.1124
CETP	5.3722	CETP	22.013
CFB	12909.9885	CFB	1364.3696
CFDP1	1095.5487	CFDP1	851.4756
CFD	61.3968	CFD	3167.4281
CFH	1451.2663	CFH	1565.9813
CFI	273.5994	CFI	457.6872
CFL1	15792.7859	CFL1	7873.0155
CFL2	248.2732	CFL2	632.8741
CFLAR	693.3998	CFLAR	1077.7205
removed	removed	CFLP1	9.7836
CFP	13.0468	CFP	25.6818
removed	removed	CFTR	23.236
CG030	13.8143	CG030	43.7203
CGA	47.1988	removed	removed
removed	removed	CGB7	12.7951
CGGBP1	2264.3899	CGGBP1	2449.8772
CGNL1	1170.3761	CGNL1	3385.1123
CGN	808.9025	CGN	1820.0482
CGREF1	221.8227	CGREF1	278.9783
CGRRF1	272.4482	CGRRF1	239.0858
CH25H	23.7913	CH25H	278.8315
CHAC1	33.3845	CHAC1	14.0639
CHAC2	21.1051	CHAC2	22.013
CHADL	27.2448	CHADL	89.275
CHAD	4428.2425	CHAD	280.0545
CHAF1A	365.6946	CHAF1A	232.0539
CHAF1B	381.8112	CHAF1B	139.4158
CHCHD10	149.6546	CHCHD10	317.0485
CHCHD1	445.1266	CHCHD1	382.1704
CHCHD2	2911.7421	CHCHD2	2244.1044
CHCHD3	895.2417	CHCHD3	628.2881
CHCHD4	301.9954	CHCHD4	221.9646
CHCHD5	257.099	CHCHD5	189.8622
CHCHD6	108.5955	CHCHD6	118.6257
CHCHD7	180.7368	CHCHD7	342.7304
CHCHD8	407.5211	CHCHD8	459.8274
CHD1L	1040.6754	CHD1L	760.3662
CHD1	3477.7437	CHD1	1516.7578
CHD2	2271.297	CHD2	3550.8214
CHD3	4442.4405	CHD3	5343.0476
CHD4	8565.3147	CHD4	7124.0838
CHD6	1769.7621	CHD6	2712.1867
CHD7	587.4904	CHD7	773.8186
CHD8	2870.2993	CHD8	2694.454
CHD9	1470.8365	CHD9	2336.1311
CHDH	901.7652	CHDH	970.7128
CHEK1	125.8634	CHEK1	127.492
CHEK2	106.2932	CHEK2	171.8238
CHERP	1337.0721	CHERP	1263.1556
CHFR	426.3239	CHFR	345.482
removed	removed	CHGA	18.9557
removed	removed	CHGB	168.7664
CHI3L1	118.1888	CHI3L1	1281.0351
CHI3L2	90.944	CHI3L2	435.98
CHIC1	261.7038	CHIC1	370.8581
CHIC2	146.5848	CHIC2	269.9652
CHID1	1625.4797	CHID1	1424.4254
CHIT1	7.6746	CHIT1	14.0639
CHKA	1912.5096	CHKA	1156.2947
CHKB-CPT1B	165.2916	CHKB-CPT1B	321.7171
CHKB	148.2617	CHKB	176.8929
CHL1	166.9225	CHL1	928.5211
CHML	531.0821	CHML	480.3117
CHMP1A	2401.3814	CHMP1A	1373.3675
CHMP1B	1613.9678	CHMP1B	1777.2451
CHMP2A	2959.3246	CHMP2A	1217.7477
CHMP2B	1168.8411	CHMP2B	1092.0901
CHMP4A	696.9455	CHMP4A	736.7695
CHMP4B	5490.7905	CHMP4B	2676.4156
CHMP4C	398.3116	CHMP4C	701.9705
CHMP5	1503.5994	CHMP5	1085.3241
CHMP6	428.2425	CHMP6	389.2023
CHMP7	886.0322	CHMP7	1040.4206
CHM	823.4843	CHM	615.4472
CHN1	244.8196	CHN1	393.1769
CHN2	270.9133	CHN2	95.084
removed	removed	CHODL	25.0704
CHORDC1	344.5894	CHORDC1	498.0444
CHPF2	1428.6262	CHPF2	1013.8216
CHPF	2726.4006	CHPF	1580.3509
CHPT1	508.4421	CHPT1	2371.5965
CHP	3325.7866	CHP	2865.6663
CHRAC1	323.4843	CHRAC1	473.5855
CHRDL1	36.0706	CHRDL1	3286.6652
CHRD	753.2617	CHRD	207.9007
CHRFAM7A	9.2095	CHRFAM7A	25.425
removed	removed	CHRM1	339.673
CHRM3	16.1167	CHRM3	53.8096
CHRM4	6.9071	CHRM4	8.5606
removed	removed	CHRM5	6.4205
CHRNA10	5.3722	CHRNA10	6.4205
CHRNA1	15.7329	CHRNA1	11.0065
CHRNA3	6.9071	removed	removed
CHRNA5	105.5257	CHRNA5	36.6884
CHRNA6	37.6055	removed	removed
CHRNB1	158.4804	CHRNB1	196.2338
removed	removed	CHRNB2	71.5423
CHRNE	15.66	CHRNE	21.7531
CHST10	505.3722	CHST10	312.7682
CHST11	218.3423	CHST11	85.9119
CHST12	238.2962	CHST12	310.9338
CHST13	6.9071	removed	removed
CHST14	863.0084	CHST14	525.8664
CHST15	1600.1535	CHST15	1282.8695
CHST1	251.3431	CHST1	84.689
CHST2	75.5948	CHST2	491.624
CHST3	289.3323	CHST3	1467.5342
removed	removed	CHST4	6.7262
removed	removed	CHST5	5.5522
CHST6	32.617	CHST6	31.7966
CHST7	31.0821	CHST7	99.67
CHST8	378.3576	CHST8	89.8865
removed	removed	CHST9	669.5625
CHSY1	1118.9563	CHSY1	2640.3387
CHSY3	125.4797	CHSY3	87.1348
CHTF18	179.9693	CHTF18	163.2632
CHTF8	2492.7091	CHTF8	2272.81
CHUK	613.2003	CHUK	530.1467
CHURC1	1404.8312	CHURC1	1220.163
CIAO1	1549.8849	CIAO1	1940.2026
CIAPIN1	864.9271	CIAPIN1	668.3396
CIB1	2484.6508	CIB1	993.0315
CIB2	40.2916	CIB2	107.3134
CIB3	20.7214	removed	removed
CIC	1594.0138	CIC	1698.6709
removed	removed	CIDEA	339.673
CIDEB	202.9547	CIDEB	303.1039
CIDECP	132.0031	CIDECP	87.4406
CIDEC	5.3722	CIDEC	1451.636
CIITA	226.0169	CIITA	113.4282
CILP2	460.8596	CILP2	48.9178
CILP	3767.8434	CILP	1142.5366
CINP	506.5234	CINP	385.8392
CIR1	986.5695	CIR1	842.6092
CIRBP	4106.2932	CIRBP	5494.6928
CIRH1A	973.5226	CIRH1A	841.9978
CISD1	210.6677	CISD1	241.8374
CISD2	458.1734	CISD2	365.9664
CISD3	849.2748	CISD3	430.3177
CISH	2152.3408	CISH	647.2437
CITED1	301.9954	CITED1	410.6039
CITED2	2018.419	CITED2	1369.3929
CITED4	76.3622	CITED4	1554.3634
CIT	475.4413	CIT	188.945
CIZ1	1927.4751	CIZ1	1979.3368
CKAP2L	111.2817	CKAP2L	29.3507
CKAP2	346.1243	CKAP2	429.2538
CKAP4	3524.9424	CKAP4	2439.7757
CKAP5	2981.9647	CKAP5	2458.1199
CKB	252.4942	CKB	318.5772
CKLF	459.3246	CKLF	195.6712
CKMT1A	99.7698	CKMT1A	200.563
CKMT1B	80.1995	CKMT1B	269.3537
removed	removed	CKMT2	74.5997
CKS1B	484.6508	CKS1B	393.7884
CKS2	302.7629	CKS2	179.1615
CLASP1	1458.9409	CLASP1	1911.1576
CLASP2	1838.066	CLASP2	1756.7608
removed	removed	CLCA2	101.1987
removed	removed	CLCA4	395.0113
CLCC1	890.2955	CLCC1	1016.4815
CLCF1	183.8066	CLCF1	131.1609
removed	removed	CLCN1	10.7008
CLCN2	266.3085	CLCN2	69.4021
CLCN3	1413.6608	CLCN3	2248.9962
CLCN4	32.617	CLCN4	136.6641
CLCN5	218.726	CLCN5	184.9705
CLCN6	250.1919	CLCN6	467.7765
CLCN7	1898.3116	CLCN7	1298.1563
CLCNKA	6.1397	removed	removed
removed	removed	CLDN10	8.527
CLDN11	78.2809	CLDN11	1111.272
CLDN12	1402.9163	CLDN12	1344.3225
CLDN15	99.386	CLDN15	149.5051
removed	removed	CLDN19	215.5441
CLDN1	409.8235	CLDN1	454.6299
CLDN23	56.792	CLDN23	160.5116
CLDN25	6.1397	removed	removed
removed	removed	CLDN2	9.1721
CLDN3	1270.1458	CLDN3	1349.52
CLDN4	4084.0368	CLDN4	8467.3669
CLDN5	111.6654	CLDN5	688.5181
CLDN7	3196.8534	CLDN7	1296.3219
CLDN8	12.2794	CLDN8	1556.1978
CLDND1	1183.0391	CLDND1	1132.1415
removed	removed	CLDND2	5.809
CLEC10A	18.419	CLEC10A	69.7079
CLEC11A	352.264	CLEC11A	336.9214
CLEC12A	5.7559	removed	removed
CLEC14A	453.185	CLEC14A	660.0847
CLEC16A	849.5779	CLEC16A	865.2337
CLEC17A	5.7559	removed	removed
removed	removed	CLEC18A	5.5033
CLEC1A	34.9194	CLEC1A	96.0012
CLEC2B	155.4106	CLEC2B	163.2632
CLEC2D	354.1827	CLEC2D	417.3301
removed	removed	CLEC2L	7.0319
CLEC3A	12195.3185	CLEC3A	6.1147
CLEC3B	159.6316	CLEC3B	1023.2994
CLEC4A	60.2456	CLEC4A	29.3507
CLEC4E	14.5817	CLEC4E	6.7262
CLEC4F	5.7559	CLEC4F	34.2425
removed	removed	CLEC4G	15.2868
CLEC5A	305.449	CLEC5A	10.0893
CLEC7A	220.2609	CLEC7A	51.058
removed	removed	CLEC9A	17.7327
CLECL1	17.2678	CLECL1	7.9491
CLGN	31.4658	CLGN	108.5364
CLIC1	5653.8757	CLIC1	3724.4796
CLIC2	188.7951	CLIC2	346.705
CLIC3	28.0123	CLIC3	33.9367
CLIC4	3760.1688	CLIC4	5790.6455
CLIC5	122.7936	CLIC5	297.1757
CLIC6	42.9777	CLIC6	706.2509
CLINT1	2163.4689	CLINT1	1727.4101
CLIP1	2897.9279	CLIP1	2466.6805
CLIP2	442.8243	CLIP2	590.0711
CLIP3	290.0998	CLIP3	816.6217
CLIP4	53.7222	CLIP4	941.9735
CLK1	1156.9455	CLK1	2100.7141
CLK2P	21.1051	CLK2P	14.6753
CLK2	939.3707	CLK2	717.8688
CLK3	666.5388	CLK3	867.6796
CLK4	297.3906	CLK4	635.32
CLMN	1719.1097	CLMN	2000.1269
CLN3	1849.1942	CLN3	838.3289
CLN5	532.617	CLN5	789.4111
CLN6	774.7506	CLN6	556.4401
CLN8	156.1781	CLN8	585.485
CLNS1A	1204.1443	CLNS1A	1336.0676
CLOCK	505.3722	CLOCK	552.4655
CLP1	141.2126	CLP1	219.5187
CLPB	176.132	CLPB	255.5955
CLPP	759.7851	CLPP	472.0568
CLPTM1L	2405.9862	CLPTM1L	1524.7069
CLPTM1	3768.6109	CLPTM1	2125.173
CLPX	744.4359	CLPX	978.0504
CLSPN	101.6884	CLSPN	21.7073
CLSTN1	6813.5073	CLSTN1	7051.8078
CLSTN2	509.5932	CLSTN2	916.2917
CLSTN3	1576.3622	CLSTN3	1442.1581
CLTA	1816.5771	CLTA	2086.956
CLTB	923.254	CLTB	726.4295
CLTCL1	37.9893	CLTCL1	177.9385
CLTC	13879.5088	CLTC	9326.7916
CLUAP1	616.6539	CLUAP1	561.9433
CLUL1	20.3377	CLUL1	84.3832
CLU	1434.3822	CLU	15175.8328
removed	removed	CLVS1	8.1265
CLYBL	47.9662	CLYBL	88.3578
removed	removed	CMA1	22.9302
CMAH	145.4336	CMAH	282.8061
CMAS	610.8979	CMAS	866.7624
CMBL	1560.2456	CMBL	960.3177
CMC1	177.6669	CMC1	106.3962
CMIP	2026.0936	CMIP	1302.4366
CMKLR1	364.1596	CMKLR1	204.5376
CMPK1	1671.911	CMPK1	4338.3981
CMPK2	320.4144	CMPK2	64.5104
CMTM1	136.9916	CMTM1	119.2372
CMTM3	1288.5649	CMTM3	1102.4851
CMTM4	761.7038	CMTM4	1730.7732
removed	removed	CMTM5	15.8983
CMTM6	5201.0744	CMTM6	3141.4405
CMTM7	185.7252	CMTM7	1336.0676
CMTM8	455.1036	CMTM8	240.3087
CMYA5	947.0453	CMYA5	1811.4876
CN5H6.4	5.3722	CN5H6.4	14.0639
CNBP	4595.5487	CNBP	6184.7396
CNDP2	4754.4129	CNDP2	2835.3985
CNFN	76.746	CNFN	45.249
removed	removed	CNGA1	40.9687
removed	removed	CNGA4	5.809
CNIH2	6.1397	CNIH2	10.7008
CNIH3	66.769	CNIH3	73.6824
CNIH4	1140.8289	CNIH4	476.0314
CNIH	1369.5318	CNIH	1106.7654
CNKSR1	690.33	CNKSR1	450.0438
removed	removed	CNKSR2	5.809
CNKSR3	377.5902	CNKSR3	373.6098
CNN1	237.145	CNN1	3899.9723
CNN2	1533.3845	CNN2	3665.1668
CNN3	2595.9325	CNN3	4007.8972
removed	removed	CNNM1	59.9243
CNNM2	84.8043	CNNM2	197.8114
CNNM3	1217.5748	CNNM3	990.2799
CNNM4	658.8642	CNNM4	1048.064
CNOT10	874.9041	CNOT10	604.7464
CNOT1	6110.2341	CNOT1	5025.0421
CNOT2	1549.1174	CNOT2	1494.7448
CNOT3	976.5925	CNOT3	977.7447
CNOT4	525.7099	CNOT4	636.2372
CNOT6L	1198.0046	CNOT6L	1754.3149
CNOT6	1654.6431	CNOT6	1234.5632
CNOT7	1140.8289	CNOT7	1844.8128
CNOT8	2491.9417	CNOT8	1568.1215
CNO	271.297	CNO	217.6842
CNPY2	1432.0798	CNPY2	987.2225
CNPY3	1558.7107	CNPY3	962.4579
CNPY4	327.3216	CNPY4	329.8895
CNP	2962.8818	CNP	1655.2044
CNR1	7.2909	CNR1	47.6949
CNRIP1	131.2356	CNRIP1	255.5955
CNST	1460.8596	CNST	741.4105
CNTD1	98.6608	CNTD1	87.0095
CNTD2	321.1819	CNTD2	18.0384
removed	removed	CNTFR	412.1325
CNTF	6.3738	CNTF	38.5228
CNTLN	182.2717	CNTLN	232.3596
CNTN1	75.9785	CNTN1	590.0711
CNTN2	5.7559	CNTN2	50.4465
removed	removed	CNTN3	209.4294
CNTN4	168.0737	CNTN4	241.5317
removed	removed	CNTN6	5.1975
CNTNAP1	115.119	CNTNAP1	173.964
CNTNAP2	1208.3653	CNTNAP2	26.2933
removed	removed	CNTNAP3	328.6665
CNTROB	752.878	CNTROB	781.462
COASY	1483.8833	COASY	1406.9985
COBLL1	1839.9847	COBLL1	1196.6519
COBL	1895.2417	COBL	3234.6901
COBRA1	1306.2164	COBRA1	1152.9316
removed	removed	COCH	17.164
COG1	1528.4305	COG1	865.6709
COG2	2123.1773	COG2	744.1622
COG3	592.0952	COG3	1109.517
COG4	1427.8588	COG4	1192.6773
COG5	1919.5779	COG5	1074.5469
COG6	591.7114	COG6	834.6601
COG7	857.6362	COG7	680.569
COG8	561.8995	COG8	448.4571
COIL	543.3615	COIL	550.9368
COL10A1	3943.208	COL10A1	7.6434
COL11A1	6047.1988	COL11A1	166.6263
removed	removed	COL11A2	9.7836
COL12A1	12397.1604	COL12A1	3717.7534
COL13A1	12.6631	COL13A1	97.2241
COL14A1	2782.8089	COL14A1	9554.5651
COL15A1	3011.8956	COL15A1	4959.96
COL16A1	2193.7836	COL16A1	2432.438
COL17A1	146.2011	COL17A1	6933.4878
COL18A1	6029.1635	COL18A1	4814.7353
COL1A1	195751.3431	COL1A1	100296.4878
COL1A2	142298.9256	COL1A2	69636.3343
COL21A1	89.4091	COL21A1	81.3259
COL22A1	34.9194	COL22A1	6.7262
COL23A1	11.1282	COL23A1	91.7209
COL24A1	31.0821	COL24A1	15.2868
removed	removed	COL25A1	46.1662
COL27A1	216.8074	COL27A1	427.1136
removed	removed	COL28A1	51.058
COL2A1	21.1051	COL2A1	164.1804
COL3A1	130321.9493	COL3A1	126054.7711
COL4A1	8448.9639	COL4A1	8604.3367
COL4A2	7791.6347	COL4A2	11862.2627
COL4A3BP	1023.7913	COL4A3BP	1490.7702
removed	removed	COL4A3	13.7581
COL4A4	9.977	COL4A4	61.1473
COL4A5	1510.3607	COL4A5	1713.3462
COL4A6	19.1865	COL4A6	544.5164
COL5A1	14477.3599	COL5A1	7644.9362
COL5A2	17062.548	COL5A2	8733.6632
COL5A3	2157.713	COL5A3	802.8635
COL6A1	22259.4014	COL6A1	10990.3028
COL6A2	23500	COL6A2	14636.8197
COL6A3	31255.9478	COL6A3	19405.3888
removed	removed	COL6A4P2	5.5033
removed	removed	COL6A6	1002.8151
COL7A1	99.386	COL7A1	787.271
COL8A1	1331.5426	COL8A1	140.6387
COL8A2	1366.8457	COL8A2	1060.5992
COL9A2	92.8626	COL9A2	297.7872
COL9A3	8.8258	COL9A3	220.4359
removed	removed	COLEC11	7.3377
COLEC12	201.4582	COLEC12	786.048
COLQ	22.6401	COLQ	52.8924
COMMD10	314.2748	COMMD10	376.3614
COMMD1	138.1427	COMMD1	281.5831
COMMD2	492.3254	COMMD2	914.4573
COMMD3	399.1213	COMMD3	516.8992
COMMD4	1084.0368	COMMD4	402.349
COMMD5	549.7851	COMMD5	322.4081
COMMD6	650.0384	COMMD6	1381.0109
COMMD7	1184.5741	COMMD7	778.7104
COMMD8	137.759	COMMD8	182.2188
COMMD9	827.3216	COMMD9	551.854
COMP	1486.1857	COMP	11.0065
COMTD1	86.3392	COMTD1	71.2366
COMT	796.6232	COMT	1776.3279
COPA	16023.1696	COPA	5338.3973
COPB1	6600.1036	COPB1	3307.0059
COPB2	7900.614	COPB2	3589.0384
COPE	2842.287	COPE	1153.8243
COPG2	639.6777	COPG2	587.3194
COPG	7384.881	COPG	3486.9225
COPS2	1542.2103	COPS2	2208.9448
COPS3	1054.8734	COPS3	875.323
COPS4	892.9394	COPS4	824.5708
COPS5	812.3561	COPS5	964.9038
COPS6	2251.3431	COPS6	1156.6004
COPS7A	1835.3799	COPS7A	1103.708
COPS7B	639.2939	COPS7B	660.6961
COPS8	984.6355	COPS8	815.9338
COPZ1	5351.4965	COPZ1	3062.2548
COPZ2	223.7145	COPZ2	279.443
COQ10A	103.6071	COQ10A	126.8806
COQ10B	601.3047	COQ10B	636.8487
COQ2	168.0737	COQ2	129.0207
COQ3	126.2471	COQ3	107.6192
COQ4	562.1642	COQ4	647.5495
COQ5	556.0246	COQ5	572.0326
COQ6	440.7866	COQ6	306.1735
COQ7	513.8143	COQ7	456.1586
COQ9	1015.3492	COQ9	692.187
CORIN	149.6546	CORIN	55.0325
CORO1A	1169.2249	CORO1A	206.372
CORO1B	9089.0253	CORO1B	1322.6152
CORO1C	1854.1827	CORO1C	2866.8893
CORO2A	1639.2939	CORO2A	623.3963
CORO2B	39.1404	CORO2B	209.7351
CORO6	12.2794	CORO6	15.2868
CORO7	885.7866	CORO7	320.2465
COTL1	2148.5035	COTL1	849.0297
removed	removed	COX10	278.5258
COX11	564.1289	COX11	683.8618
COX15	1103.6608	COX15	1163.8403
COX16	841.1358	COX16	616.9759
COX17	617.4213	COX17	262.6275
COX18	297.7744	COX18	352.2082
COX19	203.891	COX19	284.8729
COX4I1	3969.3016	COX4I1	3725.0911
COX4I2	37.2218	COX4I2	25.3761
COX4NB	414.0445	COX4NB	324.3862
COX5A	1250.5756	COX5A	982.6365
COX5B	1170.3761	COX5B	1224.4739
COX6A1	2755.1804	COX6A1	937.3875
COX6B1	2855.3338	COX6B1	1413.1132
removed	removed	COX6B2	5.1975
COX6C	12823.1005	COX6C	1775.7164
COX7A1	47.9662	COX7A1	226.8563
COX7A2L	1106.6769	COX7A2L	1301.5194
COX7A2	1593.2464	COX7A2	799.5004
COX7B	1468.1504	COX7B	782.9907
COX7C	1965.4643	COX7C	2188.4604
COX8A	2299.693	COX8A	1006.1782
CP110	806.9839	CP110	765.5637
removed	removed	CPA1	14.9811
CPA3	156.5618	CPA3	99.0586
removed	removed	CPA4	80.4086
CPA6	9.5932	removed	removed
CPAMD8	22.2563	CPAMD8	666.1994
CPB1	958.9409	CPB1	1171.8872
CPD	7790.4835	CPD	4177.2751
CPEB1	6.9071	CPEB1	26.2933
CPEB2	685.3415	CPEB2	678.7346
CPEB3	164.6201	CPEB3	448.8209
CPEB4	745.9708	CPEB4	1502.0824
CPE	4735.9939	CPE	4014.6234
CPLX1	177.2832	CPLX1	118.3199
CPM	544.8964	CPM	1011.6814
CPN2	22.6401	removed	removed
CPNE1	2033.35	CPNE1	1960.1152
CPNE2	564.0829	CPNE2	946.5596
CPNE3	5987.3369	CPNE3	2940.5717
CPNE5	53.3384	CPNE5	53.8096
CPNE7	78.2809	CPNE7	36.6884
CPNE8	92.0952	CPNE8	191.0852
CPNE9	6.9071	removed	removed
CPOX	437.452	CPOX	307.5707
removed	removed	CPO	5.809
CPPED1	251.7268	CPPED1	439.0373
CPS1	50.2686	CPS1	637.1545
CPSF1	1942.8243	CPSF1	1585.2427
CPSF2	1794.3208	CPSF2	1210.7158
CPSF3L	1309.2863	CPSF3L	1238.8435
CPSF3	666.9225	CPSF3	642.9634
CPSF4	346.1243	CPSF4	348.2336
CPSF6	1541.0591	CPSF6	1730.7732
CPSF7	1917.1144	CPSF7	2271.9265
CPT1A	2570.6063	CPT1A	2024.5858
CPT1B	192.736	CPT1B	290.0948
CPT1C	38.373	CPT1C	38.8285
CPT2	731.7728	CPT2	715.4229
CPVL	462.3945	CPVL	317.3543
CPXM1	472.3715	CPXM1	1470.8973
CPXM2	333.845	CPXM2	1240.6779
CPZ	354.1827	CPZ	441.1775
CP	10.0153	CP	350.8171
removed	removed	CR1	96.0012
removed	removed	CR2	12.2295
removed	removed	CRABP1	1434.8205
CRABP2	3712.9701	CRABP2	4677.4597
CRADD	78.6646	CRADD	132.9953
CRAMP1L	452.0376	CRAMP1L	1173.7614
CRAT	3087.4904	CRAT	737.1302
removed	removed	CRB2	51.3637
CRB3	363.3922	CRB3	181.3016
CRBN	783.2694	CRBN	892.8448
CRCP	1022.6401	CRCP	864.0108
CREB1	1053.7222	CREB1	1640.8867
CREB3L1	3746.3546	CREB3L1	390.731
CREB3L2	1250.5756	CREB3L2	3511.3814
CREB3L4	3469.6853	CREB3L4	1161.1865
CREB3	1448.8258	CREB3	856.1136
CREB5	96.3162	CREB5	406.935
CREBBP	3682.6554	CREBBP	3471.0242
CREBL2	1921.7191	CREBL2	2051.4906
CREBZF	546.0476	CREBZF	1398.4378
CREG1	2419.033	CREG1	2990.7125
CRELD1	842.6708	CRELD1	662.5306
CRELD2	570.6063	CRELD2	354.0426
CREM	255.1804	CREM	329.278
removed	removed	CRHBP	29.3507
removed	removed	CRHR1	31.1729
CRIM1	1608.5955	CRIM1	6253.836
CRIP1	4094.0138	CRIP1	863.3993
CRIP2	2038.373	CRIP2	1836.2522
removed	removed	CRIP3	7.3377
CRIPAK	122.7936	CRIPAK	237.2514
CRIPT	164.2364	CRIPT	435.98
CRISP3	6.5234	CRISP3	5.809
CRISPLD1	141.2126	CRISPLD1	2630.5551
CRISPLD2	4148.8872	CRISPLD2	1476.0949
CRKL	1314.2748	CRKL	2100.1027
CRK	1187.2602	CRK	1299.685
CRLF1	9.2095	CRLF1	109.7593
CRLF3	380.66	CRLF3	384.3105
CRLS1	640.0614	CRLS1	594.0456
CRMP1	78.4612	CRMP1	252.4373
CRNKL1	1735.2264	CRNKL1	1053.5673
CROCCL1	158.891	CROCCL1	227.2324
CROCCL2	62.1642	CROCCL2	103.3389
CROCC	513.8143	CROCC	589.4596
CROT	402.9163	CROT	550.6311
CRTAC1	41.0591	CRTAC1	149.5051
CRTAM	36.0706	CRTAM	7.0319
CRTAP	5059.4781	CRTAP	4492.7949
CRTC1	343.4382	CRTC1	473.8913
CRTC2	1328.4728	CRTC2	710.8369
CRTC3	1349.5779	CRTC3	1290.5129
CRY1	316.5771	CRY1	561.9433
CRY2	863.7759	CRY2	1720.0724
CRYAB	71.7575	CRYAB	5229.6194
CRYBB1	7.6746	removed	removed
CRYBG3	163.9371	CRYBG3	679.4775
CRYGS	5.3722	CRYGS	12.5352
CRYL1	479.6623	CRYL1	426.1964
CRYM	2612.4328	CRYM	65.1218
CRYZL1	297.0299	CRYZL1	335.6098
CRYZ	613.9601	CRYZ	631.3974
CSAD	174.2134	CSAD	556.4401
removed	removed	CSDAP1	81.3259
CSDA	512.2794	CSDA	3838.2135
CSDC2	38.373	CSDC2	27.5163
CSDE1	9268.6109	CSDE1	19397.1339
CSE1L	3417.8818	CSE1L	2019.0825
CSF1R	2108.9793	CSF1R	895.1959
CSF1	1484.2671	CSF1	716.0344
CSF2RA	193.7836	CSF2RA	132.3838
CSF2RB	194.1673	CSF2RB	131.4666
CSF3R	564.0829	CSF3R	131.4666
removed	removed	CSF3	49.835
CSGALNACT1	133.9217	CSGALNACT1	320.4116
CSGALNACT2	586.7229	CSGALNACT2	613.307
CSK	1221.0284	CSK	926.9925
removed	removed	CSMD1	50.1408
CSMD2	30.6984	CSMD2	9.1721
CSNK1A1	7011.8956	CSNK1A1	7322.9959
CSNK1D	2490.4068	CSNK1D	3181.7977
CSNK1E	1255.0576	CSNK1E	2532.5575
CSNK1G1	1368.7644	CSNK1G1	807.7553
CSNK1G2	917.1144	CSNK1G2	962.4579
CSNK1G3	668.8411	CSNK1G3	996.0889
CSNK2A1P	544.5127	CSNK2A1P	516.0829
CSNK2A1	1564.4666	CSNK2A1	1283.1753
CSNK2A2	530.6984	CSNK2A2	660.6961
CSNK2B	2509.2095	CSNK2B	1670.3566
CSPG4	638.5265	CSPG4	953.5915
CSPG5	14.5817	CSPG5	19.8729
CSPP1	443.8987	CSPP1	413.0895
CSRNP1	615.8864	CSRNP1	3398.8705
CSRNP2	1208.3653	CSRNP2	1121.135
removed	removed	CSRNP3	82.5488
CSRP1	3171.1435	CSRP1	16412.5361
CSRP2BP	843.8219	CSRP2BP	726.7352
CSRP2	137.3753	CSRP2	146.4477
CST1	18.419	removed	removed
CST2	49.8849	removed	removed
CST3	9523.4075	CST3	3999.948
CST4	36.0706	removed	removed
CST5	352.264	removed	removed
removed	removed	CST6	15.2868
CST7	127.0146	CST7	22.9302
CST9	8.8258	CST9	79.1857
CSTA	47.1988	CSTA	339.673
CSTB	2199.1558	CSTB	1338.2078
CSTF1	547.9662	CSTF1	593.4342
CSTF2T	897.5441	CSTF2T	1051.7329
