gene_id	TCGA-BH-A0BW-01A-11R-A115-07	gene_id	TCGA-BH-A0BW-11A-12R-A115-07
ACOT13	721.6396	ACOT13	496.2123
ACOT1	861.8276	ACOT1	887.2019
ACOT2	347.8261	ACOT2	303.9248
ACOT4	102.4318	ACOT4	45.2654
ACOT7	735.4458	ACOT7	363.4165
ACOT8	193.4119	ACOT8	214.4976
ACOT9	657.3324	ACOT9	556.1178
ACOX1	3067.3471	ACOX1	1638.3661
removed	removed	ACOX2	106.0504
ACOX3	704.8637	ACOX3	444.4631
ACP1	2517.3176	ACP1	1121.7197
ACP2	1286.2933	ACP2	919.5343
ACP5	574.4289	ACP5	2109.7988
ACP6	167.2808	ACP6	285.8187
ACPL2	564.8489	ACPL2	383.2471
ACPP	19.8968	ACPP	32.3324
removed	removed	ACRBP	31.4702
ACRC	7.7377	ACRC	39.23
ACR	8.1061	ACR	10.3464
removed	removed	ACSBG1	7.3287
removed	removed	ACSBG2	6.4665
ACSF2	117.5387	ACSF2	540.1671
ACSF3	319.0862	ACSF3	369.4519
ACSL1	8055.6374	ACSL1	2074.8798
ACSL3	3687.5461	ACSL3	3059.51
ACSL4	2030.9506	ACSL4	1848.5527
ACSL5	836.0354	ACSL5	1078.6098
ACSL6	755.7111	ACSL6	65.096
ACSM1	58.2167	ACSM1	83.2021
ACSM3	14.4215	ACSM3	98.2906
removed	removed	ACSM5	30.608
ACSS1	1445.4679	ACSS1	1097.1471
ACSS2	570.7443	ACSS2	714.7622
ACSS3	718.1282	ACSS3	196.1501
ACTA1	96.168	removed	removed
ACTA2	2788.4046	ACTA2	10486.9975
ACTBL2	5.1584	ACTBL2	16.8129
ACTB	65401.2528	ACTB	93341.1362
removed	removed	ACTC1	5.1732
ACTG1	58500.3685	ACTG1	53694.2495
ACTG2	435.1511	ACTG2	1681.7174
ACTL6A	1166.1754	ACTL6A	773.8228
ACTN1	6138.5409	ACTN1	7507.1589
ACTN2	18.423	removed	removed
ACTN4	11619.9374	ACTN4	8860.6203
ACTR10	704.8637	ACTR10	880.3043
ACTR1A	1589.9042	ACTR1A	2167.9971
ACTR1B	760.5011	ACTR1B	1113.0978
ACTR2	15141.1201	ACTR2	8693.1124
ACTR3B	60.7959	ACTR3B	202.1855
ACTR3C	60.7959	ACTR3C	24.5726
ACTR3	9395.3574	ACTR3	5942.7005
ACTR5	176.1238	ACTR5	183.2171
ACTR6	622.3287	ACTR6	472.0535
ACTR8	373.6183	ACTR8	595.3478
ACVR1B	512.5276	ACVR1B	839.781
ACVR1C	113.1172	ACVR1C	165.1109
ACVR1	1248.7104	ACVR1	1002.7364
ACVR2A	315.4016	ACVR2A	588.8813
ACVR2B	280.0295	ACVR2B	483.6931
ACVRL1	249.4473	ACVRL1	747.9569
ACY1	186.8091	ACY1	376.3495
ACY3	7.3692	ACY3	27.5903
ACYP1	44.9521	ACYP1	51.3008
ACYP2	292.9256	ACYP2	134.934
ADAL	137.4355	ADAL	137.5206
ADAM10	3214.0752	ADAM10	2205.5028
removed	removed	ADAM11	10.7775
ADAM12	539.4252	ADAM12	876.4244
ADAM15	2184.86	ADAM15	1699.9098
ADAM17	3242.4466	ADAM17	1082.4897
ADAM19	724.7605	ADAM19	1730.8627
ADAM22	471.6286	ADAM22	108.2059
ADAM23	8.843	ADAM23	96.5662
ADAM28	382.8298	ADAM28	468.1736
ADAM29	14.7384	ADAM29	6.0354
ADAM32	13.2646	ADAM32	28.4525
removed	removed	ADAM33	370.6676
ADAM6	75467.5534	ADAM6	183924.1481
ADAM8	1561.1643	ADAM8	515.5945
ADAM9	4139.2778	ADAM9	2117.9897
ADAMDEC1	1525.7922	ADAMDEC1	870.8201
ADAMTS10	60.4274	ADAMTS10	198.3056
ADAMTS12	80.6927	ADAMTS12	91.393
ADAMTS13	34.2668	ADAMTS13	102.1705
ADAMTS14	69.2704	ADAMTS14	47.4209
removed	removed	ADAMTS15	234.5179
removed	removed	ADAMTS16	145.7115
removed	removed	ADAMTS17	45.2654
ADAMTS18	61.5328	ADAMTS18	44.8343
removed	removed	ADAMTS19	13.7952
ADAMTS1	1039.7937	ADAMTS1	4223.9085
ADAMTS20	12.1592	removed	removed
ADAMTS2	320.1916	ADAMTS2	379.3672
ADAMTS3	39.0567	ADAMTS3	171.5774
ADAMTS4	1342.2992	ADAMTS4	293.1474
ADAMTS5	99.1157	ADAMTS5	1507.9845
ADAMTS6	44.2152	ADAMTS6	69.838
ADAMTS7	205.969	ADAMTS7	66.8204
ADAMTS8	5.1584	ADAMTS8	83.6332
ADAMTS9	473.1024	ADAMTS9	971.2662
