gene_id	TCGA-BH-A0BW-01A-11R-A115-07	gene_id	TCGA-BH-A0BW-11A-12R-A115-07
EIF3G	590.9027	EIF3G	1938.1696
EIF3H	3993.3677	EIF3H	4010.5145
EIF3I	2391.6912	EIF3I	2720.2911
EIF3J	1137.804	EIF3J	1439.0086
EIF3K	1091.378	EIF3K	2135.2336
EIF3L	2909.7273	EIF3L	9024.1965
EIF3M	1734.591	EIF3M	2461.8558
EIF4A1	5848.2019	EIF4A1	9158.2123
EIF4A2	3207.605	EIF4A2	8601.7194
EIF4A3	2345.9838	EIF4A3	1429.9556
EIF4B	2555.538	EIF4B	12552.5569
EIF4E2	1441.0464	EIF4E2	1332.5272
EIF4E3	942.8887	EIF4E3	904.0147
EIF4EBP1	316.1385	EIF4EBP1	309.098
EIF4EBP2	1983.7878	EIF4EBP2	5192.5881
EIF4EBP3	100.1658	EIF4EBP3	254.7666
EIF4ENIF1	709.6536	EIF4ENIF1	750.9746
EIF4E	1179.0715	EIF4E	512.1457
EIF4G1	13602.0634	EIF4G1	7840.8296
EIF4G2	20967.2071	EIF4G2	19383.0757
EIF4G3	3323.1393	EIF4G3	1954.172
EIF4H	4967.944	EIF4H	4542.9218
EIF5A2	359.9853	EIF5A2	166.4042
EIF5AL1	843.4046	EIF5AL1	962.2131
EIF5A	3470.1548	EIF5A	3727.7135
EIF5B	3673.913	EIF5B	3372.0568
EIF5	2501.4738	EIF5	3822.9864
EIF6	1305.8217	EIF6	1312.2655
ELAC1	89.7163	ELAC1	177.5438
ELAC2	724.392	ELAC2	1378.2237
ELAVL1	1637.804	ELAVL1	1634.7276
ELAVL2	361.4591	ELAVL2	16.3818
removed	removed	ELAVL4	6.4665
ELF1	2287.0302	ELF1	2589.612
ELF2	1037.9514	ELF2	1010.9273
ELF3	1589.9042	ELF3	2495.6324
ELF4	1432.2034	ELF4	844.9541
ELF5	2446.9418	ELF5	2760.7583
ELFN1	16.2122	ELFN1	31.9013
removed	removed	ELFN2	7.7598
ELK1	555.6374	ELK1	669.0657
ELK3	791.4517	ELK3	865.6469
ELK4	733.073	ELK4	291.8541
ELL2	1294.031	ELL2	1833.8954
ELL3	104.7752	ELL3	318.69
ELL	253.1319	ELL	572.0684
ELMO1	662.8592	ELMO1	948.4179
ELMO2	1822.0339	ELMO2	1214.8371
ELMO3	721.4444	ELMO3	291.8541
ELMOD2	257.9219	ELMOD2	185.8037
ELMOD3	220.339	ELMOD3	358.2433
ELN	79.2189	ELN	2621.5134
ELOF1	264.5542	ELOF1	522.9232
ELOVL1	1921.1496	ELOVL1	1316.5765
ELOVL2	33.1614	ELOVL2	74.5801
ELOVL3	14.3699	removed	removed
ELOVL4	62.2697	ELOVL4	39.6611
ELOVL5	4332.7192	ELOVL5	3118.1395
ELOVL6	1390.199	ELOVL6	205.2032
ELOVL7	680.1769	ELOVL7	304.3559
ELP2P	7.7377	ELP2P	12.933
ELP2	640.0147	ELP2	1377.3615
ELP3	470.8917	ELP3	896.2549
ELP4	207.4429	ELP4	186.6659
ELTD1	301.0317	ELTD1	1163.9674
EMB	1551.2159	EMB	2377.5113
EMCN	85.1142	EMCN	927.2941
EMD	527.6345	EMD	643.1998
EME1	115.8438	EME1	47.3174
EME2	15.4753	EME2	11.6397
EMG1	406.0427	EMG1	425.8267
EMID1	21.3707	EMID1	107.7748
EMID2	6.2638	EMID2	15.9507
EMILIN1	545.689	EMILIN1	1257.0848
EMILIN2	598.3788	EMILIN2	686.7408
EMILIN3	6.5217	EMILIN3	44.5368
EML1	89.1673	EML1	338.8439
EML2	914.1194	EML2	486.6505
EML3	610.538	EML3	1116.1155
EML4	3315.7701	EML4	2922.8516
EML5	126.3817	EML5	102.1705
EML6	141.1201	EML6	96.9973
EMP1	2549.7421	EMP1	6845.853
EMP2	3109.0641	EMP2	2038.2363
EMP3	431.4665	EMP3	738.0416
EMR1	50.1105	EMR1	43.541
EMR2	355.9322	EMR2	247.882
EMR4P	5.1584	EMR4P	32.7635
removed	removed	EMX2OS	71.9935
EMX2	7.0007	EMX2	25.8659
EN1	422.255	EN1	51.3008
ENAH	6442.5203	ENAH	5259.8396
ENC1	1216.1643	ENC1	2392.7765
ENDOD1	2655.4901	ENDOD1	1454.5282
ENDOG	41.157	ENDOG	72.36
removed	removed	ENDOU	15.0885
ENGASE	464.6279	ENGASE	473.3468
ENG	2661.3854	ENG	2859.8982
ENHO	27.6345	ENHO	16.8129
ENKUR	21.7391	removed	removed
ENO1	26545.3206	ENO1	17190.5059
ENO2	217.3913	ENO2	738.0416
ENO3	16.9492	ENO3	56.0429
ENOPH1	3075.9027	ENOPH1	817.7949
ENOSF1	533.4156	ENOSF1	469.1047
ENOX1	16.9492	ENOX1	70.7002
ENOX2	1000.7369	ENOX2	469.898
ENPEP	62.2697	ENPEP	173.7329
ENPP1	249.4473	ENPP1	421.6149
removed	removed	ENPP2	2731.4436
ENPP3	21.0022	ENPP3	258.6594
ENPP4	1933.3088	ENPP4	623.8003
ENPP5	1481.577	ENPP5	444.8942
ENPP6	86.9565	ENPP6	33.6257
ENSA	4330.8769	ENSA	2945.6998
removed	removed	ENTHD1	21.9861
ENTPD1	761.6065	ENTPD1	1773.9683
ENTPD2	104.2741	ENTPD2	170.2841
ENTPD3	19.8968	ENTPD3	104.7571
ENTPD4	473.8394	ENTPD4	623.3692
ENTPD5	144.1046	ENTPD5	208.9537
ENTPD6	1691.9676	ENTPD6	1180.3492
ENTPD7	495.0921	ENTPD7	351.9406
ENTPD8	11.0538	removed	removed
ENY2	503.3161	ENY2	396.6111
EOMES	51.2159	EOMES	256.5039
EP300	4447.6787	EP300	3446.6369
EP400NL	55.269	EP400NL	133.2096
EP400	2244.6573	EP400	2140.8379
EPAS1	3060.059	EPAS1	5005.4911
EPB41L1	1474.2078	EPB41L1	1501.518
EPB41L2	1114.591	EPB41L2	2997.8628
EPB41L3	532.056	EPB41L3	694.9317
EPB41L4A	389.0936	EPB41L4A	405.6642
EPB41L4B	996.6839	EPB41L4B	366.4342
EPB41L5	459.8379	EPB41L5	437.1344
EPB41	1976.6175	EPB41	2151.6283
EPB49	242.815	EPB49	383.6782
EPC1	741.7097	EPC1	828.5724
EPC2	838.9831	EPC2	1006.1852
EPCAM	11013.2646	EPCAM	2107.6433
EPDR1	960.2063	EPDR1	303.4937
EPGN	16.5807	removed	removed
EPHA10	542.3729	EPHA10	68.9758
EPHA1	263.0803	EPHA1	410.4063
EPHA2	1511.4223	EPHA2	692.3451
EPHA3	36.4775	EPHA3	157.3512
EPHA4	336.0354	EPHA4	701.3982
removed	removed	EPHA6	5.1732
removed	removed	EPHA7	153.9024
EPHB1	377.3029	EPHB1	197.0123
EPHB2	658.0693	EPHB2	221.1538
EPHB3	1864.7752	EPHB3	1678.6997
EPHB4	1768.9757	EPHB4	2000.7307
EPHB6	63.3751	EPHB6	375.0562
EPHX1	1821.6654	EPHX1	1245.8763
EPHX2	712.9698	EPHX2	530.2518
EPHX3	76.2712	EPHX3	50.8697
EPHX4	333.0877	EPHX4	52.5941
EPM2AIP1	609.801	EPM2AIP1	1416.5915
EPM2A	126.0133	EPM2A	212.1007
EPN1	1513.633	EPN1	1196.2999
EPN2	682.7561	EPN2	834.6078
EPN3	429.9447	EPN3	183.9457
EPOR	11.0538	EPOR	63.7596
EPPK1	2096.9049	EPPK1	728.5574
EPR1	589.1783	EPR1	166.8784
EPRS	6200.4422	EPRS	3865.6652
EPS15L1	415.6227	EPS15L1	663.0303
EPS15	2469.4178	EPS15	2548.6576
EPS8L1	299.5578	EPS8L1	243.571
EPS8L2	2664.7015	EPS8L2	1044.9841
EPS8	1133.014	EPS8	1694.6504
EPSTI1	941.7833	EPSTI1	467.3114
EPT1	2472.7082	EPT1	1021.2607
EPYC	80.3242	removed	removed
ERAL1	1103.5372	ERAL1	720.7976
ERAP1	2843.8983	ERAP1	3067.481
ERAP2	3232.4982	ERAP2	2190.4143
ERBB2IP	2730.6559	ERBB2IP	2916.3851
ERBB2	6166.1754	ERBB2	3849.2835
ERBB3	2124.9079	ERBB3	2988.8097
ERBB4	24.6868	ERBB4	357.8122
ERC1	2388.7251	ERC1	1713.6187
ERC2	12.8961	ERC2	10.7775
ERCC1	495.0221	ERCC1	715.1933
ERCC2	290.3464	ERCC2	319.4444
ERCC3	1292.9256	ERCC3	1140.6881
ERCC4	547.1629	ERCC4	405.2331
ERCC5	1028.7399	ERCC5	1680.8552
ERCC6L	200.8106	ERCC6L	97.4284
ERCC6	533.2646	ERCC6	453.4429
ERCC8	101.6949	ERCC8	138.3828
EREG	21.3707	EREG	55.1807
ERF	530.9506	ERF	799.2576
ERGIC1	1977.5239	ERGIC1	3012.0891
ERGIC2	662.4908	ERGIC2	701.3982
ERGIC3	2595.7996	ERGIC3	3310.4096
ERG	158.8062	ERG	705.2781
ERH	1112.3803	ERH	1165.6918
ERI1	697.8629	ERI1	458.2583
ERI2	584.3257	ERI2	396.18
ERI3	852.2476	ERI3	559.9977
ERICH1	141.1201	ERICH1	320.7377
ERLEC1	3257.9219	ERLEC1	1714.4809
ERLIN1	1230.2874	ERLIN1	1097.5782
ERLIN2	1544.5836	ERLIN2	1435.5599
ERMAP	446.5733	ERMAP	508.6969
ERMN	53.7951	ERMN	86.2198
ERMP1	263.0877	ERMP1	1012.3413
removed	removed	ERN1	399.6288
ERO1LB	58.2167	ERO1LB	409.113
ERO1L	1432.5718	ERO1L	863.9225
ERP27	532.056	ERP27	236.2423
ERP29	3036.1091	ERP29	2433.5542
ERP44	3153.2793	ERP44	1542.9035
ERRFI1	1734.7089	ERRFI1	5792.678
removed	removed	ERVFRDE1	6.4665
ESAM	245.0258	ESAM	635.44
ESCO1	772.2918	ESCO1	745.8014
ESCO2	226.2343	ESCO2	123.2943
ESD	1483.0508	ESD	1677.8375
ESF1	606.8534	ESF1	565.1709
ESM1	141.4886	ESM1	43.9721
ESPL1	226.9713	ESPL1	262.9704
removed	removed	ESPNL	12.933
ESPNP	10.3169	removed	removed
ESPN	581.7981	ESPN	97.8595
ESR1	292.5571	ESR1	1693.7882
ESR2	7.7377	ESR2	42.2477
ESRP1	3325.7185	ESRP1	1521.7797
ESRP2	1761.9749	ESRP2	778.1338
ESRRA	337.1408	ESRRA	494.4706
ESRRG	116.8018	ESRRG	147.4359
ESYT1	1267.8703	ESYT1	3953.6094
ESYT2	3282.2402	ESYT2	4315.7326
ESYT3	43.1098	ESYT3	50.4386
ETAA1	784.0825	ETAA1	458.2583
ETF1	2253.5004	ETF1	2777.1401
ETFA	1601.6949	ETFA	837.6255
ETFB	340.0884	ETFB	601.8143
ETFDH	261.238	ETFDH	350.0524
ETHE1	168.3825	ETHE1	437.9966
ETNK1	1688.283	ETNK1	2026.1656
ETNK2	392.0413	ETNK2	290.9919
ETS1	4979.3662	ETS1	9211.2935
ETS2	833.4562	ETS2	2559.004
ETV1	127.4871	ETV1	369.4519
ETV2	5.8954	removed	removed
ETV3L	8.4746	ETV3L	25.8659
ETV3	408.622	ETV3	357.3811
ETV4	16.2122	ETV4	275.9034
ETV5	478.6293	ETV5	531.5451
ETV6	2279.661	ETV6	3463.4498
ETV7	612.3803	ETV7	99.5839
EVC2	165.4385	EVC2	190.9769
EVC	922.9735	EVC	740.404
EVI2A	302.1371	EVI2A	631.129
EVI2B	745.3943	EVI2B	1873.5565
EVI5L	165.4385	EVI5L	255.2106
EVI5	440.678	EVI5	524.6475
EVL	824.6131	EVL	2888.7948
EVPL	1651.0685	EVPL	538.4427
EWSR1	4690.8622	EWSR1	4410.5744
EXD2	500.3685	EXD2	708.2957
EXD3	113.8541	EXD3	162.5243
EXO1	652.5424	EXO1	148.2981
EXOC1	1256.0796	EXOC1	1010.0651
EXOC2	698.2314	EXOC2	1041.9664
EXOC3L2	24.6868	EXOC3L2	31.9013
EXOC3L	48.2867	EXOC3L	58.9442
EXOC3	901.6212	EXOC3	1017.8249
EXOC4	1124.9079	EXOC4	1537.7303
EXOC5	1592.8519	EXOC5	1553.681
EXOC6B	342.6676	EXOC6B	180.1994
EXOC6	333.0877	EXOC6	634.1467
EXOC7	3773.2977	EXOC7	3205.8164
EXOC8	932.5718	EXOC8	843.2298
EXOG	115.3279	EXOG	193.1324
EXOSC10	1321.6654	EXOSC10	1414.0049
EXOSC1	176.1238	EXOSC1	253.4862
EXOSC2	469.0494	EXOSC2	423.3393
EXOSC3	208.1798	EXOSC3	294.0096
EXOSC4	205.969	EXOSC4	162.9554
EXOSC5	200.8106	EXOSC5	242.2777
EXOSC6	753.5004	EXOSC6	283.6632
EXOSC7	231.7612	EXOSC7	421.1838
EXOSC8	198.1135	EXOSC8	283.702
EXOSC9	851.9344	EXOSC9	494.2464
EXPH5	460.5748	EXPH5	285.3876
EXT1	4036.846	EXT1	1367.4462
EXT2	3382.4613	EXT2	2000.7307
EXTL1	16.5807	EXTL1	38.3678
EXTL2	473.1024	EXTL2	401.3532
EXTL3	842.6676	EXTL3	1230.7878
removed	removed	EYA1	11.6397
EYA2	548.2682	EYA2	592.7612
EYA3	241.3412	EYA3	249.1753
removed	removed	EYA4	7.7598
EYS	15.4753	EYS	20.6928
EZH1	937.7303	EZH1	1304.5057
EZH2	371.0391	EZH2	413.424
EZR	5352.6161	EZR	5687.4898
removed	removed	F10	97.4284
F11R	12627.1923	F11R	3782.032
F12	23.213	F12	30.1769
F13A1	90.6411	F13A1	1039.3798
F2RL1	132.2771	F2RL1	214.6873
F2RL2	223.2867	F2RL2	476.3645
F2RL3	31.6875	F2RL3	27.1592
F2R	886.1459	F2R	1850.7082
F3	222.9182	F3	1822.2557
F5	486.367	F5	332.8085
removed	removed	F7	6.4665
F8A1	154.7531	F8A1	70.2691
F8	494.1046	F8	641.0443
FA2H	70.3758	FA2H	47.4209
FAAH2	238.0251	FAAH2	199.1678
FAAH	249.8158	FAAH	159.0756
FABP3	28.0029	FABP3	121.1388
FABP4	11.7907	FABP4	2200.7607
FABP5	222.9182	FABP5	112.5169
FABP6	30.9506	removed	removed
FABP7	81.0612	FABP7	2265.4255
FADD	522.1076	FADD	453.0851
FADS1	2875.4348	FADS1	391.4379
FADS2	6067.4539	FADS2	703.9848
FADS3	515.4753	FADS3	377.2117
FAF1	1263.0803	FAF1	792.3601
FAF2	1706.706	FAF2	1513.1577
FAHD1	239.1304	FAHD1	363.8476
FAHD2A	235.8143	FAHD2A	321.5999
FAHD2B	113.4856	FAHD2B	142.2627
FAH	328.2977	FAH	366.8653
FAIM2	7.7377	FAIM2	61.2161
FAIM3	148.2461	FAIM3	1608.9048
FAIM	362.9329	FAIM	250.4686
FAM100A	160.28	FAM100A	210.8074
FAM100B	558.9536	FAM100B	579.3971
FAM101A	108.6957	FAM101A	165.9731
FAM101B	100.5895	FAM101B	573.3617
FAM102A	2550.479	FAM102A	2761.6205
FAM102B	1752.7634	FAM102B	1332.9583
FAM103A1	247.9735	FAM103A1	262.923
FAM104A	1292.3692	FAM104A	828.775
FAM104B	105.0111	FAM104B	140.1072
FAM105A	518.423	FAM105A	370.3141
FAM105B	1056.0059	FAM105B	834.1767
FAM106A	7.7377	FAM106A	12.933
FAM106C	7.7377	FAM106C	7.3287
FAM107A	595.7996	FAM107A	440.1521
FAM107B	2273.7657	FAM107B	3292.7346
FAM108A1	182.7561	FAM108A1	270.2991
FAM108B1	514.0015	FAM108B1	487.1419
FAM108C1	802.1371	FAM108C1	395.7489
FAM109A	141.1201	FAM109A	266.8503
FAM109B	74.7973	FAM109B	257.7972
FAM10A4	433.6772	FAM10A4	349.1902
FAM110A	346.3522	FAM110A	286.2498
FAM110B	12.5276	FAM110B	182.3549
FAM110C	24.6868	FAM110C	13.7952
FAM111A	2050.479	FAM111A	1434.2666
FAM111B	1033.8983	FAM111B	344.4481
FAM113A	201.5475	FAM113A	556.5489
FAM113B	169.8674	FAM113B	471.1913
FAM114A1	2524.3183	FAM114A1	735.8861
FAM114A2	344.5099	FAM114A2	502.2304
FAM115A	353.353	FAM115A	464.7248
FAM115C	272.8703	FAM115C	694.7808
FAM116A	746.8681	FAM116A	975.1461
FAM116B	211.8644	FAM116B	150.8847
FAM117A	237.2881	FAM117A	717.7799
FAM117B	288.8725	FAM117B	637.1644
FAM118A	384.6721	FAM118A	337.9817
FAM118B	281.5033	FAM118B	288.4053
FAM119A	390.5674	FAM119A	233.6557
FAM119B	168.7546	FAM119B	328.9286
FAM120AOS	1441.4923	FAM120AOS	828.1413
FAM120A	6138.0951	FAM120A	4046.7268
FAM120B	534.6352	FAM120B	859.6115
FAM120C	330.5085	FAM120C	391.0068
FAM122A	529.1083	FAM122A	873.8378
FAM122B	587.325	FAM122B	818.226
FAM122C	35.7406	FAM122C	43.9721
FAM123B	387.9882	FAM123B	366.8653
FAM124A	25.7922	FAM124A	50.8697
FAM124B	11.0538	FAM124B	75.8734
FAM125A	214.8121	FAM125A	287.9742
FAM125B	386.5144	FAM125B	368.1586
FAM126A	587.325	FAM126A	1576.0981
FAM126B	1293.6625	FAM126B	791.4979
FAM127A	916.7281	FAM127A	879.011
FAM127B	619.7494	FAM127B	460.8449
FAM127C	436.2564	FAM127C	334.5329
FAM128A	153.2793	FAM128A	187.5281
FAM128B	329.0346	FAM128B	470.3291
FAM129A	4172.8077	FAM129A	3903.6019
FAM129B	3338.9831	FAM129B	3537.5988
FAM129C	8.1061	FAM129C	235.3801
FAM131A	248.3419	FAM131A	268.1436
FAM131B	11.0538	FAM131B	75.4423
FAM133A	872.1444	FAM133A	8.622
FAM133B	54.9005	FAM133B	125.8809
FAM134A	1768.2388	FAM134A	2055.0492
FAM134B	241.3412	FAM134B	464.7248
FAM134C	2710.0221	FAM134C	1897.698
FAM135A	735.4458	FAM135A	415.1484
FAM136A	1489.6831	FAM136A	716.4866
FAM13AOS	87.3913	FAM13AOS	153.2385
FAM13A	1420.3464	FAM13A	1110.3129
FAM13B	529.1046	FAM13B	1332.5142
FAM13C	8.0214	FAM13C	371.56
FAM149A	5.1584	FAM149A	77.5978
FAM149B1	308.0324	FAM149B1	505.6792
FAM150B	60.059	FAM150B	56.474
removed	removed	FAM151A	5.8328
FAM151B	22.1076	FAM151B	9.9153
removed	removed	FAM153A	17.244
FAM154B	19.5284	FAM154B	98.2906
FAM155A	18.423	FAM155A	34.0568
FAM155B	9.2115	FAM155B	50.8697
FAM156A	460.5748	FAM156A	681.1365
FAM157A	23.9499	FAM157A	21.1239
FAM158A	89.1673	FAM158A	65.9582
removed	removed	FAM159A	46.5587
FAM160A1	898.6735	FAM160A1	363.4165
FAM160A2	659.9116	FAM160A2	720.3665
FAM160B1	771.5549	FAM160B1	1132.4972
FAM160B2	568.1651	FAM160B2	1114.3911
FAM161A	172.4392	FAM161A	98.2906
FAM161B	62.2697	FAM161B	121.5699
FAM162A	297.3471	FAM162A	427.6503
removed	removed	FAM162B	24.5726
removed	removed	FAM163A	7.3287
FAM164A	281.1349	FAM164A	375.0562
FAM164C	32.056	FAM164C	47.852
FAM165B	152.9108	FAM165B	239.26
FAM167A	14.0015	FAM167A	196.1501
FAM167B	51.9528	FAM167B	52.5941
FAM168A	491.5254	FAM168A	403.5087
FAM168B	3061.1643	FAM168B	3375.5056
FAM169A	480.8401	FAM169A	161.6621
FAM171A1	1613.8541	FAM171A1	1218.717
FAM171A2	5.1584	FAM171A2	15.0885
FAM171B	1407.5166	FAM171B	513.8701
FAM172A	310.9801	FAM172A	715.6244
FAM173A	41.636	FAM173A	57.3362
FAM173B	278.5556	FAM173B	204.341
FAM174A	204.8637	FAM174A	224.6026
FAM174B	458.7325	FAM174B	467.7425
FAM175A	307.675	FAM175A	340.5208
FAM175B	376.9344	FAM175B	552.669
FAM176A	139.2778	FAM176A	154.3335
FAM176B	87.6824	FAM176B	77.9643
FAM177A1	943.2572	FAM177A1	555.2556
removed	removed	FAM177B	9.9153
FAM178A	827.1923	FAM178A	1213.5438
removed	removed	FAM178B	5.1732
removed	removed	FAM179A	18.9684
FAM179B	323.8762	FAM179B	725.1086
FAM180A	11.7907	FAM180A	50.8697
removed	removed	FAM180B	15.5196
FAM181B	81.0612	FAM181B	9.4842
FAM182B	10.6853	FAM182B	20.2617
FAM183A	14.0015	removed	removed
FAM184A	132.6455	FAM184A	147.0048
removed	removed	FAM184B	15.2609
FAM185A	61.9013	FAM185A	91.393
removed	removed	FAM186A	9.4842
FAM186B	8.4746	FAM186B	16.3818
FAM188A	380.619	FAM188A	439.721
FAM188B	307.664	FAM188B	205.6342
removed	removed	FAM189A1	14.2263
FAM189A2	217.0228	FAM189A2	588.8813
FAM189B	620.8548	FAM189B	465.1559
FAM18A	11.5623	FAM18A	36.5486
FAM18B2	229.5505	FAM18B2	223.2576
FAM18B	1035.7406	FAM18B	746.2325
FAM190A	218.1282	FAM190A	128.4675
FAM190B	1689.3884	FAM190B	1902.009
FAM192A	2208.9167	FAM192A	1377.7926
FAM193A	1014.0015	FAM193A	854.8694
FAM193B	211.1275	FAM193B	876.8555
FAM195A	71.1127	FAM195A	86.6509
FAM195B	805.4532	FAM195B	829.0035
removed	removed	FAM196A	9.0531
FAM196B	6.6323	FAM196B	71.1313
FAM198A	360.7222	FAM198A	159.5067
FAM198B	991.157	FAM198B	2918.1095
FAM199X	956.5217	FAM199X	532.4073
removed	removed	FAM19A1	5.1732
FAM19A2	5.1584	FAM19A2	25.0037
FAM19A3	96.168	FAM19A3	40.5233
FAM19A4	40.899	removed	removed
FAM19A5	19.8968	FAM19A5	42.6788
FAM200A	156.5954	FAM200A	229.3447
FAM200B	395.3574	FAM200B	477.6578
FAM20A	1654.0162	FAM20A	847.9718
FAM20B	2584.3773	FAM20B	1813.2026
FAM20C	348.9315	FAM20C	1183.798
FAM21A	385.7775	FAM21A	459.5516
FAM21B	420.0442	FAM21B	897.1171
FAM21C	1086.9565	FAM21C	2007.1972
FAM22A	24.6868	FAM22A	41.3855
FAM22D	72.5866	FAM22D	76.3045
FAM22G	7.7377	FAM22G	5.1732
removed	removed	FAM23A	8.622
FAM24B	20.1142	FAM24B	25.5512
FAM26E	166.9123	FAM26E	127.1742
FAM26F	699.3368	FAM26F	200.8922
removed	removed	FAM27C	5.6043
FAM32A	684.9668	FAM32A	1282.9508
FAM35A	522.4761	FAM35A	803.5686
FAM35B2	35.7406	FAM35B2	82.771
FAM35B	178.3346	FAM35B	242.2777
FAM36A	1338.902	FAM36A	481.3005
FAM38A	7530.4422	FAM38A	2870.486
FAM38B	27.266	FAM38B	180.6305
FAM3A	631.5402	FAM3A	433.6856
FAM3B	11.7907	FAM3B	50.0075
FAM3C	3440.678	FAM3C	1399.7786
FAM3D	9.2115	FAM3D	110.7925
FAM40A	553.0582	FAM40A	791.929
FAM40B	18.7915	FAM40B	72.8557
FAM41C	26.8976	FAM41C	19.3995
FAM43A	49.3736	FAM43A	406.9575
removed	removed	FAM43B	12.0708
FAM45A	313.5593	FAM45A	324.1865
FAM45B	155.1216	FAM45B	147.4359
FAM46A	798.084	FAM46A	1138.1015
FAM46B	406.7797	FAM46B	310.8224
FAM46C	580.3242	FAM46C	2665.4855
FAM47E	51.3412	FAM47E	86.888
FAM48A	873.7362	FAM48A	1101.8504
FAM49A	198.9683	FAM49A	240.5533
FAM49B	3233.972	FAM49B	1603.6885
FAM50A	661.0169	FAM50A	581.1215
FAM50B	171.3338	FAM50B	159.9377
FAM53A	36.4775	FAM53A	15.0885
FAM53B	629.7052	FAM53B	1768.4804
FAM53C	724.0236	FAM53C	1239.8409
FAM54A	43.4783	FAM54A	41.8166
FAM54B	751.098	FAM54B	785.9626
FAM55C	483.7878	FAM55C	943.2447
removed	removed	FAM55D	9.0531
FAM57A	115.3279	FAM57A	263.8326
FAM57B	7.7377	removed	removed
FAM58A	208.9167	FAM58A	211.6696
FAM59A	90.6411	FAM59A	207.7897
removed	removed	FAM5B	64.2338
FAM60A	910.8327	FAM60A	1872.6943
FAM63A	526.5291	FAM63A	520.7677
FAM63B	469.7863	FAM63B	323.3243
FAM64A	112.7487	FAM64A	46.1276
FAM65A	2516.2122	FAM65A	1390.7256
FAM65B	167.2808	FAM65B	1443.7507
FAM65C	8.4746	FAM65C	73.2868
removed	removed	FAM66A	7.0183
FAM66C	5.1584	FAM66C	40.5233
FAM66D	11.0427	FAM66D	15.2092
FAM69A	1343.4156	FAM69A	411.2685
FAM69B	28.762	FAM69B	145.2071
FAM70A	56.0059	FAM70A	381.5227
FAM70B	19.8968	FAM70B	42.2477
FAM71D	16.2122	FAM71D	14.2263
FAM71E1	27.5203	FAM71E1	17.2957
FAM71E2	5.1584	removed	removed
removed	removed	FAM71F2	7.3287
FAM72A	93.9573	FAM72A	20.6928
FAM72B	263.0803	FAM72B	128.0364
FAM72D	133.014	FAM72D	68.1137
FAM73A	989.6831	FAM73A	586.2947
FAM73B	214.4436	FAM73B	429.8058
FAM75A2	8.1061	removed	removed
FAM76A	356.3007	FAM76A	272.4546
FAM76B	400.1474	FAM76B	682.4298
FAM78A	257.185	FAM78A	741.4904
FAM78B	16.5807	FAM78B	46.1276
removed	removed	FAM7A3	12.5019
FAM81A	95.4311	FAM81A	68.5447
FAM82A1	151.8055	FAM82A1	86.2198
FAM82A2	685.7038	FAM82A2	695.3628
FAM82B	921.1496	FAM82B	719.9354
FAM83A	94.6942	FAM83A	11.6397
FAM83B	845.6153	FAM83B	191.8391
FAM83D	265.6595	FAM83D	206.0653
FAM83E	208.9167	FAM83E	49.1453
FAM83F	222.5497	FAM83F	184.5104
FAM83G	114.9189	FAM83G	157.7823
FAM83H	3693.073	FAM83H	1021.7048
FAM84A	344.1415	FAM84A	319.0133
FAM84B	1384.6721	FAM84B	2185.2411
FAM86A	316.0133	FAM86A	245.0755
FAM86B1	32.4245	FAM86B1	173.7329
removed	removed	FAM86B2	21.1239
FAM86C	165.07	FAM86C	134.934
FAM86D	141.1201	FAM86D	235.8112
FAM89A	124.171	FAM89A	163.8176
FAM89B	560.7959	FAM89B	660.4438
FAM8A1	1188.283	FAM8A1	1320.0253
removed	removed	FAM90A1	15.5196
FAM91A1	3194.9153	FAM91A1	1529.1083
FAM92A1	62.2697	FAM92A1	113.8102
removed	removed	FAM92B	12.933
FAM95B1	13.2646	FAM95B1	56.9051
FAM96A	950.9948	FAM96A	669.4968
FAM96B	635.9617	FAM96B	336.6884
FAM98A	1976.4186	FAM98A	968.6796
FAM98B	354.8268	FAM98B	383.2471
FAM98C	102.0634	FAM98C	112.0858
FAM9C	140.0147	removed	removed
FANCA	1492.0892	FANCA	378.8369
FANCB	92.4834	FANCB	36.2123
FANCC	726.9713	FANCC	303.9248
FANCD2	278.1872	FANCD2	483.2577
FANCE	140.7517	FANCE	143.556
FANCF	727.3397	FANCF	503.0926
FANCG	174.65	FANCG	270.7302
FANCI	1888.0324	FANCI	730.8983
FANCL	814.4547	FANCL	355.5834
FANCM	120.8548	FANCM	230.638
FANK1	26.1606	FANK1	85.3576
FAP	358.143	FAP	532.4073
FAR1	1566.3228	FAR1	1669.2155
FAR2	156.4996	FAR2	106.5634
FARP1	1579.5873	FARP1	1856.3125
FARP2	661.7539	FARP2	359.1055
FARS2	162.4908	FARS2	195.719
FARSA	589.1673	FARSA	787.1869
FARSB	1070.7443	FARSB	903.1525
FASLG	64.8489	FASLG	52.5941
FASN	4821.297	FASN	2980.1878
FASTKD1	257.5534	FASTKD1	344.017
FASTKD2	1195.2837	FASTKD2	1063.5214
FASTKD3	260.8696	FASTKD3	188.3903
FASTKD5	471.9971	FASTKD5	449.2052
FASTK	398.3051	FASTK	649.6663
FAS	1232.8666	FAS	678.8603
FAT1	16078.1135	FAT1	11660.7983
FAT2	161.0169	FAT2	1812.7715
removed	removed	FAT3	25.4348
FAT4	413.0435	FAT4	761.752
FAU	1981.9455	FAU	4226.9262
FBF1	358.0103	FBF1	154.7473
