gene_id	TCGA-A7-A0D9-01A-31R-A056-07	gene_id	TCGA-A7-A0D9-11A-53R-A089-07
DPP8	2393.5776	DPP8	848.778
DPP9	1969.9465	DPP9	811.609
DPT	283.6558	DPT	59695.0102
DPY19L1	640.5928	DPY19L1	483.7067
DPY19L2P1	101.6879	removed	removed
removed	removed	DPY19L2P2	10.1833
DPY19L2	149.4442	DPY19L2	86.558
DPY19L3	343.3512	DPY19L3	319.2464
DPY19L4	1400.1647	DPY19L4	743.89
DPY30	688.6167	DPY30	376.7464
DPYD	231.3709	DPYD	1114.5621
DPYSL2	841.4986	DPYSL2	5448.5743
DPYSL3	2969.5348	DPYSL3	4617.1079
DPYSL4	233.0177	DPYSL4	21.3849
DQX1	19.7612	removed	removed
DR1	903.2524	DR1	771.8941
DRAM1	517.9086	DRAM1	531.0591
DRAM2	415.809	DRAM2	2035.1324
DRAP1	943.1865	DRAP1	967.9226
removed	removed	DRD1	35.1324
DRG1	1164.2651	DRG1	1351.833
DRG2	1023.4664	DRG2	596.2322
DRP2	74.5163	removed	removed
DSC2	1130.9181	DSC2	414.9695
DSC3	270.07	DSC3	95.2138
DSCAML1	73.2812	DSCAML1	12.7291
DSCC1	271.7168	DSCC1	80.9572
DSCR3	913.9564	DSCR3	1188.391
DSCR6	12.3508	removed	removed
DSEL	306.7106	DSEL	1720.4684
DSE	449.6171	DSE	2133.447
removed	removed	DSG1	6.11
DSG2	2280.3541	DSG2	2132.7749
DSG3	257.3075	DSG3	110.4888
removed	removed	DSG4	5.6008
DSN1	236.7229	DSN1	225.0509
DSP	29011.5274	DSP	670.0611
DSTN	9344.5862	DSTN	6483.1976
DSTYK	880.1976	DSTYK	1029.5316
DST	2844.3804	DST	8934.8269
DTD1	286.126	DTD1	430.2444
DTL	99.6295	DTL	26.4766
DTNA	777.6863	DTNA	574.8473
DTNBP1	373.8164	DTNBP1	376.7821
DTNB	272.1284	DTNB	86.0489
DTWD1	132.1531	DTWD1	482.1792
DTWD2	303.8287	DTWD2	194.501
DTX1	55.1667	DTX1	1875.7637
DTX2	796.6241	DTX2	234.2159
DTX3L	1208.7279	DTX3L	1067.6578
DTX3	298.4767	DTX3	106.4155
DTX4	284.8909	DTX4	918.5336
DTYMK	209.9629	DTYMK	257.1283
DULLARD	896.6653	DULLARD	1988.2892
DUOX1	65.459	DUOX1	50.4073
DUOX2	8.6455	DUOX2	11.2016
DUOXA1	5.352	removed	removed
DUS1L	745.1626	DUS1L	937.8819
DUS2L	210.3746	DUS2L	184.8269
DUS3L	207.9045	DUS3L	105.3971
DUS4L	270.6587	DUS4L	99.888
DUSP10	166.7353	DUSP10	330.4481
DUSP11	506.3812	DUSP11	373.7271
DUSP12	280.3623	DUSP12	203.666
DUSP14	323.1783	DUSP14	706.721
DUSP15	23.8781	removed	removed
DUSP16	2159.7365	DUSP16	785.1324
DUSP18	143.2071	DUSP18	130.8554
DUSP19	56.8135	DUSP19	86.558
DUSP1	983.1206	DUSP1	26269.3483
DUSP22	640.1811	DUSP22	1662.9328
DUSP23	216.55	DUSP23	387.9837
DUSP27	15.2326	DUSP27	8.6558
DUSP28	107.8633	DUSP28	44.2974
DUSP2	59.6953	DUSP2	49.389
DUSP3	1471.7991	DUSP3	3126.7821
DUSP4	260.6011	DUSP4	240.835
DUSP5	1819.6789	DUSP5	410.387
DUSP6	805.6814	DUSP6	3630.3462
DUSP7	392.3425	DUSP7	480.6517
DUSP8	552.079	DUSP8	210.7943
DUSP9	5.7637	removed	removed
DUT	366.513	DUT	792.9022
DVL1	1183.203	DVL1	740.835
DVL2	321.1198	DVL2	446.5377
DVL3	2455.7431	DVL3	1998.4725
DYDC2	9.0572	removed	removed
DYM	727.8716	DYM	791.2424
DYNC1H1	13553.3141	DYNC1H1	17061.609
DYNC1I1	65.459	DYNC1I1	93.6864
DYNC1I2	2260.6011	DYNC1I2	2398.6762
DYNC1LI1	1442.569	DYNC1LI1	711.3035
DYNC1LI2	4482.0914	DYNC1LI2	6589.613
DYNC2H1	465.6237	DYNC2H1	1114.5621
DYNC2LI1	413.7505	DYNC2LI1	291.2424
DYNLL1	4928.7773	DYNLL1	3846.7413
DYNLL2	1130.0947	DYNLL2	1763.7475
DYNLRB1	2002.0585	DYNLRB1	1850.8147
DYNLRB2	9.0572	removed	removed
DYNLT1	1138.7402	DYNLT1	704.1752
DYNLT3	1137.0935	DYNLT3	757.6375
DYRK1A	1976.9452	DYRK1A	1445.5193
DYRK1B	461.0951	DYRK1B	331.9756
DYRK2	699.8765	DYRK2	474.5418
DYRK3	116.5089	DYRK3	207.7393
DYRK4	234.6645	DYRK4	204.1752
DYSF	433.5117	DYSF	971.4868
DYX1C1	34.1704	DYX1C1	21.8941
DZIP1L	32.112	DZIP1L	127.8004
DZIP1	149.823	DZIP1	282.7138
DZIP3	810.21	DZIP3	605.3971
E2F1	147.7974	E2F1	81.9756
E2F2	74.1046	E2F2	7.6375
E2F3	339.2343	E2F3	263.2383
E2F4	792.0955	E2F4	905.8045
E2F5	378.0486	E2F5	14.9898
E2F6	336.7641	E2F6	298.8798
E2F7	28.8184	E2F7	5.0916
E2F8	53.52	E2F8	5.0916
E4F1	603.5406	E4F1	179.2261
EAF1	1682.5854	EAF1	711.3035
EAF2	30.4652	EAF2	35.6415
EAPP	941.5397	EAPP	805.499
EARS2	1041.1692	EARS2	451.1202
EBAG9	1920.5434	EBAG9	637.9837
EBF1	211.6097	EBF1	4590.6314
EBF2	30.8769	EBF2	251.0183
EBF3	65.0473	EBF3	1448.5743
EBF4	703.9934	EBF4	55.499
removed	removed	EBI3	30.0407
EBNA1BP2	1309.5924	EBNA1BP2	678.2077
EBPL	389.8724	EBPL	172.0978
EBP	382.8736	EBP	275.4582
ECD	1047.3446	ECD	726.5784
ECE1	9535.6114	ECE1	7495.9267
ECE2	92.219	ECE2	25.4582
ECEL1	20.1729	ECEL1	6.11
ECH1	819.6789	ECH1	3947.556
ECHDC1	554.9609	ECHDC1	2245.4175
ECHDC2	1139.1519	ECHDC2	820.2648
ECHDC3	166.7353	ECHDC3	1550.4073
ECHS1	2516.6735	ECHS1	5655.2953
ECM1	1151.9144	ECM1	1926.6802
ECM2	348.7032	ECM2	7379.3279
ECSCR	50.2264	ECSCR	332.9939
ECSIT	417.4557	ECSIT	559.0631
ECT2	543.8452	ECT2	176.6802
EDA2R	44.051	EDA2R	60.5906
EDARADD	48.9914	EDARADD	49.389
EDA	256.0725	EDA	269.3483
EDC3	1521.6138	EDC3	679.7352
EDC4	1311.4574	EDC4	634.3534
EDEM1	1176.6159	EDEM1	1254.0733
EDEM2	393.5776	EDEM2	564.1548
EDEM3	1186.0848	EDEM3	1548.8798
EDF1	1870.7287	EDF1	2633.9104
EDIL3	387.4022	EDIL3	226.5784
EDN1	76.9864	EDN1	342.1589
EDN2	34.9938	EDN2	5.0916
EDNRA	639.3578	EDNRA	426.1711
EDNRB	231.3709	EDNRB	1763.7475
EEA1	919.72	EEA1	1970.9776
EED	275.422	EED	295.8248
EEF1A1P9	6605.599	EEF1A1P9	6678.7169
EEF1A1	66929.189	EEF1A1	111557.0265
EEF1A2	21405.9284	removed	removed
EEF1B2	2291.0663	EEF1B2	3438.9002
EEF1D	19255.2491	EEF1D	4992.8717
EEF1E1	348.2915	EEF1E1	135.4379
EEF1G	11342.1161	EEF1G	14745.9267
EEF2K	1041.1692	EEF2K	2073.8289
EEF2	43056.4018	EEF2	51265.7841
EEFSEC	496.5871	EEFSEC	328.0957
EEPD1	122.6842	EEPD1	1149.6945
EFCAB10	7.2005	removed	removed
removed	removed	EFCAB1	5.0916
EFCAB2	60.5187	EFCAB2	131.8737
removed	removed	EFCAB3	5.0916
EFCAB4A	195.9654	EFCAB4A	121.6904
EFCAB4B	389.049	EFCAB4B	40.7332
EFCAB6	56.4018	EFCAB6	21.8941
EFCAB7	141.6221	EFCAB7	127.8004
EFEMP1	2093.8658	EFEMP1	15653.7678
EFEMP2	655.4138	EFEMP2	2250.5092
EFHA1	1314.5327	EFHA1	654.277
EFHA2	11.1157	EFHA2	134.9287
EFHC1	325.6484	EFHC1	245.9267
EFHD1	8461.9185	EFHD1	586.0489
EFHD2	736.9288	EFHD2	900.7128
EFNA1	2113.2153	EFNA1	477.0876
EFNA2	6.1754	removed	removed
EFNA3	64.6357	EFNA3	36.6599
EFNA4	165.9119	EFNA4	43.279
EFNA5	18.9378	EFNA5	576.8839
EFNB1	486.62	EFNB1	1590.1222
EFNB2	985.5908	EFNB2	883.9104
EFNB3	184.0263	EFNB3	51.4257
EFR3A	7328.1186	EFR3A	2040.7332
EFR3B	703.5817	EFR3B	37.6782
EFS	323.1783	EFS	632.3829
EFTUD1	1355.2902	EFTUD1	675.1527
EFTUD2	2604.3639	EFTUD2	1520.8045
EGFL6	49.403	EGFL6	3921.5886
EGFL7	393.9893	EGFL7	591.6497
EGFL8	72.3631	EGFL8	89.5061
EGFLAM	278.3038	EGFLAM	1640.0204
EGFR	163.4417	EGFR	3328.3809
EGF	30.0535	EGF	20.8758
EGLN1	1417.0441	EGLN1	1584.5214
EGLN2	844.8621	EGLN2	1481.4053
EGLN3	264.718	EGLN3	71.2831
EGR1	1079.0449	EGR1	35035.1324
EGR2	202.5525	EGR2	1141.0387
EGR3	141.6221	EGR3	1553.9715
EHBP1L1	683.4088	EHBP1L1	1109.9796
EHBP1	1151.091	EHBP1	3749.4043
EHD1	1960.4776	EHD1	1962.3218
EHD2	2832.853	EHD2	18054.9898
EHD3	432.6883	EHD3	82.4847
EHD4	757.9251	EHD4	2094.7047
EHF	34.9938	EHF	155.2953
EHHADH	135.035	EHHADH	1006.6191
EHMT1	981.8855	EHMT1	1075.3564
EHMT2	1302.182	EHMT2	907.8411
EI24	3668.5879	EI24	2802.444
EID1	1423.6311	EID1	3659.8778
EID2B	27.1717	EID2B	25.9674
EID2	143.2688	EID2	186.3544
EID3	44.4627	EID3	79.4297
EIF1AD	681.762	EIF1AD	381.3646
EIF1AX	2222.7254	EIF1AX	1662.4236
EIF1B	636.8876	EIF1B	945.5193
EIF1	9606.8341	EIF1	16872.1996
EIF2AK1	7248.5097	EIF2AK1	3206.39
EIF2AK2	500.2058	EIF2AK2	438.391
EIF2AK3	1139.1519	EIF2AK3	688.391
EIF2AK4	881.8444	EIF2AK4	2151.7312
EIF2A	3113.2153	EIF2A	2357.943
EIF2B1	1069.1643	EIF2B1	1289.7149
EIF2B2	590.7781	EIF2B2	537.169
EIF2B3	463.9769	EIF2B3	1128.3096
EIF2B4	854.6727	EIF2B4	800.4073
EIF2B5	1074.928	EIF2B5	958.7576
EIF2C1	1190.6134	EIF2C1	1294.8065
EIF2C2	608.4809	EIF2C2	266.2933
EIF2C3	144.0922	EIF2C3	200.1018
EIF2C4	768.6291	EIF2C4	557.5356
EIF2S1	2012.3508	EIF2S1	1717.4134
EIF2S2	1451.2145	EIF2S2	1503.5642
EIF2S3	7348.2915	EIF2S3	4446.5377
EIF3A	8682.9971	EIF3A	9216.9043
EIF3B	7163.4417	EIF3B	3512.22
EIF3CL	12892.816	EIF3CL	9430.5143
EIF3C	317.9704	EIF3C	71.5224
EIF3D	5081.9267	EIF3D	3847.2505
EIF3E	18335.529	EIF3E	6456.2118
EIF3F	1790.0371	EIF3F	2631.3646
EIF3G	1584.191	EIF3G	2144.0886
EIF3H	8762.042	EIF3H	3846.2322
EIF3I	3873.6435	EIF3I	2981.1609
EIF3J	1188.9667	EIF3J	1361.5071
EIF3K	2385.7555	EIF3K	3575.3564
EIF3L	5189.79	EIF3L	8710.2851
EIF3M	2606.3936	EIF3M	2159.2464
EIF4A1	8529.156	EIF4A1	7060.2088
EIF4A2	10790.0371	EIF4A2	9447.556
EIF4A3	954.3022	EIF4A3	928.2077
EIF4B	8323.9193	EIF4B	13058.9104
EIF4E2	1136.6818	EIF4E2	1715.3768
EIF4E3	810.6217	EIF4E3	2657.8411
EIF4EBP1	5920.1317	EIF4EBP1	483.1976
EIF4EBP2	4943.1865	EIF4EBP2	16495.9267
EIF4EBP3	93.9605	EIF4EBP3	350.2291
EIF4ENIF1	940.3047	EIF4ENIF1	680.7536
EIF4E	776.0395	EIF4E	294.2974
EIF4G1	10008.2338	EIF4G1	7956.2118
EIF4G2	23690.4076	EIF4G2	22558.554
EIF4G3	2594.4833	EIF4G3	2311.0998
EIF4H	6104.1581	EIF4H	6139.5112
EIF5A2	107.4516	EIF5A2	231.6701
EIF5AL1	721.2845	EIF5AL1	960.2851
EIF5A	3090.1606	EIF5A	3288.1874
EIF5B	5935.776	EIF5B	4931.7719
EIF5	5999.5883	EIF5	5784.1141
EIF6	1198.8473	EIF6	1204.1752
ELAC1	57.9992	ELAC1	157.8564
ELAC2	1016.056	ELAC2	1563.6456
removed	removed	ELANE	20.3666
ELAVL1	1941.128	ELAVL1	1157.332
ELF1	1612.1861	ELF1	1604.3788
ELF2	722.1079	ELF2	970.9776
ELF3	5951.832	ELF3	217.9226
ELF4	759.1601	ELF4	560.5906
ELF5	39.5224	ELF5	68.7373
ELFN1	60.9304	ELFN1	24.9491
ELFN2	279.9506	ELFN2	9.6741
ELK1	605.1873	ELK1	476.0692
ELK3	350.3499	ELK3	782.0774
ELK4	105.8049	ELK4	191.446
ELL2	406.3401	ELL2	1743.89
ELL3	237.0317	ELL3	79.2413
ELL	608.4809	ELL	343.1772
ELMO1	145.739	ELMO1	828.9206
ELMO2	1545.9037	ELMO2	1006.6191
ELMO3	795.8007	ELMO3	15.7841
ELMOD1	25.9366	removed	removed
ELMOD2	270.8934	ELMOD2	230.1426
ELMOD3	412.5154	ELMOD3	3138.4929
ELN	450.8028	ELN	3186.3544
ELOF1	566.4883	ELOF1	390.5295
ELOVL1	2094.6892	ELOVL1	1804.4807
ELOVL2	1489.0902	ELOVL2	73.3198
removed	removed	ELOVL3	87.5764
ELOVL4	38.2874	ELOVL4	31.5682
ELOVL5	3424.4545	ELOVL5	12633.9104
ELOVL6	212.8448	ELOVL6	97.2505
ELOVL7	276.6571	ELOVL7	424.1344
ELP2P	24.7015	ELP2P	9.6741
ELP2	3308.3573	ELP2	1161.4053
ELP3	458.6249	ELP3	1101.3238
ELP4	262.6595	ELP4	264.7658
ELTD1	474.2692	ELTD1	3059.0631
EMB	1330.5887	EMB	602.3422
EMCN	340.4693	EMCN	1602.8513
EMD	705.2285	EMD	687.3727
EME1	13.7917	EME1	8.7067
EME2	43.2277	removed	removed
EMG1	394.3763	EMG1	443.9919
EMID1	214.0799	EMID1	10.6925
EMID2	23.0548	removed	removed
EMILIN1	1526.5541	EMILIN1	1076.8839
EMILIN2	99.6295	EMILIN2	1289.2057
EMILIN3	9.7036	EMILIN3	12.3931
EML1	559.0778	EML1	998.9817
EML2	1660.7534	EML2	360.4888
EML3	552.9024	EML3	1417.0061
EML4	1464.8003	EML4	1210.2851
EML5	191.4368	EML5	27.4949
EML6	189.79	EML6	10.6925
EMP1	1878.1392	EMP1	23426.1711
EMP2	3170.0288	EMP2	2716.9043
EMP3	195.142	EMP3	1141.0387
removed	removed	EMR1	10.1833
EMR2	54.755	EMR2	112.0163
removed	removed	EMR3	8.1466
removed	removed	EMR4P	9.6741
EMX2OS	28.8184	EMX2OS	515.7841
EMX2	15.2326	EMX2	154.7862
EN1	22.6431	EN1	113.0346
EN2	120.6258	removed	removed
ENAH	2376.2865	ENAH	1988.7984
ENC1	1443.0671	ENC1	631.8737
ENDOD1	1793.7423	ENDOD1	1094.1955
ENDOG	84.1581	ENDOG	96.3289
removed	removed	ENDOU	19.3483
ENGASE	301.7703	ENGASE	312.6273
ENG	2765.7472	ENG	3564.1548
ENHO	104.9815	ENHO	17.3116
ENO1	6115.2738	ENO1	15155.8045
ENO2	839.8518	ENO2	167.0061
ENO3	29.6418	ENO3	46.334
ENOPH1	1104.1581	ENOPH1	481.6701
ENOSF1	313.6599	ENOSF1	470.6365
ENOX1	133.7999	ENOX1	61.0998
ENOX2	317.8263	ENOX2	551.9348
ENPEP	202.5525	ENPEP	641.0387
ENPP1	1864.965	ENPP1	1794.8065
ENPP2	624.5368	ENPP2	8417.5153
removed	removed	ENPP3	36.6599
ENPP4	842.7336	ENPP4	957.2301
ENPP5	529.8477	ENPP5	38.1874
removed	removed	ENPP6	11.2016
ENSA	3578.0156	ENSA	3937.3727
ENTPD1	1237.1305	ENTPD1	930.2444
ENTPD2	96.7476	ENTPD2	12.7291
ENTPD3	23.8781	ENTPD3	152.2403
ENTPD4	309.1807	ENTPD4	244.3992
ENTPD5	293.0506	ENTPD5	234.613
ENTPD6	1599.4236	ENTPD6	835.0305
ENTPD7	432.6184	ENTPD7	113.9715
ENTPD8	172.0873	removed	removed
ENY2	1438.452	ENY2	557.0265
EOMES	10.2923	EOMES	15.7841
EP300	4836.5583	EP300	2868.1263
EP400NL	254.4257	EP400NL	74.3381
EP400	2339.6459	EP400	1267.3116
EPAS1	2675.5867	EPAS1	26983.1976
EPB41L1	3258.5426	EPB41L1	4991.3442
EPB41L2	1778.5097	EPB41L2	10270.8758
EPB41L3	286.9494	EPB41L3	2044.8065
EPB41L4A	137.5051	EPB41L4A	719.4501
EPB41L4B	478.7979	EPB41L4B	2538.1874
EPB41L5	909.0161	EPB41L5	838.5947
EPB41	3692.536	EPB41	1498.8849
removed	removed	EPB42	272.4033
EPB49	424.0428	EPB49	2168.0244
EPC1	565.2532	EPC1	550.9165
EPC2	1062.1655	EPC2	719.4501
EPCAM	7023.8781	EPCAM	118.1263
EPDR1	329.3536	EPDR1	3143.0754
EPHA10	282.8324	removed	removed
EPHA1	606.4224	EPHA1	12.7291
EPHA2	349.1149	EPHA2	283.0957
EPHA3	51.0498	EPHA3	125.7637
EPHA4	104.9815	EPHA4	550.9165
EPHA6	48.5797	EPHA6	5.0916
EPHA7	7.8221	EPHA7	31.5682
EPHA8	39.5224	removed	removed
EPHB1	13.5858	EPHB1	16.8024
EPHB2	497.7357	EPHB2	282.0774
EPHB3	752.5731	EPHB3	160.387
EPHB4	3668.9996	EPHB4	907.8411
EPHB6	99.2178	EPHB6	401.222
EPHX1	1298.065	EPHX1	14322.8106
EPHX2	249.4854	EPHX2	760.1833
EPHX3	26.76	EPHX3	33.0957
EPHX4	137.9168	removed	removed
EPM2AIP1	1389.4607	EPM2AIP1	740.835
EPM2A	146.1507	EPM2A	547.8615
EPN1	1407.5751	EPN1	1490.835
EPN2	1722.9312	EPN2	719.9593
EPN3	405.5167	EPN3	10.1833
EPOR	113.2812	EPOR	73.8289
EPPK1	7175.3808	EPPK1	12.7291
EPR1	55.422	EPR1	13.0754
EPRS	4010.704	EPRS	2973.5234
EPS15L1	1907.781	EPS15L1	650.2037
EPS15	1697.818	EPS15	2980.1426
EPS8L1	1135.035	EPS8L1	10.6925
EPS8L2	1913.133	EPS8L2	179.2261
EPS8	1381.6385	EPS8	4608.4521
EPSTI1	72.4578	EPSTI1	195.5193
EPT1	2175.3726	EPT1	319.2261
EPYC	40.3458	removed	removed
ERAL1	1377.1099	ERAL1	775.4582
ERAP1	1154.1499	ERAP1	6635
ERAP2	295.5949	ERAP2	1585.5397
ERBB2IP	2811.8567	ERBB2IP	1481.6701
ERBB2	5291.478	ERBB2	1073.8289
ERBB3	10368.4644	ERBB3	119.6538
ERBB4	4412.5154	ERBB4	255.6008
removed	removed	ERC1	2283.6049
ERC2	29.2301	ERC2	9.165
ERCC1	575.5455	ERCC1	828.9206
ERCC2	480.8563	ERCC2	231.1609
ERCC3	1345.4096	ERCC3	937.8819
ERCC4	382.4619	ERCC4	375.7637
ERCC5	1342.1367	ERCC5	2148.6762
ERCC6L	41.9926	removed	removed
ERCC6	624.9938	ERCC6	235.0764
ERCC8	226.0189	ERCC8	238.2892
ERF	697.818	ERF	480.6517
ERGIC1	7622.4784	ERGIC1	5233.1976
ERGIC2	840.2635	ERGIC2	873.2179
ERGIC3	4131.3298	ERGIC3	2767.8208
ERG	361.4656	ERG	1643.0754
ERH	1655.8254	ERH	1064.1548
ERI1	196.3771	ERI1	393.5845
ERI2	401.6097	ERI2	275.9725
ERI3	847.2622	ERI3	656.3136
ERICH1	139.9753	ERICH1	343.6864
ERLEC1	1809.7983	ERLEC1	1584.5214
ERLIN1	900.7822	ERLIN1	1633.9104
ERLIN2	39114.3804	ERLIN2	1624.7454
ERMAP	511.7332	ERMAP	732.1792
ERMN	18.9378	ERMN	5.6008
ERMP1	4076.6941	ERMP1	808.8595
ERN1	133.3882	ERN1	93.6864
removed	removed	ERN2	6.6191
ERO1LB	211.198	ERO1LB	323.8289
ERO1L	558.2544	ERO1L	451.1202
ERP27	25.9366	ERP27	11.2016
ERP29	2354.4669	ERP29	2062.1181
ERP44	1093.4541	ERP44	1883.4012
ERRFI1	3132.5648	ERRFI1	3841.1405
removed	removed	ERVFRDE1	24.9491
ESAM	423.6311	ESAM	1703.666
ESCO1	778.098	ESCO1	336.0489
ESCO2	31.7003	ESCO2	5.6008
ESD	1402.6348	ESD	2786.1507
ESF1	634.0058	ESF1	518.8391
ESM1	202.9642	removed	removed
ESPL1	73.6929	ESPL1	7.6375
ESPN	1095.9242	removed	removed
ESR1	8637.2993	ESR1	753.055
ESR2	6.9988	ESR2	70.2648
ESRP1	2831.2063	ESRP1	44.8065
ESRP2	2490.3252	ESRP2	143.5845
ESRRA	446.2742	ESRRA	487.78
ESRRG	95.1009	ESRRG	35.6415
ESYT1	2418.6908	ESYT1	13930.2444
ESYT2	6659.119	ESYT2	6567.2098
ESYT3	181.1445	removed	removed
ETAA1	328.1186	ETAA1	223.5234
ETF1	3207.9045	ETF1	4603.8697
ETFA	10897.4887	ETFA	2112.5255
ETFB	621.655	ETFB	2379.8371
ETFDH	425.2779	ETFDH	1392.5662
ETHE1	344.5862	ETHE1	273.4216
ETNK1	1348.2915	ETNK1	522.9124
ETNK2	788.3903	ETNK2	112.5255
ETS1	1673.1165	ETS1	6104.888
ETS2	1016.056	ETS2	3151.222
ETV1	233.0177	ETV1	122.7088
ETV2	5.352	ETV2	14.2566
ETV3L	5.352	ETV3L	12.7291
ETV3	278.7155	ETV3	440.4277
ETV4	20.5846	ETV4	12.22
ETV5	167.147	ETV5	378.8187
ETV6	1214.0799	ETV6	516.8024
ETV7	5.352	ETV7	11.2016
EVC2	37.0523	EVC2	226.5784
EVC	880.5846	EVC	1077.836
EVI2A	123.0959	EVI2A	363.5438
EVI2B	142.8571	EVI2B	616.5988
EVI5L	503.9111	EVI5L	316.1914
EVI5	477.9745	EVI5	528.0041
EVL	1221.902	EVL	957.7393
EVPLL	90.1606	EVPLL	12.7291
EVPL	928.3656	EVPL	45.3157
EWSR1	5475.916	EWSR1	3834.5214
EXD2	1027.1717	EXD2	980.6517
EXD3	112.8036	EXD3	109.4705
EXO1	51.8732	EXO1	5.6008
EXOC1	896.6653	EXOC1	1238.2892
EXOC2	1493.2071	EXOC2	908.3503
EXOC3L2	56.4018	EXOC3L2	36.1507
EXOC3L	65.9325	EXOC3L	54.8676
EXOC3	1043.6394	EXOC3	1417.5153
EXOC4	2206.2577	EXOC4	2219.4501
EXOC5	1646.7682	EXOC5	2026.9857
EXOC6B	254.4257	EXOC6B	481.6701
EXOC6	532.7295	EXOC6	264.7658
EXOC7	1861.6715	EXOC7	3811.609
EXOC8	477.9745	EXOC8	497.4542
EXOG	94.6892	EXOG	96.2322
EXOSC10	1631.1239	EXOSC10	1260.6925
EXOSC1	401.8114	EXOSC1	270.3666
EXOSC2	219.8436	EXOSC2	296.8432
EXOSC3	407.5751	EXOSC3	216.9043
EXOSC4	766.9823	EXOSC4	118.6354
EXOSC5	301.7703	EXOSC5	136.9654
EXOSC6	365.1709	EXOSC6	354.888
EXOSC7	496.5006	EXOSC7	365.5804
EXOSC8	209.6665	EXOSC8	124.4196
EXOSC9	533.3965	EXOSC9	361.7363
EXPH5	414.9856	EXPH5	116.5988
EXT1	1861.2598	EXT1	1561.609
EXT2	1977.7686	EXT2	2103.8697
EXTL1	1916.0148	removed	removed
EXTL2	160.9716	EXTL2	389.5112
EXTL3	657.8839	EXTL3	1119.6538
removed	removed	EYA1	32.5866
EYA2	71.6344	EYA2	447.556
EYA3	204.611	EYA3	121.1813
removed	removed	EYA4	57.0265
EYS	13.5858	EYS	101.833
EZH1	1249.4854	EZH1	3549.389
EZH2	371.3462	EZH2	39.2057
EZR	25317.4146	EZR	1176.1711
F10	5.7637	F10	511.7108
F11R	4222.7254	F11R	3816.7006
F12	13.5858	removed	removed
F13A1	1174.1457	F13A1	4902.7495
F2RL1	202.9642	F2RL1	27.4949
F2RL2	828.3244	F2RL2	16.8024
F2RL3	70.3993	F2RL3	57.0265
F2R	1867.0235	F2R	475.0509
F3	775.6278	F3	1751.5275
F5	20.5846	F5	117.6171
F7	11.9391	removed	removed
F8A1	87.6904	F8A1	115.5804
F8	307.9457	F8	1948.0652
FA2H	411.2804	removed	removed
FAAH2	414.9856	removed	removed
FAAH	880.1976	FAAH	233.1976
FABP3	346.6447	FABP3	214.3585
FABP4	1685.879	FABP4	90132.8921
FABP5	40.3458	FABP5	500.5092
FABP6	26.3483	removed	removed
removed	removed	FABP7	18.3299
FADD	580.8975	FADD	437.3727
FADS1	278.7155	FADS1	459.2668
FADS2	363.5241	FADS2	610.4888
FADS3	562.3713	FADS3	2819.2464
FAF1	1087.6904	FAF1	991.3442
FAF2	1824.2075	FAF2	1574.8473
FAHD1	500.2058	FAHD1	519.8574
FAHD2A	458.6249	FAHD2A	607.4338
FAHD2B	237.1346	FAHD2B	193.4827
FAH	884.3145	FAH	5219.4501
FAIM2	10.2923	FAIM2	66.7006
FAIM3	76.3071	FAIM3	177.3269
FAIM	392.3425	FAIM	500.5092
FAM100A	170.8522	FAM100A	139.5112
FAM100B	264.3063	FAM100B	642.5662
FAM101A	25.5249	FAM101A	11.2016
FAM101B	689.5842	FAM101B	857.4338
FAM102A	2463.9769	FAM102A	631.3646
FAM102B	2303.417	FAM102B	803.4623
FAM103A1	471.3874	FAM103A1	137.0723
FAM104A	395.1914	FAM104A	837.6069
FAM104B	228.0774	FAM104B	201.1202
FAM105A	130.0947	FAM105A	359.9796
FAM105B	384.5204	FAM105B	423.1161
FAM106C	41.9926	FAM106C	13.2383
FAM107A	49.8147	FAM107A	1714.8676
FAM107B	2928.3656	FAM107B	6054.9898
FAM108A1	556.6077	FAM108A1	407.8411
FAM108B1	156.0313	FAM108B1	233.7067
FAM108C1	734.8703	FAM108C1	65.6823
FAM109A	357.3487	FAM109A	251.5275
FAM109B	212.8448	FAM109B	283.0957
FAM10A4	406.7517	FAM10A4	496.945
FAM110A	1147.7974	FAM110A	95.723
FAM110B	436.8053	FAM110B	224.5418
FAM110C	23.4664	removed	removed
FAM111A	654.1787	FAM111A	562.6273
FAM111B	106.2166	FAM111B	11.2016
FAM113A	848.909	FAM113A	354.3788
FAM113B	71.2351	FAM113B	245.4277
FAM114A1	783.0383	FAM114A1	1307.0265
FAM114A2	370.9345	FAM114A2	571.7923
FAM115A	368.0527	FAM115A	691.9552
FAM115C	438.5797	FAM115C	186.4053
FAM116A	610.1276	FAM116A	630.3462
FAM116B	194.7303	FAM116B	41.7515
FAM117A	221.4903	FAM117A	436.8635
FAM117B	381.2268	FAM117B	302.444
FAM118A	487.0317	FAM118A	192.4644
FAM118B	186.9082	FAM118B	413.442
FAM119A	237.1346	FAM119A	160.8961
FAM119B	171.6756	FAM119B	276.4766
FAM120AOS	913.7505	FAM120AOS	1606.5122
FAM120A	2979.6212	FAM120A	3290.6365
FAM120B	1273.3635	FAM120B	1113.0346
FAM120C	800.741	FAM120C	542.2607
FAM122A	334.7056	FAM122A	737.2709
FAM122B	960.4776	FAM122B	463.3401
FAM122C	10.704	FAM122C	19.3483
FAM123A	137.5051	removed	removed
