gene_id	TCGA-A7-A0D9-01A-31R-A056-07	gene_id	TCGA-A7-A0D9-11A-53R-A089-07
ACLY	4128.0362	ACLY	2682.7902
ACN9	172.9107	ACN9	125.2546
ACO1	1383.2853	ACO1	11869.6538
ACO2	3990.3664	ACO2	4526.8839
ACOT11	131.9885	ACOT11	8.4521
ACOT13	658.7608	ACOT13	945.6314
ACOT1	391.1075	ACOT1	1888.4929
ACOT2	363.1124	ACOT2	1412.9328
ACOT4	230.1359	ACOT4	311.609
removed	removed	ACOT6	26.9857
ACOT7	484.1499	ACOT7	222.5051
ACOT8	196.76	ACOT8	183.442
ACOT9	267.5998	ACOT9	687.8819
ACOX1	650.4734	ACOX1	4675.5143
ACOX2	134.2116	ACOX2	637.9837
ACOX3	539.7283	ACOX3	490.3259
ACP1	1524.4957	ACP1	1002.0367
ACP2	596.9535	ACP2	1126.2729
ACP5	941.9514	ACP5	1047.8615
ACP6	224.7839	ACP6	160.387
ACPL2	363.9358	ACPL2	264.7658
ACPP	61.7538	ACPP	20.8758
ACRBP	15.6443	ACRBP	50.4073
ACRC	24.2898	ACRC	24.9491
removed	removed	ACR	7.6375
ACSBG1	25.9366	ACSBG1	18.3299
ACSF2	307.1223	ACSF2	1517.3116
ACSF3	471.3874	ACSF3	279.5316
ACSL1	2092.219	ACSL1	41042.2607
ACSL3	12032.5237	ACSL3	1933.8086
ACSL4	526.1424	ACSL4	2809.5723
ACSL5	132.5648	ACSL5	954.6843
ACSL6	31.2886	removed	removed
removed	removed	ACSM2A	5.6008
ACSM3	9.6706	ACSM3	11.1965
ACSM5	21.408	ACSM5	1359.4705
ACSS1	839.8518	ACSS1	338.5947
ACSS2	824.2075	ACSS2	6902.7495
ACSS3	762.8654	ACSS3	1563.6456
ACTA1	9.0572	removed	removed
ACTA2	8093.8452	ACTA2	3202.6578
ACTB	85494.4422	ACTB	64842.668
ACTG1	34743.9275	ACTG1	32175.1527
ACTG2	156.8547	ACTG2	181.7719
ACTL6A	1435.5702	ACTL6A	572.8106
ACTN1	5662.8242	ACTN1	5582.9939
ACTN4	13987.5463	ACTN4	10318.5183
ACTR10	1386.1671	ACTR10	1080.9572
ACTR1A	2247.0152	ACTR1A	3701.1202
ACTR1B	1179.9094	ACTR1B	1330.4481
ACTR2	6498.5591	ACTR2	5954.6843
ACTR3B	412.5154	ACTR3B	80.9572
ACTR3C	83.5735	ACTR3C	25.4582
ACTR3	3762.8654	ACTR3	2766.8024
ACTR5	233.0177	ACTR5	131.8737
ACTR6	503.4994	ACTR6	378.3096
ACTR8	687.9374	ACTR8	456.2118
ACVR1B	2034.5821	ACVR1B	982.6884
ACVR1C	82.7501	ACVR1C	3481.6701
ACVR1	779.3331	ACVR1	992.3625
ACVR2A	355.7019	ACVR2A	452.6477
ACVR2B	574.3104	ACVR2B	314.1548
ACVRL1	269.6583	ACVRL1	1251.0183
ACY1	592.2684	ACY1	558.6914
ACYP1	75.3396	ACYP1	26.9857
