gene_id	TCGA-BH-A1FN-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FN-11A-34R-A13Q-07
ACOT4	106.4849	ACOT4	63.4388
ACOT7	628.6984	ACOT7	164.0759
ACOT8	300.2533	ACOT8	201.7816
ACOT9	436.6366	ACOT9	512.9895
ACOX1	1547.1913	ACOX1	1500.6167
ACOX2	22.8529	ACOX2	195.5069
ACOX3	546.5251	ACOX3	323.2497
ACP1	1776.2067	ACP1	1670.1714
ACP2	982.6755	ACP2	877.186
ACP5	451.2236	ACP5	1093.7431
ACP6	239.2263	ACP6	193.4884
ACPL2	505.1954	ACPL2	417.2545
ACPP	52.0269	ACPP	21.0502
ACRBP	8.2659	ACRBP	27.1057
ACRC	50.5682	ACRC	46.714
ACR	7.2935	ACR	9.8042
removed	removed	ACSBG1	20.1851
ACSF2	355.4358	ACSF2	540.0951
ACSF3	185.2545	ACSF3	236.7422
ACSL1	1853.5176	ACSL1	2312.9221
ACSL3	2453.5283	ACSL3	3190.3965
ACSL4	787.6964	ACSL4	1608.1744
ACSL5	195.4654	ACSL5	1107.5843
ACSL6	11.6696	ACSL6	6.9206
ACSM1	7.7797	ACSM1	29.4125
ACSM3	7.1768	ACSM3	105.9717
removed	removed	ACSM5	66.6108
ACSS1	75.8522	ACSS1	747.4248
ACSS2	565.9744	ACSS2	1143.6291
ACSS3	83.1457	ACSS3	225.2079
ACTA1	25.2841	removed	removed
ACTA2	5623.8555	ACTA2	19258.7374
removed	removed	ACTBL2	17.8782
ACTB	174631.3143	ACTB	93656.7656
ACTG1	116320.3882	ACTG1	68020.5571
ACTG2	49.1095	ACTG2	1646.526
ACTL6A	2690.3235	ACTL6A	870.2654
ACTN1	11248.0125	ACTN1	5845.8883
ACTN2	105.5124	removed	removed
ACTN4	8431.8083	ACTN4	6670.8671
ACTR10	1399.8629	ACTR10	1545.0239
ACTR1A	4912.4052	ACTR1A	2457.1013
ACTR1B	891.7501	ACTR1B	897.9478
ACTR2	8706.4761	ACTR2	6693.3735
ACTR3B	141.0074	ACTR3B	259.8109
ACTR3C	12.1558	ACTR3C	26.2406
ACTR3	7235.6233	ACTR3	4314.994
ACTR5	271.8039	ACTR5	237.6073
ACTR6	530.9657	ACTR6	785.1997
ACTR8	295.6293	ACTR8	443.4951
ACVR1B	711.8441	ACVR1B	933.4159
ACVR1C	113.2921	ACVR1C	232.7052
ACVR1	1134.38	ACVR1	1432.8525
ACVR2A	314.1061	ACVR2A	881.5114
ACVR2B	545.5527	ACVR2B	496.2647
ACVRL1	323.3445	ACVRL1	952.4475
ACY1	236.7951	ACY1	320.6545
removed	removed	ACY3	24.5105
ACYP1	120.0994	ACYP1	72.9547
ACYP2	71.4762	ACYP2	165.2293
ADAL	140.0349	ADAL	134.6633
ADAM10	1785.9314	ADAM10	1903.7417
ADAM11	15.0732	ADAM11	11.8227
removed	removed	ADAM12	482.1351
ADAM15	3672.5274	ADAM15	2737.0972
ADAM17	1438.7615	ADAM17	709.9382
ADAM19	1059.5003	ADAM19	323.538
ADAM21	13.1283	removed	removed
ADAM22	24.7978	ADAM22	51.0394
removed	removed	ADAM23	21.9152
ADAM28	51.0544	ADAM28	270.4801
ADAM32	7.7797	ADAM32	87.0842
ADAM33	27.7152	ADAM33	501.7435
ADAM6	1541.2203	ADAM6	192160.7425
ADAM8	425.4533	ADAM8	114.7666
ADAM9	3093.8963	ADAM9	1932.5775
ADAMDEC1	84.1182	ADAMDEC1	55.3648
ADAMTS10	66.6138	ADAMTS10	91.1212
ADAMTS12	474.0765	ADAMTS12	67.1875
ADAMTS13	13.6145	ADAMTS13	15.283
ADAMTS14	60.779	ADAMTS14	7.7857
ADAMTS15	16.5319	ADAMTS15	36.9099
ADAMTS16	57.3754	ADAMTS16	12.111
