gene_id	TCGA-BH-A1FN-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FN-11A-34R-A13Q-07
CCDC112	343.28	CCDC112	315.1756
CCDC113	405.0315	CCDC113	242.221
CCDC114	18.9631	CCDC114	6.0555
CCDC115	883.4841	CCDC115	1205.9145
removed	removed	CCDC116	5.7672
CCDC117	1383.8172	CCDC117	1229.5599
CCDC11	44.7334	CCDC11	18.7433
CCDC120	339.8764	CCDC120	360.1595
CCDC121	114.7508	CCDC121	224.6311
CCDC122	31.6051	CCDC122	91.1212
CCDC123	494.9845	CCDC123	361.313
CCDC124	308.2713	CCDC124	179.6472
CCDC125	287.3633	CCDC125	292.3953
CCDC126	239.7125	CCDC126	256.3506
CCDC127	354.9496	CCDC127	400.5297
removed	removed	CCDC129	18.1666
CCDC12	154.6219	CCDC12	296.144
CCDC130	248.951	CCDC130	207.0413
CCDC132	406.004	CCDC132	633.5232
CCDC134	69.5312	CCDC134	37.4866
CCDC136	22.8529	CCDC136	41.5236
CCDC137	298.5467	CCDC137	130.9147
CCDC138	96.7602	CCDC138	45.2723
removed	removed	CCDC13	5.7672
removed	removed	CCDC141	39.7934
CCDC142	204.4121	CCDC142	100.3487
CCDC144A	38.4464	CCDC144A	21.6038
CCDC144B	47.8453	CCDC144B	23.1263
CCDC144C	6.8073	removed	removed
CCDC146	51.5406	CCDC146	151.0998
CCDC147	20.4218	CCDC147	12.6878
CCDC148	69.5312	CCDC148	17.5899
CCDC149	365.1605	CCDC149	559.7035
CCDC14	1518.9898	CCDC14	944.9502
CCDC150	91.8979	CCDC150	9.2275
CCDC151	15.5594	removed	removed
CCDC152	14.9225	CCDC152	332.382
CCDC155	5.8348	removed	removed
CCDC157	15.0927	CCDC157	18.1723
CCDC158	10.6971	CCDC158	17.5899
CCDC159	101.1363	CCDC159	96.0233
CCDC15	53.4856	CCDC15	71.5129
CCDC160	51.5406	CCDC160	28.5475
CCDC163P	83.632	CCDC163P	31.4311
CCDC17	12.1558	CCDC17	8.9391
CCDC18	89.4667	CCDC18	51.9045
CCDC19	34.0363	removed	removed
CCDC21	725.9449	CCDC21	236.7422
CCDC22	255.3109	CCDC22	273.6174
CCDC23	442.9577	CCDC23	380.0563
CCDC24	200.0554	CCDC24	104.6741
CCDC25	841.6682	CCDC25	1481.2967
CCDC28A	542.6353	CCDC28A	803.0779
CCDC28B	168.2364	CCDC28B	56.8066
CCDC30	242.1437	CCDC30	79.5869
CCDC34	278.6111	CCDC34	371.4055
CCDC36	10.6971	CCDC36	34.0263
CCDC39	20.4218	CCDC39	19.049
CCDC3	186.7132	CCDC3	991.6643
CCDC40	47.6508	CCDC40	39.7934
CCDC41	179.4197	CCDC41	207.0413
CCDC43	794.5036	CCDC43	562.0104
CCDC45	615.0839	CCDC45	638.4253
CCDC46	116.2095	CCDC46	427.347
CCDC47	4537.5201	CCDC47	2675.3885
CCDC48	6.321	CCDC48	113.6132
CCDC50	1357.0744	CCDC50	2999.2149
CCDC51	136.1451	CCDC51	135.8168
CCDC52	741.5043	CCDC52	354.104
CCDC53	255.272	CCDC53	624.8725
CCDC55	794.0174	CCDC55	811.7287
CCDC56	797.1682	CCDC56	933.5745
CCDC57	370.0228	CCDC57	211.0783
CCDC58	445.3888	CCDC58	219.729
CCDC59	605.3593	CCDC59	758.6708
CCDC61	77.7972	CCDC61	94.8699
removed	removed	CCDC62	5.4788
CCDC64B	283.4734	CCDC64B	80.7403
CCDC64	99.6776	CCDC64	31.4311
CCDC65	6.321	CCDC65	14.9946
CCDC66	101.9824	CCDC66	353.4033
removed	removed	CCDC67	5.1904
removed	removed	CCDC68	99.4836
CCDC69	104.0537	CCDC69	1425.6436
CCDC6	4385.8156	CCDC6	3079.9553
CCDC71	247.9785	CCDC71	378.3261
CCDC72	631.6158	CCDC72	703.306
CCDC73	24.3797	CCDC73	55.8348
CCDC74A	884.9428	CCDC74A	164.3642
CCDC74B	189.6306	CCDC74B	47.0024
CCDC75	73.9073	CCDC75	57.3833
CCDC76	247.5555	CCDC76	321.5743
CCDC77	277.6387	CCDC77	263.2712
CCDC78	26.2565	removed	removed
CCDC7	46.1921	CCDC7	32.0078
CCDC80	3294.224	CCDC80	10230.0883
CCDC81	6.321	CCDC81	6.6322
CCDC82	299.5191	CCDC82	691.1949
CCDC84	88.4943	CCDC84	92.2747
CCDC85A	53.1841	CCDC85A	211.9434
CCDC85B	131.2827	CCDC85B	67.4758
CCDC85C	1326.5488	CCDC85C	626.9516
CCDC86	547.0065	CCDC86	420.6168
CCDC87	14.1007	CCDC87	14.7063
CCDC88A	649.6064	CCDC88A	1013.5795
CCDC88B	30.1464	CCDC88B	112.1714
CCDC88C	1099.8575	CCDC88C	649.3829
CCDC89	20.908	CCDC89	47.5791
CCDC8	95.7878	CCDC8	896.506
CCDC90A	538.7454	CCDC90A	371.4055
CCDC90B	778.9442	CCDC90B	814.321
CCDC91	534.3693	CCDC91	535.7698
CCDC92	640.8542	CCDC92	884.395
CCDC93	994.3451	CCDC93	1125.7509
CCDC94	164.3465	CCDC94	227.8031
CCDC96	21.8805	CCDC96	46.4257
CCDC97	678.7803	CCDC97	888.7204
CCDC99	538.2592	CCDC99	258.9458
CCDC9	132.7414	CCDC9	73.5314
CCHCR1	526.1034	CCHCR1	142.1607
CCIN	8.2659	CCIN	7.7857
CCKBR	37.9261	removed	removed
CCL11	125.9342	removed	removed
CCL13	5.8348	CCL13	257.2156
CCL14	5.8348	CCL14	3313.4909
removed	removed	CCL16	5.7672
removed	removed	CCL17	10.9576
CCL18	106.4849	CCL18	138.412
removed	removed	CCL19	2123.4707
CCL20	22.3667	removed	removed
CCL21	29.1739	CCL21	3094.3732
CCL22	20.4218	CCL22	130.0496
removed	removed	CCL23	86.7959
CCL26	9.2384	removed	removed
CCL28	5.8348	CCL28	1629.5129
CCL2	1868.5909	CCL2	2458.8314
CCL3L1	48.5552	CCL3L1	112.1541
removed	removed	CCL3L3	20.2024
CCL3	195.4654	CCL3	441.1882
CCL4L2	38.8986	CCL4L2	145.0442
CCL4	88.9805	CCL4	315.7524
CCL5	318.4822	CCL5	1137.2852
CCL7	286.3908	removed	removed
CCL8	690.9361	CCL8	395.0509
CCM2	959.3364	CCM2	561.1453
CCNA1	6.8073	CCNA1	25.9522
CCNA2	959.74	CCNA2	139.8711
CCNB1IP1	899.0436	CCNB1IP1	1303.668
CCNB1	1193.7004	CCNB1	268.75
CCNB2	597.0933	CCNB2	100.0603
removed	removed	CCNB3	7.209
CCNC	3259.2153	CCNC	1263.8745
CCND1	1398.5014	CCND1	3131.358
CCND2	561.5983	CCND2	2222.3776
CCND3	1070.1974	CCND3	2376.9377
CCNDBP1	458.5171	CCNDBP1	1464.8603
CCNE1	178.9335	CCNE1	34.3146
CCNE2	1203.9161	CCNE2	41.0882
CCNF	899.5298	CCNF	129.1845
CCNG1	2458.8769	CCNG1	3447.0354
CCNG2	2948.0266	CCNG2	3469.239
CCNH	445.7243	CCNH	667.0449
CCNI2	26.2565	CCNI2	7.5838
CCNI	9425.1275	CCNI	7266.9182
CCNJL	296.6017	CCNJL	157.732
CCNJ	350.0873	CCNJ	329.5936
CCNK	1236.3818	CCNK	943.7362
CCNL1	1512.1826	CCNL1	2285.5281
CCNL2	1576.3652	CCNL2	1233.5969
CCNO	23.8254	CCNO	10.3809
CCNT1	313.1336	CCNT1	124.2824
CCNT2	1481.5499	CCNT2	912.9425
CCNYL1	922.869	CCNYL1	425.9052
CCNY	2162.2752	CCNY	2546.7807
CCPG1	950.5161	CCPG1	2506.6268
CCR10	8.2659	CCR10	9.5158
CCR1	527.0758	CCR1	600.362
CCR2	39.3848	CCR2	316.6174
removed	removed	CCR3	5.1904
CCR4	12.1558	CCR4	17.3015
CCR5	144.8972	CCR5	301.0461
CCR6	53.8065	CCR6	154.7388
CCR7	13.1283	CCR7	113.9015
CCRL1	163.3741	CCRL1	180.224
CCRL2	50.0819	CCRL2	88.526
CCRN4L	226.098	CCRN4L	136.6818
CCS	255.7582	CCS	164.0759
CCT2	4059.5537	CCT2	3201.6425
CCT3	13036.8613	CCT3	3500.6701
CCT4	3489.2032	CCT4	5308.6768
CCT5	5321.8129	CCT5	3575.9316
CCT6A	7253.1277	CCT6A	3645.426
CCT6B	41.816	CCT6B	118.8036
CCT6P1	130.7965	CCT6P1	79.8753
CCT7	2940.2469	CCT7	3546.8074
CCT8	5219.7041	CCT8	3695.6003
CD101	37.9261	CD101	51.6161
CD109	7068.3497	CD109	994.8362
CD14	1020.1154	CD14	3106.4842
CD151	4883.2313	CD151	3983.6703
CD160	23.8254	CD160	62.2854
CD163L1	49.5957	CD163L1	406.5852
CD163	1306.5063	CD163	2013.6062
CD164L2	5.3486	CD164L2	46.4257
CD164	20596.8016	CD164	8082.6839
removed	removed	CD177	54.4997
CD180	75.366	CD180	297.0091
removed	removed	CD19	28.5475
removed	removed	CD1A	8.9391
removed	removed	CD1B	8.6507
removed	removed	CD1C	264.7129
CD1D	23.8254	CD1D	99.772
removed	removed	CD1E	94.2932
CD200R1	5.8348	CD200R1	139.5654
CD200	136.6313	CD200	916.6911
removed	removed	CD207	21.3385
CD209	21.8805	CD209	996.5664
CD226	31.6051	CD226	28.5475
CD22	35.0087	CD22	125.7242
removed	removed	CD244	57.96
CD247	16.5319	CD247	125.7242
CD248	796.9348	CD248	1314.0489
CD24	101670.2081	CD24	17674.0585
CD274	41.3297	CD274	39.2167
CD276	2891.6237	CD276	2285.8164
CD27	25.1431	CD27	326.4908
CD28	17.5044	CD28	114.4783
CD2AP	1727.5835	CD2AP	1416.4161
CD2BP2	1055.6104	CD2BP2	790.6785
CD2	75.8522	CD2	466.5638
CD300A	272.7763	CD300A	302.1995
CD300C	16.5319	CD300C	27.394
CD300E	16.0457	removed	removed
CD300LB	7.7797	CD300LB	21.9152
CD300LF	29.1739	CD300LF	63.4388
removed	removed	CD300LG	443.4951
CD302	422.2198	CD302	2481.1792
CD320	486.2323	CD320	524.5238
CD33	39.3848	CD33	233.8586
CD34	708.9267	CD34	7151.2865
CD36	176.0161	CD36	5561.8554
CD37	145.3835	CD37	547.3041
CD38	20.908	CD38	111.3063
CD3D	17.9906	CD3D	157.1553
CD3EAP	453.6548	CD3EAP	385.0218
CD3E	58.8341	CD3E	430.8073
CD3G	8.7522	CD3G	61.132
removed	removed	CD40LG	39.2167
CD40	172.1262	CD40	510.971
CD44	9662.4089	CD44	6846.2034
CD46	11660.8238	CD46	5274.3621
CD47	4470.4201	CD47	4950.8241
CD48	114.2646	CD48	579.6002
CD4	507.6266	CD4	2042.1537
CD52	97.2465	CD52	705.0361
CD53	584.9375	CD53	1608.7511
CD55	4918.24	CD55	2699.6106
CD58	189.1444	CD58	268.4616
CD59	8700.1551	CD59	34953.9312
CD5	17.5044	CD5	96.0233
CD63	6418.753	CD63	9971.4309
CD68	2916.4215	CD68	3858.2344
CD69	50.0819	CD69	261.8294
CD6	24.3116	CD6	114.1899
CD72	47.6508	CD72	100.0603
CD74	18233.2262	CD74	85520.7355
CD79A	15.0732	CD79A	373.424
CD79B	8.7522	CD79B	183.3959
CD7	38.8986	CD7	103.5206
CD80	46.6783	CD80	15.283
CD81	10306.1805	CD81	12700.7425
CD82	654.955	CD82	689.7531
CD83	248.951	CD83	519.045
CD84	64.1827	CD84	94.0048
CD86	342.3076	CD86	399.0879
CD8A	37.9261	CD8A	433.1142
CD8B	30.1464	CD8B	146.486
CD93	1545.7326	CD93	5065.8791
CD96	28.2015	CD96	248.2765
CD97	383.6373	CD97	783.4696
CD99L2	590.7723	CD99L2	1257.819
CD99	1609.9152	CD99	1991.9793
CD9	8544.5608	CD9	5820.2244
CDADC1	112.8059	CDADC1	282.0144
CDAN1	167.2639	CDAN1	276.5356
CDA	6.8073	CDA	33.4496
CDC123	1270.35	CDC123	1088.991
CDC14A	130.3103	CDC14A	420.1381
CDC14B	332.0967	CDC14B	715.7054
CDC14C	7.2935	CDC14C	7.7857
CDC16	2676.2228	CDC16	1840.5912
CDC20B	26.7428	removed	removed
CDC20	2844.9454	CDC20	79.8753
CDC23	960.3089	CDC23	1078.1718
CDC25A	99.6776	CDC25A	51.0394
CDC25B	1404.239	CDC25B	942.355
CDC25C	305.8596	CDC25C	16.1481
CDC26	69.7938	CDC26	120.5597
CDC27	1873.4532	CDC27	1702.1792
CDC34	324.317	CDC34	272.787
CDC37L1	455.5997	CDC37L1	476.6563
CDC37	1189.8105	CDC37	1460.5349
CDC40	1782.5277	CDC40	899.678
CDC42BPA	1810.243	CDC42BPA	1718.0389
CDC42BPB	3399.2502	CDC42BPB	2385.8768
CDC42BPG	364.188	CDC42BPG	317.1942
CDC42EP1	895.64	CDC42EP1	1252.0518
CDC42EP2	247.4923	CDC42EP2	319.501
CDC42EP3	507.1403	CDC42EP3	1006.6589
CDC42EP4	1794.6835	CDC42EP4	2736.8089
CDC42EP5	19.9355	CDC42EP5	43.8305
CDC42SE1	3579.3701	CDC42SE1	2624.8768
CDC42SE2	1045.3995	CDC42SE2	2319.8427
CDC42	8539.2122	CDC42	7116.1068
CDC45	249.4372	CDC45	31.1427
CDC5L	1279.2773	CDC5L	1187.4596
CDC6	909.2545	CDC6	118.8036
CDC73	2237.155	CDC73	989.9341
CDC7	820.7602	CDC7	173.015
CDCA2	294.6568	CDCA2	53.3463
CDCA3	301.5953	CDCA3	46.2354
CDCA4	829.9986	CDCA4	278.8425
CDCA5	826.1087	CDCA5	75.5499
CDCA7L	1046.8193	CDCA7L	895.8947
CDCA7	526.1034	CDCA7	115.6317
CDCA8	1305.5338	CDCA8	93.7165
CDCP1	1870.5358	CDCP1	720.6075
CDH11	2435.0515	CDH11	1493.9845
removed	removed	CDH12	59.9785
CDH13	391.9033	CDH13	695.8086
CDH15	20.908	removed	removed
removed	removed	CDH17	17.0131
removed	removed	CDH19	8.3624
CDH1	13386.4623	CDH1	6031.0144
removed	removed	CDH22	22.7803
CDH23	925.2758	CDH23	157.1553
CDH24	234.364	CDH24	132.6448
removed	removed	CDH26	18.1666
CDH2	125.4479	CDH2	13.8412
CDH3	2378.1623	CDH3	1876.0593
CDH5	662.2484	CDH5	4179.1772
CDH6	36.4674	CDH6	62.2854
CDH8	5.3486	removed	removed
removed	removed	CDHR1	26.2406
CDHR3	27.3797	CDHR3	23.0687
CDIPT	1380.8998	CDIPT	1902.2999
CDK10	332.5829	CDK10	330.1703
CDK11A	259.0597	CDK11A	112.7856
CDK11B	514.0497	CDK11B	490.7484
CDK12	1943.9569	CDK12	1149.6846
CDK13	1702.7856	CDK13	1188.9014
CDK14	548.9563	CDK14	1079.6136
removed	removed	CDK15	12.9761
CDK16	2798.7533	CDK16	1294.7289
CDK17	504.7092	CDK17	1021.0768
CDK18	743.9355	CDK18	351.2204
CDK19	2517.9736	CDK19	827.4586
CDK1	1497.5956	CDK1	161.769
CDK20	162.4016	CDK20	151.9648
CDK2AP1	2712.2039	CDK2AP1	3110.2329
CDK2AP2	1237.9475	CDK2AP2	618.5286
CDK2	1308.4512	CDK2	700.134
CDK3	78.3855	CDK3	94.3422
CDK4	1532.6043	CDK4	2355.5992
CDK5R1	236.7951	CDK5R1	92.8514
CDK5R2	9.7246	removed	removed
CDK5RAP1	416.2149	CDK5RAP1	385.2467
CDK5RAP2	783.3203	CDK5RAP2	1357.0143
CDK5RAP3	1517.5311	CDK5RAP3	1006.3706
CDK5	170.6675	CDK5	160.0389
CDK6	228.043	CDK6	1012.4261
CDK7	458.5171	CDK7	494.8229
CDK8	314.1061	CDK8	217.7105
CDK9	555.2773	CDK9	966.8655
CDKAL1	446.8475	CDKAL1	378.6145
CDKL1	9.2384	CDKL1	27.6824
CDKL2	5.3486	CDKL2	76.415
CDKL3	56.86	CDKL3	45.3991
CDKL5	63.2102	CDKL5	16.4364
CDKN1A	2331.9703	CDKN1A	1199.2823
CDKN1B	1596.3007	CDKN1B	2005.2438
CDKN1C	241.1712	CDKN1C	834.2206
CDKN2AIPNL	235.8227	CDKN2AIPNL	331.3237
CDKN2AIP	330.638	CDKN2AIP	873.4374
CDKN2A	532.9106	CDKN2A	25.3755
CDKN2BAS	51.5406	removed	removed
CDKN2B	390.4446	CDKN2B	111.018
CDKN2C	482.8287	CDKN2C	431.3841
CDKN2D	158.998	CDKN2D	56.5182
CDKN3	425.9395	CDKN3	48.7326
removed	removed	CDNF	49.886
CDO1	13.6145	CDO1	369.387
CDON	224.1531	CDON	666.3961
CDR1	11.3292	CDR1	48.8364
CDR2L	1030.3263	CDR2L	403.1249
CDR2	625.781	CDR2	532.3095
CDRT15P	11.1833	CDRT15P	6.9206
CDRT1	8.9758	removed	removed
CDRT4	227.7075	CDRT4	251.5955
CDS1	1289.9744	CDS1	680.5256
CDS2	965.6574	CDS2	971.7676
CDSN	248.951	CDSN	30.566
CDT1	279.0974	CDT1	44.6955
CDV3	7336.2734	CDV3	5588.6727
removed	removed	CDX1	7.209
CDYL2	206.6487	CDYL2	16.1481
CDYL	450.2511	CDYL	681.1024
CEACAM19	30.6326	CEACAM19	68.9176
CEACAM1	552.8462	CEACAM1	1024.8255
removed	removed	CEACAM21	24.7988
CEACAM5	113.2921	removed	removed
CEACAM6	539.2317	CEACAM6	57.3833
removed	removed	CEACAM7	5.1904
CEBPA	64.1827	CEBPA	355.8342
CEBPB	1011.3632	CEBPB	1698.7189
CEBPD	368.0779	CEBPD	1107.0076
CEBPG	1541.3565	CEBPG	1445.5403
CEBPZ	2102.9548	CEBPZ	1889.0354
CECR1	399.683	CECR1	1838.861
CECR2	20.4218	removed	removed
CECR5	639.8817	CECR5	335.9374
CECR6	23.8254	CECR6	38.3517
CECR7	84.1182	CECR7	72.3779
CELF1	3111.4007	CELF1	1918.1596
CELF2	331.6105	CELF2	1771.0968
CELF3	15.0732	removed	removed
CELF4	14.1007	CELF4	7.7857
CELF5	10.2109	CELF5	98.0418
CELF6	23.8205	CELF6	68.3409
CELSR1	4486.952	CELSR1	740.7925
CELSR2	565.9744	CELSR2	975.8046
CELSR3	340.7808	CELSR3	31.7194
CEL	14.1007	CEL	9.2275
CEMP1	86.4083	CEMP1	77.6693
CENPA	244.5749	CENPA	27.394
CENPBD1	356.8945	CENPBD1	318.6359
CENPB	1557.8884	CENPB	1294.7289
CENPC1	262.5655	CENPC1	497.1298
CENPE	1173.2786	CENPE	81.8938
CENPF	3686.6135	CENPF	293.2604
CENPH	224.6393	CENPH	161.769
CENPI	159.4842	CENPI	8.074
CENPJ	322.8583	CENPJ	225.4962
CENPK	119.6132	CENPK	44.6955
CENPL	606.8179	CENPL	90.5445
CENPM	125.9342	CENPM	34.603
CENPN	466.1801	CENPN	165.5494
CENPO	168.8977	CENPO	60.809
CENPP	175.7146	CENPP	56.9046
CENPQ	213.456	CENPQ	160.6156
CENPT	314.1061	CENPT	376.0193
CENPV	131.2827	CENPV	117.0735
CENPW	373.9127	CENPW	123.7057
CEP110	247.006	CEP110	620.5471
CEP120	553.8186	CEP120	853.829
CEP135	361.2706	CEP135	242.221
CEP152	97.7327	CEP152	125.7242
CEP164	487.2048	CEP164	466.8521
CEP170	2906.6969	CEP170	1210.8166
CEP192	710.3854	CEP192	670.7215
CEP250	531.9382	CEP250	258.3691
CEP290	412.8501	CEP290	515.3309
CEP350	2402.9602	CEP350	1313.1838
CEP55	524.1585	CEP55	90.8329
CEP57	1384.7897	CEP57	1320.9695
removed	removed	CEP63	655.9518
CEP68	588.346	CEP68	1913.0182
CEP70	1442.6513	CEP70	343.4348
CEP72	19.4493	CEP72	35.1797
CEP76	220.2632	CEP76	183.1075
CEP78	459.9758	CEP78	290.3768
CEP97	316.5372	CEP97	97.7535
CEPT1	685.1014	CEPT1	1093.7431
CERCAM	1581.2275	CERCAM	719.1657
CERKL	35.5873	CERKL	160.7453
CERK	1505.8615	CERK	1199.2823
CES1	86.0631	CES1	563.1638
CES2	883.9704	CES2	932.5508
CES3	13.1283	CES3	8.3624
CES8	26.2565	CES8	62.2854
CETN2	1075.0597	CETN2	1189.7665
CETN3	362.7293	CETN3	416.6778
CETP	19.9355	CETP	36.0448
CFB	1861.453	CFB	2043.3821
CFDP1	768.7333	CFDP1	776.2606
CFD	32.0913	CFD	514.4313
removed	removed	CFHR1	68.3409
removed	removed	CFHR3	8.074
CFH	921.4103	CFH	4444.4669
CFI	113.7784	CFI	1675.0735
CFL1	17869.0528	CFL1	9164.3159
CFL2	182.3371	CFL2	1212.2584
CFLAR	671.9731	CFLAR	996.5664
CFLP1	10.6971	CFLP1	6.6322
CFP	6.321	CFP	45.849
removed	removed	CFTR	12.3994
CG030	24.3116	CG030	69.206
CGA	10.6971	removed	removed
CGGBP1	2870.7157	CGGBP1	3265.3754
CGNL1	118.1545	CGNL1	2153.46
CGN	1053.1792	CGN	423.31
CGREF1	448.8168	CGREF1	110.5047
CGRRF1	311.1887	CGRRF1	397.9345
CH25H	28.2015	CH25H	333.0539
CHAC1	139.5487	CHAC1	25.0872
CHAC2	42.3022	CHAC2	45.2723
CHADL	10.6971	CHADL	30.2776
CHAD	24.7978	CHAD	163.2108
CHAF1A	271.3176	CHAF1A	143.0257
CHAF1B	368.0779	CHAF1B	267.3082
CHCHD10	410.3801	CHCHD10	423.0217
CHCHD1	1463.0731	CHCHD1	353.5273
CHCHD2	5604.8001	CHCHD2	2912.7074
CHCHD3	569.8643	CHCHD3	626.891
CHCHD4	263.0517	CHCHD4	250.8717
CHCHD5	218.8045	CHCHD5	164.6526
CHCHD6	98.2189	CHCHD6	80.7403
CHCHD7	325.2894	CHCHD7	542.402
CHCHD8	801.3109	CHCHD8	533.7513
CHD1L	1202.4526	CHD1L	707.343
CHD1	1228.7091	CHD1	1158.9121
CHD2	1607.4841	CHD2	2640.2088
CHD3	3205.2435	CHD3	2761.6077
CHD4	6142.5779	CHD4	4558.5876
CHD5	13.6145	removed	removed
CHD6	1913.8105	CHD6	1670.1714
CHD7	598.552	CHD7	697.8271
CHD8	3087.5753	CHD8	2046.7674
CHD9	1414.9361	CHD9	1631.5314
CHDH	177.961	CHDH	601.2271
CHEK1	246.5198	CHEK1	111.018
CHEK2	247.9785	CHEK2	201.8508
CHERP	1240.121	CHERP	930.0248
CHFR	315.0786	CHFR	340.5512
removed	removed	CHGA	6.6322
CHI3L1	1036.1611	CHI3L1	1707.3696
CHI3L2	260.6205	CHI3L2	1707.9464
CHIC1	299.5191	CHIC1	431.6724
CHIC2	229.9879	CHIC2	389.2837
CHID1	1304.5613	CHID1	944.0852
CHIT1	5.8348	removed	removed
CHKA	571.323	CHKA	973.2093
CHKB-CPT1B	157.9331	CHKB-CPT1B	157.4898
removed	removed	CHKB	403.1307
CHL1	55.4305	CHL1	1111.333
CHML	1537.4666	CHML	557.3966
CHMP1A	1612.8326	CHMP1A	1049.0476
CHMP1B	1080.8945	CHMP1B	2011.876
CHMP2A	1010.877	CHMP2A	940.0481
CHMP2B	797.9073	CHMP2B	1439.1964
CHMP4A	691.8114	CHMP4A	737.8224
CHMP4B	2188.0455	CHMP4B	2555.7198
CHMP4C	295.6293	CHMP4C	560.8569
CHMP5	2614.9575	CHMP5	1477.5481
CHMP6	268.4002	CHMP6	220.3058
CHMP7	614.1114	CHMP7	957.638
CHM	483.8012	CHM	538.0766
CHN1	631.6158	CHN1	450.7041
CHN2	365.6467	CHN2	156.5786
CHODL	51.5406	CHODL	43.5421
CHORDC1	1145.0771	CHORDC1	639.2904
CHPF2	1087.2155	CHPF2	668.9913
CHPF	2848.349	CHPF	849.792
CHPT1	613.0223	CHPT1	1942.0933
CHP	1527.742	CHP	2617.7169
CHRAC1	595.1484	CHRAC1	772.2236
CHRDL1	31.1189	CHRDL1	4467.2472
CHRDL2	8.7522	CHRDL2	26.2406
CHRD	518.3237	CHRD	166.3828
CHRFAM7A	7.7797	CHRFAM7A	19.32
CHRM1	15.0732	CHRM1	181.089
removed	removed	CHRM3	12.9761
removed	removed	CHRM5	5.1904
CHRNA10	18.4768	CHRNA10	16.1481
CHRNA1	17.0181	removed	removed
CHRNA5	72.4486	CHRNA5	45.849
removed	removed	CHRNA7	8.9391
CHRNB1	101.1363	CHRNB1	212.5201
CHRNB2	5.8348	CHRNB2	43.8305
CHRNE	8.4167	CHRNE	24.2567
CHST10	273.2626	CHST10	253.1786
CHST11	143.9248	CHST11	132.9332
CHST12	255.7582	CHST12	280.861
CHST13	6.321	CHST13	13.2645
CHST14	367.1054	CHST14	563.4522
CHST15	824.1638	CHST15	1268.1999
CHST1	587.8549	CHST1	83.9123
CHST2	94.8153	CHST2	458.7781
CHST3	392.8757	CHST3	1282.9062
removed	removed	CHST4	8.6507
removed	removed	CHST5	6.3843
CHST6	60.2928	CHST6	10.9576
CHST7	21.8805	CHST7	117.9386
CHST8	333.0691	CHST8	9.5158
CHST9	174.5574	CHST9	216.5571
CHSY1	3479.9648	CHSY1	2000.3417
CHSY3	175.0436	CHSY3	155.1368
CHTF18	189.6306	CHTF18	42.1003
CHTF8	2933.9259	CHTF8	2905.7868
CHUK	1073.601	CHUK	635.2534
CHURC1	760.4771	CHURC1	1753.6425
CIAO1	1784.9589	CIAO1	1702.7559
CIAPIN1	831.9435	CIAPIN1	776.8373
CIB1	2114.1382	CIB1	1119.6954
CIB2	99.1914	CIB2	110.4412
CIC	1662.4283	CIC	1256.0889
removed	removed	CIDEA	110.4412
CIDEB	273.6856	CIDEB	492.1325
CIDECP	102.1088	CIDECP	98.9069
removed	removed	CIDEC	433.1142
CIITA	191.5755	CIITA	369.0987
CILP2	195.4654	CILP2	28.8358
CILP	724.9724	CILP	447.2438
CINP	574.7266	CINP	359.0061
CIR1	864.0349	CIR1	1250.0333
CIRBP	2474.9226	CIRBP	5741.791
CIRH1A	1205.3699	CIRH1A	1009.2541
CISD1	401.6279	CISD1	451.5691
CISD2	977.327	CISD2	621.1238
CISD3	573.2339	CISD3	519.4256
CISH	717.6789	CISH	866.8051
removed	removed	CITED1	12.111
CITED2	2863.9084	CITED2	2836.0041
CITED4	173.0987	CITED4	1029.1509
CIT	366.1329	CIT	175.0335
CIZ1	894.1813	CIZ1	1480.4316
CKAP2L	521.2411	CKAP2L	27.6824
CKAP2	960.7951	CKAP2	510.971
CKAP4	2904.7519	CKAP4	1620.8621
CKAP5	4550.6484	CKAP5	1910.3739
CKB	3385.1495	CKB	170.9965
CKLF	468.728	CKLF	408.8921
removed	removed	CKMT1A	145.9093
removed	removed	CKMT1B	137.8353
CKMT2	9.2384	CKMT2	47.5791
CKS1B	1762.106	CKS1B	712.2451
CKS2	842.6406	CKS2	330.1703
CLASP1	2038.2859	CLASP1	1487.3522
CLASP2	855.2827	CLASP2	1182.8459
CLCA2	13.6145	CLCA2	75.2615
removed	removed	CLCA4	75.8382
CLCC1	812.6839	CLCC1	827.4038
CLCF1	123.503	CLCF1	109.2878
CLCN1	9.2384	CLCN1	9.5158
CLCN2	192.548	CLCN2	37.1982
CLCN3	2167.6237	CLCN3	1212.5468
CLCN4	18.9631	CLCN4	354.9691
CLCN5	183.3096	CLCN5	252.0252
CLCN6	311.6749	CLCN6	774.5305
CLCN7	902.4472	CLCN7	748.5782
CLCNKA	13.6145	removed	removed
removed	removed	CLDN10	12.0361
CLDN11	104.0537	CLDN11	1783.4962
CLDN12	928.7038	CLDN12	1285.7898
CLDN14	11.1833	removed	removed
CLDN15	70.0175	CLDN15	192.0466
removed	removed	CLDN19	118.5153
CLDN1	468.728	CLDN1	922.7466
CLDN23	98.7052	CLDN23	192.9117
removed	removed	CLDN2	5.4788
CLDN3	750.7427	CLDN3	493.0927
CLDN4	3359.8654	CLDN4	3340.9196
CLDN5	23.8254	CLDN5	786.6415
CLDN7	1415.9085	CLDN7	631.7931
CLDN8	12.1558	CLDN8	974.3628
CLDN9	14.1007	removed	removed
