gene_id	TCGA-E9-A1RH-01A-21R-A169-07	gene_id	TCGA-E9-A1RH-11A-34R-A169-07
ACO2	2446.3532	ACO2	5067.1231
ACOT11	102.6342	ACOT11	16.6583
ACOT13	831.2648	ACOT13	883.0318
ACOT1	646.4198	ACOT1	2009.2127
ACOT2	620.0936	ACOT2	1450.5863
ACOT4	636.2699	ACOT4	206.8677
ACOT6	72.9522	ACOT6	13.8191
ACOT7	271.8262	ACOT7	182.5796
ACOT8	285.1542	ACOT8	214.0452
ACOT9	275.3152	ACOT9	620.1843
ACOX1	9580.5123	ACOX1	4293.5511
ACOX2	27.9121	ACOX2	560.3015
ACOX3	575.3707	ACOX3	420.8543
ACP1	2537.4673	ACP1	1130.2345
ACP2	503.0529	ACP2	886.9347
ACP5	641.9792	ACP5	444.3049
ACP6	189.0413	ACP6	245.8124
ACPL2	1663.9442	ACPL2	337.1022
ACPP	458.33	ACPP	10.0503
removed	removed	ACRBP	28.057
ACRC	8.8811	ACRC	30.9883
ACSBG1	13.3217	ACSBG1	16.3317
ACSF2	2455.634	ACSF2	1488.6935
ACSF3	263.5794	ACSF3	298.995
ACSL1	11715.8037	ACSL1	54802.7638
ACSL3	843.3907	ACSL3	2411.6415
ACSL4	1088.5735	ACSL4	3401.5913
ACSL5	561.4146	ACSL5	996.2312
ACSM1	86.2739	ACSM1	17.1692
ACSM3	163.9584	ACSM3	29.309
ACSM5	5.7093	ACSM5	747.0687
ACSS1	273.7293	ACSS1	451.4238
ACSS2	1366.7433	ACSS2	6427.9732
ACSS3	169.0588	ACSS3	2820.3518
ACTA1	972.4843	ACTA1	62.8141
ACTA2	2871.9879	ACTA2	10482.8266
ACTB	205622.3931	ACTB	58129.397
ACTG1	120207.438	ACTG1	32668.3417
ACTG2	46.9431	ACTG2	4092.5461
ACTL6A	3526.128	ACTL6A	572.4456
ACTN1	14907.6203	ACTN1	7119.3467
ACTN2	58.9961	ACTN2	6.7002
ACTN4	25793.8086	ACTN4	7102.5419
ACTR10	1012.7666	ACTR10	1255.4439
ACTR1A	1799.0643	ACTR1A	2938.4422
ACTR1B	1514.868	ACTR1B	1216.0804
ACTR2	16693.6801	ACTR2	6445.5611
ACTR3B	159.5433	ACTR3B	116.4154
ACTR3C	101.4987	ACTR3C	25.9631
ACTR3	10608.5164	ACTR3	3038.526
ACTR5	319.7209	ACTR5	143.2161
ACTR6	516.3746	ACTR6	538.9447
ACTR8	716.5173	ACTR8	482.8308
ACVR1B	1765.1257	ACVR1B	772.6131
ACVR1C	32.3527	ACVR1C	8261.7253
ACVR1	1943.3828	ACVR1	1536.0134
ACVR2A	318.135	ACVR2A	676.7169
ACVR2B	163.6666	ACVR2B	409.129
ACVRL1	185.8695	ACVRL1	1416.6667
ACY1	714.297	ACY1	877.1859
ACY3	9.5155	ACY3	5.8626
ACYP1	68.8288	ACYP1	44.8074
ACYP2	136.7061	ACYP2	252.0938
ADAL	238.5219	ADAL	306.5327
ADAM10	2589.1682	ADAM10	1275.9631
ADAM11	13.0045	ADAM11	7.1189
ADAM12	2273.5707	ADAM12	653.2663
ADAM15	2419.4782	ADAM15	2886.0972
ADAM17	2793.4343	ADAM17	573.7018
ADAM19	341.6065	ADAM19	95.8961
removed	removed	ADAM21	8.3752
ADAM22	13.0045	ADAM22	94.6399
removed	removed	ADAM23	34.3384
ADAM28	56.7758	ADAM28	38.1072
removed	removed	ADAM32	39.3635
ADAM33	14.5904	ADAM33	999.7781
ADAM6	14498.4315	ADAM6	21360.6868
ADAM8	373.3249	ADAM8	26.3819
ADAM9	6376.0209	ADAM9	2355.9464
ADAMDEC1	126.5562	ADAMDEC1	5.8626
ADAMTS10	20.6169	ADAMTS10	184.2546
ADAMTS12	690.5083	ADAMTS12	337.9397
ADAMTS13	21.5685	ADAMTS13	28.4757
ADAMTS14	42.5026	removed	removed
removed	removed	ADAMTS15	167.9229
ADAMTS16	7.6124	ADAMTS16	244.9749
ADAMTS17	6.978	ADAMTS17	23.4506
removed	removed	ADAMTS18	114.3216
ADAMTS1	165.5697	ADAMTS1	1942.6298
ADAMTS2	700.0238	ADAMTS2	871.0218
ADAMTS3	134.4858	ADAMTS3	482.4121
ADAMTS4	292.4431	ADAMTS4	69.5142
ADAMTS5	177.9399	ADAMTS5	3060.3015
ADAMTS6	25.3747	ADAMTS6	43.1323
ADAMTS7	154.7855	ADAMTS7	150.7538
removed	removed	ADAMTS8	20.938
ADAMTS9	164.6182	ADAMTS9	731.1558
ADAMTSL1	21.5685	ADAMTSL1	623.5343
ADAMTSL2	78.3443	ADAMTSL2	146.1474
ADAMTSL3	6.3437	ADAMTSL3	648.2412
ADAMTSL4	106.5736	ADAMTSL4	1741.6248
ADAMTSL5	75.8068	ADAMTSL5	18.4255
ADAP1	199.3656	ADAP1	86.5327
