gene_id	TCGA-E9-A1RH-01A-21R-A169-07	gene_id	TCGA-E9-A1RH-11A-34R-A169-07
C6orf162	81.4971	C6orf162	126.2982
removed	removed	C6orf163	8.794
removed	removed	C6orf164	13.5678
C6orf165	135.8655	removed	removed
C6orf167	516.0574	C6orf167	170.0168
C6orf168	123.3843	C6orf168	49.4137
C6orf170	151.2965	C6orf170	63.2328
C6orf174	141.4004	C6orf174	113.0611
C6orf182	458.6472	C6orf182	167.5042
C6orf186	13.0045	C6orf186	13.4003
C6orf192	34.573	C6orf192	440.9548
C6orf1	160.1776	C6orf1	201.4238
removed	removed	C6orf201	13.4129
C6orf203	172.2306	C6orf203	316.5829
C6orf204	24.7403	C6orf204	54.0201
C6orf211	606.1375	C6orf211	1098.8275
removed	removed	C6orf217	5.0251
C6orf225	130.0452	C6orf225	234.9246
C6orf226	109.4283	C6orf226	63.2328
removed	removed	C6orf26	10.0544
C6orf27	59.6305	C6orf27	19.263
C6orf35	242.9625	C6orf35	543.5511
C6orf47	479.8985	C6orf47	407.0352
C6orf48	913.4882	C6orf48	1716.4992
C6orf52	32.3527	removed	removed
C6orf57	156.3714	C6orf57	163.7353
removed	removed	C6orf59	8.794
C6orf62	5932.0371	C6orf62	3639.5812
C6orf64	467.2112	C6orf64	444.7236
C6orf70	191.5788	C6orf70	340.0335
C6orf72	818.3332	C6orf72	1413.7353
C6orf81	9.8327	C6orf81	5.0251
C6orf89	2279.28	C6orf89	3984.0871
C6orf97	32.0355	C6orf97	607.6214
removed	removed	C6	923.7856
C7orf10	78.6615	C7orf10	56.1139
C7orf11	512.8856	C7orf11	276.8007
C7orf13	183.332	C7orf13	99.665
C7orf23	265.14	C7orf23	363.3668
C7orf25	332.1386	C7orf25	311.139
C7orf26	286.7338	C7orf26	434.6734
C7orf27	459.5988	C7orf27	621.4405
C7orf28A	1186.266	C7orf28A	854.6901
C7orf28B	800.8881	C7orf28B	457.2864
C7orf29	120.5297	C7orf29	115.9966
C7orf30	313.6944	C7orf30	347.1524
C7orf31	43.7713	C7orf31	156.1977
C7orf36	215.3675	C7orf36	164.1541
C7orf40	231.5439	C7orf40	138.6097
C7orf41	223.2971	C7orf41	10962.7303
C7orf42	2434.3827	C7orf42	3127.7219
C7orf43	160.1776	C7orf43	110.134
C7orf44	611.5296	C7orf44	667.0854
C7orf46	15.8592	C7orf46	77.0519
C7orf47	68.1944	C7orf47	63.2328
C7orf49	1024.0869	C7orf49	481.9933
C7orf50	381.8888	C7orf50	508.794
removed	removed	C7orf51	16.7504
C7orf53	6.6609	C7orf53	16.7504
C7orf55	165.7981	C7orf55	288.8903
C7orf58	129.728	C7orf58	4520.1005
C7orf59	446.2771	C7orf59	860.9715
C7orf60	344.4612	C7orf60	281.8258
C7orf63	10.7842	C7orf63	146.9849
C7orf64	219.1737	C7orf64	305.2764
C7orf68	4530.6478	C7orf68	553.1826
C7orf70	1122.5121	C7orf70	352.1776
removed	removed	C7	1811.9765
C8B	9.1983	removed	removed
removed	removed	C8orf22	5.0251
C8orf30A	391.4043	C8orf30A	275.5444
C8orf31	86.5911	C8orf31	15.0754
C8orf33	1552.93	C8orf33	1403.6851
removed	removed	C8orf34	41.876
C8orf37	287.3682	C8orf37	82.4958
C8orf38	434.2241	C8orf38	167.0854
C8orf39	15.542	C8orf39	6.2814
C8orf40	333.0426	C8orf40	847.9899
C8orf41	102.1489	C8orf41	237.7973
C8orf42	312.7428	C8orf42	283.5008
C8orf44	32.7111	C8orf44	46.7379
C8orf45	88.177	C8orf45	49.4137
C8orf46	12.053	C8orf46	65.3266
C8orf47	22.8372	C8orf47	5.4439
C8orf48	7.6124	C8orf48	33.0821
C8orf4	24.1059	C8orf4	221.1055
C8orf51	87.8598	C8orf51	14.2379
C8orf55	979.1452	C8orf55	521.7755
C8orf58	262.6279	C8orf58	134.0034
C8orf59	656.6775	C8orf59	550.5235
C8orf73	73.5866	C8orf73	36.4322
C8orf76	454.5238	C8orf76	261.3065
removed	removed	C8orf77	5.8626
removed	removed	C8orf79	164.5729
C8orf80	8.8811	C8orf80	14.6566
C8orf83	1345.1748	C8orf83	777.6382
C8orf84	129.728	C8orf84	168.7605
C8orf85	576.3223	C8orf85	39.3635
C9orf100	174.6602	C9orf100	29.041
C9orf102	133.0109	C9orf102	188.5804
C9orf103	65.9741	C9orf103	190.536
C9orf109	23.1544	C9orf109	25.1256
C9orf110	176.0368	C9orf110	180.4858
C9orf114	348.3943	C9orf114	272.8224
C9orf116	61.5336	C9orf116	33.5008
C9orf117	12.053	removed	removed
C9orf119	538.5774	C9orf119	259.2127
C9orf123	422.4883	C9orf123	727.8057
removed	removed	C9orf125	211.474
C9orf129	81.8238	C9orf129	78.2538
C9orf130	46.8607	C9orf130	173.4464
C9orf140	737.1342	C9orf140	25.5444
C9orf142	384.1091	C9orf142	119.7655
C9orf150	377.7654	C9orf150	581.2395
C9orf152	487.5109	C9orf152	83.3333
C9orf156	172.5478	C9orf156	272.6131
C9orf163	7.9296	removed	removed
C9orf167	74.2209	C9orf167	100.0838
C9orf16	215.3675	C9orf16	364.3216
C9orf172	10.7842	removed	removed
C9orf21	216.0019	C9orf21	266.3317
C9orf23	270.2403	C9orf23	301.5075
removed	removed	C9orf24	23.8693
C9orf25	560.7803	C9orf25	367.2529
C9orf30	583.2115	C9orf30	167.3492
C9orf37	57.4102	C9orf37	108.8777
C9orf3	215.1487	C9orf3	297.1106
C9orf40	118.3094	C9orf40	154.5226
C9orf41	310.8397	C9orf41	150.7538
C9orf45	28.5465	C9orf45	128.9782
C9orf46	187.4554	C9orf46	289.7822
C9orf47	22.2377	C9orf47	8.0151
C9orf5	1901.5146	C9orf5	4811.139
C9orf64	586.4721	C9orf64	421.6918
C9orf66	28.8637	C9orf66	29.732
removed	removed	C9orf68	21.7755
C9orf69	750.7731	C9orf69	487.0184
C9orf6	319.0865	C9orf6	406.1977
C9orf72	96.1066	C9orf72	287.2697
C9orf78	1039.0929	C9orf78	1147.4037
C9orf7	421.2196	C9orf7	167.5042
C9orf80	274.6808	C9orf80	204.3551
C9orf82	390.77	C9orf82	302.7638
C9orf85	110.0626	C9orf85	178.392
C9orf86	2011.8944	C9orf86	1118.928
C9orf89	150.9793	C9orf89	122.6968
C9orf91	759.6543	C9orf91	846.3149
C9orf93	130.9967	C9orf93	52.3451
C9orf95	251.8436	C9orf95	731.1558
C9orf96	8.2468	C9orf96	12.5628
C9orf98	45.9916	C9orf98	27.2194
C9orf9	91.3488	C9orf9	159.5477
CA11	52.9696	CA11	105.1089
CA12	2678.2967	CA12	1183.8358
CA13	9.8327	CA13	30.1968
CA2	209.6582	CA2	209.799
removed	removed	CA3	713.103
removed	removed	CA4	798.5762
CA5BP	510.0309	CA5BP	148.2412
CA5B	326.0645	CA5B	478.1491
removed	removed	CA8	107.2027
CA9	839.6543	removed	removed
CAB39L	118.9438	CAB39L	1682.9983
CAB39	4817.6988	CAB39	2777.6382
CABC1	431.6866	CABC1	6985.1549
CABIN1	1336.9281	CABIN1	1009.2127
CABLES1	167.79	CABLES1	1729.062
CABLES2	433.9069	CABLES2	87.5209
removed	removed	CABP1	43.9698
CABP4	19.031	CABP4	7.1189
CABYR	121.1641	CABYR	31.8258
CACHD1	65.657	CACHD1	1334.1709
removed	removed	CACNA1A	17.5879
CACNA1B	160.812	removed	removed
CACNA1C	108.4767	CACNA1C	228.6432
CACNA1D	86.2739	CACNA1D	68.6767
CACNA1E	5.3921	removed	removed
CACNA1G	33.9386	CACNA1G	24.2881
CACNA1H	30.7668	CACNA1H	156.6164
CACNA1I	163.9838	removed	removed
CACNA2D1	44.0885	CACNA2D1	391.9598
CACNA2D2	47.8947	CACNA2D2	66.1642
CACNA2D3	6.3437	CACNA2D3	15.9129
CACNA2D4	16.4935	CACNA2D4	137.3534
CACNB1	269.6059	CACNB1	47.3199
removed	removed	CACNB2	70.3518
CACNB3	261.9935	CACNB3	163.7353
CACNB4	541.1149	CACNB4	76.6332
CACNG1	7.6124	removed	removed
CACNG4	3754.8172	CACNG4	130.2345
CACYBP	1624.9306	CACYBP	1376.4657
CADM1	535.4056	CADM1	416.6667
removed	removed	CADM2	43.5511
removed	removed	CADM3	527.701
CADM4	120.5297	CADM4	205.1926
CADPS2	1195.4643	CADPS2	835.0084
CAD	3146.4594	CAD	911.6415
CAGE1	5.0749	removed	removed
CALB2	136.3889	CALB2	3635.6784
CALCOCO1	539.8462	CALCOCO1	3810.3015
CALCOCO2	3242.566	CALCOCO2	4863.9028
CALCRL	176.6712	CALCRL	3711.474
removed	removed	CALCR	19.6817
CALD1	4569.027	CALD1	13457.7052
CALHM2	132.8998	CALHM2	932.5796
CALM1	6647.8471	CALM1	11889.866
CALM2	17440.9642	CALM2	10382.3283
CALM3	2754.4207	CALM3	4129.397
CALML3	420.9024	CALML3	63.2328
CALML4	151.9309	CALML4	289.7822
CALML5	88.8114	CALML5	7.1189
removed	removed	CALN1	22.1943
CALR	30719.8478	CALR	9378.5595
CALU	11624.4548	CALU	4304.4389
CAMK1D	243.914	CAMK1D	144.0536
removed	removed	CAMK1G	9.2127
CAMK1	112.5272	CAMK1	1099.7864
CAMK2D	851.6375	CAMK2D	1306.9514
CAMK2G	4545.5555	CAMK2G	912.0603
CAMK2N1	2574.5777	CAMK2N1	702.2613
CAMK2N2	177.6227	removed	removed
CAMK4	5.3921	CAMK4	5.0251
CAMKK1	233.7642	CAMKK1	207.7052
CAMKK2	1109.1904	CAMKK2	2149.4975
CAMLG	569.9786	CAMLG	1108.459
CAMP	10.4671	removed	removed
CAMSAP1L1	2419.7922	CAMSAP1L1	1660.3853
CAMSAP1	1155.4992	CAMSAP1	919.1792
CAMTA1	316.2319	CAMTA1	407.0352
CAMTA2	425.0258	CAMTA2	1344.2211
CAND1	4734.2796	CAND1	2597.1524
CAND2	6.0265	CAND2	158.2915
CANT1	4498.6123	CANT1	944.7236
CANX	24534.7712	CANX	16381.072
CAP1	5927.2064	CAP1	6508.3752
CAP2	418.9993	CAP2	1056.9514
CAPG	981.6827	CAPG	827.4707
CAPN10	37.7448	CAPN10	98.5176
removed	removed	CAPN11	71.608
CAPN12	138.4728	CAPN12	43.6055
CAPN13	599.1595	CAPN13	48.995
CAPN1	4576.6394	CAPN1	2147.8224
CAPN2	3797.637	CAPN2	6816.5829
removed	removed	CAPN3	132.9816
CAPN5	227.1033	CAPN5	458.9615
removed	removed	CAPN6	427.5544
CAPN7	1907.541	CAPN7	1173.3668
removed	removed	CAPN8	42.2948
CAPN9	112.2829	removed	removed
CAPNS1	9642.0585	CAPNS1	6462.7303
CAPRIN1	7637.4594	CAPRIN1	6267.5879
CAPRIN2	244.2312	CAPRIN2	484.9246
CAPS2	10.4671	CAPS2	72.4456
CAPS	116.0891	CAPS	51.5075
CAPZA1	8749.5044	CAPZA1	2585.8459
CAPZA2	3389.1047	CAPZA2	3551.0888
CAPZB	3731.3457	CAPZB	3949.7487
CARD10	291.1744	CARD10	404.1039
CARD11	13.6389	CARD11	20.938
CARD14	388.2325	CARD14	18.8442
CARD16	83.7364	CARD16	171.273
CARD6	180.4774	CARD6	616.8342
CARD8	267.7028	CARD8	1153.2663
CARD9	94.5207	CARD9	17.1692
CARHSP1	2011.777	CARHSP1	1738.505
CARKD	740.9404	CARKD	862.2278
CARM1	654.9837	CARM1	731.1558
CARNS1	12.6873	CARNS1	25.9631
CARS2	330.3275	CARS2	694.4724
CARS	717.7829	CARS	1137.3534
CASC1	12.053	CASC1	8.794
CASC2	31.4012	CASC2	68.258
CASC3	2530.1721	CASC3	3288.9447
CASC4	2781.3813	CASC4	3197.2362
CASC5	490.3656	CASC5	11.3065
CASD1	425.6601	CASD1	733.6683
CASKIN2	967.2572	CASKIN2	979.5771
CASK	955.0393	CASK	838.7772
CASP10	1297.9145	CASP10	513.4003
removed	removed	CASP12	5.0251
CASP14	24182.3805	CASP14	22.6131
CASP1	257.5529	CASP1	603.8526
CASP2	1359.4481	CASP2	646.9849
CASP3	3129.3315	CASP3	430.067
CASP4	716.8345	CASP4	767.1692
CASP6	386.3294	CASP6	207.2864
CASP7	514.7887	CASP7	444.7236
CASP8AP2	641.0277	CASP8AP2	541.4573
CASP8	1074.9346	CASP8	523.8693
CASP9	180.4774	CASP9	198.9112
removed	removed	CASQ1	6.2814
CASQ2	6.3437	CASQ2	275.9631
CASS4	16.1764	CASS4	18.0067
CAST	2515.7529	CAST	8207.5754
CASZ1	461.819	CASZ1	237.8559
CATSPER1	8.2468	removed	removed
CATSPER2P1	37.4879	CATSPER2P1	42.8601
CATSPER2	12.3702	CATSPER2	27.6298
removed	removed	CATSPER3	5.0251
removed	removed	CATSPERB	5.0251
CATSPERG	44.4057	CATSPERG	13.8191
CAT	1067.6394	CAT	14489.1122
CAV1	1770.835	CAV1	32972.3618
CAV2	1270.9539	CAV2	9399.9162
CBARA1	2590.7541	CBARA1	1471.1055
CBFA2T2	867.4966	CBFA2T2	564.4891
CBFA2T3	157.0058	CBFA2T3	234.0871
CBFB	1354.6903	CBFB	668.3417
CBLB	1344.8577	CBLB	662.4791
removed	removed	CBLC	24.2881
CBLL1	1101.2608	CBLL1	743.2998
CBLN1	34.2558	CBLN1	19.263
CBLN2	12.6873	removed	removed
CBLN3	188.0898	CBLN3	141.1223
removed	removed	CBLN4	57.7889
CBL	1379.1135	CBL	1347.1524
CBR1	2513.5802	CBR1	835.0838
CBR3	739.3545	CBR3	406.6164
CBR4	490.3656	CBR4	568.6767
CBS	1500.5947	CBS	135.2596
CBWD1	714.9314	CBWD1	454.3551
CBWD2	419.9508	CBWD2	662.0603
CBWD3	590.2783	CBWD3	258.3501
CBWD6	110.3798	CBWD6	49.8325
CBX1	2990.088	CBX1	1306.1139
CBX2	1278.5663	CBX2	64.9079
CBX3	8363.175	CBX3	2400.7538
CBX4	667.6711	CBX4	119.3467
CBX5	4653.3978	CBX5	3275.1256
CBX6	312.7428	CBX6	649.4975
CBX7	321.624	CBX7	2073.7018
CBX8	175.4024	CBX8	25.5444
CBY1	645.4524	CBY1	738.2119
CC2D1A	1620.1729	CC2D1A	449.7487
CC2D1B	488.1453	CC2D1B	659.5477
CC2D2A	93.5691	CC2D2A	698.0737
CCAR1	1942.7484	CCAR1	913.7353
CCBE1	12.3702	CCBE1	127.7219
CCBL1	65.657	CCBL1	93.3836
CCBL2	728.1516	CCBL2	664.5184
CCBP2	2249.4648	CCBP2	122.2781
CCDC101	379.3514	CCDC101	263.4003
CCDC102A	50.4322	CCDC102A	102.1776
CCDC102B	27.2778	CCDC102B	86.6834
CCDC103	144.0013	CCDC103	54.4389
CCDC104	833.2408	CCDC104	603.8526
CCDC106	63.1195	CCDC106	235.7621
CCDC107	262.0347	CCDC107	814.3425
CCDC109A	2588.5338	CCDC109A	422.9481
CCDC109B	300.3727	CCDC109B	309.0452
CCDC110	9.1983	CCDC110	16.7504
CCDC111	351.7215	CCDC111	271.139
CCDC112	127.8249	CCDC112	183.4171
CCDC113	442.4709	CCDC113	187.1859
CCDC114	11.4186	removed	removed
CCDC115	1070.8112	CCDC115	943.8861
CCDC117	1269.0508	CCDC117	970.6868
CCDC11	29.4981	CCDC11	10.0503
CCDC120	136.7061	CCDC120	103.0151
CCDC121	183.0148	CCDC121	186.3484
CCDC122	85.0052	CCDC122	62.3953
CCDC123	288.3197	CCDC123	275.1256
CCDC124	964.8719	CCDC124	558.6265
CCDC125	138.6092	CCDC125	270.1005
CCDC126	98.0097	CCDC126	230.3183
CCDC127	536.9915	CCDC127	426.7169
removed	removed	CCDC129	5.4439
CCDC12	187.7726	CCDC12	278.057
CCDC130	240.7422	CCDC130	203.5176
CCDC132	494.4889	CCDC132	572.8643
CCDC134	128.1421	CCDC134	24.2881
CCDC136	65.3398	CCDC136	84.5896
CCDC137	599.4766	CCDC137	207.7052
CCDC138	130.9967	CCDC138	17.5879
CCDC13	5.3921	CCDC13	6.2814
removed	removed	CCDC141	43.1323
CCDC142	177.3055	CCDC142	109.7152
CCDC144A	36.0891	CCDC144A	33.8442
CCDC144B	42.3916	CCDC144B	37.8183
CCDC144C	15.542	removed	removed
CCDC146	15.542	CCDC146	167.5042
removed	removed	CCDC147	10.0503
removed	removed	CCDC148	7.1189
CCDC149	500.5154	CCDC149	425.8794
CCDC14	657.204	CCDC14	641.9598
CCDC150	12.3702	CCDC150	7.5377
CCDC151	19.9826	removed	removed
CCDC152	549.9326	CCDC152	357.5293
CCDC153	22.8372	CCDC153	6.2814
CCDC157	8.2499	CCDC157	7.9648
removed	removed	CCDC158	36.0134
CCDC159	73.5866	CCDC159	114.3216
CCDC15	185.2351	CCDC15	74.9581
removed	removed	CCDC160	20.1005
CCDC163P	13.9561	removed	removed
removed	removed	CCDC17	13.8191
CCDC18	120.8627	CCDC18	81.6583
CCDC19	60.8992	CCDC19	5.8626
CCDC21	320.0381	CCDC21	115.5779
CCDC22	272.0101	CCDC22	328.5972
CCDC23	119.261	CCDC23	430.067
CCDC24	71.011	CCDC24	53.8484
CCDC25	746.9669	CCDC25	1305.6951
CCDC28A	217.905	CCDC28A	479.062
CCDC28B	18.7138	CCDC28B	30.9883
CCDC30	20.2997	CCDC30	43.5511
CCDC34	233.447	CCDC34	176.2982
CCDC36	21.5685	CCDC36	64.9079
CCDC39	8.2468	CCDC39	25.5444
CCDC3	223.9315	CCDC3	3427.5544
CCDC40	84.3708	CCDC40	58.2077
CCDC41	112.6001	CCDC41	120.1843
CCDC43	988.9779	CCDC43	363.4841
CCDC45	471.9689	CCDC45	367.2529
CCDC46	63.7539	CCDC46	530.9883
CCDC47	9070.8112	CCDC47	2778.4757
CCDC48	19.9826	CCDC48	54.8576
CCDC50	745.381	CCDC50	5664.5729
CCDC51	182.0633	CCDC51	244.5561
CCDC52	1224.328	CCDC52	230.737
CCDC53	451.0348	CCDC53	513.8191
CCDC55	1098.7233	CCDC55	860.5528
CCDC56	772.5732	CCDC56	745.9171
CCDC57	150.0278	CCDC57	188.4422
CCDC58	535.4056	CCDC58	133.5846
CCDC59	604.8688	CCDC59	470.268
CCDC61	57.093	CCDC61	88.3585
CCDC64B	130.9967	CCDC64B	43.1323
CCDC64	454.5238	CCDC64	15.4941
CCDC66	137.0581	CCDC66	253.2789
removed	removed	CCDC68	103.4338
CCDC69	137.0232	CCDC69	7652.4288
CCDC6	12018.7138	CCDC6	2004.6064
CCDC71	677.1866	CCDC71	284.7571
CCDC72	584.8862	CCDC72	1102.5963
CCDC73	9.2205	CCDC73	42.4749
CCDC74A	36.4761	CCDC74A	53.1826
CCDC74B	18.0795	CCDC74B	25.9631
CCDC75	196.3365	CCDC75	404.1039
CCDC76	326.9749	CCDC76	258.6977
CCDC77	123.0672	CCDC77	124.7906
CCDC78	35.5245	removed	removed
CCDC7	41.551	CCDC7	32.2446
CCDC80	4580.4456	CCDC80	24624.3719
CCDC82	306.3992	CCDC82	951.4238
CCDC84	27.595	CCDC84	74.1206
CCDC85A	12.053	CCDC85A	346.6625
CCDC85B	61.2164	CCDC85B	182.9983
CCDC85C	968.583	CCDC85C	209.1918
CCDC86	645.7791	CCDC86	414.1332
CCDC87	22.2028	removed	removed
CCDC88A	406.9463	CCDC88A	995.3936
CCDC88B	39.0136	CCDC88B	59.464
CCDC88C	518.9121	CCDC88C	379.8157
CCDC89	13.0045	CCDC89	31.407
CCDC8	154.4683	CCDC8	305.2764
CCDC90A	382.5232	CCDC90A	453.9363
CCDC90B	635.6324	CCDC90B	834.933
CCDC91	548.4101	CCDC91	603.0151
CCDC92	346.0471	CCDC92	1528.8945
CCDC93	1022.9165	CCDC93	1164.9916
CCDC94	242.0109	CCDC94	219.0117
CCDC96	44.4057	CCDC96	27.2194
CCDC97	498.6123	CCDC97	710.2178
CCDC99	576.6394	CCDC99	113.9028
CCDC9	214.416	CCDC9	171.6918
CCHCR1	761.2402	CCHCR1	239.531
CCL11	13.6389	removed	removed
CCL13	24.7403	CCL13	328.727
removed	removed	CCL14	3722.6801
removed	removed	CCL16	15.0754
CCL18	33.9386	CCL18	103.4338
removed	removed	CCL19	140.2848
CCL20	8.2468	removed	removed
CCL21	9.5155	CCL21	724.8744
CCL22	19.031	CCL22	14.6566
removed	removed	CCL23	22.1943
removed	removed	CCL26	5.8626
CCL28	83.1021	CCL28	245.3936
CCL2	358.7344	CCL2	381.072
CCL3L1	17.7686	removed	removed
CCL3	88.4942	CCL3	15.4941
CCL4L2	29.1809	CCL4L2	10.8878
CCL4	49.7978	CCL4	27.6382
CCL5	131.9483	CCL5	197.6549
CCL7	23.1544	removed	removed
CCL8	53.2868	CCL8	49.8325
CCM2	663.5477	CCM2	985.7621
CCNA1	13.0045	removed	removed
CCNA2	2067.9121	CCNA2	56.495
CCNB1IP1	440.5678	CCNB1IP1	469.8492
CCNB1	1184.68	CCNB1	95.8961
CCNB2	754.8965	CCNB2	20.938
CCNB3	142.7325	CCNB3	26.3819
CCNC	2062.0094	CCNC	1294.3886
CCND1	3109.6662	CCND1	6785.2931
CCND2	642.6136	CCND2	1652.8476
CCND3	1453.0172	CCND3	1322.0268
CCNDBP1	736.8171	CCNDBP1	1650.7538
CCNE1	239.7907	CCNE1	28.8945
CCNE2	986.1867	CCNE2	37.7471
CCNF	1710.5701	CCNF	170.4355
CCNG1	793.5929	CCNG1	3786.8509
CCNG2	3670.4464	CCNG2	3141.1223
CCNH	365.6015	CCNH	836.7379
CCNI	5097.7718	CCNI	7408.2915
CCNJL	312.7428	CCNJL	40.201
CCNJ	154.1511	CCNJ	167.0854
CCNK	2063.3732	CCNK	698.6809
CCNL1	880.184	CCNL1	817.4204
CCNL2	439.6162	CCNL2	1497.9062
CCNO	44.0885	CCNO	7.5377
CCNT1	290.2228	CCNT1	244.9749
CCNT2	1151.3758	CCNT2	828.727
CCNYL1	1510.1102	CCNYL1	602.1776
CCNY	3439.2197	CCNY	2270.5193
CCPG1	1445.1955	CCPG1	3446.5745
removed	removed	CCR10	25.1256
CCR1	387.5981	CCR1	243.7186
CCR2	546.507	CCR2	57.7889
CCR4	8.2468	removed	removed
CCR5	198.874	CCR5	66.1642
CCR6	22.2536	CCR6	9.2965
CCR7	9.1983	CCR7	17.1692
CCRL1	91.0316	CCRL1	502.9313
CCRL2	78.3443	CCRL2	73.2831
CCRN4L	344.4612	CCRN4L	97.1524
CCS	277.8527	CCS	309.464
CCT2	3836.3334	CCT2	1793.1323
CCT3	6627.2302	CCT3	3342.5461
CCT4	9378.7963	CCT4	3099.665
CCT5	10746.8083	CCT5	3205.1926
CCT6A	7744.9845	CCT6A	2878.5595
CCT6B	118.9438	CCT6B	42.2948
CCT6P1	65.0226	CCT6P1	51.9263
CCT7	7868.3689	CCT7	3476.9682
CCT8	7345.6506	CCT8	2816.5829
CD101	10.1499	CD101	11.7253
CD109	10800.314	CD109	1948.0737
CD14	411.3869	CD14	2092.1273
CD151	1358.4966	CD151	8591.7085
removed	removed	CD160	14.6566
CD163L1	105.3049	CD163L1	314.0704
CD163	913.171	CD163	2142.7973
CD164	14184.7593	CD164	17580.402
CD177	51.0665	CD177	25.9631
CD180	113.8688	CD180	75.3769
CD1A	53.9212	removed	removed
CD1C	11.4186	CD1C	41.0385
CD1D	5.3921	CD1D	29.3132
CD1E	9.8327	CD1E	5.4439
removed	removed	CD200R1	76.6332
CD200	57.093	CD200	453.0988
CD207	46.3088	CD207	20.1005
CD209	24.4231	CD209	956.0302
CD226	17.4451	CD226	12.9816
CD22	5.7093	CD22	33.9196
removed	removed	CD244	15.9129
CD247	8.2468	CD247	41.876
CD248	565.8552	CD248	4175.4606
CD24	34507.652	CD24	2354.2714
CD274	19.3482	CD274	16.3317
CD276	1827.2936	CD276	1561.139
CD27	25.1019	CD27	34.8576
CD28	18.7138	CD28	48.5762
CD2AP	1651.574	CD2AP	1152.0101
CD2BP2	1068.5909	CD2BP2	988.6935
CD2	47.8947	CD2	68.6767
CD300A	268.3372	CD300A	79.9832
CD300C	31.4012	CD300C	27.2194
removed	removed	CD300LB	13.8191
CD300LF	12.6873	CD300LF	10.0503
removed	removed	CD300LG	2964.8241
CD302	211.5613	CD302	5120.6868
CD320	45.6744	CD320	659.9665
CD33	52.0181	CD33	146.5662
CD34	198.874	CD34	9220.6868
CD36	286.4166	CD36	79672.1106
CD37	88.4942	CD37	112.2278
CD38	21.5685	CD38	20.5193
CD3D	7.2952	CD3D	19.263
CD3EAP	270.2403	CD3EAP	210.6365
CD3E	28.8637	CD3E	74.1206
CD3G	5.3921	CD3G	12.1441
removed	removed	CD40LG	12.9816
CD40	106.8908	CD40	521.3568
CD44	7357.3864	CD44	7005.4439
CD46	4389.184	CD46	6440.9548
CD47	13660.4552	CD47	2769.6817
CD48	52.0181	CD48	96.7337
CD4	577.591	CD4	1422.5293
CD52	76.124	CD52	104.6901
CD53	417.7306	CD53	505.8626
CD55	1541.1942	CD55	1695.9799
CD58	167.4728	CD58	253.3501
CD59	4539.8462	CD59	17587.1022
CD5	15.8592	CD5	17.5879
CD63	6976.7663	CD63	14838.3585
CD68	3746.5705	CD68	3506.2814
CD69	7.6124	CD69	21.7755
CD6	17.1279	CD6	41.876
removed	removed	CD70	18.0067
CD72	31.7183	CD72	22.6131
CD74	11997.4625	CD74	24242.0436
CD79A	48.5291	CD79A	48.1575
CD79B	36.4761	CD79B	83.3333
CD7	7.2952	CD7	19.6817
CD80	14.5904	removed	removed
CD81	2973.9117	CD81	23107.6214
CD82	996.9075	CD82	595.0586
CD83	114.8204	CD83	135.2596
CD84	115.4548	CD84	99.2462
CD86	179.843	CD86	182.5796
CD8A	20.2997	CD8A	63.6516
CD8B	6.6609	CD8B	25.5444
removed	removed	CD93	4830.402
CD96	16.8107	CD96	104.6901
CD97	368.2499	CD97	1026.8007
CD99L2	593.133	CD99L2	3473.1993
CD99	2051.8595	CD99	3134.4221
CD9	6028.3879	CD9	2469.0117
CDADC1	112.6001	CDADC1	333.7521
CDAN1	278.8042	CDAN1	235.3434
CDA	7.2952	CDA	33.5008
CDC123	1238.0398	CDC123	815.5025
CDC14A	133.8514	CDC14A	198.9112
CDC14B	255.3326	CDC14B	1257.5377
CDC14C	6.0265	CDC14C	22.1943
CDC16	1185.6316	CDC16	1813.2328
removed	removed	CDC20B	5.0251
CDC20	1418.4442	CDC20	25.9631
CDC23	915.3913	CDC23	723.1993
CDC25A	104.0362	CDC25A	12.5628
CDC25B	1100.3093	CDC25B	556.5327
CDC26	76.7584	CDC26	108.0821
CDC27	2816.9059	CDC27	1881.9095
CDC34	490.9999	CDC34	495.3936
CDC37L1	423.1227	CDC37L1	885.2596
CDC37	2212.9887	CDC37	2343.8023
CDC40	988.9779	CDC40	714.8241
CDC42BPA	444.374	CDC42BPA	2770.1005
CDC42BPB	5561.1768	CDC42BPB	4640.2848
CDC42BPG	352.0736	CDC42BPG	88.7772
CDC42EP1	1692.1735	CDC42EP1	826.6332
CDC42EP2	106.2564	CDC42EP2	518.4255
CDC42EP3	761.8746	CDC42EP3	755.4439
CDC42EP4	4805.3287	CDC42EP4	2188.861
CDC42EP5	21.5685	CDC42EP5	84.5896
CDC42SE1	2340.3315	CDC42SE1	1462.8601
CDC42SE2	1147.5696	CDC42SE2	1095.8961
CDC42	5916.7394	CDC42	5690.1173
CDC45	428.832	removed	removed
CDC5L	1428.9113	CDC5L	1053.1826
CDC6	1099.3577	CDC6	48.5762
CDC73	1934.5016	CDC73	1304.4389
CDC7	629.6091	CDC7	43.9698
CDCA2	287.3682	CDCA2	7.1189
CDCA3	280.222	CDCA3	11.7044
CDCA4	529.3791	CDCA4	99.665
CDCA5	1078.4236	CDCA5	39.3635
CDCA7L	83.064	CDCA7L	263.7353
CDCA7	11.4186	CDCA7	38.1072
CDCA8	676.235	CDCA8	29.732
