gene_id	TCGA-E2-A15M-01A-11R-A12D-07	gene_id	TCGA-E2-A15M-11A-22R-A12D-07
C4orf10	166.2026	C4orf10	207.7434
C4orf12	24.3399	C4orf12	64.835
C4orf14	478.5479	C4orf14	580.7564
C4orf19	88.7851	C4orf19	87.6515
C4orf21	114.2739	C4orf21	41.3841
C4orf23	185.8498	C4orf23	238.1883
C4orf27	450.7013	C4orf27	410.6219
C4orf29	139.0264	C4orf29	101.6209
C4orf31	243.6056	C4orf31	380.2736
C4orf32	1121.6997	C4orf32	1754.2246
C4orf33	207.302	C4orf33	180.7104
C4orf34	1226.4851	C4orf34	1120.1288
removed	removed	C4orf36	8.2768
C4orf38	5.5693	C4orf38	11.0358
C4orf39	5.5693	removed	removed
C4orf3	2712.665	C4orf3	3663.8694
C4orf41	1071.5759	C4orf41	989.0792
C4orf42	273.3086	C4orf42	291.0679
C4orf43	264.4389	C4orf43	313.1394
C4orf46	310.4373	C4orf46	156.7996
removed	removed	C4orf48	7.3572
removed	removed	C4orf49	70.3529
C4orf52	304.6617	C4orf52	366.9387
C4orf7	194.9257	C4orf7	122.3129
C5AR1	330.033	C5AR1	425.7961
C5orf13	2132.4257	C5orf13	694.3327
C5orf15	2235.9736	C5orf15	1779.5149
C5orf20	58.3746	removed	removed
C5orf22	1082.302	C5orf22	492.0106
C5orf23	294.967	C5orf23	433.6131
C5orf24	1582.302	C5orf24	1503.6211
C5orf25	263.6262	C5orf25	240.0276
C5orf28	299.505	C5orf28	242.7865
C5orf30	1724.0099	C5orf30	435.4524
C5orf32	542.0792	C5orf32	1050.6955
C5orf33	1085.1898	C5orf33	779.8598
C5orf34	113.6551	C5orf34	31.7278
C5orf35	138.6139	C5orf35	120.9334
C5orf36	124.1749	C5orf36	96.103
removed	removed	C5orf38	58.3975
C5orf39	63.1188	C5orf39	50.5805
C5orf41	873.3498	C5orf41	1068.1688
C5orf42	956.2706	C5orf42	600.069
C5orf43	2053.2178	C5orf43	983.1015
C5orf44	705.2991	C5orf44	424.4074
C5orf45	152.8053	C5orf45	185.5156
C5orf46	24.1337	C5orf46	33.1073
C5orf49	66.8317	C5orf49	20.2322
C5orf4	720.0908	C5orf4	1714.6798
C5orf51	1358.0858	C5orf51	964.2488
C5orf53	354.9917	C5orf53	636.8548
C5orf54	173.4736	C5orf54	151.7416
C5orf55	37.5413	C5orf55	57.9377
C5orf56	96.4109	C5orf56	81.0116
C5orf58	11.9637	removed	removed
C5orf62	571.9884	C5orf62	811.1277
C5	86.4274	C5	160.0184
C6orf105	60.231	C6orf105	70.8127
C6orf106	2858.4983	C6orf106	3023.7958
C6orf108	124.5875	C6orf108	125.0718
C6orf114	14.8515	C6orf114	13.3349
C6orf115	1025.165	C6orf115	308.5412
C6orf120	1225.264	C6orf120	903.1291
C6orf122	14.507	C6orf122	14.4706
C6orf123	5.363	C6orf123	10.1161
C6orf124	12.7888	C6orf124	12.4152
C6orf125	515.1898	C6orf125	290.0195
C6orf129	222.9785	C6orf129	67.594
C6orf130	362.3989	C6orf130	297.5055
C6orf132	122.5248	C6orf132	142.5451
C6orf134	216.1716	C6orf134	131.5094
C6orf136	175.5363	C6orf136	154.5005
C6orf138	14.0264	C6orf138	23.9108
C6orf141	150.165	C6orf141	33.1073
removed	removed	C6orf142	8.2768
C6orf145	421.6172	C6orf145	1645.7064
C6orf147	6.4439	removed	removed
C6orf150	141.0891	C6orf150	83.6878
C6orf153	811.2624	C6orf153	431.3139
C6orf154	29.2904	C6orf154	7.3572
C6orf155	31.9719	C6orf155	72.1922
C6orf15	16.9142	C6orf15	8.2768
C6orf162	97.0668	C6orf162	135.188
C6orf163	8.6634	removed	removed
C6orf164	9.3688	C6orf164	6.8973
C6orf165	32.3309	C6orf165	23.92
C6orf167	557.3432	C6orf167	254.2821
C6orf168	86.2211	C6orf168	134.2683
C6orf170	115.9241	C6orf170	81.8485
C6orf174	72.96	C6orf174	62.3704
removed	removed	C6orf176	12.3554
C6orf182	237.6238	C6orf182	148.063
C6orf186	7.2195	C6orf186	12.875
C6orf192	531.3531	C6orf192	398.6665
C6orf1	244.2244	C6orf1	235.4294
C6orf201	7.4278	removed	removed
C6orf203	268.5644	C6orf203	176.1122
C6orf204	90.7591	C6orf204	92.8842
C6orf211	2962.0462	C6orf211	887.9182
C6orf223	46.6172	removed	removed
C6orf225	142.7393	C6orf225	217.9561
C6orf226	23.3086	C6orf226	58.3975
C6orf26	18.6221	C6orf26	10.1161
C6orf27	16.2954	C6orf27	66.2145
C6orf35	409.8597	C6orf35	409.7023
C6orf47	496.0809	C6orf47	476.3766
C6orf48	1225.6601	C6orf48	1425.4512
C6orf52	7.4257	C6orf52	8.2768
C6orf57	71.5759	C6orf57	90.5851
C6orf62	6707.7785	C6orf62	2865.0006
C6orf64	771.6584	C6orf64	530.1759
C6orf70	377.8878	C6orf70	264.858
C6orf72	1076.5264	C6orf72	1078.2849
C6orf89	2853.1353	C6orf89	3069.7781
C6orf97	392.7393	C6orf97	434.0729
C6	1030.5281	C6	621.2208
C7orf10	49.7112	C7orf10	38.6251
C7orf11	260.9323	C7orf11	303.4832
C7orf13	125.4125	C7orf13	106.6789
C7orf23	282.5351	C7orf23	341.5933
C7orf25	384.2822	C7orf25	267.5756
C7orf26	428.2178	C7orf26	579.3769
C7orf27	457.0957	C7orf27	628.1182
C7orf28A	1116.7492	C7orf28A	1058.9723
C7orf28B	1051.7739	C7orf28B	168.755
C7orf29	83.9521	C7orf29	93.8039
C7orf30	265.0578	C7orf30	237.7285
C7orf31	91.5842	C7orf31	152.2014
C7orf36	220.297	C7orf36	163.2372
C7orf40	180.8993	C7orf40	194.9649
C7orf41	1016.2954	C7orf41	3138.7516
C7orf42	2534.2409	C7orf42	3262.9038
C7orf43	181.3119	C7orf43	207.3802
C7orf44	668.7294	C7orf44	471.3185
C7orf46	116.9554	C7orf46	92.4244
C7orf47	48.8861	C7orf47	97.4825
C7orf49	370.4084	C7orf49	344.8488
C7orf50	349.0099	C7orf50	595.0109
removed	removed	C7orf51	51.0403
C7orf53	14.2327	C7orf53	16.5536
C7orf55	77.1452	C7orf55	201.3841
C7orf58	725.4538	C7orf58	1777.6756
C7orf59	428.4241	C7orf59	715.4845
C7orf60	320.3383	C7orf60	410.6219
removed	removed	C7orf61	5.5179
C7orf63	88.9026	C7orf63	118.6343
C7orf64	271.4521	C7orf64	271.2956
C7orf68	306.3119	C7orf68	228.0722
C7orf70	548.2673	C7orf70	409.7023
C7	3744.2244	C7	4887.9182
C8orf30A	489.4802	C8orf30A	248.3044
C8orf31	9.901	removed	removed
C8orf33	1344.8845	C8orf33	873.6636
C8orf34	9.0759	C8orf34	17.4733
C8orf37	61.6749	C8orf37	83.6878
C8orf38	740.9241	C8orf38	147.6032
C8orf39	9.0759	removed	removed
C8orf40	580.8581	C8orf40	612.4842
C8orf41	187.5268	C8orf41	301.2024
C8orf42	299.0924	C8orf42	394.9879
C8orf44	50.5672	C8orf44	25.7317
C8orf45	30.7343	C8orf45	33.5671
C8orf46	27.0215	C8orf46	26.6697
removed	removed	C8orf47	6.8973
C8orf48	19.3894	C8orf48	32.1876
C8orf4	604.3729	C8orf4	2579.147
C8orf51	49.9175	C8orf51	39.5448
C8orf55	523.9274	C8orf55	491.0909
C8orf58	139.6452	C8orf58	237.2687
C8orf59	786.0252	C8orf59	536.5352
C8orf73	111.3861	C8orf73	57.9377
C8orf76	524.3936	C8orf76	282.4555
C8orf77	6.6007	removed	removed
C8orf79	48.2673	C8orf79	358.6619
C8orf80	45.3795	C8orf80	9.1965
C8orf83	683.5809	C8orf83	794.5741
C8orf84	105.8168	C8orf84	634.5557
C8orf85	2026.8152	C8orf85	89.2057
C9orf100	102.5351	C9orf100	19.639
C9orf102	158.5272	C9orf102	180.9219
C9orf103	50.7426	C9orf103	85.9869
C9orf109	13.8201	C9orf109	10.5759
C9orf110	71.5759	C9orf110	94.2637
C9orf114	284.111	C9orf114	370.5299
C9orf116	114.6865	C9orf116	27.5894
C9orf119	227.7228	C9orf119	286.4697
removed	removed	C9orf122	16.5536
C9orf123	423.2673	C9orf123	582.1359
C9orf125	46.2046	C9orf125	205.5409
C9orf129	44.9773	C9orf129	74.4683
C9orf130	48.1745	C9orf130	119.9402
C9orf139	6.4233	removed	removed
C9orf140	110.9736	C9orf140	57.9377
C9orf142	101.4851	C9orf142	141.1657
C9orf150	276.6089	C9orf150	772.0428
C9orf152	502.8878	C9orf152	405.5639
C9orf156	213.4901	C9orf156	217.0364
C9orf167	106.2294	C9orf167	115.8754
C9orf16	264.4389	C9orf16	542.5911
removed	removed	C9orf172	5.9777
C9orf21	198.2261	C9orf21	327.394
C9orf23	173.0611	C9orf23	267.617
C9orf25	330.2393	C9orf25	534.3143
C9orf30	189.4224	C9orf30	184.4948
C9orf37	68.2756	C9orf37	89.2057
C9orf3	149.3894	C9orf3	582.5865
C9orf40	106.0231	C9orf40	155.4202
C9orf41	208.9521	C9orf41	135.6478
removed	removed	C9orf43	5.0581
C9orf45	177.8053	C9orf45	72.652
C9orf46	437.0875	C9orf46	291.9876
removed	removed	C9orf47	24.8718
C9orf5	1931.1056	C9orf5	2599.8391
C9orf64	332.7145	C9orf64	384.412
C9orf66	23.7211	C9orf66	47.4537
C9orf68	55.2805	C9orf68	51.5002
C9orf69	393.9769	C9orf69	500.7472
C9orf6	637.3762	C9orf6	443.2693
C9orf72	314.3564	C9orf72	364.6396
C9orf78	1417.9043	C9orf78	1045.1776
C9orf7	474.0099	C9orf7	392.6888
C9orf80	374.3812	C9orf80	270.3759
C9orf82	402.2277	C9orf82	337.9699
C9orf85	116.9554	C9orf85	165.9961
C9orf86	862.6238	C9orf86	1064.0303
C9orf89	105.6106	C9orf89	194.9649
C9orf91	1112.4175	C9orf91	544.4304
C9orf93	79.0017	C9orf93	91.9646
C9orf95	367.9868	C9orf95	480.515
removed	removed	C9orf96	6.8973
C9orf98	38.9851	C9orf98	37.7055
C9orf9	74.2574	C9orf9	143.9246
CA11	40.8416	CA11	185.7685
CA12	6925.33	CA12	2836.1881
CA13	61.7657	CA13	66.8031
CA14	24.5462	CA14	5.0581
CA2	4969.0594	CA2	215.1971
CA3	456.5924	CA3	358.0733
CA4	17.3267	CA4	377.0548
CA5BP	224.2162	CA5BP	180.2506
CA5B	361.7987	CA5B	516.9422
CA8	728.1353	CA8	364.1798
CA9	10.9427	removed	removed
CAB39L	405.3218	CAB39L	2212.2083
CAB39	2911.0974	CAB39	1933.0958
CABC1	1154.3379	CABC1	1729.1551
CABIN1	1348.1848	CABIN1	1346.3617
CABLES1	687.7063	CABLES1	838.2573
CABLES2	270.8333	CABLES2	150.8219
CABP1	14.4389	CABP1	30.8081
CABP4	6.8069	CABP4	6.5019
CABYR	90.1403	CABYR	131.9692
CACHD1	405.5281	CACHD1	1249.339
CACNA1A	26.4026	CACNA1A	42.3037
CACNA1C	402.4278	CACNA1C	576.1582
CACNA1D	125.2063	CACNA1D	201.8623
CACNA1G	9.6947	CACNA1G	23.451
CACNA1H	1828.4571	CACNA1H	703.0693
CACNA1I	9.6947	CACNA1I	23.451
CACNA2D1	190.1815	CACNA2D1	242.3267
CACNA2D2	311.0561	CACNA2D2	131.0495
CACNA2D3	22.6898	CACNA2D3	10.1161
CACNA2D4	53.6304	CACNA2D4	47.8216
CACNB1	55.0743	CACNB1	85.5271
CACNB2	25.3713	CACNB2	68.5136
CACNB3	525.165	CACNB3	365.0994
CACNB4	328.7954	CACNB4	100.2414
CACNG1	17.1205	removed	removed
CACNG4	930.6931	CACNG4	692.9532
CACNG6	7.0132	removed	removed
CACYBP	2887.7888	CACYBP	851.5921
CADM1	463.6964	CADM1	786.2973
CADM2	12.5825	CADM2	45.9823
CADM3	93.6696	CADM3	522.4049
CADM4	679.2492	CADM4	529.7161
CADPS2	1426.7739	CADPS2	1410.277
CADPS	18.7706	removed	removed
CAD	763.4076	CAD	947.2353
CALB2	119.4307	CALB2	364.6396
CALCOCO1	1975.2475	CALCOCO1	3050.4656
CALCOCO2	2822.401	CALCOCO2	3576.9629
CALCRL	2624.5875	CALCRL	1390.9645
CALCR	12.17	CALCR	39.5448
CALD1	8811.2624	CALD1	20568.3412
CALHM2	714.7277	CALHM2	1128.8654
CALM1	7464.3152	CALM1	7911.714
CALM2	18428.0116	CALM2	8872.2842
CALM3	5031.1469	CALM3	4077.2503
removed	removed	CALML3	263.0187
CALML4	424.2987	CALML4	303.4832
CALML5	753.0941	CALML5	13.7947
removed	removed	CALN1	17.4733
CALR	24522.4835	CALR	7616.9675
CALU	5112.4175	CALU	3869.4103
CAMK1D	134.2822	CAMK1D	81.8485
CAMK1	256.6213	CAMK1	479.6873
removed	removed	CAMK2A	6.8973
CAMK2B	15.264	CAMK2B	21.1519
CAMK2D	1139.2327	CAMK2D	1281.9864
CAMK2G	610.1485	CAMK2G	1055.2937
CAMK2N1	1697.1947	CAMK2N1	1195.9995
CAMK2N2	18.5644	CAMK2N2	5.5179
CAMK4	71.5759	CAMK4	10.1161
CAMKK1	173.0611	CAMKK1	137.0272
CAMKK2	1383.6634	CAMKK2	1661.3404
CAMLG	1099.0099	CAMLG	1100.8162
CAMSAP1L1	2326.3201	CAMSAP1L1	1711.4611
CAMSAP1	819.1007	CAMSAP1	982.6417
CAMTA1	594.8845	CAMTA1	558.2251
CAMTA2	686.0561	CAMTA2	1339.0045
CAND1	4174.2987	CAND1	2672.9509
CAND2	62.5	CAND2	181.1702
CANT1	2158.8284	CANT1	1439.2459
CANX	27808.5809	CANX	13307.7365
CAP1	9967.203	CAP1	6626.049
CAP2	1602.5165	CAP2	949.5344
CAPG	1930.0743	CAPG	1186.3433
CAPN10	83.3251	CAPN10	150.569
CAPN11	12.5825	CAPN11	71.2726
CAPN12	61.4439	CAPN12	106.1317
CAPN13	302.3927	CAPN13	193.1256
CAPN1	2771.8647	CAPN1	3257.625
CAPN2	8005.5693	CAPN2	4971.6059
CAPN3	58.8717	CAPN3	89.7666
CAPN5	179.868	CAPN5	398.6665
CAPN6	690.5941	CAPN6	243.2464
CAPN7	996.6997	CAPN7	978.5033
CAPN8	351.6914	CAPN8	188.0676
CAPN9	69.7195	CAPN9	10.5759
CAPNS1	6197.6073	CAPNS1	6979.6528
CAPRIN1	11350.0413	CAPRIN1	5751.4657
CAPRIN2	349.2162	CAPRIN2	214.2775
CAPS2	35.4785	CAPS2	46.4421
CAPS	58.7871	CAPS	69.8931
CAPZA1	5353.9604	CAPZA1	2370.3874
CAPZA2	2602.7228	CAPZA2	2811.8175
CAPZB	4501.2376	CAPZB	3823.428
CARD10	256.3944	CARD10	773.2981
CARD11	284.8597	CARD11	59.777
CARD14	98.3911	CARD14	72.652
CARD16	311.6749	CARD16	175.1926
CARD6	541.8729	CARD6	477.2962
CARD8	1359.736	CARD8	1107.7135
CARD9	28.2591	CARD9	23.9108
CARHSP1	826.1159	CARHSP1	1185.7593
CARKD	538.7789	CARKD	819.8644
CARM1	840.5528	CARM1	796.4134
CARNS1	15.8828	CARNS1	61.6163
CARS2	442.0606	CARS2	490.3874
CARS	1161.9224	CARS	584.435
CASC1	31.9719	CASC1	39.085
CASC2	21.0396	CASC2	48.7412
CASC3	2030.9406	CASC3	2932.7509
CASC4	3900.9901	CASC4	3401.3105
CASC5	389.6452	CASC5	17.9331
CASD1	698.6386	CASD1	1019.4275
CASKIN1	6.9823	CASKIN1	6.3685
CASKIN2	397.5474	CASKIN2	1341.4967
CASK	1222.9785	CASK	984.0212
CASP10	505.9818	CASP10	531.0955
CASP12	8.0446	CASP12	11.9554
CASP14	67.863	removed	removed
CASP1	786.9224	CASP1	506.7249
CASP2	1083.5396	CASP2	904.012
CASP3	921.6172	CASP3	547.6492
CASP4	1007.4257	CASP4	953.213
CASP6	479.9917	CASP6	280.492
CASP7	1006.1881	CASP7	995.5167
CASP8AP2	1098.1848	CASP8AP2	570.6403
CASP8	844.6782	CASP8	399.5862
CASP9	233.0858	CASP9	291.0679
CASQ1	5.9818	removed	removed
CASQ2	58.7871	CASQ2	993.2176
CASS4	65.8003	CASS4	34.0269
CAST	8642.5908	CAST	5844.3361
CASZ1	621.0809	CASZ1	816.1858
CATSPER1	5.363	removed	removed
CATSPER2P1	9.9113	CATSPER2P1	14.7741
CATSPER2	34.0347	CATSPER2	20.692
CATSPER3	8.2508	CATSPER3	5.0581
CATSPERB	30.5281	CATSPERB	6.4375
CATSPERG	8.4571	CATSPERG	15.1742
CAT	3097.9785	CAT	4756.4088
CAV1	4621.2871	CAV1	17428.67
CAV2	1092.4092	CAV2	3610.9898
removed	removed	CAV3	17.9331
CBARA1	1306.3119	CBARA1	1182.2049
CBFA2T2	937.9125	CBFA2T2	796.4134
CBFA2T3	361.1799	CBFA2T3	320.0368
CBFB	1445.5446	CBFB	878.2619
CBLB	748.3498	CBLB	609.2654
CBLC	261.9637	CBLC	105.2995
CBLL1	818.6881	CBLL1	630.8771
CBLN1	46.6172	CBLN1	79.5494
CBLN3	43.9356	CBLN3	61.1565
CBLN4	41.0479	CBLN4	76.7904
CBL	1217.8218	CBL	1398.7815
CBR1	311.4686	CBR1	616.4525
CBR3	217.203	CBR3	202.7819
CBR4	521.6584	CBR4	451.0863
CBS	96.3284	CBS	83.6878
CBWD1	780.3218	CBWD1	338.4297
CBWD2	494.4307	CBWD2	660.7656
CBWD3	766.9142	CBWD3	231.2036
removed	removed	CBWD5	9.2838
CBWD6	88.4901	CBWD6	77.2503
CBX1	1884.2822	CBX1	1428.67
CBX2	80.4455	CBX2	58.3975
CBX3	6422.236	CBX3	2524.4281
CBX4	274.3399	CBX4	342.5681
CBX5	3561.8812	CBX5	2655.4776
CBX6	272.4835	CBX6	850.6725
CBX7	583.7459	CBX7	2639.8437
CBX8	57.137	CBX8	51.0403
CBY1	298.2343	CBY1	470.9001
CC2D1A	605.198	CC2D1A	617.0824
CC2D1B	542.9043	CC2D1B	561.9037
CC2D2A	302.599	CC2D2A	547.1893
CC2D2B	9.7731	CC2D2B	10.4656
CCAR1	1882.8383	CCAR1	1138.0618
CCBE1	7.632	CCBE1	68.5136
CCBL1	75.2888	CCBL1	77.7101
CCBL2	526.8069	CCBL2	601.4071
CCBP2	50.33	CCBP2	225.7731
CCDC101	207.302	CCDC101	268.9964
CCDC102A	56.1056	CCDC102A	157.7193
CCDC102B	108.0858	CCDC102B	69.8931
CCDC103	82.302	CCDC103	155.4202
CCDC104	1019.802	CCDC104	815.2661
CCDC106	236.1799	CCDC106	163.697
CCDC107	286.8936	CCDC107	483.8671
CCDC109A	636.1386	CCDC109A	513.1624
CCDC109B	562.7063	CCDC109B	318.6573
CCDC110	50.5363	CCDC110	51.96
CCDC111	172.8197	CCDC111	295.473
CCDC112	372.5248	CCDC112	223.0141
CCDC113	233.0858	CCDC113	237.2687
CCDC114	11.7574	CCDC114	7.3572
CCDC115	704.8267	CCDC115	863.5475
CCDC117	1145.8333	CCDC117	864.0074
CCDC11	14.4389	CCDC11	18.3929
CCDC120	245.8746	CCDC120	338.8895
CCDC121	110.3548	CCDC121	177.0318
CCDC122	66.4191	CCDC122	83.6878
CCDC123	615.5116	CCDC123	389.0102
CCDC124	288.9851	CCDC124	463.0417
CCDC125	603.7541	CCDC125	298.4251
CCDC126	248.3498	CCDC126	286.4697
CCDC127	401.8152	CCDC127	409.2424
removed	removed	CCDC129	9.6563
CCDC12	262.995	CCDC12	271.7554
CCDC130	255.7756	CCDC130	247.8446
CCDC132	867.1617	CCDC132	692.4934
CCDC134	27.2277	CCDC134	34.4867
CCDC136	25.9901	CCDC136	66.6743
CCDC137	208.3333	CCDC137	179.7908
CCDC138	75.495	CCDC138	45.0627
CCDC13	11.5512	CCDC13	8.7366
CCDC141	24.3399	CCDC141	23.451
CCDC142	114.7566	CCDC142	85.6788
CCDC144A	22.8837	CCDC144A	15.634
CCDC144B	20.2063	removed	removed
CCDC146	199.4637	CCDC146	157.7193
CCDC147	9.0759	CCDC147	13.3349
CCDC148	21.4521	CCDC148	29.8885
CCDC149	469.2657	CCDC149	581.2162
CCDC14	760.7261	CCDC14	492.4704
CCDC150	42.0792	removed	removed
CCDC152	212.6753	CCDC152	241.2691
CCDC153	8.2508	removed	removed
CCDC157	10.5219	CCDC157	17.0272
CCDC158	6.1881	CCDC158	50.5805
CCDC159	143.5644	CCDC159	128.7504
CCDC15	63.3251	CCDC15	63.4556
CCDC160	109.5297	CCDC160	34.0269
CCDC163P	16.9142	CCDC163P	11.9554
removed	removed	CCDC17	7.817
CCDC18	224.4224	CCDC18	35.8662
CCDC19	15.0578	CCDC19	7.3572
CCDC21	491.1304	CCDC21	238.6481
CCDC22	333.3643	CCDC22	344.6925
CCDC23	264.0264	CCDC23	281.4117
CCDC24	82.106	CCDC24	96.0984
CCDC25	810.4373	CCDC25	1052.075
CCDC28A	479.5792	CCDC28A	547.1893
CCDC28B	54.2492	CCDC28B	44.143
CCDC30	98.8036	CCDC30	51.5002
CCDC34	420.7921	CCDC34	262.5589
CCDC36	29.9092	CCDC36	21.1519
CCDC39	34.8597	CCDC39	7.3572
CCDC3	371.2871	CCDC3	2771.8129
CCDC40	56.9307	CCDC40	100.2414
CCDC41	344.8845	CCDC41	139.3264
CCDC43	533.4158	CCDC43	371.0771
CCDC45	454.0017	CCDC45	371.0771
CCDC46	246.0809	CCDC46	462.5819
CCDC47	2787.5413	CCDC47	2591.5622
CCDC48	133.8696	CCDC48	108.978
CCDC50	2222.3597	CCDC50	3444.5339
CCDC51	198.0198	CCDC51	152.6612
CCDC52	3505.1568	CCDC52	404.6442
CCDC53	355.8168	CCDC53	439.1309
CCDC55	819.5132	CCDC55	796.8732
CCDC56	605.7962	CCDC56	679.1263
CCDC57	177.3927	CCDC57	201.4025
CCDC58	181.1056	CCDC58	125.9915
CCDC59	504.538	CCDC59	489.7115
CCDC60	136.1386	removed	removed
CCDC61	79.4142	CCDC61	134.2683
removed	removed	CCDC62	6.4375
CCDC64B	222.3597	CCDC64B	112.6566
CCDC64	412.7475	CCDC64	38.6251
CCDC65	33.2096	CCDC65	11.0358
removed	removed	CCDC66	298.3929
CCDC68	89.1089	CCDC68	100.7012
CCDC69	1483.2921	CCDC69	2417.2893
CCDC6	2791.2541	CCDC6	2736.8663
CCDC71	292.0792	CCDC71	402.3451
CCDC72	924.9175	CCDC72	645.5914
CCDC73	53.5747	CCDC73	31.8243
CCDC74A	863.8614	CCDC74A	148.063
CCDC74B	246.9059	CCDC74B	71.7324
CCDC75	124.7937	CCDC75	90.5851
CCDC76	267.9146	CCDC76	211.4726
CCDC77	252.0627	CCDC77	142.0853
CCDC78	23.7211	removed	removed
CCDC7	33.0033	CCDC7	22.5313
CCDC80	8440.3878	CCDC80	16718.2435
CCDC81	6.3944	CCDC81	14.7143
CCDC82	408.2096	CCDC82	525.1178
CCDC84	55.0743	CCDC84	59.777
CCDC85A	98.7995	CCDC85A	334.6913
CCDC85B	30.7343	CCDC85B	140.7058
CCDC85C	234.1976	CCDC85C	399.7563
CCDC86	379.5194	CCDC86	362.2623
CCDC87	25.7838	CCDC87	15.1742
CCDC88A	1313.9439	CCDC88A	781.2392
CCDC88B	160.4785	CCDC88B	76.7904
CCDC88C	1051.1551	CCDC88C	826.7617
CCDC89	22.896	CCDC89	35.4064
CCDC8	149.5462	CCDC8	1162.8923
CCDC90A	412.335	CCDC90A	308.0814
CCDC90B	644.3894	CCDC90B	784.4396
CCDC91	736.5924	CCDC91	490.6311
CCDC92	630.1568	CCDC92	1081.0438
CCDC93	734.3234	CCDC93	762.8463
CCDC94	193.4818	CCDC94	303.0233
CCDC96	56.7244	CCDC96	85.0672
CCDC97	808.7871	CCDC97	956.4318
CCDC99	459.571	CCDC99	133.8085
CCDC9	300.1238	CCDC9	262.0991
CCHCR1	278.8779	CCHCR1	246.0053
CCIN	5.7756	CCIN	11.9554
CCL11	37.7475	removed	removed
CCL13	49.9175	CCL13	115.4156
CCL14	753.9068	CCL14	6141.7634
removed	removed	CCL16	12.4152
CCL17	40.2228	CCL17	8.2768
CCL18	84.7772	CCL18	64.835
CCL19	468.0281	CCL19	129.2103
CCL20	16.0891	removed	removed
CCL21	116.7492	CCL21	2208.9895
CCL22	191.8317	CCL22	52.4198
removed	removed	CCL23	28.509
CCL28	60.6436	CCL28	452.4658
CCL2	979.5792	CCL2	6705.5983
CCL3L1	39.8721	CCL3L1	94.2131
CCL3	250.6188	CCL3	1190.0218
CCL4L2	91.5842	CCL4L2	350.8449
CCL4	237.2112	CCL4	1072.3072
CCL5	1983.2921	CCL5	373.8361
CCL7	10.1073	removed	removed
CCL8	188.5314	CCL8	452.4658
CCM2	669.967	CCM2	713.1854
CCNA1	118.8119	CCNA1	11.9554
CCNA2	583.6531	CCNA2	36.0087
CCNB1IP1	444.9257	CCNB1IP1	568.3412
CCNB1	2156.9719	CCNB1	135.188
CCNB2	595.5033	CCNB2	22.5313
CCNB3	31.1469	CCNB3	15.634
CCNC	2377.8878	CCNC	1038.2803
CCND1	4958.1869	CCND1	4741.8232
CCND2	1117.5743	CCND2	2160.2483
CCND3	1269.1832	CCND3	1805.7248
CCNDBP1	1094.6782	CCNDBP1	1241.9818
CCNE1	152.6403	CCNE1	7.817
CCNE2	439.5978	CCNE2	24.3706
CCNF	812.0875	CCNF	111.2772
CCNG1	3179.868	CCNG1	2944.7063
CCNG2	1919.1419	CCNG2	3170.0195
CCNH	827.7805	CCNH	626.1041
CCNI2	137.4752	CCNI2	6.0697
CCNI	5832.302	CCNI	7370.9622
CCNJL	35.066	CCNJL	136.5674
CCNJ	274.7525	CCNJ	187.1479
CCNK	893.8965	CCNK	898.7838
CCNL1	1230.6106	CCNL1	2556.6157
CCNL2	1254.7442	CCNL2	732.498
CCNO	86.0149	CCNO	26.2099
CCNT1	287.335	CCNT1	224.8534
CCNT2	885.7261	CCNT2	661.2254
CCNYL1	752.8878	CCNYL1	532.9348
CCNY	2030.3218	CCNY	2207.1502
CCPG1	3256.0128	CCPG1	2914.0637
removed	removed	CCR10	11.4956
CCR1	654.9092	CCR1	174.2729
CCR2	284.0347	CCR2	38.6251
CCR4	231.2294	CCR4	20.692
CCR5	844.0594	CCR5	77.2503
CCR6	572.1947	CCR6	72.0681
CCR7	293.1106	CCR7	39.5448
CCR8	64.5627	removed	removed
CCRL1	88.4901	CCRL1	304.4028
CCRL2	137.5825	CCRL2	118.1745
CCRN4L	117.9868	CCRN4L	379.8138
CCS	262.3762	CCS	309.4609
CCT2	4124.3812	CCT2	2128.9803
CCT3	8648.3086	CCT3	3253.2475
CCT4	5149.1337	CCT4	3165.4213
CCT5	7742.368	CCT5	2473.8476
CCT6A	7155.5281	CCT6A	2339.5793
CCT6B	26.4026	CCT6B	43.6832
CCT6P1	67.038	CCT6P1	35.8662
CCT7	3643.1518	CCT7	3013.2199
CCT8	6057.137	CCT8	2856.8801
CD101	107.2607	CD101	24.8304
CD109	1090.7591	CD109	1348.6516
CD14	1289.8102	CD14	1862.7428
CD151	2345.7096	CD151	6870.6748
CD160	24.5462	CD160	9.6563
CD163L1	242.1617	CD163L1	134.7281
CD163	2318.0693	CD163	802.3911
removed	removed	CD164L2	22.9911
CD164	16316.4191	CD164	9713.3004
CD177	31.5594	CD177	9.6563
CD180	327.9703	CD180	72.652
CD19	35.066	removed	removed
CD1A	19.5957	removed	removed
CD1B	33.2096	removed	removed
CD1C	128.3003	CD1C	47.3618
CD1D	111.3861	CD1D	39.5448
CD1E	142.7393	CD1E	11.9554
CD200R1	101.6914	CD200R1	49.2011
CD200	616.7492	CD200	961.9496
CD207	39.8102	CD207	12.875
CD209	221.3284	CD209	432.2336
CD226	124.3812	CD226	18.3929
CD22	391.7079	CD22	20.2322
CD244	37.1287	CD244	12.875
CD247	283.6221	CD247	62.0761
