gene_id	TCGA-E2-A15M-01A-11R-A12D-07	gene_id	TCGA-E2-A15M-11A-22R-A12D-07
ACO1	1701.9389	ACO1	2264.1683
ACO2	1841.9018	ACO2	2189.9621
ACOT11	21.2459	ACOT11	19.331
ACOT13	556.2479	ACOT13	441.1266
ACOT1	330.8581	ACOT1	542.1313
ACOT2	207.0957	ACOT2	333.3717
ACOT4	176.7739	ACOT4	102.0807
ACOT7	373.7624	ACOT7	198.1837
ACOT8	327.1617	ACOT8	182.3244
ACOT9	549.2987	ACOT9	489.7115
ACOX1	1877.8878	ACOX1	1959.5816
ACOX2	423.4736	ACOX2	275.8938
ACOX3	483.4983	ACOX3	609.2654
ACOXL	14.0264	removed	removed
ACP1	1035.8911	ACP1	891.1369
ACP2	1193.6881	ACP2	882.8601
ACP5	1984.9422	ACP5	655.7076
ACP6	143.5644	ACP6	143.4648
ACPL2	545.1733	ACPL2	480.515
ACPP	23.3086	ACPP	38.1653
ACRBP	29.9092	ACRBP	9.6563
ACRC	34.2409	ACRC	15.634
removed	removed	ACR	10.5759
removed	removed	ACSBG1	15.1742
removed	removed	ACSBG2	7.3572
ACSF2	393.7706	ACSF2	713.6452
ACSF3	181.5182	ACSF3	304.4028
ACSL1	5898.3086	ACSL1	8071.7324
ACSL3	3126.4439	ACSL3	2352.9141
ACSL4	1886.5512	ACSL4	1769.3988
ACSL5	823.0198	ACSL5	808.8286
ACSL6	27.2277	ACSL6	5.0581
ACSM1	15.0578	ACSM1	25.7501
ACSM3	28.7211	ACSM3	109.7138
ACSM5	126.8564	ACSM5	160.0184
ACSS1	654.0842	ACSS1	747.2123
ACSS2	1071.5759	ACSS2	1783.1935
ACSS3	384.2822	ACSS3	511.783
removed	removed	ACTA1	57.018
ACTA2	3455.0598	ACTA2	44878.3906
removed	removed	ACTBL2	7.817
ACTB	75829.4142	ACTB	98634.3258
removed	removed	ACTC1	184.8488
ACTG1	37173.0611	ACTG1	58654.0982
ACTG2	149.5462	ACTG2	8138.4067
ACTL6A	1328.1766	ACTL6A	635.9352
ACTL8	21.8647	removed	removed
ACTN1	3749.1749	ACTN1	11105.6443
ACTN2	5.7756	ACTN2	10.1161
ACTN4	6715.3713	ACTN4	15865.3592
ACTR10	1292.2855	ACTR10	1079.6643
ACTR1A	2204.0017	ACTR1A	2675.25
ACTR1B	618.6056	ACTR1B	1286.5847
ACTR2	10210.8086	ACTR2	4962.4095
ACTR3B	104.1667	ACTR3B	125.0718
ACTR3C	21.2459	ACTR3C	23.9108
ACTR3	5336.4274	ACTR3	2838.4872
ACTR5	295.7921	ACTR5	134.2683
ACTR6	801.5677	ACTR6	604.6672
ACTR8	683.9934	ACTR8	503.966
ACVR1B	1510.5198	ACVR1B	909.9897
ACVR1C	456.0644	ACVR1C	865.3868
ACVR1	1108.7046	ACVR1	1381.768
ACVR2A	461.0149	ACVR2A	542.1313
ACVR2B	288.7789	ACVR2B	323.2555
ACVRL1	680.2805	ACVRL1	1388.2055
ACY1	283.8284	ACY1	427.9664
ACY3	8.4571	ACY3	6.8973
