gene_id	TCGA-E2-A15I-01A-21R-A137-07	gene_id	TCGA-E2-A15I-11A-32R-A137-07
F2RL2	1118.7324	F2RL2	51.0978
F2RL3	63.5844	F2RL3	61.7432
F2R	1739.0337	F2R	669.0619
F3	650.3272	F3	3898.8689
F5	54.7532	F5	43.1138
F7	492.0727	removed	removed
F8A1	82.3065	F8A1	141.5835
F8	379.0373	F8	2960.479
FA2H	32.4987	FA2H	25.0166
FAAH2	270.587	FAAH2	27.678
FAAH	896.187	FAAH	261.344
FABP3	44.1558	FABP3	83.0339
FABP4	109.5065	FABP4	119234.0652
FABP5	9.5377	FABP5	584.4311
FABP7	21.9013	FABP7	40.4524
FADD	349.7143	FADD	199.0685
FADS1	176.5704	FADS1	1661.2109
FADS2	1089.4659	FADS2	357.6846
FADS3	152.2493	FADS3	950.0998
FAF1	1023.0025	FAF1	1068.7957
FAF2	2317.2986	FAF2	1606.3872
FAHD1	664.7892	FAHD1	489.155
FAHD2A	258.9299	FAHD2A	502.994
FAHD2B	595.574	FAHD2B	352.3619
FAH	1467.7402	FAH	4613.7059
FAIM2	84.426	FAIM2	25.5489
FAIM3	427.803	FAIM3	87.0259
FAIM	211.2415	FAIM	375.7818
FAM100A	482.1818	FAM100A	160.7452
FAM100B	318.2753	FAM100B	761.1444
FAM101A	27.2	FAM101A	9.5808
FAM101B	336.2909	FAM101B	881.9694
FAM102A	3119.8752	FAM102A	706.3207
FAM102B	2487.5635	FAM102B	723.8856
FAM103A1	447.9169	FAM103A1	246.9727
FAM104A	725.9998	FAM104A	664.3407
FAM104B	197.4649	FAM104B	204.9235
FAM105A	2763.8025	FAM105A	139.4544
FAM105B	576.4987	FAM105B	443.9122
removed	removed	FAM106A	11.1776
FAM106C	8.4779	FAM106C	13.3067
FAM107A	105.974	FAM107A	1607.4518
FAM107B	4404.6335	FAM107B	2146.1078
FAM108A1	228.1974	FAM108A1	304.4578
FAM108B1	367.0234	FAM108B1	373.1204
FAM108C1	383.626	FAM108C1	141.0512
FAM109A	307.3247	FAM109A	134.1317
FAM109B	244.4467	FAM109B	164.4711
FAM10A4	229.6104	FAM10A4	676.5136
FAM110A	407.6467	FAM110A	60.6786
FAM110B	424.6026	FAM110B	367.2655
FAM110C	12.3636	removed	removed
FAM111A	2269.6103	FAM111A	772.8543
FAM111B	43.4493	FAM111B	5.855
FAM113A	464.5195	FAM113A	456.1544
FAM113B	120.1039	FAM113B	130.4059
FAM114A1	753.8285	FAM114A1	800
FAM114A2	645.0285	FAM114A2	507.7844
FAM115A	756.6545	FAM115A	708.982
FAM115C	633.9613	FAM115C	273.98
FAM116A	937.5168	FAM116A	988.4232
FAM116B	184.748	FAM116B	79.3081
FAM117A	702.961	FAM117A	510.978
FAM117B	625.2467	FAM117B	394.9434
FAM118A	244.0935	FAM118A	162.8743
FAM118B	274.4727	FAM118B	216.1011
FAM119A	149.7766	FAM119A	155.4225
FAM119B	359.6052	FAM119B	352.8942
FAM120AOS	1728.6871	FAM120AOS	1753.3733
FAM120A	6250.0969	FAM120A	4308.6361
FAM120B	1302.774	FAM120B	1153.9587
FAM120C	454.6285	FAM120C	770.1929
FAM122A	720.9766	FAM122A	954.358
FAM122B	1064.6857	FAM122B	515.7685
FAM122C	48.0416	FAM122C	29.2748
FAM123B	160.7273	FAM123B	213.9721
FAM124A	8.1247	FAM124A	51.0978
FAM124B	45.5688	FAM124B	196.9395
FAM125A	429.9013	FAM125A	347.0393
FAM125B	323.2208	FAM125B	350.2329
FAM126A	265.9948	FAM126A	1096.4737
FAM126B	837.9013	FAM126B	1297.6713
FAM127A	660.5714	FAM127A	1555.2894
FAM127B	381.1532	FAM127B	744.1118
FAM127C	188.987	FAM127C	355.5556
FAM128A	345.1221	FAM128A	156.487
FAM128B	945.9948	FAM128B	458.8157
FAM129A	4387.6777	FAM129A	2851.8962
removed	removed	FAM129B	700.4657
FAM129C	27.2	removed	removed
FAM131A	235.9688	FAM131A	245.9082
FAM131B	53.3403	FAM131B	58.0173
FAM133A	5.6519	removed	removed
FAM133B	193.9325	FAM133B	127.7445
FAM134A	2595.657	FAM134A	2830.6055
FAM134B	2003.2622	FAM134B	1378.0439
FAM134C	2090.1609	FAM134C	2187.0925
FAM135A	161.787	FAM135A	409.3147
FAM136A	723.0961	FAM136A	469.9933
FAM13AOS	126.4553	FAM13AOS	79.3027
FAM13A	929.3992	FAM13A	8617.9694
FAM13B	1314.0779	FAM13B	1088.2023
FAM13C	102.9997	FAM13C	959.191
FAM149A	43.0961	FAM149A	510.4458
FAM149B1	576.8519	FAM149B1	886.2275
removed	removed	FAM150B	15.9681
FAM151B	36.3844	FAM151B	23.9521
FAM154B	219.3662	FAM154B	8.5163
FAM155A	26.8468	FAM155A	27.1457
FAM155B	16.2493	FAM155B	14.9035
FAM156A	535.1688	FAM156A	694.0785
FAM157A	116.2182	FAM157A	14.3713
FAM157B	6.0052	removed	removed
FAM158A	128.5818	FAM158A	63.34
FAM159A	19.4286	removed	removed
FAM160A1	209.1221	FAM160A1	70.2595
FAM160A2	975.3142	FAM160A2	675.4491
FAM160B1	1211.9895	FAM160B1	1713.3733
FAM160B2	914.909	FAM160B2	1061.8762
FAM161A	115.1584	FAM161A	217.6979
FAM161B	539.7398	FAM161B	151.6327
FAM162A	764.4259	FAM162A	875.5822
removed	removed	FAM162B	127.7445
FAM164A	157.9013	FAM164A	582.8343
FAM164C	129.6416	FAM164C	16.5003
FAM165B	239.148	FAM165B	323.6194
FAM166B	56.1662	FAM166B	158.0838
FAM167A	74.5351	FAM167A	19.1617
FAM167B	26.4935	FAM167B	13.839
FAM168A	362.0779	FAM168A	393.8789
FAM168B	3519.3972	FAM168B	4038.3234
FAM169A	160.374	FAM169A	56.4205
FAM171A1	208.0623	FAM171A1	673.8523
FAM171A2	10.5974	FAM171A2	11.1776
FAM171B	695.1896	FAM171B	500.8649
FAM172A	807.1688	FAM172A	1182.7013
FAM173A	151.8961	FAM173A	44.1783
FAM173B	383.2727	FAM173B	230.4724
FAM174A	585.3298	FAM174A	341.7166
FAM174B	1458.5558	FAM174B	278.3766
FAM175A	420.6074	FAM175A	643.4438
FAM175B	580.7376	FAM175B	554.6241
FAM176A	86.5455	FAM176A	43.1138
FAM176B	110.1777	FAM176B	59.348
FAM177A1	743.2311	FAM177A1	680.2395
FAM177B	14.4831	removed	removed
FAM178A	1317.2571	FAM178A	1000.6653
removed	removed	FAM178B	64.4045
FAM179A	16.6026	FAM179A	7.984
FAM179B	1720.6648	FAM179B	756.8862
FAM180A	46.2753	FAM180A	174.0519
removed	removed	FAM180B	54.8237
removed	removed	FAM181B	10.1131
FAM182B	43.8026	FAM182B	31.9361
FAM183A	60.4052	removed	removed
FAM184A	20.8416	FAM184A	526.4138
FAM184B	26.9351	removed	removed
FAM185A	163.2	FAM185A	121.3573
FAM186A	11.6571	FAM186A	5.3227
FAM186B	10.2442	FAM186B	12.2422
FAM188A	585.3298	FAM188A	834.5975
FAM188B	420.0704	FAM188B	145.4531
removed	removed	FAM189A1	10.1131
FAM189A2	356.0727	FAM189A2	439.1218
FAM189B	514.3272	FAM189B	535.4624
FAM18A	28.8143	FAM18A	17.2828
FAM18B2	206.6493	FAM18B2	266.6188
FAM18B	376.2078	FAM18B	663.2069
FAM190A	89.3714	FAM190A	55.356
FAM190B	1301.7142	FAM190B	2084.8969
FAM192A	830.4831	FAM192A	974.0519
FAM193A	1064.6857	FAM193A	675.4491
FAM193B	718.1506	FAM193B	552.495
FAM195A	551.4182	FAM195A	99.5343
FAM195B	621.7143	FAM195B	1169.3945
FAM196B	8.4779	FAM196B	238.9887
FAM198A	152.6026	FAM198A	95.8084
FAM198B	17090.7835	FAM198B	4375.7818
FAM199X	826.5974	FAM199X	633.9321
removed	removed	FAM19A1	9.5808
FAM19A2	21.5481	FAM19A2	34.5975
FAM19A5	9.1844	FAM19A5	19.6939
FAM200A	396.6961	FAM200A	200.6653
FAM200B	508.6753	FAM200B	624.3513
FAM20A	94.3169	FAM20A	202.2621
FAM20B	1414.3999	FAM20B	2341.4504
FAM20C	717.7974	FAM20C	593.4797
FAM21A	618.8883	FAM21A	557.8177
FAM21B	930.0987	FAM21B	652.0293
FAM21C	1407.335	FAM21C	1683.0339
FAM22A	135.6467	FAM22A	51.0978
FAM22D	201.3506	FAM22D	141.5835
FAM22F	12.3636	removed	removed
removed	removed	FAM23A	7.984
FAM24B	15.7583	FAM24B	18.3686
FAM26E	131.4078	FAM26E	450.2994
FAM26F	132.1143	FAM26F	21.2908
removed	removed	FAM27C	6.9195
FAM32A	1327.5012	FAM32A	1291.8164
FAM35A	894.4207	FAM35A	740.9182
FAM35B2	94.6701	FAM35B2	72.3886
FAM35B	296.374	FAM35B	240.0532
FAM36A	680.2967	FAM36A	571.7099
FAM38A	1778.1346	FAM38A	3761.4371
FAM38B	144.4779	FAM38B	147.9707
FAM3A	435.2	FAM3A	485.4291
FAM3B	1223.2934	FAM3B	101.1311
FAM3C	819.8857	FAM3C	1001.1976
removed	removed	FAM3D	48.9687
FAM40A	760.5402	FAM40A	718.0306
FAM40B	33.5584	FAM40B	6.9195
FAM41C	44.5091	FAM41C	34.5975
FAM43A	64.6442	FAM43A	233.1337
FAM43B	7.4182	FAM43B	6.3872
FAM45A	363.4909	FAM45A	675.4491
FAM45B	147.6571	FAM45B	307.6514
FAM46A	1067.1584	FAM46A	1077.312
FAM46B	170.6182	FAM46B	222.4884
FAM46C	1539.4493	FAM46C	1146.507
FAM47E	439.3754	FAM47E	359.7977
FAM48A	1752.6619	FAM48A	812.7691
FAM49A	83.3662	FAM49A	533.8656
FAM49B	1646.1298	FAM49B	1396.1411
FAM50A	654.9194	FAM50A	620.6254
FAM50B	199.5844	FAM50B	151.1643
FAM53A	28.9662	FAM53A	9.5808
FAM53B	2127.6969	FAM53B	725.5675
FAM53C	987.6779	FAM53C	1165.6687
FAM54A	19.0753	removed	removed
FAM54B	1266.4955	FAM54B	1705.9215
FAM55C	1239.5428	FAM55C	649.3679
removed	removed	FAM55D	9.0486
FAM57A	67.1169	FAM57A	120.825
FAM57B	10.5974	removed	removed
FAM58A	137.7662	FAM58A	162.342
FAM59A	358.5454	FAM59A	510.978
FAM5B	162.4935	FAM5B	7.4518
FAM5C	364.5506	removed	removed
FAM60A	527.0441	FAM60A	556.2209
FAM63A	786.6805	FAM63A	1169.9268
FAM63B	431.6675	FAM63B	655.7552
FAM64A	7.0649	removed	removed
FAM65A	796.2181	FAM65A	1371.1244
FAM65B	266.348	FAM65B	165.5356
FAM65C	31.439	FAM65C	290.0865
FAM66C	18.0156	FAM66C	17.0326
FAM69A	464.1662	FAM69A	878.7758
FAM69B	159.173	FAM69B	177.5489
FAM70A	107.0338	FAM70A	316.6999
FAM70B	26.1403	FAM70B	53.2269
FAM71D	12.7169	FAM71D	6.9195
FAM71E1	36.9743	FAM71E1	16.5216
FAM71E2	198.2138	removed	removed
FAM71F2	23.6675	FAM71F2	6.3872
FAM72A	5.6519	removed	removed
FAM72B	16.9558	FAM72B	16.5003
FAM72D	7.4182	FAM72D	5.3227
FAM73A	1637.6519	FAM73A	1184.8303
FAM73B	477.9428	FAM73B	337.4584
FAM76A	300.613	FAM76A	525.3493
FAM76B	506.5558	FAM76B	405.5888
FAM78A	173.4441	FAM78A	102.7279
FAM78B	18.0156	FAM78B	44.1783
removed	removed	FAM7A2	28.7425
removed	removed	FAM7A3	83.5662
FAM81A	21.1948	FAM81A	14.3713
FAM81B	286.1299	removed	removed
FAM82A1	66.7636	FAM82A1	140.519
FAM82A2	1534.1506	FAM82A2	893.6793
FAM82B	658.0987	FAM82B	1523.8856
FAM83A	12.3636	removed	removed
FAM83B	289.6623	FAM83B	19.6939
FAM83D	29.6727	FAM83D	9.5808
FAM83E	257.5169	removed	removed
FAM83F	93.6104	FAM83F	79.3081
FAM83G	63.9377	FAM83G	41.517
FAM83H	2069.6726	FAM83H	163.4065
FAM84A	44.1558	FAM84A	71.324
FAM84B	3199.7089	FAM84B	784.0319
FAM86A	420.3495	FAM86A	176.7505
FAM86B1	63.2312	FAM86B1	43.646
FAM86B2	10.5974	removed	removed
FAM86C	185.1013	FAM86C	63.34
FAM86D	202.7636	FAM86D	199.6008
FAM89A	33.9117	FAM89A	2454.2914
FAM89B	649.6207	FAM89B	765.9348
FAM8A1	1459.6155	FAM8A1	2463.34
FAM91A1	1414.3999	FAM91A1	1083.167
FAM92A1	31.7922	FAM92A1	285.2961
FAM92B	13.4234	removed	removed
FAM95B1	10.9506	FAM95B1	29.8071
FAM96A	841.787	FAM96A	479.5742
FAM96B	213.0078	FAM96B	505.6554
FAM98A	789.8597	FAM98A	714.3047
FAM98B	347.2415	FAM98B	298.6028
FAM98C	221.4857	FAM98C	147.4385
FANCA	51.7365	FANCA	12.5403
FANCB	16.9558	FANCB	8.5163
FANCC	212.3013	FANCC	113.9055
FANCD2	212.3013	FANCD2	83.0339
FANCE	124.6961	FANCE	431.67
FANCF	645.0285	FANCF	182.5682
FANCG	200.2909	FANCG	221.9561
FANCI	387.2149	FANCI	154.7838
FANCL	263.5715	FANCL	277.7379
FANCM	285.0701	FANCM	228.8756
FANK1	598.0467	FANK1	18.0971
FAP	924.4467	FAP	363.5396
FAR1	2807.605	FAR1	1535.5955
FAR2	367.5568	FAR2	114.8263
FARP1	2473.4336	FARP1	763.2735
FARP2	1190.0882	FARP2	292.7478
FARS2	189.6935	FARS2	211.3107
FARSA	700.8415	FARSA	438.0572
FARSB	898.6597	FARSB	1004.3912
FASLG	16.6026	FASLG	6.3872
FASN	32073.7438	FASN	39334.1317
FASTKD1	482.8883	FASTKD1	202.7944
FASTKD2	960.4779	FASTKD2	1103.9255
FASTKD3	223.2519	FASTKD3	140.519
FASTKD5	366.3169	FASTKD5	396.5403
FASTK	1043.4909	FASTK	629.674
FAS	404.1143	FAS	622.2222
FAT1	1421.4649	FAT1	5251.8962
FAT2	334.1714	FAT2	422.0892
FAT3	34.2649	FAT3	121.8896
FAT4	379.387	FAT4	1554.7572
FAU	3429.3193	FAU	4528.0106
FBF1	240.6175	FBF1	88.9208
FBLIM1	868.987	FBLIM1	431.67
FBLN1	2707.283	FBLN1	7577.3786
FBLN2	1527.7921	FBLN2	7609.847
FBLN5	619.2415	FBLN5	7155.8217
FBLN7	192.5195	FBLN7	484.3646
FBL	1302.0675	FBL	1468.5296
FBN1	4822.5244	FBN1	12344.9102
FBN2	25.787	FBN2	7.984
FBP1	2645.4648	FBP1	447.1058
FBRSL1	482.1818	FBRSL1	350.7651
FBRS	2377.7038	FBRS	764.8703
FBXL12	270.2338	FBXL12	400.7984
FBXL13	44.8623	FBXL13	10.6454
FBXL14	706.1402	FBXL14	575.9148
FBXL15	86.1922	FBXL15	73.4531
FBXL16	1871.5012	FBXL16	27.678
FBXL17	1061.5064	FBXL17	1560.6121
FBXL18	757.7142	FBXL18	356.6201
FBXL19	726.2753	FBXL19	100.5988
FBXL20	238.7948	FBXL20	310.845
FBXL22	37.7126	FBXL22	17.0326
FBXL2	461.6935	FBXL2	133.5995
FBXL3	5193.4335	FBXL3	2722.5549
FBXL4	340.8831	FBXL4	588.6893
FBXL5	2935.1271	FBXL5	8101.1311
FBXL6	231.0658	FBXL6	111.7711
FBXL7	1278.7532	FBXL7	800
FBXL8	58.8898	FBXL8	22.7119
FBXO10	197.8288	FBXO10	220.9128
FBXO11	2350.5038	FBXO11	2486.7598
FBXO15	83.3662	FBXO15	13.839
FBXO16	101.1451	FBXO16	7.4518
FBXO17	67.4701	FBXO17	493.9454
FBXO18	1604.1287	FBXO18	1915.7631
FBXO21	1473.3921	FBXO21	1271.5902
FBXO22OS	36.0842	FBXO22OS	34.8636
FBXO22	399.1158	FBXO22	347.8377
FBXO24	17.1007	removed	removed
FBXO25	471.5844	FBXO25	834.5975
FBXO27	84.7792	FBXO27	935.1963
FBXO28	1659.5532	FBXO28	1450.9647
FBXO2	80.5403	FBXO2	106.986
FBXO30	456.0415	FBXO30	630.2063
FBXO31	403.4078	FBXO31	931.4704
FBXO32	777.8493	FBXO32	950.0998
FBXO33	293.548	FBXO33	582.3021
FBXO34	1309.1324	FBXO34	567.9308
FBXO36	438.026	FBXO36	160.2129
FBXO38	1008.1662	FBXO38	803.1936
FBXO3	916.6753	FBXO3	1066.6667
removed	removed	FBXO40	18.6294
FBXO41	217.2467	FBXO41	71.324
FBXO42	647.148	FBXO42	662.6747
FBXO43	16.6026	removed	removed
FBXO44	309.7974	FBXO44	172.9874
FBXO45	815.6467	FBXO45	489.6873
FBXO46	514.6805	FBXO46	262.9408
FBXO48	40.6234	FBXO48	97.9375
FBXO4	209.4753	FBXO4	328.4098
FBXO5	146.9506	FBXO5	117.0991
FBXO6	164.2597	FBXO6	170.8583
FBXO7	1098.2441	FBXO7	2962.6081
FBXO8	530.5872	FBXO8	799.0951
FBXO9	1263.2103	FBXO9	1738.3899
FBXW11	1473.0389	FBXW11	1623.4198
FBXW12	9.1844	removed	removed
FBXW2	3100.4466	FBXW2	2360.0798
FBXW4	1575.4804	FBXW4	1450.9647
FBXW5	1090.8259	FBXW5	1561.1444
FBXW7	543.6467	FBXW7	894.2116
FBXW8	715.3246	FBXW8	374.7172
FBXW9	258.7568	FBXW9	80.3992
FCAMR	6.7117	removed	removed
FCER1A	146.9506	FCER1A	83.0339
FCER1G	299.2	FCER1G	170.8583
FCER2	11.6571	removed	removed
FCF1	1186.5558	FCF1	1039.521
FCGBP	1047.3766	FCGBP	202.2621
FCGR1A	66.043	FCGR1A	5.2428
FCGR1B	58.9922	removed	removed
FCGR1C	15.5429	removed	removed
FCGR2A	501.9636	FCGR2A	238.9887
FCGR2B	211.2415	FCGR2B	162.8743
FCGR2C	89.7247	FCGR2C	38.3234
FCGR3A	755.948	FCGR3A	168.1969
removed	removed	FCGR3B	12.2422
FCGRT	1891.9895	FCGRT	2725.7485
FCHO1	65.3506	FCHO1	14.9035
FCHO2	956.2389	FCHO2	1679.8403
FCHSD1	223.146	FCHSD1	123.4225
FCHSD2	653.4323	FCHSD2	1309.9933
FCN1	9.5377	FCN1	21.2908
removed	removed	FCN2	41.517
removed	removed	FCN3	38.8556
FCRL1	29.6727	removed	removed
FCRL2	51.9273	FCRL2	9.5808
FCRL3	127.5221	FCRL3	5.855
FCRL5	73.8286	FCRL5	102.1956
FCRL6	24.374	FCRL6	9.0486
FCRLA	74.5351	FCRLA	15.9681
removed	removed	FCRLB	10.6454
FDFT1	1991.2518	FDFT1	5106.0546
FDPSL2A	13.7766	removed	removed
FDPS	896.6815	FDPS	1003.7631
FDX1L	131.4537	FDX1L	73.1284
FDX1	318.6286	FDX1	470.5256
FDXACB1	172.8224	FDXACB1	78.3234
FDXR	176.6234	FDXR	84.0985
FECH	1069.2779	FECH	894.2116
FEM1A	903.2519	FEM1A	719.0951
FEM1B	2228.2804	FEM1B	2667.7312
FEM1C	1205.9844	FEM1C	1548.3699
FEN1	293.548	FEN1	142.1158
FER1L4	12.7169	FER1L4	11.1776
FER1L5	59.3455	removed	removed
FERMT1	52.6338	FERMT1	66.0013
FERMT2	1104.6025	FERMT2	11969.6607
FERMT3	289.3091	FERMT3	94.7438
FER	56.1662	FER	183.1005
FES	237.3818	FES	358.2169
FEZ1	87.2519	FEZ1	197.4717
FEZ2	723.0961	FEZ2	2282.3686
removed	removed	FFAR2	124.0186
removed	removed	FFAR3	53.2269
removed	removed	FGB	5.855
FGD1	122.5766	FGD1	155.9548
FGD2	145.1844	FGD2	59.0818
FGD3	1221.174	FGD3	41.517
FGD4	375.148	FGD4	1674.5176
FGD5	400.2286	FGD5	1520.6919
FGD6	2257.9531	FGD6	372.0559
removed	removed	FGF10	147.4385
FGF11	67.1169	FGF11	84.0985
FGF12	23.6675	FGF12	68.1304
FGF13	371.9688	FGF13	462.5416
FGF14	68.1766	FGF14	91.5502
removed	removed	FGF16	5.3227
FGF18	6.0052	FGF18	5.3227
FGF1	352.187	FGF1	603.5928
FGF2	134.5693	FGF2	5467.4278
FGF7	240.561	FGF7	1229.0086
removed	removed	FGF9	33.0007
removed	removed	FGFBP1	25.5489
removed	removed	FGFBP2	1215.1697
FGFBP3	8.8312	FGFBP3	31.4039
FGFR1OP2	649.2675	FGFR1OP2	913.3733
FGFR1OP	485.4529	FGFR1OP	195.4331
FGFR1	1302.774	FGFR1	5198.1371
FGFR2	1666.2648	FGFR2	559.4145
FGFR3	53.6935	FGFR3	14.9035
FGFR4	17.3091	FGFR4	14.3713
FGFRL1	786.6805	FGFRL1	1943.8456
FGGY	151.5428	FGGY	157.5516
removed	removed	FGL1	30.3393
FGL2	974.961	FGL2	2603.3267
FGR	133.174	FGR	80.3726
FHAD1	104.7059	removed	removed
FHDC1	272	FHDC1	101.1311
FHIT	480.7688	FHIT	64.4045
FHL1	326.0467	FHL1	26702.8609
FHL2	480.7688	FHL2	587.6248
FHL3	260.3428	FHL3	219.2947
FHL5	28.2597	FHL5	203.8589
FHOD1	450.7428	FHOD1	534.3979
FHOD3	227.4909	FHOD3	635.5289
FH	791.6259	FH	1969.9268
FIBIN	392.1039	FIBIN	943.7126
FIBP	710.3792	FIBP	488.0905
FICD	54.0468	FICD	78.2435
FIG4	802.5766	FIG4	549.3014
FIGF	7.0649	FIGF	1494.0785
FIGNL1	371.6156	FIGNL1	275.7152
FIGNL2	8.8312	FIGNL2	34.0652
FIGN	25.0805	FIGN	249.6341
FILIP1L	1223.9999	FILIP1L	3365.0033
FILIP1	72.4156	FILIP1	286.8929
FIP1L1	821.9239	FIP1L1	444.1783
FIS1	1264.8105	FIS1	1208.149
FITM1	18.3688	removed	removed
FITM2	42.3896	FITM2	163.4065
FIZ1	348.6545	FIZ1	212.3752
FJX1	32.4987	FJX1	56.9528
FKBP10	2033.6415	FKBP10	687.6913
FKBP11	213.361	FKBP11	213.4398
FKBP14	280.1247	FKBP14	186.8263
FKBP15	1294.8648	FKBP15	858.0173
FKBP1AP1	9.5377	FKBP1AP1	11.1776
FKBP1A	3804.6722	FKBP1A	3827.4225
FKBP1B	49.4545	FKBP1B	40.9847
FKBP2	501.6104	FKBP2	163.4065
FKBP3	1984.8934	FKBP3	918.6959
FKBP4	5282.8049	FKBP4	1249.2349
FKBP5	1726.3168	FKBP5	3518.829
FKBP7	249.3922	FKBP7	436.9927
FKBP8	2158.3376	FKBP8	2806.1211
FKBP9L	42.0364	FKBP9L	55.8882
FKBP9	2592.831	FKBP9	3762.0758
FKBPL	158.961	FKBPL	62.2754
FKRP	205.2364	FKRP	145.3094
FKTN	932.9246	FKTN	506.1876
FLAD1	612.5298	FLAD1	641.3839
FLCN	699.4285	FLCN	884.4977
FLG	16.0233	FLG	55.2761
FLI1	388.2182	FLI1	916.0346
FLII	1716.7791	FLII	2731.6035
FLJ10038	279.7396	FLJ10038	460.4977
FLJ10213	34.6182	FLJ10213	31.4039
FLJ10357	586.7428	FLJ10357	2368.5961
FLJ10661	23.6675	FLJ10661	12.7745
FLJ11235	19.0753	FLJ11235	14.9035
FLJ12825	6.7117	FLJ12825	5.855
FLJ13197	42.4108	FLJ13197	75.0499
FLJ22536	26.4935	FLJ22536	12.7745
FLJ23867	910.3168	FLJ23867	187.8909
removed	removed	FLJ33360	7.984
FLJ33630	815.6467	FLJ33630	498.2036
FLJ35024	34.6182	FLJ35024	30.3393
FLJ35220	307.3247	FLJ35220	142.1158
FLJ35390	68.8231	FLJ35390	74.0758
FLJ35776	120.1039	FLJ35776	96.3407
FLJ36031	472.2909	FLJ36031	327.3453
FLJ36777	18.7221	FLJ36777	28.2102
FLJ37201	15.1896	FLJ37201	14.9035
FLJ37307	8.1247	FLJ37307	9.5808
FLJ37453	58.9922	FLJ37453	61.2109
FLJ39582	29.5773	FLJ39582	91.6727
FLJ39653	176.2701	FLJ39653	76.6467
FLJ40330	203.8234	FLJ40330	108.0506
FLJ40852	80.5403	FLJ40852	46.2914
FLJ42289	6.7117	FLJ42289	30.3393
FLJ42627	101.3288	FLJ42627	58.3899
FLJ42709	84.426	FLJ42709	324.684
removed	removed	FLJ42875	14.3713
FLJ43663	71.7091	FLJ43663	183.1005
FLJ44606	53.6935	FLJ44606	35.1297
FLJ44635	30.026	FLJ44635	35.1297
FLJ45244	109.5065	FLJ45244	43.1138
FLJ45340	1631.6467	FLJ45340	1125.2162
FLJ45445	139.8857	FLJ45445	17.5649
FLJ45983	567.3143	FLJ45983	10.1131
FLJ46111	19.4286	removed	removed
FLJ90757	1117.3194	FLJ90757	213.9721
FLNA	8266.6801	FLNA	10889.155
FLNB	14325.7094	FLNB	4227.2362
FLNC	169.5584	FLNC	414.6374
FLOT1	3584.3946	FLOT1	1952.3619
FLOT2	1362.4727	FLOT2	1982.7013
FLRT1	18.3688	removed	removed
FLRT2	446.5039	FLRT2	1711.2442
FLRT3	1387.9064	FLRT3	82.5017
FLT1	672.2285	FLT1	2710.845
FLT3LG	97.4961	FLT3LG	93.147
FLT3	97.1429	FLT3	11.1776
FLT4	146.9506	FLT4	700.4657
FLVCR1	142.3584	FLVCR1	66.0013
FLVCR2	74.8883	FLVCR2	88.8889
FLYWCH1	677.8805	FLYWCH1	465.2029
FLYWCH2	594.5143	FLYWCH2	161.2774
FMN1	74.5351	FMN1	22.3553
removed	removed	FMN2	26.6134
FMNL1	414.0052	FMNL1	219.827
FMNL2	944.935	FMNL2	1986.4271
FMNL3	1333.5312	FMNL3	879.3293
FMO1	118.6909	FMO1	480.6387
FMO2	293.1948	FMO2	12587.6248
FMO3	28.613	FMO3	194.2781
FMO4	200.6441	FMO4	205.4558
FMO5	628.7792	FMO5	212.9075
removed	removed	FMO6P	5.855
FMOD	1694.8778	FMOD	9970.9914
FMR1	1030.0675	FMR1	1301.3972
FN1	41657.681	FN1	10374.4511
FN3KRP	846.3792	FN3KRP	740.3859
FN3K	295.6675	FN3K	307.1191
FNBP1L	3150.2544	FNBP1L	2465.4691
FNBP1	1571.5947	FNBP1	1316.833
FNBP4	1745.0389	FNBP4	1210.3792
FNDC1	918.0883	FNDC1	813.839
FNDC3A	3120.5817	FNDC3A	2583.6327
FNDC3B	1771.8856	FNDC3B	4030.8716
FNDC4	46.9818	FNDC4	426.8796
FNDC5	12.3636	FNDC5	69.7272
FNIP1	1414.0467	FNIP1	1144.3779
FNIP2	573.6727	FNIP2	2339.3214
FNTA	1124.7376	FNTA	2500.0665
FNTB	1105.7789	FNTB	746.1344
FOLH1	456.748	FOLH1	166.0679
FOLR1	19.0753	FOLR1	104.857
FOLR2	44.1558	FOLR2	276.2475
FOSB	3782.2128	FOSB	34048.1703
FOSL1	20.8416	FOSL1	25.5489
FOSL2	1465.2675	FOSL2	1772.9874
FOS	6932.1139	FOS	72962.342
FOXA1	10681.1215	FOXA1	142.1158
FOXC1	150.8364	FOXC1	380.0399
FOXC2	19.7818	FOXC2	11.1776
FOXD1	5.2987	FOXD1	7.984
FOXD2	30.3792	FOXD2	31.9361
FOXD4L1	9.8909	removed	removed
FOXD4L2	11.6571	removed	removed
FOXD4	9.8909	removed	removed
FOXF1	9.8909	FOXF1	8.5163
FOXF2	43.4493	FOXF2	39.9202
FOXH1	7.6937	removed	removed
FOXI1	112.3325	FOXI1	110.7119
removed	removed	FOXI2	11.7099
FOXJ1	881.7039	removed	removed
FOXJ2	1076.3428	FOXJ2	1238.0572
FOXJ3	2515.1168	FOXJ3	2302.0625
FOXK1	1515.0752	FOXK1	952.2289
FOXK2	1179.1376	FOXK2	788.2901
FOXL1	18.3688	FOXL1	12.7745
FOXM1	109.669	FOXM1	18.2834
FOXN2	324.6337	FOXN2	2194.5442
FOXN3	1175.2519	FOXN3	7797.7379
FOXN4	74.5351	removed	removed
FOXO1	517.5065	FOXO1	2750.7651
FOXO3B	1712.8934	FOXO3B	1118.829
