gene_id	TCGA-BH-A0AZ-01A-21R-A12P-07	gene_id	TCGA-BH-A0AZ-11A-22R-A12P-07
ACO1	1559.1759	ACO1	781.5286
ACO2	2856.5165	ACO2	1866.4238
ACOT11	37.3742	ACOT11	25.2991
ACOT13	859.0034	ACOT13	472.4377
ACOT1	390.5127	ACOT1	303.5891
ACOT2	225.2036	ACOT2	232.264
ACOT4	238.1409	ACOT4	73.154
ACOT7	799.7125	ACOT7	223.1197
ACOT8	356.1476	ACOT8	221.0074
ACOT9	609.4873	ACOT9	388.021
ACOX1	1670.575	ACOX1	1533.9419
ACOX2	600.3833	ACOX2	244.7611
ACOX3	354.5759	ACOX3	976.9108
ACP1	1395.3043	ACP1	1054.3321
ACP2	1737.9013	ACP2	705.0217
ACP5	1254.9114	ACP5	846.7576
ACP6	203.6416	ACP6	268.841
ACPL2	678.0067	ACPL2	591.3282
ACPP	13.4164	ACPP	40.5395
ACRBP	19.1663	ACRBP	27.1279
ACRC	9.5831	ACRC	18.2885
ACR	11.0206	ACR	6.0962
ACSBG1	9.104	ACSBG1	23.7751
ACSF2	770.9631	ACSF2	794.9402
ACSF3	295.1605	ACSF3	423.074
ACSL1	2915.6684	ACSL1	1001.9051
ACSL3	2556.7801	ACSL3	4483.426
ACSL4	1019.6454	ACSL4	1346.3385
ACSL5	342.1179	ACSL5	963.1944
ACSL6	12.4581	ACSL6	10.9731
ACSM1	11.0206	ACSM1	156.9763
ACSM3	35.6924	ACSM3	666.6372
ACSM5	29.2286	ACSM5	24.3847
ACSS1	587.9253	ACSS1	985.1406
ACSS2	1014.3747	ACSS2	927.8366
ACSS3	616.1955	ACSS3	414.5394
removed	removed	ACTA1	5.7914
ACTA2	15095.0216	ACTA2	21588.3106
ACTBL2	8.6248	ACTBL2	5.4866
ACTB	109584.5712	ACTB	48492.2655
ACTG1	73168.6632	ACTG1	47845.4622
ACTG2	448.0115	ACTG2	3238.8935
ACTL6A	1052.2281	ACTL6A	776.9565
ACTN1	8793.0043	ACTN1	8947.6492
ACTN2	71.8735	removed	removed
ACTN4	10859.0513	ACTN4	10282.3745
ACTR10	1288.9315	ACTR10	940.6386
ACTR1A	3498.8021	ACTR1A	1643.5266
ACTR1B	1052.7072	ACTR1B	1209.1747
ACTR2	6729.7556	ACTR2	4559.3233
ACTR3B	104.9353	ACTR3B	282.5573
ACTR3C	17.7288	ACTR3C	42.978
ACTR3	4454.2405	ACTR3	2544.8449
ACTR5	195.4959	ACTR5	194.4677
ACTR6	447.0532	ACTR6	690.3909
ACTR8	417.3455	ACTR8	637.3543
ACVR1B	1333.4931	ACVR1B	1467.0426
ACVR1C	62.7695	ACVR1C	24.6895
ACVR1	1827.0244	ACVR1	1618.5323
ACVR2A	492.5731	ACVR2A	763.2401
ACVR2B	281.265	ACVR2B	454.1644
ACVRL1	854.8155	ACVRL1	597.7292
ACY1	329.6598	ACY1	504.979
removed	removed	ACY3	9.1443
ACYP1	29.2286	ACYP1	85.0415
ACYP2	157.6425	ACYP2	151.7946
removed	removed	ADAD2	5.9377
ADAL	138.4763	ADAL	175.2648
ADAM10	1837.0867	ADAM10	2359.5215
ADAM11	15.8122	ADAM11	31.3953
ADAM12	12106.3728	ADAM12	2411.6437
ADAM15	5155.2468	ADAM15	1816.0786
ADAM17	773.838	ADAM17	1093.6524
ADAM19	1098.7063	ADAM19	176.1792
ADAM21	5.2707	ADAM21	7.6202
ADAM22	61.3321	ADAM22	100.5868
ADAM23	90.0815	ADAM23	24.6895
ADAM28	69.9569	ADAM28	104.5493
ADAM29	47.9157	removed	removed
ADAM32	38.8117	ADAM32	50.2934
ADAM33	171.0589	ADAM33	861.7755
ADAM6	43759.5544	ADAM6	21200.0366
ADAM8	228.0786	ADAM8	89.004
ADAM9	1556.3009	ADAM9	2206.8125
ADAMDEC1	6.7082	ADAMDEC1	82.6031
ADAMTS10	211.3081	ADAMTS10	158.8052
ADAMTS12	1775.7547	ADAMTS12	254.8198
ADAMTS13	22.9995	ADAMTS13	170.9975
ADAMTS14	537.1346	ADAMTS14	27.1279
ADAMTS15	83.3733	ADAMTS15	943.3818
ADAMTS16	942.022	ADAMTS16	257.8679
ADAMTS17	184.4753	ADAMTS17	73.4588
ADAMTS18	48.874	ADAMTS18	213.3658
ADAMTS19	7.6665	ADAMTS19	31.3953
ADAMTS1	822.712	ADAMTS1	3462.3181
ADAMTS2	2667.9444	ADAMTS2	800.1219
ADAMTS3	61.8112	ADAMTS3	128.6291
ADAMTS4	846.1907	ADAMTS4	292.616
ADAMTS5	870.1485	ADAMTS5	2863.9793
ADAMTS6	223.287	ADAMTS6	25.9087
ADAMTS7	521.8016	ADAMTS7	178.0081
ADAMTS8	9.5831	ADAMTS8	127.7147
ADAMTS9	481.0733	ADAMTS9	468.1856
ADAMTSL1	231.4327	ADAMTSL1	485.2549
ADAMTSL2	378.5338	ADAMTSL2	35.9674
ADAMTSL3	171.0589	ADAMTSL3	197.5158
ADAMTSL4	143.747	ADAMTSL4	488.6078
ADAMTSL5	143.2678	ADAMTSL5	95.1002
ADAP1	324.5712	ADAP1	122.8256
ADAP2	306.1811	ADAP2	149.3561
ADARB1	762.3383	ADARB1	778.7853
ADARB2	5.7499	ADARB2	13.7164
ADAR	13490.6564	ADAR	6911.5294
ADAT1	214.183	ADAT1	344.7382
ADAT2	69.4777	ADAT2	168.559
ADAT3	17.2496	ADAT3	14.326
ADA	219.9329	ADA	68.2771
ADCK1	105.8936	ADCK1	163.3773
ADCK2	679.9521	ADCK2	598.6436
ADCK4	555.3426	ADCK4	473.977
ADCK5	54.6239	ADCK5	108.5118
ADCY10	10.5414	removed	removed
ADCY1	581.2171	ADCY1	827.2499
ADCY2	68.0402	ADCY2	100.2819
ADCY3	1157.9828	ADCY3	1373.436
ADCY4	245.3282	ADCY4	365.77
ADCY5	61.3321	ADCY5	244.4563
ADCY6	820.7954	ADCY6	2324.4685
ADCY7	1185.9128	ADCY7	357.845
ADCY9	882.6066	ADCY9	928.1414
removed	removed	ADCYAP1R1	29.5664
ADCYAP1	21.0829	ADCYAP1	40.5395
ADC	398.6584	ADC	167.3398
ADD1	5049.8323	ADD1	6054.7131
ADD2	10.5414	ADD2	22.8606
ADD3	2126.4974	ADD3	3861.3122
ADH1A	5.7499	ADH1A	12.4971
ADH1B	1296.598	ADH1B	1748.9903
ADH1C	11.0206	ADH1C	272.8035
ADH5	2087.6857	ADH5	3213.5945
ADHFE1	35.9368	ADHFE1	248.114
ADI1	1293.723	ADI1	1196.6776
ADIPOQ	1412.0747	ADIPOQ	14.0212
ADIPOR1	9702.4437	ADIPOR1	1925.1695
ADIPOR2	1932.4389	ADIPOR2	1786.4817
ADK	341.1596	ADK	304.1987
ADM2	204.5999	ADM2	83.5175
ADM	114.9976	ADM	410.272
ADNP2	479.6358	ADNP2	795.245
ADNP	2630.5702	ADNP	3288.2725
ADORA1	1012.4581	ADORA1	259.0871
ADORA2A	124.1016	ADORA2A	57.9136
ADORA2B	38.3325	ADORA2B	83.2127
ADORA3	211.7873	ADORA3	70.7155
ADO	774.7964	ADO	562.3714
ADPGK	1109.9665	ADPGK	906.2775
ADPRHL1	94.3939	ADPRHL1	74.9829
ADPRHL2	602.7791	ADPRHL2	475.501
ADPRH	380.9296	ADPRH	358.1498
removed	removed	ADRA1A	10.0587
ADRA1B	17.2496	ADRA1B	28.3472
ADRA2A	754.6718	ADRA2A	1845.005
ADRA2B	7.6665	ADRA2B	33.5289
ADRA2C	23.4787	ADRA2C	31.3953
ADRB1	10.5414	ADRB1	7.0106
ADRB2	36.4159	ADRB2	178.3129
ADRBK1	1753.7135	ADRBK1	1433.5137
ADRBK2	471.4902	ADRBK2	1119.8659
ADRM1	1137.9971	ADRM1	747.3901
ADSL	780.5462	ADSL	730.3208
ADSSL1	110.206	ADSSL1	102.1108
ADSS	1425.4911	ADSS	1300.3124
AEBP1	52770.0048	AEBP1	8504.4578
AEBP2	427.4078	AEBP2	1124.1332
AEN	410.1581	AEN	336.2036
AES	7676.5692	AES	4386.8018
AFAP1L1	433.1576	AFAP1L1	320.6584
AFAP1L2	1217.058	AFAP1L2	1601.7679
AFAP1	2112.1179	AFAP1	1641.0668
AFF1	1747.9636	AFF1	3931.4181
AFF2	65.6445	AFF2	47.5501
AFF3	1764.7341	AFF3	5793.4923
AFF4	3585.5295	AFF4	5128.4005
AFG3L1	104.4562	AFG3L1	274.3275
AFG3L2	1190.9056	AFG3L2	1251.4669
AFMID	471.9693	AFMID	758.3632
removed	removed	AFP	886.6875
AFTPH	1769.5256	AFTPH	2122.6854
AG2	217.058	AG2	279.8141
AGAP11	27.3119	AGAP11	154.5439
AGAP1	339.7221	AGAP1	464.8327
AGAP2	124.8443	AGAP2	159.808
AGAP3	851.9406	AGAP3	1638.0401
AGAP4	127.4557	AGAP4	291.092
AGAP5	29.7796	AGAP5	138.8981
AGAP6	42.1658	AGAP6	136.8589
AGAP7	9.104	AGAP7	10.0587
AGAP8	29.7077	AGAP8	146.9176
AGA	719.2142	AGA	528.2329
AGBL2	20.1246	AGBL2	53.0367
AGBL3	5.2707	AGBL3	12.1923
removed	removed	AGBL4	10.3635
AGBL5	530.92	AGBL5	704.7261
AGER	9.104	AGER	52.7318
AGFG1	1236.7034	AGFG1	1511.2398
AGFG2	239.5783	AGFG2	479.1587
AGGF1	1183.9962	AGGF1	975.9963
AGK	448.0115	AGK	479.7683
AGL	2365.5966	AGL	1604.2064
AGMAT	35.4576	AGMAT	19.5077
