gene_id	TCGA-BH-A0AZ-01A-21R-A12P-07	gene_id	TCGA-BH-A0AZ-11A-22R-A12P-07
C21orf2	299.9521	C21orf2	407.224
C21orf33	2096.7897	C21orf33	1327.7452
C21orf34	72.3527	C21orf34	170.0831
C21orf45	121.7058	C21orf45	178.0081
C21orf49	11.9789	C21orf49	12.1923
C21orf56	270.7235	C21orf56	142.9551
C21orf57	227.1203	C21orf57	214.5851
C21orf58	79.0609	C21orf58	73.154
C21orf59	661.0781	C21orf59	650.6652
C21orf63	383.3253	C21orf63	439.8385
C21orf67	72.8318	C21orf67	59.7424
C21orf70	89.1231	C21orf70	85.956
C21orf7	120.7475	C21orf7	61.8761
C21orf82	21.5621	C21orf82	6.0962
C21orf88	10.0623	C21orf88	42.3684
C21orf91	318.6392	C21orf91	730.016
C22orf13	2169.5065	C22orf13	2011.8418
C22orf23	22.0412	C22orf23	100.8916
C22orf25	497.8438	C22orf25	288.0439
C22orf26	19.6454	C22orf26	7.925
C22orf27	137.9971	C22orf27	111.8647
C22orf28	2022.0412	C22orf28	1570.3726
C22orf29	355.1941	C22orf29	591.5812
C22orf30	948.7302	C22orf30	1265.5643
C22orf32	732.1514	C22orf32	667.5303
removed	removed	C22orf34	5.1817
C22orf36	159.5592	C22orf36	308.1612
C22orf39	401.5333	C22orf39	448.0652
C22orf40	205.0791	C22orf40	128.6291
C22orf41	13.8955	removed	removed
C22orf46	412.5539	C22orf46	885.4683
C22orf9	2221.3704	C22orf9	1714.547
C2CD2L	431.7202	C2CD2L	299.5961
C2CD2	885.0024	C2CD2	589.4994
C2CD3	676.5692	C2CD3	1107.6736
removed	removed	C2CD4A	13.1068
C2CD4B	9.5831	C2CD4B	72.5444
C2CD4C	12.9372	C2CD4C	21.9462
C2CD4D	7.1874	C2CD4D	8.8394
removed	removed	C2orf14	8.5346
C2orf15	44.5328	C2orf15	98.764
C2orf16	22.0412	C2orf16	47.8549
C2orf18	2160.9966	C2orf18	975.9963
C2orf24	1525.6349	C2orf24	1241.4844
C2orf27A	52.2281	C2orf27A	24.0799
C2orf28	2489.1519	C2orf28	1587.6736
C2orf29	1040.7283	C2orf29	698.0111
C2orf34	86.7274	C2orf34	82.2983
removed	removed	C2orf39	11.8875
C2orf3	418.7829	C2orf3	665.7014
C2orf40	204.1207	C2orf40	1059.5138
C2orf42	234.7868	C2orf42	270.9746
C2orf43	377.0963	C2orf43	324.0113
C2orf44	283.6608	C2orf44	299.017
C2orf47	252.5156	C2orf47	214.2803
C2orf49	113.5601	C2orf49	160.3292
removed	removed	C2orf50	7.6202
removed	removed	C2orf52	12.802
C2orf54	77.1442	C2orf54	44.1972
C2orf55	384.7628	C2orf55	324.0113
C2orf56	209.3915	C2orf56	311.5141
C2orf58	6.7082	C2orf58	17.3741
C2orf60	170.1006	C2orf60	332.2411
C2orf63	53.6655	C2orf63	164.9013
C2orf64	485.8649	C2orf64	489.5222
C2orf65	241.9741	C2orf65	17.9837
C2orf67	255.1989	C2orf67	655.9902
C2orf68	693.8189	C2orf68	891.5644
C2orf69	448.0115	C2orf69	373.695
C2orf72	129.8515	C2orf72	383.4489
removed	removed	C2orf73	9.4491
C2orf74	229.5161	C2orf74	372.171
C2orf76	92.9564	C2orf76	72.2396
C2orf77	100.6229	C2orf77	224.9486
C2orf79	352.1802	C2orf79	195.9918
C2orf7	400.575	C2orf7	169.7783
C2orf81	172.736	C2orf81	92.174
C2orf82	12.9372	C2orf82	57.304
C2orf86	78.1025	C2orf86	153.0138
C2orf88	64.207	C2orf88	410.5768
C2orf89	15.8122	C2orf89	39.6251
C2	554.6766	C2	339.9558
C3AR1	357.93	C3AR1	208.7937
C3orf10	3472.4485	C3orf10	2464.9851
C3orf14	211.3081	C3orf14	376.7431
C3orf15	186.392	C3orf15	386.497
C3orf17	1095.8313	C3orf17	1000.6858
C3orf18	140.8721	C3orf18	235.9217
C3orf19	422.137	C3orf19	627.6004
C3orf1	1086.2482	C3orf1	842.1855
C3orf21	667.4653	C3orf21	264.5736
C3orf23	299.9521	C3orf23	495.6184
C3orf26	424.5328	C3orf26	282.2525
C3orf31	149.976	C3orf31	225.5582
C3orf32	12.4581	C3orf32	11.5827
C3orf33	89.1231	C3orf33	124.9714
C3orf34	108.7686	C3orf34	71.63
removed	removed	C3orf35	9.1443
C3orf36	10.0623	removed	removed
C3orf37	728.3182	C3orf37	720.5669
C3orf38	430.7619	C3orf38	291.3968
C3orf39	935.3138	C3orf39	508.4203
C3orf42	6.229	C3orf42	12.4971
C3orf47	14.8539	C3orf47	44.502
C3orf52	232.8701	C3orf52	218.8524
C3orf54	61.8112	C3orf54	36.8818
C3orf55	37.8534	C3orf55	40.5395
C3orf57	91.0398	C3orf57	429.7798
C3orf58	467.1778	C3orf58	1048.8455
C3orf59	183.9962	C3orf59	291.092
C3orf62	118.3517	C3orf62	180.1417
C3orf63	1527.1826	C3orf63	2614.4967
C3orf64	568.759	C3orf64	1009.5253
C3orf67	11.9789	C3orf67	20.1174
C3orf70	126.9765	C3orf70	63.7049
C3orf71	25.8745	C3orf71	52.5124
C3orf75	427.4078	C3orf75	331.3267
C3	11990.4169	C3	12884.249
C4A	35963.0474	C4A	14441.5545
removed	removed	C4BPA	15.85
C4BPB	7.1874	C4BPB	7.6202
C4orf10	167.863	C4orf10	309.8499
C4orf12	24.437	C4orf12	87.7848
C4orf14	652.6114	C4orf14	794.6354
C4orf19	266.3201	C4orf19	79.1465
C4orf21	49.8323	C4orf21	98.4531
C4orf23	188.7877	C4orf23	341.0805
C4orf27	460.9487	C4orf27	309.3805
C4orf29	91.0398	C4orf29	173.1311
C4orf31	537.6138	C4orf31	129.5435
C4orf32	373.2631	C4orf32	1120.4755
C4orf33	165.7882	C4orf33	190.5052
C4orf34	987.0628	C4orf34	1303.6653
C4orf36	8.1457	C4orf36	17.9837
C4orf38	10.0623	C4orf38	16.1548
removed	removed	C4orf39	29.2616
C4orf3	2795.8793	C4orf3	3176.4078
C4orf41	1079.0609	C4orf41	1288.1201
C4orf42	298.0355	C4orf42	339.2517
C4orf43	297.5563	C4orf43	317.9151
C4orf46	206.0374	C4orf46	161.5484
C4orf47	8.1457	C4orf47	11.8875
C4orf48	17.7288	removed	removed
C4orf49	13.8955	C4orf49	19.8125
C4orf52	378.5338	C4orf52	324.6209
removed	removed	C4orf7	56.6944
C5AR1	205.5582	C5AR1	129.8484
C5orf13	4500.2396	C5orf13	802.2556
C5orf15	2483.9483	C5orf15	2136.0969
C5orf22	593.196	C5orf22	592.2426
C5orf23	31.1452	C5orf23	46.6357
C5orf24	1348.3469	C5orf24	1487.1599
C5orf25	426.2195	C5orf25	213.0549
C5orf27	6.7082	C5orf27	24.6895
C5orf28	259.2238	C5orf28	313.0382
C5orf30	618.1121	C5orf30	653.5091
C5orf32	1306.6603	C5orf32	468.4904
C5orf33	532.3431	C5orf33	1123.8284
C5orf34	39.2908	C5orf34	50.2934
C5orf35	117.3934	C5orf35	142.6503
C5orf36	99.1854	C5orf36	182.885
C5orf38	61.8112	C5orf38	54.8655
C5orf39	36.4159	C5orf39	26.5183
C5orf41	492.5731	C5orf41	1421.931
C5orf42	505.0311	C5orf42	1189.3622
C5orf43	1316.2434	C5orf43	1167.1112
C5orf44	430.2827	C5orf44	511.2916
C5orf45	275.2995	C5orf45	265.5917
C5orf46	31.6243	C5orf46	9.4491
C5orf49	97.2688	C5orf49	30.176
C5orf4	1165.7882	C5orf4	2373.8474
C5orf51	930.5223	C5orf51	1143.9457
C5orf53	367.034	C5orf53	429.475
C5orf54	210.3498	C5orf54	150.2705
C5orf55	68.5194	C5orf55	71.0203
C5orf56	55.654	C5orf56	72.2883
C5orf58	5.2707	removed	removed
C5orf62	1126.0182	C5orf62	486.7789
C5	162.4341	C5	821.7633
C6orf105	60.3737	C6orf105	99.6723
C6orf106	2655.9655	C6orf106	2388.1734
C6orf108	272.161	C6orf108	138.9926
removed	removed	C6orf114	11.2779
C6orf115	518.4475	C6orf115	282.5573
C6orf120	975.0695	C6orf120	904.4091
C6orf122	30.3306	C6orf122	14.5942
removed	removed	C6orf123	10.9731
C6orf124	9.5831	C6orf124	23.1654
C6orf125	746.2626	C6orf125	407.9342
C6orf126	13.8955	removed	removed
C6orf129	283.6608	C6orf129	61.8761
C6orf130	337.3167	C6orf130	541.5103
C6orf132	61.3321	C6orf132	277.9852
C6orf134	208.9123	C6orf134	320.3536
C6orf136	258.7446	C6orf136	168.559
C6orf138	14.3747	C6orf138	36.2722
removed	removed	C6orf141	149.9657
C6orf145	680.8816	C6orf145	672.1024
C6orf147	29.0129	C6orf147	8.0287
C6orf150	94.3939	C6orf150	57.304
C6orf153	739.8179	C6orf153	402.0422
C6orf154	35.4576	C6orf154	20.727
C6orf155	12.9372	C6orf155	160.3292
C6orf15	10.0623	C6orf15	10.6683
C6orf162	68.5194	C6orf162	127.5958
C6orf163	6.7082	C6orf163	14.326
C6orf164	6.229	C6orf164	16.8833
C6orf165	26.9286	C6orf165	27.7284
C6orf167	265.932	C6orf167	457.2125
C6orf168	202.6833	C6orf168	210.013
C6orf170	70.9152	C6orf170	225.2534
C6orf174	55.5055	C6orf174	139.2334
removed	removed	C6orf176	13.6554
C6orf182	110.6852	C6orf182	132.5916
C6orf186	9.5831	C6orf186	16.7645
C6orf192	333.9722	C6orf192	441.9721
C6orf1	487.7815	C6orf1	182.2754
C6orf201	5.7499	C6orf201	33.2363
C6orf203	275.0359	C6orf203	180.1417
C6orf204	57.978	C6orf204	121.9233
C6orf211	976.0422	C6orf211	1633.468
C6orf217	11.9789	C6orf217	25.2991
removed	removed	C6orf223	28.9568
C6orf225	301.3896	C6orf225	229.8255
C6orf226	111.1644	C6orf226	38.101
C6orf26	12.9372	C6orf26	24.8754
C6orf27	48.3948	C6orf27	66.1434
C6orf35	446.0949	C6orf35	488.6078
C6orf41	5.2707	C6orf41	11.8875
C6orf47	553.9051	C6orf47	581.8791
C6orf48	1321.035	C6orf48	1543.8543
C6orf52	12.4581	C6orf52	13.1068
C6orf57	80.0192	C6orf57	104.2445
removed	removed	C6orf59	7.925
C6orf62	2565.5295	C6orf62	2883.5022
C6orf64	719.2142	C6orf64	721.4814
C6orf70	391.471	C6orf70	402.0422
C6orf72	1073.311	C6orf72	882.1154
C6orf81	7.1874	removed	removed
C6orf89	2908.9602	C6orf89	3267.8503
C6orf97	414.9497	C6orf97	1181.742
C6	22.5204	removed	removed
C7orf10	163.8716	C7orf10	72.2396
C7orf11	425.4911	C7orf11	233.788
C7orf13	76.6651	C7orf13	156.6715
C7orf23	215.1414	C7orf23	286.1541
C7orf25	554.6718	C7orf25	274.4342
C7orf26	732.1514	C7orf26	488.6078
C7orf27	1500.7187	C7orf27	792.5017
C7orf28A	1683.2774	C7orf28A	1061.0379
C7orf28B	950.6469	C7orf28B	117.656
C7orf29	53.1864	C7orf29	170.0831
C7orf30	373.7422	C7orf30	208.4889
C7orf31	157.6425	C7orf31	146.308
C7orf36	383.3253	C7orf36	194.7725
C7orf40	195.0168	C7orf40	204.5264
C7orf41	1011.0206	C7orf41	1961.7466
C7orf42	3564.9257	C7orf42	3376.9717
C7orf43	237.6617	C7orf43	278.8996
C7orf44	958.3134	C7orf44	676.6745
C7orf46	67.0819	C7orf46	149.9657
C7orf47	112.1227	C7orf47	106.3781
C7orf49	390.9823	C7orf49	480.0274
C7orf50	981.792	C7orf50	485.2549
removed	removed	C7orf51	43.8924
C7orf53	5.2707	C7orf53	17.9837
C7orf55	125.5391	C7orf55	191.6269
C7orf58	482.9899	C7orf58	573.3445
C7orf59	656.4447	C7orf59	627.6004
C7orf60	266.8903	C7orf60	519.3934
removed	removed	C7orf61	11.5827
C7orf63	32.1035	C7orf63	240.4938
C7orf64	181.1212	C7orf64	299.6266
C7orf68	140.3929	C7orf68	205.7456
C7orf70	647.3407	C7orf70	395.946
C7	336.368	C7	411.1865
removed	removed	C8B	80.4694
C8orf30A	538.093	C8orf30A	331.9363
C8orf31	9.5831	C8orf31	11.5827
C8orf33	843.7949	C8orf33	911.6818
C8orf37	70.436	C8orf37	140.8215
C8orf38	316.7226	C8orf38	177.0937
removed	removed	C8orf39	10.0587
C8orf40	542.4054	C8orf40	463.6135
C8orf41	292.2568	C8orf41	294.8503
C8orf42	298.5146	C8orf42	452.3356
C8orf44	20.1246	C8orf44	61.5469
C8orf45	20.1246	C8orf45	76.2021
removed	removed	C8orf46	45.7213
removed	removed	C8orf47	12.802
C8orf48	81.4566	C8orf48	18.5933
C8orf4	1421.1787	C8orf4	3939.9528
C8orf51	42.1658	C8orf51	46.3309
C8orf55	569.2381	C8orf55	604.435
C8orf58	285.5774	C8orf58	217.0235
C8orf59	496.3057	C8orf59	416.7645
C8orf73	100.1437	C8orf73	50.2934
C8orf75	52.2281	removed	removed
C8orf76	373.7997	C8orf76	223.138
removed	removed	C8orf77	5.1817
C8orf79	294.2022	C8orf79	657.1668
C8orf80	6.7082	C8orf80	6.0962
C8orf83	669.861	C8orf83	780.0046
C8orf84	514.1351	C8orf84	796.769
C8orf85	289.8898	C8orf85	258.1727
removed	removed	C8orf86	7.6202
C9orf100	68.2655	C9orf100	36.4155
C9orf102	99.909	C9orf102	289.4734
C9orf103	159.08	C9orf103	89.004
C9orf109	20.1246	C9orf109	13.1068
C9orf110	284.1399	C9orf110	143.8695
C9orf114	412.5299	C9orf114	564.371
C9orf116	122.185	C9orf116	44.8068
removed	removed	C9orf117	22.8606
C9orf119	405.3666	C9orf119	281.6429
C9orf122	56.0613	C9orf122	32.0049
C9orf123	492.5731	C9orf123	582.184
C9orf125	83.3733	C9orf125	95.405
removed	removed	C9orf128	12.4971
C9orf129	101.6195	C9orf129	102.2937
C9orf130	94.7197	C9orf130	223.3605
removed	removed	C9orf131	6.0962
C9orf140	108.7686	C9orf140	99.0627
C9orf142	276.9526	C9orf142	160.634
C9orf150	363.2008	C9orf150	687.038
C9orf152	530.4264	C9orf152	1156.4429
C9orf156	226.6411	C9orf156	278.5948
C9orf163	7.6665	C9orf163	8.2298
C9orf167	140.8721	C9orf167	58.5232
C9orf169	32.8174	removed	removed
C9orf16	924.7724	C9orf16	349.92
C9orf171	6.229	C9orf171	6.401
C9orf172	5.7499	removed	removed
C9orf21	197.4126	C9orf21	193.5533
C9orf23	229.5161	C9orf23	253.2957
C9orf25	406.804	C9orf25	470.3193
C9orf30	384.9066	C9orf30	164.2521
C9orf37	64.6862	C9orf37	100.2819
C9orf3	376.5453	C9orf3	374.2102
C9orf40	91.9981	C9orf40	85.0415
C9orf41	147.5803	C9orf41	202.6976
C9orf43	26.8328	C9orf43	7.0106
C9orf45	57.4988	C9orf45	130.1532
C9orf46	405.8457	C9orf46	387.1066
C9orf47	7.6713	C9orf47	34.294
removed	removed	C9orf4	10.9731
C9orf5	1701.4854	C9orf5	2937.1333
C9orf64	551.0302	C9orf64	510.8588
C9orf66	8.1457	C9orf66	40.8443
C9orf68	20.6037	C9orf68	252.3813
C9orf69	590.321	C9orf69	570.6012
C9orf6	393.8668	C9orf6	445.0202
C9orf72	143.747	C9orf72	378.572
C9orf78	1219.4538	C9orf78	1583.1746
C9orf7	851.4614	C9orf7	503.8482
C9orf80	176.3297	C9orf80	320.6584
C9orf82	175.3713	C9orf82	413.9297
C9orf84	10.5414	removed	removed
C9orf85	91.5189	C9orf85	191.4196
C9orf86	1290.369	C9orf86	1144.8602
C9orf89	571.6339	C9orf89	204.8312
C9orf91	981.792	C9orf91	833.0412
C9orf93	57.978	C9orf93	208.4889
C9orf95	471.9693	C9orf95	405.0903
removed	removed	C9orf96	14.6308
C9orf98	189.2669	C9orf98	61.5713
C9orf9	246.7657	C9orf9	210.3178
CA11	156.2051	CA11	440.7529
CA12	9941.0637	CA12	5279.8903
CA13	64.3172	CA13	185.9727
removed	removed	CA14	8.8394
CA2	855.7738	CA2	5211.6132
CA3	58.8261	CA3	107.8625
removed	removed	CA4	155.7571
CA5BP	277.4317	CA5BP	206.0504
CA5B	309.54	CA5B	449.3942
removed	removed	CA6	31.7001
CA8	145.1845	CA8	505.6771
CAB39L	259.7029	CAB39L	1809.6472
CAB39	1901.2937	CAB39	2134.8777
CABC1	816.8328	CABC1	1136.4779
CABIN1	1565.884	CABIN1	1785.5673
CABLES1	549.1136	CABLES1	1018.0599
CABLES2	181.6004	CABLES2	194.7725
CABP1	7.1874	CABP1	19.2029
CABP4	31.1452	CABP4	49.004
CABP7	5.2995	removed	removed
CABYR	157.6425	CABYR	235.9217
CACHD1	711.0685	CACHD1	1040.3109
CACNA1A	31.1452	CACNA1A	28.3472
CACNA1C	605.654	CACNA1C	689.4765
CACNA1D	126.0182	CACNA1D	263.6592
CACNA1E	7.1874	removed	removed
removed	removed	CACNA1F	52.1222
CACNA1G	41.2075	CACNA1G	162.7677
CACNA1H	256.828	CACNA1H	106.0733
CACNA1I	19.6454	CACNA1I	12.4971
CACNA2D1	161.4758	CACNA2D1	263.3544
CACNA2D2	242.9324	CACNA2D2	509.6396
CACNA2D3	5.2707	CACNA2D3	10.6683
CACNA2D4	50.3115	CACNA2D4	57.9136
CACNB1	149.976	CACNB1	132.5916
CACNB2	37.3742	CACNB2	63.0953
CACNB3	550.0719	CACNB3	454.1644
CACNB4	30.1869	CACNB4	280.7285
CACNG1	68.9986	CACNG1	11.5827
CACNG4	885.4816	CACNG4	1399.3751
CACYBP	1911.356	CACYBP	797.6835
CADM1	1230.9535	CADM1	1073.8398
removed	removed	CADM2	17.0693
CADM3	62.2329	CADM3	105.4545
CADM4	530.9056	CADM4	704.4121
CADPS2	669.3819	CADPS2	1634.6872
CADPS	7.1874	removed	removed
CAD	937.7096	CAD	1327.4404
CALB2	131.2889	CALB2	22.8606
CALCOCO1	1437.9492	CALCOCO1	3692.4484
CALCOCO2	3601.8208	CALCOCO2	2723.7674
CALCRL	1381.8879	CALCRL	434.6567
CALCR	6.229	CALCR	20.1174
CALD1	13232.8701	CALD1	9930.0465
CALHM1	22.5204	removed	removed
CALHM2	1450.8864	CALHM2	870.2278
CALM1	6340.6804	CALM1	4654.7283
CALM2	11954.9593	CALM2	6651.8327
CALM3	4614.758	CALM3	4040.2347
CALML3	328.7015	CALML3	521.5271
CALML4	240.5367	CALML4	292.0064
CALML5	75.7068	CALML5	503.8482
CALN1	8.1457	CALN1	22.251
CALR	16224.2453	CALR	8154.233
CALU	9611.8831	CALU	3008.4584
CAMK1D	107.3311	CAMK1D	91.1377
removed	removed	CAMK1G	8.2298
CAMK1	188.6344	CAMK1	227.8442
CAMK2A	30.1869	removed	removed
CAMK2B	242.9324	CAMK2B	275.8516
CAMK2D	1012.9372	CAMK2D	1104.9303
CAMK2G	586.4878	CAMK2G	820.2393
CAMK2N1	2074.2693	CAMK2N1	1956.8696
CAMK2N2	14.3747	removed	removed
CAMK4	57.0196	CAMK4	9.7539
CAMKK1	225.6828	CAMKK1	195.3822
CAMKK2	1368.9506	CAMKK2	1463.0801
CAMLG	1283.1816	CAMLG	918.0828
CAMSAP1L1	1943.9387	CAMSAP1L1	1863.9031
CAMSAP1	689.0273	CAMSAP1	1035.1292
CAMTA1	412.0747	CAMTA1	548.9598
CAMTA2	1061.3321	CAMTA2	1443.2675
CAND1	2861.0446	CAND1	3310.5235
CAND2	152.851	CAND2	91.4425
CANT1	3277.4317	CANT1	1977.9014
CANX	19020.6037	CANX	15027.6614
CAP1	9339.2429	CAP1	4877.2384
CAP2	202.2041	CAP2	570.2964
CAPG	1683.2774	CAPG	1581.3457
CAPN10	105.6109	CAPN10	272.1085
CAPN11	28.2702	CAPN11	241.1034
CAPN12	57.0963	CAPN12	89.9489
CAPN13	461.907	CAPN13	458.7366
CAPN1	4723.5266	CAPN1	3259.6205
CAPN2	6038.3325	CAPN2	4045.4164
CAPN3	14.437	CAPN3	260.7056
CAPN5	425.4911	CAPN5	522.1367
CAPN6	57.0196	CAPN6	1860.5502
CAPN7	780.5462	CAPN7	1195.1535
CAPN8	425.012	CAPN8	488.9126
CAPN9	84.8107	CAPN9	25.6039
CAPNS1	9187.3503	CAPNS1	4259.3919
CAPRIN1	6532.8222	CAPRIN1	6473.8246
CAPRIN2	303.3062	CAPRIN2	446.2394
CAPS2	24.9161	CAPS2	106.6829
CAPSL	23.9578	removed	removed
CAPS	195.0168	CAPS	156.3667
CAPZA1	3452.8031	CAPZA1	1944.9729
CAPZA2	1321.5141	CAPZA2	1884.9348
removed	removed	CAPZA3	11.8875
CAPZB	7005.2707	CAPZB	3383.3727
CARD10	463.3445	CARD10	624.2475
CARD11	106.8519	CARD11	94.4906
CARD14	125.5391	CARD14	302.9795
CARD16	123.1433	CARD16	50.5982
CARD6	338.2846	CARD6	262.7448
CARD8	404.8874	CARD8	651.9851
CARD9	19.6454	CARD9	50.2934
CARHSP1	1392.0747	CARHSP1	722.917
CARKD	1157.6425	CARKD	1447.5349
CARM1	1673.6943	CARM1	739.1603
CARNS1	22.9995	CARNS1	31.0905
CARS2	761.1212	CARS2	601.777
CARS	1016.7705	CARS	605.3494
CARTPT	981.792	removed	removed
CASC1	17.2496	CASC1	77.1165
CASC2	51.2698	CASC2	63.7049
CASC3	2778.6296	CASC3	3708.2984
CASC4	5430.2827	CASC4	3554.9798
CASC5	68.5194	CASC5	24.6895
CASD1	620.9871	CASD1	1397.8511
CASKIN1	5.7211	CASKIN1	22.8637
CASKIN2	968.9267	CASKIN2	1015.4843
CASK	1464.782	CASK	1314.6384
CASP10	230.9535	CASP10	220.9861
removed	removed	CASP12	11.2779
CASP1	336.368	CASP1	487.3886
CASP2	753.2343	CASP2	1301.2269
CASP3	755.6301	CASP3	489.2174
CASP4	787.7336	CASP4	815.972
CASP6	444.6574	CASP6	383.7537
CASP7	1006.229	CASP7	808.3517
CASP8AP2	501.677	CASP8AP2	981.4829
CASP8	390.9919	CASP8	509.9444
CASP9	368.9506	CASP9	421.55
removed	removed	CASQ1	8.5346
CASQ2	52.2281	CASQ2	94.4906
CASS4	26.3536	CASS4	28.3472
CAST	6480.8625	CAST	5043.4748
CASZ1	671.7777	CASZ1	1691.0767
CATSPER2P1	13.0235	CATSPER2P1	25.0979
CATSPER2	14.2741	CATSPER2	38.6527
CATSPER3	16.8807	CATSPER3	8.8394
CATSPERB	21.0829	CATSPERB	40.2347
CATSPERG	6.7082	CATSPERG	33.8337
CAT	2046.4782	CAT	2456.4505
CAV1	3847.6282	CAV1	4495.0088
CAV2	1062.7695	CAV2	1584.3938
CBARA1	2132.7264	CBARA1	1208.5651
CBFA2T2	505.0311	CBFA2T2	1250.3239
CBFA2T3	184.9545	CBFA2T3	123.4474
CBFB	1218.0163	CBFB	986.6646
CBLB	488.2607	CBLB	674.2361
CBLC	405.3666	CBLC	200.5639
CBLL1	499.7604	CBLL1	1083.2889
removed	removed	CBLN1	7.3154
CBLN2	26.8328	removed	removed
CBLN3	69.9569	CBLN3	82.2983
CBLN4	86.2482	CBLN4	19.5077
CBL	770.0048	CBL	1232.0354
CBR1	579.861	CBR1	665.4149
CBR3	153.8093	CBR3	124.057
CBR4	620.5079	CBR4	777.8709
CBS	64.6862	CBS	121.0089
CBWD1	344.9928	CBWD1	513.6021
CBWD2	405.3666	CBWD2	772.3844
CBWD3	276.9526	CBWD3	502.2358
CBWD6	207.954	CBWD6	124.057
CBX1	2198.3709	CBX1	1915.7205
CBX2	124.1016	CBX2	95.1002
CBX3	4256.828	CBX3	2808.1993
CBX4	722.5683	CBX4	580.3551
CBX5	2773.838	CBX5	3131.2962
CBX6	251.5573	CBX6	670.5784
CBX7	748.9219	CBX7	2026.0611
CBX8	111.1644	CBX8	106.9877
CBY1	539.1759	CBY1	568.8303
CC2D1A	795.4001	CC2D1A	918.3876
CC2D1B	753.2343	CC2D1B	780.3094
CC2D2A	329.6598	CC2D2A	692.8294
removed	removed	CC2D2B	14.9691
CCAR1	1758.505	CCAR1	1776.7279
CCBE1	9.104	CCBE1	53.3415
CCBL1	98.2271	CCBL1	135.3349
CCBL2	434.4705	CCBL2	781.5469
CCBP2	58.9363	CCBP2	118.2656
CCDC101	395.3043	CCDC101	315.7815
CCDC102A	160.9966	CCDC102A	193.2485
CCDC102B	86.2482	CCDC102B	57.6088
CCDC103	112.6018	CCDC103	134.1157
CCDC104	1154.7676	CCDC104	946.7347
CCDC106	230.9535	CCDC106	177.3985
CCDC107	392.6833	CCDC107	197.2049
CCDC108	7.6665	removed	removed
CCDC109A	696.2147	CCDC109A	451.1164
CCDC109B	410.6373	CCDC109B	136.2493
CCDC110	60.3737	CCDC110	89.9185
CCDC111	185.5966	CCDC111	367.1569
CCDC112	346.4303	CCDC112	235.312
CCDC113	570.6756	CCDC113	318.8295
CCDC114	31.1452	CCDC114	38.101
CCDC115	945.3761	CCDC115	843.7095
removed	removed	CCDC116	5.4866
CCDC117	3828.9411	CCDC117	1051.5888
CCDC11	13.4164	CCDC11	70.4107
CCDC120	573.5506	CCDC120	613.5792
CCDC121	125.5391	CCDC121	188.6764
CCDC122	40.2492	CCDC122	135.6397
CCDC123	401.0541	CCDC123	520.6127
CCDC124	512.6977	CCDC124	386.1922
CCDC125	523.7183	CCDC125	628.5148
CCDC126	279.8275	CCDC126	287.4343
CCDC127	538.5721	CCDC127	356.321
CCDC129	6.229	CCDC129	60.9617
CCDC12	356.9717	CCDC12	378.2672
CCDC130	342.597	CCDC130	486.1693
CCDC132	295.6397	CCDC132	674.2361
CCDC134	25.8745	CCDC134	66.4482
CCDC136	19.6454	CCDC136	154.5378
CCDC137	345.9511	CCDC137	320.9632
CCDC138	32.1035	CCDC138	70.4107
CCDC13	7.1874	CCDC13	11.2779
CCDC141	6.7082	CCDC141	18.8981
CCDC142	85.769	CCDC142	165.9529
CCDC144A	19.7269	CCDC144A	65.9118
CCDC144B	58.9986	CCDC144B	196.3972
CCDC146	75.2276	CCDC146	222.8149
CCDC147	9.5831	CCDC147	13.7164
CCDC148	23.4787	CCDC148	81.079
CCDC149	717.7767	CCDC149	858.9499
CCDC14	521.8016	CCDC14	1448.4493
CCDC150	10.5414	CCDC150	15.85
CCDC151	34.4993	CCDC151	7.6202
CCDC152	112.942	CCDC152	153.3704
CCDC153	7.6665	CCDC153	9.7539
removed	removed	CCDC154	7.925
CCDC157	51.3608	CCDC157	65.2534
CCDC158	16.7705	CCDC158	135.3349
CCDC159	136.5597	CCDC159	211.2322
CCDC15	45.0407	CCDC15	121.3137
CCDC160	76.1859	CCDC160	51.5126
CCDC163P	11.4998	CCDC163P	14.326
removed	removed	CCDC17	8.2298
CCDC18	26.3536	CCDC18	68.2893
CCDC19	39.77	CCDC19	16.1548
CCDC21	320.5558	CCDC21	371.2566
CCDC22	517.034	CCDC22	424.1103
CCDC23	294.6814	CCDC23	228.6063
CCDC24	383.3253	CCDC24	214.1858
CCDC25	757.0676	CCDC25	1171.0737
CCDC28A	496.8855	CCDC28A	592.5474
CCDC28B	57.0196	CCDC28B	43.5876
CCDC30	101.1021	CCDC30	213.3658
CCDC34	247.2448	CCDC34	539.206
CCDC36	33.541	CCDC36	43.8924
CCDC39	15.333	CCDC39	55.1307
CCDC3	521.8016	CCDC3	280.5487
CCDC40	219.9329	CCDC40	190.5052
CCDC41	191.6627	CCDC41	321.268
CCDC43	737.4221	CCDC43	441.0577
CCDC45	475.8026	CCDC45	979.0444
CCDC46	332.0556	CCDC46	272.4987
CCDC47	3954.001	CCDC47	3020.6508
CCDC48	112.6018	CCDC48	78.0309
CCDC50	1664.1112	CCDC50	2630.8009
CCDC51	135.6013	CCDC51	195.687
CCDC52	338.7638	CCDC52	759.5824
CCDC53	489.6981	CCDC53	372.7806
CCDC55	860.5654	CCDC55	1115.9034
CCDC56	1749.9904	CCDC56	758.9667
CCDC57	338.2846	CCDC57	640.0975
CCDC58	136.0805	CCDC58	119.1801
