gene_id	TCGA-BH-A0DP-01A-21R-A056-07	gene_id	TCGA-BH-A0DP-11A-12R-A089-07
DDX17	9215.6022	DDX17	12697.4811
DDX18	1722.246	DDX18	2044.9495
DDX19A	592.799	DDX19A	1134.7638
DDX19B	661.8003	DDX19B	867.0545
DDX1	2121.7317	DDX1	2579.9338
DDX20	434.6335	DDX20	547.197
DDX21	1372.9104	DDX21	1715.5458
DDX23	2303.9006	DDX23	2768.5523
DDX24	2511.7874	DDX24	3627.8518
removed	removed	DDX25	6.4456
DDX26B	78.8684	DDX26B	321.6012
DDX27	824.2606	DDX27	1334.238
DDX28	244.7492	DDX28	319.905
DDX31	330.4758	DDX31	422.6953
DDX39	578.2255	DDX39	352.8115
DDX3X	6751.3931	DDX3X	8860.6564
DDX41	1205.315	DDX41	1124.9258
DDX42	2855.1222	DDX42	4000.3392
DDX46	1584.2263	DDX46	1901.111
DDX47	1028.7184	DDX47	1144.9411
DDX49	609.5156	DDX49	595.3693
DDX50	1068.5812	DDX50	1166.9918
DDX51	423.0604	DDX51	531.9311
DDX52	519.0742	DDX52	507.5057
DDX54	1497.9511	DDX54	1287.4905
DDX55	265.3236	DDX55	346.0266
DDX56	1486.4981	DDX56	1089.3054
DDX58	870.1243	DDX58	746.3319
DDX59	598.7998	DDX59	433.8903
DDX5	8378.054	DDX5	15111.5257
DDX60L	451.7788	DDX60L	306.6746
DDX60	1207.4582	DDX60	661.8607
DDX6	4153.0219	DDX6	4716.8179
DEAF1	764.252	DEAF1	598.0833
DECR1	1243.4634	DECR1	1108.6422
DECR2	876.5538	DECR2	209.9907
DEDD2	469.3528	DEDD2	447.4599
DEDD	1038.3883	DEDD	680.2917
DEF6	321.4745	DEF6	314.4771
DEF8	463.3519	DEF8	656.4329
DEFB132	18.0026	DEFB132	27.8178
DEFB1	30.0043	DEFB1	93.6307
DEGS1	2346.7638	DEGS1	1263.6757
DEGS2	1686.6695	DEGS2	239.1655
DEK	2150.8787	DEK	2171.1475
DEM1	138.877	DEM1	150.9626
DENND1A	746.6781	DENND1A	645.2379
DENND1B	143.5919	DENND1B	211.6869
DENND1C	195.8851	DENND1C	216.7755
DENND2A	66.4381	DENND2A	234.0768
DENND2C	19.6142	DENND2C	69.3173
DENND2D	826.4038	DENND2D	555.6781
DENND3	315.4736	DENND3	273.4289
DENND4A	353.5191	DENND4A	623.8657
DENND4B	814.0163	DENND4B	596.041
DENND4C	1620.2315	DENND4C	2206.0894
DENND5A	1680.6687	DENND5A	1760.6649
DENND5B	362.6232	DENND5B	351.7937
DENR	1222.889	DENR	1293.1897
DEPDC1B	37.291	removed	removed
DEPDC1	126.8753	DEPDC1	11.195
DEPDC4	11.1444	DEPDC4	16.9621
DEPDC5	334.3335	DEPDC5	372.8267
DEPDC6	869.6957	DEPDC6	975.3202
DEPDC7	21.4316	DEPDC7	10.8557
DERA	498.0712	DERA	446.7814
DERL1	2370.3386	DERL1	1813.5866
DERL2	423.4891	DERL2	441.3536
DERL3	313.3305	DERL3	275.1251
DES	34.2906	DES	17.6406
DET1	124.3035	DET1	187.6007
DEXI	739.3913	DEXI	466.4575
DFFA	321.4745	DFFA	510.5589
DFFB	97.7282	DFFB	105.5042
DFNA5	221.1745	DFNA5	267.6618
DFNB31	321.4745	DFNB31	553.6426
DFNB59	26.1466	DFNB59	39.352
DGAT1	533.952	DGAT1	415.9647
DGAT2	1266.1809	DGAT2	1597.1504
DGCR11	34.7192	DGCR11	27.8178
DGCR14	350.1929	DGCR14	323.2974
DGCR2	3321.4745	DGCR2	4178.7804
DGCR5	58.7227	DGCR5	20.6937
DGCR6L	728.2469	DGCR6L	617.0808
DGCR6	312.4732	DGCR6	301.9252
DGCR8	541.7917	DGCR8	834.5348
DGCR9	5.1436	DGCR9	5.4279
DGKA	331.7617	DGKA	384.7002
DGKD	984.1406	DGKD	1441.0991
DGKE	159.4514	DGKE	215.0793
DGKG	7.2868	DGKG	25.4431
DGKH	19.2885	DGKH	75.9902
DGKI	26.1466	DGKI	15.2659
DGKQ	336.4766	DGKQ	213.3831
DGKZ	538.7913	DGKZ	614.3669
DGUOK	582.9404	DGUOK	643.5417
DHCR24	16723.5319	DHCR24	19568.4844
DHCR7	804.5435	DHCR7	753.456
DHDDS	704.2435	DHDDS	938.0036
DHDH	18.8598	DHDH	9.838
removed	removed	DHDPSL	25.9961
DHFRL1	259.7514	DHFRL1	396.5737
DHFR	264.3506	DHFR	224.3779
DHH	11.5731	DHH	5.4279
DHODH	84.8693	DHODH	127.2157
DHPS	847.4068	DHPS	967.5176
DHRS11	125.1607	DHRS11	167.2462
DHRS12	215.1736	DHRS12	360.2748
DHRS13	233.7591	DHRS13	128.9255
DHRS1	544.3635	DHRS1	703.5875
DHRS2	111.8731	DHRS2	37.9951
DHRS3	1068.5812	DHRS3	1679.2469
DHRS4L1	22.2889	DHRS4L1	21.7115
DHRS4L2	415.2679	DHRS4L2	476.4719
DHRS4	604.012	DHRS4	734.3194
DHRS7B	579.94	DHRS7B	621.491
DHRS7	1801.9717	DHRS7	1831.2272
DHRS9	22.2889	DHRS9	19.676
DHRSX	329.8371	DHRSX	395.5559
DHTKD1	1226.318	DHTKD1	872.5299
DHX15	2471.0673	DHX15	2740.3952
DHX16	591.5131	DHX16	824.6968
DHX29	1783.9691	DHX29	1277.5846
DHX30	1388.3412	DHX30	1509.2867
DHX32	1250.0043	DHX32	911.0474
DHX33	228.4612	DHX33	429.1409
DHX34	469.3528	DHX34	379.6116
DHX35	200.6001	DHX35	266.6441
DHX36	790.8273	DHX36	926.4693
DHX37	460.3515	DHX37	431.5156
DHX38	851.2645	DHX38	1508.9475
DHX40P1	17.5739	DHX40P1	12.8912
DHX40	2040.2915	DHX40	1875.3286
DHX57	856.4081	DHX57	630.3113
DHX58	690.0986	DHX58	455.2625
DHX8	1434.2049	DHX8	1461.1144
DHX9	4469.7814	DHX9	4547.8755
DIABLO	709.4256	DIABLO	716.8925
DIAPH1	3243.0347	DIAPH1	3742.5155
DIAPH2	372.4818	DIAPH2	155.0335
DIAPH3	61.2945	DIAPH3	9.1595
DICER1	1521.2173	DICER1	2005.2582
DIDO1	1716.2452	DIDO1	2420.4902
DIMT1L	450.4929	DIMT1L	456.6195
DIO1	42.006	DIO1	9.1595
DIO2	538.3626	DIO2	497.6677
DIO3	31.2902	DIO3	16.9621
DIP2A	426.4895	DIP2A	703.5875
DIP2B	1530.2186	DIP2B	1662.2848
DIP2C	994.4278	DIP2C	1167.331
DIRAS1	376.7681	DIRAS1	203.8843
DIRAS2	12.4303	DIRAS2	9.4988
DIRAS3	139.7342	DIRAS3	216.7755
DIRC2	368.667	DIRC2	398.487
removed	removed	DIRC3	8.8203
DIS3L2	382.3403	DIS3L2	487.1512
DIS3L	461.2087	DIS3L	947.5023
DIS3	860.2486	DIS3	1227.3599
DISC1	108.4441	DISC1	107.8382
DISP1	176.5967	DISP1	250.3604
DISP2	52.7218	DISP2	94.9877
DIXDC1	1145.7351	DIXDC1	1911.9668
DKC1	1374.6249	DKC1	1249.0883
removed	removed	DKFZP434L187	8.2843
DKFZP586I1420	411.4874	DKFZP586I1420	601.8149
DKFZP686I15217	34.7192	DKFZP686I15217	77.0079
DKFZp686O24166	115.3022	DKFZp686O24166	28.8356
DKFZp761E198	429.4899	DKFZp761E198	377.2369
removed	removed	DKFZp779M0652	6.7848
DKK1	6.8581	DKK1	8.481
DKK2	138.4483	DKK2	166.2285
DKK3	2237.4625	DKK3	4906.4541
DLAT	942.1346	DLAT	685.9469
DLC1	1141.8774	DLC1	1459.079
DLD	1636.0909	DLD	1342.3798
DLEC1	14.5735	DLEC1	30.871
DLEU1	103.3005	DLEU1	55.6357
DLEU2L	9.4299	removed	removed
DLEU2	50.1757	DLEU2	12.6062
DLG1	1245.1779	DLG1	1491.2832
DLG2	53.1505	DLG2	229.6667
DLG3	2197.171	DLG3	1841.7437
DLG4	350.2015	DLG4	250.279
DLG5	2189.027	DLG5	3428.0383
DLGAP1	22.7175	DLGAP1	91.5953
removed	removed	DLGAP2	14.5874
DLGAP3	10.7158	DLGAP3	6.1064
DLGAP4	1570.9387	DLGAP4	1559.8338
DLGAP5	98.1569	DLGAP5	7.4633
removed	removed	DLK1	218.1325
DLK2	10.2872	DLK2	202.1881
DLL1	98.5855	DLL1	201.5096
DLL4	123.4462	DLL4	120.4308
DLST	1786.9696	DLST	2386.2268
DLX1	99.4428	DLX1	27.8178
DLX2	216.4595	DLX2	50.547
DLX3	61.2945	DLX3	65.4737
DLX4	15.8594	DLX4	9.838
DLX5	28.7184	removed	removed
DMAP1	444.4921	DMAP1	675.4304
DMC1	6.0009	DMC1	10.8557
DMD	351.4788	DMD	2257.9934
DMGDH	17.1453	DMGDH	37.6558
DMKN	280.7544	DMKN	646.5949
DMPK	534.9336	DMPK	507.1665
DMRT2	43.7205	DMRT2	16.6228
DMRT3	12.4303	DMRT3	5.0886
DMRTA1	12.4303	DMRTA1	31.2102
DMRTC1B	73.7248	DMRTC1B	29.1748
DMRTC1	6.0009	DMRTC1	10.5165
DMTF1	851.5688	DMTF1	1159.1892
DMWD	553.3648	DMWD	394.5382
DMXL1	911.7017	DMXL1	1553.3882
DMXL2	422.2032	DMXL2	327.7076
DNA2	75.868	DNA2	26.8001
DNAH10	10.2872	DNAH10	26.4609
DNAH11	8.3198	DNAH11	9.3359
DNAH12	46.721	DNAH12	10.5165
DNAH14	136.3052	DNAH14	58.0103
DNAH17	20.1457	DNAH17	28.4963
DNAH1	109.73	DNAH1	166.907
DNAH2	140.1629	DNAH2	181.1551
DNAH3	19.2885	DNAH3	5.4279
DNAH5	828.1183	DNAH5	582.8174
DNAH6	53.1505	DNAH6	80.4003
DNAH7	78.4398	DNAH7	108.8966
DNAH9	10.7158	DNAH9	25.7824
DNAI1	22.2889	DNAI1	20.0153
DNAJA1	2330.0471	DNAJA1	2447.6295
DNAJA2	1163.7377	DNAJA2	1627.6821
DNAJA3	1534.5049	DNAJA3	1016.7077
DNAJA4	480.4972	DNAJA4	913.5782
DNAJB11	849.9786	DNAJB11	792.1296
DNAJB12	1107.5868	DNAJB12	1485.2006
DNAJB14	418.3455	DNAJB14	369.4343
DNAJB1	2375.4822	DNAJB1	2837.0791
DNAJB2	1960.1372	DNAJB2	2346.5355
DNAJB4	404.6292	DNAJB4	573.9971
DNAJB5	120.4458	DNAJB5	136.036
DNAJB6	1717.9597	DNAJB6	1912.6452
removed	removed	DNAJB7	5.1022
DNAJB9	804.1149	DNAJB9	589.263
DNAJC10	2060.0086	DNAJC10	2346.8747
DNAJC11	913.9348	DNAJC11	1039.386
DNAJC12	743.6777	DNAJC12	537.6982
DNAJC13	1702.9576	DNAJC13	1677.2114
DNAJC14	1282.7004	DNAJC14	1470.4571
DNAJC15	721.3888	DNAJC15	739.2079
DNAJC16	1055.7222	DNAJC16	923.7554
DNAJC17	217.7454	DNAJC17	257.8238
DNAJC18	143.5919	DNAJC18	315.4949
DNAJC19	455.2079	DNAJC19	495.293
DNAJC1	1554.222	DNAJC1	645.5771
DNAJC21	998.7141	DNAJC21	1166.9918
DNAJC22	222.889	DNAJC22	92.613
DNAJC24	301.8303	DNAJC24	273.2525
DNAJC25	240.4629	DNAJC25	175.388
DNAJC27	134.5907	DNAJC27	213.0438
DNAJC28	23.5748	DNAJC28	30.5318
DNAJC2	635.3193	DNAJC2	494.5603
DNAJC30	506.2152	DNAJC30	343.6519
DNAJC3	2116.5881	DNAJC3	2696.633
DNAJC4	1036.9267	DNAJC4	546.5084
DNAJC5B	6.8581	removed	removed
DNAJC5	1969.9957	DNAJC5	2021.8811
DNAJC6	78.8684	DNAJC6	128.5726
DNAJC7	1809.0099	DNAJC7	1510.335
DNAJC8	1527.2182	DNAJC8	2097.1928
DNAJC9	535.5122	DNAJC9	542.9836
DNAL1	595.7994	DNAL1	477.9917
DNAL4	750.1072	DNAL4	597.4048
DNALI1	1076.2966	DNALI1	1180.9007
DNASE1L1	522.0231	DNASE1L1	396.6754
DNASE1L2	6.0009	removed	removed
DNASE1L3	23.5748	DNASE1L3	40.3698
DNASE1	45.8637	DNASE1	49.5293
DNASE2	1711.9589	DNASE2	1445.5093
DND1	55.0064	DND1	48.4166
removed	removed	DNER	20.3545
DNHD1	108.8727	DNHD1	156.0512
DNLZ	93.0133	DNLZ	62.0812
DNM1L	1249.0356	DNM1L	1356.2887
DNM1P35	22.7175	DNM1P35	32.228
DNM1	318.0454	DNM1	237.8085
DNM2	1847.5868	DNM2	1990.2264
DNM3	106.3009	DNM3	100.0763
DNMBP	893.2619	DNMBP	1594.1616
DNMT1	1177.8826	DNMT1	1516.4108
DNMT3A	393.9134	DNMT3A	390.8065
DNMT3B	23.5748	DNMT3B	52.9217
DNPEP	1491.6417	DNPEP	1176.8298
DNTTIP1	393.4848	DNTTIP1	435.5865
DNTTIP2	1337.3339	DNTTIP2	1609.0238
DOC2A	178.2212	DOC2A	50.9846
DOC2B	12.4303	DOC2B	44.4407
DOCK10	801.5431	DOCK10	392.5028
DOCK11	343.3348	DOCK11	492.2398
DOCK1	1687.9554	DOCK1	3273.0048
DOCK2	501.5002	DOCK2	250.3604
DOCK3	14.5735	DOCK3	33.9242
DOCK4	486.4981	DOCK4	630.9897
DOCK5	650.6644	DOCK5	767.3649
DOCK6	573.0819	DOCK6	705.6229
DOCK7	762.5375	DOCK7	1243.3212
DOCK8	647.6168	DOCK8	1410.1569
DOCK9	1222.0317	DOCK9	5280.6378
DOHH	237.0339	DOHH	141.1246
DOK1	529.3613	DOK1	200.8311
DOK2	71.153	DOK2	66.8306
DOK3	157.7368	DOK3	57.3319
DOK4	296.1852	DOK4	434.5687
DOK5	82.2975	DOK5	43.4229
DOK6	57.4368	DOK6	40.709
DOK7	106.7295	DOK7	92.613
DOLK	384.0549	DOLK	302.9429
DOLPP1	345.4779	DOLPP1	304.2999
DOM3Z	171.9931	DOM3Z	302.2916
DONSON	99.1642	DONSON	76.4855
DOPEY1	454.2092	DOPEY1	1004.3118
DOPEY2	1080.1543	DOPEY2	1054.3635
DOT1L	398.1912	DOT1L	346.0266
DPAGT1	1052.7604	DPAGT1	832.0991
DPCD	422.6918	DPCD	256.4091
DPEP1	30.4329	removed	removed
DPEP2	45.8637	DPEP2	10.1773
DPF2	1235.3193	DPF2	1241.625
DPF3	6.8581	DPF3	10.8557
DPH1	503.5062	DPH1	619.0654
DPH2	454.7793	DPH2	370.7913
DPH3B	13.7162	DPH3B	21.033
DPH3	501.5002	DPH3	512.9336
DPH5	613.7205	DPH5	447.4023
DPM1	444.0634	DPM1	494.6145
DPM2	636.5195	DPM2	527.521
DPM3	411.916	DPM3	223.2211
DPP3	845.6922	DPP3	388.0926
DPP4	225.8894	DPP4	328.7253
removed	removed	DPP6	163.5145
DPP7	2058.7227	DPP7	1518.7855
DPP8	346.7638	DPP8	634.0429
DPP9	1188.1697	DPP9	880.6717
DPT	621.946	DPT	1317.2759
DPY19L1	773.2533	DPY19L1	352.4722
DPY19L2P1	91.7274	removed	removed
DPY19L2P2	20.5744	DPY19L2P2	10.8557
DPY19L2P4	44.1492	DPY19L2P4	13.5697
DPY19L2	18.8598	DPY19L2	16.2836
DPY19L3	627.0896	DPY19L3	433.2118
DPY19L4	847.4068	DPY19L4	718.5141
DPY30	635.6622	DPY30	480.8888
DPYD	2006.8581	DPYD	1132.7284
DPYSL2	3556.7938	DPYSL2	4811.4664
DPYSL3	5055.2936	DPYSL3	3896.5313
DPYSL4	11.5731	DPYSL4	6.4456
DQX1	5.5722	DQX1	6.7848
DR1	1177.0253	DR1	813.1626
DRAM1	976.4252	DRAM1	1602.9175
DRAM2	1760.3943	DRAM2	1056.0597
DRAP1	1062.1517	DRAP1	774.489
removed	removed	DRD1	7.8026
DRD2	6.4295	DRD2	145.1955
DRD4	14.1449	removed	removed
DRG1	1152.5932	DRG1	1060.8091
DRG2	679.8114	DRG2	651.6835
DRP2	9.4299	DRP2	12.5519
DSC1	7.0296	DSC1	133.1253
DSC2	1645.0922	DSC2	1732.8471
DSC3	684.0977	DSC3	2380.1204
removed	removed	DSCAML1	16.2836
removed	removed	DSCAM	5.4279
DSCC1	69.8671	DSCC1	21.033
DSCR3	642.5204	DSCR3	817.912
DSCR6	13.7162	DSCR6	7.4633
DSEL	308.6155	DSEL	332.1177
DSE	856.1166	DSE	795.4745
DSG1	160.3086	DSG1	721.9065
DSG2	5609.91	DSG2	6679.196
DSG3	480.4972	DSG3	2015.7747
DSN1	339.9057	DSN1	271.7327
DSP	14254.6078	DSP	31621.4062
DSTN	8789.1127	DSTN	12368.0773
DSTYK	1064.7235	DSTYK	1120.8549
DST	4137.5911	DST	38458.4853
DTD1	325.3322	DTD1	487.1512
DTL	465.9237	DTL	17.3013
DTNA	78.0111	DTNA	647.2733
DTNBP1	285.4694	DTNBP1	330.0823
DTNB	563.652	DTNB	630.3113
DTWD1	331.7617	DTWD1	419.3029
DTWD2	272.6104	DTWD2	197.4387
DTX1	105.4436	DTX1	174.031
DTX2	418.7741	DTX2	337.5456
DTX3L	2637.6511	DTX3L	1388.6829
DTX3	676.3823	DTX3	781.6131
DTX4	488.2126	DTX4	374.1837
DTYMK	342.0489	DTYMK	261.5554
DULLARD	1894.1277	DULLARD	1507.5905
DUOX1	77.5825	DUOX1	142.8208
DUOX2	9.4299	DUOX2	17.6406
DUOXA1	9.4299	DUOXA1	28.4963
DUS1L	681.0973	DUS1L	849.1222
DUS2L	132.8761	DUS2L	161.1399
DUS3L	274.3249	DUS3L	275.4643
DUS4L	281.1616	DUS4L	163.3483
DUSP10	310.7587	DUSP10	575.6933
DUSP11	513.9306	DUSP11	462.0473
DUSP12	357.4796	DUSP12	235.773
DUSP14	258.8941	DUSP14	439.3181
DUSP15	47.1496	DUSP15	30.1925
DUSP16	1895.4136	DUSP16	3524.7222
DUSP18	181.0673	DUSP18	164.0268
DUSP19	94.7278	DUSP19	90.5776
DUSP1	6269.6099	DUSP1	11417.5218
DUSP22	576.5109	DUSP22	804.3423
DUSP23	935.7051	DUSP23	455.6017
removed	removed	DUSP26	5.4279
DUSP27	14.1449	DUSP27	5.7671
DUSP28	89.5842	DUSP28	114.3245
DUSP2	102.8718	DUSP2	126.1979
DUSP3	1760.3943	DUSP3	1787.1258
DUSP4	2491.6417	DUSP4	1663.3025
removed	removed	DUSP5P	7.8026
DUSP5	978.997	DUSP5	1024.8495
DUSP6	1408.9156	DUSP6	3573.5731
DUSP7	333.9048	DUSP7	333.8139
DUSP8	198.0283	DUSP8	359.5963
DUSP9	9.0013	DUSP9	33.5849
DUT	840.33	DUT	695.0148
DVL1	726.1037	DVL1	714.4432
DVL2	672.9533	DVL2	755.8307
DVL3	1705.958	DVL3	1758.9687
DYDC1	21.7231	removed	removed
DYDC2	21.9974	removed	removed
DYM	939.1342	DYM	917.3098
DYNC1H1	9794.685	DYNC1H1	11702.1457
DYNC1I1	44.5778	DYNC1I1	93.2915
DYNC1I2	2399.057	DYNC1I2	2498.8551
DYNC1LI1	1202.3146	DYNC1LI1	768.0434
DYNC1LI2	1928.847	DYNC1LI2	3579.3402
DYNC2H1	865.838	DYNC2H1	868.7982
DYNC2LI1	476.2109	DYNC2LI1	483.7588
DYNLL1	2692.2417	DYNLL1	2243.7452
DYNLL2	1981.1402	DYNLL2	1818.6753
DYNLRB1	1442.7775	DYNLRB1	1639.2164
DYNLRB2	105.4436	DYNLRB2	38.3343
DYNLT1	806.6867	DYNLT1	888.135
DYNLT3	915.1307	DYNLT3	438.3004
DYRK1A	1359.6228	DYRK1A	2072.4281
DYRK1B	540.9344	DYRK1B	420.6598
DYRK2	592.3703	DYRK2	423.0345
DYRK3	320.6172	DYRK3	283.9454
DYRK4	308.1869	DYRK4	337.2063
DYSF	436.348	DYSF	388.4319
DYX1C1	101.4359	DYX1C1	121.1093
DZIP1L	50.5787	DZIP1L	104.8257
DZIP1	154.2135	DZIP1	312.9607
DZIP3	483.9263	DZIP3	544.0896
E2F1	144.4492	E2F1	39.0128
E2F2	71.5817	E2F2	8.1418
E2F3	300.9001	E2F3	253.0744
E2F4	598.3712	E2F4	773.8105
E2F5	219.0742	E2F5	85.8078
E2F6	280.7544	E2F6	301.2467
E2F7	118.3026	E2F7	6.4456
E2F8	32.1474	removed	removed
E4F1	461.2087	E4F1	329.0645
EAF1	789.1127	EAF1	745.9927
EAF2	39.0056	EAF2	38.3343
EAPP	870.9816	EAPP	1319.3113
EARS2	1156.8796	EARS2	687.9824
EBAG9	575.6537	EBAG9	619.1163
EBF1	201.0287	EBF1	354.5077
removed	removed	EBF2	32.5672
EBF3	101.5859	EBF3	109.2359
EBF4	378.054	EBF4	432.5333
EBI3	28.7184	EBI3	17.9798
EBNA1BP2	947.2782	EBNA1BP2	1099.1434
EBPL	632.2332	EBPL	363.6672
EBP	592.3703	EBP	422.356
ECD	656.2366	ECD	820.9651
ECE1	4970.4243	ECE1	10220.3375
ECE2	74.5821	ECE2	66.8306
ECEL1	8.5727	ECEL1	6.1064
ECH1	2114.0163	ECH1	2158.9348
ECHDC1	768.967	ECHDC1	974.3024
ECHDC2	672.5246	ECHDC2	1117.4625
ECHDC3	382.3403	ECHDC3	595.0301
ECHS1	1883.8405	ECHS1	1817.9968
ECM1	729.1042	ECM1	269.358
ECM2	709.8157	ECM2	873.5476
ECSCR	104.1577	ECSCR	174.7095
ECSIT	882.126	ECSIT	742.9395
ECT2L	9.0013	ECT2L	8.481
ECT2	638.234	ECT2	329.4038
EDA2R	78.8684	EDA2R	181.1551
EDARADD	187.3125	EDARADD	1113.3916
removed	removed	EDAR	28.8356
EDA	42.006	EDA	104.1472
EDC3	684.955	EDC3	869.1375
EDC4	1050.15	EDC4	1233.4051
EDEM1	1757.3939	EDEM1	2100.5852
EDEM2	563.2233	EDEM2	523.7893
EDEM3	3762.5375	EDEM3	1201.2552
EDF1	2801.9717	EDF1	2861.5045
EDIL3	655.808	EDIL3	312.7809
EDN1	273.4676	EDN1	691.714
EDN2	163.309	EDN2	36.2989
EDN3	87.8697	EDN3	471.5461
EDNRA	764.6807	EDNRA	660.5038
EDNRB	173.1676	EDNRB	449.1561
EEA1	830.2615	EEA1	946.1454
EED	346.3352	EED	372.4875
EEF1A1P9	7355.3365	EEF1A1P9	7968.1113
EEF1A1	117585.9408	EEF1A1	128286.6593
EEF1A2	3662.2375	EEF1A2	566.873
EEF1B2	5081.4402	EEF1B2	5581.5452
EEF1DP3	6.2709	removed	removed
EEF1D	13144.0206	EEF1D	7535.9172
EEF1E1	171.8817	EEF1E1	255.7883
EEF1G	37507.5011	EEF1G	28101.4333
EEF2K	1882.9833	EEF2K	1529.302
EEF2	72665.6665	EEF2	66063.6078
EEFSEC	336.5066	EEFSEC	375.1946
EEPD1	406.3438	EEPD1	185.9045
EFCAB1	7.2868	EFCAB1	108.8966
EFCAB2	342.9061	EFCAB2	150.6234
EFCAB4A	1152.1646	EFCAB4A	1579.1706
EFCAB4B	144.8778	EFCAB4B	353.4899
EFCAB6	136.7338	EFCAB6	135.6967
EFCAB7	143.1633	EFCAB7	212.0261
EFEMP1	10209.1727	EFEMP1	6007.9722
EFEMP2	1338.6198	EFEMP2	993.9785
EFHA1	933.5619	EFHA1	879.654
EFHA2	33.0047	EFHA2	51.2255
EFHB	26.5752	EFHB	20.6937
EFHC1	336.4766	EFHC1	600.458
EFHC2	103.3005	EFHC2	18.6583
EFHD1	5084.4406	EFHD1	14162.6664
EFHD2	1391.3416	EFHD2	600.458
EFNA1	4783.9691	EFNA1	1934.3567
EFNA3	258.0369	EFNA3	176.8162
EFNA4	502.3575	EFNA4	250.2892
EFNA5	1108.8727	EFNA5	743.2788
EFNB1	604.8007	EFNB1	637.4353
EFNB2	485.6408	EFNB2	1289.4581
EFNB3	142.7347	EFNB3	529.2172
EFR3A	2548.2212	EFR3A	2212.8742
EFR3B	76.7252	EFR3B	100.7548
EFS	560.2229	EFS	1324.7392
EFTUD1	590.2272	EFTUD1	807.0562
EFTUD2	1954.4321	EFTUD2	1647.3582
EGFL6	36.0051	EGFL6	8.8203
EGFL7	345.4779	EGFL7	329.0645
EGFL8	32.216	EGFL8	76.7229
EGFLAM	204.0291	EGFLAM	573.9971
EGFR	264.0206	EGFR	1711.1186
EGF	561.5088	EGF	168.9424
EGLN1	1545.6494	EGLN1	977.6949
EGLN2	2102.6704	EGLN2	1114.0701
EGLN3	1509.6442	EGLN3	717.8356
EGOT	80.1543	EGOT	67.8484
EGR1	6910.8444	EGR1	20743.2788
EGR2	498.0712	EGR2	981.0873
EGR3	590.2272	EGR3	1214.1464
EHBP1L1	1088.2983	EHBP1L1	1034.6875
EHBP1	672.096	EHBP1	925.4516
EHD1	1844.4063	EHD1	738.5294
EHD2	2984.1406	EHD2	3016.8773
EHD3	352.7647	EHD3	1350.1823
EHD4	1278.1826	EHD4	1978.7974
EHF	3003.4291	EHF	4335.1709
EHHADH	266.6095	EHHADH	339.9203
EHMT1	1122.5889	EHMT1	1549.9958
EHMT2	1259.3228	EHMT2	1283.0125
EI24	2752.2503	EI24	2959.5454
EID1	3265.3236	EID1	2999.5759
EID2B	30.8616	EID2B	49.1901
EID2	230.1757	EID2	191.6716
EID3	24.8607	EID3	60.7243
EIF1AD	422.2032	EIF1AD	467.136
EIF1AX	1975.5679	EIF1AX	1716.2242
EIF1B	582.0832	EIF1B	894.2414
EIF1	10044.1492	EIF1	9450.2587
EIF2AK1	5886.811	EIF2AK1	4096.5855
EIF2AK2	438.4912	EIF2AK2	401.323
EIF2AK3	954.9936	EIF2AK3	930.201
EIF2AK4	1149.1642	EIF2AK4	1763.0396
EIF2A	2482.6404	EIF2A	3021.6267
EIF2B1	927.9897	EIF2B1	1095.4118
EIF2B2	430.3472	EIF2B2	465.1005
EIF2B3	420.9173	EIF2B3	448.4777
EIF2B4	652.3789	EIF2B4	821.3044
EIF2B5	1113.159	EIF2B5	1352.8963
EIF2C1	986.2838	EIF2C1	1425.494
EIF2C2	138.877	EIF2C2	178.7804
EIF2C3	111.8731	EIF2C3	165.2108
EIF2C4	308.6155	EIF2C4	682.2152
EIF2S1	1258.8941	EIF2S1	1299.2961
EIF2S2	1096.0137	EIF2S2	1182.2577
EIF2S3	7806.6867	EIF2S3	5000.7633
EIF3A	5782.6832	EIF3A	7210.5843
EIF3B	4007.7154	EIF3B	3381.223
EIF3CL	9909.6357	EIF3CL	7944.9309
EIF3C	53.9306	EIF3C	69.3173
EIF3D	5474.925	EIF3D	5856.6703
EIF3E	7789.1127	EIF3E	7128.8271
EIF3F	4033.0047	EIF3F	2874.0565
EIF3G	3170.4886	EIF3G	3009.3665
EIF3H	7088.2983	EIF3H	5088.9662
EIF3I	3243.4634	EIF3I	3518.6532
EIF3J	994.4278	EIF3J	1153.0829
EIF3K	3075.0107	EIF3K	3345.9418
EIF3L	8597.5139	EIF3L	12415.5712
EIF3M	4088.5684	EIF3M	2465.8672
EIF4A1	7241.9374	EIF4A1	8372.3213
EIF4A2	5359.0913	EIF4A2	10539.5641
EIF4A3	1273.039	EIF4A3	1888.8983
EIF4B	13722.3018	EIF4B	14551.4749
EIF4E2	1172.3103	EIF4E2	1115.427
EIF4E3	1075.4393	EIF4E3	1450.9372
EIF4EBP1	538.3626	EIF4EBP1	184.8868
EIF4EBP2	5093.8706	EIF4EBP2	5572.3857
EIF4EBP3	876.6952	EIF4EBP3	346.315
EIF4ENIF1	663.952	EIF4ENIF1	917.9883
EIF4E	351.4788	EIF4E	320.9227
EIF4G1	6439.3485	EIF4G1	6553.8122
EIF4G2	15487.784	EIF4G2	16009.1595
removed	removed	EIF4G3	1668.7304
EIF4H	5384.0549	EIF4H	6120.2612
EIF5A2	121.303	EIF5A2	83.1142
EIF5AL1	824.2606	EIF5AL1	757.8662
