gene_id	TCGA-BH-A0DP-01A-21R-A056-07	gene_id	TCGA-BH-A0DP-11A-12R-A089-07
ACOT13	348.6027	ACOT13	525.2582
ACOT1	337.7625	ACOT1	406.7509
ACOT2	154.3078	ACOT2	264.2694
ACOT4	263.1805	ACOT4	156.3905
ACOT7	339.9057	ACOT7	225.2566
ACOT8	215.075	ACOT8	183.5705
ACOT9	315.9023	ACOT9	475.9562
ACOX1	864.4192	ACOX1	1417.0774
ACOX2	264.4664	ACOX2	305.6569
ACOX3	355.3365	ACOX3	861.6742
ACP1	1329.1899	ACP1	1239.2503
ACP2	1007.7154	ACP2	848.4437
ACP5	1926.2752	ACP5	949.877
ACP6	331.333	ACP6	319.2265
ACPL2	373.7677	ACPL2	581.1212
ACPP	30.0043	ACPP	110.9321
ACRBP	15.8594	ACRBP	14.9266
removed	removed	ACRC	14.5874
removed	removed	ACSBG1	18.9975
removed	removed	ACSBG2	6.4456
ACSF2	1073.069	ACSF2	1338.9874
ACSF3	315.4736	ACSF3	348.0621
ACSL1	1460.7801	ACSL1	2875.0742
ACSL3	4238.7484	ACSL3	3227.5464
ACSL4	886.4123	ACSL4	1292.8505
ACSL5	618.5169	ACSL5	642.1847
ACSL6	8.5727	removed	removed
ACSM1	78.4398	ACSM1	81.7573
ACSM3	66.7681	ACSM3	223.8996
ACSM5	22.7175	ACSM5	52.5825
ACSS1	744.1063	ACSS1	1166.6525
ACSS2	855.1222	ACSS2	1441.4384
ACSS3	227.6039	ACSS3	519.7184
ACTA1	30.8616	removed	removed
ACTA2	7784.4106	ACTA2	36120.6344
removed	removed	ACTBL2	8.1418
ACTB	117259.7514	ACTB	64724.2812
ACTG1	65996.5709	ACTG1	51841.5741
ACTG2	295.3279	ACTG2	6462.2169
ACTL6A	792.1132	ACTL6A	951.9125
ACTN1	6196.7424	ACTN1	12749.0459
ACTN2	9.4299	removed	removed
ACTN4	8295.2165	ACTN4	14376.7755
ACTR10	947.2782	ACTR10	1044.1862
ACTR1A	2212.1732	ACTR1A	2346.5355
ACTR1B	937.4196	ACTR1B	1474.6841
ACTR2	5637.3768	ACTR2	4027.4786
ACTR3B	228.0326	ACTR3B	139.4284
ACTR3C	30.8616	ACTR3C	62.4205
ACTR3	3726.5324	ACTR3	2550.7591
ACTR5	155.5937	ACTR5	195.7425
ACTR6	585.9408	ACTR6	504.7918
ACTR8	325.3322	ACTR8	514.6298
ACVR1B	1182.1689	ACVR1B	1577.4743
ACVR1C	56.5795	ACVR1C	159.4436
ACVR1	992.2846	ACVR1	1473.3271
ACVR2A	249.8928	ACVR2A	634.7214
ACVR2B	415.345	ACVR2B	472.5638
ACVRL1	407.201	ACVRL1	465.779
ACY1	514.7878	ACY1	496.65
ACY3	10.2872	ACY3	5.7671
ACYP1	57.0081	ACYP1	52.9217
ACYP2	77.5825	ACYP2	135.3575
ADAL	147.8783	ADAL	173.0133
ADAM10	1639.5199	ADAM10	2685.0988
ADAM11	14.1449	ADAM11	13.5697
ADAM12	2912.9876	ADAM12	202.8666
ADAM15	4233.0047	ADAM15	1626.6746
ADAM17	744.9636	ADAM17	892.5452
ADAM19	233.6048	ADAM19	61.742
ADAM22	103.7291	ADAM22	97.7016
ADAM23	48.8641	ADAM23	70.9015
ADAM28	165.4522	ADAM28	106.5219
removed	removed	ADAM29	9.838
ADAM32	20.5744	ADAM32	6.7848
ADAM33	75.4393	ADAM33	290.6047
ADAM6	25940.1072	ADAM6	29615.5949
ADAM8	127.3039	ADAM8	49.1901
ADAM9	1789.1127	ADAM9	1965.9062
ADAMDEC1	28.2898	ADAMDEC1	6.1064
ADAMTS10	98.1569	ADAMTS10	92.613
ADAMTS12	302.186	ADAMTS12	79.0433
ADAMTS13	84.012	ADAMTS13	61.0635
ADAMTS14	114.0163	removed	removed
ADAMTS15	446.2066	ADAMTS15	1137.817
ADAMTS16	738.5341	ADAMTS16	9.1595
ADAMTS17	42.4346	ADAMTS17	51.5648
ADAMTS18	65.5808	ADAMTS18	26.4609
ADAMTS1	1040.2915	ADAMTS1	2278.0087
ADAMTS2	837.9769	ADAMTS2	287.3378
ADAMTS3	34.7192	ADAMTS3	60.0458
ADAMTS4	387.4839	ADAMTS4	45.4584
ADAMTS5	267.4668	ADAMTS5	1709.7786
ADAMTS6	103.7291	ADAMTS6	19.676
ADAMTS7	163.7377	ADAMTS7	42.066
ADAMTS8	15.8594	ADAMTS8	246.6288
ADAMTS9	258.8941	ADAMTS9	174.031
ADAMTSL1	120.4458	ADAMTSL1	98.0409
ADAMTSL2	209.1727	ADAMTSL2	49.1901
ADAMTSL3	112.3018	ADAMTSL3	255.1098
ADAMTSL4	159.88	ADAMTSL4	298.5328
ADAMTSL5	110.5872	ADAMTSL5	84.4712
ADAP1	375.8894	ADAP1	185.6433
ADAP2	324.9036	ADAP2	121.4486
ADARB1	496.3566	ADARB1	734.4585
ADARB2	7.2868	ADARB2	10.5165
ADAR	13915.1307	ADAR	7183.1058
ADAT1	253.7505	ADAT1	353.1507
ADAT2	26.5752	ADAT2	94.9877
ADAT3	87.4411	ADAT3	18.6583
ADA	85.2979	ADA	32.228
ADCK1	126.4466	ADCK1	128.2334
ADCK2	1452.2075	ADCK2	682.2152
ADCK4	689.2413	ADCK4	455.2625
ADCK5	80.5829	ADCK5	64.4559
ADCY1	821.2602	ADCY1	448.1384
ADCY2	300.9001	ADCY2	62.4205
ADCY3	792.6061	ADCY3	880.2002
ADCY4	95.5851	ADCY4	216.097
ADCY5	102.0146	ADCY5	386.7356
ADCY6	1390.4844	ADCY6	2444.5764
ADCY7	522.9318	ADCY7	226.6135
ADCY9	2278.1826	ADCY9	1101.8573
removed	removed	ADCYAP1R1	14.2482
ADCYAP1	12.4303	ADCYAP1	15.2659
ADC	300.4715	ADC	158.7652
ADD1	5050.5787	ADD1	6710.2027
ADD2	27.4325	ADD2	23.7469
ADD3	1039.4342	ADD3	2653.5493
removed	removed	ADH1A	27.4786
ADH1B	1000.8573	ADH1B	3032.8216
ADH1C	7.2868	ADH1C	131.9651
removed	removed	ADH4	12.2127
ADH5	1824.2606	ADH5	3164.7867
removed	removed	ADH7	37.3166
ADHFE1	69.8671	ADHFE1	199.8134
ADI1	1603.5148	ADI1	1485.5398
ADIPOQ	1342.9061	ADIPOQ	2863.54
ADIPOR1	4817.8311	ADIPOR1	2575.1845
ADIPOR2	2015.4308	ADIPOR2	2259.0111
ADK	621.5174	ADK	404.7155
ADM2	176.168	ADM2	51.2255
ADM	330.0471	ADM	155.712
ADNP2	1035.1479	ADNP2	846.069
ADNP	2957.1367	ADNP	3272.3264
ADORA1	149.5928	ADORA1	193.3678
ADORA2A	1031.6202	ADORA2A	46.1369
ADORA2B	92.156	ADORA2B	90.9168
ADORA3	311.1873	ADORA3	88.5421
ADO	602.6575	ADO	573.3186
ADPGK	706.8367	ADPGK	829.263
ADPRHL1	99.0141	ADPRHL1	130.9473
ADPRHL2	633.5191	ADPRHL2	549.5717
ADPRH	233.6048	ADPRH	406.7509
ADRA1A	5.5722	ADRA1A	10.1773
removed	removed	ADRA1B	8.1418
ADRA1D	6.4295	removed	removed
ADRA2A	1177.4539	ADRA2A	1876.3464
ADRA2B	16.288	ADRA2B	22.7292
ADRA2C	46.721	ADRA2C	57.3319
ADRB1	16.288	ADRB1	6.7848
ADRB2	58.294	ADRB2	150.2841
ADRBK1	1550.3643	ADRBK1	1240.9465
ADRBK2	889.4128	ADRBK2	1008.2266
ADRM1	1147.4496	ADRM1	861.3349
ADSL	772.3961	ADSL	732.423
ADSSL1	120.4458	ADSSL1	117.3777
ADSS	3644.6635	ADSS	1365.109
AEBP1	25327.4754	AEBP1	5338.3089
AEBP2	657.9511	AEBP2	660.5038
AEN	336.4766	AEN	393.5205
AES	6218.174	AES	6435.0776
AFAP1L1	218.6027	AFAP1L1	299.8897
AFAP1L2	419.2027	AFAP1L2	1484.5221
AFAP1	1733.3691	AFAP1	1331.1814
removed	removed	AFARP1	6.1064
AFF1	2549.0784	AFF1	2569.7566
AFF2	46.2923	AFF2	49.1901
AFF3	2213.8877	AFF3	5426.851
AFF4	3849.9786	AFF4	3784.9207
AFG3L1	99.8714	AFG3L1	231.3629
AFG3L2	1585.5122	AFG3L2	1325.0276
AFMID	324.4749	AFMID	546.8578
AFP	5.1436	AFP	545.5008
AFTPH	2069.0099	AFTPH	2093.4611
AG2	168.8813	AG2	73.9547
AGAP11	26.5752	AGAP11	117.0554
AGAP1	763.8234	AGAP1	706.9799
AGAP2	65.6708	AGAP2	76.2276
AGAP3	1317.6168	AGAP3	1419.3877
AGAP4	118.3026	AGAP4	219.4894
AGAP5	47.874	AGAP5	46.9714
AGAP6	54.865	AGAP6	75.9902
removed	removed	AGAP7	8.481
AGAP8	6.8581	AGAP8	38.3343
AGA	526.7895	AGA	509.8804
AGBL2	39.0056	AGBL2	28.1571
AGBL3	5.5722	removed	removed
AGBL4	19.2885	AGBL4	11.5342
AGBL5	607.8354	AGBL5	963.5349
removed	removed	AGER	34.6027
AGFG1	1523.3605	AGFG1	1548.6388
AGFG2	548.2212	AGFG2	398.2699
AGGF1	1021.4316	AGGF1	894.9199
AGK	602.6575	AGK	654.0582
AGL	648.9498	AGL	1441.7776
AGMAT	15.4308	AGMAT	5.7671
AGPAT1	1386.7895	AGPAT1	1636.1801
AGPAT2	1161.1659	AGPAT2	1058.7736
AGPAT3	1665.6665	AGPAT3	2045.628
AGPAT4	180.883	AGPAT4	351.1153
AGPAT5	636.5195	AGPAT5	469.1714
AGPAT6	2354.4792	AGPAT6	1629.3783
AGPAT9	65.5808	AGPAT9	83.1142
AGPHD1	18.0026	AGPHD1	60.0458
AGPS	1303.0433	AGPS	803.3246
AGR2	24729.5328	AGR2	7073.8699
AGR3	3927.9897	AGR3	1134.4246
AGRN	7540.5058	AGRN	4903.0617
AGTPBP1	179.5971	AGTPBP1	334.4924
AGTR1	103.7291	AGTR1	289.034
AGTRAP	991.4273	AGTRAP	718.8534
AGT	361.766	AGT	11.8735
AGXT2L2	302.8118	AGXT2L2	473.0998
AHCTF1	2026.1466	AHCTF1	1531.3375
AHCYL1	3111.8731	AHCYL1	4476.2955
AHCYL2	638.6627	AHCYL2	764.9902
AHCY	3319.76	AHCY	2882.8768
AHDC1	997.4282	AHDC1	1035.7052
AHI1	282.8976	AHI1	427.4447
AHNAK2	2337.3339	AHNAK2	718.1749
AHNAK	50275.1822	AHNAK	122668.476
AHRR	10.2872	AHRR	11.195
AHR	3073.7248	AHR	1633.4492
AHSA1	1087.4411	AHSA1	1554.7451
AHSA2	204.0291	AHSA2	418.9636
AIDA	1712.036	AIDA	785.4533
AIF1L	546.9353	AIF1L	1355.9495
AIF1	528.0754	AIF1	274.4466
AIFM1	788.2555	AIFM1	673.395
AIFM2	288.8984	AIFM2	438.3004
AIFM3	28.7184	AIFM3	17.3013
AIG1	766.8238	AIG1	1100.8396
AIM1L	22.2889	removed	removed
AIM1	2297.4711	AIM1	4393.5205
AIM2	10.2872	removed	removed
AIMP1	1000.2572	AIMP1	1133.9496
AIMP2	353.652	AIMP2	201.9472
AIP	1042.8633	AIP	773.8105
AJAP1	20.5744	AJAP1	21.3722
AK1	425.6322	AK1	402.3408
AK2	1769.8243	AK2	2179.6285
AK3L1	287.1839	AK3L1	474.9385
AK3	1102.0146	AK3	1606.6491
AK5	369.91	AK5	3836.8247
AK7	107.1582	AK7	35.6204
AKAP10	437.2053	AKAP10	651.005
AKAP11	1479.2113	AKAP11	1889.5768
AKAP12	1145.7351	AKAP12	2191.502
AKAP13	2523.7891	AKAP13	3811.7208
AKAP14	8.144	removed	removed
AKAP1	1470.21	AKAP1	2846.9171
AKAP2	571.0116	AKAP2	1459.9135
AKAP3	61.7231	AKAP3	82.775
AKAP5	72.4389	AKAP5	106.8612
AKAP6	60.0086	AKAP6	225.5958
AKAP7	159.0227	AKAP7	205.9198
AKAP8L	609.5156	AKAP8L	1032.9913
AKAP8	566.2237	AKAP8	691.714
AKAP9	6999.5714	AKAP9	3694.0039
AKD1	100.3	AKD1	202.8666
AKIRIN1	880.8401	AKIRIN1	1002.4595
AKIRIN2	550.793	AKIRIN2	617.7593
removed	removed	AKNAD1	11.2187
AKNA	771.9674	AKNA	501.3994
AKR1A1	2029.5757	AKR1A1	1510.3045
AKR1B10	5.1436	AKR1B10	226.9528
AKR1B15	7.7154	removed	removed
AKR1B1	900.1286	AKR1B1	707.3191
AKR1C1	223.7462	AKR1C1	1366.8052
AKR1C2	142.7347	AKR1C2	897.973
AKR1C3	366.0523	AKR1C3	801.2891
AKR1E2	27.0039	AKR1E2	13.2304
AKR7A2	905.2722	AKR7A2	1106.2675
AKR7A3	133.7334	AKR7A3	229.3275
AKR7L	7.7154	AKR7L	10.1773
AKT1S1	1086.5838	AKT1S1	787.3802
AKT1	3234.0334	AKT1	3105.4194
AKT2	2162.4518	AKT2	2624.7138
AKT3	596.228	AKT3	985.1582
AKTIP	555.6622	AKTIP	621.6097
ALAD	1309.9014	ALAD	1945.2125
ALAS1	813.9734	ALAS1	654.3974
removed	removed	ALAS2	8.8203
ALB	35.5765	ALB	1499.788
ALCAM	5923.2748	ALCAM	7358.833
ALDH16A1	696.9567	ALDH16A1	427.4447
ALDH18A1	2467.6382	ALDH18A1	1771.5207
ALDH1A1	593.2276	ALDH1A1	1778.3055
ALDH1A2	43.7205	ALDH1A2	125.1802
ALDH1A3	496.5581	ALDH1A3	687.5244
ALDH1B1	1070.7244	ALDH1B1	482.0626
ALDH1L1	36.4338	ALDH1L1	181.4944
ALDH1L2	493.3562	ALDH1L2	273.0896
ALDH2	2653.6648	ALDH2	4905.4363
ALDH3A1	5.5722	ALDH3A1	351.4545
ALDH3A2	2128.5898	ALDH3A2	3088.1181
ALDH3B1	880.8401	ALDH3B1	179.1197
ALDH3B2	401.2002	ALDH3B2	4896.6161
ALDH4A1	411.0587	ALDH4A1	992.6215
ALDH5A1	248.1783	ALDH5A1	642.8632
ALDH6A1	567.1239	ALDH6A1	805.1565
ALDH7A1	1231.8903	ALDH7A1	3476.5499
ALDH9A1	3704.2435	ALDH9A1	2457.8068
ALDOA	27102.8718	ALDOA	23051.1407
ALDOC	178.3112	ALDOC	862.6919
ALG10B	317.6168	ALG10B	269.6972
ALG10	141.4488	ALG10	81.7573
removed	removed	ALG11	11.5342
ALG12	610.3729	ALG12	502.4171
ALG13	399.057	ALG13	517.0045
ALG14	167.1667	ALG14	185.9045
ALG1L	6.9096	ALG1L	6.2149
ALG1	981.8388	ALG1	487.0427
ALG2	820.8315	ALG2	752.4383
ALG3	543.0776	ALG3	389.7888
ALG5	454.3506	ALG5	692.7317
ALG6	501.0716	ALG6	194.3855
ALG8	1133.7334	ALG8	672.038
ALG9	678.0969	ALG9	596.7738
ALKBH1	254.1792	ALKBH1	241.2009
ALKBH2	296.6138	ALKBH2	283.9454
ALKBH3	412.3446	ALKBH3	494.2753
ALKBH4	349.3356	ALKBH4	254.5297
ALKBH5	2269.1384	ALKBH5	2386.3659
ALKBH6	85.2979	ALKBH6	63.7775
ALKBH7	927.9897	ALKBH7	439.9966
ALKBH8	276.0394	ALKBH8	292.7657
ALK	6.8581	ALK	20.0153
removed	removed	ALMS1P	8.481
ALMS1	1036.4338	ALMS1	1111.3561
removed	removed	ALOX12P2	19.3368
removed	removed	ALOX12	8.1689
ALOX15B	272.6104	ALOX15B	1304.0455
removed	removed	ALOX15	6.7848
ALOX5AP	739.82	ALOX5AP	257.4845
ALOX5	431.2045	ALOX5	422.6953
ALOXE3	18.0026	ALOXE3	16.6228
ALPK1	1116.5881	ALPK1	863.0311
ALPK2	29.147	ALPK2	5.7671
ALPK3	165.0236	ALPK3	165.2108
ALPL	296.1852	ALPL	1183.9539
ALS2CL	126.018	ALS2CL	223.2211
ALS2CR11	7.7154	ALS2CR11	6.7848
ALS2CR4	530.6472	ALS2CR4	2008.6507
ALS2CR8	156.4509	ALS2CR8	231.7021
ALS2	598.3712	ALS2	749.3851
ALX3	31.2902	ALX3	50.2078
removed	removed	ALX4	89.8991
AMACR	327.904	AMACR	222.5426
AMBRA1	1228.8898	AMBRA1	1266.7289
AMD1	785.6837	AMD1	1145.6195
AMDHD1	21.4316	AMDHD1	42.066
AMDHD2	500.823	AMDHD2	193.6664
AMFR	3133.3048	AMFR	4557.3743
AMH	8.144	removed	removed
AMICA1	121.7317	AMICA1	88.8814
AMIGO1	93.4419	AMIGO1	195.4033
AMIGO2	1588.5084	AMIGO2	3172.9251
AMIGO3	77.1539	AMIGO3	40.0305
AMMECR1L	678.9541	AMMECR1L	732.0838
AMMECR1	706.8153	AMMECR1	200.8311
AMN1	324.4749	AMN1	258.8415
AMOTL1	1123.0176	AMOTL1	3748.6218
AMOTL2	3675.0964	AMOTL2	2561.2755
AMOT	1520.7887	AMOT	1049.9534
AMPD1	15.8594	AMPD1	39.352
AMPD2	807.1153	AMPD2	569.587
AMPD3	217.3168	AMPD3	186.583
AMPH	976.8538	AMPH	37.9951
AMT	69.7557	AMT	174.4788
removed	removed	AMY1A	5.4279
AMY2B	106.3909	AMY2B	218.2309
AMZ1	27.8611	AMZ1	17.3013
AMZ2P1	202.7432	AMZ2P1	213.7223
AMZ2	1460.3515	AMZ2	1297.5999
ANAPC10	96.0137	ANAPC10	187.94
ANAPC11	601.8003	ANAPC11	503.0956
ANAPC13	1449.1084	ANAPC13	1071.1356
ANAPC16	1710.2443	ANAPC16	2375.0318
ANAPC1	715.8165	ANAPC1	928.844
ANAPC2	571.3673	ANAPC2	679.8406
ANAPC4	430.7758	ANAPC4	556.0173
ANAPC5	1741.5345	ANAPC5	2256.2972
ANAPC7	825.5465	ANAPC7	873.8869
ANGEL1	551.6502	ANGEL1	660.843
ANGEL2	1221.6031	ANGEL2	631.6682
ANGPT1	74.5821	ANGPT1	268.001
ANGPT2	456.4938	ANGPT2	123.8233
ANGPTL1	47.5782	ANGPTL1	232.0414
ANGPTL2	1957.5654	ANGPTL2	2670.8506
ANGPTL4	237.8911	ANGPTL4	315.1556
removed	removed	ANGPTL5	7.1241
ANGPTL6	7.1153	removed	removed
ANGPTL7	9.0013	ANGPTL7	783.6485
ANG	471.2816	ANG	572.0058
ANK1	8.5727	ANK1	5.0886
ANK2	310.7587	ANK2	680.519
ANK3	1128.1612	ANK3	2087.3548
ANKAR	30.8616	ANKAR	46.1369
ANKDD1A	37.291	ANKDD1A	98.0409
ANKFN1	8.144	removed	removed
ANKFY1	1575.225	ANKFY1	2391.9939
ANKHD1-EIF4EBP3	1596.0094	ANKHD1-EIF4EBP3	885.5195
ANKHD1	2315.5508	ANKHD1	3226.142
ANKH	2216.4595	ANKH	3389.0255
ANKIB1	1550.3643	ANKIB1	1399.0332
ANKK1	19.2885	ANKK1	38.6736
removed	removed	ANKLE1	6.7848
ANKLE2	1309.0441	ANKLE2	1457.0435
ANKMY1	337.3339	ANKMY1	231.0237
ANKMY2	585.0836	ANKMY2	575.6933
ANKRA2	358.3369	ANKRA2	463.4043
ANKRD10	1152.5932	ANKRD10	1197.2216
ANKRD11	1486.9953	ANKRD11	2902.8751
ANKRD12	1669.9529	ANKRD12	1569.6718
ANKRD13A	915.1307	ANKRD13A	1549.9958
ANKRD13B	210.4586	ANKRD13B	88.2029
ANKRD13C	595.7994	ANKRD13C	499.7032
ANKRD13D	388.7698	ANKRD13D	368.7558
ANKRD16	172.3103	ANKRD16	173.6918
ANKRD17	2216.8881	ANKRD17	3250.2756
ANKRD19	124.3035	ANKRD19	49.8685
ANKRD20A3	5.1436	ANKRD20A3	13.5697
removed	removed	ANKRD20B	6.7848
ANKRD22	157.3082	ANKRD22	66.1521
ANKRD23	14.5735	ANKRD23	43.4229
ANKRD24	102.8718	ANKRD24	30.1925
ANKRD26	173.1676	ANKRD26	250.3604
ANKRD27	520.7887	ANKRD27	916.6313
ANKRD28	1741.1059	ANKRD28	1409.2104
ANKRD29	155.5937	ANKRD29	213.0438
ANKRD30A	1228.4612	ANKRD30A	1724.0268
ANKRD30B	150.0214	ANKRD30B	118.0561
ANKRD32	199.3142	ANKRD32	146.8917
ANKRD34A	16.288	ANKRD34A	30.5318
ANKRD34C	7.7154	removed	removed
ANKRD35	92.156	ANKRD35	127.5549
ANKRD36BP1	153.4505	ANKRD36BP1	73.9547
ANKRD36B	19.7171	ANKRD36B	51.2255
ANKRD36	98.1569	ANKRD36	257.8238
ANKRD37	52.3703	ANKRD37	123.0464
ANKRD39	110.1586	ANKRD39	111.6106
