gene_id	TCGA-E2-A1LH-01A-11R-A14D-07	gene_id	TCGA-E2-A1LH-11A-22R-A14D-07
COL6A3	10860.8914	COL6A3	1082.4149
COL6A4P2	6.174	removed	removed
COL6A6	70.2296	COL6A6	21.0829
COL7A1	130.4264	COL7A1	540.4887
COL8A1	153.579	COL8A1	146.6219
COL8A2	582.6741	COL8A2	1440.345
COL9A1	1507.2352	removed	removed
COL9A2	109.589	COL9A2	598.9459
COL9A3	952.3442	COL9A3	86.2482
COLEC11	37.0442	COLEC11	7.1874
COLEC12	199.1125	COLEC12	362.2425
COLQ	36.2724	COLQ	33.0618
COMMD10	280.9184	COMMD10	376.138
COMMD1	307.158	COMMD1	284.6191
COMMD2	568.7826	COMMD2	917.1059
COMMD3	936.8783	COMMD3	693.8093
COMMD4	1671.6188	COMMD4	710.1102
COMMD5	1036.5503	COMMD5	484.9066
COMMD6	2279.7608	COMMD6	1583.6128
COMMD7	1380.6676	COMMD7	1135.1222
COMMD8	173.6446	COMMD8	193.1001
COMMD9	901.4085	COMMD9	716.3392
COMP	1651.5532	COMP	31.6243
COMTD1	256.2223	COMTD1	78.1025
COMT	3554.6981	COMT	2603.7374
COPA	12116.5348	COPA	5121.3512
COPB1	2352.3056	COPB1	3200.7667
COPB2	2648.6591	COPB2	3355.5343
COPE	3269.3498	COPE	1493.7614
COPG2	524.0208	COPG2	779.5879
COPG	6559.9074	COPG	3500.2396
COPS2	1421.5705	COPS2	1804.5041
COPS3	767.1233	COPS3	875.8984
COPS4	292.4947	COPS4	892.6689
COPS5	1845.2634	COPS5	1081.9358
COPS6	1822.8825	COPS6	1496.8855
COPS7A	2221.1075	COPS7A	1535.218
COPS7B	1078.1401	COPS7B	710.1102
COPS8	1088.1574	COPS8	828.4092
COPZ1	2836.1953	COPZ1	3646.8615
COPZ2	186.7644	COPZ2	146.1428
COQ10A	60.9686	COQ10A	160.9966
COQ10B	1346.7104	COQ10B	475.3234
COQ2	344.2022	COQ2	114.9976
COQ3	276.2879	COQ3	150.4552
COQ4	852.788	COQ4	940.1054
COQ5	463.0523	COQ5	605.1749
COQ6	303.6311	COQ6	460.4169
COQ7	358.0938	COQ7	540.4887
COQ9	1031.8348	COQ9	785.817
CORIN	25.4679	CORIN	14.8539
CORO1A	3776.1914	CORO1A	740.7762
CORO1B	4087.2082	CORO1B	1958.7925
CORO1C	2543.7006	CORO1C	1629.6119
CORO2A	280.9184	CORO2A	599.9042
CORO2B	64.0556	CORO2B	97.2688
CORO6	9.261	CORO6	25.3953
CORO7	984.3951	CORO7	380.1198
CORT	15.327	CORT	5.2707
COTL1	9227.0886	COTL1	1173.9339
COX10	301.7557	COX10	299.9521
COX11	729.6238	COX11	700.5894
COX15	589.5505	COX15	1250.6804
COX16	887.5169	COX16	770.4839
COX17	1165.3483	COX17	333.4931
COX18	387.4204	COX18	392.4293
COX19	289.7318	COX19	333.2295
COX4I1	7665.8306	COX4I1	4096.3105
COX4I2	27.7831	COX4I2	19.6454
COX4NB	491.6072	COX4NB	380.9296
COX5A	4305.6145	COX5A	862.482
COX5B	2289.7936	COX5B	951.6052
COX6A1	3837.1599	COX6A1	1453.7614
COX6B1	5138.3369	COX6B1	1878.7734
COX6B2	5.4023	COX6B2	25.8745
COX6C	7631.8734	COX6C	1260.6612
COX7A1	163.6118	COX7A1	189.2669
COX7A2L	1322.0143	COX7A2L	1826.0661
COX7A2	3473.6639	COX7A2	883.5649
COX7B	3779.2784	COX7B	1029.2286
COX7C	2913.3706	COX7C	2389.0752
COX8A	3779.2784	COX8A	1380.9296
CP110	229.2109	CP110	731.1931
removed	removed	CPA1	10.5414
CPA3	32.4137	CPA3	23.9578
CPA4	107.2738	CPA4	58.9363
CPA5	6.012	removed	removed
CPAMD8	438.3562	CPAMD8	788.6919
CPB1	7.7175	CPB1	442.2616
removed	removed	CPD	3174.413
removed	removed	CPEB1	24.437
CPEB2	278.6031	CPEB2	766.6507
CPEB3	78.7189	CPEB3	328.2223
CPEB4	483.1179	CPEB4	946.3345
CPE	536.3689	CPE	1294.2022
CPLX1	29.3266	CPLX1	114.9976
CPLX3	5.4023	CPLX3	8.6248
CPM	767.1233	CPM	356.0134
CPNE1	3747.2352	CPNE1	1929.1375
CPNE2	782.5584	CPNE2	492.0939
CPNE3	2529.809	CPNE3	3051.2698
CPNE4	44.7617	removed	removed
CPNE5	332.6259	CPNE5	67.0819
CPNE7	149.7202	CPNE7	22.5204
CPNE8	393.5944	CPNE8	149.0177
CPOX	288.6359	CPOX	345.472
removed	removed	CPO	5.7499
CPPED1	825.7766	CPPED1	508.8644
CPS1	18.5221	CPS1	155.2468
CPSF1	2525.9502	CPSF1	1555.3426
CPSF2	948.4854	CPSF2	990.4169
CPSF3L	3049.9711	CPSF3L	1430.2827
CPSF3	1124.4453	CPSF3	649.2573
CPSF4	552.5757	CPSF4	477.2401
CPSF6	1338.2211	CPSF6	1654.0489
CPSF7	2458.8076	CPSF7	2383.3253
CPT1A	1406.9072	CPT1A	2282.2233
CPT1B	801.2811	CPT1B	331.5285
CPT1C	46.3052	CPT1C	39.2908
CPT2	361.9525	CPT2	631.5285
CPVL	692.2632	CPVL	309.5352
CPXM1	978.5838	CPXM1	256.3488
CPXM2	825.7766	CPXM2	321.9933
CPZ	255.4505	CPZ	39.2908
CP	364.0131	CP	865.6588
CR1	96.4692	CR1	38.8117
CR2	50.9358	CR2	145.1845
CRABP1	3488.3272	CRABP1	339.2429
CRABP2	835.8094	CRABP2	3185.4336
CRADD	72.5449	CRADD	182.0795
CRAMP1L	696.9168	CRAMP1L	1254.4466
CRAT	835.8094	CRAT	1533.7805
CRB1	6.9458	CRB1	9.5831
CRB2	18.5221	CRB2	22.5204
CRB3	395.9097	CRB3	228.5577
CRBN	576.0139	CRBN	930.3546
CRCP	1166.12	CRCP	1062.2904
CREB1	1114.4125	CREB1	1321.035
CREB3L1	476.9439	CREB3L1	336.368
CREB3L2	4660.6213	CREB3L2	3339.2429
CREB3L4	1253.3282	CREB3L4	1816.9621
CREB3	824.781	CREB3	1175.7259
CREB5	232.2979	CREB5	75.7068
CREBBP	1430.0598	CREBBP	3747.4844
CREBL2	1244.8389	CREBL2	2276.9526
CREBZF	760.9493	CREBZF	1167.2257
CREG1	3555.4698	CREG1	3609.9665
CRELD1	901.4085	CRELD1	765.2132
CRELD2	2712.7146	CRELD2	448.4907
CREM	352.6915	CREM	240.5367
removed	removed	CRHBP	11.0206
CRHR1	118.0552	CRHR1	52.4054
CRIM1	1302.7204	CRIM1	6034.9784
CRIP1	1538.1053	CRIP1	385.242
CRIP2	3313.9109	CRIP2	1997.6042
removed	removed	CRIP3	5.7499
removed	removed	CRIPAK	276.4734
CRIPT	342.6587	CRIPT	422.6162
removed	removed	CRISP2	17.7288
removed	removed	CRISP3	6.229
CRISPLD1	1312.7532	CRISPLD1	1596.0709
CRISPLD2	1771.9467	CRISPLD2	297.0771
CRKL	1489.4849	CRKL	2489.6981
CRK	580.3589	CRK	1068.0402
CRLF1	637.4686	CRLF1	64.207
CRLF3	507.814	CRLF3	388.1169
CRLS1	1480.2238	CRLS1	685.6732
CRMP1	65.1206	CRMP1	80.1581
CRNKL1	725.4486	CRNKL1	1072.8318
CROCCL1	350.7081	CROCCL1	421.955
CROCCL2	78.7189	CROCCL2	96.3105
CROCC	753.2317	CROCC	551.5093
CROT	109.589	CROT	1407.2832
removed	removed	CRTAC1	258.7446
CRTAM	56.338	CRTAM	35.9368
CRTAP	2029.7125	CRTAP	3792.046
CRTC1	236.1567	CRTC1	448.4907
CRTC2	2291.3371	CRTC2	1063.2487
CRTC3	1165.3483	CRTC3	1281.7441
CRY1	348.061	CRY1	485.8649
CRY2	343.4304	CRY2	1483.4691
CRYAB	20642.0992	CRYAB	3975.563
CRYBB1	7.7175	removed	removed
CRYBB3	6.9458	removed	removed
CRYBG3	134.7714	CRYBG3	481.8927
removed	removed	CRYGN	11.9789
CRYGS	14.6633	CRYGS	12.9372
CRYL1	211.4605	CRYL1	426.9286
removed	removed	CRYM	15.8122
CRYZL1	495.6512	CRYZL1	331.1404
CRYZ	853.7912	CRYZ	827.6809
CSAD	264.7116	CSAD	462.3862
CSAG2	113.88	removed	removed
CSAG3	158.5491	removed	removed
CSDAP1	49.3922	CSDAP1	56.5405
CSDA	7242.1378	CSDA	3144.7053
CSDC2	10.8046	CSDC2	27.3119
CSDE1	7151.8426	CSDE1	16552.9468
CSE1L	3270.6926	CSE1L	1981.792
CSF1R	1352.1127	CSF1R	712.9851
CSF1	476.9439	CSF1	655.0072
CSF2RA	204.5148	CSF2RA	175.8505
CSF2RB	864.3643	CSF2RB	192.1418
CSF3R	275.5161	CSF3R	279.8275
CSGALNACT1	393.5944	CSGALNACT1	427.8869
CSGALNACT2	667.567	CSGALNACT2	434.116
CSK	3255.2576	CSK	1220.8912
removed	removed	CSMD1	19.6454
CSMD2	202.1995	CSMD2	5.2707
removed	removed	CSN1S1	12659.3196
removed	removed	CSN1S2A	1010.0623
removed	removed	CSN2	21718.2559
CSN3	15.4351	CSN3	13921.8975
CSNK1A1	3775.4196	CSNK1A1	6728.3182
CSNK1D	2724.291	CSNK1D	3301.3896
CSNK1E	3531.9159	CSNK1E	2433.0474
CSNK1G1	250.0482	CSNK1G1	716.3392
CSNK1G2	1092.0316	CSNK1G2	1027.3119
CSNK1G3	375.8441	CSNK1G3	824.6287
CSNK2A1P	141.2309	CSNK2A1P	402.9708
CSNK2A1	1387.6134	CSNK2A1	1126.0182
CSNK2A2	455.3347	CSNK2A2	548.6344
CSNK2B	3857.9973	CSNK2B	2244.3699
CSPG4	961.6052	CSPG4	178.2463
CSPG5	34.7289	CSPG5	17.7288
CSPP1	199.1125	CSPP1	456.9526
CSRNP1	445.3019	CSRNP1	1209.8706
CSRNP2	888.2886	CSRNP2	945.3761
removed	removed	CSRNP3	38.8117
CSRP1	4729.3074	CSRP1	19137.518
CSRP2BP	404.399	CSRP2BP	770.9631
CSRP2	174.4164	CSRP2	344.0345
CST1	3807.0615	removed	removed
CST2	30.8702	removed	removed
CST3	12052.4793	CST3	3769.0465
CST4	54.7945	removed	removed
CST6	35.5007	CST6	27.7911
removed	removed	CST7	79.0609
removed	removed	CST9	8.6248
CSTA	153.579	CSTA	140.8721
CSTB	11683.5809	CSTB	1689.5065
CSTF1	582.6741	CSTF1	695.2563
CSTF2T	605.055	CSTF2T	1143.747
CSTF2	208.3735	CSTF2	280.7858
CSTF3	739.3402	CSTF3	482.4581
CS	1792.0123	CS	3199.8083
CT62	9.261	CT62	100.6229
CTAG1B	1105.1515	removed	removed
CTAG2	30.8702	CTAG2	5.7499
CTAGE4	76.4036	CTAGE4	62.7695
CTAGE5	811.1287	CTAGE5	955.4384
CTAGE6	7.7175	CTAGE6	8.1457
CTAGE9	166.6988	CTAGE9	157.1634
CTBP1	2109.5041	CTBP1	2179.0944
CTBP2	1574.3778	CTBP2	2057.978
CTBS	315.6242	CTBS	477.2353
CTCFL	11.0515	CTCFL	9.6023
CTCF	912.9848	CTCF	1992.3335
CTDP1	557.978	CTDP1	575.4672
CTDSP1	4206.83	CTDSP1	3852.8989
CTDSP2	2505.8846	CTDSP2	8697.173
CTDSPL2	280.1466	CTDSPL2	702.4437
CTDSPL	761.721	CTDSPL	2061.8112
CTF1	213.0041	CTF1	244.3699
CTGF	2357.7079	CTGF	2687.1107
CTHRC1	1723.3263	CTHRC1	30.666
CTH	107.2738	CTH	86.7274
CTLA4	131.9699	removed	removed
CTNNA1	5396.8744	CTNNA1	9108.7686
CTNNAL1	138.1439	CTNNAL1	416.3872
CTNNB1	2709.6122	CTNNB1	14108.6919
CTNNBIP1	1791.2406	CTNNBIP1	1208.4332
CTNNBL1	1434.6903	CTNNBL1	839.4825
CTNND1	5081.9988	CTNND1	11141.8304
CTNND2	23.9244	CTNND2	378.0546
CTNS	302.2034	CTNS	399.1711
CTPS2	360.409	CTPS2	764.2549
CTPS	549.4887	CTPS	222.8079
CTR9	983.9861	CTR9	1827.0244
CTRL	10.0328	CTRL	6.7082
CTSA	6404.7849	CTSA	1377.9492
CTSB	40796.4499	CTSB	14373.2631
CTSC	5437.7773	CTSC	885.0024
CTSD	18232.6838	CTSD	15151.8927
CTSF	953.116	CTSF	2447.0532
CTSG	14.6633	CTSG	15.333
CTSH	4204.5148	CTSH	2027.7911
CTSK	3445.109	CTSK	718.735
CTSL1	3074.6672	CTSL1	1205.5582
CTSL2	3536.9477	CTSL2	84.3316
CTSO	463.824	CTSO	1275.0359
CTSS	4689.1762	CTSS	1696.2147
CTSW	552.5757	CTSW	123.6224
CTSZ	9645.3791	CTSZ	4277.9109
CTTNBP2NL	609.6855	CTTNBP2NL	820.3162
removed	removed	CTTNBP2	186.8711
CTTN	5687.0538	CTTN	3832.7743
CTU1	99.5562	CTU1	43.1241
CTU2	248.5279	CTU2	226.3872
CTXN1	474.6286	CTXN1	99.6646
CUBN	139.6874	CUBN	72.8318
CUEDC1	191.3949	CUEDC1	314.8059
CUEDC2	724.6768	CUEDC2	791.5668
CUL1	1901.6014	CUL1	1526.5932
CUL2	852.788	CUL2	752.276
CUL3	2116.1489	CUL3	2435.0743
CUL4A	2380.0888	CUL4A	1839.9617
CUL4B	1609.8784	CUL4B	2045.0407
CUL5	500.8682	CUL5	1008.6248
CUL7	1311.858	CUL7	1472.3383
CUL9	650.5885	CUL9	1101.1021
CUTA	3404.2061	CUTA	1856.7322
CUTC	284.5765	CUTC	295.0886
CUX1	821.9178	CUX1	1220.8912
CUX2	8.4893	CUX2	51.7489
CUZD1	43.8974	CUZD1	33.4739
CWC15	1530.3878	CWC15	745.5678
CWC22	456.1065	CWC22	841.3991
CWC25	202.1995	CWC25	451.3656
CWC27	328.7671	CWC27	426.4494
CWF19L1	419.0623	CWF19L1	544.8011
CWF19L2	259.3093	CWF19L2	626.2578
CX3CL1	1518.8115	CX3CL1	11188.7877
CX3CR1	43.99	CX3CR1	655.9655
removed	removed	CXADRP3	14.3747
CXADR	132.7417	CXADR	286.5357
CXCL10	2613.9302	CXCL10	91.5189
CXCL11	850.4727	CXCL11	16.7705
CXCL12	2360.7949	CXCL12	1917.5851
CXCL13	2243.4883	CXCL13	125.5391
CXCL14	2441.8291	CXCL14	5685.1941
CXCL16	4365.8113	CXCL16	1827.5036
CXCL17	74.0884	CXCL17	129.8515
CXCL1	71.0014	CXCL1	76.6651
CXCL2	18.5221	CXCL2	542.4054
CXCL3	5.4023	CXCL3	40.2492
CXCL5	13.8916	CXCL5	36.8951
CXCL6	21.6091	CXCL6	15.8122
CXCL9	16524.7926	CXCL9	288.9315
CXCR2P1	67.1426	CXCR2P1	9.104
CXCR2	5.4023	CXCR2	24.437
CXCR3	500.8682	CXCR3	57.0196
CXCR4	1832.9153	CXCR4	1309.5352
CXCR5	176.9477	CXCR5	39.2908
CXCR6	206.0583	CXCR6	76.6651
CXCR7	326.4519	CXCR7	175.8505
CXXC1	770.2103	CXXC1	959.7508
removed	removed	CXXC4	22.0412
CXXC5	233.8414	CXXC5	661.2362
CXorf21	77.1754	CXorf21	42.1658
CXorf23	111.9043	CXorf23	244.3699
CXorf26	750.1447	CXorf26	401.0541
CXorf36	371.9853	CXorf36	517.4892
CXorf38	174.4164	CXorf38	207.954
CXorf40A	276.2879	CXorf40A	494.4897
CXorf40B	228.4391	CXorf40B	557.7384
CXorf42	23.9244	CXorf42	39.2908
CXorf49B	8.4893	CXorf49B	5.2707
CXorf50B	5.4023	CXorf50B	7.6665
CXorf56	135.8287	CXorf56	230.9535
CXorf57	7.7175	CXorf57	68.9986
CXorf61	189.0797	removed	removed
CXorf65	5.4023	removed	removed
CYB561D1	175.1881	CYB561D1	634.4034
CYB561D2	443.7584	CYB561D2	327.3598
CYB561	3161.8754	CYB561	2564.4466
CYB5A	493.9224	CYB5A	1080.0192
CYB5B	1454.7559	CYB5B	1252.5156
CYB5D1	327.2236	CYB5D1	1090.5606
CYB5D2	497.0095	CYB5D2	660.2779
CYB5R1	1279.5678	CYB5R1	1976.0422
CYB5R2	5977.2333	CYB5R2	311.4518
CYB5R3	11573.9919	CYB5R3	3190.2252
CYB5R4	202.1995	CYB5R4	231.9118
CYB5RL	23.1526	CYB5RL	96.7897
CYBASC3	1501.8329	CYBASC3	1076.6651
CYBA	5008.6822	CYBA	720.6517
CYBB	1433.1468	CYBB	680.8816
CYBRD1	1410.766	CYBRD1	10372.3047
CYC1	2964.3064	CYC1	1264.9736
CYCS	2606.2126	CYCS	1258.2655
CYFIP1	6150.8779	CYFIP1	4138.4763
CYFIP2	496.2377	CYFIP2	499.7604
CYGB	621.2618	CYGB	323.9099
CYHR1	1247.1542	CYHR1	762.8174
CYLD	1531.9313	CYLD	1410.6373
CYP11A1	22.3809	CYP11A1	27.7911
CYP19A1	8.4893	removed	removed
CYP1B1	1285.7418	CYP1B1	609.0081
CYP20A1	536.3689	CYP20A1	730.7139
CYP21A2	76.7895	CYP21A2	65.333
CYP24A1	28.5549	CYP24A1	11.4998
removed	removed	CYP26A1	66.6028
CYP26B1	118.8501	CYP26B1	67.5611
CYP27A1	6472.6992	CYP27A1	1538.5721
CYP27B1	145.8615	CYP27B1	34.4993
CYP27C1	294.81	CYP27C1	6.229
removed	removed	CYP2A6	7.6665
removed	removed	CYP2B7P1	11.9789
CYP2C8	6.174	CYP2C8	6.229
CYP2D6	85.6647	CYP2D6	10.5414
CYP2D7P1	43.2182	CYP2D7P1	7.6665
CYP2E1	192.6066	CYP2E1	42.5635
CYP2J2	211.4605	CYP2J2	382.8462
CYP2R1	323.3648	CYP2R1	256.828
CYP2S1	144.318	CYP2S1	42.1658
CYP2U1	95.6975	CYP2U1	444.1782
CYP39A1	47.8487	CYP39A1	267.8486
removed	removed	CYP3A5	5.7499
CYP46A1	6.9458	CYP46A1	21.0829
CYP4B1	6.9458	CYP4B1	201.2458
CYP4F12	5.4023	CYP4F12	16.7705
CYP4F22	7.7175	CYP4F22	162.9133
removed	removed	CYP4F8	95.8313
CYP4V2	284.7772	CYP4V2	951.126
CYP4X1	16.9786	CYP4X1	1147.1011
removed	removed	CYP4Z1	743.6512
removed	removed	CYP4Z2P	210.8289
CYP51A1	898.3214	CYP51A1	1241.9741
CYP7B1	90.2952	CYP7B1	135.6013
CYR61	3932.0857	CYR61	9967.8965
CYS1	67.9143	CYS1	64.6862
CYSLTR1	33.9572	CYSLTR1	33.541
CYSLTR2	6.174	removed	removed
CYTH1	1196.9902	CYTH1	906.5644
CYTH2	1329.7318	CYTH2	1679.9233
CYTH3	548.717	CYTH3	757.5467
CYTH4	645.9579	CYTH4	234.3076
CYTIP	621.2618	CYTIP	184.4753
CYTL1	8.4893	CYTL1	15.8122
CYTSA	832.7224	CYTSA	2176.3297
CYTSB	279.3749	CYTSB	187.8294
CYYR1	292.4947	CYYR1	1061.8112
D2HGDH	218.4063	D2HGDH	485.3857
D4S234E	50.164	D4S234E	496.8855
DAAM1	263.9398	DAAM1	695.2563
DAAM2	318.8347	DAAM2	303.1433
DAB2IP	2097.6269	DAB2IP	3393.3876
DAB2	965.464	DAB2	1356.4926
DACH1	24.6961	DACH1	790.6085
DACH2	8.4893	removed	removed
DACT1	242.3307	DACT1	189.2669
DACT2	27.0114	DACT2	114.9976
DACT3	180.5904	DACT3	40.2492
DAD1	3214.3546	DAD1	2084.8107
DAG1	4293.2664	DAG1	4923.8141
DAGLA	572.6413	DAGLA	291.8064
DAGLB	413.66	DAGLB	419.2621
DAK	929.9633	DAK	1011.0206
DALRD3	387.1812	DALRD3	864.1447
DAP3	4130.4264	DAP3	1968.8548
DAPK1	830.4071	DAPK1	296.1188
DAPK2	206.83	DAPK2	327.264
DAPK3	1822.8825	DAPK3	645.9032
removed	removed	DAPL1	45.5199
DAPP1	705.383	DAPP1	172.4964
DAP	4944.6267	DAP	4446.574
DARC	588.8482	DARC	683.2774
DARS2	507.814	DARS2	447.5323
DARS	1175.3811	DARS	1714.9018
DAXX	1906.2319	DAXX	1672.736
DAZAP1	2274.3585	DAZAP1	1037.8534
DAZAP2	4235.3849	DAZAP2	7518.4475
DAZL	6.174	removed	removed
DBC1	41.6747	DBC1	475.8026
DBF4B	158.9813	DBF4B	125.0599
DBF4	422.9211	DBF4	158.3277
DBH	5.4023	removed	removed
DBI	5678.5645	DBI	3704.8395
DBN1	3364.8466	DBN1	977.9588
DBNDD1	2712.7146	DBNDD1	444.1782
DBNDD2	2144.0247	DBNDD2	907.4413
DBNL	1502.6047	DBNL	1693.8189
DBP	281.6901	DBP	339.679
DBR1	259.3093	DBR1	454.2405
DBT	371.2136	DBT	923.8141
DBX2	5.4023	removed	removed
DCAF10	672.9693	DCAF10	1228.0786
DCAF11	2216.4769	DCAF11	2843.3014
removed	removed	DCAF12L2	10.5414
DCAF12	1210.11	DCAF12	1417.8246
DCAF13	2031.9738	DCAF13	623.6128
DCAF15	844.2987	DCAF15	465.7403
DCAF16	549.4887	DCAF16	1125.5391
DCAF17	348.8327	DCAF17	573.0714
DCAF4L1	16.2068	DCAF4L1	6.7082
DCAF4	460.737	DCAF4	405.3666
DCAF5	790.2759	DCAF5	1737.4221
DCAF6	2979.7415	DCAF6	1887.3982
DCAF7	2470.3839	DCAF7	2443.6991
DCAF8	3072.3519	DCAF8	2753.2103
DCAKD	479.2591	DCAKD	1678.4859
DCBLD1	634.3816	DCBLD1	192.621
DCBLD2	675.2846	DCBLD2	1127.4557
removed	removed	DCDC1	6.0805
DCDC2	13.1198	DCDC2	570.7044
removed	removed	DCD	173.4547
DCHS1	376.6159	DCHS1	693.8189
DCHS2	111.1325	DCHS2	107.3311
DCI	2530.5807	DCI	729.2765
DCK	368.8983	DCK	411.5956
DCLK1	55.5663	DCLK1	219.9329
DCLK2	517.0751	DCLK2	88.644
DCLRE1A	149.7202	DCLRE1A	416.8663
DCLRE1B	178.2751	DCLRE1B	225.6828
DCLRE1C	557.978	DCLRE1C	307.6186
DCN	6475.0145	DCN	5655.0072
DCP1A	293.2664	DCP1A	966.459
DCP1B	264.7116	DCP1B	517.0101
DCP2	595.7939	DCP2	1482.9899
DCPS	1204.7077	DCPS	322.4724
DCST2	37.8159	DCST2	50.7906
DCTD	914.5283	DCTD	1424.0537
DCTN1	2436.9361	DCTN1	4225.9751
DCTN2	2262.7822	DCTN2	2391.471
DCTN3	643.6427	DCTN3	936.7513
DCTN4	1098.2057	DCTN4	2528.0307
DCTN5	728.5356	DCTN5	974.6047
DCTN6	236.1567	DCTN6	518.9267
DCTPP1	423.6928	DCTPP1	655.0072
removed	removed	DCT	11.4998
DCUN1D1	436.8127	DCUN1D1	506.9478
DCUN1D2	716.9593	DCUN1D2	275.0359
DCUN1D3	151.2637	DCUN1D3	143.2678
DCUN1D4	696.1219	DCUN1D4	790.6085
DCUN1D5	432.1821	DCUN1D5	262.0987
DCXR	703.0677	DCXR	1210.3498
removed	removed	DCX	60.8529
DDA1	1784.2948	DDA1	624.3412
DDAH1	1113.6407	DDAH1	1329.6598
DDAH2	2065.985	DDAH2	1970.2923
DDB1	5994.2118	DDB1	5770.0048
DDB2	399.7685	DDB2	647.3407
DDHD1	395.138	DDHD1	344.0345
DDHD2	443.7584	DDHD2	1029.2286
DDI2	10.2412	DDI2	121.9789
DDIT3	360.7409	DDIT3	253.3828
DDIT4L	16.9786	DDIT4L	64.6862
DDIT4	1658.4989	DDIT4	731.1931
DDN	6.174	removed	removed
DDOST	10291.3371	DDOST	4167.7048
DDO	13.1198	DDO	117.3934
DDR1	3572.4484	DDR1	7557.2592
DDR2	33.1854	DDR2	264.0153
DDRGK1	1298.0899	DDRGK1	942.9804
DDTL	445.4023	DDTL	226.1332
DDT	1541.2773	DDT	420.805
DDX10	403.6272	DDX10	626.2578
DDX11L2	13.1198	DDX11L2	36.8951
DDX11	828.8636	DDX11	345.9511
DDX12	120.3936	DDX12	45.999
DDX17	12946.1702	DDX17	14247.724
removed	removed	DDX18	1779.1088
DDX19A	590.3917	DDX19A	883.0858
DDX19B	821.1461	DDX19B	764.7341
DDX1	2307.5439	DDX1	2408.7207
DDX20	331.8541	DDX20	535.218
DDX21	584.9894	DDX21	1320.0767
DDX23	1809.7627	DDX23	2422.6162
DDX24	1683.9668	DDX24	3057.978
removed	removed	DDX25	19.1663
DDX26B	289.4077	DDX26B	291.3273
DDX27	2358.4796	DDX27	1171.0589
DDX28	314.1038	DDX28	315.2851
DDX31	188.3079	DDX31	395.7834
DDX39	3294.617	DDX39	432.1993
DDX3X	2880.957	DDX3X	8503.5937
DDX41	2195.6396	DDX41	1211.7873
DDX42	3074.6672	DDX42	3411.5956
removed	removed	DDX43	6.229
DDX46	754.0035	DDX46	1351.2218
DDX47	1343.0523	DDX47	1036.8951
DDX49	1045.7264	DDX49	791.0877
DDX50	457.65	DDX50	1174.8922
DDX51	628.2076	DDX51	720.6517
DDX52	334.9412	DDX52	535.218
DDX54	1208.5973	DDX54	1557.8198
DDX55	385.8769	DDX55	402.0125
DDX56	1963.3417	DDX56	1221.8495
DDX58	1065.792	DDX58	848.5865
DDX59	490.0637	DDX59	512.6977
DDX5	11217.4416	DDX5	11564.4466
DDX60L	289.4077	DDX60L	344.5137
DDX60	520.1621	DDX60	626.2578
DDX6	3323.1719	DDX6	4065.6445
DEAF1	601.1962	DEAF1	806.4207
DECR1	1765.7727	DECR1	1027.7911
DECR2	622.0336	DECR2	310.0144
DEDD2	783.3301	DEDD2	661.7154
DEDD	1613.143	DEDD	757.5132
DEF6	1003.28	DEF6	450.4073
DEF8	619.7183	DEF8	851.4614
removed	removed	DEFB132	35.9368
DEFB1	189.8514	DEFB1	160.0383
DEGS1	2323.7507	DEGS1	1657.8821
DEGS2	23.1526	DEGS2	403.4499
DEK	1799.7299	DEK	2468.1361
DEM1	205.2865	DEM1	155.2468
DENND1A	582.6741	DENND1A	762.3383
DENND1B	72.5449	DENND1B	155.2468
removed	removed	DENND1C	239.5783
DENND2A	24.6961	DENND2A	84.8107
DENND2C	16.4924	DENND2C	84.758
DENND2D	677.5998	DENND2D	701.0062
DENND3	736.2531	DENND3	357.93
DENND4A	207.6018	DENND4A	570.6756
DENND4B	1014.7791	DENND4B	879.2525
DENND4C	424.4646	DENND4C	1936.2722
DENND5A	872.0818	DENND5A	1496.4063
DENND5B	240.7872	DENND5B	263.5362
DENR	1035.6936	DENR	1387.6378
DEPDC1B	160.5248	DEPDC1B	7.6665
DEPDC1	237.7002	DEPDC1	21.5621
removed	removed	DEPDC4	16.2913
DEPDC5	241.5589	DEPDC5	422.6162
DEPDC6	489.2919	DEPDC6	1082.4149
DEPDC7	33.9572	DEPDC7	11.9789
DERA	598.1092	DERA	470.5319
DERL1	3690.5267	DERL1	1508.8644
DERL2	1113.6407	DERL2	560.6133
DERL3	1592.1281	DERL3	124.1016
DES	754.0035	DES	59.4154
DET1	176.7316	DET1	213.7039
DEXI	654.4472	DEXI	588.8836
DFFA	696.8937	DFFA	477.7192
DFFB	218.4063	DFFB	125.5391
DFNA5	111.9043	DFNA5	293.723
DFNB31	430.6386	DFNB31	488.7398
DFNB59	23.1526	DFNB59	39.2908
DGAT1	1395.1457	DGAT1	572.1562
DGAT2	3669.6894	DGAT2	686.6315
DGCR10	11.5763	removed	removed
DGCR11	26.2396	DGCR11	17.7288
DGCR14	910.6695	DGCR14	432.1993
DGCR2	4137.3722	DGCR2	4042.6449
DGCR5	198.3407	DGCR5	36.4159
DGCR6L	1104.3797	DGCR6L	745.0886
DGCR6	754.0035	DGCR6	333.9722
DGCR8	795.6782	DGCR8	1002.8749
DGCR9	43.2182	removed	removed
DGKA	1041.8676	DGKA	419.2621
DGKD	375.0724	DGKD	1444.1782
DGKE	172.8729	DGKE	278.39
DGKG	14.6633	DGKG	10.5414
