gene_id	TCGA-BH-A1EU-01A-11R-A137-07	gene_id	TCGA-BH-A1EU-11A-23R-A137-07
ACIN1	2709.8173	ACIN1	2755.2276
ACLY	2543.6152	ACLY	2295.818
ACMSD	16.9299	removed	removed
ACN9	100.1342	ACN9	134.0713
ACO1	2422.2153	ACO1	2195.572
ACO2	1437.0744	ACO2	1604.2989
ACOT11	16.7647	ACOT11	67.8229
ACOT13	347.0589	ACOT13	526.8573
ACOT1	475.4826	ACOT1	416.9742
ACOT2	277.0724	ACOT2	206.0271
ACOT4	203.5718	ACOT4	83.6408
ACOT7	124.4967	ACOT7	142.0664
ACOT8	287.5896	ACOT8	177.3493
ACOT9	376.7936	ACOT9	650.6765
ACOX1	1741.8664	ACOX1	2239.2374
ACOX2	754.4131	ACOX2	258.9176
ACOX3	366.0576	ACOX3	567.0357
ACP1	1280.8919	ACP1	1266.9127
ACP2	1373.387	ACP2	705.4121
ACP5	2203.1589	ACP5	661.1316
ACP6	393.3106	ACP6	407.7491
ACPL2	416.4344	ACPL2	558.4256
ACPP	35.305	ACPP	48.5855
ACRBP	28.4918	ACRBP	9.8401
ACRC	37.5761	ACRC	31.3653
removed	removed	ACSBG1	15.3752
removed	removed	ACSBG2	8.6101
ACSF2	414.7827	ACSF2	651.2915
ACSF3	178.7963	ACSF3	206.6421
ACSL1	4483.9476	ACSL1	7294.5879
ACSL3	3649.0141	ACSL3	3052.8905
ACSL4	1601.5278	ACSL4	2556.5806
ACSL5	1157.221	ACSL5	812.4231
ACSL6	36.5438	ACSL6	13.5301
ACSM1	41.7054	ACSM1	166.0517
ACSM3	77.1673	ACSM3	110.7749
ACSM5	120.574	ACSM5	127.3063
ACSS1	1040.5698	ACSS1	687.5769
ACSS2	1026.9433	ACSS2	1410.8241
ACSS3	385.2586	ACSS3	405.9041
ACTA2	4329.4952	ACTA2	25377.2571
removed	removed	ACTBL2	21.5252
ACTB	51338.5651	ACTB	65532.5953
ACTG1	25496.4385	ACTG1	44673.4317
ACTG2	244.6578	ACTG2	5709.7171
ACTL6A	1074.4296	ACTL6A	889.2989
ACTN1	3700.8362	ACTN1	8729.3973
ACTN4	4957.5183	ACTN4	9198.8192
ACTR10	1039.1246	ACTR10	1230.0123
ACTR1A	1813.5646	ACTR1A	2158.0566
ACTR1B	739.3414	ACTR1B	1067.0357
ACTR2	8863.6317	ACTR2	6108.2411
ACTR3B	141.8396	ACTR3B	148.2165
ACTR3C	26.0142	ACTR3C	36.9004
ACTR3	3783.834	ACTR3	3997.54
ACTR5	211.8303	ACTR5	217.7122
ACTR6	857.2313	ACTR6	590.4059
ACTR8	838.4433	ACTR8	626.6913
ACVR1B	1917.0022	ACVR1B	1183.8868
ACVR1C	210.3851	ACVR1C	627.9213
ACVR1	1120.4707	ACVR1	1375.1538
ACVR2A	434.1902	ACVR2A	733.7023
ACVR2B	573.3457	ACVR2B	648.2165
ACVRL1	619.7997	ACVRL1	571.3407
ACY1	427.9137	ACY1	342.3616
ACY3	10.1167	ACY3	30.1353
ACYP1	49.138	ACYP1	83.6408
ACYP2	87.9529	ACYP2	150.0615
ADAL	239.4962	ADAL	220.1722
ADAM10	2283.8856	ADAM10	2484.0098
ADAM11	5.7809	ADAM11	19.0652
ADAM12	4018.1687	ADAM12	375.7688
ADAM15	2135.6457	ADAM15	1934.8093
ADAM17	799.4219	ADAM17	935.4244
ADAM19	565.0872	ADAM19	132.2263
ADAM22	157.1178	ADAM22	91.6359
ADAM23	71.8489	ADAM23	20.2952
ADAM28	473.6244	ADAM28	207.8721
ADAM32	23.1238	ADAM32	23.3702
ADAM33	200.0619	ADAM33	645.1415
ADAM6	16687.3356	ADAM6	12112.9459
ADAM8	203.3653	ADAM8	34.4403
ADAM9	4109.6315	ADAM9	3287.2079
ADAMDEC1	264.2717	ADAMDEC1	23.3702
ADAMTS10	70.1972	ADAMTS10	65.8057
ADAMTS12	493.4448	ADAMTS12	116.8512
ADAMTS13	73.5006	ADAMTS13	57.8106
ADAMTS14	90.224	removed	removed
ADAMTS15	448.436	ADAMTS15	174.0467
ADAMTS16	216.3725	ADAMTS16	164.8216
ADAMTS17	20.2333	ADAMTS17	27.6753
ADAMTS18	48.7251	ADAMTS18	15.3752
ADAMTS19	175.4929	removed	removed
ADAMTS1	977.8053	ADAMTS1	4532.5953
ADAMTS2	675.9575	ADAMTS2	416.3592
ADAMTS3	87.9529	ADAMTS3	278.5978
ADAMTS4	210.798	ADAMTS4	68.8807
ADAMTS5	996.1804	ADAMTS5	4258.3026
ADAMTS6	128.2131	ADAMTS6	21.5252
ADAMTS7	90.6369	ADAMTS7	30.1353
ADAMTS8	17.5493	ADAMTS8	36.2854
ADAMTS9	422.0089	ADAMTS9	418.8192
ADAMTSL1	330.1332	ADAMTSL1	140.8364
ADAMTSL2	49.3445	ADAMTSL2	31.9803
ADAMTSL3	142.2525	ADAMTSL3	294.5879
ADAMTSL4	335.7076	ADAMTSL4	869.6187
ADAMTSL5	27.4595	ADAMTSL5	35.0554
ADAP1	131.0024	ADAP1	70.984
ADAP2	559.5127	ADAP2	274.9077
ADARB1	514.7104	ADARB1	722.0172
ADARB2	8.2585	removed	removed
ADAR	14595.2307	ADAR	7461.8696
ADAT1	430.0609	ADAT1	314.2681
ADAT2	135.0263	ADAT2	247.2325
ADAT3	7.8456	ADAT3	12.3001
ADA	100.1342	ADA	47.9705
ADCK1	93.1145	ADCK1	99.016
ADCK2	902.2401	ADCK2	576.8758
ADCK4	357.7991	ADCK4	337.6384
ADCK5	53.0608	ADCK5	47.9705
ADCY1	2754.2067	ADCY1	79.3358
ADCY2	82.9978	ADCY2	155.5966
ADCY3	937.9519	ADCY3	1308.2534
ADCY4	234.7476	ADCY4	360.3936
ADCY5	219.4694	ADCY5	475.3998
ADCY6	2014.0394	ADCY6	1674.0467
ADCY7	1088.6755	ADCY7	570.1107
ADCY9	1850.7278	ADCY9	1020.9102
ADCYAP1R1	20.4398	ADCYAP1R1	31.3653
ADCYAP1	114.9995	ADCYAP1	35.6704
ADC	149.8916	ADC	149.4465
ADD1	4316.0937	ADD1	6314.2681
ADD2	69.3713	ADD2	51.0455
ADD3	2283.6792	ADD3	4400.369
ADH1A	36.7503	ADH1A	92.2509
ADH1B	5922.1637	ADH1B	13374.5387
ADH1C	114.5866	ADH1C	400.369
ADH4	7.6391	ADH4	70.7257
ADH5	1809.8483	ADH5	3113.7761
removed	removed	ADHFE1	199.877
ADI1	1210.6947	ADI1	1568.2657
ADIPOQ	7729.9474	ADIPOQ	12250.9225
ADIPOR1	3475.9988	ADIPOR1	1979.0898
ADIPOR2	6026.4272	ADIPOR2	2432.3493
ADK	337.5658	ADK	398.524
ADM2	61.5258	ADM2	25.8303
ADM	196.1392	ADM	599.016
ADNP2	1064.9324	ADNP2	783.5178
ADNP	4340.4563	ADNP	3260.7626
ADORA1	48.5186	ADORA1	178.9668
ADORA2A	123.0226	ADORA2A	59.6371
ADORA2B	16.7234	ADORA2B	83.6408
ADORA3	325.1781	ADORA3	182.6568
ADO	688.1387	ADO	864.6986
ADPGK	1231.0788	ADPGK	868.7085
ADPRHL1	27.6659	ADPRHL1	47.3555
ADPRHL2	380.097	ADPRHL2	425.5843
ADPRH	391.6589	ADPRH	346.8635
ADRA1A	12.5942	ADRA1A	39.3604
ADRA1B	12.3877	ADRA1B	32.5953
removed	removed	ADRA1D	6.7651
ADRA2A	559.0998	ADRA2A	569.4957
ADRA2B	9.7037	ADRA2B	46.1255
ADRA2C	30.9693	ADRA2C	33.2103
ADRB1	12.8007	ADRB1	38.1304
ADRB2	154.2273	ADRB2	215.2522
ADRBK1	1720.4501	ADRBK1	1244.7724
ADRBK2	1763.8072	ADRBK2	1920.0492
ADRM1	550.6349	ADRM1	603.321
ADSL	497.3676	ADSL	636.5314
ADSSL1	78.8686	ADSSL1	113.7761
ADSS	2192.8358	ADSS	1551.6605
AEBP1	7239.1865	AEBP1	5096.556
AEBP2	1025.7046	AEBP2	930.5043
AEN	368.7416	AEN	377.6138
AES	3526.1691	AES	5335.1784
AFAP1L1	339.2175	AFAP1L1	340.0984
AFAP1L2	863.0123	AFAP1L2	1076.2608
AFAP1	1300.4934	AFAP1	1504.2989
AFF1	3389.904	AFF1	3823.4932
AFF2	40.4666	AFF2	52.2755
AFF3	1201.1975	AFF3	1978.4748
AFF4	7694.4358	AFF4	5360.3936
AFG3L1	236.3993	AFG3L1	282.9028
AFG3L2	1128.2151	AFG3L2	1298.155
AFMID	291.9376	AFMID	552.2755
AFP	5.9874	AFP	68.8807
AFTPH	2271.085	AFTPH	1995.08
AG2	142.2525	AG2	95.326
AGAP11	97.0455	AGAP11	264.4649
AGAP1	531.6403	AGAP1	570.1107
AGAP2	145.9709	AGAP2	39.4772
AGAP3	874.3677	AGAP3	912.0541
AGAP4	159.3889	AGAP4	257.0726
AGAP5	57.5452	AGAP5	49.2804
AGAP6	99.3084	AGAP6	150.6765
AGAP7	8.052	AGAP7	12.3001
AGAP8	38.6084	AGAP8	127.3063
AGA	615.2576	AGA	576.8758
AGBL2	28.9047	AGBL2	27.0603
AGBL3	10.5296	AGBL3	11.6851
AGBL4	8.2585	AGBL4	7.9951
AGBL5	397.6567	AGBL5	660.5228
AGER	37.7826	AGER	50.4305
AGFG1	2707.1333	AGFG1	2156.2116
AGFG2	675.1316	AGFG2	517.8352
removed	removed	AGGF1	1019.0652
AGK	831.0106	AGK	544.2804
AGL	1579.4364	AGL	1490.1599
AGMAT	43.5635	AGMAT	11.6851
AGPAT1	1107.0011	AGPAT1	1649.9692
AGPAT2	663.9827	AGPAT2	750.3075
AGPAT3	2125.1161	AGPAT3	1598.401
AGPAT4	190.9776	AGPAT4	298.893
AGPAT5	1598.8438	AGPAT5	778.5978
AGPAT6	2299.1638	AGPAT6	1578.7208
AGPAT9	128.8325	AGPAT9	131.6113
AGPHD1	66.2744	AGPHD1	76.8758
AGPS	938.1646	AGPS	1246.0025
AGR2	22638.7943	AGR2	1341.3284
AGR3	2188.7065	AGR3	365.3137
AGRN	1238.5672	AGRN	2215.8672
AGTPBP1	506.8649	AGTPBP1	448.3395
AGTR1	216.7854	AGTR1	250.3075
AGTRAP	514.9169	AGTRAP	536.9004
AGT	241.5609	AGT	27.6753
AGXT2L1	5.1616	removed	removed
AGXT2L2	466.5614	AGXT2L2	480.5535
AHCTF1	2390.2137	AHCTF1	1857.9336
AHCYL1	5331.2687	AHCYL1	4035.6704
AHCYL2	1189.8421	AHCYL2	691.8819
AHCY	2026.0142	AHCY	1760.7626
AHDC1	451.1201	AHDC1	1020.2952
AHI1	502.7356	AHI1	794.5879
AHNAK2	1335.8109	AHNAK2	1855.4736
AHNAK	92562.4032	AHNAK	128753.9975
AHRR	49.138	AHRR	9.8401
AHR	3315.9905	AHR	3897.294
AHSA1	1038.7117	AHSA1	1214.0221
AHSA2	542.9958	AHSA2	880.6888
AICDA	5.368	removed	removed
AIDA	1375.3897	AIDA	1231.2669
AIF1L	594.8178	AIF1L	1302.583
AIF1	698.2554	AIF1	369.0037
AIFM1	828.946	AIFM1	511.0701
AIFM2	326.6233	AIFM2	627.9213
AIFM3	12.2824	AIFM3	8.9975
AIG1	693.0938	AIG1	900.369
AIM1	2192.6293	AIM1	5226.3223
AIM2	100.3407	AIM2	17.2202
AIMP1	1087.7134	AIMP1	1212.3309
AIMP2	251.8984	AIMP2	236.6851
AIP	375.3484	AIP	445.8795
AJAP1	12.1813	removed	removed
AK1	242.7996	AK1	243.5424
AK2	1644.2655	AK2	1997.54
AK3L1	253.7421	AK3L1	609.4711
AK3	1687.0032	AK3	2024.6002
AK5	923.7122	AK5	2829.0283
AK7	34.8921	AK7	35.0554
AKAP10	608.2378	AKAP10	619.9262
AKAP11	3240.4253	AKAP11	3284.7478
AKAP12	1839.9917	AKAP12	3250.3075
AKAP13	5298.4412	AKAP13	4736.7774
AKAP1	1056.0545	AKAP1	2360.3936
AKAP2	1121.4762	AKAP2	1753.1611
AKAP3	16.1041	AKAP3	48.5855
AKAP5	220.9146	AKAP5	126.0763
AKAP6	138.7426	AKAP6	330.2583
AKAP7	169.5055	AKAP7	244.1574
AKAP8L	531.8468	AKAP8L	452.6445
AKAP8	716.4241	AKAP8	652.5215
AKAP9	5959.9463	AKAP9	3950.1845
AKD1	174.8735	AKD1	144.5264
AKIRIN1	1238.1542	AKIRIN1	1333.3333
AKIRIN2	572.1069	AKIRIN2	678.3518
AKNAD1	6.6089	removed	removed
AKNA	1357.0765	AKNA	744.1574
AKR1A1	1448.5393	AKR1A1	1262.6076
removed	removed	AKR1B15	31.9803
AKR1B1	836.7916	AKR1B1	875.7688
AKR1C1	818.4164	AKR1C1	1800.123
AKR1C2	484.7734	AKR1C2	1227.5523
AKR1C3	630.5358	AKR1C3	1048.5855
AKR1E2	15.2782	AKR1E2	17.2202
AKR7A2	995.1481	AKR7A2	714.0221
AKR7A3	33.8598	AKR7A3	84.8708
AKR7L	22.0915	AKR7L	13.5301
AKT1S1	487.4574	AKT1S1	581.7958
AKT1	2220.9146	AKT1	2253.9975
AKT2	1897.5947	AKT2	1887.4539
AKT3	978.0118	AKT3	1987.6999
AKTIP	735.4702	AKTIP	750.2214
ALAD	1698.1522	ALAD	1682.0418
ALAS1	929.6996	ALAS1	816.7282
ALAS2	12.3877	removed	removed
ALB	7.8456	ALB	201.107
ALCAM	7199.5458	ALCAM	5188.8069
ALDH16A1	252.0904	ALDH16A1	265.6827
ALDH18A1	1934.345	ALDH18A1	1486.4699
ALDH1A1	1371.5289	ALDH1A1	2105.1661
ALDH1A2	337.9787	ALDH1A2	394.2189
ALDH1A3	669.074	ALDH1A3	4264.6002
ALDH1B1	491.5867	ALDH1B1	404.059
ALDH1L1	103.0247	ALDH1L1	207.8721
ALDH1L2	701.3523	ALDH1L2	308.1181
ALDH2	2967.4822	ALDH2	3417.5892
removed	removed	ALDH3A1	38.7454
ALDH3A2	1613.5026	ALDH3A2	2742.9274
ALDH3B1	231.2377	ALDH3B1	177.1218
ALDH3B2	250.8517	ALDH3B2	2327.7983
ALDH4A1	439.9711	ALDH4A1	648.8315
ALDH5A1	361.309	ALDH5A1	694.3419
ALDH6A1	586.3301	ALDH6A1	573.8991
ALDH7A1	1392.1751	ALDH7A1	2020.9102
removed	removed	ALDH8A1	15.9902
ALDH9A1	3305.6674	ALDH9A1	2884.3788
ALDOA	15034.7889	ALDOA	14226.3223
ALDOC	173.8412	ALDOC	677.7368
ALG10B	676.3704	ALG10B	649.4465
ALG10	235.1605	ALG10	175.8918
ALG11	20.6462	ALG11	13.5301
ALG12	283.2662	ALG12	392.3739
ALG13	588.211	ALG13	614.3911
ALG14	147.0011	ALG14	171.5867
removed	removed	ALG1L	10.4182
ALG1	602.5808	ALG1	351.8143
ALG2	1072.365	ALG2	939.1144
ALG3	714.7724	ALG3	462.4846
ALG5	501.7033	ALG5	498.77
ALG6	318.9842	ALG6	298.278
ALG8	977.3924	ALG8	609.4711
ALG9	556.2094	ALG9	710.9471
ALKBH1	304.3254	ALKBH1	265.6827
ALKBH2	110.4573	ALKBH2	193.1119
ALKBH3	384.2263	ALKBH3	314.2681
ALKBH4	163.514	ALKBH4	206.9311
ALKBH5	1615.0676	ALKBH5	2292.1279
ALKBH6	56.5707	ALKBH6	45.5105
