gene_id	TCGA-BH-A1EU-01A-11R-A137-07	gene_id	TCGA-BH-A1EU-11A-23R-A137-07
DLST	1859.3992	DLST	2329.6433
DLX1	13.6265	DLX1	15.3752
DLX2	134.4069	DLX2	34.4403
DLX3	15.4847	DLX3	71.9557
removed	removed	DLX4	7.9951
DLX5	6.6068	DLX5	5.5351
DMAP1	289.0472	DMAP1	451.4145
DMC1	26.6336	DMC1	6.1501
DMD	648.9109	DMD	3227.5523
DMGDH	84.0301	DMGDH	111.3161
DMKN	231.8571	DMKN	462.4846
DMPK	198.2038	DMPK	362.8536
DMRT2	39.0214	DMRT2	41.8204
DMRT3	12.5942	DMRT3	23.9852
DMRTA1	8.465	DMRTA1	16.6052
DMRTC1B	12.3877	DMRTC1B	18.4502
DMTF1	1421.7776	DMTF1	1355.8426
DMWD	292.3506	DMWD	364.6986
DMXL1	2480.0248	DMXL1	2072.5707
DMXL2	1722.9276	DMXL2	502.46
DNA2	88.5723	DNA2	35.6704
DNAH10	22.5044	DNAH10	12.9151
DNAH12	29.1112	DNAH12	7.9951
DNAH14	220.5017	DNAH14	57.8106
DNAH17	22.4115	DNAH17	28.9053
DNAH1	389.8008	DNAH1	306.2731
DNAH2	61.1128	DNAH2	63.3456
DNAH5	713.9465	DNAH5	512.3001
DNAH6	23.9496	DNAH6	74.4157
DNAH7	160.8341	DNAH7	125.4613
DNAH9	11.3554	DNAH9	31.9803
DNAI1	35.305	DNAI1	6.1501
DNAJA1	3099.618	DNAJA1	2476.6298
DNAJA2	1541.4473	DNAJA2	1731.8573
DNAJA3	872.716	DNAJA3	801.353
DNAJA4	1512.9555	DNAJA4	857.9336
DNAJB11	946.423	DNAJB11	640.2214
DNAJB12	1013.5233	DNAJB12	1072.5707
DNAJB14	699.4942	DNAJB14	626.6913
DNAJB1	2801.0736	DNAJB1	3484.0098
DNAJB2	1176.2155	DNAJB2	1250.3075
DNAJB4	481.6765	DNAJB4	1082.4108
DNAJB5	136.4716	DNAJB5	140.2214
DNAJB6	1876.1226	DNAJB6	1881.9188
DNAJB7	5.0542	removed	removed
DNAJB9	993.29	DNAJB9	943.4194
DNAJC10	3675.6478	DNAJC10	3012.9151
DNAJC11	573.5997	DNAJC11	805.0677
DNAJC12	227.9343	DNAJC12	240.4674
DNAJC13	2530.4016	DNAJC13	2149.4465
DNAJC14	1330.1167	DNAJC14	973.7638
DNAJC15	691.8551	DNAJC15	575.0308
DNAJC16	1048.6219	DNAJC16	959.4096
DNAJC17	177.764	DNAJC17	169.7417
DNAJC18	226.6956	DNAJC18	388.0689
DNAJC19	636.1103	DNAJC19	357.9336
DNAJC1	506.2455	DNAJC1	399.754
DNAJC21	1545.5765	DNAJC21	1261.3776
DNAJC22	373.0773	DNAJC22	41.2054
DNAJC24	498.7199	DNAJC24	504.305
DNAJC25	353.6699	DNAJC25	247.2325
DNAJC27	288.2213	DNAJC27	339.4834
DNAJC28	47.0734	DNAJC28	55.9656
DNAJC2	718.5424	DNAJC2	514.6002
DNAJC30	233.9218	DNAJC30	266.2977
DNAJC3	2104.4699	DNAJC3	2596.556
DNAJC4	344.0281	DNAJC4	406.8696
DNAJC5B	37.9891	removed	removed
DNAJC5	1984.7218	DNAJC5	1735.5474
DNAJC6	69.1649	DNAJC6	102.706
DNAJC7	1346.5882	DNAJC7	1126.6974
DNAJC8	1396.9237	DNAJC8	1628.5363
DNAJC9	557.0352	DNAJC9	498.155
DNAL1	726.7472	DNAL1	576.8758
DNAL4	259.936	DNAL4	306.8881
DNALI1	787.0342	DNALI1	603.321
DNASE1L1	446.5552	DNASE1L1	299.5572
DNASE1L2	11.5619	removed	removed
DNASE1L3	116.4447	DNASE1L3	134.0713
DNASE1	58.6353	DNASE1	51.6605
DNASE2B	9.7037	removed	removed
DNASE2	1092.5983	DNASE2	794.5879
DND1	58.9305	DND1	50.6273
removed	removed	DNER	19.6802
DNHD1	248.5806	DNHD1	238.6224
DNLZ	33.2404	DNLZ	44.2804
DNM1L	1748.3225	DNM1L	1899.754
DNM1P35	19.201	DNM1P35	23.9852
DNM1	258.4908	DNM1	476.6298
DNM2	1531.5805	DNM2	1438.936
DNM3	184.5773	DNM3	151.2915
DNMBP	1266.0246	DNMBP	1237.8352
DNMT1	1330.4429	DNMT1	976.0148
DNMT3A	383.4004	DNMT3A	268.7577
DNMT3B	90.4305	DNMT3B	60.2706
DNPEP	1331.2687	DNPEP	1148.2165
DNTTIP1	306.8029	DNTTIP1	294.5879
DNTTIP2	1256.1164	DNTTIP2	1484.0098
DOC2A	50.864	DOC2A	17.6015
DOC2B	45.8346	DOC2B	80.5658
DOCK10	1804.4802	DOCK10	464.3296
DOCK11	1308.1449	DOCK11	1248.4625
DOCK1	1934.1385	DOCK1	3462.4846
DOCK2	1469.5984	DOCK2	407.1341
DOCK3	120.9869	DOCK3	29.5203
DOCK4	974.9148	DOCK4	856.7036
DOCK5	893.3622	DOCK5	594.0959
DOCK6	585.9399	DOCK6	829.6433
DOCK7	1049.8606	DOCK7	1536.2854
DOCK8	2361.309	DOCK8	1199.262
DOCK9	2991.6383	DOCK9	2821.0332
DOHH	53.6802	DOHH	50.4305
DOK1	292.1441	DOK1	133.4563
DOK2	221.534	DOK2	104.551
DOK3	225.2503	DOK3	87.3309
DOK4	209.9721	DOK4	344.4034
DOK5	50.5833	DOK5	110.7011
DOK6	82.9978	DOK6	59.0406
DOK7	144.7301	DOK7	31.9803
DOLK	423.4541	DOLK	298.278
DOLPP1	378.6518	DOLPP1	245.3875
DOM3Z	164.8106	DOM3Z	223.8807
DONSON	185.9791	DONSON	155.5781
DOPEY1	1215.336	DOPEY1	1702.1341
DOPEY2	2503.1485	DOPEY2	875.7688
DOT1L	397.4234	DOT1L	386.2177
DPAGT1	627.1291	DPAGT1	734.9938
DPCD	176.5769	DPCD	155.8733
DPEP1	12.8007	removed	removed
DPEP2	81.3461	DPEP2	65.1907
DPF2	1162.7955	DPF2	1148.2165
DPF3	9.2908	DPF3	19.6802
DPH1	380.6173	DPH1	578.2472
DPH2	340.4563	DPH2	437.2694
DPH3B	29.1112	DPH3B	22.7552
DPH3	567.9777	DPH3	698.032
DPH5	466.9722	DPH5	385.1107
DPM1	568.3906	DPM1	488.9299
DPM2	480.0248	DPM2	424.9692
DPM3	111.0767	DPM3	151.9065
removed	removed	DPP10	10.4551
DPP3	542.0047	DPP3	323.9053
DPP4	653.4531	DPP4	396.679
DPP6	6.1939	DPP6	52.2755
DPP7	789.3053	DPP7	645.1415
DPP8	1154.1241	DPP8	920.6642
DPP9	1373.387	DPP9	669.1267
DPT	2414.9892	DPT	6705.4121
DPY19L1	517.188	DPY19L1	638.3764
DPY19L2P1	11.5619	removed	removed
DPY19L2P2	15.2782	DPY19L2P2	18.4502
DPY19L2P4	103.6441	DPY19L2P4	57.1956
DPY19L2	60.4934	DPY19L2	84.2558
DPY19L3	787.4471	DPY19L3	568.8807
DPY19L4	1776.1949	DPY19L4	1527.6753
DPY30	400.9766	DPY30	415.7934
DPYD	1272.427	DPYD	1766.2977
DPYSL2	2813.8743	DPYSL2	6616.8512
DPYSL3	3221.6372	DPYSL3	6948.9545
DPYSL4	40.8795	DPYSL4	27.6753
DPYS	10.5296	removed	removed
DR1	1621.7611	DR1	1527.6753
DRAM1	602.044	DRAM1	682.6568
DRAM2	1955.4041	DRAM2	1065.8057
DRAP1	355.7345	DRAP1	323.4932
DRD1	6.4003	DRD1	10.4551
removed	removed	DRD2	29.5203
DRG1	756.6842	DRG1	971.7097
DRG2	384.4327	DRG2	551.6605
DRP2	22.9173	removed	removed
DSC1	21.2264	DSC1	180.6519
DSC2	863.8381	DSC2	2191.8819
DSC3	248.5806	DSC3	3999.385
removed	removed	DSCAML1	17.2202
DSCC1	121.6063	DSCC1	91.0209
DSCR3	1024.8787	DSCR3	1000
DSCR6	29.937	removed	removed
DSEL	641.8912	DSEL	870.8487
DSE	1351.8117	DSE	1135.3629
DSG1	36.7503	DSG1	758.3026
DSG2	3756.7606	DSG2	7445.8549
DSG3	122.4321	DSG3	1233.0873
DSN1	431.5061	DSN1	249.0775
DSP	10324.7651	DSP	16131.6113
DSTN	8323.3199	DSTN	11966.7897
DSTYK	1223.9083	DSTYK	1423.1242
DST	8459.9979	DST	36631.6113
DTD1	349.7471	DTD1	354.2435
DTHD1	35.5115	removed	removed
DTL	239.9092	DTL	22.7552
DTNA	382.781	DTNA	968.0197
DTNBP1	231.6507	DTNBP1	246.0025
DTNB	361.5154	DTNB	446.4945
DTWD1	551.4607	DTWD1	621.7712
DTWD2	567.3583	DTWD2	361.6236
DTX1	83.6172	DTX1	188.8069
DTX2	254.7744	DTX2	251.5375
DTX3L	3775.5115	DTX3L	1792.6384
DTX3	371.6321	DTX3	661.1316
DTX4	897.0786	DTX4	780.4428
DTYMK	184.3708	DTYMK	175.2768
DULLARD	1326.7265	DULLARD	1415.7442
DUOX1	42.7377	DUOX1	199.262
DUOX2	5.9874	DUOX2	63.9606
DUOXA1	17.5493	DUOXA1	42.8167
removed	removed	DUOXA2	6.3838
DUS1L	459.9979	DUS1L	655.5966
DUS2L	152.7821	DUS2L	127.9213
DUS3L	119.7481	DUS3L	137.7614
DUS4L	163.801	DUS4L	151.3038
DUSP10	239.0833	DUSP10	290.2829
DUSP11	624.5484	DUSP11	618.6962
DUSP12	298.338	DUSP12	227.5523
DUSP14	248.3741	DUSP14	431.7343
DUSP15	87.54	DUSP15	22.1402
DUSP16	2783.7308	DUSP16	3190.0369
DUSP18	158.3545	DUSP18	183.8868
DUSP19	70.6101	DUSP19	111.3161
DUSP1	12223.3922	DUSP1	8819.1882
DUSP22	701.3523	DUSP22	978.4748
DUSP23	233.5088	DUSP23	377.6138
DUSP27	6.4003	DUSP27	5.5351
DUSP28	113.1413	DUSP28	126.6913
DUSP2	385.2586	DUSP2	279.8278
DUSP3	1333.7463	DUSP3	2400.984
DUSP4	1119.232	DUSP4	831.4883
removed	removed	DUSP5P	11.6851
DUSP5	1022.6076	DUSP5	876.3838
DUSP6	1805.3061	DUSP6	3113.1611
DUSP7	430.8868	DUSP7	721.4022
DUSP8	98.689	DUSP8	217.7122
DUT	949.6851	DUT	848.0074
DVL1	274.5948	DVL1	420.6642
DVL2	379.4777	DVL2	677.7368
DVL3	2423.6606	DVL3	2078.7208
DYDC2	13.833	removed	removed
DYM	1053.9899	DYM	800.738
DYNC1H1	12436.4612	DYNC1H1	11948.9545
DYNC1I1	29.1112	DYNC1I1	70.7257
DYNC1I2	2399.298	DYNC1I2	2339.4834
DYNC1LI1	1289.5633	DYNC1LI1	742.3124
DYNC1LI2	2983.9992	DYNC1LI2	4135.9164
DYNC2H1	1265.4072	DYNC2H1	1226.9373
DYNC2LI1	408.5888	DYNC2LI1	433.5793
DYNLL1	2265.304	DYNLL1	2493.2349
DYNLL2	1285.6405	DYNLL2	1615.6212
DYNLRB1	1157.6339	DYNLRB1	1403.444
DYNLRB2	24.7755	DYNLRB2	28.2903
DYNLT1	676.5769	DYNLT1	790.2829
DYNLT3	1150.8207	DYNLT3	1030.1353
DYRK1A	2546.9186	DYRK1A	2247.8475
DYRK1B	456.4881	DYRK1B	337.0234
DYRK2	1137.6071	DYRK2	718.3272
DYRK3	235.5734	DYRK3	297.663
DYRK4	322.907	DYRK4	236.7774
DYSF	457.7269	DYSF	424.3542
DYX1C1	103.8794	DYX1C1	57.048
DZIP1L	36.5438	DZIP1L	161.7466
DZIP1	236.7069	DZIP1	404.0283
DZIP3	762.1988	DZIP3	535.0554
E2F1	87.3335	E2F1	29.5203
E2F2	50.5833	E2F2	28.2903
E2F3	656.7565	E2F3	378.2288
E2F4	704.2428	E2F4	862.8536
E2F5	136.583	E2F5	120.9902
E2F6	346.4437	E2F6	386.2239
E2F7	50.9962	removed	removed
E2F8	54.506	removed	removed
E4F1	250.2323	E4F1	186.3469
EAF1	1076.7007	EAF1	738.6224
EAF2	58.0159	EAF2	35.6704
EAPP	957.7785	EAPP	944.0344
EARS2	794.4668	EARS2	573.8007
EBAG9	590.895	EBAG9	539.3604
EBF1	681.7384	EBF1	1107.0111
EBF2	77.2169	EBF2	115.0062
EBF3	210.5915	EBF3	254.6125
EBF4	135.6457	EBF4	239.8524
EBI3	67.9261	EBI3	23.3702
EBNA1BP2	612.3671	EBNA1BP2	739.2374
EBPL	306.5965	EBPL	431.1193
EBP	429.2351	EBP	303.198
ECD	716.0111	ECD	677.7368
ECE1	5142.1493	ECE1	5380.6888
ECE2	87.7465	ECE2	65.1907
ECH1	1600.1094	ECH1	1979.0898
ECHDC1	818.21	ECHDC1	1499.385
ECHDC2	538.4536	ECHDC2	1043.6654
ECHDC3	211.2109	ECHDC3	485.2399
ECHS1	1285.6405	ECHS1	1779.2128
ECM1	700.7329	ECM1	595.941
ECM2	1190.6679	ECM2	2325.3383
ECSCR	132.1359	ECSCR	209.1021
ECSIT	298.5444	ECSIT	419.4342
ECT2L	19.201	ECT2L	19.0652
ECT2	738.3091	ECT2	290.8979
EDA2R	194.6939	EDA2R	199.877
EDARADD	106.741	EDARADD	493.8499
removed	removed	EDAR	15.9902
EDA	114.5866	EDA	145.1415
EDC3	834.727	EDC3	686.3469
EDC4	911.1448	EDC4	1133.5424
EDEM1	2934.8612	EDEM1	2095.326
EDEM2	616.0834	EDEM2	380.0738
EDEM3	3442.9648	EDEM3	1795.203
EDF1	1436.9774	EDF1	1317.9582
EDIL3	215.1337	EDIL3	103.936
EDN1	326.8298	EDN1	263.2226
EDN2	41.4989	EDN2	29.5203
EDN3	16.517	EDN3	228.1673
EDNRA	593.7855	EDNRA	905.2891
EDNRB	693.0938	EDNRB	824.7232
EEA1	2067.7196	EEA1	1937.2694
EED	520.9043	EED	419.4342
EEF1A1P9	5041.8086	EEF1A1P9	7393.6039
EEF1A1	87745.0191	EEF1A1	118639.6064
EEF1A2	20.8527	EEF1A2	140.8364
EEF1B2	3220.8114	EEF1B2	3888.6839
removed	removed	EEF1DP3	5.5351
EEF1D	2746.1546	EEF1D	3076.2608
EEF1E1	186.4354	EEF1E1	229.3973
EEF1G	11310.0031	EEF1G	15293.9729
EEF2K	2050.1703	EEF2K	2756.4576
EEF2	31597.3986	EEF2	37291.5129
EEFSEC	298.6704	EEFSEC	298.8069
EEPD1	262.62	EEPD1	239.2374
EFCAB10	5.5456	removed	removed
EFCAB1	13.2136	EFCAB1	180.1968
EFCAB2	94.3533	EFCAB2	95.326
EFCAB4A	340.2498	EFCAB4A	635.9164
EFCAB4B	365.8511	EFCAB4B	170.3567
EFCAB6	86.9206	EFCAB6	73.8007
EFCAB7	159.5953	EFCAB7	196.187
EFEMP1	4026.4272	EFEMP1	9325.3383
EFEMP2	805.2028	EFEMP2	1035.6704
EFHA1	1012.2845	EFHA1	898.524
EFHA2	80.7267	EFHA2	209.7171
EFHB	14.6588	EFHB	15.9902
EFHC1	541.1376	EFHC1	554.7355
EFHC2	70.6101	EFHC2	31.9803
EFHD1	2726.5407	EFHD1	4624.8462
EFHD2	685.0418	EFHD2	506.1501
EFNA1	2625.3742	EFNA1	1653.1365
EFNA3	104.2634	EFNA3	86.7159
EFNA4	251.6775	EFNA4	190.6519
EFNA5	612.78	EFNA5	1239.2374
EFNB1	484.154	EFNB1	670.3567
EFNB2	652.6272	EFNB2	1201.722
EFNB3	57.19	EFNB3	353.0135
EFR3A	4642.5106	EFR3A	2616.2362
EFR3B	272.5302	EFR3B	77.4908
EFS	373.9032	EFS	1031.9803
EFTUD1	756.4778	EFTUD1	635.3014
EFTUD2	1508.4794	EFTUD2	1753.9975
EGFL6	209.1463	EGFL6	44.8954
EGFL7	317.539	EGFL7	468.0197
EGFL8	50.8413	EGFL8	99.5203
EGFLAM	524.8271	EGFLAM	655.5966
EGFR	681.1128	EGFR	2646.3469
EGF	398.2657	EGF	489.5449
EGLN1	1665.7376	EGLN1	1639.6064
EGLN2	1670.6122	EGLN2	651.6175
EGLN3	920.2023	EGLN3	559.0406
EGOT	18.3751	EGOT	22.1402
EGR1	25052.3382	EGR1	18130.9963
EGR2	1111.1799	EGR2	905.2891
EGR3	4285.9502	EGR3	1232.4723
EHBP1L1	463.7143	EHBP1L1	420.0492
EHBP1	1148.5434	EHBP1	1895.4121
EHD1	1056.0545	EHD1	777.9828
EHD2	1944.4616	EHD2	4688.1919
EHD3	205.8429	EHD3	196.187
EHD4	1317.8487	EHD4	1143.2964
EHF	6803.5512	EHF	4335.1784
EHHADH	585.1141	EHHADH	424.3542
EHMT1	1115.3092	EHMT1	1033.8253
EHMT2	693.7132	EHMT2	847.4785
EI24	1885.4134	EI24	2443.4194
EID1	3279.4467	EID1	4068.2657
EID2B	47.0734	EID2B	43.6654
EID2	239.4962	EID2	247.2325
EID3	28.0789	EID3	44.8954
EIF1AD	509.9618	EIF1AD	576.8758
EIF1AX	2552.493	EIF1AX	3057.8106
EIF1B	816.5583	EIF1B	1006.7651
EIF1	7511.0973	EIF1	10602.091
EIF2AK1	3779.2774	EIF2AK1	2882.6261
EIF2AK2	851.6569	EIF2AK2	496.925
EIF2AK3	1339.5272	EIF2AK3	1050.4305
EIF2AK4	1990.2963	EIF2AK4	1543.6654
EIF2A	2039.4343	EIF2A	2686.3469
EIF2B1	1160.9373	EIF2B1	1093.4809
EIF2B2	373.6967	EIF2B2	446.4945
EIF2B3	393.93	EIF2B3	527.6753
EIF2B4	561.5774	EIF2B4	645.7565
EIF2B5	1636.2135	EIF2B5	1048.5855
EIF2C1	1291.0086	EIF2C1	1388.0689
EIF2C2	272.1173	EIF2C2	272.4477
EIF2C3	209.9721	EIF2C3	210.9471
EIF2C4	667.699	EIF2C4	721.4022
EIF2S1	1537.3181	EIF2S1	1623.6162
EIF2S2	1250.542	EIF2S2	1126.6913
EIF2S3	6186.4354	EIF2S3	5635.9164
EIF3A	4633.6327	EIF3A	5661.7466
EIF3B	2521.1108	EIF3B	3043.6654
EIF3CL	7667.6763	EIF3CL	8218.9422
EIF3C	86.2207	removed	removed
EIF3D	3383.0907	EIF3D	5105.1661
EIF3E	5681.4287	EIF3E	7948.3395
EIF3F	1994.632	EIF3F	2453.2595
EIF3G	1088.8304	EIF3G	1603.3026
EIF3H	6270.4656	EIF3H	4399.754
EIF3I	2025.816	EIF3I	2778.5978
EIF3J	1614.5349	EIF3J	1383.1488
EIF3K	1831.5268	EIF3K	2163.5916
EIF3L	6976.9795	EIF3L	12424.3542
EIF3M	2304.9097	EIF3M	2583.9729
EIF4A1	6819.3538	EIF4A1	7583.7761
EIF4A2	6471.7663	EIF4A2	9956.3346
EIF4A3	1170.4346	EIF4A3	1352.3985
EIF4B	15943.452	EIF4B	13641.9065
EIF4E2	1441.1066	EIF4E2	1255.2276
EIF4E3	1556.932	EIF4E3	1643.9114
EIF4EBP1	322.907	EIF4EBP1	290.2829
EIF4EBP2	4944.152	EIF4EBP2	6724.4772
EIF4EBP3	251.7704	EIF4EBP3	258.7085
EIF4ENIF1	660.8857	EIF4ENIF1	886.8389
EIF4E	506.8649	EIF4E	567.6507
EIF4G1	8296.6863	EIF4G1	5439.7294
EIF4G2	20925.7768	EIF4G2	18821.0332
EIF4G3	3442.3454	EIF4G3	1891.1439
EIF4H	3659.3373	EIF4H	3581.1808
EIF5A2	177.764	EIF5A2	246.6175
EIF5AL1	654.0725	EIF5AL1	725.7073
EIF5A	2465.9853	EIF5A	3075.0308
EIF5B	3010.4263	EIF5B	3247.2325
EIF5	5584.8044	EIF5	5698.647
EIF6	1142.7687	EIF6	1242.9274
ELAC1	188.6404	ELAC1	143.6408
ELAC2	962.5271	ELAC2	1194.3419
ELAVL1	1582.9462	ELAVL1	1333.9483
ELAVL2	36.7503	ELAVL2	8.6101
ELF1	2966.8628	ELF1	2600.861
ELF2	1136.9877	ELF2	1349.9385
ELF3	2886.9619	ELF3	3626.6913
ELF4	765.3556	ELF4	517.8352
ELF5	85.2689	ELF5	990.1599
ELFN1	29.3176	ELFN1	20.9102
ELK1	858.883	ELK1	610.7011
ELK3	970.1662	ELK3	741.6974
ELK4	361.5154	ELK4	242.9028
ELL2	2714.9788	ELL2	1372.0787
ELL3	76.8473	ELL3	143.1796
ELL	353.8763	ELL	359.1636
ELMO1	651.182	ELMO1	543.0504
ELMO2	1195.4165	ELMO2	1071.3407
ELMO3	277.4853	ELMO3	348.7085
ELMOD2	270.4656	ELMOD2	260.7626
ELMOD3	433.5708	ELMOD3	677.7368
ELN	2425.7252	ELN	1333.9483
ELOF1	520.9043	ELOF1	460.6396
ELOVL1	1111.3864	ELOVL1	1401.599
ELOVL2	507.4843	ELOVL2	354.2435
ELOVL3	11.7683	ELOVL3	26.4453
ELOVL4	67.3067	ELOVL4	71.3407
ELOVL5	14264.8911	ELOVL5	9141.4514
ELOVL6	197.9973	ELOVL6	193.7269
ELOVL7	357.7991	ELOVL7	403.444
ELP2P	6.1939	ELP2P	7.3801
ELP2	1755.7551	ELP2	1841.3284
ELP3	923.9187	ELP3	749.6925
ELP4	242.7996	ELP4	225.0923
ELTD1	1410.3438	ELTD1	1384.9938
EMB	2044.1829	EMB	946.4945
EMCN	765.5621	EMCN	1035.6704
EMD	824.6103	EMD	934.8093
EME1	23.4706	EME1	11.2423
EME2	9.4973	removed	removed
EMG1	368.3287	EMG1	374.5387
EMID1	111.6961	EMID1	25.2153
EMILIN1	725.0955	EMILIN1	364.0836
EMILIN2	812.6355	EMILIN2	728.7823
EMILIN3	16.5129	EMILIN3	46.679
EML1	724.0632	EML1	578.7208
EML2	555.59	EML2	487.6999
EML3	514.504	EML3	578.1058
EML4	1770.414	EML4	1688.1919
EML5	68.7519	EML5	149.4465
EML6	34.8921	EML6	34.4403
EMP1	3937.2355	EMP1	8511.6851
EMP2	4437.4935	EMP2	3971.0947
EMP3	448.0231	EMP3	661.1316
EMR1	24.9819	removed	removed
EMR2	315.2679	EMR2	123.6162
EMR3	5.1616	removed	removed
EMR4P	19.6139	EMR4P	5.5351
EMX1	82.5849	removed	removed
EMX2OS	83.4108	EMX2OS	65.8057
EMX2	23.3302	EMX2	14.7601
EN1	18.9945	EN1	7.9951
removed	removed	EN2	6.1501
ENAH	4220.9146	ENAH	4169.7417
ENC1	1923.7039	ENC1	1711.8881
ENDOD1	2660.8857	ENDOD1	1741.0824
ENDOG	73.8639	ENDOG	80.9656
ENDOU	9.2908	ENDOU	12.3001
ENGASE	209.9721	ENGASE	416.9742
ENG	3126.2496	ENG	2328.4133
ENHO	18.5816	ENHO	20.9102
ENO1	7220.8114	ENO1	10741.0824
ENO2	318.9842	ENO2	557.8106
ENO3	25.3949	ENO3	12.9151
ENOPH1	656.9629	ENOPH1	654.3665
ENOSF1	330.0031	ENOSF1	611.1378
ENOX1	78.0427	ENOX1	28.9053
ENOX2	474.0374	ENOX2	371.4637
ENPEP	321.2553	ENPEP	164.8216
ENPP1	1948.178	ENPP1	932.3493
ENPP2	2014.0394	ENPP2	3117.4662
ENPP3	27.6659	ENPP3	184.5018
ENPP4	1291.628	ENPP4	652.5215
ENPP5	1532.363	ENPP5	437.8844
ENPP6	21.0592	ENPP6	14.1451
ENSA	3921.1314	ENSA	3105.7811
ENTHD1	8.052	removed	removed
ENTPD1	1625.2627	ENTPD1	1114.3911
ENTPD2	73.707	ENTPD2	252.1525
ENTPD3	104.057	ENTPD3	97.6322
ENTPD4	1059.9773	ENTPD4	575.0308
ENTPD5	546.5531	ENTPD5	482.8352
ENTPD6	1175.3897	ENTPD6	1023.9852
ENTPD7	973.0629	ENTPD7	341.8266
ENTPD8	21.885	removed	removed
ENY2	451.1201	ENY2	351.7835
EOMES	150.0981	EOMES	14.7601
EP300	3521.6269	EP300	3927.4293
EP400NL	226.2826	EP400NL	159.2866
EP400	2139.5685	EP400	1897.909
EPAS1	4874.7806	EPAS1	7455.1046
EPB41L1	2250.8517	EPB41L1	2435.4244
EPB41L2	2847.3212	EPB41L2	4134.0713
EPB41L3	1428.7189	EPB41L3	1022.7552
EPB41L4A	1038.2988	EPB41L4A	817.3432
EPB41L4B	743.4706	EPB41L4B	1014.1451
EPB41L5	660.2663	EPB41L5	720.7872
EPB41	1725.5332	EPB41	1399.4403
EPB42	14.8653	EPB42	9.2251
EPB49	570.0423	EPB49	620.5412
EPC1	772.3753	EPC1	870.2337
EPC2	1075.6684	EPC2	1160.5166
EPCAM	1672.7573	EPCAM	1707.8721
EPDR1	284.9179	EPDR1	317.3432
EPHA10	60.287	EPHA10	33.8253
EPHA1	304.9448	EPHA1	295.203
EPHA2	209.9721	EPHA2	547.9705
EPHA3	108.3927	EPHA3	95.326
EPHA4	285.3309	EPHA4	392.3739
removed	removed	EPHA5	5.5351
removed	removed	EPHA6	16.6052
EPHA7	10.736	EPHA7	99.631
EPHB1	82.172	EPHB1	492.0049
EPHB2	203.9847	EPHB2	70.1107
EPHB3	968.721	EPHB3	1088.5609
EPHB4	1471.6631	EPHB4	1889.9139
EPHB6	86.3012	EPHB6	439.7294
EPHX1	2269.4333	EPHX1	2725.7073
EPHX2	1040.7763	EPHX2	860.3936
removed	removed	EPHX3	7.9951
EPHX4	29.1112	EPHX4	49.2005
EPM2AIP1	2083.2043	EPM2AIP1	1779.8278
EPM2A	151.3368	EPM2A	241.6974
EPN1	826.6749	EPN1	848.7085
EPN2	818.8294	EPN2	1127.9213
EPN3	179.4157	EPN3	142.6814
EPOR	60.2354	EPOR	81.1808
EPPK1	171.7766	EPPK1	851.1685
EPR1	64.9943	EPR1	8.3456
EPRS	5083.9269	EPRS	3087.9459
EPS15L1	929.4931	EPS15L1	529.5203
EPS15	2462.4755	EPS15	2718.3272
EPS8L1	203.1589	EPS8L1	152.5215
EPS8L2	620.6256	EPS8L2	993.2349
EPS8	2305.7706	EPS8	2426.1993
EPSTI1	426.3446	EPSTI1	89.1759
EPT1	1924.2118	EPT1	1222.0049
EPYC	22.5044	removed	removed
ERAL1	505.4196	ERAL1	728.1673
ERAP1	3310.8971	ERAP1	2527.54
ERAP2	377.2066	ERAP2	136.5314
ERBB2IP	3160.9373	ERBB2IP	2825.9533
ERBB2	2655.9306	ERBB2	4932.9643
ERBB3	7801.3833	ERBB3	4000
ERBB4	3622.7934	ERBB4	1321.0332
ERC1	2824.4038	ERC1	2100.246
removed	removed	ERC2	11.6851
ERCC1	695.7778	ERCC1	667.8967
ERCC2	270.8785	ERCC2	283.7023
ERCC3	848.7664	ERCC3	1023.9852
ERCC4	653.4531	ERCC4	425.5843
ERCC5	1539.0338	ERCC5	1518.4502
ERCC6L	75.1523	ERCC6L	15.3752
ERCC6	476.3415	ERCC6	543.6347
ERCC8	240.3221	ERCC8	191.8819
removed	removed	EREG	6.7651
ERF	486.0122	ERF	578.1058
ERGIC1	5228.657	ERGIC1	3376.9988
ERGIC2	919.7894	ERGIC2	703.567
ERGIC3	3008.9811	ERGIC3	2932.9643
ERG	640.6524	ERG	710.9471
ERH	1397.956	ERH	1311.1931
ERI1	648.7044	ERI1	501.23
ERI2	628.7272	ERI2	369.5449
ERI3	507.6907	ERI3	662.9766
ERICH1	252.7098	ERICH1	241.6974
ERLEC1	1878.6002	ERLEC1	1631.6113
ERLIN1	1162.589	ERLIN1	1306.8881
ERLIN2	2520.4336	ERLIN2	2313.6531
ERMAP	472.5921	ERMAP	501.845
ERMN	30.1435	ERMN	6.7651
ERMP1	3766.7369	ERMP1	1936.9373
ERN1	330.3396	ERN1	294.5879
ERO1LB	235.9864	ERO1LB	520.2952
ERO1L	919.7894	ERO1L	707.2571
ERP27	430.8868	ERP27	431.1193
ERP29	1906.2661	ERP29	1489.5449
ERP44	1563.7452	ERP44	1388.6839
ERRFI1	1143.388	ERRFI1	2506.1501
ERVFRDE1	9.0843	ERVFRDE1	20.2952
ESAM	675.751	ESAM	813.0381
ESCO1	872.9225	ESCO1	757.0726
