gene_id	TCGA-BH-A203-01A-12R-A169-07	gene_id	TCGA-BH-A203-11A-42R-A169-07
?|100133144	9.3565	?|100133144	17.2795
?|100134869	8.5678	?|100134869	10.7474
?|10357	149.8692	?|10357	94.4918
?|10431	1492.0237	?|10431	560.5381
?|155060	164.5456	?|155060	173.7668
?|390284	8.9622	?|390284	10.0897
?|57714	543.4666	?|57714	687.2197
?|645851	22.9432	?|645851	17.9372
?|652919	60.2258	?|652919	65.0598
?|653553	192.8661	?|653553	102.3916
removed	removed	?|728788	5.9791
?|8225	277.1106	?|8225	269.0583
removed	removed	?|90288	16.8161
A1BG	85.5099	A1BG	44.3946
A2LD1	94.3502	A2LD1	69.8169
removed	removed	A2ML1	18.3109
A2M	10554.1387	A2M	31389.8468
A4GALT	104.3198	A4GALT	173.3931
removed	removed	A4GNT	12.3318
AAAS	702.6349	AAAS	578.1016
AACS	1170.4607	AACS	904.3348
AADAC	19.7168	AADAC	8.2212
AADAT	10.7546	AADAT	102.7653
AAGAB	2462.09	AAGAB	850.1495
AAK1	1384.4775	AAK1	1474.2152
AAMP	3228.8941	AAMP	1205.5306
AARS2	421.9358	AARS2	291.1024
AARSD1	391.468	AARSD1	371.0762
AARS	4702.2764	AARS	2119.2078
AASDHPPT	1573.4003	AASDHPPT	1116.2182
AASDH	313.6763	AASDH	455.9043
AASS	145.5458	AASS	1057.1749
AATF	942.1043	AATF	695.441
AATK	16.8489	AATK	22.0478
ABAT	470.3352	ABAT	495.142
ABCA10	17.5659	ABCA10	455.9043
ABCA11P	46.8543	ABCA11P	204.148
ABCA12	1703.8896	ABCA12	66.1435
removed	removed	ABCA13	28.4006
removed	removed	ABCA17P	7.1001
ABCA1	1042.1222	ABCA1	2977.8176
ABCA2	487.5426	ABCA2	1347.9073
ABCA3	319.4121	ABCA3	821.0015
ABCA4	64.1692	ABCA4	26.9058
ABCA5	199.3189	ABCA5	1660.6876
ABCA6	71.3389	ABCA6	578.1016
ABCA7	312.6008	ABCA7	227.9522
ABCA8	61.6598	ABCA8	1527.6532
ABCA9	65.2447	ABCA9	1015.3214
ABCB10	456.7127	ABCB10	547.8326
ABCB1	59.5089	ABCB1	384.1555
ABCB4	15.0565	ABCB4	17.9372
removed	removed	ABCB5	40.7324
ABCB6	1480.1147	ABCB6	357.4215
ABCB7	435.9204	ABCB7	580.3438
ABCB8	360.9966	ABCB8	248.1315
ABCB9	109.1558	ABCB9	94.1704
ABCC10	209.3565	ABCC10	323.6173
ABCC11	7740.0968	ABCC11	320.6278
ABCC12	203.9792	removed	removed
ABCC1	917.0102	ABCC1	903.2138
ABCC2	966.8399	ABCC2	17.9372
ABCC3	358.1287	ABCC3	386.3976
ABCC4	713.748	ABCC4	154.3348
ABCC5	3878.4728	ABCC5	917.0404
ABCC6P1	11.4716	ABCC6P1	26.5321
ABCC6P2	13.6225	ABCC6P2	17.9372
removed	removed	ABCC6	262.7055
ABCC8	8.9622	ABCC8	82.5859
ABCC9	271.3748	ABCC9	1468.2362
ABCD1	241.9788	ABCD1	260.4634
ABCD2	18.6413	ABCD2	565.0224
ABCD3	1853.0203	ABCD3	1781.0164
ABCD4	426.9582	ABCD4	597.1599
ABCE1	2794.7661	ABCE1	1711.136
ABCF1	1611.3999	ABCF1	1139.0135
ABCF2	1477.6842	ABCF2	889.3871
ABCF3	3159.3476	ABCF3	611.7339
ABCG1	1126.0082	ABCG1	414.4245
ABCG2	21.5092	ABCG2	727.9522
removed	removed	ABCG4	5.2317
ABHD10	641.6921	ABHD10	776.5321
ABHD11	1395.5906	ABHD11	250
removed	removed	ABHD12B	8.2212
ABHD12	2138.7345	ABHD12	524.29
ABHD13	647.0694	ABHD13	742.5262
ABHD14A	185.6964	ABHD14A	215.994
ABHD14B	1572.6833	ABHD14B	2689.4619
ABHD15	681.1256	ABHD15	760.0897
ABHD1	16.4904	ABHD1	32.5112
ABHD2	2595.0887	ABHD2	3157.3244
ABHD3	775.7663	ABHD3	334.0807
ABHD4	738.8421	ABHD4	1176.7564
ABHD5	1907.1518	ABHD5	1698.0568
ABHD6	149.1307	ABHD6	358.3707
ABHD8	246.2807	ABHD8	150.9716
ABI1	1188.9299	ABI1	1816.2593
ABI2	1098.0462	ABI2	2155.8296
ABI3BP	378.5625	ABI3BP	1031.0164
ABI3	154.8665	ABI3	131.1659
ABL1	2650.6542	ABL1	1899.8505
ABL2	929.9158	ABL2	983.1839
ABLIM1	3748.7005	ABLIM1	8406.9507
ABLIM2	16.1319	ABLIM2	45.9641
ABLIM3	391.468	ABLIM3	2167.7877
removed	removed	ABO	41.4798
ABP1	11.4716	removed	removed
ABR	1420.3262	ABR	1778.0269
ABT1	492.9199	ABT1	442.0777
ABTB1	129.7724	ABTB1	479.8206
ABTB2	70.9805	ABTB2	92.6756
ACAA1	2171.3569	ACAA1	829.5964
ACAA2	757.1249	ACAA2	2760.8371
ACACA	1738.3044	ACACA	2352.3916
ACACB	238.0355	ACACB	8624.4395
ACAD10	530.2025	ACAD10	547.8326
ACAD11	224.413	ACAD11	980.5605
ACAD8	1212.4037	ACAD8	665.5456
ACAD9	677.1823	ACAD9	883.4081
ACADL	5.0188	ACADL	417.4141
ACADM	524.4668	ACADM	2232.4365
ACADSB	1446.1373	ACADSB	2299.701
ACADS	85.3199	ACADS	648.3558
ACADVL	2736.3219	ACADVL	5266.0575
ACAN	32.6223	removed	removed
ACAP1	107.5462	ACAP1	35.5007
ACAP2	5524.646	ACAP2	2084.4544
ACAP3	536.7234	ACAP3	279.8954
ACAT1	1103.4236	ACAT1	1959.6413
ACAT2	2389.1809	ACAT2	259.3759
ACBD3	2059.5089	ACBD3	1533.2586
ACBD4	45.5279	ACBD4	205.9043
ACBD5	637.0317	ACBD5	1056.0538
ACBD6	429.8261	ACBD6	231.6891
ACBD7	274.6012	ACBD7	48.2063
removed	removed	ACCN1	5.6054
ACCN2	146.2628	ACCN2	114.7235
ACCN3	8.2452	ACCN3	5.9791
ACCS	98.2255	ACCS	396.861
ACD	268.5069	ACD	237.6682
ACE2	22.9432	ACE2	24.6637
ACER1	5.0188	removed	removed
ACER2	106.8292	ACER2	341.9283
ACER3	354.5438	ACER3	677.5037
ACE	385.3737	ACE	381.1659
ACHE	16.8489	ACHE	11.5845
ACIN1	2158.0928	ACIN1	2625.1868
ACLY	4835.6336	ACLY	2248.8789
ACN9	204.3377	ACN9	194.3199
ACO1	1403.4773	ACO1	4758.9686
ACO2	3819.6702	ACO2	2553.6136
ACOT11	17.9244	ACOT11	25.8146
ACOT13	718.0283	ACOT13	752.4514
ACOT1	224.413	ACOT1	1022.4215
ACOT2	107.5462	ACOT2	528.7743
ACOT4	160.9607	ACOT4	139.7608
removed	removed	ACOT6	5.6054
ACOT7	737.7666	ACOT7	174.8879
ACOT8	415.5225	ACOT8	179.3274
ACOT9	326.2233	ACOT9	454.7833
ACOX1	1947.3024	ACOX1	3706.932
ACOX2	957.1608	ACOX2	351.2706
ACOX3	569.6361	ACOX3	551.5695
ACOXL	7.5282	removed	removed
ACP1	2367.0909	ACP1	1301.9432
ACP2	730.9554	ACP2	585.2018
ACP5	1134.9704	ACP5	253.7369
ACP6	800.5019	ACP6	230.568
ACPL2	278.903	ACPL2	372.9447
ACPP	77.7917	ACPP	21.6741
ACRBP	28.679	ACRBP	10.8371
ACRC	21.5092	ACRC	50.0747
ACRV1	10.7546	removed	removed
ACR	5.0188	ACR	8.5949
removed	removed	ACSBG1	25.7848
removed	removed	ACSBG2	5.2317
ACSF2	592.5793	ACSF2	812.7803
ACSF3	302.2047	ACSF3	199.1779
ACSL1	3775.9455	ACSL1	20313.154
ACSL3	19791.002	ACSL3	3630.7922
ACSL4	881.8785	ACSL4	2325.8595
ACSL5	492.2029	ACSL5	941.3303
ACSL6	8.9622	ACSL6	6.7265
removed	removed	ACSM1	34.006
ACSM3	32.8984	ACSM3	200.2877
ACSM5	21.8677	ACSM5	573.2436
ACSS1	1668.0409	ACSS1	640.8819
ACSS2	761.7853	ACSS2	2910.3139
ACSS3	936.727	ACSS3	958.8939
ACTA1	31.1884	ACTA1	6.7265
ACTA2	6060.8496	ACTA2	23559.0994
removed	removed	ACTBL2	8.5949
ACTB	142409.3924	ACTB	59934.2302
ACTG1	91902.4915	ACTG1	43599.4021
ACTG2	407.5999	ACTG2	6556.8012
ACTL6A	4168.489	ACTL6A	717.8625
ACTL8	89.9803	removed	removed
ACTN1	5406.3452	ACTN1	8767.9372
ACTN2	374.2606	removed	removed
