gene_id	TCGA-E2-A158-01A-11R-A12D-07	gene_id	TCGA-E2-A158-11A-22R-A12D-07
ABCC4	286.5221	ABCC4	202.0013
ABCC5	2220.2039	ABCC5	564.728
removed	removed	ABCC6P1	23.7649
ABCC6P2	10.6246	ABCC6P2	36.8981
ABCC6	36.6721	ABCC6	663.5397
removed	removed	ABCC8	30.0188
ABCC9	54.494	ABCC9	2777.9862
ABCD1	249.1646	ABCD1	554.0963
removed	removed	ABCD2	976.2351
ABCD3	1375.0321	ABCD3	1147.5922
ABCD4	191.9287	ABCD4	674.1714
ABCE1	3596.607	ABCE1	1162.6016
ABCF1	1646.8169	ABCF1	1365.2283
ABCF2	2513.9234	ABCF2	1099.4371
ABCF3	1062.1198	ABCF3	835.5222
ABCG1	1694.7991	ABCG1	557.8487
ABCG2	57.9213	ABCG2	238.2739
removed	removed	ABCG8	18.1363
ABHD10	638.8484	ABHD10	487.8049
ABHD11	330.3916	ABHD11	204.5028
removed	removed	ABHD12B	5.6285
ABHD12	1252.6776	ABHD12	859.2871
ABHD13	471.5963	ABHD13	477.1732
ABHD14A	99.7344	ABHD14A	377.6986
ABHD14B	574.4152	ABHD14B	2585.3659
ABHD15	141.8902	ABHD15	847.4046
ABHD1	34.273	ABHD1	43.7774
ABHD2	5470.9965	ABHD2	3149.4684
ABHD3	449.3188	ABHD3	213.2583
ABHD4	426.6987	ABHD4	1123.202
ABHD5	721.4463	ABHD5	1819.262
ABHD6	15.4228	ABHD6	343.3396
ABHD8	294.7477	ABHD8	186.9919
ABI1	1878.0807	ABI1	1196.3164
ABI2	2970.4396	ABI2	1207.6298
ABI3BP	65.4614	ABI3BP	6599.7498
ABI3	35.6439	ABI3	170.1063
ABL1	1774.6551	ABL1	3629.7686
ABL2	1431.9253	ABL2	1016.8856
ABLIM1	5817.1536	ABLIM1	7080.05
ABLIM2	36.3294	ABLIM2	106.9418
ABLIM3	58.6068	ABLIM3	1848.6554
removed	removed	ABO	33.7711
ABP1	5.4837	removed	removed
removed	removed	ABRA	69.4184
ABR	1069.3171	ABR	2732.9581
ABT1	897.6095	ABT1	436.5228
ABTB1	556.2505	ABTB1	995.6223
ABTB2	428.755	ABTB2	170.1063
ACAA1	570.6452	ACAA1	1459.6623
ACAA2	930.8543	ACAA2	3712.9456
ACACA	1668.0661	ACACA	5966.2289
ACACB	297.1468	ACACB	12601.626
ACAD10	536.0295	ACAD10	534.0838
ACAD11	912.3057	ACAD11	1188.868
ACAD8	621.3692	ACAD8	588.4928
ACAD9	919.8595	ACAD9	1191.3634
removed	removed	ACADL	659.7874
ACADM	1101.8764	ACADM	2016.8856
ACADSB	175.8204	ACADSB	1211.3821
ACADS	169.994	ACADS	1692.9331
ACADVL	962.3854	ACADVL	7398.9869
ACAN	71.6305	ACAN	253.2833
ACAP1	31.1884	ACAP1	68.1676
ACAP2	1649.5587	ACAP2	1405.8787
ACAP3	206.6867	ACAP3	530.3315
ACAT1	667.295	ACAT1	3231.3946
ACAT2	133.1848	ACAT2	309.1245
ACBD3	1556.3362	ACBD3	1053.1582
ACBD4	126.81	ACBD4	326.454
ACBD5	526.0903	ACBD5	762.3515
ACBD6	493.1882	ACBD6	349.5935
ACBD7	225.5162	ACBD7	28.768
ACCN2	2043.6981	ACCN2	267.6673
ACCN3	15.7656	removed	removed
ACCS	261.5029	ACCS	323.9525
ACD	493.8737	ACD	283.3021
ACE2	6.5119	ACE2	16.2602
ACER2	59.9777	ACER2	217.0106
ACER3	421.215	ACER3	816.7605
ACE	640.5621	ACE	1363.9775
ACHE	28.4466	ACHE	26.2664
ACIN1	2037.8716	ACIN1	2439.6498
ACLY	3036.9291	ACLY	4621.0131
ACN9	282.7521	ACN9	133.2083
ACO1	1747.5795	ACO1	6827.3921
ACO2	1237.0525	ACO2	5310.3502
ACOT11	13.3665	ACOT11	39.0807
ACOT13	561.861	ACOT13	610.4565
ACOT1	112.7581	ACOT1	1772.3577
ACOT2	157.9985	ACOT2	1145.0907
ACOT4	45.5831	ACOT4	139.4622
removed	removed	ACOT6	8.1301
ACOT7	334.5043	ACOT7	323.9525
ACOT8	342.1026	ACOT8	211.2946
ACOT9	215.9198	ACOT9	651.6573
ACOX1	2516.0038	ACOX1	3132.389
ACOX2	16.7938	ACOX2	445.2783
ACOX3	463.3707	ACOX3	392.1201
ACP1	3328.935	ACP1	1066.9168
ACP2	449.3188	ACP2	924.9531
ACP5	489.0755	ACP5	376.4853
ACP6	288.5785	ACP6	198.8743
ACPL2	826.3217	ACPL2	310.1939
removed	removed	ACPP	8.7555
ACRBP	16.451	ACRBP	32.5203
ACRC	41.813	ACRC	26.8918
ACRV1	13.3665	removed	removed
ACR	65.4614	removed	removed
ACSBG1	18.1647	ACSBG1	17.5109
ACSF2	232.7136	ACSF2	851.157
ACSF3	230.9999	ACSF3	340.2126
ACSL1	1860.6803	ACSL1	29342.7142
ACSL3	2247.2796	ACSL3	1950.5941
ACSL4	231.3426	ACSL4	2045.6535
ACSL5	374.9464	ACSL5	682.9268
removed	removed	ACSM2A	6.8793
ACSM3	518.6291	ACSM3	45.8036
removed	removed	ACSM5	767.98
ACSS1	1747.5795	ACSS1	487.1795
ACSS2	738.5828	ACSS2	5247.0294
ACSS3	79.5133	ACSS3	1191.3696
removed	removed	ACTA1	193.2458
ACTA2	1295.2686	ACTA2	68345.4096
ACTB	61753.7486	ACTB	95385.2408
removed	removed	ACTC1	781.7386
ACTG1	86901.2081	ACTG1	37669.7936
ACTG2	3370.0625	ACTG2	12046.2789
ACTL6A	2086.1966	ACTL6A	572.2326
ACTN1	9998.8004	ACTN1	12377.1107
ACTN2	853.74	ACTN2	86.3039
ACTN4	11814.943	ACTN4	20248.474
ACTR10	702.5962	ACTR10	1022.5141
ACTR1A	2616.7424	ACTR1A	3304.5654
ACTR1B	935.6525	ACTR1B	1548.4678
ACTR2	7120.5552	ACTR2	5278.9243
ACTR3B	3093.8223	ACTR3B	387.7423
ACTR3C	106.2463	ACTR3C	25.641
ACTR3	5489.8466	ACTR3	2853.0331
ACTR5	165.8812	ACTR5	169.4809
ACTR6	887.3276	ACTR6	413.3834
ACTR8	399.9657	ACTR8	434.0213
ACVR1B	1683.1463	ACVR1B	839.8999
removed	removed	ACVR1C	2698.5616
ACVR1	750.5784	ACVR1	1208.2552
ACVR2A	487.3618	ACVR2A	393.3709
ACVR2B	1224.231	ACVR2B	299.5622
ACVRL1	129.8946	ACVRL1	1906.8168
ACY1	222.7744	ACY1	771.7699
ACY3	60.6632	removed	removed
ACYP1	64.7759	ACYP1	26.2664
ACYP2	625.1392	ACYP2	203.8774
removed	removed	ADAD2	6.429
ADAL	137.4347	ADAL	245.7786
ADAM10	756.7475	ADAM10	1183.2395
ADAM11	53.1231	removed	removed
ADAM12	630.9656	ADAM12	639.1495
ADAM15	6222.9458	ADAM15	3529.1432
ADAM17	1963.842	ADAM17	627.8924
ADAM19	175.4777	ADAM19	468.4178
removed	removed	ADAM21	5.0031
ADAM22	64.0905	ADAM22	141.9637
ADAM23	5.4837	ADAM23	49.4059
ADAM28	10.6246	ADAM28	46.9043
ADAM32	170.3367	ADAM32	15.6348
removed	removed	ADAM33	786.9106
ADAM6	6820.3136	ADAM6	3767.7173
ADAM8	64.7759	ADAM8	66.2914
ADAM9	888.6985	ADAM9	2412.758
ADAMDEC1	61.6914	removed	removed
ADAMTS10	69.9169	ADAMTS10	317.0732
ADAMTS12	50.0386	ADAMTS12	393.3709
ADAMTS13	57.9213	ADAMTS13	50.0313
ADAMTS14	11.9955	ADAMTS14	23.1395
removed	removed	ADAMTS15	687.3046
removed	removed	ADAMTS16	279.5497
ADAMTS17	500.3856	ADAMTS17	95.0594
removed	removed	ADAMTS18	91.3071
ADAMTS1	262.8738	ADAMTS1	9711.0694
ADAMTS2	68.8887	ADAMTS2	996.873
removed	removed	ADAMTS3	82.5516
ADAMTS4	2453.2602	ADAMTS4	531.5822
ADAMTS5	100.4198	ADAMTS5	2819.262
ADAMTS6	11.9955	ADAMTS6	57.536
ADAMTS7	26.0475	ADAMTS7	177.611
removed	removed	ADAMTS8	41.2758
ADAMTS9	140.5192	ADAMTS9	940.5879
ADAMTSL1	29.4748	ADAMTSL1	808.005
ADAMTSL2	28.1038	ADAMTSL2	187.6173
ADAMTSL3	20.9065	ADAMTSL3	1246.404
ADAMTSL4	87.0534	ADAMTSL4	2426.5166
removed	removed	ADAMTSL5	61.9137
ADAP1	118.0636	ADAP1	113.1957
ADAP2	51.4095	ADAP2	283.3021
ADARB1	429.0978	ADARB1	2888.6804
ADARB2	22.9629	removed	removed
ADAR	9808.2427	ADAR	6457.1607
ADAT1	189.8723	ADAT1	253.9087
ADAT2	258.4183	ADAT2	97.561
ADAT3	30.8457	ADAT3	15.0094
ADA	57.9213	ADA	217.636
ADCK1	104.8753	ADCK1	163.227
ADCK2	880.4832	ADCK2	596.6229
ADCK4	450.347	ADCK4	414.0088
ADCK5	187.4732	ADCK5	78.1739
ADCY10	11.6528	removed	removed
ADCY1	356.0963	ADCY1	515.9475
ADCY2	164.1676	ADCY2	117.5735
ADCY3	2534.59	ADCY3	2116.454
ADCY4	49.0104	ADCY4	906.1914
removed	removed	ADCY5	1607.8799
ADCY6	1521.7205	ADCY6	4098.1864
ADCY7	2908.4054	ADCY7	1132.5829
ADCY9	482.5636	ADCY9	1398.374
removed	removed	ADCYAP1R1	56.2852
removed	removed	ADCYAP1	9.3809
ADC	240.9391	ADC	104.4403
ADD1	2810.7274	ADD1	9121.9512
ADD2	666.2668	ADD2	104.4403
ADD3	993.9165	ADD3	4200.7505
removed	removed	ADH1A	654.7842
removed	removed	ADH1B	71195.122
removed	removed	ADH1C	252.6579
removed	removed	ADH4	5.0031
ADH5	2664.3818	ADH5	4547.217
removed	removed	ADH6	5.6285
ADHFE1	151.4866	ADHFE1	663.5397
ADI1	2343.2439	ADI1	2016.2602
removed	removed	ADIPOQ	67100.0625
ADIPOR1	3297.7466	ADIPOR1	2198.2489
ADIPOR2	2437.4946	ADIPOR2	3368.9806
ADK	275.5548	ADK	278.2989
ADM2	171.7077	ADM2	16.2602
ADM	65.1187	ADM	488.4303
ADNP2	1105.9892	ADNP2	656.6604
ADNP	5608.0884	ADNP	2315.8224
ADORA1	9.2537	ADORA1	343.965
ADORA2A	54.494	ADORA2A	81.3008
removed	removed	ADORA2B	27.5172
ADORA3	38.043	ADORA3	84.4278
ADO	1034.0159	ADO	465.9162
ADPGK	794.6945	ADPGK	693.7086
ADPRHL1	115.8427	ADPRHL1	61.2883
ADPRHL2	1078.5708	ADPRHL2	533.4584
ADPRH	293.7195	ADPRH	487.1795
removed	removed	ADRA1A	207.6298
removed	removed	ADRA1B	90.6817
removed	removed	ADRA1D	20.0125
ADRA2A	12.681	ADRA2A	988.1176
ADRA2B	31.5311	ADRA2B	47.5297
ADRA2C	10.6246	ADRA2C	240.1501
removed	removed	ADRB1	92.5578
removed	removed	ADRB2	593.4959
removed	removed	ADRB3	8.1301
ADRBK1	2377.8597	ADRBK1	1704.1901
ADRBK2	261.1601	ADRBK2	3419.6373
ADRM1	2545.7973	ADRM1	1230.1438
ADSL	995.6302	ADSL	661.0381
ADSSL1	43.184	ADSSL1	352.0951
ADSS	1970.3539	ADSS	788.6179
AEBP1	1444.2636	AEBP1	21624.1401
AEBP2	992.5456	AEBP2	737.9612
AEN	939.4225	AEN	297.0607
AES	4180.6186	AES	6380.2376
AFAP1L1	419.5013	AFAP1L1	1028.1426
AFAP1L2	32.9021	AFAP1L2	594.7467
AFAP1	917.618	AFAP1	1817.0482
AFARP1	11.6528	removed	removed
AFF1	1203.3245	AFF1	3409.631
removed	removed	AFF2	146.3415
removed	removed	AFF3	912.4453
AFF4	2133.836	AFF4	2812.3827
AFG3L1	415.0458	AFG3L1	212.6329
AFG3L2	1333.13	AFG3L2	1161.3571
AFMID	569.617	AFMID	280.8005
removed	removed	AFP	23.1395
AFTPH	2257.5615	AFTPH	1081.3008
AG2	47.6394	AG2	1973.1082
AGAP11	330.4738	AGAP11	317.0794
AGAP1	290.9776	AGAP1	393.9962
AGAP2	96.7355	AGAP2	53.4209
AGAP3	3047.8965	AGAP3	1277.6735
AGAP4	300.9168	AGAP4	168.2301
AGAP5	74.8214	AGAP5	42.4015
AGAP6	188.5014	AGAP6	99.4371
AGAP7	9.5964	AGAP7	6.2539
AGAP8	120.6409	AGAP8	39.3996
AGA	576.8143	AGA	372.1076
AGBL3	9.9392	AGBL3	6.2539
AGBL4	9.9392	removed	removed
AGBL5	1805.5351	AGBL5	742.3452
AGER	39.0712	AGER	16.8856
AGFG1	899.6658	AGFG1	1753.596
AGFG2	238.1972	AGFG2	490.9318
AGGF1	502.442	AGGF1	727.3296
AGK	829.4062	AGK	450.2814
AGL	1592.6656	AGL	1646.0288
AGMAT	76.7715	AGMAT	14.384
AGPAT1	2320.5826	AGPAT1	2053.9337
AGPAT2	288.9213	AGPAT2	5985.616
AGPAT3	2642.1044	AGPAT3	2357.0982
AGPAT4	35.6439	AGPAT4	278.2989
AGPAT5	1009.3394	AGPAT5	360.8505
AGPAT6	1795.9044	AGPAT6	1854.9093
AGPAT9	11.9955	AGPAT9	283.9275
AGPHD1	152.8575	AGPHD1	68.1676
AGPS	691.6288	AGPS	1342.7142
AGR2	47.2967	AGR2	233.2708
removed	removed	AGR3	41.9012
AGRN	6556.0792	AGRN	2720.4503
AGTPBP1	1088.8527	AGTPBP1	569.1057
removed	removed	AGTR1	887.4296
AGTRAP	503.1274	AGTRAP	436.5228
removed	removed	AGT	489.6811
AGXT2L2	144.7622	AGXT2L2	697.8424
removed	removed	AGXT	16.2602
AHCTF1	2580.0703	AHCTF1	1524.0775
AHCYL1	4857.8528	AHCYL1	4590.9944
AHCYL2	1001.1139	AHCYL2	622.8893
AHCY	3509.5536	AHCY	1672.2952
AHDC1	1988.8613	AHDC1	1150.7192
AHI1	538.7713	AHI1	360.2251
AHNAK2	1406.906	AHNAK2	3238.2739
AHNAK	11787.5075	AHNAK	151849.9062
AHRR	198.4406	AHRR	39.3996
AHR	354.7254	AHR	2429.0181
AHSA1	2474.8522	AHSA1	1430.8943
AHSA2	292.0058	AHSA2	255.7849
AIDA	768.8219	AIDA	1776.773
AIF1L	2197.241	AIF1L	2992.4953
AIF1	64.7759	AIF1	427.142
AIFM1	589.8381	AIFM1	977.4859
AIFM2	254.6483	AIFM2	2769.8562
AIFM3	9.6136	AIFM3	5.6285
AIG1	612.1155	AIG1	949.9687
AIM1L	49.6958	removed	removed
AIM1	1005.2266	AIM1	1465.9162
AIM2	8.2255	removed	removed
AIMP1	1707.8845	AIMP1	807.6423
AIMP2	179.2648	AIMP2	252.7205
AIPL1	17.4792	removed	removed
AIP	803.3588	AIP	1070.0438
removed	removed	AJAP1	10.6316
AK1	201.1824	AK1	964.3527
AK2	4078.1424	AK2	2075.0469
AK3L1	758.8039	AK3L1	712.3202
AK3	2822.0375	AK3	2934.334
removed	removed	AK5	313.9462
AK7	6.8546	AK7	12.5078
AKAP10	244.7091	AKAP10	560.3502
AKAP11	777.9967	AKAP11	2333.9587
AKAP12	81.227	AKAP12	11372.733
AKAP13	5508.354	AKAP13	3694.8093
AKAP1	1332.5336	AKAP1	3055.0344
AKAP2	399.3522	AKAP2	2750.2814
AKAP3	79.1706	AKAP3	24.3902
AKAP5	40.0994	AKAP5	28.1426
AKAP6	124.4109	AKAP6	721.7011
AKAP7	152.5148	AKAP7	240.7755
AKAP8L	698.4834	AKAP8L	563.4772
AKAP8	584.3544	AKAP8	479.0494
AKAP9	2742.1815	AKAP9	2013.7586
AKD1	305.3723	AKD1	148.2176
AKIRIN1	2652.0435	AKIRIN1	1390.8693
AKIRIN2	1351.3838	AKIRIN2	801.1257
AKNAD1	25.7082	removed	removed
AKNA	171.7077	AKNA	814.8843
AKR1A1	1411.3615	AKR1A1	1457.1607
removed	removed	AKR1B10	6.2539
AKR1B1	1557.3644	AKR1B1	1110.0688
AKR1C1	502.8258	AKR1C1	10644.778
AKR1C2	235.1127	AKR1C2	7947.4672
AKR1C3	839.3454	AKR1C3	4177.611
removed	removed	AKR1C4	5.6285
AKR1E2	101.0642	AKR1E2	28.768
AKR7A2	469.8826	AKR7A2	1023.1395
AKR7A3	14.3947	AKR7A3	16.2602
AKR7L	13.0237	removed	removed
AKT1S1	982.2637	AKT1S1	1009.3809
AKT1	4232.7136	AKT1	3463.4146
AKT2	2580.7557	AKT2	4675.4221
AKT3	1932.6536	AKT3	1661.6635
removed	removed	AKTIP	856.3477
ALAD	1185.8453	ALAD	2288.9306
ALAS1	827.0071	ALAS1	809.8812
ALAS2	30.8457	ALAS2	87.5547
ALB	8.2255	ALB	41.9012
ALCAM	44.5549	ALCAM	796.748
ALDH16A1	359.1809	ALDH16A1	517.8236
ALDH18A1	5437.7517	ALDH18A1	1241.4009
ALDH1A1	379.0592	ALDH1A1	3636.0225
removed	removed	ALDH1A2	1118.1989
ALDH1A3	209.6273	ALDH1A3	779.3746
ALDH1B1	164.1676	ALDH1B1	2838.6492
removed	removed	ALDH1L1	2363.9775
ALDH1L2	979.5219	ALDH1L2	673.546
ALDH2	658.7268	ALDH2	25077.5485
removed	removed	ALDH3A1	37.5235
ALDH3A2	127.4955	ALDH3A2	4140.7129
ALDH3B1	167.5949	ALDH3B1	277.0482
ALDH3B2	554.5369	ALDH3B2	193.2458
ALDH4A1	90.8234	ALDH4A1	2136.9606
ALDH5A1	1610.8303	ALDH5A1	784.2402
ALDH6A1	312.9021	ALDH6A1	1267.6986
ALDH7A1	1145.7459	ALDH7A1	1451.5322
ALDH8A1	72.316	ALDH8A1	21.2633
ALDH9A1	3702.5105	ALDH9A1	5641.651
ALDOA	17863.7649	ALDOA	18691.0569
removed	removed	ALDOB	5.0031
ALDOC	354.3827	ALDOC	1564.728
ALG10B	406.8203	ALG10B	252.0325
ALG10	92.8798	ALG10	88.8055
ALG11	37.7003	ALG11	15.6348
ALG12	202.2106	ALG12	432.1451
ALG13	326.9643	ALG13	422.7642
ALG14	166.9094	ALG14	253.9087
ALG1L	30.6298	removed	removed
ALG1	225.3209	ALG1	375.9975
ALG2	916.4596	ALG2	530.3315
ALG3	1481.2784	ALG3	486.5541
ALG5	342.7298	ALG5	514.0713
ALG6	618.9701	ALG6	207.6298
ALG8	1042.2415	ALG8	609.1307
ALG9	333.8189	ALG9	846.7792
ALKBH1	201.5251	ALKBH1	186.3665
ALKBH2	506.5547	ALKBH2	181.9887
ALKBH3	219.0044	ALKBH3	320.8255
ALKBH4	281.5286	ALKBH4	185.9225
ALKBH5	1257.1056	ALKBH5	2039.9812
ALKBH6	73.3442	ALKBH6	67.5422
ALKBH7	313.2551	ALKBH7	380.2376
ALKBH8	103.1617	ALKBH8	258.9118
ALMS1	804.7297	ALMS1	779.237
ALOX12B	21.8079	removed	removed
ALOX12P2	52.0949	removed	removed
ALOX12	7.1973	removed	removed
ALOX15B	6.1691	ALOX15B	23.1395
removed	removed	ALOX15	46.2789
ALOX5AP	34.6157	ALOX5AP	351.4697
ALOX5	69.9169	ALOX5	173.8587
ALOXE3	105.9035	ALOXE3	5.6285
ALPK1	1515.8941	ALPK1	565.3533
ALPK2	6.1691	ALPK2	43.7774
ALPK3	912.6896	ALPK3	3075.6723
ALPL	36.6721	ALPL	831.1445
ALPPL2	11.6528	removed	removed
ALS2CL	5.4837	ALS2CL	363.9775
removed	removed	ALS2CR11	15.0094
ALS2CR4	2272.6416	ALS2CR4	759.8499
ALS2CR8	141.5474	ALS2CR8	154.4715
ALS2	1107.7029	ALS2	669.1682
ALX1	24.6765	removed	removed
ALX3	139.8338	ALX3	31.8949
removed	removed	ALX4	11.257
AMACR	238.54	AMACR	272.045
AMBRA1	664.2104	AMBRA1	840.5253
AMD1	3907.2333	AMD1	1364.6029
AMDHD1	18.8501	AMDHD1	10.6316
AMDHD2	65.9446	AMDHD2	192.6204
AMFR	4318.0533	AMFR	2998.1238
AMHR2	37.3576	removed	removed
AMICA1	82.2552	AMICA1	187.6173
AMIGO1	346.4999	AMIGO1	233.8962
AMIGO2	22.9629	AMIGO2	1661.6635
AMIGO3	108.9881	AMIGO3	60.6629
AMMECR1L	1427.4698	AMMECR1L	813.6335
AMMECR1	436.2951	AMMECR1	178.2364
AMN1	307.4287	AMN1	161.9762
AMN	36.3294	removed	removed
AMOTL1	106.589	AMOTL1	3247.0294
AMOTL2	1456.2591	AMOTL2	4900.5629
AMOT	732.4137	AMOT	1091.9325
AMPD1	8.5682	removed	removed
AMPD2	1749.9786	AMPD2	691.6823
AMPD3	107.6172	AMPD3	121.9512
removed	removed	AMPH	176.3602
AMT	21.7017	AMT	126.0663
AMY1A	110.7017	AMY1A	8.1301
AMY2A	8.2255	removed	removed
AMY2B	935.6662	AMY2B	238.793
removed	removed	AMZ1	6.2539
AMZ2P1	142.2329	AMZ2P1	176.3602
AMZ2	2089.2811	AMZ2	1287.6798
ANAPC10	198.7833	ANAPC10	115.0719
ANAPC11	635.0784	ANAPC11	727.3296
ANAPC13	1096.4202	ANAPC13	1081.6448
ANAPC16	2533.1163	ANAPC16	2529.0807
ANAPC1	942.1643	ANAPC1	829.2683
ANAPC2	674.8351	ANAPC2	574.1088
ANAPC4	362.2654	ANAPC4	460.9131
ANAPC5	3578.0996	ANAPC5	2240.1501
ANAPC7	1292.777	ANAPC7	780.4878
ANGEL1	413.6749	ANGEL1	515.3221
ANGEL2	641.2475	ANGEL2	502.8143
ANGPT1	7.8828	ANGPT1	1405.2533
ANGPT2	124.0682	ANGPT2	502.1889
removed	removed	ANGPT4	38.1488
ANGPTL1	7.1973	ANGPTL1	1719.8249
ANGPTL2	947.648	ANGPTL2	6989.9937
ANGPTL4	251.9064	ANGPTL4	1292.0575
removed	removed	ANGPTL5	98.8118
ANGPTL6	17.5306	removed	removed
removed	removed	ANGPTL7	161.9762
ANG	101.1636	ANG	760.1751
removed	removed	ANK1	83.177
ANK2	39.4139	ANK2	3593.4959
ANK3	2960.5004	ANK3	535.3346
ANKAR	31.8739	ANKAR	33.7711
ANKDD1A	115.8427	ANKDD1A	375.2345
ANKFY1	879.4448	ANKFY1	2029.3934
ANKHD1-EIF4EBP3	280.1405	ANKHD1-EIF4EBP3	1149.1745
ANKHD1	1410.3642	ANKHD1	1555.2533
ANKH	7896.1529	ANKH	2509.6936
ANKIB1	1474.0811	ANKIB1	1479.0494
removed	removed	ANKK1	6.8793
ANKLE1	91.8516	ANKLE1	8.7555
ANKLE2	2269.557	ANKLE2	1414.6341
ANKMY1	162.1112	ANKMY1	198.2489
ANKMY2	165.1958	ANKMY2	579.1119
ANKRA2	150.4584	ANKRA2	225.7661
ANKRD10	964.1402	ANKRD10	1041.2758
ANKRD11	5013.2911	ANKRD11	2894.384
ANKRD12	453.0889	ANKRD12	1589.7436
ANKRD13A	1555.6508	ANKRD13A	1120.7004
ANKRD13B	355.7536	ANKRD13B	200.7505
ANKRD13C	580.9271	ANKRD13C	540.9631
ANKRD13D	669.0087	ANKRD13D	394.6216
ANKRD16	410.9125	ANKRD16	134.3152
ANKRD17	5047.0397	ANKRD17	2634.7717
ANKRD19	49.3531	ANKRD19	16.2602
removed	removed	ANKRD1	5.0031
ANKRD20A3	7.8828	ANKRD20A3	10.0063
ANKRD22	80.5415	ANKRD22	18.7617
ANKRD23	78.4851	ANKRD23	18.7617
removed	removed	ANKRD24	21.8887
ANKRD26	376.3174	ANKRD26	287.6798
ANKRD27	1583.0691	ANKRD27	1059.4121
ANKRD28	1916.888	ANKRD28	1017.5109
ANKRD29	250.8782	ANKRD29	307.0669
ANKRD2	13.3665	removed	removed
removed	removed	ANKRD30A	100.0625
ANKRD31	9.5964	removed	removed
ANKRD32	70.9451	ANKRD32	88.8055
ANKRD34A	87.3961	ANKRD34A	41.9012
removed	removed	ANKRD34C	33.1457
ANKRD35	858.881	ANKRD35	291.4321
ANKRD36BP1	529.8603	ANKRD36BP1	130.7067
ANKRD36B	111.3872	ANKRD36B	26.8918
ANKRD36	487.3618	ANKRD36	180.1126
ANKRD37	56.266	ANKRD37	73.1645
ANKRD39	135.721	ANKRD39	143.2145
ANKRD40	874.3038	ANKRD40	3126.329
ANKRD42	169.994	ANKRD42	188.2427
removed	removed	ANKRD43	43.152
ANKRD44	7.8828	ANKRD44	124.4528
ANKRD45	101.1053	ANKRD45	8.1301
ANKRD46	888.1844	ANKRD46	776.8793
ANKRD49	184.0459	ANKRD49	205.7536
ANKRD50	834.8899	ANKRD50	1171.3571
ANKRD52	1075.1435	ANKRD52	1185.7411
ANKRD53	72.6587	ANKRD53	135.0844
ANKRD54	390.712	ANKRD54	268.9181
removed	removed	ANKRD55	6.2539
ANKRD56	21.9347	ANKRD56	12.5078
ANKRD57	548.3677	ANKRD57	467.167
ANKRD5	256.0192	ANKRD5	159.4747
ANKRD6	507.391	ANKRD6	405.8724
ANKRD9	67.8605	ANKRD9	48.1551
ANKS1A	2071.1164	ANKS1A	1641.0256
ANKS1B	203.5815	ANKS1B	84.4278
ANKS3	120.6409	ANKS3	205.1282
ANKS6	969.24	ANKS6	464.04
ANKZF1	723.5027	ANKZF1	396.4978
