gene_id	TCGA-E2-A158-01A-11R-A12D-07	gene_id	TCGA-E2-A158-11A-22R-A12D-07
?|100133144	53.9971	?|100133144	11.3696
?|100134869	40.2536	?|100134869	9.2683
?|10357	67.6206	?|10357	96.1976
?|10431	1059.7207	?|10431	482.1764
?|155060	465.0844	?|155060	182.6141
removed	removed	?|390284	8.1301
?|57714	312.9123	?|57714	717.3233
?|645851	7.8828	?|645851	6.2539
removed	removed	?|652919	60.6191
?|653553	34.273	?|653553	243.9024
?|8225	351.6408	?|8225	492.1826
?|90288	21.592	?|90288	29.3934
A1BG	148.8784	A1BG	52.4015
A2LD1	29.0121	A2LD1	107.6048
A2ML1	3104.4469	A2ML1	252.0325
A2M	9925.518	A2M	33467.6235
A4GALT	49.6958	A4GALT	742.339
AAAS	331.077	AAAS	547.217
AACS	1291.0633	AACS	1094.434
removed	removed	AADACL2	5.0031
removed	removed	AADAC	303.3146
AADAT	114.4718	AADAT	88.1801
AAGAB	919.5442	AAGAB	577.8612
AAK1	1342.1301	AAK1	1219.5122
AAMP	1679.3762	AAMP	1776.1101
AARS2	768.6608	AARS2	355.2158
AARSD1	208.7225	AARSD1	532.833
AARS	2812.0984	AARS	3010.6316
AASDHPPT	708.4226	AASDHPPT	570.9068
AASDH	549.7387	AASDH	310.8193
AASS	38.043	AASS	673.546
AATF	795.8187	AATF	925.5785
AATK	28.8099	AATK	108.818
ABAT	128.5237	ABAT	242.6517
ABCA10	5.8264	ABCA10	437.7736
ABCA11P	372.7221	ABCA11P	118.1488
removed	removed	ABCA12	8.1301
ABCA13	56.2077	ABCA13	21.2633
ABCA17P	12.3383	removed	removed
ABCA1	1161.4806	ABCA1	3018.6429
ABCA2	2082.4265	ABCA2	1930.5816
ABCA3	1618.3703	ABCA3	1361.4759
ABCA4	429.4405	ABCA4	45.6535
ABCA5	225.1735	ABCA5	631.6448
ABCA6	5.8264	ABCA6	1592.8705
ABCA7	109.6735	ABCA7	231.3946
removed	removed	ABCA8	7626.6417
ABCA9	6.8546	ABCA9	2347.7173
ABCB10	541.1704	ABCB10	417.7611
removed	removed	ABCB11	11.257
ABCB1	15.7656	ABCB1	219.5122
removed	removed	ABCB4	45.6535
removed	removed	ABCB5	36.2727
ABCB6	475.6405	ABCB6	610.3815
ABCB7	434.5814	ABCB7	495.935
ABCB8	333.8189	ABCB8	629.1432
ABCB9	350.64	ABCB9	95.7223
ABCC10	763.9448	ABCC10	372.733
ABCC11	5.8264	removed	removed
ABCC1	3299.8029	ABCC1	1247.6548
ABCC2	8.2255	ABCC2	29.3934
ABCC3	21.592	ABCC3	168.2301
