gene_id	TCGA-BH-A0BJ-01A-11R-A056-07	gene_id	TCGA-BH-A0BJ-11A-23R-A089-07
EPDR1	153.1427	EPDR1	480.3922
EPHA10	267.91	EPHA10	87.8268
EPHA1	435.0399	EPHA1	414.6242
EPHA2	159.5983	EPHA2	964.0523
EPHA3	67.4258	EPHA3	62.5
EPHA4	194.0285	EPHA4	717.3203
EPHA7	5.0211	EPHA7	83.3333
EPHA8	12.5527	removed	removed
EPHB1	55.2318	EPHB1	479.1667
EPHB2	167.8472	EPHB2	64.134
EPHB3	796.1983	EPHB3	4465.6863
EPHB4	1776.383	EPHB4	2768.3824
EPHB6	62.4047	EPHB6	345.1797
EPHX1	2479.6916	EPHX1	1517.9739
EPHX2	919.9319	EPHX2	1001.634
EPHX3	6.097	EPHX3	14.7059
EPHX4	35.5061	EPHX4	69.4444
EPM2AIP1	738.0974	EPM2AIP1	1517.9739
EPM2A	132.3411	EPM2A	214.4608
EPN1	2333.0046	EPN1	1138.0719
EPN2	939.6575	EPN2	1051.0621
EPN3	433.964	EPN3	310.4575
EPOR	49.4611	EPOR	63.3047
EPPK1	589.9758	EPPK1	803.5131
EPR1	193.8743	EPR1	21.8301
EPRS	7060.3425	EPRS	3987.7451
EPS15L1	1392.9884	EPS15L1	754.902
EPS15	1666.9954	EPS15	1905.2288
EPS8L1	507.8454	EPS8L1	335.7843
EPS8L2	1401.2373	EPS8L2	1332.1078
EPS8	944.6786	EPS8	2093.5458
EPSTI1	132.6997	EPSTI1	72.7124
EPT1	1535.3179	EPT1	812.0915
EPYC	6.4557	removed	removed
ERAL1	997.3998	ERAL1	792.0752
ERAP1	4505.4353	ERAP1	2515.0082
ERAP2	1457.9037	ERAP2	1088.6438
ERBB2IP	2911.145	ERBB2IP	2386.0294
ERBB2	8190.0834	ERBB2	5472.6307
ERBB3	8412.8037	ERBB3	5938.317
ERBB4	1001.3449	ERBB4	1071.8954
ERC1	1986.1921	ERC1	1735.7026
ERC2	7.173	ERC2	12.6634
ERCC1	1499.4853	ERCC1	936.9567
ERCC2	436.1983	ERCC2	342.4306
ERCC3	695.0596	ERCC3	1084.1503
ERCC4	345.3779	ERCC4	420.3431
ERCC5	766.6422	ERCC5	1828.4314
ERCC6L	101.1387	ERCC6L	29.8203
ERCC6	311.9304	ERCC6	406.777
ERCC8	155.2945	ERCC8	136.0294
removed	removed	EREG	82.1078
ERF	956.1553	ERF	905.2288
ERGIC1	5834.484	ERGIC1	3884.3954
ERGIC2	635.1654	ERGIC2	680.5556
ERGIC3	5009.9525	ERGIC3	4833.7418
ERG	543.3516	ERG	782.2712
ERH	1313.01	ERH	1133.9869
ERI1	475.2085	ERI1	313.317
ERI2	402.1519	ERI2	376.0948
ERI3	944.3199	ERI3	613.1536
ERICH1	150.6321	ERICH1	269.1993
ERLEC1	1773.5139	ERLEC1	1331.6993
ERLIN1	870.7971	ERLIN1	1391.3399
ERLIN2	2494.7548	ERLIN2	2243.0556
ERMAP	503.2583	ERMAP	628.268
ERMN	10.7594	removed	removed
ERMP1	2798.5726	ERMP1	1435.9845
ERN1	232.4038	ERN1	292.8922
ERO1LB	930.6913	ERO1LB	296.1601
ERO1L	670.6716	ERO1L	475.4902
ERP27	407.424	ERP27	142.9739
ERP29	3137.4518	ERP29	3222.2222
ERP44	1171.7027	ERP44	1487.3366
ERRFI1	1492.3339	ERRFI1	2765.5229
removed	removed	ERVFRDE1	8.1699
ESAM	861.1136	ESAM	538.3987
ESCO1	433.2467	ESCO1	689.134
ESCO2	107.953	ESCO2	17.1569
ESD	1522.1017	ESD	2750.817
ESF1	308.4372	ESF1	621.732
ESM1	229.176	ESM1	60.866
ESPL1	109.029	ESPL1	87.8268
removed	removed	ESPNL	29.4118
ESPN	581.0096	ESPN	140.5229
ESR1	6003.0485	ESR1	1718.1373
ESR2	6.097	ESR2	13.0719
ESRP1	2396.8439	ESRP1	1933.0065
ESRP2	1145.88	ESRP2	1036.3562
ESRRA	664.2159	ESRRA	566.1765
removed	removed	ESRRB	13.0719
ESRRG	3448.3995	ESRRG	269.1993
ESYT1	3259.0334	ESYT1	4169.5261
ESYT2	2421.232	ESYT2	4184.232
ESYT3	13.6286	ESYT3	81.6993
ETAA1	320.6312	ETAA1	468.1373
ETF1	3314.2652	ETF1	3390.1144
ETFA	1722.5859	ETFA	779.0033
ETFB	870.0798	ETFB	790.8497
ETFDH	266.0343	ETFDH	475.4902
ETHE1	373.7111	ETHE1	494.6855
ETNK1	1594.5486	ETNK1	1058.415
ETNK2	256.0746	ETNK2	466.9118
ETS1	2808.213	ETS1	2441.585
ETS2	1006.0074	ETS2	1866.8301
ETV1	314.5342	ETV1	726.7157
ETV2	13.6286	ETV2	7.3529
ETV3L	12.194	ETV3L	45.3431
ETV3	347.8885	ETV3	439.951
ETV4	25.464	ETV4	542.4837
ETV5	385.5465	ETV5	1408.9052
ETV6	1554.7386	ETV6	4396.6503
ETV7	56.3077	ETV7	33.0882
EVC2	103.2906	EVC2	233.6601
EVC	782.2649	EVC	908.1536
EVI2A	380.5254	EVI2A	130.3105
EVI2B	466.9596	EVI2B	268.3824
EVI5L	359.7238	EVI5L	291.2582
EVI5	226.3068	EVI5	287.9902
EVL	3414.6866	EVL	1972.2222
EVPL	1099.9731	EVPL	588.6438
EWSR1	2527.0331	EWSR1	3507.3529
EXD2	614.7225	EXD2	1042.8922
EXD3	153.1427	EXD3	146.6503
EXO1	140.2313	EXO1	33.0882
EXOC1	690.0386	EXOC1	1167.8922
EXOC2	1451.0894	EXOC2	1057.1895
EXOC3L2	76.0334	EXOC3L2	15.1144
EXOC3L	79.5947	EXOC3L	42.933
EXOC3	1436.0262	EXOC3	1239.7876
EXOC4	2416.9282	EXOC4	1953.0229
EXOC5	1112.8844	EXOC5	997.1405
EXOC6B	287.9943	EXOC6B	256.9444
EXOC6	564.8704	EXOC6	551.0621
EXOC7	2642.4029	EXOC7	3122.9575
EXOC8	725.5447	EXOC8	468.9542
EXOG	111.1808	EXOG	133.5784
EXOSC10	1316.9551	EXOSC10	1710.3758
EXOSC1	394.5127	EXOSC1	231.2092
EXOSC2	270.7792	EXOSC2	425.2451
EXOSC3	537.9718	EXOSC3	271.2418
EXOSC4	306.644	EXOSC4	197.3039
EXOSC5	412.8037	EXOSC5	264.7059
EXOSC6	277.5935	EXOSC6	294.5261
EXOSC7	361.5171	EXOSC7	551.8791
EXOSC8	223.9039	EXOSC8	278.8644
EXOSC9	291.1826	EXOSC9	501.4992
EXPH5	283.3318	EXPH5	432.1895
EXT1	975.8809	EXT1	1261.4379
EXT2	3511.5216	EXT2	2209.1503
EXTL1	9.3248	EXTL1	242.2386
EXTL2	234.1971	EXTL2	454.2484
EXTL3	1191.0697	EXTL3	1270.8333
EYA1	5.0211	EYA1	6.9444
EYA2	177.1721	EYA2	1016.7484
EYA3	155.6532	EYA3	200.9804
EYS	6.4557	EYS	11.8464
EZH1	645.2076	EZH1	1456.6993
EZH2	138.0794	EZH2	172.3856
EZR	5934.1881	EZR	4528.5948
F10	40.5272	F10	120.915
F11R	6345.9374	F11R	3829.3709
F12	133.7757	F12	37.5817
F13A1	554.8283	F13A1	728.3497
F2RL1	389.4916	F2RL1	344.3627
F2RL2	2174.8408	F2RL2	517.1569
F2RL3	57.3837	F2RL3	31.8627
F2R	3252.9364	F2R	1165.8497
F3	129.1132	F3	970.5882
F5	44.1137	F5	17.1569
F7	46.6242	F7	19.6078
F8A1	207.2985	F8A1	67.8105
F8	626.5615	F8	671.1642
FA2H	135.2103	FA2H	144.1993
FAAH2	664.5746	FAAH2	223.4477
FAAH	969.0666	FAAH	399.1013
FABP3	117.6365	FABP3	87.8268
FABP4	748.8568	FABP4	979.1667
FABP5	59.5356	FABP5	34.7222
FABP6	6.4557	removed	removed
FABP7	26.8986	FABP7	902.7778
FADD	851.0715	FADD	571.4869
FADS1	191.518	FADS1	232.165
FADS2	1133.686	FADS2	631.3971
FADS3	278.6694	FADS3	206.6993
FAF1	875.4595	FAF1	1087.0098
FAF2	2146.8663	FAF2	1689.134
FAHD1	461.9385	FAHD1	396.4011
FAHD2A	201.2015	FAHD2A	326.3889
FAHD2B	376.2216	FAHD2B	321.0784
FAH	1643.3247	FAH	383.9869
FAIM2	39.0926	FAIM2	180.9641
FAIM3	758.2785	FAIM3	139.1013
FAIM	284.7664	FAIM	276.1438
FAM100A	256.4332	FAM100A	189.951
FAM100B	500.3138	FAM100B	463.2353
FAM101A	29.4091	FAM101A	236.1111
FAM101B	572.0434	FAM101B	382.3529
FAM102A	6416.2109	FAM102A	2553.9216
FAM102B	1220.4788	FAM102B	1154.8203
FAM103A1	354.7028	FAM103A1	277.259
FAM104A	665.3959	FAM104A	796.5237
FAM104B	199.0496	FAM104B	203.4314
FAM105A	1363.938	FAM105A	367.2386
FAM105B	568.8156	FAM105B	447.3039
FAM106C	5.3797	FAM106C	6.5359
FAM107A	52.0039	FAM107A	358.6601
FAM107B	5550.0762	FAM107B	1316.585
FAM108A1	648.0768	FAM108A1	251.634
FAM108B1	322.4245	FAM108B1	359.8856
FAM108C1	333.9012	FAM108C1	388.4804
FAM109A	394.8713	FAM109A	324.3464
FAM109B	458.7107	FAM109B	308.8235
FAM10A4	247.8257	FAM10A4	477.1242
FAM110A	534.0267	FAM110A	265.1144
FAM110B	696.8529	FAM110B	357.4346
FAM110C	24.7467	FAM110C	26.1438
FAM111A	1110.0152	FAM111A	1122.549
FAM111B	351.1163	FAM111B	138.8889
FAM113A	380.5254	FAM113A	296.1601
FAM113B	76.392	FAM113B	176.4788
FAM114A1	1010.6698	FAM114A1	806.3725
FAM114A2	722.6755	FAM114A2	473.8562
FAM115A	622.2541	FAM115A	716.5033
FAM115C	436.4924	FAM115C	832.982
FAM116A	553.0351	FAM116A	949.7549
FAM116B	155.2945	FAM116B	130.3105
FAM117A	167.8472	FAM117A	600.4902
FAM117B	619.0263	FAM117B	413.3987
FAM118A	155.6532	FAM118A	438.317
FAM118B	318.1207	FAM118B	261.8464
FAM119A	174.6615	FAM119A	161.3562
FAM119B	260.3784	FAM119B	598.4477
FAM120AOS	1906.5902	FAM120AOS	1146.3113
FAM120A	6203.8734	FAM120A	3759.7345
FAM120B	863.9828	FAM120B	1321.4869
FAM120C	452.9723	FAM120C	540.4412
FAM122A	588.5412	FAM122A	893.7908
FAM122B	862.9068	FAM122B	531.8627
FAM122C	32.2783	FAM122C	24.5098
FAM123B	206.2225	FAM123B	353.3497
FAM124A	26.1813	FAM124A	68.6275
FAM124B	87.1514	FAM124B	89.8693
FAM125A	840.312	FAM125A	383.5784
FAM125B	421.0526	FAM125B	480.3922
FAM126A	383.036	FAM126A	1248.7745
FAM126B	336.4117	FAM126B	444.0359
FAM127A	1395.1403	FAM127A	975.4902
FAM127B	846.0504	FAM127B	746.732
FAM127C	451.8964	FAM127C	504.4935
FAM128A	525.4192	FAM128A	140.9314
FAM128B	2450.6411	FAM128B	562.9085
FAM129A	4430.0188	FAM129A	5985.7026
FAM129B	4603.9631	FAM129B	3648.2843
FAM131A	223.7963	FAM131A	337.4183
FAM131B	81.7717	FAM131B	154.0033
FAM133B	86.4341	FAM133B	121.732
FAM134A	3038.8236	FAM134A	2498.7745
FAM134B	1971.8461	FAM134B	401.9608
FAM134C	2255.178	FAM134C	2092.3203
FAM135A	99.3455	FAM135A	367.6471
FAM135B	11.4767	removed	removed
FAM136A	684.3002	FAM136A	801.4706
FAM13AOS	13.3453	FAM13AOS	25.1838
FAM13A	312.307	FAM13A	1419.6691
FAM13B	1140.5326	FAM13B	1591.9118
FAM13C	69.2155	FAM13C	336.875
FAM149A	69.219	FAM149A	183.8235
FAM149B1	328.8801	FAM149B1	513.8889
FAM150B	6.8143	FAM150B	129.085
FAM151B	35.8648	FAM151B	14.2974
FAM154B	31.2024	FAM154B	43.3007
FAM155A	130.1892	FAM155A	30.6373
FAM155B	62.7634	FAM155B	44.9346
FAM156A	215.5474	FAM156A	402.7778
FAM157A	15.4219	FAM157A	37.9902
FAM158A	127.6787	FAM158A	72.3039
FAM159A	13.9873	FAM159A	5.3105
FAM160A1	109.7463	FAM160A1	308.415
FAM160A2	621.5368	FAM160A2	802.2876
FAM160B1	696.4942	FAM160B1	754.4935
FAM160B2	953.2861	FAM160B2	1049.4281
FAM161A	50.5694	FAM161A	80.4739
FAM161B	111.4857	FAM161B	215.2778
FAM162A	830.2699	FAM162A	688.7255
FAM162B	21.5189	FAM162B	31.0458
FAM164A	159.957	FAM164A	301.4706
FAM164C	48.7761	FAM164C	91.9118
FAM165B	261.0957	FAM165B	294.5261
removed	removed	FAM166B	7.7614
FAM167A	111.1808	FAM167A	163.8072
FAM167B	54.8731	FAM167B	26.1438
FAM168A	532.9508	FAM168A	389.7059
FAM168B	2536.3579	FAM168B	3763.8889
FAM169A	101.856	FAM169A	131.1275
FAM171A1	332.8252	FAM171A1	1280.2288
FAM171A2	41.9618	FAM171A2	13.0719
FAM171B	162.4675	FAM171B	525.3268
FAM172A	763.2027	FAM172A	819.8529
FAM173A	218.0579	FAM173A	44.5261
FAM173B	452.255	FAM173B	189.5425
FAM174A	479.5122	FAM174A	145.8333
FAM174B	895.1852	FAM174B	984.4771
FAM175A	316.7937	FAM175A	290.7394
FAM175B	405.6308	FAM175B	611.9281
FAM176A	153.1427	FAM176A	193.6275
FAM176B	609.6046	FAM176B	127.1569
FAM177A1	835.6496	FAM177A1	701.7974
FAM178A	709.0469	FAM178A	1065.3595
removed	removed	FAM178B	6.5359
FAM179B	476.6431	FAM179B	892.9739
FAM180A	36.2234	FAM180A	64.951
removed	removed	FAM180B	7.3529
FAM181B	32.9956	FAM181B	31.4542
FAM182B	6.8143	FAM182B	19.6078
FAM183A	7.173	FAM183A	7.3529
FAM184A	44.4723	FAM184A	195.2614
FAM184B	57.7316	FAM184B	32.9943
FAM185A	127.6787	FAM185A	99.6732
FAM186B	7.8903	FAM186B	29.0033
FAM188A	356.1374	FAM188A	431.3725
FAM188B	143.66	FAM188B	198.6724
FAM189A1	13.9873	FAM189A1	13.4804
FAM189A2	318.1207	FAM189A2	1538.8072
FAM189B	839.9534	FAM189B	527.3693
FAM18A	10.7307	FAM18A	26.1846
FAM18B2	232.8593	FAM18B2	225.1511
FAM18B	893.7506	FAM18B	714.4608
FAM190A	38.0167	FAM190A	145.8333
FAM190B	1012.8217	FAM190B	1553.9216
FAM192A	1257.7782	FAM192A	1092.3203
FAM193A	608.9841	FAM193A	1040.0327
FAM193B	376.9389	FAM193B	602.1242
FAM195A	409.2173	FAM195A	94.3627
FAM195B	1250.9639	FAM195B	813.317
FAM196A	34.7888	FAM196A	13.8889
FAM196B	21.5189	FAM196B	589.0523
FAM198A	303.7748	FAM198A	174.0196
FAM198B	8479.5122	FAM198B	3772.4673
FAM199X	817.3586	FAM199X	444.4444
FAM19A2	8.2489	FAM19A2	35.1307
removed	removed	FAM19A3	9.8039
FAM19A5	19.367	FAM19A5	72.7124
FAM200A	295.5259	FAM200A	244.6895
FAM200B	265.0408	FAM200B	467.3203
FAM20A	110.4636	FAM20A	564.134
FAM20B	2580.8303	FAM20B	1801.0621
FAM20C	1606.7426	FAM20C	1321.4869
FAM21A	298.0364	FAM21A	658.0882
FAM21B	425.7151	FAM21B	765.5229
FAM21C	1049.7624	FAM21C	1870.5065
FAM22A	21.8775	FAM22A	42.8922
FAM22D	63.122	FAM22D	106.6176
FAM24B	5.2972	FAM24B	25.0123
FAM26E	257.5092	FAM26E	93.9542
FAM26F	73.5228	FAM26F	54.3301
removed	removed	FAM27A	5.719
removed	removed	FAM27C	7.3529
FAM32A	1537.1649	FAM32A	1580.0654
FAM35A	573.1193	FAM35A	750.4085
FAM35B2	40.1686	FAM35B2	51.4706
FAM35B	182.1931	FAM35B	217.3203
FAM36A	1770.4689	FAM36A	642.2631
FAM38A	4650.2681	FAM38A	1795.0776
FAM38B	207.2985	FAM38B	138.4804
FAM3A	650.9459	FAM3A	410.9477
FAM3B	40.1686	FAM3B	796.5686
FAM3C	1083.1167	FAM3C	723.0392
FAM3D	8.6075	FAM3D	475.4902
FAM40A	479.5122	FAM40A	787.9902
FAM40B	63.122	FAM40B	51.4706
FAM41C	10.7594	FAM41C	14.2974
FAM43A	236.349	FAM43A	343.1373
FAM43B	27.9745	FAM43B	41.6667
FAM45A	338.5636	FAM45A	392.1569
FAM45B	152.0667	FAM45B	209.1503
FAM46A	466.6009	FAM46A	936.2745
FAM46B	232.7625	FAM46B	394.1993
FAM46C	876.1768	FAM46C	725.8987
FAM47E	50.4295	FAM47E	133.6315
FAM48A	393.6878	FAM48A	1011.9853
FAM49A	74.5988	FAM49A	262.6634
FAM49B	1114.319	FAM49B	771.6503
FAM50A	1062.6737	FAM50A	526.9608
FAM50B	267.1927	FAM50B	203.0229
FAM53A	23.3121	FAM53A	22.8758
FAM53B	631.7152	FAM53B	643.7623
FAM53C	1054.7799	FAM53C	1779.8203
FAM54A	29.4091	FAM54A	10.2124
FAM54B	948.925	FAM54B	1064.9592
removed	removed	FAM55B	6.5359
FAM55C	493.8582	FAM55C	540.4412
FAM57A	355.0614	FAM57A	290.8497
FAM57B	5.2757	removed	removed
FAM58A	340.3569	FAM58A	192.402
FAM59A	147.7629	FAM59A	296.5686
removed	removed	FAM5B	29.8203
FAM60A	1233.3901	FAM60A	1870.915
FAM63A	1230.1623	FAM63A	723.0392
FAM63B	332.108	FAM63B	323.1209
FAM64A	46.9829	FAM64A	22.4673
FAM65A	1588.4515	FAM65A	1142.5654
FAM65B	63.122	FAM65B	129.4935
FAM65C	31.2024	FAM65C	37.1732
removed	removed	FAM66A	5.719
FAM66C	21.8775	FAM66C	29.8203
FAM69A	565.9894	FAM69A	424.4526
FAM69B	215.8415	FAM69B	157.5327
removed	removed	FAM69C	7.3529
FAM70A	47.7002	FAM70A	234.4771
FAM70B	39.0926	FAM70B	28.5948
FAM71D	27.6159	FAM71D	16.3399
FAM71E1	73.5694	FAM71E1	36.5155
removed	removed	FAM71F2	10.6209
FAM72A	8.2489	removed	removed
FAM72B	45.9069	FAM72B	13.4804
FAM72D	27.9745	FAM72D	6.5359
FAM73A	896.6197	FAM73A	702.2059
FAM73B	344.6606	FAM73B	329.2484
FAM76A	253.2054	FAM76A	323.9379
FAM76B	274.007	FAM76B	352.9412
FAM78A	131.6238	FAM78A	124.5915
FAM78B	19.0083	FAM78B	20.8333
removed	removed	FAM7A3	6.9444
FAM81A	45.9069	FAM81A	68.219
FAM81B	7.5316	FAM81B	14.2974
FAM82A1	65.9912	FAM82A1	123.366
FAM82A2	1025.733	FAM82A2	846.4052
FAM82B	605.039	FAM82B	807.1895
removed	removed	FAM83A	19.6078
FAM83B	338.205	FAM83B	203.8399
FAM83D	150.2735	FAM83D	37.9902
removed	removed	FAM83E	56.781
FAM83F	128.7546	FAM83F	241.8301
FAM83G	193.9496	FAM83G	155.2124
FAM83H	2017.3944	FAM83H	1262.2549
FAM84A	112.6154	FAM84A	194.8529
FAM84B	1935.9814	FAM84B	2599.6732
FAM86A	244.1173	FAM86A	254.3342
FAM86B1	79.6198	FAM86B1	162.9902
FAM86B2	13.6286	FAM86B2	17.1569
FAM86C	164.978	FAM86C	186.2745
FAM86D	83.9236	FAM86D	247.549
FAM89A	94.3244	FAM89A	116.8301
FAM89B	1178.8756	FAM89B	598.8562
FAM8A1	1524.2536	FAM8A1	1552.6961
FAM90A1	5.0211	FAM90A1	15.5229
FAM91A1	1051.197	FAM91A1	875.817
FAM92A1	58.8183	FAM92A1	128.268
FAM95B1	7.5316	FAM95B1	23.2843
FAM96A	603.9631	FAM96A	382.7614
FAM96B	480.9468	FAM96B	299.8366
FAM98A	979.1088	FAM98A	969.3627
FAM98B	584.5961	FAM98B	436.683
FAM98C	278.6694	FAM98C	178.9216
FANCA	192.3393	FANCA	109.2933
FANCB	24.7467	FANCB	18.3824
FANCC	312.3823	FANCC	308.0065
FANCD2	238.8595	FANCD2	228.3497
FANCE	90.0206	FANCE	123.7745
FANCF	918.1386	FANCF	360.2941
FANCG	355.7787	FANCG	239.7876
FANCI	833.6161	FANCI	389.0278
FANCL	256.7919	FANCL	385.723
FANCM	159.2397	FANCM	287.1732
FANK1	163.1848	FANK1	111.5196
FAP	1762.7544	FAP	433.415
FAR1	1514.5701	FAR1	1047.3856
FAR2	318.4578	FAR2	72.3039
FARP1	2023.1328	FARP1	2812.9085
FARP2	504.9762	FARP2	332.9248
FARS2	323.5004	FARS2	218.9542
FARSA	1290.4151	FARSA	798.2026
FARSB	1014.6149	FARSB	1044.9346
FASLG	28.6918	FASLG	31.0458
FASN	10272.0344	FASN	3708.7418
FASTKD1	213.7541	FASTKD1	290.8497
FASTKD2	1089.931	FASTKD2	1104.1667
FASTKD3	200.4842	FASTKD3	174.4281
FASTKD5	460.1453	FASTKD5	470.817
FASTK	625.1233	FASTK	441.9935
FAS	243.8806	FAS	461.1928
FAT1	2519.1428	FAT1	9036.7647
FAT2	248.543	FAT2	2173.2026
FAT3	105.0838	FAT3	148.2843
FAT4	425.3564	FAT4	881.5359
FAU	6455.6622	FAU	5406.0458
FBF1	183.0288	FBF1	112.067
FBLIM1	2660.8088	FBLIM1	1880.719
FBLL1	18.6497	FBLL1	33.0882
FBLN1	3909.9794	FBLN1	4805.1471
FBLN2	2345.1986	FBLN2	2329.6569
FBLN5	1190.3524	FBLN5	3260.6209
FBLN7	338.9223	FBLN7	316.9935
FBL	3009.4145	FBL	4274.5098
FBN1	8510.356	FBN1	5645.8333
FBN2	136.6448	FBN2	50.2451
removed	removed	FBN3	22.8758
FBP1	2113.8707	FBP1	682.1895
FBRSL1	459.7866	FBRSL1	427.2876
FBRS	1267.8203	FBRS	1318.6275
FBXL12	234.1971	FBXL12	341.9118
FBXL13	30.4851	FBXL13	9.8039
FBXL14	725.186	FBXL14	734.0686
FBXL15	166.054	FBXL15	75.5719
FBXL16	138.4381	FBXL16	192.8105
FBXL17	1145.1627	FBXL17	694.4444
FBXL18	467.3182	FBXL18	382.3529
FBXL19	387.3397	FBXL19	393.3824
FBXL20	156.3705	FBXL20	162.9902
FBXL22	19.9372	FBXL22	73.366
FBXL2	220.9271	FBXL2	204.6569
FBXL3	1419.5284	FBXL3	1611.1111
FBXL4	213.7541	FBXL4	428.9216
FBXL5	2993.634	FBXL5	2775.3268
FBXL6	145.2237	FBXL6	119.7508
FBXL7	568.8156	FBXL7	570.6699
FBXL8	68.0283	FBXL8	29.0605
FBXO10	154.6095	FBXO10	261.9444
FBXO11	1738.725	FBXO11	2024.1013
FBXO15	49.4934	FBXO15	28.5948
FBXO16	93.2485	FBXO16	32.6797
FBXO17	94.3244	FBXO17	243.4641
FBXO18	1475.7751	FBXO18	1568.7132
FBXO21	1502.0174	FBXO21	1372.549
FBXO22OS	75.8002	FBXO22OS	50.1266
FBXO22	572.2765	FBXO22	422.9126
FBXO24	7.7038	FBXO24	17.9698
FBXO25	732.359	FBXO25	627.0425
FBXO27	87.1514	FBXO27	135.6209
FBXO28	2453.5103	FBXO28	1238.5621
FBXO2	96.8349	FBXO2	368.8725
FBXO30	386.6224	FBXO30	569.4444
FBXO31	640.1865	FBXO31	832.5163
FBXO32	907.0205	FBXO32	2641.3399
FBXO33	141.3073	FBXO33	404.8203
FBXO34	635.1654	FBXO34	1031.0458
FBXO36	249.6189	FBXO36	178.5131
FBXO38	997.7585	FBXO38	936.2745
FBXO39	5.0211	FBXO39	11.8464
FBXO3	1239.4871	FBXO3	878.6765
FBXO41	207.6571	FBXO41	210.3758
FBXO42	395.23	FBXO42	535.5392
FBXO43	10.7594	FBXO43	8.9869
FBXO44	372.2765	FBXO44	355.8007
FBXO45	662.7813	FBXO45	539.2157
FBXO46	526.4951	FBXO46	318.219
FBXO48	30.4851	FBXO48	37.1732
FBXO4	399.1751	FBXO4	245.5065
FBXO5	134.493	FBXO5	179.3301
FBXO6	432.5294	FBXO6	133.1699
FBXO7	1708.9572	FBXO7	2359.4771
FBXO8	363.5865	FBXO8	499.424
FBXO9	803.3713	FBXO9	1156.8627
FBXW11	1436.0262	FBXW11	1450.9804
FBXW2	2014.5252	FBXW2	1989.3791
FBXW4	907.7378	FBXW4	1360.7026
FBXW5	1660.5398	FBXW5	882.7614
FBXW7	227.0241	FBXW7	1294.1176
FBXW8	484.5333	FBXW8	710.3758
FBXW9	306.7085	FBXW9	184.8203
FCER1A	134.8516	FCER1A	386.8464
FCER1G	475.9258	FCER1G	280.2288
removed	removed	FCER2	15.5229
FCF1	527.5711	FCF1	880.719
FCGBP	464.449	FCGBP	1029.0033
FCGR1A	104.0043	FCGR1A	44.5261
FCGR1B	75.6747	FCGR1B	35.9477
FCGR1C	17.9324	FCGR1C	10.2124
FCGR2A	767.5065	FCGR2A	447.7124
FCGR2B	156.3705	FCGR2B	117.2386
FCGR2C	44.831	FCGR2C	37.1732
FCGR3A	1255.2676	FCGR3A	734.8856
removed	removed	FCGR3B	6.1275
FCGRT	2364.5656	FCGRT	2835.3758
FCHO1	15.7805	FCHO1	59.6405
FCHO2	1000.6276	FCHO2	806.3725
FCHSD1	147.6912	FCHSD1	265.4657
FCHSD2	703.3049	FCHSD2	745.0368
FCN1	29.0505	FCN1	33.4967
FCN2	8.9662	removed	removed
FCN3	13.9873	FCN3	6.1275
FCRL5	40.5272	FCRL5	13.4804
FCRL6	6.097	FCRL6	14.7059
FCRLA	12.5527	FCRLA	5.719
FCRLB	28.3332	FCRLB	13.4804
FDFT1	2660.0915	FDFT1	2578.0229
FDPS	2624.9691	FDPS	1386.1275
FDX1L	183.5596	FDX1L	106.9322
FDX1	533.6681	FDX1	374.5915
FDXACB1	208.8478	FDXACB1	108.6601
FDXR	187.9315	FDXR	157.2712
FECH	936.7883	FECH	654.0033
FEM1A	1000.9863	FEM1A	1033.9052
FEM1B	2497.9826	FEM1B	2754.085
FEM1C	1303.3265	FEM1C	926.0621
FEN1	749.9328	FEN1	380.719
FER1L4	7.173	FER1L4	18.7908
removed	removed	FER1L5	9.8039
FERMT1	43.0377	FERMT1	308.415
FERMT2	1029.6781	FERMT2	1504.4935
FERMT3	377.2976	FERMT3	140.9314
FER	109.3876	FER	80.4739
FES	247.1084	FES	291.6667
removed	removed	FETUB	11.0294
FEZ1	60.9701	FEZ1	285.5392
FEZ2	894.4679	FEZ2	1050.2451
removed	removed	FEZF2	5.3105
FFAR2	12.9113	removed	removed
FFAR3	8.2489	removed	removed
FGD1	433.2467	FGD1	361.1111
FGD2	28.6918	FGD2	52.6961
FGD3	1776.7417	FGD3	280.2288
FGD4	301.6229	FGD4	587.8268
FGD5	1042.5894	FGD5	993.4641
FGD6	798.3502	FGD6	806.781
FGF10	8.6075	FGF10	42.0752
FGF11	80.6958	FGF11	207.9616
FGF12	24.7467	FGF12	61.2745
FGF13	608.6255	FGF13	284.3137
FGF14	139.514	FGF14	234.8856
FGF18	9.3248	removed	removed
removed	removed	FGF19	14.2974
FGF1	292.298	FGF1	1662.9902
FGF2	429.61	FGF2	545.8374
FGF7	195.1045	FGF7	575.1634
removed	removed	FGF9	22.8758
removed	removed	FGFBP1	232.8431
FGFBP2	5.3797	FGFBP2	46.1601
FGFBP3	36.9407	FGFBP3	60.049
FGFR1OP2	355.4201	FGFR1OP2	607.4346
FGFR1OP	188.2148	FGFR1OP	175.2288
FGFR1	1526.4055	FGFR1	4783.4967
FGFR2	724.8274	FGFR2	2072.7124
FGFR3	34.4302	FGFR3	62.0915
FGFR4	30.8437	FGFR4	42.0752
FGFRL1	501.3898	FGFRL1	612.7451
FGGY	276.8762	FGGY	174.8366
removed	removed	FGL1	7.3529
FGL2	635.5241	FGL2	1004.902
FGR	121.223	FGR	149.1013
FHAD1	54.9879	FHAD1	92.8023
FHDC1	287.277	FHDC1	483.6601
