gene_id	TCGA-E2-A1BC-01A-11R-A12P-07	gene_id	TCGA-E2-A1BC-11A-32R-A12P-07
CTDSP2	5494.829	CTDSP2	8020.6884
CTDSPL2	923.6277	CTDSPL2	589.9768
CTDSPL	1684.9642	CTDSPL	813.9825
CTF1	62.0525	CTF1	265.3826
CTGF	11716.786	CTGF	2128.7676
CTHRC1	3560.8592	CTHRC1	286.071
CTH	171.8377	CTH	508.6499
CTLA4	10.3421	removed	removed
CTNNA1	15188.5442	CTNNA1	7528.4466
CTNNA2	124.9006	removed	removed
CTNNAL1	479.7136	CTNNAL1	1325.486
CTNNB1	14031.5911	CTNNB1	5700.6599
CTNNBIP1	1026.253	CTNNBIP1	901.0166
CTNNBL1	634.8449	CTNNBL1	1149.9911
CTNND1	17272.8719	CTNND1	4119.572
CTNND2	274.463	CTNND2	8.5607
CTNS	206.6508	CTNS	380.0107
CTPS2	717.5815	CTPS2	387.3729
CTPS	280.0318	CTPS	156.2333
CTR9	2794.7494	CTR9	1032.9945
CTSA	1393.7947	CTSA	2074.6923
CTSB	10359.5863	CTSB	12391.6533
CTSC	1007.1599	CTSC	2383.4493
CTSD	14381.066	CTSD	10298.5554
CTSF	1516.3087	CTSF	3051.8994
removed	removed	CTSG	81.3269
CTSH	1058.0748	CTSH	823.2566
CTSK	5367.5418	CTSK	3667.5584
CTSL1	1005.5688	CTSL1	3597.6458
CTSL2	5.5688	removed	removed
CTSO	1613.3652	CTSO	827.537
CTSS	488.4646	CTSS	555.7339
CTSW	16.7064	CTSW	55.6447
CTSZ	2759.7454	CTSZ	3617.6208
CTTNBP2NL	1129.6738	CTTNBP2NL	627.7867
CTTNBP2	93.0788	CTTNBP2	298.1987
CTTN	3409.7056	CTTN	2623.1496
CTU1	19.0931	CTU1	29.2492
CTU2	71.8059	CTU2	223.542
CTXN1	97.0565	CTXN1	8.5607
CUBN	26.253	CUBN	174.7815
CUEDC1	331.7422	CUEDC1	266.8093
CUEDC2	647.5736	CUEDC2	971.6426
CUL1	1065.2347	CUL1	1931.1575
CUL2	1241.8457	CUL2	829.6772
CUL3	2739.8568	CUL3	1788.4787
CUL4A	2394.5903	CUL4A	2235.0633
CUL4B	2938.743	CUL4B	1807.7403
CUL5	1640.4137	CUL5	930.2657
CUL7	1247.3588	CUL7	1203.3244
CUL9	582.3389	CUL9	469.4132
CUTA	1231.5036	CUTA	1610.8436
CUTC	205.7359	CUTC	460.4031
CUX1	695.3063	CUX1	2073.1229
CUX2	53.3015	removed	removed
CUZD1	10.0796	CUZD1	8.8675
CWC15	844.8687	CWC15	1103.6205
CWC22	773.2697	CWC22	599.2509
CWC25	408.9101	CWC25	585.6965
CWC27	488.4646	CWC27	415.9087
CWF19L1	515.5131	CWF19L1	408.0614
CWF19L2	579.1567	CWF19L2	567.8616
CX3CL1	405.7279	CX3CL1	1590.1552
CX3CR1	204.4551	CX3CR1	49.2242
CXADRP3	143.9936	removed	removed
CXADR	110.5807	removed	removed
CXCL10	109.7852	CXCL10	14.9813
CXCL11	35.7995	removed	removed
CXCL12	2455.0517	CXCL12	6974.8529
CXCL13	82.7367	removed	removed
CXCL14	4588.7033	CXCL14	13459.6041
CXCL16	568.8146	CXCL16	232.5664
CXCL1	11.1376	CXCL1	17.8348
CXCL2	116.9451	CXCL2	482.2543
removed	removed	CXCL3	14.9813
CXCL9	127.2872	CXCL9	122.7038
removed	removed	CXCR1	24.2554
removed	removed	CXCR2	22.8286
CXCR3	12.7287	CXCR3	5.7072
CXCR4	871.1217	CXCR4	343.1425
CXCR5	11.9411	removed	removed
CXCR6	23.0708	CXCR6	12.8411
CXCR7	466.1893	CXCR7	2698.056
CXXC1	528.2418	CXXC1	660.6028
CXXC4	47.7327	removed	removed
CXXC5	370.7239	CXXC5	439.4507
CXorf21	41.3683	CXorf21	12.8411
removed	removed	CXorf23	222.5789
CXorf26	526.6508	CXorf26	347.4229
CXorf36	651.5513	CXorf36	1916.1762
CXorf38	249.0056	CXorf38	186.1958
CXorf40A	805.0915	CXorf40A	362.4041
CXorf40B	895.7836	CXorf40B	320.3139
CXorf42	15.1154	CXorf42	39.2367
CXorf56	320.6046	CXorf56	260.3888
CXorf57	76.3723	CXorf57	39.9501
CYB561D1	293.5561	CYB561D1	374.5318
CYB561D2	517.2474	CYB561D2	272.9517
CYB561	3252.1877	CYB561	767.6119
CYB5A	3353.222	CYB5A	11697.521
CYB5B	1180.5887	CYB5B	1748.5286
CYB5D1	1228.3214	CYB5D1	515.4057
CYB5D2	413.6834	CYB5D2	548.6
CYB5R1	1929.1965	CYB5R1	1230.6046
CYB5R2	311.8536	CYB5R2	267.5227
CYB5R3	3055.6881	CYB5R3	7860.1748
CYB5R4	295.9427	CYB5R4	354.5568
CYB5RL	99.4431	CYB5RL	101.3019
CYBASC3	809.0692	CYBASC3	875.3344
CYBA	132.856	CYBA	547.8866
CYBB	428.7987	CYBB	296.0585
CYBRD1	19209.2283	CYBRD1	14265.0259
CYC1	1000.7955	CYC1	3631.1753
CYCS	1956.245	CYCS	1306.9378
CYFIP1	3074.7812	CYFIP1	3042.6253
CYFIP2	893.397	CYFIP2	151.2395
CYGB	378.6794	CYGB	2046.7273
CYHR1	459.0294	CYHR1	910.2907
CYLD	1254.5744	CYLD	1020.8668
CYP11A1	9.5465	CYP11A1	20.6884
CYP19A1	7.9554	removed	removed
CYP1A1	27.0485	CYP1A1	364.5443
removed	removed	CYP1A2	34.9563
CYP1B1	1352.4264	CYP1B1	813.2691
CYP20A1	813.0469	CYP20A1	832.5308
CYP21A2	172.6889	CYP21A2	247.776
CYP26A1	42.9594	removed	removed
CYP26B1	246.6189	CYP26B1	2656.6792
CYP27A1	386.6348	CYP27A1	654.1823
CYP27B1	23.8663	removed	removed
removed	removed	CYP27C1	6.4205
removed	removed	CYP2A6	58.4983
CYP2B7P1	97.852	CYP2B7P1	6.4205
CYP2D6	5.5688	CYP2D6	50.651
removed	removed	CYP2D7P1	9.2741
CYP2E1	16.961	removed	removed
CYP2J2	178.9976	removed	removed
CYP2R1	431.1854	CYP2R1	124.8439
CYP2S1	34.2084	CYP2S1	14.2679
CYP2U1	268.8942	CYP2U1	505.0829
CYP39A1	13.5243	CYP39A1	54.9313
removed	removed	CYP3A4	23.542
CYP3A5	15.9109	CYP3A5	466.5597
CYP46A1	9.5465	CYP46A1	14.2679
CYP4A22	5.5688	removed	removed
CYP4B1	749.4033	CYP4B1	3599.0726
CYP4F11	154.3357	removed	removed
CYP4F12	8.751	CYP4F12	97.735
CYP4F22	35.7995	CYP4F22	64.9189
CYP4F8	723.1504	removed	removed
CYP4V2	768.4964	CYP4V2	731.9422
CYP4X1	364.3596	CYP4X1	105.5823
CYP4Z1	6513.1265	CYP4Z1	5.7072
CYP4Z2P	1095.4654	removed	removed
CYP51A1	1223.5481	CYP51A1	833.2442
CYP7B1	142.4025	CYP7B1	62.0653
removed	removed	CYP8B1	6.4205
CYR61	10662.6889	CYR61	5614.4106
CYS1	174.2243	CYS1	17.1215
CYSLTR1	38.9817	CYSLTR1	65.6322
CYSLTR2	18.2975	CYSLTR2	8.5607
CYTH1	649.9602	CYTH1	807.562
CYTH2	1374.7017	CYTH2	1341.8941
CYTH3	1112.9674	CYTH3	1957.5531
CYTH4	128.8783	CYTH4	153.3797
CYTIP	62.8481	CYTIP	54.2179
CYTL1	22.2753	CYTL1	22.1152
CYTSA	2474.1448	CYTSA	1334.7601
CYTSB	324.5823	CYTSB	248.2611
CYYR1	537.7884	CYYR1	1807.0269
D2HGDH	436.7542	D2HGDH	423.756
D4S234E	22.2753	D4S234E	47.7974
DAAM1	1017.502	DAAM1	498.6624
DAAM2	446.4041	DAAM2	1656.1655
DAB2IP	987.2713	DAB2IP	1100.0535
DAB2	1556.0859	DAB2	1650.0803
DACH1	1306.2848	DACH1	176.9217
DACT1	613.3652	DACT1	91.3144
removed	removed	DACT2	67.059
DACT3	179.7932	DACT3	67.059
DAD1	2232.2991	DAD1	1960.4066
DAG1	5069.2124	DAG1	1862.6717
DAGLA	196.4996	DAGLA	74.9064
DAGLB	408.9101	DAGLB	438.0239
DAK	1101.8298	DAK	573.5688
DALRD3	679.8409	DALRD3	509.0779
DAP3	2262.5298	DAP3	2365.6144
DAPK1	196.4996	DAPK1	495.0954
DAPK2	168.6555	DAPK2	1540.2176
DAPK3	651.5513	DAPK3	658.4626
DAPP1	79.5545	DAPP1	15.6947
DAP	4797.9316	DAP	2484.0378
DARC	373.9061	DARC	1624.3981
DARS2	513.922	DARS2	502.9428
DARS	1434.3675	DARS	2344.2126
DAXX	1447.0963	DAXX	1100.0535
DAZAP1	899.7613	DAZAP1	1789.9055
DAZAP2	6514.7176	DAZAP2	3981.4518
DBC1	13.5243	removed	removed
DBF4B	73.9857	DBF4B	83.4671
DBF4	172.8242	DBF4	100.7883
removed	removed	DBH	230.4263
DBI	3857.5975	DBI	6947.7439
DBN1	1140.8115	DBN1	1403.2459
DBNDD1	239.459	DBNDD1	16.4081
DBNDD2	363.8743	DBNDD2	579.2759
DBNL	1467.7804	DBNL	2528.9816
DBP	162.2912	DBP	570.5154
DBR1	448.6874	DBR1	302.479
DBT	1184.5664	DBT	1710.0054
DBX2	9.5465	DBX2	14.2679
DCAF10	5910.1034	DCAF10	1120.7419
DCAF11	2044.5426	DCAF11	1640.7847
DCAF12	1642.8003	DCAF12	812.5557
DCAF13	1018.3055	DCAF13	466.845
DCAF15	157.5179	DCAF15	320.3139
DCAF16	1305.4893	DCAF16	472.9802
DCAF17	692.9196	DCAF17	301.7657
removed	removed	DCAF4L1	7.8473
DCAF4	351.6309	DCAF4	212.5914
DCAF5	1976.1337	DCAF5	2372.7484
DCAF6	1739.0613	DCAF6	1674.3357
DCAF7	2474.9403	DCAF7	1066.524
DCAF8	2200.4773	DCAF8	3097.3783
DCAKD	703.2617	DCAKD	580.7027
DCBLD1	315.9586	DCBLD1	312.4666
DCBLD2	764.5187	DCBLD2	828.2504
DCDC1	28.0191	removed	removed
DCDC2	182.0048	removed	removed
DCHS1	937.9475	DCHS1	909.5773
DCHS2	19.0931	DCHS2	7.1339
DCI	475.7359	DCI	1971.8209
DCK	370.7239	DCK	414.4819
DCLK1	254.5744	DCLK1	900.3032
DCLK2	149.5625	DCLK2	74.193
DCLK3	16.7064	DCLK3	6.4205
DCLRE1A	459.0294	DCLRE1A	196.8967
DCLRE1B	207.6372	DCLRE1B	134.8315
DCLRE1C	253.7788	DCLRE1C	236.8468
DCN	27105.0119	DCN	38100.2319
DCP1A	985.6802	DCP1A	893.1693
DCP1B	330.9467	DCP1B	322.4541
DCP2	1588.7033	DCP2	729.802
DCPS	198.0907	DCPS	241.8406
DCST2	7.9554	DCST2	17.8348
DCTD	1338.9021	DCTD	1687.8901
DCTN1	4442.8481	DCTN1	4017.5852
DCTN2	1933.9698	DCTN2	2209.3811
DCTN3	666.6667	DCTN3	961.6551
DCTN4	3458.2339	DCTN4	3153.2014
DCTN5	1940.3341	DCTN5	915.2845
DCTN6	577.5656	DCTN6	958.0881
DCTPP1	980.7637	DCTPP1	367.3979
removed	removed	DCT	7.8473
DCUN1D1	769.292	DCUN1D1	454.432
DCUN1D2	472.5537	DCUN1D2	341.7157
DCUN1D3	256.1655	DCUN1D3	316.0335
DCUN1D4	1053.3015	DCUN1D4	1214.1965
DCUN1D5	1086.7144	DCUN1D5	347.4229
DCXR	1461.4161	DCXR	4674.8707
removed	removed	DCX	9.9875
DDA1	474.1448	DDA1	609.9518
removed	removed	DDAH1	220.4387
DDAH2	1401.7502	DDAH2	2184.4123
DDB1	9852.0286	DDB1	4866.0603
DDB2	473.3492	DDB2	388.7997
removed	removed	DDC	14.2679
DDHD1	343.6754	DDHD1	631.3537
DDHD2	857.5975	DDHD2	2067.4157
DDI2	227.6611	DDI2	144.1413
DDIT3	178.8465	DDIT3	531.4785
DDIT4L	59.6659	DDIT4L	73.4796
DDIT4	5343.6754	DDIT4	5677.9026
DDOST	1986.4757	DDOST	1619.4043
DDO	59.6659	DDO	83.4671
DDR1	5167.0644	DDR1	2361.334
DDR2	365.9507	DDR2	679.1511
DDRGK1	712.8083	DDRGK1	1299.0904
DDTL	116.4757	DDTL	595.8837
DDT	492.323	DDT	2004.8154
DDX10	642.0048	DDX10	388.0863
DDX11L2	21.4797	DDX11L2	39.9501
DDX11	237.8679	DDX11	383.0926
DDX12	19.0931	DDX12	27.109
DDX17	11427.2076	DDX17	6875.6911
DDX18	1913.2856	DDX18	1465.3112
DDX19A	514.7176	DDX19A	1144.9403
DDX19B	620.5091	DDX19B	1197.7956
DDX1	3540.175	DDX1	3048.3324
DDX20	617.3429	DDX20	332.4416
DDX21	1657.1201	DDX21	1266.2743
DDX23	2630.0716	DDX23	1869.8056
DDX24	3153.5402	DDX24	4200.4637
DDX26B	148.7669	DDX26B	82.7537
DDX27	1095.4654	DDX27	1022.2936
DDX28	138.4248	DDX28	256.8218
DDX31	362.7685	DDX31	172.6413
DDX39	293.5561	DDX39	390.2265
DDX3X	8054.8926	DDX3X	10170.8579
DDX41	1029.4352	DDX41	842.5183
DDX42	3580.7478	DDX42	4012.8411
DDX43	6.3644	DDX43	23.9201
DDX46	1991.249	DDX46	1169.9661
DDX47	1149.5625	DDX47	965.9354
DDX49	638.027	DDX49	779.0262
DDX50	921.2411	DDX50	1407.5263
DDX51	312.6492	DDX51	498.6624
DDX52	498.8067	DDX52	475.1204
DDX54	875.6165	DDX54	1768.2611
DDX55	513.922	DDX55	383.806
DDX56	1048.5282	DDX56	1127.1625
DDX58	1582.3389	DDX58	431.6034
DDX59	382.6571	DDX59	387.3729
DDX5	13143.1981	DDX5	8356.697
DDX60L	403.3413	DDX60L	197.6101
DDX60	750.9944	DDX60	354.5568
DDX6	5227.5259	DDX6	3372.9267
DEAF1	634.8449	DEAF1	414.4819
DECR1	1540.175	DECR1	3097.5566
DECR2	318.218	DECR2	427.323
DEDD2	336.5155	DEDD2	372.3917
DEDD	745.0756	DEDD	1106.8379
DEF6	204.4551	DEF6	44.2304
DEF8	381.066	DEF8	789.0137
DEFB132	26.253	DEFB132	106.2957
DEFB1	8.751	DEFB1	156.9467
DEGS1	1461.4161	DEGS1	1102.9071
DEGS2	1181.3842	DEGS2	8.5607
DEK	1925.2188	DEK	2282.1473
DEM1	245.0278	DEM1	79.1867
DENND1A	431.1854	DENND1A	520.7776
DENND1B	143.1981	DENND1B	33.5295
DENND1C	124.9006	DENND1C	23.542
DENND2A	100.2387	DENND2A	762.6182
DENND2C	55.6165	DENND2C	64.9759
DENND2D	1383.4527	DENND2D	676.2975
DENND3	326.1734	DENND3	955.9479
DENND4A	622.1161	DENND4A	476.219
DENND4B	448.6874	DENND4B	900.3032
DENND4C	2141.607	DENND4C	1749.9554
DENND5A	1798.7271	DENND5A	1869.8056
DENND5B	343.6754	DENND5B	445.1578
DENR	1666.6667	DENR	1100.0535
DEPDC1B	5.5688	removed	removed
DEPDC1	14.3198	removed	removed
DEPDC4	15.1154	removed	removed
DEPDC5	292.7605	DEPDC5	164.794
DEPDC6	785.2029	DEPDC6	292.4915
DEPDC7	23.0708	DEPDC7	11.4143
DERA	470.9626	DERA	547.8866
DERL1	2190.9308	DERL1	2418.4056
DERL2	472.5537	DERL2	618.5126
DERL3	92.2832	DERL3	6.4205
DES	6.3644	DES	683.4314
DET1	151.9491	DET1	262.529
DEXI	518.6953	DEXI	565.7214
DFFA	416.07	DFFA	460.8525
DFFB	85.9189	DFFB	84.1805
DFNA5	99.4431	DFNA5	159.0869
DFNB31	176.611	DFNB31	69.9126
DFNB59	31.0263	DFNB59	29.9625
DGAT1	509.0215	DGAT1	3378.0917
DGAT2	2560.8592	DGAT2	12703.4065
DGCR11	26.253	DGCR11	19.975
DGCR14	243.4368	DGCR14	478.6874
DGCR2	2780.4296	DGCR2	2401.2841
DGCR6L	396.9769	DGCR6L	774.0325
DGCR6	268.8942	DGCR6	670.5903
DGCR8	669.0533	DGCR8	525.058
DGKA	391.4081	DGKA	149.8127
DGKD	1441.5274	DGKD	656.3225
DGKE	179.7932	DGKE	282.504
DGKG	11.9332	DGKG	23.542
DGKH	214.0016	DGKH	17.1215
DGKI	30.2307	removed	removed
DGKQ	218.7749	DGKQ	260.3888
DGKZ	370.7239	DGKZ	633.4938
DGUOK	552.9037	DGUOK	549.3134
DHCR24	28563.2458	DHCR24	10520.4209
DHCR7	619.7295	DHCR7	753.344
DHDDS	1049.3238	DHDDS	1749.9554
DHDPSL	22.4105	DHDPSL	236.8468
DHFRL1	531.424	DHFRL1	194.7566
DHFR	212.1559	DHFR	317.4889
DHH	6.3644	DHH	23.542
DHODH	76.3723	DHODH	434.4569
DHPS	563.2458	DHPS	1102.9071
DHRS11	92.2832	DHRS11	504.3695
DHRS12	175.0199	DHRS12	709.827
DHRS13	100.2546	DHRS13	70.9399
DHRS1	451.074	DHRS1	246.1209
DHRS2	10345.2665	removed	removed
DHRS3	513.1265	DHRS3	5814.1609
DHRS4L1	8.751	DHRS4L1	9.2741
DHRS4L2	257.3747	DHRS4L2	535.7303
DHRS4	482.864	DHRS4	1308.5643
DHRS7B	422.4344	DHRS7B	744.0699
DHRS7	1529.0374	DHRS7	1483.8595
DHRS9	21.4797	DHRS9	233.2798
DHRSX	346.2609	DHRSX	503.1639
DHTKD1	1151.9491	DHTKD1	1548.0649
DHX15	5741.4479	DHX15	1906.9021
DHX16	678.5998	DHX16	897.4496
DHX29	2843.2776	DHX29	909.5773
DHX30	1098.6476	DHX30	1499.5541
DHX32	1498.3453	DHX32	595.6554
DHX33	240.2546	DHX33	192.6164
DHX34	260.9387	DHX34	191.1896
DHX35	307.0804	DHX35	380.9524
DHX36	1521.0819	DHX36	1085.0722
DHX37	405.7279	DHX37	367.3979
DHX38	644.3914	DHX38	1393.9718
DHX40	2171.8377	DHX40	1553.0587
DHX57	627.685	DHX57	359.5506
DHX58	463.0072	DHX58	360.9773
DHX8	1581.5434	DHX8	888.1755
DHX9	4645.187	DHX9	2563.2245
DIABLO	950.6603	DIABLO	638.6089
DIAPH1	2781.2251	DIAPH1	1224.1841
DIAPH2	252.9833	DIAPH2	798.2879
DIAPH3	8.751	removed	removed
DICER1	2727.1281	DICER1	1813.4475
DIDO1	1893.397	DIDO1	1739.2545
DIMT1L	311.0581	DIMT1L	496.5222
DIO1	657.9157	removed	removed
DIO2	411.2967	DIO2	19.2616
removed	removed	DIO3OS	14.3606
DIO3	12.7287	DIO3	185.4824
DIP2A	727.9236	DIP2A	801.1414
DIP2B	3010.3421	DIP2B	805.4218
DIP2C	1026.253	DIP2C	3040.4851
DIRAS1	38.1862	DIRAS1	18.5482
removed	removed	DIRAS2	7.1339
DIRAS3	6.3644	DIRAS3	11.4143
DIRC2	538.3532	DIRC2	500.7312
DIRC3	16.7064	DIRC3	36.3831
DIS3L2	373.9061	DIS3L2	347.4229
DIS3L	832.14	DIS3L	1304.7976
DIS3	1570	DIS3	1314.1858
DISC1	120.3341	DISC1	52.7912
DISP1	175.0199	DISP1	196.8967
DISP2	24.6619	DISP2	46.3706
DIXDC1	1718.3771	DIXDC1	1142.1437
DKC1	981.7025	DKC1	767.6119
DKFZP586I1420	505.9666	DKFZP586I1420	150.5261
DKFZP686I15217	31.8218	DKFZP686I15217	25.6822
DKFZp686O24166	96.2609	DKFZp686O24166	7.8473
DKFZp761E198	205.2506	DKFZp761E198	803.995
removed	removed	DKFZp779M0652	20.6884
removed	removed	DKK1	107.0091
DKK2	109.7852	DKK2	62.7787
DKK3	1031.8218	DKK3	408.0614
DLAT	1069.2124	DLAT	1974.6745
DLC1	1420.8433	DLC1	3076.8682
DLD	1471.7582	DLD	3337.9704
DLEC1	5.5688	DLEC1	11.4143
DLEU1	74.7812	DLEU1	17.8348
DLEU2L	10.3421	removed	removed
DLEU2	47.1838	DLEU2	32.6449
DLG1	2186.9531	DLG1	1808.4537
DLG2	130.4694	DLG2	25.6822
DLG3	1638.027	DLG3	131.2645
DLG4	194.9403	DLG4	105.618
DLG5	2901.3524	DLG5	2079.5434
removed	removed	DLGAP2	17.8348
DLGAP4	1338.1066	DLGAP4	1478.1523
DLGAP5	24.6619	removed	removed
removed	removed	DLK1	388.0863
DLL1	124.105	DLL1	466.5597
DLL4	188.5442	DLL4	499.3758
DLST	2053.3015	DLST	6181.5588
DLX2	11.9332	removed	removed
DLX3	167.86	removed	removed
DLX4	8.751	removed	removed
DLX5	19.0931	DLX5	12.8411
DMAP1	419.2522	DMAP1	634.9206
removed	removed	DMC1	12.1277
DMD	457.4383	DMD	1712.1455
DMGDH	43.755	DMGDH	219.0119
DMKN	19.8886	DMKN	13.5545
DMPK	396.9769	DMPK	503.6561
DMRT2	50.1193	DMRT2	599.2509
DMRT3	5.5688	DMRT3	257.5352
DMRTA1	15.9109	DMRTA1	280.3638
DMRTC1B	6.3644	removed	removed
DMTF1	949.0851	DMTF1	721.0986
DMWD	279.2363	DMWD	499.3758
DMXL1	1385.0438	DMXL1	1220.6171
DMXL2	449.4829	DMXL2	515.7838
DNA2	74.7812	DNA2	38.5233
DNAH10	38.9817	DNAH10	17.1215
DNAH12	7.9554	removed	removed
DNAH14	112.1718	removed	removed
DNAH17	27.0485	DNAH17	93.4546
DNAH1	108.1941	DNAH1	403.0676
DNAH2	7.9554	removed	removed
DNAH5	351.6309	removed	removed
DNAH6	68.4169	removed	removed
DNAH7	202.864	removed	removed
DNAH9	41.3683	DNAH9	330.3014
DNAI1	7.9554	DNAI1	22.8286
DNAJA1	3130.4694	DNAJA1	1876.9395
DNAJA2	1420.8433	DNAJA2	2120.9203
DNAJA3	1272.0764	DNAJA3	1448.1898
DNAJA4	2111.3763	DNAJA4	686.9984
DNAJB11	874.3039	DNAJB11	673.4439
DNAJB12	1289.5784	DNAJB12	1357.5887
DNAJB14	703.2617	DNAJB14	337.4353
DNAJB1	4231.5036	DNAJB1	7265.2042
DNAJB2	1535.4018	DNAJB2	2524.7013
DNAJB4	657.1201	DNAJB4	728.3752
DNAJB5	272.0764	DNAJB5	151.9529
DNAJB6	1169.4511	DNAJB6	1383.9843
DNAJB9	581.5434	DNAJB9	587.8366
DNAJC10	3498.8067	DNAJC10	1055.8231
DNAJC11	824.1607	DNAJC11	1061.1379
DNAJC12	488.4646	removed	removed
DNAJC13	1775.6563	DNAJC13	1338.3271
DNAJC14	1223.3811	DNAJC14	839.8502
DNAJC15	576.7701	DNAJC15	719.1011
DNAJC16	1680.9865	DNAJC16	465.1329
DNAJC17	304.6937	DNAJC17	276.697
DNAJC18	155.9268	DNAJC18	171.9279
DNAJC19	583.1344	DNAJC19	763.3315
DNAJC1	2132.0605	DNAJC1	697.6993
DNAJC21	1474.9403	DNAJC21	1297.6636
DNAJC22	323.7868	removed	removed
DNAJC24	475.9427	DNAJC24	275.2631
DNAJC25	316.6269	DNAJC25	427.323
DNAJC27	211.615	DNAJC27	233.2798
DNAJC28	66.0302	DNAJC28	35.6697
DNAJC2	405.6643	DNAJC2	389.7842
DNAJC30	313.4447	DNAJC30	493.6686
DNAJC3	3035.7995	DNAJC3	1319.7788
DNAJC4	214.5187	DNAJC4	420.2747
DNAJC5	1638.8226	DNAJC5	1458.1773
DNAJC6	38.1862	DNAJC6	29.9625
DNAJC7	2206.5871	DNAJC7	1663.2923
DNAJC8	1787.5895	DNAJC8	1998.9299
DNAJC9	532.2196	DNAJC9	393.3084
DNAL1	773.2697	DNAL1	309.613
DNAL4	455.8473	DNAL4	348.8497
DNALI1	495.6245	DNALI1	106.2957
DNASE1L1	276.9451	DNASE1L1	485.7143
DNASE1L2	9.5465	removed	removed
DNASE1L3	30.2307	DNASE1L3	142.6788
DNASE1	48.5282	DNASE1	35.6697
DNASE2B	11.9332	removed	removed
DNASE2	1591.0899	DNASE2	1128.5893
DND1	61.5195	DND1	45.2434
removed	removed	DNER	94.8814
DNHD1	163.0867	DNHD1	296.7719
DNLZ	35.7995	DNLZ	120.5636
DNM1L	1962.6094	DNM1L	1240.5921
DNM1P35	6.3644	DNM1P35	10.7009
DNM1	202.864	DNM1	358.1238
DNM2	1746.0064	DNM2	1815.2167
DNM3	134.4471	DNM3	129.8377
DNMBP	751.1058	DNMBP	669.6772
DNMT1	1658.7112	DNMT1	438.7373
DNMT3A	443.1185	DNMT3A	216.8718
DNMT3B	96.2609	DNMT3B	23.542
DNPEP	976.1337	DNPEP	1639.3793
DNTTIP1	281.6229	DNTTIP1	335.2952
DNTTIP2	1743.039	DNTTIP2	1101.4803
DOC2A	18.9976	removed	removed
DOC2B	19.0931	DOC2B	54.2179
DOCK10	217.9793	DOCK10	111.2895
DOCK11	629.2761	DOCK11	2942.0367
DOCK1	2250.5967	DOCK1	1565.1864
DOCK2	123.3095	DOCK2	102.0153
DOCK3	12.7287	DOCK3	9.9875
DOCK4	427.2076	DOCK4	518.6374
DOCK5	962.6094	DOCK5	92.7412
DOCK6	587.1122	DOCK6	1782.0581
DOCK7	968.1782	DOCK7	881.0416
DOCK8	834.5267	DOCK8	1203.1817
DOCK9	1978.5203	DOCK9	2280.0071
DOHH	95.4654	DOHH	199.0369
DOK1	288.7828	DOK1	434.4569
DOK2	37.3906	DOK2	138.3984
DOK3	79.5545	DOK3	38.5233
DOK4	253.7788	DOK4	313.8933
DOK5	50.1193	DOK5	33.5295
DOK6	62.8481	removed	removed
DOK7	9.5465	removed	removed
DOLK	384.2482	DOLK	407.348
DOLPP1	447.8918	DOLPP1	438.7373
DOM3Z	154.7494	DOM3Z	187.2873
DONSON	131.5752	DONSON	75.5484
DOPEY1	631.1138	DOPEY1	684.5657
DOPEY2	2236.2768	DOPEY2	273.9433
DOT1L	299.8727	DOT1L	322.3827
DPAGT1	997.6452	DPAGT1	394.5069
DPCD	237.0724	DPCD	98.4484
DPEP1	17.502	removed	removed
DPEP2	7.9554	DPEP2	35.6697
DPF2	716.786	DPF2	1193.5081
DPF3	39.7772	DPF3	7.1339
DPH1	246.3803	DPH1	575.2024
DPH2	325.3779	DPH2	192.6164
DPH3B	23.8663	DPH3B	18.5482
DPH3	704.0573	DPH3	916.7113
DPH5	423.5481	DPH5	491.8851
DPM1	475.7359	DPM1	589.9768
DPM2	524.2641	DPM2	482.2543
DPM3	66.8258	DPM3	495.8088
removed	removed	DPP10	75.6198
DPP3	1948.2896	DPP3	388.7997
DPP4	163.8823	DPP4	510.0767
removed	removed	DPP6	18.5482
DPP7	603.0231	DPP7	2078.1166
DPP8	734.288	DPP8	440.1641
DPP9	806.6826	DPP9	1150.7045
DPT	1377.0883	DPT	3050.4726
DPY19L1	504.3755	DPY19L1	444.4444
removed	removed	DPY19L2P2	6.4205
DPY19L2P4	16.7064	removed	removed
DPY19L2	27.0485	DPY19L2	78.4733
DPY19L3	964.996	DPY19L3	218.2986
DPY19L4	1002.3866	DPY19L4	1136.4366
DPY30	563.8584	DPY30	494.6246
DPYD	431.9809	DPYD	1022.2936
DPYSL2	1499.6022	DPYSL2	4565.7214
DPYSL3	4564.8369	DPYSL3	3081.1486
DPYSL4	19.0931	DPYSL4	16.4081
DQX1	10.3421	removed	removed
DR1	1439.9364	DR1	1111.4678
DRAM1	407.319	DRAM1	429.4632
DRAM2	1845.6643	DRAM2	2464.7762
DRAP1	437.5497	DRAP1	1349.7414
removed	removed	DRD2	14.2679
DRD4	16.7064	DRD4	6.4205
DRG1	1342.0843	DRG1	2307.1161
DRG2	360.3819	DRG2	729.0886
DRP2	13.5243	DRP2	7.8473
DSC2	965.7916	DSC2	444.4444
DSC3	81.9411	DSC3	11.4143
removed	removed	DSCAML1	12.8411
DSCAM	6.3644	removed	removed
DSCC1	81.9411	DSCC1	71.3394
DSCR3	924.4232	DSCR3	1329.7664
DSCR6	49.3238	removed	removed
DSEL	453.4606	DSEL	912.4309
