gene_id	TCGA-E2-A1BC-01A-11R-A12P-07	gene_id	TCGA-E2-A1BC-11A-32R-A12P-07
ACOT13	491.7025	ACOT13	720.7562
ACOT1	1272.0764	ACOT1	3599.0726
ACOT2	613.3652	ACOT2	2113.7863
ACOT4	672.2355	ACOT4	258.2486
ACOT6	7.9554	ACOT6	17.1215
ACOT7	156.7224	ACOT7	206.8843
ACOT8	146.5792	ACOT8	201.1343
ACOT9	447.0963	ACOT9	536.4723
ACOX1	2121.7184	ACOX1	3938.3414
ACOX2	664.28	ACOX2	554.3071
ACOX3	637.2315	ACOX3	293.9183
ACP1	1723.1504	ACP1	1386.8379
ACP2	2431.973	ACP2	903.1568
ACP5	303.8982	ACP5	214.0182
ACP6	234.6858	ACP6	168.361
ACPL2	731.9014	ACPL2	132.6913
ACPP	30.2307	ACPP	12.8411
ACRBP	8.751	ACRBP	14.9813
ACRC	10.3421	ACRC	51.3644
ACR	6.3644	ACR	12.1277
removed	removed	ACSBG1	7.8473
ACSF2	1758.1543	ACSF2	2775.8159
ACSF3	198.8862	ACSF3	493.6686
ACSL1	7909.3079	ACSL1	63459.2474
ACSL3	9041.3683	ACSL3	1431.0683
ACSL4	1131.2649	ACSL4	4823.2566
ACSL5	719.1726	ACSL5	1812.0207
ACSM1	34.2084	removed	removed
removed	removed	ACSM2A	116.2832
removed	removed	ACSM2B	69.1992
ACSM3	15.0994	ACSM3	10.4227
ACSM5	174.2243	ACSM5	2245.7642
ACSS1	1645.187	ACSS1	576.4223
ACSS2	1330.9467	ACSS2	8258.2486
ACSS3	1129.6738	ACSS3	3689.6736
ACTA1	16.7064	ACTA1	29.2492
ACTA2	9839.459	ACTA2	5773.7471
ACTB	72068.4169	ACTB	41710.7187
removed	removed	ACTC1	5.7072
ACTG1	41479.7136	ACTG1	28235.42
ACTG2	298.3294	ACTG2	526.4848
ACTL6A	898.1702	ACTL6A	584.2697
ACTN1	5285.6006	ACTN1	2499.7325
removed	removed	ACTN2	13.5545
ACTN4	7471.432	ACTN4	7356.9039
ACTR10	1140.0159	ACTR10	1206.3492
ACTR1A	2442.323	ACTR1A	3120.3852
ACTR1B	910.1034	ACTR1B	1821.2948
ACTR2	8934.7653	ACTR2	4497.949
ACTR3B	91.4877	ACTR3B	138.3984
ACTR3C	17.502	ACTR3C	18.5482
ACTR3	3969.7693	ACTR3	2243.624
ACTR5	230.708	ACTR5	155.5199
ACTR6	609.3874	ACTR6	547.8866
ACTR8	593.4765	ACTR8	343.8559
ACVR1B	1859.9841	ACVR1B	968.0756
ACVR1C	684.9642	ACVR1C	9953.2727
ACVR1	1365.9507	ACVR1	2514.0004
ACVR2A	525.0597	ACVR2A	426.6096
ACVR2B	359.5863	ACVR2B	339.5755
ACVRL1	476.5314	ACVRL1	1856.2511
ACY1	726.3325	ACY1	1360.4423
ACY3	6.3644	removed	removed
ACYP1	50.1193	ACYP1	52.7912
ACYP2	112.9674	ACYP2	212.5914
ADAL	229.1169	ADAL	277.5103
