gene_id	TCGA-E2-A1L7-01A-11R-A144-07	gene_id	TCGA-E2-A1L7-11A-33R-A144-07
ACOT11	41.2471	ACOT11	31.6164
ACOT13	499.4541	ACOT13	410.9406
ACOT1	275.6278	ACOT1	367.2638
ACOT2	154.3128	ACOT2	286.2378
ACOT4	65.0249	ACOT4	89.5765
ACOT7	1120.9511	ACOT7	347.3127
ACOT8	366.4928	ACOT8	245.3298
ACOT9	262.5258	ACOT9	449.1042
ACOX1	1641.7906	ACOX1	1366.193
ACOX2	334.8296	ACOX2	166.5309
ACOX3	470.7024	ACOX3	646.1726
ACP1	2140.4828	ACP1	1070.0326
ACP2	1421.3272	ACP2	903.9088
ACP5	1995.39	ACP5	845.2769
ACP6	140.2402	ACP6	226.3844
ACPL2	506.6117	ACPL2	494.7068
ACPP	65.0249	ACPP	30.5375
ACRBP	34.9387	ACRBP	20.7655
ACRC	24.7483	ACRC	12.6221
ACRV1	10.1905	removed	removed
removed	removed	ACR	5.2932
removed	removed	ACSBG1	8.9577
removed	removed	ACSBG2	5.7003
ACSF2	726.9198	ACSF2	822.4756
ACSF3	270.7752	ACSF3	565.5537
ACSL1	847.2643	ACSL1	2054.1531
ACSL3	1729.4674	ACSL3	3040.3094
ACSL4	689.0695	ACSL4	1425.4886
ACSL5	1826.0342	ACSL5	1128.6645
ACSL6	104.3309	ACSL6	5.7003
removed	removed	ACSM1	112.785
ACSM3	18.8912	ACSM3	132.7484
ACSM5	17.4694	ACSM5	46.4169
ACSS1	221.2787	ACSS1	852.1987
ACSS2	1068.543	ACSS2	1183.2248
ACSS3	121.3151	ACSS3	188.5179
ACTA1	17.9546	removed	removed
ACTA2	5638.321	ACTA2	34085.7288
ACTB	61407.2546	ACTB	81066.7752
ACTG1	85356.7876	ACTG1	57289.4951
ACTG2	162.5622	ACTG2	8809.4463
ACTL6A	1788.6692	ACTL6A	809.4463
ACTN1	4800.1941	ACTN1	11675.0814
ACTN4	6986.7961	ACTN4	12267.3331
ACTR10	1311.1731	ACTR10	1073.6971
ACTR1A	1723.6443	ACTR1A	2450.7329
ACTR1B	1372.8012	ACTR1B	1565.5537
ACTR2	6070.1201	ACTR2	4467.0195
ACTR3B	79.0974	ACTR3B	210.5049
ACTR3C	44.1587	ACTR3C	52.9316
ACTR3	4531.3599	ACTR3	3271.1726
ACTR5	309.596	ACTR5	215.798
ACTR6	674.997	ACTR6	602.6059
ACTR8	477.4961	ACTR8	456.8404
ACVR1B	1686.7645	ACVR1B	1081.8404
ACVR1C	28.6304	ACVR1C	116.0423
ACVR1	651.2192	ACVR1	1220.684
ACVR2A	259.129	ACVR2A	566.3681
ACVR2B	1089.4092	ACVR2B	239.8208
ACVRL1	378.9882	ACVRL1	993.0782
ACY1	269.8047	ACY1	588.1393
removed	removed	ACY3	44.7883
ACYP1	180.5168	ACYP1	75.3257
ACYP2	173.2379	ACYP2	144.9511
removed	removed	ADAD2	8.4446
ADAL	139.7549	ADAL	180.3746
ADAM10	1181.6086	ADAM10	1903.9088
ADAM11	7.2789	ADAM11	21.1726
ADAM12	1406.2841	ADAM12	598.5342
ADAM15	4438.7335	ADAM15	3219.5684
ADAM17	655.1013	ADAM17	991.8567
ADAM19	406.1628	ADAM19	142.9153
removed	removed	ADAM21	5.7003
ADAM22	73.2743	ADAM22	52.1173
ADAM23	15.0431	ADAM23	56.1889
ADAM28	288.2446	ADAM28	146.987
ADAM29	8.7347	removed	removed
removed	removed	ADAM32	20.7655
ADAM33	20.3809	ADAM33	287.8664
ADAM6	22495.9359	ADAM6	66260.6596
ADAM8	248.9385	ADAM8	138.0293
ADAM9	573.5776	ADAM9	1825.3257
ADAMDEC1	644.4256	ADAMDEC1	111.5635
ADAMTS10	75.7006	ADAMTS10	196.2541
ADAMTS12	230.4986	ADAMTS12	73.6971
ADAMTS13	32.5124	ADAMTS13	91.2052
ADAMTS14	58.2312	ADAMTS14	16.6938
ADAMTS15	396.9429	ADAMTS15	470.684
ADAMTS16	107.2425	ADAMTS16	24.0228
ADAMTS17	126.6529	ADAMTS17	36.2378
ADAMTS18	660.9244	ADAMTS18	96.9055
ADAMTS19	12.6168	ADAMTS19	9.772
ADAMTS1	978.2846	ADAMTS1	7126.6287
ADAMTS2	559.505	ADAMTS2	522.8013
ADAMTS3	21.8367	ADAMTS3	94.8697
ADAMTS4	1129.6858	ADAMTS4	735.7492
ADAMTS5	102.3899	ADAMTS5	1013.8436
ADAMTS6	68.4217	ADAMTS6	31.3518
ADAMTS7	121.8003	ADAMTS7	86.3192
ADAMTS8	8.2494	ADAMTS8	184.8534
ADAMTS9	108.213	ADAMTS9	1197.0684
ADAMTSL1	42.2176	ADAMTSL1	218.6482
ADAMTSL2	312.5076	ADAMTSL2	81.4332
ADAMTSL3	353.7547	ADAMTSL3	132.329
ADAMTSL4	125.1971	ADAMTSL4	464.1694
removed	removed	ADAMTSL5	93.6482
ADAP1	137.0229	ADAP1	149.7923
ADAP2	252.3353	ADAP2	323.2899
ADARB1	449.351	ADARB1	843.6482
ADARB2	13.102	ADARB2	13.8436
ADAR	12026.6893	ADAR	8905.9446
ADAT1	158.6801	ADAT1	364.4137
ADAT2	147.5191	ADAT2	163.6808
ADAT3	32.0272	ADAT3	32.9805
ADA	191.6778	ADA	136.4007
ADCK1	70.3627	ADCK1	188.9251
ADCK2	734.1987	ADCK2	789.605
ADCK4	698.2895	ADCK4	617.2638
ADCK5	295.0382	ADCK5	142.5081
ADCY1	5349.9939	ADCY1	866.0423
ADCY2	65.9954	ADCY2	32.9805
ADCY3	1278.7286	ADCY3	1591.3233
ADCY4	70.3627	ADCY4	453.9902
ADCY5	123.7414	ADCY5	276.873
ADCY6	984.1077	ADCY6	2408.7948
ADCY7	593.9585	ADCY7	485.7492
removed	removed	ADCY8	28.0945
ADCY9	480.4076	ADCY9	791.9381
removed	removed	ADCYAP1R1	14.658
ADCYAP1	579.886	ADCYAP1	17.5081
ADC	172.7526	ADC	120.5212
ADD1	4000.9705	ADD1	6067.5896
ADD2	40.2766	ADD2	68.4039
ADD3	1257.3092	ADD3	2352.6059
removed	removed	ADH1A	19.544
ADH1B	485.7455	ADH1B	2679.5603
ADH1C	18.4399	ADH1C	54.5603
removed	removed	ADH4	28.5016
ADH5	2492.2965	ADH5	2480.456
ADHFE1	48.526	ADHFE1	172.2313
ADI1	1862.4287	ADI1	1194.2182
ADIPOQ	760.888	ADIPOQ	1942.1824
ADIPOR1	4135.3876	ADIPOR1	2067.5896
ADIPOR2	3832.5852	ADIPOR2	3017.5081
ADK	419.7501	ADK	306.5961
ADM2	260.5847	ADM2	101.3844
ADM	231.4691	ADM	397.8013
ADNP2	577.4597	ADNP2	690.1466
ADNP	5096.2028	ADNP	2776.873
ADORA1	1000.1213	ADORA1	380.2932
ADORA2A	190.222	ADORA2A	90.7818
ADORA2B	77.1564	ADORA2B	123.7785
ADORA3	203.324	ADORA3	207.6547
ADO	860.8516	ADO	587.9479
ADPGK	1047.7933	ADPGK	895.8469
ADPRHL1	137.3286	ADPRHL1	68.4039
ADPRHL2	1124.8332	ADPRHL2	806.5961
ADPRH	268.8342	ADPRH	444.6254
removed	removed	ADRA1A	15.8795
ADRA1B	29.1156	ADRA1B	6.9218
removed	removed	ADRA1D	12.215
ADRA2A	204.2946	ADRA2A	719.0554
ADRA2B	43.6734	ADRA2B	41.5309
ADRA2C	115.4919	ADRA2C	82.2476
removed	removed	ADRB1	7.329
ADRB2	74.7301	ADRB2	237.785
ADRBK1	2428.7274	ADRBK1	1827.3616
ADRBK2	744.8744	ADRBK2	894.1368
ADRM1	2377.2898	ADRM1	1216.2052
ADSL	1110.7606	ADSL	872.1498
ADSSL1	320.2717	ADSSL1	131.5147
ADSS	839.0149	ADSS	1172.2313
AEBP1	10927.0897	AEBP1	7611.1564
AEBP2	652.1897	AEBP2	862.785
AEN	1045.2505	AEN	543.5668
AES	10277.8115	AES	5448.2899
AFAP1L1	137.3286	AFAP1L1	403.5016
AFAP1L2	170.8116	AFAP1L2	1303.7459
AFAP1	990.4064	AFAP1	1878.6238
AFARP1	5.3379	removed	removed
AFF1	1523.7171	AFF1	2818.4039
AFF2	17.4694	AFF2	32.1661
AFF3	1628.048	AFF3	2403.9088
AFF4	3769.9867	AFF4	3789.0879
AFG3L1	233.4102	AFG3L1	336.3192
AFG3L2	1442.9504	AFG3L2	1440.2321
AFMID	533.7862	AFMID	454.3974
removed	removed	AFP	24.43
AFTPH	1508.674	AFTPH	1750
AG2	103.8457	AG2	326.5472
AGAP11	21.8367	AGAP11	100.5863
AGAP1	459.0562	AGAP1	459.2834
AGAP2	119.0829	AGAP2	82.7524
AGAP3	1173.8445	AGAP3	1612.785
AGAP4	246.0269	AGAP4	276.0586
AGAP5	72.7551	AGAP5	50.2972
AGAP6	105.3015	AGAP6	137.6221
AGAP7	9.2199	AGAP7	9.772
AGAP8	32.9977	AGAP8	14.2508
AGA	388.6934	AGA	546.8241
AGBL2	18.4399	AGBL2	26.4658
removed	removed	AGBL3	7.329
AGBL4	34.9387	removed	removed
AGBL5	1092.8157	AGBL5	643.7541
AGER	25.2335	AGER	30.9446
AGFG1	1193.2549	AGFG1	1568.4039
AGFG2	177.6052	AGFG2	548.0456
AGGF1	1248.5745	AGGF1	710.9121
AGK	306.1992	AGK	506.5147
AGL	5229.1641	AGL	870.114
AGMAT	35.424	AGMAT	17.9153
AGPAT1	980.9147	AGPAT1	1930.4601
AGPAT2	779.3279	AGPAT2	778.0945
AGPAT3	2162.8048	AGPAT3	1574.5114
AGPAT4	109.1835	AGPAT4	274.0228
AGPAT5	1047.1916	AGPAT5	679.5603
AGPAT6	1415.0188	AGPAT6	2076.5472
AGPAT9	40.2766	AGPAT9	112.785
AGPHD1	46.585	AGPHD1	50.4886
AGPS	947.7132	AGPS	763.4365
AGR2	3996.6032	AGR2	4287.8664
AGR3	864.7337	AGR3	833.4691
AGRN	4329.977	AGRN	7340.3909
AGTPBP1	683.7317	AGTPBP1	354.2345
AGTR1	166.9295	AGTR1	236.9707
removed	removed	AGTR2	8.5505
AGTRAP	965.6678	AGTRAP	722.3127
AGT	1584.8599	AGT	91.6124
AGXT2L2	345.3597	AGXT2L2	510
AHCTF1	966.1531	AHCTF1	1488.5993
AHCYL1	4471.1877	AHCYL1	3677.1173
AHCYL2	263.9816	AHCYL2	646.1726
AHCY	6072.5464	AHCY	3013.4365
AHDC1	1300.0121	AHDC1	1681.5961
removed	removed	AHI1	396.1726
AHNAK2	405.1923	AHNAK2	984.1205
AHNAK	12536.6978	AHNAK	60247.9642
AHRR	176.1495	AHRR	14.658
AHR	950.6248	AHR	3203.5831
AHSA1	1409.6809	AHSA1	1637.6221
AHSA2	327.5506	AHSA2	375
AIDA	1423.3556	AIDA	830.2524
AIF1L	4170.3263	AIF1L	2259.3648
AIF1	518.7432	AIF1	700.7329
AIFM1	844.838	AIFM1	671.4169
AIFM2	776.4164	AIFM2	385.1792
AIFM3	48.0165	AIFM3	16.5432
AIG1	718.1851	AIG1	863.5993
AIM1L	96.5668	removed	removed
AIM1	2946.0148	AIM1	2715.798
AIM2	41.7324	AIM2	22.3941
AIMP1	834.5166	AIMP1	976.9625
AIMP2	264.6367	AIMP2	300.4805
AIP	1090.865	AIP	965.3909
removed	removed	AJAP1	23.2085
AK1	613.8542	AK1	517.5081
AK2	2927.5749	AK2	2013.4365
AK3L1	547.3735	AK3L1	500.8143
AK3	592.988	AK3	1419.7883
AK5	51.4376	AK5	1885.5863
AK7	31.0567	AK7	32.9805
AKAP10	287.7593	AKAP10	629.886
AKAP11	1508.674	AKAP11	1845.2769
AKAP12	577.4597	AKAP12	1961.3192
removed	removed	AKAP13	4863.1922
AKAP1	1776.5377	AKAP1	2758.9577
AKAP2	322.1012	AKAP2	2110.456
AKAP3	12.6168	AKAP3	54.1531
AKAP5	230.9839	AKAP5	78.5831
AKAP6	54.3491	AKAP6	175.4886
AKAP7	75.7006	AKAP7	245.9283
AKAP8L	1172.874	AKAP8L	909.6091
removed	removed	AKAP8	789.9023
AKAP9	1387.8442	AKAP9	2778.9088
AKD1	310.0813	AKD1	128.2573
AKIRIN1	1481.4995	AKIRIN1	1062.2964
AKIRIN2	913.2597	AKIRIN2	664.0879
AKNA	889.9672	AKNA	922.2313
AKR1A1	3024.627	AKR1A1	1874.5928
removed	removed	AKR1B10	8.9577
AKR1B1	632.2941	AKR1B1	1002.8502
AKR1C1	55.3197	AKR1C1	217.4267
AKR1C2	47.0702	AKR1C2	162.8664
AKR1C3	73.7596	AKR1C3	454.3974
AKR1E2	44.6439	AKR1E2	21.987
AKR7A2	1860.9729	AKR7A2	1015.0651
AKR7A3	388.6934	AKR7A3	245.9283
AKR7L	51.9228	AKR7L	21.5798
AKT1S1	1007.4002	AKT1S1	686.0749
AKT1	4628.412	AKT1	3419.7883
AKT2	2504.428	AKT2	2146.1726
AKT3	753.6091	AKT3	918.5668
AKTIP	396.8458	AKTIP	645.7614
ALAD	632.2941	ALAD	1748.3713
ALAS1	718.6704	ALAS1	665.3094
ALB	7.2789	ALB	1253.6645
ALCAM	2157.4669	ALCAM	3125.4072
ALDH16A1	528.9336	ALDH16A1	715.798
ALDH18A1	1258.2798	ALDH18A1	1748.3713
ALDH1A1	973.9173	ALDH1A1	896.5798
ALDH1A2	49.4965	ALDH1A2	205.2117
ALDH1A3	339.0319	ALDH1A3	3547.1539
ALDH1B1	629.3825	ALDH1B1	552.5244
ALDH1L1	5.3379	ALDH1L1	136.8078
ALDH1L2	165.959	ALDH1L2	217.0195
ALDH2	1714.9096	ALDH2	1933.6319
ALDH3A1	10.1905	ALDH3A1	45.1954
