gene_id	TCGA-E2-A1L7-01A-11R-A144-07	gene_id	TCGA-E2-A1L7-11A-33R-A144-07
C1QTNF2	88.3174	C1QTNF2	39.4951
C1QTNF3	371.7093	C1QTNF3	160.0163
removed	removed	C1QTNF4	13.0293
C1QTNF6	477.0108	C1QTNF6	244.7068
C1QTNF7	7.2789	C1QTNF7	76.9544
removed	removed	C1QTNF9B	26.592
C1QTNF9	6.0803	C1QTNF9	30.1303
C1RL	518.7189	C1RL	1995.513
C1R	3981.5601	C1R	11837.5407
C1S	5447.5312	C1S	12147.3941
removed	removed	C1orf101	13.4365
C1orf103	515.3464	C1orf103	366.8567
C1orf104	40.3931	C1orf104	61.4536
C1orf106	569.6955	C1orf106	145.3583
C1orf107	840.4707	C1orf107	818.8111
C1orf109	726.4346	C1orf109	360.342
C1orf111	10.1905	removed	removed
C1orf112	403.5278	C1orf112	167.7809
C1orf113	249.7828	C1orf113	285.1751
C1orf115	919.0829	C1orf115	1565.9609
C1orf116	451.7773	C1orf116	499.5928
C1orf122	573.4951	C1orf122	334.8331
C1orf123	529.9042	C1orf123	539.4951
C1orf124	263.9816	C1orf124	201.9544
C1orf126	64.2679	C1orf126	83.3265
C1orf127	10.6757	removed	removed
C1orf128	1195.6812	C1orf128	932.8176
removed	removed	C1orf130	197.8827
C1orf131	301.8319	C1orf131	179.1531
C1orf133	38.8208	C1orf133	48.0456
C1orf135	90.7437	C1orf135	24.8371
C1orf144	3293.4611	C1orf144	3108.3062
C1orf151	1501.8804	C1orf151	732.8502
C1orf152	9.2199	C1orf152	9.772
C1orf156	203.8093	C1orf156	133.1433
C1orf158	6.3084	removed	removed
C1orf159	219.8229	C1orf159	149.8371
C1orf161	6.7936	removed	removed
C1orf162	272.7162	C1orf162	343.241
C1orf163	394.0313	C1orf163	240.228
C1orf168	20.8662	C1orf168	57.8176
C1orf170	22.8072	C1orf170	29.316
C1orf172	430.9111	C1orf172	393.7296
removed	removed	C1orf173	64.3322
C1orf174	371.2241	C1orf174	298.4528
C1orf175	34.4777	C1orf175	48.8599
C1orf183	101.9046	C1orf183	75.7329
C1orf187	32.5124	C1orf187	6.9218
C1orf190	9.8023	C1orf190	47.8379
C1orf192	42.7029	C1orf192	41.9381
C1orf198	1984.229	C1orf198	2572.8827
C1orf201	144.1223	C1orf201	236.5635
C1orf203	95.6254	C1orf203	133.5871
C1orf204	26.0342	C1orf204	32.4552
C1orf210	270.2899	C1orf210	309.0391
C1orf212	707.9947	C1orf212	531.3518
C1orf213	39.0295	C1orf213	31.9503
C1orf216	733.7135	C1orf216	362.3779
C1orf21	625.5004	C1orf21	2451.5472
C1orf220	19.8957	C1orf220	6.1075
C1orf226	1235.4725	C1orf226	1388.4365
C1orf228	11.6462	C1orf228	9.772
C1orf25	267.3784	C1orf25	402.2801
C1orf26	97.5373	C1orf26	156.3518
C1orf27	847.7496	C1orf27	673.4528
C1orf31	384.8114	C1orf31	183.2248
C1orf35	323.6686	C1orf35	230.8632
C1orf38	398.3986	C1orf38	483.3062
C1orf43	6666.5049	C1orf43	3118.0782
C1orf50	176.1495	C1orf50	121.7427
C1orf51	32.5124	C1orf51	89.1694
C1orf52	425.088	C1orf52	338.7622
C1orf53	16.9841	C1orf53	7.7362
C1orf54	140.2402	C1orf54	181.5961
C1orf55	704.1126	C1orf55	755.2932
C1orf56	130.3603	C1orf56	130.5252
C1orf57	562.4166	C1orf57	448.6971
C1orf58	397.826	C1orf58	285.3827
C1orf59	422.1764	C1orf59	195.0326
removed	removed	C1orf61	19.9511
C1orf63	481.3781	C1orf63	394.544
removed	removed	C1orf64	285.8306
C1orf66	378.0177	C1orf66	655.5375
C1orf69	241.6596	C1orf69	268.7296
C1orf70	7.7642	C1orf70	10.1792
C1orf74	137.3286	C1orf74	77.7687
C1orf77	2207.4487	C1orf77	2022.3941
C1orf83	222.7344	C1orf83	154.7231
C1orf84	30.586	C1orf84	17.7158
C1orf85	534.2715	C1orf85	791.1238
C1orf86	433.8954	C1orf86	389.5318
C1orf88	27.1746	C1orf88	170.6026
C1orf89	36.8798	C1orf89	69.6254
C1orf91	275.8025	C1orf91	182.2394
C1orf93	1289.2199	C1orf93	792.6221
removed	removed	C1orf95	110.7492
C1orf96	878.8063	C1orf96	476.3844
C1orf97	133.9318	C1orf97	78.9902
C1orf9	2906.2235	C1orf9	1692.9967
C20orf103	70.848	C20orf103	51.3029
C20orf108	4513.8906	C20orf108	3373.3713
C20orf111	1280.1165	C20orf111	810.2606
C20orf112	1377.1685	C20orf112	701.5472
C20orf114	31.5419	C20orf114	90.798
C20orf117	720.6114	C20orf117	508.9577
C20orf118	19.3959	C20orf118	40.0122
C20orf11	2381.1719	C20orf11	1710.9121
C20orf12	172.2674	C20orf12	140.8795
C20orf132	22.8121	C20orf132	23.6197
C20orf134	35.9093	C20orf134	40.3094
C20orf135	66.4807	C20orf135	93.6482
C20orf151	169.3558	C20orf151	119.7068
C20orf152	9.2199	removed	removed
C20orf160	182.4578	C20orf160	246.7427
C20orf165	5.8231	C20orf165	8.1433
C20orf177	301.8319	C20orf177	120.5619
C20orf194	342.1085	C20orf194	943.4039
C20orf195	5.3379	removed	removed
C20orf196	101.4194	C20orf196	86.7264
removed	removed	C20orf197	6.5147
C20orf199	1347.0824	C20orf199	1752.0358
C20orf201	8.7347	removed	removed
C20orf202	5.8231	C20orf202	7.7362
removed	removed	C20orf203	9.3648
C20orf20	547.8588	C20orf20	221.4984
C20orf24	1875.3366	C20orf24	714.4178
C20orf26	9.2199	C20orf26	5.7003
C20orf27	433.8226	C20orf27	429.5603
C20orf29	253.3058	C20orf29	208.4691
C20orf30	2897.0035	C20orf30	1861.9707
C20orf3	3008.1281	C20orf3	2687.7036
C20orf43	2136.1155	C20orf43	2079.3974
C20orf46	9.7052	C20orf46	18.3225
C20orf4	1333.9803	C20orf4	1237.785
C20orf54	103.3604	C20orf54	285.8306
C20orf72	836.5886	C20orf72	622.9642
C20orf7	177.12	C20orf7	125.8143
C20orf94	30.0861	C20orf94	28.9088
C20orf96	130.0497	C20orf96	290.3094
C21orf119	85.8911	C21orf119	78.9902
C21orf122	24.263	C21orf122	33.3876
C21orf125	6.3084	C21orf125	5.7003
C21orf15	5.3379	C21orf15	41.1238
C21orf2	431.3963	C21orf2	497.1498
C21orf33	1436.8555	C21orf33	1687.2964
removed	removed	C21orf34	92.8339
C21orf45	446.4394	C21orf45	127.0358
removed	removed	C21orf49	8.9577
C21orf56	13.5873	C21orf56	70.4397
C21orf57	113.5509	C21orf57	125.4072
C21orf58	164.018	C21orf58	48.4528
C21orf59	1132.1703	C21orf59	675.0733
removed	removed	C21orf62	15.4723
C21orf63	194.5893	C21orf63	960.9121
C21orf67	75.2153	C21orf67	61.4821
C21orf70	231.9544	C21orf70	209.2834
C21orf7	71.3333	C21orf7	107.4919
C21orf88	15.0431	C21orf88	48.8599
C21orf91	678.879	C21orf91	514.658
C22orf13	2855.242	C22orf13	1922.6547
C22orf23	36.3945	C22orf23	106.6775
C22orf25	526.5073	C22orf25	399.0228
C22orf26	14.5578	C22orf26	8.9577
C22orf27	144.6075	C22orf27	179.9674
C22orf28	1805.168	C22orf28	1804.1531
C22orf29	989.8872	C22orf29	682.6832
C22orf30	1724.6148	C22orf30	1052.1173
C22orf32	625.0152	C22orf32	862.785
C22orf34	6.7936	C22orf34	11.8078
C22orf36	328.5212	C22orf36	293.1596
C22orf39	647.8127	C22orf39	521.5798
C22orf40	126.1677	C22orf40	166.5309
removed	removed	C22orf45	5.3094
C22orf46	678.879	C22orf46	578.9902
C22orf9	2843.6249	C22orf9	1932.0033
C2CD2L	328.3853	C2CD2L	303.3388
C2CD2	268.3489	C2CD2	719.8697
C2CD3	1289.3364	C2CD3	940.1466
C2CD4A	730.8019	C2CD4A	71.2541
C2CD4B	65.9954	C2CD4B	231.2704
C2CD4C	167.4148	C2CD4C	16.2866
C2CD4D	17.3238	C2CD4D	15.8836
removed	removed	C2orf14	7.329
C2orf15	214.388	C2orf15	63.7622
C2orf16	22.322	C2orf16	41.5309
C2orf18	1537.3044	C2orf18	1197.4756
C2orf24	2503.4575	C2orf24	1295.1954
C2orf27A	108.6983	C2orf27A	35.4235
C2orf28	1833.3908	C2orf28	1925.8632
C2orf29	955.9626	C2orf29	758.5505
C2orf34	101.9046	C2orf34	79.3974
C2orf3	485.7455	C2orf3	444.6254
C2orf40	5.8231	C2orf40	1067.1824
C2orf42	173.7232	C2orf42	254.4788
C2orf43	213.0292	C2orf43	216.6124
C2orf44	320.757	C2orf44	224.7557
C2orf47	353.2112	C2orf47	280.3909
C2orf48	5.3379	removed	removed
C2orf49	129.0792	C2orf49	105.456
C2orf50	8.2494	removed	removed
C2orf52	6.7936	removed	removed
C2orf54	470.2172	C2orf54	22.8013
C2orf55	502.2443	C2orf55	467.0195
C2orf56	226.6165	C2orf56	211.3192
removed	removed	C2orf58	20.3583
C2orf60	237.8357	C2orf60	225.3094
C2orf63	44.1587	C2orf63	97.7199
C2orf64	606.09	C2orf64	427.5244
removed	removed	C2orf65	17.9153
C2orf67	529.1083	C2orf67	515.5497
C2orf68	1236.9283	C2orf68	748.7785
C2orf69	636.1761	C2orf69	351.3844
C2orf70	40.2766	C2orf70	6.9218
C2orf72	213.5145	C2orf72	346.9055
C2orf74	135.8729	C2orf74	365.6352
C2orf76	53.3786	C2orf76	53.7459
C2orf77	531.3599	C2orf77	103.013
C2orf79	317.3602	C2orf79	277.6873
C2orf7	263.4963	C2orf7	206.4332
C2orf81	205.4543	C2orf81	92.0806
removed	removed	C2orf82	65.1466
C2orf86	94.6257	C2orf86	113.5993
C2orf88	15.5283	C2orf88	312.7036
C2orf89	24.263	C2orf89	26.4658
C2	1206.4782	C2	956.5065
C3AR1	402.2807	C3AR1	468.6482
C3orf10	3310.4452	C3orf10	2654.7231
C3orf14	26.2041	C3orf14	326.1401
C3orf15	245.0564	C3orf15	246.3355
C3orf17	905.4956	C3orf17	938.9251
C3orf18	40.7619	C3orf18	206.0261
C3orf19	485.2602	C3orf19	515.4723
C3orf1	799.7088	C3orf1	1006.9218
C3orf21	508.5527	C3orf21	277.6873
C3orf23	545.9177	C3orf23	383.9577
C3orf26	633.7498	C3orf26	336.7264
C3orf31	186.3399	C3orf31	175.0814
C3orf32	18.4399	C3orf32	15.8795
C3orf33	40.2766	C3orf33	115.6352
C3orf34	81.5237	C3orf34	33.7948
C3orf35	8.2494	C3orf35	7.329
C3orf36	16.4988	C3orf36	5.2932
C3orf37	1258.765	C3orf37	866.0423
C3orf38	362.9358	C3orf38	335.8917
C3orf39	846.2938	C3orf39	566.7752
C3orf42	32.5124	C3orf42	25.6515
C3orf47	69.8775	C3orf47	25.2443
C3orf52	25.2335	C3orf52	101.3844
C3orf54	21.3514	C3orf54	37.8664
removed	removed	C3orf55	17.9153
C3orf57	477.0108	C3orf57	321.6612
C3orf58	616.2805	C3orf58	758.5505
C3orf59	145.0928	C3orf59	357.0847
C3orf62	123.7414	C3orf62	136.8078
C3orf63	1432.9443	C3orf63	1950.6393
C3orf64	225.646	C3orf64	1094.0554
C3orf67	170.3263	C3orf67	8.5505
C3orf70	76.1859	C3orf70	91.6124
C3orf71	21.4	C3orf71	32.1661
C3orf75	464.8793	C3orf75	378.2573
C3	7507.4609	C3	32238.5993
C4A	21212.1412	C4A	33470.68
removed	removed	C4BPA	72.8827
removed	removed	C4BPB	8.5505
C4orf10	212.8691	C4orf10	276.5432
removed	removed	C4orf12	28.9088
C4orf14	557.564	C4orf14	675.8958
C4orf19	1458.4642	C4orf19	102.7647
C4orf21	68.907	C4orf21	93.6482
C4orf23	267.8636	C4orf23	392.9153
C4orf27	346.4758	C4orf27	352.1987
C4orf29	49.9818	C4orf29	115.6352
C4orf31	10.1905	C4orf31	110.342
C4orf32	331.918	C4orf32	774.0228
C4orf33	60.1723	C4orf33	181.5961
C4orf34	913.745	C4orf34	1103.013
removed	removed	C4orf36	9.772
removed	removed	C4orf38	13.8436
C4orf39	14.0725	C4orf39	28.0945
C4orf3	1319.4225	C4orf3	3209.6906
C4orf41	557.564	C4orf41	1057.8176
C4orf42	440.131	C4orf42	343.6482
C4orf43	246.5122	C4orf43	284.6091
C4orf46	223.705	C4orf46	135.9935
removed	removed	C4orf47	10.1792
C4orf48	37.365	C4orf48	21.1726
removed	removed	C4orf49	17.5081
C4orf52	219.8229	C4orf52	396.987
C4orf7	6.3084	C4orf7	363.1922
C5AR1	196.0451	C5AR1	170.6026
C5orf13	2035.6666	C5orf13	777.2801
C5orf15	2133.6892	C5orf15	1846.9055
C5orf20	48.526	C5orf20	17.101
C5orf22	676.4527	C5orf22	452.3616
C5orf23	177.12	C5orf23	116.8567
C5orf24	2572.8497	C5orf24	1118.4853
C5orf25	327.2595	C5orf25	203.9902
removed	removed	C5orf27	23.6156
C5orf28	229.5281	C5orf28	292.7524
C5orf30	913.2597	C5orf30	594.4625
C5orf32	299.4056	C5orf32	686.8893
C5orf33	644.9108	C5orf33	783.3876
C5orf34	130.535	C5orf34	46.0098
C5orf35	44.1587	C5orf35	113.5993
C5orf36	62.5986	C5orf36	109.1205
C5orf38	109.1835	C5orf38	67.5896
C5orf39	38.3356	C5orf39	34.202
C5orf41	253.3058	C5orf41	580.2117
C5orf42	451.292	C5orf42	598.9414
C5orf43	1102.026	C5orf43	1061.0749
C5orf44	286.0706	C5orf44	464.4096
C5orf45	161.019	C5orf45	198.2166
C5orf46	15.5283	C5orf46	8.9577
C5orf49	182.4578	C5orf49	16.6938
C5orf4	723.0377	C5orf4	1217.0195
C5orf51	785.151	C5orf51	867.671
C5orf53	160.6211	C5orf53	278.9088
C5orf54	272.231	C5orf54	100.9772
C5orf55	150.4307	C5orf55	59.8534
C5orf56	126.8761	C5orf56	119.3607
C5orf58	6.7936	removed	removed
C5orf62	498.3622	C5orf62	653.0945
C5	170.8116	C5	466.6124
C6orf105	8.7347	C6orf105	254.4788
C6orf106	3231.8331	C6orf106	3108.3062
C6orf108	286.3035	C6orf108	251.6287
removed	removed	C6orf114	15.8795
C6orf115	510.0085	C6orf115	348.9414
C6orf120	816.2805	C6orf120	689.32
C6orf122	27.3396	C6orf122	15.4112
removed	removed	C6orf123	5.7003
C6orf124	12.6168	C6orf124	16.2866
C6orf125	714.0362	C6orf125	561.5798
C6orf126	6.7936	C6orf126	5.7003
C6orf129	213.5145	C6orf129	123.3713
C6orf130	238.7141	C6orf130	449.0472
C6orf132	41.7324	C6orf132	165.7166
C6orf134	288.2446	C6orf134	326.1401
C6orf136	291.1561	C6orf136	179.5603
C6orf138	22.8072	C6orf138	39.0879
C6orf141	636.1761	C6orf141	54.9674
C6orf145	322.698	C6orf145	1244.2997
C6orf147	11.2677	removed	removed
C6orf150	105.7867	C6orf150	62.7036
C6orf153	879.7768	C6orf153	541.1238
C6orf154	24.7483	C6orf154	14.658
removed	removed	C6orf155	88.355
C6orf15	7.7642	C6orf15	5.7003
C6orf162	182.3899	C6orf162	159.4096
removed	removed	C6orf163	10.9935
removed	removed	C6orf164	14.8575
C6orf165	43.6734	C6orf165	22.8502
C6orf167	953.5363	C6orf167	322.8827
C6orf168	526.9926	C6orf168	167.3453
C6orf170	93.17	C6orf170	159.6091
C6orf174	500.7885	C6orf174	162.1906
C6orf176	53.8154	removed	removed
C6orf182	371.7093	C6orf182	96.4984
C6orf186	6.7936	C6orf186	5.7003
C6orf192	389.664	C6orf192	461.7264
C6orf1	197.9862	C6orf1	231.2704
removed	removed	C6orf201	7.3331
C6orf203	289.2151	C6orf203	153.0945
C6orf204	34.4535	C6orf204	72.0684
C6orf208	6.1434	removed	removed
C6orf211	1706.6602	C6orf211	1019.1368
C6orf217	6.7936	C6orf217	13.0293
C6orf225	126.6529	C6orf225	172.6384
C6orf226	67.9364	C6orf226	78.1759
C6orf26	7.7642	C6orf26	28.6686
C6orf27	26.2041	C6orf27	74.1042
C6orf35	101.9046	C6orf35	464.9837
C6orf41	10.1905	C6orf41	7.329
C6orf47	499.3328	C6orf47	617.2638
C6orf48	835.1328	C6orf48	1414.0879
C6orf52	8.2494	C6orf52	13.0293
C6orf57	42.7029	C6orf57	91.2052
removed	removed	C6orf59	9.772
C6orf62	5099.9636	C6orf62	2831.7305
C6orf64	692.9516	C6orf64	651.873
C6orf70	325.6096	C6orf70	370.114
C6orf72	970.0352	C6orf72	784.202
removed	removed	C6orf81	6.9218
C6orf89	1473.7353	C6orf89	2799.6743
C6orf97	208.1766	C6orf97	449.5114
C6	9.2199	C6	102.6059
C7orf10	47.0702	C7orf10	41.1238
C7orf11	516.8021	C7orf11	363.1922
C7orf13	39.3061	C7orf13	128.6645
C7orf23	239.0392	C7orf23	295.5578
C7orf25	236.5207	C7orf25	274.2508
C7orf26	327.5506	C7orf26	606.2704
C7orf27	888.9967	C7orf27	899.0228
C7orf28A	737.1103	C7orf28A	703.1759
C7orf28B	355.2105	C7orf28B	482.0847
C7orf29	211.5735	C7orf29	195.4397
C7orf30	172.2674	C7orf30	268.7296
C7orf31	30.5714	C7orf31	97.3127
C7orf36	246.0269	C7orf36	165.7166
C7orf40	404.707	C7orf40	302.1173
C7orf41	1139.391	C7orf41	1027.2801
C7orf42	3228.9215	C7orf42	3072.0684
C7orf43	222.2492	C7orf43	326.1401
C7orf44	1032.1485	C7orf44	595.2769
C7orf46	66.4807	C7orf46	129.4788
C7orf47	104.3309	C7orf47	153.0945
C7orf49	395.2639	C7orf49	493.1515
C7orf50	626.4709	C7orf50	817.9967
removed	removed	C7orf51	50.4886
C7orf53	18.9251	C7orf53	15.8795
C7orf55	123.2561	C7orf55	247.1498
C7orf58	187.3104	C7orf58	344.4625
C7orf59	602.2079	C7orf59	927.1173
C7orf60	137.3286	C7orf60	309.4463
C7orf61	6.3084	C7orf61	17.5081
C7orf63	53.3786	C7orf63	199.5114
C7orf64	183.4284	C7orf64	228.8274
C7orf68	181.0021	C7orf68	410.8306
C7orf70	263.4963	C7orf70	400.2443
C7	120.3445	C7	3401.873
removed	removed	C8B	14.2508
C8ORFK29	16.1155	removed	removed
C8orf30A	1031.6632	C8orf30A	434.0391
C8orf31	6.7936	C8orf31	7.329
C8orf33	2366.6141	C8orf33	1053.7459
removed	removed	C8orf34	8.9577
C8orf37	195.5599	C8orf37	78.9902
C8orf38	591.5322	C8orf38	181.1889
C8orf39	22.8072	removed	removed
C8orf40	397.4281	C8orf40	574.9186
C8orf41	219.6336	C8orf41	276.645
C8orf42	41.7324	C8orf42	465.798
C8orf44	63.3216	C8orf44	38.3795
C8orf45	32.9977	C8orf45	32.5733
C8orf46	15.0431	C8orf46	35.0163
removed	removed	C8orf47	26.4658
C8orf48	90.7437	C8orf48	12.215
C8orf4	362.9746	C8orf4	3035.4235
C8orf51	116.4625	C8orf51	31.3518
C8orf55	1827.0047	C8orf55	828.1759
C8orf58	137.3286	C8orf58	228.013
C8orf59	523.6977	C8orf59	522.5285
C8orf73	78.6122	C8orf73	45.6026
C8orf76	461.4825	C8orf76	247.1865
C8orf77	19.4104	removed	removed
C8orf79	182.9431	C8orf79	599.7557
C8orf80	12.6168	C8orf80	14.658
C8orf83	1195.1959	C8orf83	611.9707
C8orf84	3990.7801	C8orf84	900.6515
C8orf85	861.3369	C8orf85	302.9316
C9orf100	365.0758	C9orf100	47.4186
C9orf102	93.6698	C9orf102	171.4699
C9orf103	53.8639	C9orf103	86.3192
C9orf106	6.7936	removed	removed
C9orf109	49.4965	C9orf109	11.8078
C9orf110	333.3738	C9orf110	87.9479
C9orf114	792.5707	C9orf114	647.3982
C9orf116	155.7685	C9orf116	52.9316
C9orf117	29.6009	C9orf117	6.5147
C9orf119	444.4984	C9orf119	296.4169
C9orf122	25.2335	C9orf122	28.5016
C9orf123	503.2148	C9orf123	652.2801
C9orf125	11.161	C9orf125	78.9902
C9orf129	80.6357	C9orf129	97.2435
C9orf130	57.7993	C9orf130	131.7834
C9orf139	7.8709	removed	removed
C9orf140	784.6658	C9orf140	251.6287
C9orf142	370.7388	C9orf142	277.2801
C9orf150	410.5301	C9orf150	583.0619
C9orf152	89.7731	C9orf152	603.4202
C9orf156	188.281	C9orf156	315.5537
C9orf163	17.9546	C9orf163	6.1075
C9orf167	137.8139	C9orf167	106.2704
C9orf169	6.7936	removed	removed
C9orf16	599.7816	C9orf16	491.8567
C9orf171	9.2199	removed	removed
C9orf21	92.6847	C9orf21	205.2117
C9orf23	364.9157	C9orf23	389.2508
C9orf24	14.5578	removed	removed
C9orf25	1399.9757	C9orf25	548.4528
C9orf30	174.9315	C9orf30	186.8282
C9orf37	61.628	C9orf37	149.8371
C9orf3	198.1366	C9orf3	361.364
C9orf40	296.494	C9orf40	136.8078
C9orf41	178.0905	C9orf41	146.1726
C9orf43	9.7052	C9orf43	9.3648
C9orf44	6.3084	removed	removed
C9orf45	161.5917	C9orf45	186.4821
C9orf46	200.8977	C9orf46	276.0586
C9orf47	5.3573	C9orf47	10.6555
C9orf5	786.6068	C9orf5	2087.5407
C9orf64	687.6137	C9orf64	394.9511
C9orf66	8.7347	C9orf66	37.1661
C9orf68	29.6009	C9orf68	89.1694
C9orf69	706.5389	C9orf69	774.0228
C9orf6	315.9044	C9orf6	408.7948
C9orf72	275.6278	C9orf72	251.6287
C9orf78	1865.3403	C9orf78	1195.4397
C9orf7	1033.119	C9orf7	594.8697
C9orf80	206.2356	C9orf80	260.9935
C9orf82	443.0426	C9orf82	375
C9orf85	170.8116	C9orf85	153.0945
C9orf86	2439.6166	C9orf86	1417.7524
C9orf89	311.0518	C9orf89	234.5277
C9orf91	381.8998	C9orf91	723.127
C9orf93	37.8503	C9orf93	96.9055
C9orf95	196.5304	C9orf95	361.9707
C9orf96	9.2199	C9orf96	15.4723
C9orf98	57.2607	C9orf98	43.9739
C9orf9	223.705	C9orf9	195.4397
CA10	171.7821	removed	removed
CA11	56.2902	CA11	244.7068
CA12	3620.5265	CA12	4994.7068
CA13	103.8457	CA13	180.513
CA14	11.161	removed	removed
CA2	229.5281	CA2	2271.1726
CA3	21.3514	CA3	47.5
CA4	5.3379	CA4	63.5179
CA5BP	305.2287	CA5BP	248.3713
CA5B	114.2254	CA5B	340.2362
removed	removed	CA6	9.772
CA8	214.9703	CA8	461.7264
CA9	1211.5589	CA9	7.1213
CAB39L	590.0764	CAB39L	1558.6319
CAB39	1563.0232	CAB39	2056.5961
CABC1	1433.2258	CABC1	1146.6735
CABIN1	1790.6102	CABIN1	1870.114
CABLES1	805.0467	CABLES1	541.9381
CABLES2	598.3259	CABLES2	192.9967
removed	removed	CABP1	13.8436
CABP4	33.0996	CABP4	32.9723
CABP7	866.3399	removed	removed
CABYR	116.4625	CABYR	144.544
CACHD1	296.9793	CACHD1	1285.0163
CACNA1A	11.161	CACNA1A	28.0945
CACNA1B	8.2494	removed	removed
CACNA1C	527.4779	CACNA1C	701.9544
CACNA1D	605.6048	CACNA1D	106.6775
CACNA1E	14.5578	removed	removed
removed	removed	CACNA1F	11.8078
CACNA1G	6.7936	CACNA1G	55.7818
CACNA1H	44.6439	CACNA1H	85.5049
CACNA1I	110.1541	CACNA1I	18.3225
CACNA2D1	33.9682	CACNA2D1	192.5896
CACNA2D2	501.7591	CACNA2D2	278.9088
removed	removed	CACNA2D3	14.658
CACNA2D4	31.0567	CACNA2D4	35.4235
CACNB1	131.0203	CACNB1	166.9381
CACNB2	24.7483	CACNB2	62.7036
CACNB3	1126.289	CACNB3	506.1075
CACNB4	30.5714	CACNB4	195.0326
CACNG1	31.0567	removed	removed
CACNG4	1287.3954	CACNG4	658.3876
CACYBP	1946.3787	CACYBP	868.4853
CADM1	1119.9806	CADM1	1034.6091
removed	removed	CADM2	22.8013
CADM3	57.0278	CADM3	847.3412
CADM4	616.7657	CADM4	925.4886
CADPS2	678.879	CADPS2	1510.9935
CAD	1678.5151	CAD	1460.5049
CALB2	68.4217	CALB2	187.7036
CALCOCO1	869.1011	CALCOCO1	2640.4723
CALCOCO2	2416.1106	CALCOCO2	2619.7068
CALCRL	393.546	CALCRL	516.6938
removed	removed	CALCR	21.987
CALD1	5197.6222	CALD1	8712.5407
CALHM2	603.6637	CALHM2	511.8078
CALM1	8060.6575	CALM1	5191.7752
CALM2	13113.6722	CALM2	8002.8502
CALM3	7850.0546	CALM3	4337.9479
CALML3	61.1428	CALML3	567.9967
CALML4	484.775	CALML4	359.1205
CALML5	7.7642	CALML5	186.8893
removed	removed	CALN1	15.0651
CALR	21916.7779	CALR	13137.215
CALU	2568.9676	CALU	2997.557
CAMK1D	214.485	CAMK1D	82.6547
CAMK1	189.5912	CAMK1	341.6979
CAMK2B	1418.9009	CAMK2B	412.0521
CAMK2D	591.5322	CAMK2D	1099.7557
CAMK2G	921.5092	CAMK2G	770.7655
CAMK2N1	3021.7154	CAMK2N1	1155.5375
CAMK2N2	296.0087	removed	removed
CAMK4	45.1292	CAMK4	16.6938
CAMKK1	110.6393	CAMKK1	234.9349
CAMKK2	1138.9057	CAMKK2	1686.8893
CAMKV	19.4104	removed	removed
CAMLG	1305.35	CAMLG	932.8176
CAMP	205.2651	removed	removed
CAMSAP1L1	1031.6632	CAMSAP1L1	1243.8925
CAMSAP1	760.4028	CAMSAP1	956.8404
CAMTA1	567.2692	CAMTA1	662.0521
CAMTA2	354.24	CAMTA2	1172.2313
CAND1	3234.2594	CAND1	2952.3616
CAND2	139.2697	CAND2	129.886
CANT1	3070.7267	CANT1	1842.4267
CANX	19063.933	CANX	14756.9218
CAP1	7308.5042	CAP1	6143.3225
CAP2	295.5235	CAP2	299.6743
CAPG	2992.5998	CAPG	2335.5049
CAPN10	226.6165	CAPN10	269.7109
removed	removed	CAPN11	138.8436
CAPN12	46.5656	CAPN12	81.6083
CAPN13	2509.2806	CAPN13	164.4951
CAPN14	7.7642	CAPN14	5.7003
CAPN1	3857.8188	CAPN1	4295.1954
CAPN2	3227.4657	CAPN2	4181.5961
CAPN3	24.1514	CAPN3	157.3046
CAPN5	121.8003	CAPN5	432.0033
CAPN6	18.4399	CAPN6	470.2769
CAPN7	774.9606	CAPN7	968.6482
CAPN8	28.1451	CAPN8	429.1531
CAPN9	21.3514	CAPN9	58.2248
CAPNS1	5881.8391	CAPNS1	5962.9479
CAPRIN1	8880.7473	CAPRIN1	6230.0489
CAPRIN2	282.4214	CAPRIN2	311.4821
CAPS2	37.8503	CAPS2	66.7752
CAPSL	24.7483	removed	removed
CAPS	511.9495	CAPS	209.2834
CAPZA1	3563.7511	CAPZA1	2190.5537
CAPZA2	1249.0598	CAPZA2	2251.2215
removed	removed	CAPZA3	10.1792
CAPZB	5910.9547	CAPZB	3645.3583
CARD10	389.1787	CARD10	768.3225
CARD11	206.7209	CARD11	197.0684
CARD14	144.1223	CARD14	243.8925
CARD16	112.5804	CARD16	229.6417
CARD6	131.9908	CARD6	309.0391
CARD8	673.5412	CARD8	791.9381
CARD9	73.7596	CARD9	125
CARHSP1	1350.9693	CARHSP1	967.5081
CARKD	1025.8401	CARKD	1234.5277
CARM1	1170.4477	CARM1	863.1922
CARNS1	51.4376	CARNS1	26.873
CARS2	852.1703	CARS2	686.9666
CARS	518.7432	CARS	793.1555
CASC1	36.3945	CASC1	68.4039
CASC2	75.7006	CASC2	44.7883
CASC3	1779.4492	CASC3	3034.202
CASC4	2190.4646	CASC4	2397.8013
CASC5	318.3307	CASC5	28.9088
CASD1	1071.4546	CASD1	829.8046
CASKIN1	23.6953	CASKIN1	19.6743
CASKIN2	1310.057	CASKIN2	1348.237
CASK	1699.8666	CASK	1409.202
CASP10	141.2107	CASP10	354.6417
CASP14	8.2494	removed	removed
CASP1	426.0585	CASP1	827.7687
CASP2	1400.461	CASP2	1067.1824
CASP3	556.5935	CASP3	477.6059
CASP4	658.4981	CASP4	1004.0717
