gene_id	TCGA-E2-A1LS-01A-12R-A157-07	gene_id	TCGA-E2-A1LS-11A-32R-A157-07
ACOT1	210.7107	ACOT1	3402.3992
ACOT2	109.6096	ACOT2	1934.8575
ACOT4	51.0511	ACOT4	316.1144
removed	removed	ACOT6	23.7178
ACOT7	178.6787	ACOT7	208.6429
ACOT8	595.976	ACOT8	196.9063
ACOT9	448.9489	ACOT9	648.9055
ACOX1	810.8108	ACOX1	6823.1649
ACOX2	25.5255	ACOX2	839.0188
ACOX3	389.3894	ACOX3	307.9614
ACP1	3522.5225	ACP1	1159.9509
ACP2	509.5095	ACP2	664.8409
ACP5	27.027	ACP5	53.3652
ACP6	291.2913	ACP6	261.2669
ACPL2	425.9259	ACPL2	189.0016
ACPP	112.1121	removed	removed
removed	removed	ACRBP	13.7119
ACRC	21.021	ACRC	37.8003
ACR	9.5095	ACR	9.2648
ACSBG1	9.009	ACSBG1	17.0472
ACSF2	50.5506	ACSF2	1286.6932
ACSF3	227.7277	ACSF3	305.7379
ACSL1	2707.2072	ACSL1	83843.3288
ACSL3	4364.3644	ACSL3	1908.5455
ACSL4	662.1622	ACSL4	3456.8761
ACSL5	497.4975	ACSL5	719.6884
ACSM1	20.02	removed	removed
removed	removed	ACSM2A	8.153
removed	removed	ACSM2B	6.3001
ACSM3	166.6717	ACSM3	5.2995
ACSM5	5.5055	ACSM5	1303.7404
ACSS1	1054.0541	ACSS1	309.8144
ACSS2	2052.0521	ACSS2	7312.5086
ACSS3	285.2853	ACSS3	2515.9447
ACTA2	4019.8098	ACTA2	5662.4135
ACTBL2	6.5065	removed	removed
ACTB	195169.6697	ACTB	58153.9362
removed	removed	ACTC1	13.7119
removed	removed	ACTG1	26485.7934
ACTG2	503.5035	ACTG2	815.301
ACTL6A	1397.3974	ACTL6A	586.6461
ACTL8	23.5235	removed	removed
ACTN1	3188.1882	ACTN1	5035.9659
ACTN2	18.5185	removed	removed
ACTN4	8801.2813	ACTN4	7361.5341
ACTR10	642.1421	ACTR10	1291.8815
ACTR1A	1070.5706	ACTR1A	2985.1133
ACTR1B	1212.2122	ACTR1B	1238.8869
ACTR2	5991.4915	ACTR2	5829.0314
ACTR3B	2013.5135	ACTR3B	111.548
ACTR3C	65.5656	ACTR3C	11.1177
ACTR3	6486.4865	ACTR3	2472.2149
ACTR5	195.6957	ACTR5	143.7894
ACTR6	922.4224	ACTR6	589.2403
ACTR8	407.4074	ACTR8	475.8393
ACVR1B	1780.2803	ACVR1B	937.9667
removed	removed	ACVR1C	6231.4936
ACVR1	1573.5736	ACVR1	1406.7648
ACVR2A	850.3504	ACVR2A	579.6049
ACVR2B	438.4384	ACVR2B	264.2316
ACVRL1	229.7297	ACVRL1	1175.8864
ACY1	664.1642	ACY1	1080.9779
ACY3	77.0771	removed	removed
ACYP1	40.04	ACYP1	37.8003
ACYP2	837.8378	ACYP2	249.7786
ADAL	245.2452	ADAL	291.6554
ADAM10	1135.6356	ADAM10	949.0845
removed	removed	ADAM11	8.5236
ADAM12	454.955	ADAM12	2364.3728
ADAM15	6507.037	ADAM15	2539.2919
ADAM17	553.0531	ADAM17	474.7275
ADAM19	76.5766	ADAM19	92.6478
ADAM22	17.017	ADAM22	181.5898
removed	removed	ADAM23	18.159
ADAM28	71.0711	ADAM28	20.7531
ADAM32	375.8759	ADAM32	29.6473
removed	removed	ADAM33	467.9902
ADAM6	1046.0711	ADAM6	80.1663
ADAM8	12.012	ADAM8	26.312
ADAM9	545.5455	ADAM9	1570.5662
ADAMDEC1	6.006	removed	removed
ADAMTS10	28.028	ADAMTS10	141.1953
ADAMTS12	10.01	ADAMTS12	813.0774
ADAMTS13	14.5145	ADAMTS13	38.5415
ADAMTS14	8.5085	removed	removed
removed	removed	ADAMTS15	237.9196
ADAMTS16	5.005	ADAMTS16	121.554
ADAMTS17	7.007	ADAMTS17	17.7884
ADAMTS18	6.5065	ADAMTS18	339.0911
ADAMTS19	102.1021	removed	removed
ADAMTS1	1986.987	ADAMTS1	9696.5227
ADAMTS2	23.5235	ADAMTS2	702.2706
ADAMTS3	157.1572	ADAMTS3	148.9777
ADAMTS4	1399.3994	ADAMTS4	824.1952
ADAMTS5	69.0691	ADAMTS5	3064.4199
ADAMTS6	14.5145	ADAMTS6	30.0179
ADAMTS7	22.5225	ADAMTS7	129.707
ADAMTS8	8.5085	ADAMTS8	9.6354
ADAMTS9	1384.8849	ADAMTS9	963.5375
ADAMTSL1	32.032	ADAMTSL1	417.2859
ADAMTSL2	42.5425	ADAMTSL2	65.5947
ADAMTSL3	21.021	ADAMTSL3	771.9418
ADAMTSL4	28.028	ADAMTSL4	902.7605
removed	removed	ADAMTSL5	24.459
removed	removed	ADAP1	58.7165
ADAP2	86.0861	ADAP2	104.1362
ADARB1	703.2032	ADARB1	734.8827
ADAR	5809.3093	ADAR	5048.566
ADAT1	191.1912	ADAT1	250.1492
ADAT2	313.8138	ADAT2	104.8774
ADAT3	10.01	ADAT3	5.5589
ADA	86.0861	ADA	197.8958
ADCK1	111.6116	ADCK1	163.4308
ADCK2	592.6026	ADCK2	476.2099
ADCK4	303.8038	ADCK4	309.0732
ADCK5	35.5355	ADCK5	42.618
ADCY10	6.006	removed	removed
ADCY1	48.048	ADCY1	168.6191
ADCY2	5.005	ADCY2	90.4243
ADCY3	231.962	ADCY3	1374.2194
ADCY4	29.029	ADCY4	655.5761
removed	removed	ADCY5	652.2408
ADCY6	1124.1241	ADCY6	7875.8074
ADCY7	779.2793	ADCY7	589.9814
ADCY9	264.2643	ADCY9	602.2109
removed	removed	ADCYAP1R1	159.3543
removed	removed	ADCYAP1	6.6706
ADC	67.5676	ADC	52.624
ADD1	1917.9179	ADD1	8471.3477
removed	removed	ADD2	18.159
ADD3	873.3734	ADD3	3831.9146
removed	removed	ADH1A	735.4608
ADH1B	19.5195	ADH1B	103601.4068
removed	removed	ADH1C	1033.9499
removed	removed	ADH4	44.1004
ADH5	4652.1522	ADH5	5707.848
removed	removed	ADH6	5.5589
ADHFE1	86.0861	ADHFE1	853.8425
ADI1	3629.6296	ADI1	2282.4721
ADIPOQ	8.5085	ADIPOQ	143240.9696
ADIPOR1	11477.4775	ADIPOR1	2399.9496
ADIPOR2	1636.6366	ADIPOR2	7861.725
ADK	11.5115	ADK	576.2696
ADM2	563.0631	ADM2	13.3413
ADM	8.008	ADM	1045.8088
ADNP2	1758.7588	ADNP2	869.4073
ADNP	4383.3834	ADNP	2378.4553
ADORA1	1786.2863	ADORA1	671.8821
ADORA2A	22.5225	ADORA2A	53.3652
ADORA2B	15.5155	removed	removed
ADORA3	53.0531	ADORA3	6.3001
ADO	521.021	ADO	555.1458
ADPGK	1667.5175	ADPGK	703.223
ADPRHL1	163.1632	ADPRHL1	65.9653
