gene_id	TCGA-E2-A1LS-01A-12R-A157-07	gene_id	TCGA-E2-A1LS-11A-32R-A157-07
COL10A1	180.6807	COL10A1	11.1177
COL11A1	299.7998	COL11A1	9.6354
COL11A2	56.0561	COL11A2	14.0825
COL12A1	1479.4795	COL12A1	3703.69
COL13A1	6.006	removed	removed
COL14A1	584.0841	COL14A1	2278.3956
COL15A1	1787.7878	COL15A1	10715.649
COL16A1	295.2953	COL16A1	847.5424
COL17A1	41.5415	removed	removed
COL18A1	628.6286	COL18A1	2025.2817
COL19A1	16.5165	removed	removed
COL1A1	12467.968	COL1A1	15054.1619
COL1A2	11141.6416	COL1A2	26391.2926
COL21A1	71.5716	COL21A1	88.5713
COL22A1	6.5065	removed	removed
removed	removed	COL23A1	7.7824
COL24A1	85.5856	COL24A1	25.5708
COL25A1	8.5085	COL25A1	154.166
COL27A1	177.6777	COL27A1	123.7775
COL28A1	431.9319	COL28A1	21.8649
COL3A1	10437.9379	COL3A1	33055.6369
COL4A1	5891.8919	COL4A1	29947.4872
COL4A2	3134.1341	COL4A2	27972.2353
COL4A3BP	526.5265	COL4A3BP	3705.1723
COL4A3	35.5355	removed	removed
COL4A4	70.0701	COL4A4	14.8237
COL4A5	1044.044	COL4A5	161.2072
COL4A6	15.5155	COL4A6	68.1888
COL5A1	1297.2973	COL5A1	2918.0363
COL5A2	2008.008	COL5A2	5286.8562
COL5A3	86.5866	COL5A3	2821.312
COL6A1	2721.2212	COL6A1	11626.1919
COL6A2	2086.0861	COL6A2	12183.9319
COL6A3	4453.4535	COL6A3	19176.9907
COL6A6	11.5115	COL6A6	703.753
COL8A1	254.7548	COL8A1	785.2831
COL8A2	425.4254	COL8A2	228.6549
COL9A1	22.5225	removed	removed
COL9A2	174.1742	COL9A2	8.5236
COL9A3	197.1972	COL9A3	17.7884
COLEC11	5.5055	COLEC11	51.5122
COLEC12	37.5375	COLEC12	1075.8267
COLQ	12.012	COLQ	47.4357
COMMD10	254.7548	COMMD10	486.957
COMMD1	492.4925	COMMD1	325.7498
COMMD2	1156.6567	COMMD2	629.2641
COMMD3	1257.1822	COMMD3	633.4184
COMMD4	692.1922	COMMD4	463.6098
COMMD5	299.98	COMMD5	214.6836
COMMD6	2855.3554	COMMD6	1451.9769
COMMD7	2402.9029	COMMD7	1069.1561
COMMD8	193.6937	COMMD8	200.4899
COMMD9	1597.0971	COMMD9	916.843
COMP	430.9309	removed	removed
COMTD1	12.012	COMTD1	26.312
COMT	4681.1812	COMT	988.7377
COPA	16660.1602	COPA	6963.1336
COPB1	6357.983	COPB1	3153.5805
COPB2	7812.3123	COPB2	3890.468
COPE	1534.034	COPE	1003.932
COPG2	759.7598	COPG2	439.5213
COPG	9620.6206	COPG	3581.0242
COPS2	3153.6537	COPS2	3059.9728
COPS3	923.4234	COPS3	1240.7398
COPS4	741.2412	COPS4	1218.1338
COPS5	1807.8078	COPS5	1343.7642
COPS6	1799.7998	COPS6	1731.4028
COPS7A	1599.5996	COPS7A	1652.8374
COPS7B	1229.2292	COPS7B	577.7519
COPS8	1647.1371	COPS8	1251.8316
COPZ1	10046.046	COPZ1	2736.8171
COPZ2	274.7748	COPZ2	1406.7648
COQ10A	173.1732	COQ10A	214.943
COQ10B	1072.5726	COQ10B	1060.2619
COQ2	388.8889	COQ2	231.249
COQ3	294.7948	COQ3	229.0255
COQ4	533.5335	COQ4	466.5745
COQ5	463.4635	COQ5	844.5777
COQ6	177.6827	COQ6	484.3851
COQ7	480.4805	COQ7	490.2924
COQ9	1121.6216	COQ9	1056.9265
CORIN	9.5095	removed	removed
CORO1A	86.5866	CORO1A	112.6598
CORO1B	829.8298	CORO1B	784.1713
CORO1C	3430.9309	CORO1C	3934.939
CORO2A	698.6987	CORO2A	38.1709
CORO2B	97.5976	CORO2B	1103.621
removed	removed	CORO6	66.7064
CORO7	86.9419	CORO7	180.6336
CORT	12.953	removed	removed
COTL1	603.1031	COTL1	1471.2477
COX10	237.2372	COX10	468.7981
COX11	493.2683	COX11	804.2536
COX15	790.3153	COX15	1310.1257
COX16	1203.7037	COX16	674.1057
COX17	806.3063	COX17	435.4448
COX18	714.2142	COX18	540.3222
COX19	335.1952	COX19	207.3681
COX4I1	17572.0721	COX4I1	5585.1823
COX4I2	28.028	COX4I2	135.2658
COX4NB	1207.7077	COX4NB	390.6033
COX5A	2644.6446	COX5A	1759.1972
COX5B	2628.6286	COX5B	1645.7962
COX6A1	3599.0991	COX6A1	1994.5227
COX6B1	11454.4545	COX6B1	2975.1074
COX6C	3921.9219	COX6C	2066.4174
COX7A1	33.5335	COX7A1	1324.8641
COX7A2L	3274.2743	COX7A2L	1817.0094
COX7A2	3302.3023	COX7A2	1678.0376
COX7B	3626.1261	COX7B	2063.0821
COX7C	4171.6717	COX7C	3907.5152
COX8A	1076.0761	COX8A	1537.5835
CP110	338.3383	CP110	607.7698
removed	removed	CPA1	76.7124
removed	removed	CPA2	51.8828
removed	removed	CPA3	199.7487
CPA4	119.6196	CPA4	12.9707
CPAMD8	565.5656	CPAMD8	234.2137
CPB1	233.7337	CPB1	63.7417
CPD	1604.1041	CPD	3739.2667
removed	removed	CPEB1	29.6473
CPEB2	441.9419	CPEB2	1095.0974
CPEB3	141.6416	CPEB3	266.8258
CPEB4	882.3824	CPEB4	1567.2308
CPE	746.7467	CPE	4233.265
CPLX1	17.017	CPLX1	22.9767
CPM	279.7798	CPM	5725.2658
CPNE1	4507.3924	CPNE1	1316.548
CPNE2	995.996	CPNE2	1690.6378
CPNE3	3187.6877	CPNE3	3755.5728
removed	removed	CPNE4	130.4482
CPNE5	138.1381	CPNE5	21.8649
CPNE7	55.0551	removed	removed
CPNE8	887.8879	CPNE8	281.6494
CPOX	242.2422	CPOX	365.4031
removed	removed	CPO	10.3766
CPPED1	247.7477	CPPED1	775.2771
CPS1	859.8599	CPS1	514.0102
CPSF1	582.5826	CPSF1	662.2467
CPSF2	554.0541	CPSF2	1173.6628
CPSF3L	982.4825	CPSF3L	894.2369
CPSF3	1001.001	CPSF3	922.4019
CPSF4	346.8468	CPSF4	480.657
CPSF6	1543.5435	CPSF6	1030.6146
CPSF7	1201.2012	CPSF7	1976.7343
CPT1A	607.6076	CPT1A	1446.0475
CPT1B	244.7397	CPT1B	466.656
CPT1C	10.01	CPT1C	34.0944
CPT2	305.8058	CPT2	804.1832
CPVL	141.6416	CPVL	304.6261
CPXM1	43.043	CPXM1	536.6163
removed	removed	CPXM2	1283.3579
removed	removed	CPZ	31.8709
CP	1639.0741	CP	83.0903
removed	removed	CR1	10.006
CR2	62.5626	removed	removed
CRABP1	1979.4795	CRABP1	39.6533
CRABP2	16804.3043	CRABP2	566.2636
CRADD	121.6216	CRADD	183.8133
CRAMP1L	696.2012	CRAMP1L	866.4574
CRAT	155.6557	CRAT	1818.8624
CRB1	51.5516	CRB1	7.7824
CRB3	153.1532	removed	removed
CRBN	1164.9299	CRBN	1302.6027
CRCP	1485.4855	CRCP	864.5896
CREB1	1506.5065	CREB1	1356.7349
CREB3L1	168.1682	CREB3L1	267.9375
CREB3L2	11035.5355	CREB3L2	3438.7172
CREB3L4	2861.3614	CREB3L4	173.4368
CREB3	1391.2513	CREB3	797.6942
CREB5	49.049	CREB5	399.4975
CREBBP	2080.0801	CREBBP	2858.0005
CREBL2	2408.9089	CREBL2	3543.5945
CREBZF	543.5435	CREBZF	681.5175
CREG1	10525.025	CREG1	4673.157
CRELD1	392.3924	CRELD1	1053.5912
CRELD2	916.4164	CRELD2	338.3499
CREM	374.8749	CREM	445.0802
removed	removed	CRHBP	1401.9471
CRHR1	119.1191	CRHR1	17.7847
CRIM1	3485.986	CRIM1	5488.0873
CRIP1	394.3944	CRIP1	1094.7269
CRIP2	1643.1431	CRIP2	1090.6504
CRIPAK	117.6176	CRIPAK	170.8426
CRIPT	1290.7908	CRIPT	387.268
CRISP2	59.0591	removed	removed
CRISP3	386.3864	CRISP3	10.3766
CRISPLD1	2641.6416	CRISPLD1	110.8068
CRISPLD2	827.8278	CRISPLD2	850.1366
CRKL	2950.4505	CRKL	1760.3089
CRK	459.96	CRK	1779.5797
CRLF1	32.032	CRLF1	35.5768
CRLF3	393.3934	CRLF3	321.3027
CRLS1	2380.8809	CRLS1	1933.7457
CRMP1	26.026	CRMP1	127.1128
CRNKL1	1364.3644	CRNKL1	842.7247
CROCCL1	219.7197	CROCCL1	140.1651
CROCCL2	37.5375	CROCCL2	22.6061
CROCC	78.0781	CROCC	203.8252
CROT	361.8619	CROT	228.6549
CRTAC1	118.1181	CRTAC1	35.2062
CRTAP	2494.995	CRTAP	11729.2163
CRTC1	147.1471	CRTC1	269.7905
CRTC2	1275.2753	CRTC2	944.2668
CRTC3	852.8529	CRTC3	2298.4076
CRY1	412.9129	CRY1	396.1622
CRY2	839.8398	CRY2	4768.3989
CRYAB	8711.7117	CRYAB	15765.6973
CRYBG3	444.2593	CRYBG3	2615.6264
CRYGS	13.013	CRYGS	11.4883
CRYL1	373.8739	CRYL1	581.8284
CRYZL1	689.6346	CRYZL1	483.3327
CRYZ	545.6006	CRYZ	829.5836
CSAD	396.3964	CSAD	841.2424
CSDAP1	48.5485	CSDAP1	47.0651
CSDA	3825.8258	CSDA	3094.4378
removed	removed	CSDC2	14.0825
CSDE1	9140.6406	CSDE1	28917.2432
CSE1L	3300.3003	CSE1L	2017.8699
CSF1R	208.2082	CSF1R	359.103
CSF1	42.5425	CSF1	995.4084
CSF2RA	209.2092	CSF2RA	170.8426
CSF2RB	42.5425	CSF2RB	94.1302
CSF3R	30.5305	CSF3R	43.3592
removed	removed	CSF3	132.3011
CSGALNACT1	420.4204	CSGALNACT1	515.4926
CSGALNACT2	456.957	CSGALNACT2	808.6303
CSK	1001.001	CSK	413.2094
removed	removed	CSMD1	5.9295
CSMD2	22.5225	CSMD2	11.1177
removed	removed	CSN1S1	71.5241
CSN2	5.5055	removed	removed
CSN3	1186.1862	CSN3	5.5589
CSNK1A1	4764.2643	CSNK1A1	4230.3003
CSNK1D	1234.2342	CSNK1D	2340.2844
CSNK1E	4872.8729	CSNK1E	2133.7687
CSNK1G1	604.6046	CSNK1G1	706.7177
CSNK1G2	274.2743	CSNK1G2	565.1518
CSNK1G3	648.6486	CSNK1G3	755.2652
CSNK2A1P	347.8478	CSNK2A1P	552.9223
CSNK2A1	1662.6627	CSNK2A1	1287.805
CSNK2A2	1432.4324	CSNK2A2	1026.9086
CSNK2B	6684.97	CSNK2B	1961.7624
CSPG4	141.6416	CSPG4	4497.4967
CSPG5	43.5435	CSPG5	30.7591
CSPP1	188.4935	CSPP1	293.1378
CSRNP1	1509.009	CSRNP1	5481.7873
CSRNP2	1213.7137	CSRNP2	751.5593
CSRNP3	28.028	CSRNP3	8.5236
CSRP1	27469.97	CSRP1	4321.0952
CSRP2BP	616.1161	CSRP2BP	884.9722
CSRP2	1094.5946	CSRP2	919.4371
CST3	1508.008	CST3	5640.4004
CST6	5.5055	removed	removed
CST7	19.5195	CST7	36.318
CSTA	75.0751	CSTA	375.7796
CSTB	6060.0601	CSTB	2108.6648
CSTF1	873.3734	CSTF1	426.9212
CSTF2T	506.006	CSTF2T	1101.7681
CSTF2	138.6386	CSTF2	175.6603
CSTF3	1120	CSTF3	472.0741
CS	2508.008	CS	16458.7032
CT62	11.011	removed	removed
CTAGE4	364.3644	CTAGE4	24.459
CTAGE5	1669.3994	CTAGE5	678.2971
CTAGE6	46.5465	CTAGE6	6.3001
CTAGE9	915.4154	CTAGE9	79.3065
CTBP1	1342.6677	CTBP1	1960.1725
CTBP2	1201.2012	CTBP2	802.7009
CTBS	410.9109	CTBS	391.3371
CTCFL	15.5506	CTCFL	9.3611
CTCF	1567.5676	CTCF	1249.2634
CTDP1	413.9139	CTDP1	264.9728
CTDSP1	2447.9479	CTDSP1	3574.7242
CTDSP2	6020.02	CTDSP2	9628.3339
CTDSPL2	571.0711	CTDSPL2	799.3655
CTDSPL	3601.1011	CTDSPL	1019.8674
CTF1	97.0971	CTF1	197.1546
CTGF	9215.7157	CTGF	4637.5802
CTHRC1	288.7888	CTHRC1	243.8491
CTH	35.5355	CTH	346.1323
CTNNA1	5782.2823	CTNNA1	10602.248
removed	removed	CTNNA3	5.1883
CTNNAL1	319.3193	CTNNAL1	2039.7348
CTNNB1	20358.1281	CTNNB1	6510.8231
CTNNBIP1	1156.1562	CTNNBIP1	1200.716
CTNNBL1	1065.5656	CTNNBL1	919.8077
CTNND1	279709.2092	CTNND1	11862.8664
CTNND2	26.5265	removed	removed
CTNS	93.8438	CTNS	431.2312
CTPS2	828.8288	CTPS2	524.3868
CTPS	799.2993	CTPS	227.5431
CTR9	1641.1411	CTR9	1502.0068
CTSA	6370.3704	CTSA	2529.827
CTSB	13624.1241	CTSB	12561.1939
CTSC	1134.6346	CTSC	992.4436
CTSD	15132.1321	CTSD	6728.086
CTSF	8669.6697	CTSF	2846.1416
removed	removed	CTSG	95.242
CTSH	1645.1451	CTSH	490.663
CTSK	574.0741	CTSK	3046.6315
CTSL1	450.951	CTSL1	2314.7136
CTSL2	282.2823	removed	removed
CTSO	1747.2472	CTSO	1073.6031
CTSS	2474.975	CTSS	493.9983
CTSW	13.013	CTSW	35.5768
CTSZ	7117.6176	CTSZ	3140.0205
CTTNBP2NL	820.3203	CTTNBP2NL	652.2408
CTTNBP2	17.017	CTTNBP2	265.3434
CTTN	18987.988	CTTN	3651.4366
CTU1	51.0511	CTU1	18.9002
CTU2	335.1051	CTU2	129.0473
CTXN1	539.5395	CTXN1	7.0412
CTXN2	26.5265	removed	removed
CUBN	247.2472	CUBN	220.8724
CUEDC1	29.5295	CUEDC1	315.0026
CUEDC2	325.3253	CUEDC2	706.7177
CUL1	2703.7037	CUL1	1918.1808
CUL2	872.3724	CUL2	1027.2792
CUL3	2480.981	CUL3	2089.7646
CUL4A	2438.9389	CUL4A	2071.6057
CUL4B	3616.6166	CUL4B	1930.0398
CUL5	574.5746	CUL5	1205.1631
CUL7	1234.7347	CUL7	943.092
CUL9	186.6867	CUL9	494.3689
CUTA	8644.6446	CUTA	1153.6509
CUTC	152.6877	CUTC	490.9891
CUX1	477.4775	CUX1	1458.277
CUZD1	26.7718	CUZD1	6.6706
CWC15	893.8939	CWC15	945.0079
CWC22	1004.5045	CWC22	880.5251
CWC25	332.3323	CWC25	627.7818
CWC27	268.2683	CWC27	593.6873
CWF19L1	298.7988	CWF19L1	381.7091
CWF19L2	324.3243	CWF19L2	762.3064
CX3CL1	3900.4004	CX3CL1	2245.0424
CX3CR1	125.6256	CX3CR1	59.6652
CXADR	194.6947	CXADR	8.153
CXCL10	214.7147	CXCL10	21.8649
CXCL11	74.0741	CXCL11	6.6706
CXCL12	538.038	CXCL12	8751.1442
CXCL13	30.03	removed	removed
CXCL14	509.5095	CXCL14	6710.2976
CXCL16	1581.5816	CXCL16	225.3195
CXCL17	387.8879	CXCL17	8.153
removed	removed	CXCL1	31.1297
CXCL2	5.005	CXCL2	1033.2087
removed	removed	CXCL3	38.5415
CXCL9	1738.2382	CXCL9	140.4541
removed	removed	CXCR1	17.4178
CXCR2	8.008	CXCR2	41.1356
CXCR3	12.012	removed	removed
CXCR4	6128.1281	CXCR4	279.0553
CXCR6	11.011	CXCR6	5.5589
CXCR7	505.5055	CXCR7	3711.4724
CXXC1	660.1602	CXXC1	479.1746
CXXC4	35.035	CXXC4	27.0532
CXXC5	68.5686	CXXC5	333.9028
CXorf21	8.008	CXorf21	10.006
CXorf22	8.008	removed	removed
CXorf23	156.1562	CXorf23	250.1492
CXorf26	423.9239	CXorf26	353.5442
CXorf30	73.5736	removed	removed
CXorf36	327.3273	CXorf36	2232.4423
CXorf38	130.6306	CXorf38	198.2664
CXorf40A	450.4505	CXorf40A	333.1616
CXorf40B	327.3273	CXorf40B	325.7498
CXorf42	144.1441	CXorf42	28.5355
CXorf50B	7.007	removed	removed
CXorf56	230.2302	CXorf56	314.2615
removed	removed	CXorf57	21.4943
CXorf59	14.014	removed	removed
CXorf61	929.4294	CXorf61	10.3766
CYB561D1	225.2252	CYB561D1	395.7916
CYB561D2	207.3023	CYB561D2	219.8459
CYB561	3680.1802	CYB561	551.8105
CYB5A	583.5836	CYB5A	5971.3385
CYB5B	2492.4925	CYB5B	2378.4553
CYB5D1	417.9179	CYB5D1	583.3108
CYB5D2	224.7247	CYB5D2	572.5636
CYB5R1	1685.6857	CYB5R1	1145.1273
CYB5R2	740.7407	CYB5R2	184.1839
CYB5R3	6516.5165	CYB5R3	9925.1776
CYB5R4	105.6056	CYB5R4	307.9614
CYB5RL	13.013	CYB5RL	122.6657
CYBASC3	586.5866	CYBASC3	1041.7323
CYBA	1914.4144	CYBA	347.6147
CYBB	208.7087	CYBB	284.2436
CYBRD1	15219.2192	CYBRD1	16892.6656
CYC1	1500.5005	CYC1	2425.891
CYCS	3782.2823	CYCS	2984.0016
CYFIP1	3138.1381	CYFIP1	3386.4638
CYFIP2	121.1211	CYFIP2	163.4308
CYGB	77.0771	CYGB	1311.8934
CYHR1	531.031	CYHR1	442.1155
CYLD	1758.2583	CYLD	1421.2178
removed	removed	CYP11A1	48.5475
CYP1B1	314.3143	CYP1B1	317.9674
CYP20A1	914.9149	CYP20A1	747.1122
removed	removed	CYP21A2	137.1892
CYP24A1	410.9109	CYP24A1	5.5589
CYP26B1	303.3033	CYP26B1	700.7882
CYP27A1	3652.1522	CYP27A1	694.4882
CYP27B1	80.5806	removed	removed
removed	removed	CYP27C1	12.2295
removed	removed	CYP2A6	126.7422
CYP2B7P1	11.5115	CYP2B7P1	14.0825
removed	removed	CYP2C18	20.7049
CYP2C8	10.01	removed	removed
removed	removed	CYP2C9	5.5589
removed	removed	CYP2D6	6.6706
removed	removed	CYP2D7P1	6.3001
removed	removed	CYP2E1	12.1443
CYP2J2	810.8108	CYP2J2	10.7471
CYP2R1	570.5706	CYP2R1	131.5599
CYP2S1	21.5215	CYP2S1	7.4118
CYP2U1	287.7878	CYP2U1	665.949
CYP39A1	2009.5095	CYP39A1	130.8187
removed	removed	CYP3A4	45.2121
CYP3A5	6.006	CYP3A5	151.9425
CYP46A1	20.5205	CYP46A1	77.4536
removed	removed	CYP4A11	5.5589
CYP4B1	25.025	CYP4B1	975.0258
CYP4F11	34.5345	removed	removed
removed	removed	CYP4F12	74.1183
removed	removed	CYP4F22	7.7824
CYP4V2	2372.3724	CYP4V2	911.6547
CYP4X1	21.5215	CYP4X1	152.313
removed	removed	CYP4Z1	5.5589
CYP51A1	3028.028	CYP51A1	973.1729
CYP7B1	300.3003	CYP7B1	170.1014
CYR61	2067.5676	CYR61	32034.6577
CYS1	18.5185	CYS1	209.0135
CYSLTR1	16.016	CYSLTR1	53.3652
removed	removed	CYSLTR2	39.2827
CYTH1	308.8088	CYTH1	589.6108
CYTH2	1190.1902	CYTH2	963.1669
CYTH3	257.2573	CYTH3	1855.5509
CYTH4	49.049	CYTH4	100.8008
CYTIP	39.039	CYTIP	52.9946
CYTL1	18.018	CYTL1	13.7119
CYTSA	841.3413	CYTSA	1566.1191
CYTSB	27.027	CYTSB	496.963
CYYR1	8906.9069	CYYR1	1727.3263
D2HGDH	62.5626	D2HGDH	195.6722
removed	removed	D4S234E	28.1649
DAAM1	385.3854	DAAM1	1509.4186
DAAM2	92.8579	DAAM2	2696.2856
removed	removed	DAB1	15.1942
DAB2IP	2590.5906	DAB2IP	1510.5304
DAB2	2560.5606	DAB2	2578.204
DACH1	10.01	DACH1	219.0195
DACT1	114.6146	DACT1	153.4248
removed	removed	DACT2	35.2062
DACT3	42.042	DACT3	71.5241
DAD1	2928.4284	DAD1	2140.1651
DAG1	2868.8689	DAG1	2412.1791
DAGLA	59.0591	DAGLA	86.7184
DAGLB	187.6877	DAGLB	254.5963
DAK	247.2472	DAK	354.6559
DALRD3	279.6246	DALRD3	378.9593
removed	removed	DAND5	7.7824
DAP3	3288.2883	DAP3	2022.6876
DAPK1	73.5736	DAPK1	485.4747
DAPK2	290.2903	DAPK2	1204.4219
DAPK3	604.1041	DAPK3	499.1866
DAPL1	19.5195	removed	removed
DAPP1	882.8829	DAPP1	34.8356
DAP	3270.2703	DAP	1732.5146
DARC	70.0701	DARC	563.6694
DARS2	704.7047	DARS2	632.2288
DARS	2265.2653	DARS	2143.1298
DAXX	1870.8709	DAXX	1131.0448
DAZAP1	1028.028	DAZAP1	1085.0915
DAZAP2	6561.0611	DAZAP2	4435.9785
DBC1	260.2603	DBC1	6.6706
DBF4B	77.5776	DBF4B	70.0418
DBF4	371.8719	DBF4	102.2832
DBI	22098.0981	DBI	5396.5513
DBN1	1001.001	DBN1	1230.3633
DBNDD1	1274.7748	DBNDD1	84.1242
DBNDD2	1503.7137	DBNDD2	410.252
DBNL	752.2523	DBNL	2000.4521
DBP	143.8038	DBP	474.3532
DBR1	513.013	DBR1	315.0026
DBT	664.1642	DBT	1427.1473
removed	removed	DBX2	18.9002
DCAF10	1669.1692	DCAF10	1457.9064
DCAF11	854.8549	DCAF11	1248.8929
DCAF12L2	5.5055	DCAF12L2	7.7824
DCAF12	2693.1932	DCAF12	1089.168
DCAF13	1127.1722	DCAF13	451.5359
DCAF15	339.8398	DCAF15	222.7254
DCAF16	689.6897	DCAF16	539.581
DCAF17	591.5916	DCAF17	346.1323
DCAF4L1	11.011	DCAF4L1	5.1883
DCAF4	168.1682	DCAF4	176.0309
DCAF5	793.2933	DCAF5	2701.2404
DCAF6	3312.3123	DCAF6	2557.8215
DCAF7	1244.2442	DCAF7	1370.8174
DCAF8	2591.2863	DCAF8	2978.6169
DCAKD	1314.8148	DCAKD	794.5479
DCBLD1	689.7497	DCBLD1	347.2441
DCBLD2	2765.2653	DCBLD2	1533.1364
DCC	17.017	removed	removed
DCDC2	6.006	removed	removed
DCHS1	219.2192	DCHS1	1260.3812
DCHS2	30.5305	DCHS2	18.5296
DCI	314.8148	DCI	765.2711
DCK	532.5325	DCK	362.0678
DCLK1	53.0531	DCLK1	1263.3459
DCLK2	89.0891	DCLK2	147.4954
DCLK3	7.5075	DCLK3	26.6826
DCLRE1A	364.8649	DCLRE1A	300.9202
DCLRE1B	146.1461	DCLRE1B	261.6375
DCLRE1C	367.3674	DCLRE1C	230.8784
DCN	2031.031	DCN	47773.6724
DCP1A	1001.5015	DCP1A	1493.4832
DCP1B	479.98	DCP1B	276.4611
DCP2	603.1031	DCP2	661.8762
DCPS	295.2953	DCPS	181.9604
DCST2	35.5355	DCST2	8.153
DCTD	2889.3894	DCTD	1308.9287
DCTN1	2165.025	DCTN1	4021.1052
DCTN2	2320.3203	DCTN2	2313.6018
DCTN3	1083.5836	DCTN3	781.9478
DCTN4	1810.8108	DCTN4	2642.3163
DCTN5	1638.6386	DCTN5	1155.1332
DCTN6	667.1672	DCTN6	1035.0616
DCTPP1	506.5065	DCTPP1	302.032
DCT	8.5085	DCT	10.7471
DCUN1D1	734.2342	DCUN1D1	626.67
DCUN1D2	239.7397	DCUN1D2	226.4313
DCUN1D3	238.7387	DCUN1D3	855.3248
DCUN1D4	1138.6386	DCUN1D4	1361.182
DCUN1D5	466.967	DCUN1D5	389.8621
DCXR	492.993	DCXR	1185.5217
DCX	57.0571	DCX	21.8649
DDA1	823.8238	DDA1	441.7449
DDAH1	1081.0811	DDAH1	482.5099
DDAH2	1673.1732	DDAH2	2108.2942
DDB1	3297.7978	DDB1	6301.1648
DDB2	146.1461	DDB2	223.8372
DDHD1	151.6517	DDHD1	920.1783
DDHD2	1239.2392	DDHD2	3445.7584
DDI2	42.8829	DDI2	301.5094
DDIT3	279.0741	DDIT3	511.2085
DDIT4L	78.0781	DDIT4L	247.1844
DDIT4	762.2623	DDIT4	525.1279
DDN	11.011	removed	removed
DDOST	9106.6066	DDOST	2618.2279
DDO	11.011	DDO	60.777
DDR1	8116.1161	DDR1	785.6537
DDR2	259.2593	DDR2	4257.7241
DDRGK1	558.5586	DDRGK1	554.4047
DDTL	176.0761	DDTL	105.0515
DDT	730.2002	DDT	850.0328
DDX10	432.9329	DDX10	522.1632
DDX11L2	41.041	DDX11L2	51.1416
DDX11	559.0591	DDX11	329.8263
DDX12	57.5576	DDX12	34.0944
DDX17	19630.6306	DDX17	6639.8853
DDX18	2599.5996	DDX18	1797.7387
DDX19A	790.7908	DDX19A	1330.2636
DDX19B	580.5806	DDX19B	1004.8103
DDX1	3687.1872	DDX1	4066.1283
DDX20	410.4104	DDX20	363.9207
DDX21	1097.0971	DDX21	1663.9552
DDX23	1600.1001	DDX23	1968.2107
DDX24	1356.8569	DDX24	4150.2526
DDX26B	526.5265	DDX26B	126.3717
DDX27	1076.5766	DDX27	815.301
DDX28	345.8458	DDX28	161.5778
DDX31	392.3924	DDX31	158.9837
DDX39	819.8198	DDX39	282.02
DDX3X	6185.6857	DDX3X	14725.818
DDX41	495.4955	DDX41	721.912
DDX42	1615.1151	DDX42	4383.7251
removed	removed	DDX43	14.0825
DDX46	731.7317	DDX46	1355.6232
DDX47	1606.1061	DDX47	942.4138
DDX49	741.7417	DDX49	486.5864
DDX50	455.956	DDX50	1188.4865
DDX51	328.8288	DDX51	331.3087
DDX52	324.3243	DDX52	554.0341
DDX54	580.7107	DDX54	810.4129
DDX55	458.4585	DDX55	369.109
DDX56	1483.4835	DDX56	898.684
DDX58	450.951	DDX58	539.9516
DDX59	912.9129	DDX59	502.5219
DDX5	6786.2863	DDX5	13092.2513
DDX60L	505.5055	DDX60L	359.4736
DDX60	451.952	DDX60	627.7818
DDX6	7758.7588	DDX6	4110.5993
DEAF1	688.1882	DEAF1	334.644
DECR1	1682.1822	DECR1	4646.4744
DECR2	279.2793	DECR2	274.2376
DEDD2	495.996	DEDD2	313.8909
DEDD	1537.1722	DEDD	1153.2062
DEF6	148.1481	DEF6	36.6885
DEF8	1228.7287	DEF8	747.8533
removed	removed	DEFA1B	5.1883
removed	removed	DEFB132	353.1736
DEFB1	25.025	removed	removed
DEGS1	9372.8729	DEGS1	2329.1667
DEGS2	16.016	DEGS2	5.1883
DEK	2445.9459	DEK	2243.9306
DEM1	92.0921	DEM1	74.1183
DENND1A	419.9199	DENND1A	488.4394
DENND1B	179.6797	DENND1B	94.8714
DENND1C	36.5365	DENND1C	12.2295
DENND2A	28.5285	DENND2A	801.5891
DENND2C	24.014	DENND2C	87.945
DENND2D	378.8789	DENND2D	491.0335
DENND3	312.8128	DENND3	422.1036
DENND4A	418.4184	DENND4A	638.1583
DENND4B	732.7327	DENND4B	744.5032
DENND4C	1416.9169	DENND4C	2462.5795
DENND5A	1090.5906	DENND5A	4263.2829
DENND5B	83.0831	DENND5B	1149.2038
DENR	1883.3834	DENR	1459.7593
DEPDC1B	48.5485	DEPDC1B	5.9295
DEPDC1	107.6076	DEPDC1	11.8589
DEPDC4	9.5095	removed	removed
DEPDC5	242.2422	DEPDC5	233.4726
DEPDC6	928.4284	DEPDC6	245.3315
DEPDC7	53.5536	DEPDC7	20.7531
DERA	449.4494	DERA	512.5278
DERL1	2442.9429	DERL1	3873.4208
DERL2	659.6597	DERL2	647.0525
DERL3	35.035	DERL3	5.1883
removed	removed	DES	1868.8922
DET1	186.6867	DET1	201.2311
DEXI	578.5786	DEXI	453.9744
DFFA	298.2983	DFFA	503.6336
DFFB	174.1742	DFFB	62.2593
DFNA5	266.2663	DFNA5	140.8247
DFNB31	112.1121	DFNB31	77.4536
DFNB59	53.5536	DFNB59	40.765
DGAT1	1505.9059	DGAT1	3892.9955
DGAT2	1394.8949	DGAT2	55142.5109
DGCR11	45.045	DGCR11	22.6061
DGCR14	333.8338	DGCR14	267.1964
DGCR2	2017.5175	DGCR2	1788.8445
DGCR5	49.049	removed	removed
DGCR6L	329.8298	DGCR6L	400.2387
DGCR6	277.2773	DGCR6	269.7905
DGCR8	586.5866	DGCR8	509.1925
