gene_id	TCGA-A7-A13G-01A-11R-A13Q-07	gene_id	TCGA-A7-A13G-11A-51R-A13Q-07
C16orf61	93.9315	C16orf61	198.4099
C16orf62	2030.8065	C16orf62	1692.1513
C16orf63	960.7856	C16orf63	895.8926
C16orf68	209.3227	C16orf68	247.255
C16orf70	561.1031	C16orf70	377.5112
C16orf71	151.2074	removed	removed
C16orf72	1717.8987	C16orf72	1276.1285
C16orf74	113.5401	C16orf74	26.4335
C16orf75	73.9894	C16orf75	24.4002
C16orf79	8.3998	removed	removed
C16orf7	204.1811	C16orf7	183.4079
C16orf80	258.2902	C16orf80	721.0248
C16orf86	13.1836	C16orf86	28.4669
C16orf87	40.3578	C16orf87	87.0272
C16orf88	831.6405	C16orf88	150.8743
C16orf89	14.5288	C16orf89	361.5291
C16orf91	255.5997	C16orf91	78.8939
C16orf93	106.5447	removed	removed
C17orf100	38.4745	C17orf100	13.0134
C17orf101	171.6553	C17orf101	253.7617
C17orf103	367.5254	C17orf103	1997.56
C17orf104	15.0669	C17orf104	15.0468
C17orf106	263.3322	C17orf106	147.7389
C17orf107	286.2286	C17orf107	32.863
C17orf108	337.327	C17orf108	338.6824
C17orf28	2754.5571	C17orf28	465.6364
C17orf37	959.4404	C17orf37	328.1822
C17orf39	336.8534	C17orf39	734.0382
C17orf42	181.6103	C17orf42	178.5279
C17orf44	177.8435	C17orf44	46.3603
C17orf47	6.7263	removed	removed
C17orf48	169.2339	C17orf48	181.3745
C17orf49	954.1266	C17orf49	669.7438
C17orf51	62.9582	C17orf51	402.6027
C17orf53	30.672	C17orf53	101.2607
C17orf55	16.6812	C17orf55	12.2001
C17orf56	206.1236	C17orf56	177.987
C17orf57	45.4698	C17orf57	104.1074
C17orf58	504.742	C17orf58	411.5494
C17orf59	284.6573	C17orf59	98.0073
C17orf60	8.0716	C17orf60	10.1667
C17orf61	321.8296	C17orf61	1140.732
C17orf62	1304.3654	C17orf62	688.4913
C17orf63	984.4622	C17orf63	542.0903
C17orf65	294.6068	C17orf65	126.4538
removed	removed	C17orf67	25.2135
C17orf68	1704.4461	C17orf68	660.8377
C17orf69	104.1232	C17orf69	35.7869
C17orf70	714.8719	C17orf70	351.769
C17orf71	545.0999	C17orf71	452.623
C17orf72	145.186	C17orf72	38.7881
C17orf75	311.0244	C17orf75	161.8544
C17orf76	37.1292	C17orf76	77.2672
C17orf79	602.408	C17orf79	750.7117
C17orf80	601.3318	C17orf80	590.0773
C17orf81	551.5571	C17orf81	536.3969
C17orf85	710.567	C17orf85	687.2712
C17orf86	82.33	C17orf86	61.8137
C17orf87	9.1935	C17orf87	9.7885
C17orf89	187.5294	C17orf89	314.7621
C17orf90	330.6652	C17orf90	124.4408
C17orf91	140.4453	C17orf91	716.9581
C17orf95	374.5208	C17orf95	363.5624
C17orf96	231.3849	C17orf96	65.0671
C17orf97	289.2312	C17orf97	33.7536
C18orf10	811.7307	C18orf10	972.7532
C18orf18	22.8694	C18orf18	84.1806
C18orf19	229.5016	C18orf19	300.122
C18orf1	1289.2984	C18orf1	613.6641
C18orf21	159.2789	C18orf21	231.3949
C18orf22	237.8422	C18orf22	383.4892
C18orf25	728.0554	C18orf25	564.8638
C18orf32	1511.2531	C18orf32	1068.5157
removed	removed	C18orf34	78.0805
C18orf45	883.2986	C18orf45	150.061
C18orf54	34.1696	C18orf54	130.5409
C18orf55	354.8799	C18orf55	446.9296
C18orf56	8.3406	removed	removed
C18orf8	389.9886	C18orf8	411.9276
C19orf10	1537.0956	C19orf10	495.3233
C19orf12	196.4082	C19orf12	3738.9183
C19orf18	56.77	C19orf18	5.2867
C19orf20	36.3221	C19orf20	10.5734
C19orf21	39.2816	removed	removed
C19orf22	1006.7936	C19orf22	397.316
C19orf23	23.6766	C19orf23	9.3534
C19orf24	640.0753	C19orf24	252.135
C19orf25	561.243	C19orf25	111.4274
C19orf26	13.7217	removed	removed
C19orf28	572.8123	C19orf28	222.4481
C19orf29	308.872	C19orf29	159.0077
C19orf2	1777.6283	C19orf2	1729.9715
C19orf33	21.1233	C19orf33	9.3819
C19orf36	35.784	C19orf36	79.3005
C19orf38	8.8787	C19orf38	13.0134
C19orf39	120.8045	C19orf39	29.2802
C19orf40	79.1014	C19orf40	29.2802
C19orf42	1497.5449	C19orf42	1786.9052
C19orf43	1066.5232	C19orf43	988.6133
C19orf44	181.2901	C19orf44	118.0399
C19orf45	6.9954	removed	removed
C19orf46	232.9993	removed	removed
C19orf47	289.2312	C19orf47	110.6141
C19orf48	453.6221	C19orf48	178.1212
C19orf50	1019.439	C19orf50	1024.4002
C19orf51	92.554	removed	removed
C19orf52	162.5076	C19orf52	162.6678
C19orf53	929.0375	C19orf53	754.3717
C19orf54	371.8302	C19orf54	330.2155
C19orf55	143.1358	C19orf55	52.867
C19orf56	1829.8244	C19orf56	1622.6108
C19orf57	73.1822	C19orf57	11.3867
C19orf60	176.7673	C19orf60	95.974
C19orf61	563.6645	C19orf61	189.5079
C19orf62	896.7512	C19orf62	912.9728
C19orf63	2276.2171	C19orf63	789.7519
C19orf66	328.798	C19orf66	368.7637
removed	removed	C19orf69	8.9467
C19orf6	1369.207	C19orf6	1087.0272
C19orf70	491.0204	C19orf70	440.8296
C19orf71	8.8787	removed	removed
C19orf73	21.2551	C19orf73	8.1334
C19orf76	8.0716	C19orf76	28.0602
C1D	206.6321	C1D	226.1082
C1GALT1C1	666.1734	C1GALT1C1	524.6035
C1GALT1	213.3584	C1GALT1	327.3688
C1QA	256.6759	C1QA	2130.1342
C1QBP	1592.4396	C1QBP	772.0862
C1QB	399.0045	C1QB	2120.7808
C1QC	384.4757	C1QC	1679.9512
C1QTNF1	186.9913	C1QTNF1	5368.8491
C1QTNF2	8.0716	C1QTNF2	68.3205
C1QTNF3	299.1861	C1QTNF3	200.488
C1QTNF6	668.3258	C1QTNF6	152.501
C1QTNF7	16.6812	C1QTNF7	1207.8081
C1QTNF9B	7.5792	C1QTNF9B	11.6633
C1QTNF9	8.6339	C1QTNF9	33.7536
C1RL	845.7846	C1RL	653.8796
C1R	1332.3468	C1R	6734.4449
C1S	2051.6096	C1S	12564.8638
C1orf101	28.2505	C1orf101	14.6401
C1orf103	579.0005	C1orf103	291.5819
C1orf104	82.8008	C1orf104	59.0159
C1orf106	16.1431	removed	removed
C1orf107	1185.9824	C1orf107	468.4831
C1orf109	311.0244	C1orf109	281.0085
C1orf111	11.3002	removed	removed
C1orf112	293.8131	C1orf112	87.1574
C1orf113	165.7039	C1orf113	19.2883
C1orf115	1748.0326	C1orf115	4170.8011
C1orf116	325.8223	removed	removed
C1orf122	379.9341	C1orf122	302.9687
C1orf123	411.1119	C1orf123	918.6661
C1orf124	383.3995	C1orf124	176.9012
C1orf125	5.9191	removed	removed
C1orf126	58.8848	C1orf126	7.3648
C1orf128	887.3344	C1orf128	840.1789
C1orf130	28.7886	removed	removed
C1orf131	400.8879	C1orf131	156.5677
C1orf133	19.1027	C1orf133	23.5868
C1orf135	23.1385	C1orf135	19.9268
C1orf144	2641.5551	C1orf144	2542.4969
C1orf150	8.3406	C1orf150	43.5136
C1orf151	1289.0294	C1orf151	938.5929
C1orf152	15.336	C1orf152	15.0468
C1orf156	516.5803	C1orf156	165.9211
C1orf159	140.4453	C1orf159	43.5136
C1orf161	5.381	C1orf161	32.9402
C1orf162	50.3128	C1orf162	135.0142
C1orf163	195.87	C1orf163	213.5014
C1orf168	84.7515	removed	removed
C1orf170	12.6455	removed	removed
C1orf172	595.4127	removed	removed
C1orf173	186.1842	removed	removed
C1orf174	383.6685	C1orf174	321.2688
C1orf175	8.3406	C1orf175	14.6401
C1orf182	8.6097	removed	removed
C1orf183	21.2551	C1orf183	165.1078
removed	removed	C1orf186	34.5669
C1orf190	21.7825	C1orf190	35.2948
C1orf192	76.1418	C1orf192	38.6336
C1orf198	1650.6356	C1orf198	1340.3823
C1orf201	314.253	C1orf201	202.1147
C1orf203	99.0274	C1orf203	95.9862
C1orf204	106.394	C1orf204	71.6836
C1orf210	392.2782	removed	removed
C1orf212	452.5459	C1orf212	538.4303
C1orf213	40.8852	C1orf213	203.717
C1orf216	669.6711	C1orf216	373.7292
C1orf21	6742.7188	C1orf21	2989.8333
C1orf220	36.5723	C1orf220	6.5067
C1orf226	3159.4807	C1orf226	255.795
C1orf228	26.9052	removed	removed
C1orf229	29.3267	C1orf229	7.7267
C1orf230	6.1882	removed	removed
C1orf25	918.5444	C1orf25	763.7251
C1orf26	250.4877	C1orf26	244.815
C1orf27	2155.6467	C1orf27	783.6519
C1orf31	423.4883	C1orf31	185.4412
C1orf35	319.9031	C1orf35	82.1472
C1orf38	76.4108	C1orf38	420.0895
C1orf43	9015.1342	C1orf43	5985.7666
C1orf50	133.988	C1orf50	184.2212
C1orf51	289.7693	C1orf51	293.6153
C1orf52	206.3631	C1orf52	349.329
C1orf53	71.2988	C1orf53	17.4868
C1orf54	58.9224	C1orf54	117.9341
C1orf55	1316.4727	C1orf55	676.2912
C1orf56	311.6836	C1orf56	162.7044
C1orf57	895.675	C1orf57	471.7365
C1orf58	1221.7018	C1orf58	432.6474
C1orf59	289.2312	C1orf59	169.1745
C1orf63	346.8084	C1orf63	279.3819
C1orf64	687.1595	removed	removed
C1orf66	1324.8133	C1orf66	385.5226
C1orf69	482.1417	C1orf69	319.6421
C1orf74	282.2358	C1orf74	38.6336
C1orf77	2360.9336	C1orf77	1099.634
C1orf83	230.3087	C1orf83	273.6885
C1orf84	11.4105	C1orf84	25.974
C1orf85	1173.0679	C1orf85	729.9715
C1orf86	390.6451	C1orf86	191.098
C1orf88	350.037	C1orf88	33.3469
C1orf89	91.4778	C1orf89	16.6734
C1orf91	123.9685	C1orf91	118.7434
C1orf93	1288.0151	C1orf93	263.6397
removed	removed	C1orf95	40.2603
C1orf96	442.0529	C1orf96	178.5279
C1orf97	246.7209	C1orf97	147.621
C1orf9	6442.7255	C1orf9	1101.6673
C20orf103	319.9031	removed	removed
C20orf108	2367.6599	C20orf108	3576.2505
C20orf111	745.5438	C20orf111	677.9179
C20orf112	1001.9506	C20orf112	882.0659
C20orf114	482.4107	removed	removed
C20orf117	783.2111	C20orf117	261.0817
removed	removed	C20orf118	51.525
C20orf11	1848.6581	C20orf11	1098.414
C20orf12	241.878	C20orf12	69.5405
C20orf132	25.0299	C20orf132	144.3798
C20orf134	94.1683	removed	removed
C20orf135	33.6315	C20orf135	27.2468
C20orf151	191.5652	removed	removed
C20orf160	25.2909	C20orf160	327.7755
C20orf177	182.1672	C20orf177	306.222
C20orf194	472.4558	C20orf194	1379.8292
C20orf196	54.3486	C20orf196	37.8203
C20orf197	5.6501	C20orf197	6.1
C20orf199	750.9249	C20orf199	1749.4917
removed	removed	C20orf202	8.5401
C20orf20	279.2762	C20orf20	161.8544
C20orf24	878.9507	C20orf24	668.1578
C20orf26	39.5507	C20orf26	7.32
C20orf27	219.5466	C20orf27	1869.8658
C20orf29	298.1099	C20orf29	153.721
C20orf30	1833.0531	C20orf30	4380.2359
C20orf3	4253.7163	C20orf3	12399.3493
C20orf43	1793.7714	C20orf43	1986.1732
removed	removed	C20orf46	17.4868
C20orf4	1122.217	C20orf4	1230.1749
C20orf54	500.9753	C20orf54	32.1269
C20orf72	331.2033	C20orf72	212.6881
C20orf7	97.1279	C20orf7	144.7743
C20orf94	89.0563	C20orf94	41.4803
C20orf96	642.7659	C20orf96	167.5478
C21orf119	84.4824	C21orf119	69.9471
C21orf122	23.6766	C21orf122	24.8068
C21orf125	5.6501	removed	removed
C21orf130	24.7528	removed	removed
removed	removed	C21orf15	91.0939
removed	removed	C21orf29	5.2867
C21orf2	344.3869	C21orf2	272.0618
C21orf33	1330.7325	C21orf33	3259.4551
C21orf34	10.224	C21orf34	138.2676
C21orf45	160.3551	C21orf45	103.7007
C21orf49	6.9954	C21orf49	15.8601
C21orf56	89.5944	C21orf56	24.4002
C21orf57	163.0457	C21orf57	99.634
C21orf58	95.5136	C21orf58	26.4335
C21orf59	882.5399	C21orf59	244.4083
removed	removed	C21orf62	7.7267
C21orf63	331.2033	C21orf63	303.3754
C21orf67	98.2041	C21orf67	32.9402
C21orf70	97.935	C21orf70	30.9069
C21orf7	76.9489	C21orf7	78.0805
C21orf82	8.3406	C21orf82	47.987
C21orf88	24.4838	removed	removed
C21orf91	142.8668	C21orf91	670.5978
C22orf13	3781.1771	C22orf13	3365.3355
C22orf23	35.784	C22orf23	34.9736
C22orf25	520.078	C22orf25	641.3176
C22orf26	9.6859	C22orf26	10.5734
C22orf27	185.6461	C22orf27	78.4872
C22orf28	2032.6899	C22orf28	1308.6621
C22orf29	1031.2693	C22orf29	327.9301
C22orf30	2072.2405	C22orf30	979.2599
C22orf32	808.7711	C22orf32	792.5986
removed	removed	C22orf34	9.7601
C22orf36	193.1795	C22orf36	47.5803
C22orf39	547.2415	C22orf39	1137.4542
C22orf40	135.8714	C22orf40	118.7475
C22orf41	20.717	removed	removed
C22orf43	7.2644	removed	removed
C22orf45	8.0958	removed	removed
C22orf46	715.41	C22orf46	380.2359
C22orf9	2322.1901	C22orf9	1068.7271
C2CD2L	527.2079	C2CD2L	184.2212
C2CD2	1022.1295	C2CD2	8544.1236
C2CD3	935.2257	C2CD3	520.9435
C2CD4A	56.501	removed	removed
C2CD4B	14.5288	C2CD4B	145.181
C2CD4C	8.3406	C2CD4C	52.0537
C2CD4D	27.8631	removed	removed
C2orf14	6.7263	removed	removed
C2orf15	89.9361	C2orf15	16.344
C2orf16	156.3194	C2orf16	72.3871
C2orf18	3190.6908	C2orf18	1401.7893
C2orf24	1493.5091	C2orf24	1581.1305
C2orf27A	155.2432	C2orf27A	13.4201
C2orf28	2187.2146	C2orf28	2552.2773
C2orf29	1305.1725	C2orf29	682.7979
C2orf34	114.3472	C2orf34	74.8272
C2orf3	513.3517	C2orf3	767.3851
removed	removed	C2orf40	447.3363
C2orf42	218.4704	C2orf42	214.7214
C2orf43	318.2888	C2orf43	530.7035
C2orf44	179.1888	C2orf44	228.9549
C2orf47	334.3997	C2orf47	370.8825
C2orf49	137.7548	C2orf49	169.1745
C2orf50	7.5335	removed	removed
C2orf52	6.1882	C2orf52	5.2867
C2orf54	13.9907	removed	removed
C2orf55	742.5842	C2orf55	97.194
C2orf56	145.0192	C2orf56	302.9687
removed	removed	C2orf58	14.6401
C2orf60	240.0269	C2orf60	205.7747
C2orf63	90.4016	C2orf63	30.9069
C2orf64	577.9243	C2orf64	562.8304
C2orf65	22.3313	C2orf65	67.9138
C2orf67	100.1655	C2orf67	780.5043
C2orf68	765.7227	C2orf68	854.0057
C2orf69	704.1098	C2orf69	578.2839
removed	removed	C2orf71	9.3534
C2orf72	109.7733	C2orf72	6.9134
C2orf73	18.8337	removed	removed
C2orf74	143.6739	C2orf74	228.1415
C2orf76	87.442	C2orf76	107.3607
C2orf77	158.2027	C2orf77	72.3871
C2orf79	288.9621	C2orf79	182.1879
C2orf7	267.4379	C2orf7	428.6295
C2orf81	216.7539	C2orf81	18.3001
removed	removed	C2orf84	122.0008
C2orf86	131.2975	C2orf86	171.6145
C2orf88	20.717	C2orf88	205.7747
removed	removed	C2orf89	154.1277
C2	536.7135	C2	752.1757
C3AR1	129.4141	C3AR1	361.9357
C3orf10	2817.7844	C3orf10	4042.2936
C3orf14	285.7335	C3orf14	35.7869
C3orf15	143.1358	C3orf15	18.7068
C3orf17	766.799	C3orf17	1124.4408
C3orf18	378.2875	C3orf18	233.0216
C3orf19	368.3325	C3orf19	431.8829
C3orf1	1048.4967	C3orf1	1174.0545
C3orf21	273.3571	C3orf21	177.3078
C3orf23	424.8335	C3orf23	958.5197
C3orf26	301.8766	C3orf26	387.5559
C3orf31	163.8528	C3orf31	201.3013
C3orf32	6.1882	C3orf32	21.5535
C3orf33	81.5228	C3orf33	115.0874
C3orf34	114.0782	C3orf34	53.2737
C3orf35	17.4884	removed	removed
C3orf36	7.5335	removed	removed
C3orf37	672.0926	C3orf37	1303.3754
C3orf38	414.0714	C3orf38	363.9691
C3orf39	644.6492	C3orf39	350.549
C3orf42	22.8694	C3orf42	14.2334
C3orf47	26.9052	C3orf47	60.1871
removed	removed	C3orf50	12.2001
C3orf52	437.2099	C3orf52	15.0468
C3orf54	21.7932	C3orf54	27.6535
C3orf55	15.0669	C3orf55	513.2168
C3orf57	12.6455	C3orf57	6.9134
C3orf58	84.2134	C3orf58	544.937
C3orf59	114.8853	C3orf59	188.6946
C3orf62	174.6149	C3orf62	180.5612
C3orf63	2954.7185	C3orf63	2497.4502
C3orf64	214.7037	C3orf64	851.5657
C3orf67	16.9503	C3orf67	23.5868
C3orf70	29.0576	C3orf70	261.0817
C3orf71	33.1688	C3orf71	31.4233
C3orf75	339.544	C3orf75	237.0882
C3	3510.863	C3	29864.1724
C4A	159478.8834	C4A	785.9374
C4BPB	14.2598	C4BPB	5.6934
C4orf10	339.5036	C4orf10	325.8154
C4orf12	23.1385	C4orf12	92.7206
C4orf14	594.0674	C4orf14	730.3782
removed	removed	C4orf19	236.1936
C4orf21	72.106	C4orf21	77.2672
C4orf23	309.1411	C4orf23	217.1614
C4orf27	305.6434	C4orf27	393.656
C4orf29	154.9741	C4orf29	168.7678
C4orf31	33.9006	C4orf31	172.0211
C4orf32	2574.2921	C4orf32	2738.1049
C4orf33	317.4817	C4orf33	174.8678
C4orf34	2397.5247	C4orf34	769.0118
C4orf36	11.0311	C4orf36	7.7267
C4orf38	10.224	C4orf38	17.4868
C4orf39	22.3313	C4orf39	24.4002
C4orf3	2666.577	C4orf3	5017.8935
C4orf41	1028.8559	C4orf41	1154.941
C4orf42	457.3888	C4orf42	318.8288
C4orf43	3572.745	C4orf43	252.5417
C4orf46	145.3178	C4orf46	145.5876
C4orf47	20.9861	removed	removed
C4orf48	26.0981	C4orf48	5.2867
removed	removed	C4orf49	6.9134
C4orf50	8.0716	removed	removed
C4orf52	188.8747	C4orf52	452.2163
C5AR1	58.3843	C5AR1	217.9748
C5orf13	862.5816	C5orf13	742.985
C5orf15	2107.7554	C5orf15	1669.3778
C5orf22	715.1409	C5orf22	571.3705
C5orf23	16.4122	C5orf23	451.8097
C5orf24	1566.6913	C5orf24	1934.5262
C5orf25	209.0159	C5orf25	222.8548
removed	removed	C5orf27	11.3867
C5orf28	439.0933	C5orf28	159.0077
C5orf30	658.6399	C5orf30	527.0435
C5orf32	559.3597	C5orf32	1607.5641
C5orf33	1051.1872	C5orf33	949.9797
C5orf34	35.2458	C5orf34	22.7735
C5orf35	222.2372	C5orf35	201.708
C5orf36	172.7316	C5orf36	60.5937
removed	removed	C5orf38	15.0468
C5orf39	18.0265	C5orf39	68.3205
C5orf41	567.4312	C5orf41	1116.3074
C5orf42	820.3404	C5orf42	783.2452
C5orf43	1687.2267	C5orf43	864.1724
C5orf44	763.5407	C5orf44	504.3473
C5orf45	249.8554	C5orf45	264.8068
C5orf46	14.7979	removed	removed
C5orf49	71.5679	removed	removed
C5orf4	806.8877	C5orf4	2472.5498
C5orf51	993.61	C5orf51	1306.6287
C5orf53	358.3776	C5orf53	820.2521
C5orf54	133.719	C5orf54	121.1875
C5orf55	59.4606	C5orf55	54.4937
C5orf56	79.4296	C5orf56	171.5291
C5orf62	188.6056	C5orf62	5985.3599
C5	375.597	C5	694.5913
removed	removed	C6orf105	20.7401
C6orf106	2406.9415	C6orf106	4561.6104
C6orf108	106.8137	C6orf108	149.6543
C6orf114	10.7621	C6orf114	12.2001
C6orf115	556.4001	C6orf115	109.3941
C6orf120	1358.5148	C6orf120	1651.7853
C6orf122	17.6579	C6orf122	16.3196
removed	removed	C6orf123	10.1667
C6orf124	28.5195	C6orf124	10.1667
C6orf125	796.5696	C6orf125	253.0175
C6orf126	16.1431	removed	removed
C6orf127	12.9145	removed	removed
C6orf129	192.6414	C6orf129	61.0004
C6orf130	410.2455	C6orf130	361.4925
C6orf132	414.8786	C6orf132	23.1802
C6orf134	250.7567	C6orf134	119.1541
C6orf136	209.5917	C6orf136	191.5413
removed	removed	C6orf138	22.3668
C6orf141	13.7217	C6orf141	82.1472
removed	removed	C6orf142	61.0004
C6orf145	618.2821	C6orf145	1108.5807
C6orf147	22.0946	removed	removed
C6orf150	99.8184	C6orf150	76.4538
C6orf153	654.3351	C6orf153	482.3099
C6orf154	47.3532	removed	removed
C6orf155	182.9555	C6orf155	53.6804
C6orf162	84.6519	C6orf162	184.4978
C6orf163	9.1478	C6orf163	13.4201
C6orf164	17.857	C6orf164	15.1769
C6orf165	45.4456	removed	removed
C6orf167	229.7706	C6orf167	187.0679
C6orf168	109.7733	removed	removed
C6orf170	236.766	C6orf170	59.7804
C6orf174	16.1647	C6orf174	232.5336
C6orf182	123.2259	C6orf182	217.1614
removed	removed	C6orf186	6.9134
C6orf192	101.9708	C6orf192	357.8691
C6orf1	343.3107	C6orf1	160.2277
C6orf201	15.0885	C6orf201	32.1309
C6orf203	201.5201	C6orf203	274.9085
C6orf204	12.3764	C6orf204	100.4473
C6orf208	11.6688	C6orf208	7.2672
C6orf211	4431.2908	C6orf211	927.6129
C6orf217	23.9457	C6orf217	6.5067
C6orf223	7.8133	removed	removed
C6orf225	241.6089	C6orf225	201.3013
C6orf226	87.711	C6orf226	54.4937
C6orf26	21.1152	C6orf26	10.6547
C6orf27	86.6348	removed	removed
C6orf35	317.7507	C6orf35	447.3363
C6orf47	625.0084	C6orf47	265.1484
C6orf48	1539.248	C6orf48	2061.4071
C6orf52	11.5692	C6orf52	8.1334
C6orf57	56.2319	C6orf57	179.3412
removed	removed	C6orf59	10.1667
C6orf62	3682.4968	C6orf62	4602.0862
C6orf64	633.8871	C6orf64	417.6495
C6orf70	819.2641	C6orf70	427.8162
C6orf72	941.6829	C6orf72	1453.843
C6orf81	7.2644	removed	removed
C6orf89	3232.6629	C6orf89	4077.6739
C6orf97	2271.0702	C6orf97	389.5893
C6	31.2101	C6	4524.1968
C7orf10	42.7793	C7orf10	91.9073
C7orf11	442.0529	C7orf11	309.8821
C7orf13	20.448	C7orf13	116.3074
C7orf23	162.2116	C7orf23	463.5014
C7orf25	680.6942	C7orf25	287.1086
C7orf26	234.3445	C7orf26	404.2294
C7orf27	410.8428	C7orf27	511.5901
C7orf28A	652.1827	C7orf28A	902.806
C7orf28B	107.0828	C7orf28B	368.4425
C7orf29	59.9987	C7orf29	102.4807
C7orf30	483.756	C7orf30	355.0224
C7orf31	70.7607	C7orf31	138.6743
C7orf36	238.6494	C7orf36	155.3477
C7orf40	307.2577	C7orf40	206.9947
C7orf41	2098.0696	C7orf41	15716.1448
C7orf42	6018.161	C7orf42	2518.0968
C7orf43	196.1391	C7orf43	92.7206
C7orf44	778.6373	C7orf44	562.0171
C7orf46	249.1424	C7orf46	187.0679
C7orf47	89.3254	C7orf47	48.8003
C7orf49	339.9126	C7orf49	538.1863
C7orf50	358.6467	C7orf50	325.3355
removed	removed	C7orf51	11.3867
C7orf53	7.2644	C7orf53	19.1135
C7orf55	113.5131	C7orf55	407.2387
C7orf58	85.5586	C7orf58	5434.3229
C7orf59	640.3444	C7orf59	581.5372
C7orf60	90.6706	C7orf60	261.4884
C7orf63	304.2981	C7orf63	124.4408
C7orf64	133.988	C7orf64	322.0821
C7orf68	112.1948	C7orf68	739.7316
C7orf70	203.4035	C7orf70	262.7084
C7	60.8058	C7	3565.2704
C8orf30A	434.7885	C8orf30A	234.2416
removed	removed	C8orf31	15.8601
C8orf33	960.7856	C8orf33	1278.9752
removed	removed	C8orf34	80.9272
C8orf37	133.988	C8orf37	78.4872
C8orf38	285.1954	C8orf38	134.2009
C8orf39	8.8787	C8orf39	7.7267
C8orf40	795.5875	C8orf40	956.0797
C8orf41	308.611	C8orf41	207.255
C8orf42	170.041	C8orf42	306.222
C8orf44	42.5425	C8orf44	50.3091
C8orf45	71.0298	C8orf45	67.1004
C8orf46	12.1074	C8orf46	56.527
C8orf48	21.7932	C8orf48	31.7202
C8orf4	109.5043	C8orf4	217.9748
C8orf51	66.4559	C8orf51	10.1667
C8orf55	620.9726	C8orf55	478.6499
C8orf58	112.1948	C8orf58	148.0277
C8orf59	352.0361	C8orf59	431.8056
C8orf73	302.9528	C8orf73	43.5136
C8orf76	349.2514	C8orf76	270.4351
C8orf77	5.112	removed	removed
C8orf79	127.2617	C8orf79	134.6076
C8orf83	454.4293	C8orf83	772.2651
C8orf84	34.4387	C8orf84	86.6206
C8orf85	879.2628	removed	removed
C9orf100	57.2113	C9orf100	28.9833
C9orf102	161.4636	C9orf102	274.0748
C9orf103	166.2743	C9orf103	107.3607
C9orf106	9.4168	removed	removed
C9orf109	34.9768	C9orf109	14.6401
C9orf110	242.4161	C9orf110	139.0809
C9orf114	585.8505	C9orf114	254.5506
C9orf116	505.0111	C9orf116	20.7401
C9orf117	75.3346	removed	removed
C9orf119	417.031	C9orf119	230.5815
C9orf123	619.3583	C9orf123	785.6852
C9orf125	13.9907	C9orf125	223.6682
C9orf128	19.6408	removed	removed
C9orf129	186.246	C9orf129	91.4965
C9orf130	187.3061	C9orf130	163.7576
C9orf140	160.6242	removed	removed
C9orf142	260.4426	C9orf142	77.6739
removed	removed	C9orf144B	6.9134
C9orf150	370.485	C9orf150	440.4229
C9orf152	1915.114	removed	removed
C9orf156	343.8488	C9orf156	257.4217
C9orf163	34.1696	removed	removed
C9orf167	51.389	C9orf167	124.0342
C9orf169	44.7219	removed	removed
C9orf16	418.1072	C9orf16	293.6153
C9orf171	144.7501	removed	removed
C9orf172	49.7747	removed	removed
C9orf21	77.4871	C9orf21	398.536
C9orf23	316.9436	C9orf23	307.0354
removed	removed	C9orf24	30.0935
C9orf25	399.5426	C9orf25	461.1631
C9orf30	133.4042	C9orf30	135.6771
C9orf37	101.4327	C9orf37	79.7072
C9orf3	157.5328	C9orf3	240.9353
C9orf40	42.2412	C9orf40	152.9077
C9orf41	261.7879	C9orf41	141.1143
C9orf43	70.4917	C9orf43	8.1334
C9orf45	376.4041	C9orf45	117.5275
C9orf46	580.0767	C9orf46	269.2151
removed	removed	C9orf47	5.2948
C9orf5	2587.4756	C9orf5	7142.3343
C9orf64	759.8036	C9orf64	424.1562
C9orf66	41.9722	C9orf66	40.366
C9orf68	147.7097	C9orf68	40.2603
C9orf69	612.9011	C9orf69	328.1822
C9orf6	487.2536	C9orf6	362.3424
C9orf72	104.9304	C9orf72	542.4969
C9orf78	1183.5609	C9orf78	864.9858
C9orf7	1007.8698	C9orf7	85.4006
C9orf80	447.972	C9orf80	237.0882
C9orf82	387.1662	C9orf82	285.0752
C9orf85	77.218	C9orf85	190.3213
C9orf86	2105.8721	C9orf86	795.852
C9orf89	450.9316	C9orf89	118.7475
C9orf91	2006.8608	C9orf91	799.512
C9orf93	86.3658	C9orf93	48.3937
C9orf95	403.8474	C9orf95	750.305
C9orf96	14.7979	removed	removed
C9orf98	236.766	C9orf98	28.4669
C9orf9	168.1577	C9orf9	136.2342
CA11	46.546	CA11	38.2269
CA12	25314.3203	CA12	197.6413
CA13	29.7007	CA13	36.2017
CA14	28.7886	removed	removed
CA2	1789.1976	CA2	298.0887
CA3	10.9262	CA3	2349.7275
removed	removed	CA4	618.5441
CA5BP	197.7534	CA5BP	159.8211
CA5B	171.8033	CA5B	621.5941
CA8	59.4606	CA8	52.867
CAB39L	745.2748	CAB39L	1047.5803
CAB39	2314.6566	CAB39	2684.8312
CABC1	809.9872	CABC1	7660.7198
CABIN1	1851.3486	CABIN1	764.5384
CABLES1	1240.6	CABLES1	3015.0468
CABLES2	225.1967	CABLES2	91.9073
removed	removed	CABP1	36.1936
CABP4	46.6644	CABP4	6.1
CABYR	328.2438	CABYR	9.3534
CACHD1	95.2445	CACHD1	1413.1761
CACNA1A	10.7621	CACNA1A	18.7068
CACNA1B	11.8383	removed	removed
CACNA1C	269.3186	CACNA1C	145.9943
