gene_id	TCGA-A7-A13G-01A-11R-A13Q-07	gene_id	TCGA-A7-A13G-11A-51R-A13Q-07
ACOT11	15.8741	ACOT11	18.7068
ACOT13	613.9988	ACOT13	868.8369
ACOT1	569.5836	ACOT1	2784.8719
ACOT2	463.8461	ACOT2	1521.7568
ACOT4	525.4591	ACOT4	310.6954
ACOT6	6.9954	ACOT6	20.7401
ACOT7	241.6089	ACOT7	123.6275
ACOT8	297.3835	ACOT8	196.6938
ACOT9	244.5685	ACOT9	643.351
ACOX1	1757.9337	ACOX1	5173.9772
ACOX2	603.4842	ACOX2	633.5909
ACOX3	932.8042	ACOX3	364.3758
ACP1	1343.1089	ACP1	1073.6072
ACP2	1212.8876	ACP2	850.7523
ACP5	1934.4858	ACP5	248.8817
ACP6	254.2544	ACP6	157.381
ACPL2	552.9024	ACPL2	226.5148
ACPP	9.9549	ACPP	7.32
ACRBP	64.3035	ACRBP	19.1135
ACRC	48.1604	ACRC	40.6669
removed	removed	ACR	9.3534
removed	removed	ACSBG1	11.7934
ACSF2	606.4438	ACSF2	2364.3758
ACSF3	258.2902	ACSF3	258.2351
ACSL1	878.7247	ACSL1	88008.5401
ACSL3	2954.732	ACSL3	1919.0728
ACSL4	244.8376	ACSL4	2451.403
ACSL5	318.0198	ACSL5	936.5596
ACSL6	6.7263	removed	removed
ACSM1	59.9987	removed	removed
removed	removed	ACSM2A	15.8601
removed	removed	ACSM2B	12.2001
ACSM3	41.1731	ACSM3	13.6072
ACSM5	16.4122	ACSM5	1865.7991
ACSS1	1788.3904	ACSS1	447.743
ACSS2	701.1502	ACSS2	8939.4063
ACSS3	221.9681	ACSS3	3765.7584
ACTA1	64.8416	removed	removed
ACTA2	2759.3704	ACTA2	5650.9882
ACTB	39027.9142	ACTB	46972.3465
removed	removed	ACTC1	27.6535
ACTG1	77121.1408	ACTG1	25311.9154
ACTG2	280.8906	ACTG2	327.3688
ACTL6A	881.9533	ACTL6A	545.3436
ACTN1	4297.5718	ACTN1	3459.5364
removed	removed	ACTN2	8.1334
ACTN4	8654.6042	ACTN4	6056.8564
ACTR10	999.7982	ACTR10	1333.0622
ACTR1A	2155.6467	ACTR1A	2707.198
ACTR1B	1285.8008	ACTR1B	929.6462
ACTR2	6757.2476	ACTR2	5772.2651
ACTR3B	112.1948	ACTR3B	94.754
ACTR3C	22.8694	ACTR3C	14.6401
ACTR3	2649.0886	ACTR3	2422.5295
ACTR5	175.6911	ACTR5	145.9943
ACTR6	657.2947	ACTR6	614.8841
ACTR8	646.5326	ACTR8	465.2298
ACVR1B	1421.9412	ACVR1B	776.7385
ACVR1C	25.2909	ACVR1C	15144.7743
ACVR1	813.8831	ACVR1	1202.5214
ACVR2A	112.4638	ACVR2A	573.8105
ACVR2B	453.6221	ACVR2B	387.5559
ACVRL1	197.4844	ACVRL1	1417.6495
ACY1	632.2728	ACY1	1076.0472
ACYP1	63.2273	ACYP1	39.4469
ACYP2	161.1623	ACYP2	253.355
ADAL	241.3399	ADAL	376.5758
ADAM10	1885.5183	ADAM10	1382.2692
removed	removed	ADAM11	6.5067
ADAM12	1711.9796	ADAM12	1152.9077
ADAM15	7958.644	ADAM15	2526.2302
ADAM17	529.7639	ADAM17	569.7438
ADAM19	217.3942	ADAM19	116.3074
ADAM21	14.5288	ADAM21	10.1667
ADAM22	41.434	ADAM22	78.4872
ADAM23	10.7621	ADAM23	70.3538
ADAM28	52.1961	ADAM28	10.5734
ADAM32	14.5288	ADAM32	30.5002
ADAM33	25.829	ADAM33	560.2318
ADAM6	1619.5816	ADAM6	2362.196
ADAM8	267.9761	ADAM8	11.3867
ADAM9	1188.6729	ADAM9	2449.7763
ADAMDEC1	13.9907	removed	removed
ADAMTS10	131.5666	ADAMTS10	99.2273
ADAMTS12	410.5738	ADAMTS12	582.7572
ADAMTS13	154.9741	ADAMTS13	32.5336
ADAMTS14	128.876	ADAMTS14	7.32
ADAMTS15	500.1682	ADAMTS15	370.4758
ADAMTS16	207.7083	ADAMTS16	188.2879
ADAMTS17	84.4824	ADAMTS17	21.5535
removed	removed	ADAMTS18	115.4941
ADAMTS19	69.4155	removed	removed
ADAMTS1	207.4393	ADAMTS1	3951.1997
ADAMTS20	8.6097	removed	removed
ADAMTS2	425.3716	ADAMTS2	605.5307
ADAMTS3	11.5692	ADAMTS3	231.8015
ADAMTS4	647.0707	ADAMTS4	169.9878
ADAMTS5	87.442	ADAMTS5	2944.693
ADAMTS6	76.1418	ADAMTS6	20.3335
ADAMTS7	81.2538	ADAMTS7	105.734
ADAMTS9	69.6845	ADAMTS9	1165.5144
ADAMTSL1	34.7077	ADAMTSL1	493.6966
ADAMTSL2	98.2041	ADAMTSL2	52.867
ADAMTSL3	99.2803	ADAMTSL3	914.1928
ADAMTSL4	207.7083	ADAMTSL4	1836.9256
ADAMTSL5	189.9509	ADAMTSL5	22.3668
ADAP1	124.8241	ADAP1	30.2237
ADAP2	125.9165	ADAP2	350.9557
ADARB1	268.2451	ADARB1	851.5657
ADAR	15097.8678	ADAR	7013.8268
ADAT1	416.4929	ADAT1	428.6295
ADAT2	57.0391	ADAT2	177.7145
ADAT3	37.3983	ADAT3	8.9467
ADA	36.5911	ADA	145.9943
ADCK1	191.2962	ADCK1	104.1074
ADCK2	602.408	ADCK2	481.9032
ADCK4	881.6843	ADCK4	268.8085
ADCK5	91.7468	ADCK5	60.5937
ADCY1	3073.6531	ADCY1	227.3282
ADCY2	15.605	ADCY2	72.3871
ADCY3	390.9679	ADCY3	1827.7593
ADCY4	81.5228	ADCY4	848.3123
ADCY5	439.3623	ADCY5	1237.9016
ADCY6	4642.2278	ADCY6	6632.3709
ADCY7	352.1894	ADCY7	553.8837
ADCY9	1688.572	ADCY9	654.7377
removed	removed	ADCYAP1R1	33.7536
ADC	179.4579	ADC	59.7804
ADD1	5693.684	ADD1	8043.107
ADD2	13.9907	ADD2	64.6604
ADD3	3517.8583	ADD3	4448.5563
removed	removed	ADH1A	2446.4335
ADH1B	529.4949	ADH1B	257378.1985
removed	removed	ADH1C	773.0785
removed	removed	ADH4	19.1135
ADH5	1474.1374	ADH5	6722.6515
ADHFE1	160.3551	ADHFE1	1702.318
ADI1	575.5028	ADI1	2161.0411
ADIPOQ	686.3523	ADIPOQ	293105.3274
ADIPOR1	5964.6196	ADIPOR1	2611.2241
ADIPOR2	2900.3834	ADIPOR2	7634.4042
ADK	390.3948	ADK	370.8825
ADM2	292.1908	removed	removed
ADM	21.7932	ADM	966.6531
