gene_id	TCGA-BH-A0H9-01A-11R-A056-07	gene_id	TCGA-BH-A0H9-11A-22R-A466-07
ELP3	722.901	ELP3	965.2487
ELP4	285.4071	ELP4	243.8586
ELTD1	441.7945	ELTD1	4122.828
EMB	1766.0053	EMB	212.1031
EMCN	225.1979	EMCN	2700.4194
EMD	1017.3004	EMD	1252.846
EME1	65.6084	removed	removed
EME2	105.5615	removed	removed
EMG1	656.4363	EMG1	639.9041
EMID1	500.4398	EMID1	29.3589
EMILIN1	1469.6511	EMILIN1	1026.9623
EMILIN2	115.3357	EMILIN2	673.4572
removed	removed	EMILIN3	19.4667
EML1	340.9246	EML1	512.2828
EML2	651.6118	EML2	470.9407
EML3	755.3514	EML3	2493.7088
EML4	1235.8518	EML4	578.1905
EML5	22.6762	EML5	11.3841
EML6	31.2775	EML6	5.9916
EMP1	1352.7514	EMP1	13204.314
EMP2	18489.2972	EMP2	2871.1803
EMP3	193.5295	EMP3	1051.5279
EMR1	10.1652	removed	removed
EMR2	56.6905	EMR2	22.169
EMX2OS	25.8039	EMX2OS	358.2984
EMX2	8.6013	EMX2	208.5081
removed	removed	EN1	94.6675
removed	removed	EN2	13.1815
ENAH	4862.4768	ENAH	1405.6321
ENC1	1018.8642	ENC1	464.9491
ENDOD1	1586.5507	ENDOD1	1795.686
ENDOG	182.9342	ENDOG	404.2421
removed	removed	ENDOU	9.5866
ENGASE	343.6614	ENGASE	423.607
ENG	1577.5584	ENG	9784.9011
ENHO	47.3072	ENHO	15.5782
ENO1	13036.4578	ENO1	18159.976
ENO2	60.6001	ENO2	217.4955
ENO3	15.2478	ENO3	67.1061
ENOPH1	1464.9594	ENOPH1	597.9629
ENOSF1	510.9061	ENOSF1	302.5824
ENOX1	15.6387	ENOX1	111.444
ENOX2	333.8872	ENOX2	292.9898
ENPEP	124.719	ENPEP	288.1965
ENPP1	4001.9548	ENPP1	1397.843
ENPP2	330.7595	ENPP2	6237.867
ENPP3	10.9471	ENPP3	25.7639
ENPP4	683.8041	ENPP4	793.2894
ENPP5	1122.08	ENPP5	21.5698
ENPP6	6.2555	ENPP6	10.7849
ENSA	5009.09	ENSA	4349.311
ENTHD1	6.2555	removed	removed
ENTPD1	921.1221	ENTPD1	1055.1228
ENTPD2	149.35	ENTPD2	52.7262
ENTPD3	50.435	ENTPD3	179.1492
ENTPD4	706.8713	ENTPD4	137.8071
ENTPD5	289.2503	ENTPD5	86.1833
ENTPD6	2583.1297	ENTPD6	1115.0389
ENTPD7	529.4106	ENTPD7	49.0413
ENTPD8	10.1652	removed	removed
ENY2	617.7304	ENY2	652.4865
EOMES	7.4284	removed	removed
EP300	2076.4344	EP300	1122.828
EP400NL	70.7653	EP400NL	45.5362
EP400	1311.6997	EP400	752.5464
EPAS1	1411.0058	EPAS1	23784.302
EPB41L1	8231.8444	EPB41L1	2174.9551
EPB41L2	1324.9927	EPB41L2	4796.2852
EPB41L3	215.8147	EPB41L3	1002.3966
EPB41L4A	580.5884	EPB41L4A	633.3134
EPB41L4B	598.182	EPB41L4B	2265.4284
EPB41L5	1120.5161	EPB41L5	473.3373
EPB41	1125.4188	EPB41	1172.864
removed	removed	EPB42	155.1827
EPB49	299.091	EPB49	2559.0174
EPC1	256.8664	EPC1	237.2678
EPC2	483.2372	EPC2	466.7466
EPCAM	6665.6241	EPCAM	6.5908
EPDR1	589.5807	EPDR1	1681.2463
EPHA10	181.4094	removed	removed
EPHA1	577.0697	removed	removed
EPHA2	142.3126	EPHA2	1210.3056
EPHA3	365.5557	EPHA3	279.2091
EPHA4	57.4724	EPHA4	401.438
EPHA7	7.4284	EPHA7	25.1648
EPHB1	17.9846	EPHB1	46.1354
EPHB2	127.8467	EPHB2	139.0054
EPHB3	1354.3153	EPHB3	89.8742
EPHB4	1782.426	EPHB4	2662.0731
EPHB6	20.7213	EPHB6	384.0623
EPHX1	3397.5173	EPHX1	18236.0695
EPHX2	514.5147	EPHX2	849.0114
removed	removed	EPHX3	26.9623
EPHX4	21.5033	EPHX4	13.7807
EPM2AIP1	927.7685	EPM2AIP1	474.5357
EPM2A	119.2454	EPM2A	426.6028
EPN1	1929.8211	EPN1	3169.5626
EPN2	1041.1494	EPN2	883.7627
EPN3	987.9777	removed	removed
EPOR	24.2401	EPOR	95.722
EPPK1	2218.7469	removed	removed
EPR1	342.5433	removed	removed
EPRS	7334.1804	EPRS	2059.317
EPS15L1	1035.6759	EPS15L1	606.3511
EPS15	1140.0645	EPS15	1978.4302
EPS8L1	793.6663	EPS8L1	14.3799
EPS8L2	1799.2376	EPS8L2	235.4703
EPS8	1034.8939	EPS8	2857.9988
EPSTI1	69.2014	EPSTI1	81.4859
EPT1	2007.2251	EPT1	240.2516
EPYC	15.6387	removed	removed
ERAL1	1226.8595	ERAL1	859.1971
ERAP1	862.0076	ERAP1	2293.1576
ERAP2	571.5961	ERAP2	986.8185
ERBB2IP	3130.4858	ERBB2IP	826.8424
ERBB2	6689.4732	ERBB2	778.3104
ERBB3	5632.685	ERBB3	36.5488
ERBB4	1370.736	ERBB4	26.9623
ERC1	1946.2418	ERC1	1144.997
ERCC1	629.0685	ERCC1	1092.87
ERCC2	538.7235	ERCC2	470.3415
ERCC3	839.0187	ERCC3	788.4961
ERCC4	417.1635	ERCC4	182.145
ERCC5	864.4316	ERCC5	1136.0096
ERCC6L	178.6727	removed	removed
ERCC6	253.9693	ERCC6	128.3823
ERCC8	173.1991	ERCC8	156.3811
EREG	13.6839	removed	removed
ERF	892.1904	ERF	941.8814
ERGIC1	5159.222	ERGIC1	4439.1851
ERGIC2	672.466	ERGIC2	685.4404
ERGIC3	19693.8716	ERGIC3	3942.4805
ERG	164.9888	ERG	2041.9413
ERH	2285.2116	ERH	1428.4002
ERI1	466.8165	ERI1	369.0833
ERI2	620.3577	ERI2	147.2738
ERI3	865.6045	ERI3	1138.4062
ERICH1	187.274	ERICH1	257.6393
ERLEC1	1792.9821	ERLEC1	1242.6603
ERLIN1	1059.525	ERLIN1	1150.9886
ERLIN2	3277.881	ERLIN2	1337.9269
ERMAP	457.0423	ERMAP	581.1863
ERMN	16.0297	removed	removed
ERMP1	4550.3079	ERMP1	621.9772
ERN1	235.3631	ERN1	23.3673
ERO1LB	221.2882	ERO1LB	274.4158
ERO1L	728.7655	ERO1L	244.4578
ERP27	1683.5109	ERP27	7.7891
ERP29	2714.4952	ERP29	2269.6225
ERP44	976.6396	ERP44	1392.4506
ERRFI1	665.4286	ERRFI1	1423.607
removed	removed	ERVFRDE1	10.7849
ESAM	346.7892	ESAM	5675.2546
ESCO1	529.3715	ESCO1	176.1534
ESCO2	214.2508	removed	removed
ESD	1539.2435	ESD	2566.2073
ESF1	483.2372	ESF1	244.4578
ESM1	74.284	ESM1	6.5908
ESPL1	363.2099	ESPL1	14.979
ESPNL	41.4427	ESPNL	16.7765
ESPN	742.4494	removed	removed
ESR1	20742.4494	ESR1	533.2534
removed	removed	ESR2	38.9455
ESRP1	2958.4596	removed	removed
ESRP2	2618.3169	ESRP2	202.5165
ESRRA	579.4155	ESRRA	914.32
ESRRG	321.7672	ESRRG	16.7765
ESYT1	4403.4796	ESYT1	14285.2007
ESYT2	2562.7993	ESYT2	4183.9425
ESYT3	5.4736	ESYT3	7.1899
ETAA1	230.6715	ETAA1	190.5333
ETF1	3817.8086	ETF1	3387.6573
ETFA	1807.448	ETFA	3113.2415
ETFB	874.9878	ETFB	6112.0431
ETFDH	446.8771	ETFDH	861.5578
ETHE1	423.419	ETHE1	556.0216
ETNK1	2027.5633	ETNK1	671.0605
ETNK2	901.9646	ETNK2	149.7903
ETS1	971.1661	ETS1	4408.6279
ETS2	369.8563	ETS2	3816.0575
ETV1	152.0868	ETV1	121.6297
ETV2	7.8194	ETV2	31.1564
ETV3	258.8212	ETV3	113.2415
ETV4	195.0933	ETV4	12.5824
ETV5	139.1848	ETV5	212.1031
ETV6	888.6717	ETV6	448.1726
ETV7	8.9923	ETV7	15.5782
EVC2	35.1872	EVC2	150.9886
EVC	536.6631	EVC	349.5386
EVI2A	115.7267	EVI2A	119.8322
EVI2B	209.9502	EVI2B	129.4188
EVI5L	510.996	EVI5L	445.7759
EVI5	274.069	EVI5	427.8011
EVL	4920.7311	EVL	1200.719
removed	removed	EVPLL	14.979
EVPL	959.046	EVPL	12.5824
EWSR1	2470.9217	EWSR1	3239.6645
EXD2	1454.4033	EXD2	652.4865
EXD3	101.6518	EXD3	277.4116
EXO1	245.5283	removed	removed
EXOC1	1206.5292	EXOC1	889.1552
EXOC2	15056.5927	EXOC2	679.4488
EXOC3L2	23.0671	EXOC3L2	130.6171
EXOC3L	31.5394	EXOC3L	238.3044
EXOC3	1129.8993	EXOC3	2014.979
EXOC4	1871.1758	EXOC4	1825.0449
EXOC5	2335.2556	EXOC5	1530.8568
EXOC6B	304.9555	EXOC6B	103.6549
EXOC6	1028.2475	EXOC6	393.6489
EXOC7	2752.7045	EXOC7	3844.2181
EXOC8	686.5409	EXOC8	388.2564
EXOG	109.8622	EXOG	113.2415
EXOSC10	1209.266	EXOSC10	1065.3086
EXOSC1	285.7981	EXOSC1	397.843
EXOSC2	313.1659	EXOSC2	292.3907
EXOSC3	386.668	EXOSC3	268.4242
EXOSC4	347.1801	EXOSC4	362.4925
EXOSC5	415.5996	EXOSC5	335.5303
EXOSC6	439.4487	EXOSC6	322.9479
EXOSC7	460.952	EXOSC7	478.7298
EXOSC8	257.0892	EXOSC8	282.3367
EXOSC9	376.2878	EXOSC9	284.4338
EXPH5	109.0802	EXPH5	48.5321
EXT1	730.3294	EXT1	975.4344
EXT2	2024.4355	EXT2	2486.5189
EXTL1	35.1872	removed	removed
EXTL2	307.6923	EXTL2	227.6812
EXTL3	959.828	EXTL3	1098.8616
removed	removed	EYA1	57.5195
EYA2	66.4647	EYA2	409.8262
EYA3	101.6518	EYA3	34.7513
removed	removed	EYA4	35.9497
EYS	13.6839	EYS	59.317
EZH1	529.3715	EZH1	2217.4955
EZH2	319.4214	EZH2	11.3841
EZR	12902.3556	EZR	1023.3673
F10	15.2478	F10	599.1612
F11R	9515.0034	F11R	3210.9047
F12	115.3357	removed	removed
F13A1	297.9181	F13A1	1410.4254
F2RL1	97.3512	removed	removed
F2RL2	762.7798	removed	removed
F2RL3	63.3369	F2RL3	120.4314
F2R	1112.6967	F2R	445.1768
F3	71.5473	F3	1129.4188
F5	25.022	F5	8.9874
F7	261.167	removed	removed
F8A1	141.5306	F8A1	310.3655
F8	212.7065	F8	1426.0036
FA2H	22.6762	removed	removed
FAAH2	209.9502	FAAH2	10.7849
FAAH	216.5966	FAAH	326.5428
FABP3	47.3072	FABP3	92.2708
FABP4	1972.0457	FABP4	134882.5644
FABP5	30.4956	FABP5	662.6723
FABP6	7.0374	removed	removed
FADD	792.4934	FADD	535.6501
FADS1	361.9314	FADS1	543.4392
FADS2	2338.0979	FADS2	1064.1102
FADS3	491.8385	FADS3	3276.8125
FAF1	715.0816	FAF1	823.2475
FAF2	2099.1105	FAF2	1092.87
FAHD1	1418.8251	FAHD1	589.5746
FAHD2A	329.1956	FAHD2A	920.3116
FAHD2B	651.3537	FAHD2B	382.2648
FAH	1063.0437	FAH	5893.9485
FAIM2	26.5859	FAIM2	28.1606
FAIM3	166.9749	FAIM3	35.746
FAIM	287.7529	FAIM	295.3865
FAM100A	890.2356	FAM100A	413.4212
FAM100B	251.7838	FAM100B	1461.9533
FAM101A	20.7213	FAM101A	8.3883
FAM101B	233.7992	FAM101B	1252.2469
FAM102A	2558.1077	FAM102A	636.3092
FAM102B	1509.9208	FAM102B	349.311
FAM103A1	271.7232	FAM103A1	225.8838
FAM104A	731.6	FAM104A	798.9874
FAM104B	190.7927	FAM104B	174.9551
FAM105A	197.0482	FAM105A	266.6267
FAM105B	677.5486	FAM105B	340.9227
FAM107A	48.4801	FAM107A	3092.87
FAM107B	1128.3355	FAM107B	2229.4787
FAM108A1	744.4043	FAM108A1	1301.3781
FAM108B1	224.807	FAM108B1	278.6099
FAM108C1	200.9579	FAM108C1	63.5111
FAM109A	284.6252	FAM109A	388.2564
FAM109B	435.539	FAM109B	272.6183
FAM10A4	410.5171	FAM10A4	464.9491
FAM110A	853.4845	FAM110A	159.3769
FAM110B	417.5545	FAM110B	246.2552
FAM110C	26.5859	removed	removed
FAM111A	686.9319	FAM111A	317.5554
FAM111B	199.003	removed	removed
FAM113A	398.0061	FAM113A	560.8149
FAM113B	435.1559	FAM113B	131.2163
FAM114A1	1098.2309	FAM114A1	381.6657
FAM114A2	577.4607	FAM114A2	422.4086
FAM115A	679.1125	FAM115A	263.0318
FAM115C	163.03	FAM115C	135.6441
FAM116A	960.2189	FAM116A	436.7885
FAM116B	166.9436	FAM116B	99.4608
FAM117A	267.0316	FAM117A	553.6249
FAM117B	522.3341	FAM117B	222.2888
FAM118A	149.741	FAM118A	168.3643
FAM118B	332.3233	FAM118B	328.9395
FAM119A	262.7309	FAM119A	236.6687
FAM119B	93.4415	FAM119B	233.6729
FAM120AOS	1097.4137	FAM120AOS	1475.6621
FAM120A	6224.2557	FAM120A	2563.2834
FAM120B	1088.4567	FAM120B	742.3607
FAM120C	492.2295	FAM120C	375.6741
FAM122A	342.0975	FAM122A	588.9754
FAM122B	709.2171	FAM122B	374.4757
FAM122C	11.7291	FAM122C	21.5698
FAM123B	188.0559	FAM123B	106.0515
FAM124A	34.4052	FAM124A	102.4566
FAM124B	35.5781	FAM124B	400.8388
FAM125A	726.8107	FAM125A	1088.0767
FAM125B	273.678	FAM125B	533.2534
FAM126A	204.8676	FAM126A	512.2828
FAM126B	554.3935	FAM126B	303.1756
FAM127A	1051.3146	FAM127A	3842.4206
FAM127B	635.324	FAM127B	1038.3463
FAM127C	343.6614	FAM127C	633.3134
FAM128A	1269.0842	FAM128A	577.5914
FAM128B	2470.9217	FAM128B	2203.1156
FAM129A	3788.095	FAM129A	1218.6938
FAM129B	4420.2913	FAM129B	2816.0575
FAM131A	325.2859	FAM131A	408.6279
FAM131B	316.2936	FAM131B	19.1732
removed	removed	FAM131C	5.3925
FAM132A	10.1652	FAM132A	7.7891
FAM133A	6.2555	removed	removed
FAM133B	92.6596	FAM133B	48.5321
FAM134A	2940.0841	FAM134A	2820.8508
FAM134B	767.0804	FAM134B	870.5812
FAM134C	2034.2098	FAM134C	2191.1324
FAM135A	59.8182	FAM135A	156.9802
FAM135B	9.3832	removed	removed
FAM136A	932.8511	FAM136A	501.4979
FAM13AOS	9.1721	FAM13AOS	29.5386
FAM13A	162.8541	FAM13A	4555.2427
FAM13B	903.5089	FAM13B	398.4302
FAM13C	35.1911	FAM13C	557.9748
FAM149A	16.4207	FAM149A	589.5746
FAM149B1	452.7417	FAM149B1	474.5357
removed	removed	FAM150B	22.7681
FAM151B	21.1123	FAM151B	7.7891
FAM154B	21.8942	removed	removed
FAM155A	143.0945	FAM155A	80.8868
FAM155B	162.252	FAM155B	5.3925
FAM156A	238.0999	FAM156A	795.0869
FAM157A	10.5562	removed	removed
FAM158A	155.9965	FAM158A	176.7525
FAM160A1	181.4094	removed	removed
FAM160A2	453.9146	FAM160A2	695.027
FAM160B1	625.1588	FAM160B1	881.9652
FAM160B2	1458.7039	FAM160B2	1176.1534
FAM161A	57.0814	FAM161A	54.5237
FAM161B	173.8989	FAM161B	69.5027
FAM162A	895.3182	FAM162A	792.6902
FAM162B	7.4284	FAM162B	144.3978
FAM164A	89.1408	FAM164A	167.7651
FAM164C	58.6453	FAM164C	10.1857
FAM165B	304.5646	FAM165B	375.6741
FAM166B	5.8645	FAM166B	46.7346
FAM167A	100.4789	removed	removed
FAM167B	43.7885	FAM167B	333.7328
FAM168A	306.5194	FAM168A	102.4566
FAM168B	2521.7476	FAM168B	3548.2325
FAM169A	86.795	FAM169A	37.7472
FAM171A1	178.6727	FAM171A1	1161.1744
FAM171A2	135.6661	FAM171A2	156.3811
FAM171B	170.0714	FAM171B	177.3517
FAM172A	575.5058	FAM172A	775.9137
FAM173A	242.4005	FAM173A	245.0569
FAM173B	442.5765	FAM173B	291.1923
FAM174A	402.3067	FAM174A	412.822
FAM174B	787.4108	FAM174B	152.7861
FAM175A	313.0368	FAM175A	249.8023
FAM175B	548.138	FAM175B	379.269
FAM176A	42.2246	FAM176A	46.7346
FAM176B	282.1542	FAM176B	472.139
FAM177A1	1131.0722	FAM177A1	784.302
FAM178A	850.3568	FAM178A	423.0078
FAM178B	38.3149	FAM178B	103.0557
FAM179B	738.1488	FAM179B	321.7496
FAM180A	23.8491	FAM180A	85.68
removed	removed	FAM180B	278.6099
removed	removed	FAM181B	64.7094
removed	removed	FAM182B	20.3715
FAM183A	8.2103	removed	removed
FAM184A	13.6839	FAM184A	74.8951
FAM184B	62.3751	removed	removed
FAM185A	103.9977	FAM185A	82.6842
removed	removed	FAM186A	10.7849
removed	removed	FAM186B	10.1857
FAM188A	268.9864	FAM188A	505.692
FAM188B	127.0648	FAM188B	296.5848
removed	removed	FAM189A1	45.5362
FAM189A2	104.3886	FAM189A2	247.4536
FAM189B	1676.4735	FAM189B	739.9641
FAM18A	17.9298	FAM18A	5.6441
FAM18B2	281.6303	FAM18B2	214.2241
FAM18B	669.7293	FAM18B	432.5944
FAM190A	37.142	FAM190A	37.148
FAM190B	843.7103	FAM190B	1110.2457
FAM192A	1566.2203	FAM192A	1222.888
FAM193A	669.3383	FAM193A	449.97
FAM193B	343.6614	FAM193B	404.4338
FAM195A	414.8177	FAM195A	379.8682
FAM195B	1069.2992	FAM195B	2938.2864
FAM196A	9.3832	removed	removed
FAM196B	14.8568	FAM196B	10.1857
FAM198A	86.4041	FAM198A	79.0893
FAM198B	17407.0961	FAM198B	2489.5147
FAM199X	1175.2517	FAM199X	182.145
FAM19A2	11.3381	FAM19A2	18.574
FAM19A5	18.7665	FAM19A5	55.722
FAM200A	244.3554	FAM200A	156.3811
FAM200B	203.3037	FAM200B	660.8748
FAM20A	77.8028	FAM20A	186.3391
FAM20B	1915.3553	FAM20B	1703.4152
FAM20C	343.2705	FAM20C	1126.423
FAM21A	82.4944	FAM21A	110.8448
FAM21B	242.0096	FAM21B	406.8304
FAM21C	878.8975	FAM21C	1178.55
FAM22A	14.8568	FAM22A	34.1522
FAM22D	43.0065	FAM22D	56.3212
removed	removed	FAM24B	9.4847
FAM26E	89.9228	FAM26E	436.7885
FAM26F	43.3975	FAM26F	25.1648
FAM32A	1450.1026	FAM32A	1920.3116
FAM35A	578.6336	FAM35A	569.8023
FAM35B2	46.9162	FAM35B2	50.3295
FAM35B	170.0714	FAM35B	228.8796
FAM36A	820.8543	FAM36A	587.5854
FAM38A	3779.4781	FAM38A	4966.0096
FAM38B	61.3821	FAM38B	32.3547
FAM3A	559.0851	FAM3A	1171.3601
FAM3B	72.7202	FAM3B	32.3547
FAM3C	1583.032	FAM3C	835.8298
FAM40A	537.5819	FAM40A	590.7729
FAM40B	18.7665	FAM40B	18.574
FAM41C	8.9923	removed	removed
FAM43A	113.7719	FAM43A	1690.2337
FAM43B	12.12	FAM43B	22.7681
FAM45A	589.5807	FAM45A	553.0258
FAM45B	209.9502	FAM45B	181.5458
FAM46A	386.668	FAM46A	520.0719
FAM46B	150.132	FAM46B	65.3086
FAM46C	742.4494	FAM46C	133.6129
FAM47E	75.7345	FAM47E	125.8838
FAM48A	685.9271	FAM48A	430.6651
FAM49A	29.3226	FAM49A	149.7903
FAM49B	1241.3254	FAM49B	1231.2762
FAM50A	1066.1714	FAM50A	2018.574
FAM50B	157.9513	FAM50B	335.5303
FAM53A	77.8028	FAM53A	26.9623
FAM53B	620.1583	FAM53B	1066.5009
FAM53C	1034.503	FAM53C	952.0671
FAM54A	70.3744	FAM54A	10.1857
FAM54B	630.5816	FAM54B	1862.7921
FAM55C	464.8617	FAM55C	482.9239
FAM57A	162.6429	FAM57A	186.3391
FAM57B	46.1343	removed	removed
FAM58A	326.8498	FAM58A	508.0887
FAM59A	173.981	FAM59A	143.7987
FAM5B	11.3381	removed	removed
FAM60A	1491.5453	FAM60A	215.0989
FAM63A	870.6871	FAM63A	841.2223
FAM63B	248.656	FAM63B	70.701
FAM64A	114.1628	removed	removed
FAM65A	1280.8132	FAM65A	2291.1923
FAM65B	60.9911	FAM65B	95.2666
FAM65C	9.3832	FAM65C	67.1061
removed	removed	FAM66C	14.3799
FAM66D	5.0826	removed	removed
FAM69A	217.7695	FAM69A	579.4308
FAM69B	57.8125	FAM69B	747.142
removed	removed	FAM69C	23.3673
FAM70A	26.1949	FAM70A	116.2373
FAM70B	17.9846	FAM70B	133.6129
FAM71D	24.631	FAM71D	11.9832
FAM71E1	61.2257	FAM71E1	11.4859
FAM72A	24.631	removed	removed
FAM72B	80.5395	FAM72B	12.5824
FAM72D	52.7808	FAM72D	5.9916
FAM73A	854.6574	FAM73A	380.4673
FAM73B	433.5842	FAM73B	665.6681
FAM76A	207.9953	FAM76A	276.8125
FAM76B	341.3156	FAM76B	152.1869
FAM78A	126.6738	FAM78A	152.1869
FAM78B	13.2929	FAM78B	33.553
removed	removed	FAM7A3	8.9874
FAM81A	16.4207	FAM81A	9.5866
FAM81B	8.6013	removed	removed
FAM82A1	38.7059	FAM82A1	68.9035
FAM82A2	1012.2178	FAM82A2	1431.9952
FAM82B	727.9836	FAM82B	1276.2133
FAM83A	84.4492	removed	removed
FAM83B	318.2485	removed	removed
FAM83D	845.2742	FAM83D	8.3883
FAM83E	108.2983	removed	removed
FAM83F	328.0227	FAM83F	68.9035
FAM83G	276.3405	FAM83G	29.9581
FAM83H	4571.5961	FAM83H	80.8868
FAM84A	146.6132	FAM84A	10.7849
FAM84B	3495.2595	FAM84B	1107.2499
FAM86A	195.2654	FAM86A	179.4188
FAM86B1	193.1385	FAM86B1	69.5027
FAM86B2	22.6762	removed	removed
FAM86C	197.8301	FAM86C	95.8658
FAM86D	157.5604	FAM86D	174.3559
FAM89A	66.4647	FAM89A	1962.2528
FAM89B	1121.298	FAM89B	1416.417
FAM8A1	1464.1775	FAM8A1	1201.3182
FAM90A1	5.0826	removed	removed
FAM91A1	1420.389	FAM91A1	493.1096
FAM92A1	91.4867	FAM92A1	297.7831
removed	removed	FAM95B1	29.3589
FAM96A	570.8142	FAM96A	455.3625
FAM96B	936.7608	FAM96B	1004.7933
FAM98A	1270.648	FAM98A	1170.1618
FAM98B	428.5016	FAM98B	235.4703
FAM98C	194.7024	FAM98C	280.4074
FANCA	347.6063	FANCA	16.8664
FANCB	25.8039	removed	removed
FANCC	191.5746	FANCC	128.8197
FANCD2	367.5066	FANCD2	14.3799
FANCE	111.4261	FANCE	303.7747
FANCF	670.1202	FANCF	184.5416
FANCG	421.0732	FANCG	301.3781
FANCI	722.6547	FANCI	83.5051
FANCL	191.4339	FANCL	166.5848
FANCM	150.9139	FANCM	67.7052
FANK1	151.3049	FANK1	7.7891
FAP	864.0407	FAP	161.1744
FAR1	2569.8368	FAR1	875.3745
FAR2	31.2462	FAR2	75.4943
FARP1	2995.2106	FARP1	840.6231
FARP2	573.16	FARP2	209.1072
FARS2	381.5854	FARS2	285.7999
FARSA	1340.2404	FARSA	834.6315
FARSB	1073.9908	FARSB	765.1288
FASLG	8.6013	FASLG	6.5908
FASN	23143.3877	FASN	39499.1013
FASTKD1	261.949	FASTKD1	176.1534
FASTKD2	1022.383	FASTKD2	705.8119
FASTKD3	233.0173	FASTKD3	77.2918
FASTKD5	594.6633	FASTKD5	272.6183
FASTK	996.579	FASTK	1315.1588
FAS	113.7719	FAS	203.7148
FAT1	960.6099	FAT1	2037.7472
FAT2	109.4712	FAT2	97.0641
FAT3	18.3755	FAT3	8.9874
FAT4	143.8765	FAT4	483.5231
removed	removed	FATE1	13.1815
FAU	4855.4394	FAU	11109.6465
FBF1	104.4082	FBF1	149.3769
FBLIM1	1502.4924	FBLIM1	688.4362
FBLN1	2370.8337	FBLN1	22505.692
FBLN2	1229.9873	FBLN2	19140.2037
FBLN5	510.2141	FBLN5	5046.7346
FBLN7	71.9382	FBLN7	230.6771
FBL	2238.2954	FBL	2763.3313
FBN1	4317.0756	FBN1	6387.0581
FBN2	107.1254	removed	removed
FBN3	8.2103	removed	removed
FBP1	1743.3291	FBP1	384.6615
FBRSL1	476.1998	FBRSL1	498.5021
FBRS	1792.9821	FBRS	1041.9413
FBXL12	258.0393	FBXL12	424.2061
FBXL13	9.7742	FBXL13	23.3673
FBXL14	658.3912	FBXL14	550.6291
FBXL15	212.296	FBXL15	473.9365
FBXL16	599.7459	FBXL16	6.5908
FBXL17	1048.9688	FBXL17	878.9694
FBXL18	485.583	FBXL18	390.6531
FBXL19	768.2533	FBXL19	225.2846
FBXL20	253.3477	FBXL20	142.6004
FBXL22	20.7761	FBXL22	14.979
FBXL2	402.3067	FBXL2	114.4398
FBXL3	1750.3665	FBXL3	1735.1708
FBXL4	210.3411	FBXL4	274.4158
FBXL5	5961.8806	FBXL5	5534.4518
FBXL6	459.5914	FBXL6	168.8077
FBXL7	1806.275	FBXL7	716.5968
FBXL8	50.0596	FBXL8	53.7028
FBXO10	147.0824	FBXO10	222.3188
FBXO11	1236.2428	FBXO11	1094.6675
FBXO15	31.2775	FBXO15	8.3883
FBXO16	92.8902	removed	removed
FBXO17	49.262	FBXO17	666.2672
FBXO18	1558.0373	FBXO18	1713.0018
FBXO21	1239.7615	FBXO21	756.7406
FBXO22OS	97.101	FBXO22OS	42.0851
FBXO22	677.0169	FBXO22	326.9982
removed	removed	FBXO24	9.4727
FBXO25	519.9883	FBXO25	907.13
FBXO27	74.675	FBXO27	762.7322
FBXO28	1963.0535	FBXO28	786.0995
FBXO2	591.5355	FBXO2	74.296
FBXO30	538.7548	FBXO30	334.3319
FBXO31	948.8809	FBXO31	2433.1935
FBXO32	343.6614	FBXO32	316.3571
FBXO33	346.7892	FBXO33	331.3361
FBXO34	727.5926	FBXO34	396.0455
FBXO36	204.8676	FBXO36	65.9077
FBXO38	973.5119	FBXO38	548.8316
FBXO39	8.6013	removed	removed
FBXO3	878.5065	FBXO3	837.6273
removed	removed	FBXO40	9.5866
FBXO41	227.9347	FBXO41	28.1606
FBXO42	326.4588	FBXO42	562.6123
FBXO44	548.529	FBXO44	379.269
FBXO45	883.9801	FBXO45	321.7496
FBXO46	476.1998	FBXO46	303.7747
FBXO48	15.6387	FBXO48	44.9371
FBXO4	161.861	FBXO4	248.6519
FBXO5	213.4689	FBXO5	56.3212
FBXO6	345.2253	FBXO6	381.6657
FBXO7	1877.4313	FBXO7	2550.6291
FBXO8	407.8389	FBXO8	805.2247
FBXO9	1254.2273	FBXO9	997.6034
FBXW11	1373.4728	FBXW11	1194.1282
FBXW2	1665.1354	FBXW2	1741.1624
FBXW4	962.5648	FBXW4	2340.9227
FBXW5	1271.8209	FBXW5	3812.4626
FBXW7	365.9466	FBXW7	458.9575
FBXW8	465.2527	FBXW8	230.6771
FBXW9	435.7658	FBXW9	132.4146
FCER1A	75.066	FCER1A	37.7472
FCER1G	211.514	FCER1G	255.8418
removed	removed	FCER2	56.3212
FCF1	962.5648	FCF1	693.2295
FCGBP	140.7487	FCGBP	64.1102
FCGR1A	55.5175	removed	removed
FCGR1B	37.142	FCGR1B	7.1899
FCGR1C	9.3832	removed	removed
FCGR2A	393.7054	FCGR2A	342.121
FCGR2B	63.3369	FCGR2B	300.7789
FCGR2C	17.2026	FCGR2C	62.3128
FCGR3A	846.838	FCGR3A	158.7777
FCGR3B	14.8568	removed	removed
FCGRT	4856.2213	FCGRT	7686.6387
FCHO1	48.0891	FCHO1	22.169
FCHO2	1045.8411	FCHO2	631.5159
FCHSD1	224.936	FCHSD1	161.7615
FCHSD2	513.9752	FCHSD2	1020.4673
removed	removed	FCN1	50.3295
removed	removed	FCN2	45.5362
FCN3	15.2478	FCN3	130.018
removed	removed	FCRL6	7.7891
