gene_id	TCGA-BH-A0H9-01A-11R-A056-07	gene_id	TCGA-BH-A0H9-11A-22R-A466-07
ACOT13	503.0632	ACOT13	968.7777
ACOT1	505.9134	ACOT1	3417.6153
ACOT2	375.3299	ACOT2	2008.3883
ACOT4	272.1142	ACOT4	294.1881
removed	removed	ACOT6	23.9664
ACOT7	676.3757	ACOT7	427.2019
ACOT8	1174.501	ACOT8	369.1732
ACOT9	217.3786	ACOT9	644.0983
ACOX1	1572.9919	ACOX1	2505.0929
ACOX2	2154.2371	ACOX2	529.6585
ACOX3	1675.6915	ACOX3	433.1935
ACP1	1344.9321	ACP1	1036.5488
ACP2	2218.7469	ACP2	1201.9113
ACP5	1059.9159	ACP5	336.7286
ACP6	398.397	ACP6	222.888
ACPL2	405.8254	ACPL2	113.2415
ACPP	28.1497	removed	removed
ACRBP	14.0749	ACRBP	20.9706
ACRC	5.4736	ACRC	16.1774
removed	removed	ACSBG1	14.979
ACSF2	331.1504	ACSF2	1473.9365
ACSF3	455.4784	ACSF3	462.5524
ACSL1	1588.5055	ACSL1	28884.9611
ACSL3	4996.97	ACSL3	1460.7549
ACSL4	488.7108	ACSL4	1711.8035
ACSL5	133.7113	ACSL5	962.852
ACSM1	21.1123	removed	removed
removed	removed	ACSM2B	6.5908
ACSM3	7.5379	removed	removed
ACSM5	12.902	ACSM5	844.8173
ACSS1	1488.8085	ACSS1	488.9155
ACSS2	2111.6215	ACSS2	7988.6159
ACSS3	258.0393	ACSS3	1259.4368
ACTA1	8.9923	removed	removed
ACTA2	3110.9764	ACTA2	11635.3745
ACTB	92526.6347	ACTB	82125.2247
removed	removed	ACTC1	11.3841
ACTG1	111419.8026	ACTG1	51662.6723
ACTG2	247.8741	ACTG2	347.5135
ACTL6A	1306.6171	ACTL6A	561.414
ACTL8	6.2555	removed	removed
ACTN1	5520.477	ACTN1	5477.5315
ACTN2	58.6453	removed	removed
ACTN4	9015.4198	ACTN4	11770.7789
ACTR10	1186.5898	ACTR10	1279.2091
ACTR1A	3141.8239	ACTR1A	3937.6872
ACTR1B	910.175	ACTR1B	2056.9203
ACTR2	10972.9254	ACTR2	4059.9161
ACTR3B	280.7155	ACTR3B	100.0599
ACTR3C	26.5859	ACTR3C	8.9874
ACTR3	5409.4419	ACTR3	2446.3751
ACTR5	734.2391	ACTR5	160.5752
ACTR6	649.3989	ACTR6	440.3835
ACTR8	741.2765	ACTR8	345.1168
ACVR1B	1226.0776	ACVR1B	639.305
ACVR1C	96.1783	ACVR1C	2530.8568
ACVR1	853.4845	ACVR1	923.3074
ACVR2A	203.6947	ACVR2A	368.4841
ACVR2B	367.5105	ACVR2B	185.1408
ACVRL1	256.4754	ACVRL1	3228.2804
ACY1	1061.3899	ACY1	1031.8874
ACYP1	67.2466	ACYP1	34.7513
ACYP2	123.1551	ACYP2	352.9059
removed	removed	ADAD2	14.3799
ADAL	103.6067	ADAL	147.9928
ADAM10	1414.9155	ADAM10	711.8035
