gene_id	TCGA-BH-A0C3-01A-21R-A12P-07	gene_id	TCGA-BH-A0C3-11A-23R-A12P-07
ACOT11	33.5448	ACOT11	32.3494
ACOT13	524.0102	ACOT13	469.8625
ACOT1	1047.8003	ACOT1	465.0222
ACOT2	643.824	ACOT2	329.9636
ACOT4	393.401	ACOT4	98.2612
ACOT6	8.4602	removed	removed
ACOT7	490.6937	ACOT7	188.0307
ACOT8	207.8723	ACOT8	277.6506
ACOT9	488.1557	ACOT9	331.1767
ACOX1	2720.4695	ACOX1	1515.5681
ACOX2	1025.3807	ACOX2	272.9478
ACOX3	315.1438	ACOX3	489.6886
ACP1	1649.7462	ACP1	1499.7978
ACP2	920.0508	ACP2	814.3955
ACP5	1401.0152	ACP5	744.0356
ACP6	281.7259	ACP6	382.127
ACPL2	311.7597	ACPL2	452.0825
ACPP	62.1827	ACPP	28.3057
ACRBP	13.5364	ACRBP	16.9834
ACRC	16.4975	ACRC	27.497
removed	removed	ACR	5.2568
removed	removed	ACSBG1	14.5572
removed	removed	ACSBG2	5.6611
ACSF2	678.934	ACSF2	711.6862
ACSF3	227.1574	ACSF3	287.9094
ACSL1	7735.6176	ACSL1	3585.928
ACSL3	4293.9932	ACSL3	3200.1617
ACSL4	1418.3587	ACSL4	915.0829
ACSL5	556.2606	ACSL5	863.3239
ACSL6	49.0694	ACSL6	14.9616
ACSM1	68.1049	ACSM1	519.6118
ACSM3	40.6261	ACSM3	145.9442
ACSM5	277.4958	ACSM5	82.0865
ACSS1	489.0017	ACSS1	771.5326
ACSS2	1922.5888	ACSS2	1877.4767
ACSS3	548.6464	ACSS3	236.5548
ACTA2	5016.8401	ACTA2	36813.5301
ACTB	66224.1963	ACTB	56513.1419
ACTC1	6.3452	removed	removed
ACTG1	71887.4788	ACTG1	53399.5148
ACTG2	207.2758	ACTG2	5623.1298
ACTL6A	871.4044	ACTL6A	888.3947
ACTN1	4583.3333	ACTN1	7749.6967
ACTN4	7773.5787	ACTN4	10725.6369
ACTR10	983.9255	ACTR10	1016.1747
ACTR1A	2701.7766	ACTR1A	1893.6514
ACTR1B	683.5871	ACTR1B	1494.1367
ACTR2	7385.3638	ACTR2	3909.8261
ACTR3B	95.6007	ACTR3B	297.2099
ACTR3C	7.6142	ACTR3C	38.0105
ACTR3	3786.802	ACTR3	2322.2806
ACTR5	201.3536	ACTR5	243.8334
ACTR6	445.0085	ACTR6	585.5237
ACTR8	561.3367	ACTR8	635.6652
ACVR1B	1099.4078	ACVR1B	1444.8039
ACVR1C	1333.3333	ACVR1C	304.8928
ACVR1	1427.665	ACVR1	1238.1723
ACVR2A	502.1151	ACVR2A	884.351
ACVR2B	415.8206	ACVR2B	752.9317
ACVRL1	1001.269	ACVRL1	579.8625
ACY1	982.2335	ACY1	725.0344
removed	removed	ACY3	22.6446
ACYP1	54.5685	ACYP1	74.4036
ACYP2	55.4146	ACYP2	145.1678
ADAL	178.088	ADAL	207.4404
ADAM10	1937.8173	ADAM10	1876.668
ADAM11	7.6142	ADAM11	26.6882
ADAM12	3333.7563	ADAM12	1116.8621
ADAM15	10404.3993	ADAM15	2587.9741
ADAM17	838.4095	ADAM17	706.8338
ADAM19	534.264	ADAM19	220.3801
removed	removed	ADAM20	7.683
ADAM21P1	5.9222	removed	removed
ADAM21	17.7665	removed	removed
ADAM22	52.8765	ADAM22	65.5075
ADAM23	79.1032	ADAM23	45.2891
ADAM28	83.3333	ADAM28	78.0429
removed	removed	ADAM32	39.2236
ADAM33	322.4196	ADAM33	682.5718
ADAM6	18778.0372	ADAM6	173085.0789
ADAM8	309.2217	ADAM8	95.835
ADAM9	2070.643	ADAM9	1415.6894
ADAMDEC1	170.0508	removed	removed
ADAMTS10	175.1269	ADAMTS10	126.5669
ADAMTS12	980.1184	ADAMTS12	249.8989
ADAMTS13	24.1117	ADAMTS13	89.3651
ADAMTS14	160.7445	ADAMTS14	16.9834
ADAMTS15	390.4399	ADAMTS15	279.8221
ADAMTS16	116.3283	ADAMTS16	16.9834
ADAMTS17	36.802	ADAMTS17	55.8027
ADAMTS18	141.286	ADAMTS18	31.5406
removed	removed	ADAMTS19	6.4699
ADAMTS1	991.9628	ADAMTS1	1564.0922
ADAMTS2	1101.5228	ADAMTS2	398.3017
ADAMTS3	81.6413	ADAMTS3	73.5948
ADAMTS4	796.1083	ADAMTS4	40.4367
