gene_id	TCGA-BH-A0C3-01A-21R-A12P-07	gene_id	TCGA-BH-A0C3-11A-23R-A12P-07
EDN1	379.8646	EDN1	892.034
EDN2	7.6142	EDN2	10.1092
removed	removed	EDN3	582.6931
EDNRA	835.4484	EDNRA	579.8625
EDNRB	706.0068	EDNRB	1107.1573
EEA1	1421.7428	EEA1	955.924
EED	250.846	EED	384.1488
EEF1A1P9	4327.4112	EEF1A1P9	12429.0336
EEF1A1	59245.7699	EEF1A1	192305.2972
EEF1A2	2051.6074	EEF1A2	162.1512
EEF1B2	2612.0981	EEF1B2	7528.1035
EEF1D	6689.0863	EEF1D	6322.2806
EEF1E1	298.6464	EEF1E1	236.5548
EEF1G	10952.6227	EEF1G	39440.3558
EEF2K	2079.9492	EEF2K	2339.6684
EEF2	50273.2657	EEF2	86517.1856
EEFSEC	354.0482	EEFSEC	378.4149
EEPD1	284.687	EEPD1	454.1043
removed	removed	EFCAB1	198.1399
EFCAB2	78.2572	EFCAB2	113.6272
EFCAB4A	239.4247	EFCAB4A	1689.8504
EFCAB4B	60.4907	EFCAB4B	400.7279
EFCAB6	16.0745	EFCAB6	88.5564
EFCAB7	115.4822	EFCAB7	220.3801
EFEMP1	3221.2352	EFEMP1	6028.7101
EFEMP2	1312.1827	EFEMP2	1365.9523
EFHA1	865.4822	EFHA1	756.9753
EFHA2	89.2555	EFHA2	102.7093
EFHB	6.7682	EFHB	16.9834
EFHC1	184.8562	EFHC1	795.7946
removed	removed	EFHC2	15.366
EFHD1	4914.5516	EFHD1	4751.7186
EFHD2	1066.4129	EFHD2	441.1646
EFNA1	2131.5567	EFNA1	2023.0489
EFNA3	1287.225	EFNA3	289.1225
EFNA4	569.797	EFNA4	372.8265
EFNA5	255.0761	EFNA5	1271.3304
EFNB1	558.7986	EFNB1	753.7404
EFNB2	923.0118	EFNB2	1264.8605
EFNB3	33.4179	EFNB3	513.9507
EFR3A	2586.7174	EFR3A	1595.6328
EFR3B	657.7834	EFR3B	87.7477
EFS	447.1235	EFS	1477.962
EFTUD1	582.0643	EFTUD1	665.9927
EFTUD2	2597.7157	EFTUD2	1901.3344
EGFL6	88.4095	EGFL6	48.9284
EGFL7	1176.3959	EGFL7	438.7384
EGFL8	45.5034	EGFL8	114.1407
EGFLAM	552.4535	EGFLAM	539.0214
EGFR	1030.4399	EGFR	3119.2519
EGF	444.5854	EGF	1330.368
EGLN1	1650.5922	EGLN1	1157.2988
EGLN2	1496.3198	EGLN2	782.8831
EGLN3	320.643	EGLN3	156.8945
EGOT	42.7242	EGOT	21.4315
EGR1	4029.6108	EGR1	5695.5115
EGR2	416.6667	EGR2	533.7647
EGR3	152.7073	EGR3	613.0206
EHBP1L1	879.4416	EHBP1L1	503.0328
EHBP1	881.1337	EHBP1	1153.2552
EHD1	1087.9865	EHD1	1016.5791
EHD2	3732.2335	EHD2	2735.9482
EHD3	283.8409	EHD3	670.8451
EHD4	1613.7902	EHD4	875.4549
EHF	227.5804	EHF	9969.6725
EHHADH	308.7986	EHHADH	366.3567
EHMT1	1237.7327	EHMT1	1262.4343
EHMT2	1218.6971	EHMT2	1580.2669
EI24	1776.6497	EI24	2790.5378
EID1	3594.3316	EID1	2549.535
EID2B	30.4569	EID2B	45.2891
EID2	197.1235	EID2	188.4351
EID3	28.7648	EID3	24.6664
EIF1AD	424.2809	EIF1AD	563.6878
EIF1AX	1706.4298	EIF1AX	2101.9005
EIF1B	598.1387	EIF1B	772.3413
EIF1	10950.5076	EIF1	10366.3567
EIF2AK1	3945.9052	EIF2AK1	3252.0906
EIF2AK2	934.8562	EIF2AK2	367.9741
EIF2AK3	1093.0626	EIF2AK3	1040.0323
EIF2AK4	1733.0795	EIF2AK4	1542.2564
EIF2A	1955.1607	EIF2A	3971.6943
EIF2B1	1103.6379	EIF2B1	1283.057
EIF2B2	482.2335	EIF2B2	410.4327
EIF2B3	480.9645	EIF2B3	541.852
EIF2B4	781.3029	EIF2B4	856.4497
EIF2B5	967.8511	EIF2B5	1262.8387
EIF2C1	1315.9898	EIF2C1	1578.6494
EIF2C2	452.1997	EIF2C2	218.7626
EIF2C3	184.8562	EIF2C3	157.7032
EIF2C4	433.1641	EIF2C4	742.8225
EIF2S1	1665.3976	EIF2S1	1272.1391
EIF2S2	1313.0288	EIF2S2	1116.8621
EIF2S3	5930.203	EIF2S3	7473.1096
EIF3A	7936.5482	EIF3A	5887.5859
EIF3B	3395.0931	EIF3B	4082.4909
EIF3CL	10552.2631	EIF3CL	12707.9943
EIF3C	180.8164	EIF3C	408.8678
EIF3D	2656.0914	EIF3D	9247.4727
EIF3E	4458.9679	EIF3E	11389.4056
EIF3F	1623.0964	EIF3F	3665.5884
EIF3G	1840.5118	EIF3G	3269.6644
EIF3H	3252.1151	EIF3H	6538.2127
EIF3I	3726.7386	EIF3I	3849.5956
EIF3J	1362.0981	EIF3J	1423.7768
EIF3K	2230.9645	EIF3K	4272.1391
EIF3L	4757.1912	EIF3L	20996.7651
EIF3M	1555.808	EIF3M	3381.1524
EIF4A1	8007.9146	EIF4A1	11138.6373
EIF4A2	4548.2234	EIF4A2	11051.759
EIF4A3	2173.4349	EIF4A3	1323.0894
EIF4B	8599.632	EIF4B	17569.6361
EIF4E2	1263.5364	EIF4E2	1112.4141
EIF4E3	1105.753	EIF4E3	1086.5346
EIF4EBP1	511.8443	EIF4EBP1	321.4719
EIF4EBP2	7164.1286	EIF4EBP2	6179.539
EIF4EBP3	141.4679	EIF4EBP3	527.4727
EIF4ENIF1	462.3519	EIF4ENIF1	1005.2568
EIF4E	619.7124	EIF4E	422.9681
EIF4G1	8566.8359	EIF4G1	5738.3744
EIF4G2	16172.1658	EIF4G2	16045.6935
EIF4G3	5428.088	EIF4G3	1374.444
EIF4H	4381.9797	EIF4H	4264.0518
EIF5A2	170.8968	EIF5A2	97.0481
EIF5AL1	826.5651	EIF5AL1	765.0627
EIF5A	3517.7665	EIF5A	3293.9749
EIF5B	3187.8173	EIF5B	2485.2406
EIF5	4658.6294	EIF5	6171.856
EIF6	1436.9712	EIF6	1812.3736
ELAC1	86.0956	ELAC1	146.5588
ELAC2	1198.3926	ELAC2	1346.5427
removed	removed	ELANE	11.7266
ELAVL1	1553.2995	ELAVL1	1437.1209
removed	removed	ELAVL2	5.6611
ELF1	2653.1303	ELF1	1886.7772
ELF2	867.1743	ELF2	1202.9923
ELF3	1246.6159	ELF3	3515.1638
ELF4	1076.1421	ELF4	453.7
ELF5	13.1134	ELF5	2983.0166
ELFN1	46.9543	ELFN1	35.9887
ELFN2	7.6142	removed	removed
ELK1	627.7496	ELK1	665.5884
ELK3	1085.0254	ELK3	628.7909
ELK4	332.4873	ELK4	224.0194
ELL2	2506.3452	ELL2	1095.4307
ELL3	211.4171	ELL3	283.1985
ELL	456.8528	ELL	413.2632
ELMO1	519.0355	ELMO1	384.9575
ELMO2	1055.4146	ELMO2	1215.5277
ELMO3	191.6244	ELMO3	577.0319
ELMOD2	359.1371	ELMOD2	190.4569
ELMOD3	423.8579	ELMOD3	447.6345
ELN	6491.5398	ELN	430.2467
ELOF1	768.1895	ELOF1	584.7149
ELOVL1	1857.445	ELOVL1	1510.7157
ELOVL2	899.3232	ELOVL2	582.6931
ELOVL3	114.6362	ELOVL3	8.0873
ELOVL4	40.6091	ELOVL4	43.6717
ELOVL5	6062.1827	ELOVL5	4706.0251
ELOVL6	611.2521	ELOVL6	253.9426
ELOVL7	263.1134	ELOVL7	181.9652
ELP2P	8.4602	ELP2P	7.683
ELP2	5732.6565	ELP2	2649.0093
ELP3	829.9492	ELP3	1094.6219
ELP4	129.8646	ELP4	225.2325
ELTD1	1591.3706	ELTD1	727.0522
EMB	829.9492	EMB	589.9717
EMCN	833.3333	EMCN	748.0793
EMD	910.3215	EMD	913.8698
EME1	87.6311	EME1	22.871
EME2	43.5702	EME2	16.1747
EMG1	554.9662	EMG1	420.4448
EMID1	32.9949	EMID1	53.7808
EMID2	7.6142	EMID2	9.7048
EMILIN1	1648.9002	EMILIN1	712.8993
EMILIN2	526.6497	EMILIN2	420.1375
EMILIN3	8.4349	EMILIN3	162.22
EML1	674.2809	EML1	324.7068
EML2	727.5423	EML2	488.8799
EML3	907.7834	EML3	726.2434
EML4	1350.6768	EML4	2342.9034
EML5	41.0321	EML5	125.7582
EML6	7.1912	EML6	73.1905
EMP1	4917.0897	EMP1	3243.429
EMP2	6008.4602	EMP2	4128.1844
EMP3	536.802	EMP3	411.6458
EMR1	6.7682	EMR1	12.131
EMR2	94.3316	EMR2	190.4569
EMR4P	19.4585	EMR4P	15.7703
EMX2OS	127.7496	EMX2OS	101.4962
EMX2	55.8376	EMX2	22.6446
EN1	63.0288	EN1	15.7703
EN2	14.3824	removed	removed
ENAH	5886.2098	ENAH	2772.3413
ENC1	2334.8266	ENC1	1159.7493
ENDOD1	1010.5753	ENDOD1	1744.44
ENDOG	66.9543	ENDOG	69.3651
removed	removed	ENDOU	12.131
ENGASE	474.1963	ENGASE	501.0109
ENG	5066.8359	ENG	2405.1678
ENHO	11.4213	ENHO	128.9931
ENO1	14269.0355	ENO1	16134.2499
ENO2	631.9797	ENO2	528.1035
ENO3	40.1861	ENO3	40.8411
ENOPH1	946.2775	ENOPH1	663.1622
ENOSF1	324.8012	ENOSF1	861.1767
ENOX1	144.6701	ENOX1	44.8848
ENOX2	301.1844	ENOX2	408.4108
ENPEP	426.819	ENPEP	369.1872
ENPP1	798.6464	ENPP1	874.6462
ENPP2	3137.9019	ENPP2	1776.7893
ENPP3	18.6125	ENPP3	54.1852
ENPP4	628.5956	ENPP4	377.2746
ENPP5	736.8866	ENPP5	451.6781
ENPP6	22.4196	ENPP6	203.3967
ENSA	12318.9509	ENSA	3191.67
ENTHD1	5.0761	removed	removed
ENTPD1	1976.3113	ENTPD1	1780.4286
ENTPD2	125.2115	ENTPD2	268.9042
ENTPD3	107.445	ENTPD3	83.2996
ENTPD4	723.7733	ENTPD4	586.7368
ENTPD5	198.3672	ENTPD5	302.1755
ENTPD6	1644.247	ENTPD6	2112.8184
ENTPD7	904.2682	ENTPD7	278.9931
ENTPD8	22.4196	ENTPD8	9.7048
ENY2	468.2741	ENY2	321.4719
EOMES	52.0305	EOMES	38.0105
EP300	2643.824	EP300	3708.8556
EP400NL	141.709	EP400NL	143.9547
EP400	1719.5431	EP400	2126.5669
EPAS1	7763.5364	EPAS1	4428.2248
EPB41L1	1189.9323	EPB41L1	2023.4533
EPB41L2	2782.1489	EPB41L2	2614.2337
EPB41L3	1198.8156	EPB41L3	453.7
EPB41L4A	396.7851	EPB41L4A	655.4792
EPB41L4B	1061.3367	EPB41L4B	818.0348
EPB41L5	646.7851	EPB41L5	602.9114
EPB41	1756.5651	EPB41	1548.3825
EPB42	8.4602	removed	removed
EPB49	365.0592	EPB49	586.7368
EPC1	487.3096	EPC1	839.8706
EPC2	564.2978	EPC2	1001.6175
EPCAM	3444.5854	EPCAM	2828.144
EPDR1	363.7902	EPDR1	450.8694
EPHA10	76.1421	EPHA10	103.518
EPHA1	250	EPHA1	452.0825
EPHA2	479.2724	EPHA2	505.459
EPHA3	171.3198	EPHA3	57.0158
EPHA4	245.3469	EPHA4	621.5123
EPHA7	5.4992	EPHA7	16.5791
EPHB1	28.3418	EPHB1	713.3037
EPHB2	254.2301	EPHB2	42.4586
EPHB3	661.1675	EPHB3	5712.8993
EPHB4	2578.2572	EPHB4	2669.632
EPHB6	109.5601	EPHB6	203.8011
EPHX1	3095.6007	EPHX1	2409.6239
EPHX2	492.3858	EPHX2	1128.5888
removed	removed	EPHX3	12.5354
EPHX4	8.4602	EPHX4	30.3275
EPM2AIP1	958.5448	EPM2AIP1	1629.5997
EPM2A	105.3299	EPM2A	219.167
EPN1	1784.687	EPN1	1154.4683
EPN2	1947.9695	EPN2	1112.4141
EPN3	484.3486	EPN3	279.8221
EPOR	98.1387	EPOR	116.4577
EPPK1	1011.4213	EPPK1	506.2677
EPR1	411.1506	EPR1	31.8844
EPRS	3461.9289	EPRS	3342.499
EPS15L1	1722.0812	EPS15L1	714.1124
EPS15	2266.4975	EPS15	1883.5423
EPS8L1	246.6159	EPS8L1	339.6684
EPS8L2	523.6887	EPS8L2	1535.3821
EPS8	1681.4721	EPS8	1752.9317
EPSTI1	425.9729	EPSTI1	74.8079
EPT1	1680.203	EPT1	980.5782
ERAL1	1054.5685	ERAL1	969.6725
ERAP1	2517.7157	ERAP1	2468.1763
ERAP2	1516.0745	ERAP2	997.5738
ERBB2IP	2438.6633	ERBB2IP	2220.3801
ERBB2	6266.0745	ERBB2	5671.6539
ERBB3	4177.242	ERBB3	6334.0073
ERBB4	30.8799	ERBB4	671.2495
ERC1	1361.2521	ERC1	1430.651
removed	removed	ERC2	6.0655
ERCC1	773.6887	ERCC1	1092.4828
ERCC2	469.1201	ERCC2	461.3829
ERCC3	1007.6142	ERCC3	1437.9296
ERCC4	423.8579	ERCC4	302.871
ERCC5	1501.5017	ERCC5	1927.1613
ERCC6L	112.0981	ERCC6L	21.8358
ERCC6	363.769	ERCC6	434.8848
ERCC8	195.4315	ERCC8	186.4133
removed	removed	EREG	88.152
ERF	635.7868	ERF	685.4023
ERGIC1	7802.4535	ERGIC1	4252.3251
ERGIC2	748.308	ERGIC2	583.9062
ERGIC3	4370.9814	ERGIC3	5041.6498
ERG	854.9069	ERG	574.6057
ERH	1483.5025	ERH	1148.8071
ERI1	437.8173	ERI1	291.5487
ERI2	823.5871	ERI2	421.7873
ERI3	729.2724	ERI3	810.7562
ERICH1	189.5093	ERICH1	200.5661
ERLEC1	1661.1675	ERLEC1	1518.8031
ERLIN1	854.9069	ERLIN1	1287.9094
ERLIN2	1755.4992	ERLIN2	2376.8702
ERMAP	235.6176	ERMAP	690.2548
ERMN	8.0372	ERMN	8.4917
ERMP1	1453.9594	ERMP1	1379.6239
ERN1	448.8156	ERN1	495.7541
ERO1LB	153.5533	ERO1LB	402.7497
ERO1L	1151.0152	ERO1L	449.6563
ERP27	76.5651	ERP27	144.3591
ERP29	2876.4805	ERP29	2103.9224
ERP44	952.6227	ERP44	1402.3453
ERRFI1	979.2724	ERRFI1	2527.6992
removed	removed	ERVFRDE1	6.4699
ESAM	1176.3959	ESAM	665.9927
ESCO1	633.2487	ESCO1	608.977
ESCO2	207.2758	ESCO2	11.3223
ESD	1352.7919	ESD	2574.2014
ESF1	477.5804	ESF1	439.5471
ESM1	447.9695	ESM1	35.9887
ESPL1	444.5854	ESPL1	57.4201
ESPNL	10.9983	ESPNL	14.9616
ESPN	297.8003	ESPN	515.5681
ESR1	4108.291	ESR1	2637.687
ESR2	33.4179	ESR2	18.1965
ESRP1	1447.1235	ESRP1	1986.6559
ESRP2	612.9442	ESRP2	1148.4027
ESRRA	423.4349	ESRRA	417.3069
removed	removed	ESRRB	5.6611
ESRRG	61.7597	ESRRG	211.8884
ESYT1	5197.9695	ESYT1	3591.9935
ESYT2	3543.9932	ESYT2	3996.7651
ESYT3	9.3063	ESYT3	85.3215
ETAA1	301.6074	ETAA1	429.4379
ETF1	2725.0423	ETF1	2694.2984
ETFA	2596.0237	ETFA	985.4428
ETFB	950.9306	ETFB	490.093
ETFDH	765.2284	ETFDH	475.1314
ETHE1	555.8376	ETHE1	704.812
ETNK1	1535.11	ETNK1	1361.0999
ETNK2	1277.9188	ETNK2	314.5977
ETS1	4062.1827	ETS1	2356.6518
ETS2	1494.9239	ETS2	1911.0392
ETV1	208.9679	ETV1	787.7072
ETV2	5.4992	removed	removed
ETV3L	5.4992	ETV3L	115.649
ETV3	369.7124	ETV3	495.7541
ETV4	27.9188	ETV4	346.5427
ETV5	296.5313	ETV5	2010.5135
ETV6	1155.2453	ETV6	4885.9685
ETV7	41.4552	ETV7	27.0926
EVC2	137.0558	EVC2	183.1783
EVC	1166.7174	EVC	1311.6579
EVI2A	286.379	EVI2A	156.4901
EVI2B	466.1591	EVI2B	403.5584
EVI5L	279.1878	EVI5L	229.6805
EVI5	579.1032	EVI5	520.4205
EVL	3107.022	EVL	2619.0861
EVPL	1054.9915	EVPL	525.2729
EWSR1	2807.9526	EWSR1	3747.6749
EXD2	1030.4569	EXD2	770.7238
EXD3	178.088	EXD3	253.1338
EXO1	208.5448	EXO1	27.497
EXOC1	839.6785	EXOC1	1158.1076
EXOC2	840.1015	EXOC2	898.0995
EXOC3L2	102.3689	EXOC3L2	44.4804
EXOC3L	90.1015	EXOC3L	29.9232
EXOC3	964.89	EXOC3	1356.2475
EXOC4	1695.4315	EXOC4	1927.6183
EXOC5	1752.5381	EXOC5	1084.1084
EXOC6B	280.0338	EXOC6B	235.3417
EXOC6	678.511	EXOC6	424.5855
EXOC7	3523.8917	EXOC7	3275.7784
EXOC8	650.1692	EXOC8	448.0388
EXOG	150.5922	EXOG	122.9276
EXOSC10	1329.5262	EXOSC10	2008.4917
EXOSC1	313.8748	EXOSC1	342.9034
EXOSC2	298.6464	EXOSC2	505.0546
EXOSC3	164.1286	EXOSC3	232.9155
EXOSC4	261.4213	EXOSC4	173.0691
EXOSC5	223.3503	EXOSC5	343.7121
EXOSC6	211.9289	EXOSC6	244.2378
EXOSC7	414.1286	EXOSC7	438.334
EXOSC8	183.769	EXOSC8	355.0303
EXOSC9	468.6675	EXOSC9	452.8467
EXPH5	222.0812	EXPH5	456.1262
EXT1	919.2047	EXT1	1045.6935
EXT2	1559.2217	EXT2	1824.5047
EXTL1	8.4602	EXTL1	179.539
EXTL2	311.7597	EXTL2	469.8746
EXTL3	1155.6684	EXTL3	1231.298
EYA1	35.533	EYA1	19.814
EYA2	120.1354	EYA2	824.5047
EYA3	198.8156	EYA3	219.167
EYA4	16.4975	EYA4	18.6009
EYS	41.0321	EYS	18.6009
EZH1	1396.7851	EZH1	2126.5669
EZH2	480.9645	EZH2	150.829
EZR	2791.0321	EZR	2774.3631
F10	134.0948	F10	130.2062
F11R	4827.4112	F11R	3197.3312
F12	129.8646	F12	38.8192
F13A1	2137.9019	F13A1	681.763
F2RL1	182.7411	F2RL1	262.4343
F2RL2	1995.3469	F2RL2	507.0764
F2RL3	71.489	F2RL3	22.2402
F2R	3259.3063	F2R	1451.2738
F3	387.4788	F3	678.5281
F5	44.4162	F5	8.8961
F7	64.2978	F7	12.131
F8A1	85.8714	F8A1	80.0647
F8	659.8985	F8	465.8391
FA2H	24.1117	FA2H	169.4298
FAAH2	425.1269	FAAH2	221.9976
FAAH	416.2437	FAAH	393.0449
FABP3	103.6379	FABP3	59.0376
FABP4	13570.643	FABP4	2446.8257
FABP5	235.6176	FABP5	78.4472
FABP6	10.1523	removed	removed
removed	removed	FABP7	475.9402
FADD	3329.5262	FADD	423.3724
FADS1	1774.0863	FADS1	847.404
FADS2	5152.3096	FADS2	1160.279
FADS3	415.8206	FADS3	305.7016
FAF1	890.0169	FAF1	1057.8245
FAF2	1838.4095	FAF2	1432.6729
FAHD1	730.0888	FAHD1	304.4723
FAHD2A	221.2352	FAHD2A	362.7173
FAHD2B	192.8934	FAHD2B	405.9846
FAH	1761.8443	FAH	653.4573
FAIM2	12.2673	FAIM2	129.8019
FAIM3	353.9594	FAIM3	272.4383
FAIM	170.4738	FAIM	212.6971
FAM100A	402.7073	FAM100A	254.7513
FAM100B	398.4772	FAM100B	501.8197
FAM101A	5.0761	FAM101A	148.8071
FAM101B	717.4281	FAM101B	443.9951
FAM102A	2582.4873	FAM102A	2716.1342
FAM102B	772.4196	FAM102B	1041.6498
FAM103A1	305.313	FAM103A1	319.0336
FAM104A	1146.1548	FAM104A	647.4161
FAM104B	156.9374	FAM104B	233.3199
FAM105A	282.5719	FAM105A	208.6535
FAM105B	510.1523	FAM105B	367.9741
removed	removed	FAM106A	11.3223
FAM106C	8.0372	FAM106C	18.6009
FAM107A	358.291	FAM107A	413.2632
FAM107B	1622.6734	FAM107B	832.1876
FAM108A1	261.8443	FAM108A1	297.6142
FAM108B1	234.3486	FAM108B1	317.4282
FAM108C1	480.5415	FAM108C1	537.8083
FAM109A	231.8105	FAM109A	215.5277
FAM109B	354.9069	FAM109B	282.2483
FAM10A4	270.3046	FAM10A4	458.5524
FAM110A	189.0863	FAM110A	305.7016
FAM110B	185.7022	FAM110B	312.1715
FAM110C	9.3063	FAM110C	6.0655
FAM111A	819.3739	FAM111A	1262.8387
FAM111B	192.8934	FAM111B	50.9503
FAM113A	348.9848	FAM113A	718.1561
FAM113B	120.9814	FAM113B	278.2046
FAM114A1	1011.8443	FAM114A1	680.9543
FAM114A2	495.3469	FAM114A2	422.5637
FAM115A	685.7022	FAM115A	778.8112
FAM115C	174.5305	FAM115C	879.7897
FAM116A	693.7394	FAM116A	903.3562
FAM116B	107.445	FAM116B	272.9478
FAM117A	510.1523	FAM117A	846.7448
FAM117B	392.978	FAM117B	435.5034
FAM118A	242.3858	FAM118A	393.4493
FAM118B	194.5854	FAM118B	175.091
FAM119A	164.5516	FAM119A	102.7093
FAM119B	307.1066	FAM119B	566.9228
FAM120AOS	1163.4222	FAM120AOS	1169.1953
FAM120A	5188.9467	FAM120A	4257.0077
FAM120B	623.0964	FAM120B	1024.6664
FAM120C	617.1743	FAM120C	352.6082
FAM122A	442.0474	FAM122A	940.558
FAM122B	736.4636	FAM122B	731.0958
FAM122C	26.6497	FAM122C	29.1144
FAM123B	261.8443	FAM123B	290.3356
FAM124A	29.1878	FAM124A	44.8848
FAM124B	114.6362	FAM124B	74.8079
FAM125A	546.9543	FAM125A	384.5532
FAM125B	351.0998	FAM125B	393.8536
FAM126A	528.3418	FAM126A	1489.6886
FAM126B	686.5482	FAM126B	598.8678
FAM127A	1193.7394	FAM127A	1265.6692
FAM127B	549.9154	FAM127B	859.2802
FAM127C	311.7597	FAM127C	464.2135
FAM128A	684.4332	FAM128A	244.2378
FAM128B	1097.2927	FAM128B	607.3595
FAM129A	1384.5178	FAM129A	5002.8306
FAM129B	1847.2927	FAM129B	2873.4331
FAM129C	9.3063	removed	removed
FAM131A	249.577	FAM131A	253.1338
FAM131B	52.8765	FAM131B	73.1905
removed	removed	FAM131C	6.8742
FAM133B	99.8308	FAM133B	97.8569
FAM134A	3733.0795	FAM134A	3116.0534
FAM134B	506.3452	FAM134B	401.941
FAM134C	2816.4129	FAM134C	2044.8848
FAM135A	246.1929	FAM135A	304.0841
FAM135B	13.9594	removed	removed
FAM136A	555.8376	FAM136A	680.5499
FAM13AOS	24.7124	FAM13AOS	149.9555
FAM13A	1451.176	FAM13A	1751.3789
FAM13B	777.4958	FAM13B	1635.2568
FAM13C	196.0787	FAM13C	317.3959
FAM149A	140.4399	FAM149A	194.5006
FAM149B1	480.9645	FAM149B1	601.294
removed	removed	FAM150B	126.1626
FAM151B	30.0338	FAM151B	16.9834
FAM154B	25.3807	FAM154B	48.1197
FAM155A	11.4213	FAM155A	12.5354
FAM155B	60.0677	FAM155B	54.9939
FAM156A	429.78	FAM156A	846.7448
FAM157A	25.3807	FAM157A	28.3057
removed	removed	FAM157B	5.6611
FAM158A	105.753	FAM158A	76.4254
FAM159A	10.1523	FAM159A	6.0655
FAM160A1	101.0998	FAM160A1	422.9681
FAM160A2	393.824	FAM160A2	1009.7048
FAM160B1	1305.8376	FAM160B1	878.2855
FAM160B2	1095.1777	FAM160B2	1653.4573
FAM161A	83.3333	FAM161A	93.4088
FAM161B	100.6768	FAM161B	250.5823
FAM162A	714.89	FAM162A	547.9175
FAM162B	26.6497	FAM162B	31.945
FAM164A	154.8223	FAM164A	454.5087
FAM164C	38.0711	FAM164C	63.0813
FAM165B	189.0863	FAM165B	274.5653
FAM166B	31.7259	FAM166B	21.0271
FAM167A	33.8409	FAM167A	131.015
FAM167B	66.8359	FAM167B	30.7319
FAM168A	359.9831	FAM168A	449.2519
FAM168B	3042.3012	FAM168B	3687.4242
FAM169A	53.7225	FAM169A	128.5888
FAM171A1	469.9662	FAM171A1	947.8366
FAM171A2	49.0694	FAM171A2	12.131
FAM171B	266.0745	FAM171B	375.6571
FAM172A	664.9746	FAM172A	864.9414
FAM173A	221.6582	FAM173A	41.6498
FAM173B	308.3756	FAM173B	154.4683
FAM174A	287.6481	FAM174A	173.0691
FAM174B	714.044	FAM174B	871.4112
FAM175A	223.0584	FAM175A	455.7986
FAM175B	604.9069	FAM175B	576.2232
FAM176A	70.22	FAM176A	210.6753
FAM176B	429.3824	FAM176B	160.926
FAM177A1	799.9154	FAM177A1	602.9114
FAM177B	6.7682	removed	removed
FAM178A	933.5871	FAM178A	1208.2491
FAM178B	12.6904	FAM178B	15.366
FAM179B	604.9069	FAM179B	824.5047
FAM180A	68.1049	FAM180A	113.2228
FAM180B	13.5364	FAM180B	7.2786
removed	removed	FAM181B	12.5354
removed	removed	FAM182A	8.8961
FAM182B	43.5702	FAM182B	100.2831
removed	removed	FAM183A	7.2786
FAM184A	65.9898	FAM184A	175.4953
removed	removed	FAM184B	22.0623
FAM185A	74.4501	FAM185A	98.6656
FAM186B	9.3063	FAM186B	30.3275
FAM188A	352.7919	FAM188A	545.4913
FAM188B	110.1946	FAM188B	242.8184
FAM189A1	7.1912	FAM189A1	5.2568
FAM189A2	55.4146	FAM189A2	1700.7683
FAM189B	965.736	FAM189B	634.0477
FAM18A	16.9882	FAM18A	36.7125
FAM18B2	441.6244	FAM18B2	213.9507
FAM18B	1888.7479	FAM18B	630.8128
FAM190A	79.1032	FAM190A	109.5835
FAM190B	1762.6904	FAM190B	1826.5265
FAM192A	870.1354	FAM192A	1500.6066
FAM193A	824.8731	FAM193A	818.0348
FAM193B	466.5821	FAM193B	1416.0938
FAM195A	712.3519	FAM195A	120.5014
FAM195B	967.8511	FAM195B	988.2734
FAM196A	46.9543	removed	removed
FAM196B	9.7293	FAM196B	731.5002
FAM198A	219.1201	FAM198A	161.7469
FAM198B	5465.736	FAM198B	5752.9317
FAM199X	716.1591	FAM199X	462.596
FAM19A2	21.5736	FAM19A2	26.2839
FAM19A3	6.3452	FAM19A3	24.6664
FAM19A5	34.687	FAM19A5	31.1363
FAM200A	181.4721	FAM200A	218.7626
FAM200B	260.1523	FAM200B	485.645
FAM20A	244.9239	FAM20A	479.5795
FAM20B	2535.533	FAM20B	1863.7283
FAM20C	764.3824	FAM20C	812.778
FAM21A	498.731	FAM21A	266.478
FAM21B	1020.7276	FAM21B	1094.2175
FAM21C	1696.2775	FAM21C	1861.7064
FAM22A	37.225	FAM22A	49.3328
FAM22D	84.1794	FAM22D	113.2228
removed	removed	FAM23A	7.683
FAM24B	21.7851	FAM24B	33.9628
FAM26E	284.264	FAM26E	108.7748
FAM26F	47.3773	FAM26F	29.9232
removed	removed	FAM27C	9.3004
FAM32A	1453.8917	FAM32A	1381.7226
FAM35A	1010.9983	FAM35A	733.522
FAM35B2	93.4856	FAM35B2	76.021
FAM35B	299.4924	FAM35B	257.9863
FAM36A	732.4704	FAM36A	621.759
FAM38A	2575.8926	FAM38A	2631.5002
FAM38B	679.357	FAM38B	405.1759
FAM3A	527.4958	FAM3A	527.2948
FAM3B	6.7682	FAM3B	682.5718
FAM3C	937.3942	FAM3C	811.9693
removed	removed	FAM3D	463.8091
FAM40A	859.9831	FAM40A	908.613
FAM40B	39.3401	FAM40B	22.6446
FAM41C	7.6142	FAM41C	16.5791
FAM43A	301.1844	FAM43A	246.664
FAM43B	23.2657	FAM43B	14.5572
FAM45A	338.4095	FAM45A	386.575
FAM45B	173.0118	FAM45B	194.905
FAM46A	575.2961	FAM46A	728.2653
FAM46B	109.1371	FAM46B	527.2948
FAM46C	1711.9289	FAM46C	1367.1654
removed	removed	FAM47C	5.6611
FAM47E	80.0719	FAM47E	181.4476
FAM48A	821.3071	FAM48A	1170.2426
FAM49A	170.4738	FAM49A	232.1068
FAM49B	1387.4788	FAM49B	596.0372
FAM50A	933.5871	FAM50A	331.5811
