gene_id	TCGA-BH-A0DV-01A-21R-A12P-07	gene_id	TCGA-BH-A0DV-11A-22R-A12P-07
C7orf41	1011.8295	C7orf41	2011.9363
C7orf42	3653.002	C7orf42	3307.6923
C7orf43	247.0054	C7orf43	234.0849
C7orf44	394.0183	C7orf44	608.4218
C7orf46	36.6044	C7orf46	153.183
C7orf47	141.6561	C7orf47	93.5013
C7orf49	441.6219	C7orf49	487.5398
C7orf50	650.2492	C7orf50	439.3236
C7orf51	11.9039	C7orf51	40.1194
C7orf53	11.0111	C7orf53	10.6101
C7orf55	176.7815	C7orf55	155.504
C7orf58	564.2437	C7orf58	450.2653
C7orf59	1129.3803	C7orf59	649.8674
C7orf60	269.3252	C7orf60	351.4589
C7orf61	5.9519	C7orf61	11.9363
C7orf63	78.8632	C7orf63	277.5199
C7orf64	180.0461	C7orf64	254.3103
C7orf68	404.4342	C7orf68	336.87
C7orf70	499.9628	C7orf70	395.2255
C7	3178.6325	C7	555.0398
C8orf22	5.9519	removed	removed
C8orf30A	516.9258	C8orf30A	322.2812
C8orf31	13.3919	removed	removed
C8orf33	927.6096	C8orf33	1105.1061
C8orf34	8.0351	C8orf34	22.2149
C8orf37	53.5674	C8orf37	111.0743
C8orf38	213.9722	C8orf38	223.8064
removed	removed	C8orf39	6.6313
C8orf40	514.545	C8orf40	571.9496
C8orf41	282.4016	C8orf41	248.0902
C8orf42	277.0627	C8orf42	611.4058
C8orf44	24.7541	C8orf44	32.0225
C8orf45	28.8669	C8orf45	50.0663
C8orf46	8.6303	C8orf46	23.5411
C8orf47	10.1183	C8orf47	28.5146
C8orf48	24.7005	C8orf48	24.2042
C8orf4	3687.8208	C8orf4	4171.0875
C8orf51	36.3068	C8orf51	21.8833
C8orf55	621.9775	C8orf55	571.618
C8orf58	212.7818	C8orf58	223.1432
C8orf59	453.7728	C8orf59	471.9695
C8orf73	124.3955	C8orf73	47.4138
removed	removed	C8orf75	6.2997
C8orf76	255.3381	C8orf76	208.8859
C8orf79	146.4177	C8orf79	730.4377
C8orf80	9.8207	C8orf80	13.5942
C8orf83	854.6983	C8orf83	664.4562
C8orf84	318.1311	C8orf84	862.7321
C8orf85	90.7671	C8orf85	208.5544
C9orf100	45.4282	C9orf100	36.5981
C9orf102	104.9624	C9orf102	297.4635
C9orf103	88.9815	C9orf103	96.4854
C9orf109	22.6174	C9orf109	9.2838
C9orf110	163.3807	C9orf110	78.5809
C9orf114	494.5198	C9orf114	479.4861
C9orf116	160.7023	C9orf116	32.8249
C9orf117	12.7967	C9orf117	9.6154
C9orf119	374.0793	C9orf119	260.9416
C9orf122	33.3309	C9orf122	35.1459
C9orf123	652.9276	C9orf123	551.061
C9orf125	111.3012	C9orf125	83.5544
removed	removed	C9orf128	5.305
C9orf129	105.6023	C9orf129	80.7493
C9orf130	100.9478	C9orf130	188.2162
C9orf140	153.8576	C9orf140	132.626
C9orf142	307.12	C9orf142	151.1936
C9orf150	1444.5354	C9orf150	756.2997
C9orf152	869.8758	C9orf152	945.6233
C9orf156	208.3178	C9orf156	322.2812
C9orf167	135.109	C9orf167	36.8037
C9orf169	15.5911	removed	removed
C9orf16	879.1013	C9orf16	268.5676
C9orf172	13.6895	removed	removed
C9orf21	213.377	C9orf21	307.0292
C9orf23	385.9832	C9orf23	277.8515
C9orf25	521.985	C9orf25	493.3687
C9orf30	208.7017	C9orf30	169.244
C9orf37	112.4916	C9orf37	108.7533
C9orf3	371.7848	C9orf3	535.9748
C9orf40	112.4916	C9orf40	116.3793
C9orf41	143.1441	C9orf41	213.5279
C9orf43	6.8447	C9orf43	13.9257
C9orf45	31.8429	C9orf45	142.2414
C9orf46	602.9313	C9orf46	403.5146
C9orf47	10.7313	C9orf47	43.4582
C9orf5	2127.2227	C9orf5	3360.0796
C9orf64	458.5968	C9orf64	404.5093
C9orf66	17.2606	C9orf66	47.0822
C9orf68	44.3419	C9orf68	144.2308
C9orf69	738.6355	C9orf69	528.5146
C9orf6	325.571	C9orf6	487.4005
C9orf72	147.9057	C9orf72	331.565
C9orf78	1135.3322	C9orf78	1451.9231
C9orf7	733.2788	C9orf7	500.6631
C9orf80	209.8058	C9orf80	361.4058
C9orf82	281.5267	C9orf82	524.8674
C9orf85	149.096	C9orf85	141.9098
C9orf86	1351.0899	C9orf86	1054.3767
C9orf89	277.3603	C9orf89	181.0345
C9orf91	1179.3765	C9orf91	855.7692
C9orf93	72.316	C9orf93	190.9814
C9orf95	305.3344	C9orf95	372.3475
C9orf96	7.7375	C9orf96	14.2573
C9orf98	66.0665	C9orf98	44.7613
C9orf9	167.5471	C9orf9	165.7825
CA11	97.3142	CA11	289.7878
CA12	5589.7627	CA12	2725.4642
CA13	45.8924	CA13	234.2208
CA14	5.9519	CA14	9.9469
CA2	1531.4337	CA2	308.3554
CA3	571.026	CA3	774.3999
CA4	28.8669	CA4	182.0292
CA5BP	187.7836	CA5BP	245.0265
CA5B	363.7676	CA5B	687.626
CA8	134.5138	CA8	369.3634
CAB39L	677.3306	CAB39L	2087.2016
CAB39	2258.7605	CAB39	2637.2679
CABC1	1027.6021	CABC1	841.3031
CABIN1	1828.733	CABIN1	1363.3952
CABLES1	678.5209	CABLES1	707.2281
CABLES2	153.2624	CABLES2	161.4721
CABP1	6.5471	CABP1	17.2414
CABP4	23.1709	CABP4	26.5948
CABYR	152.072	CABYR	106.1008
CACHD1	742.2067	CACHD1	1211.87
CACNA1A	26.4861	CACNA1A	8.2891
CACNA1C	435.0867	CACNA1C	649.8674
CACNA1D	390.7447	CACNA1D	310.6764
CACNA1E	8.9279	removed	removed
CACNA1F	10.1183	CACNA1F	22.2149
CACNA1G	66.9593	CACNA1G	40.7825
CACNA1H	410.6837	CACNA1H	137.2679
removed	removed	CACNA1I	17.2414
CACNA1S	28.2717	removed	removed
CACNA2D1	169.6302	CACNA2D1	277.1883
CACNA2D2	249.6838	CACNA2D2	275.8621
CACNA2D3	10.7135	CACNA2D3	7.2944
CACNA2D4	49.6987	CACNA2D4	38.7931
CACNB1	68.7449	CACNB1	200.5968
CACNB2	38.0924	CACNB2	54.7082
CACNB3	570.7909	CACNB3	314.9867
CACNB4	59.5194	CACNB4	116.7109
CACNG1	16.3678	removed	removed
CACNG4	689.8296	CACNG4	624.0053
CACYBP	1253.4782	CACYBP	1081.565
CADM1	1439.7738	CADM1	1127.6525
CADM2	16.963	CADM2	56.366
CADM3	277.9168	CADM3	283.8959
CADM4	604.7169	CADM4	770.8886
CADPS2	1340.6741	CADPS2	1431.366
CADPS	5.3567	removed	removed
CAD	1197.8275	CAD	1018.5676
CALB2	170.523	CALB2	91.8435
CALCOCO1	2081.6904	CALCOCO1	3339.5225
CALCOCO2	2355.1819	CALCOCO2	2727.7851
CALCRL	2985.4922	CALCRL	683.687
CALD1	10487.3149	CALD1	13242.0424
CALHM2	1297.8201	CALHM2	354.1114
CALM1	6897.9987	CALM1	7152.5199
CALM2	9640.0565	CALM2	9745.6897
CALM3	5346.626	CALM3	3600.7958
CALML3	181.8317	CALML3	646.2202
CALML4	254.743	CALML4	331.2334
CALML5	39.878	CALML5	165.1194
CALN1	29.7597	CALN1	12.931
CALR	15715.795	CALR	9343.8329
CALU	6673.9082	CALU	2791.7772
CAMK1D	123.2051	CAMK1D	67.6393
CAMK1	415.3887	CAMK1	205.0564
CAMK2A	10.1183	removed	removed
CAMK2B	25.8909	CAMK2B	126.9894
CAMK2D	1797.1877	CAMK2D	1160.4775
CAMK2G	632.3934	CAMK2G	661.8037
CAMK2N1	2000.4464	CAMK2N1	1821.618
CAMK2N2	11.9039	removed	removed
CAMK4	19.3438	CAMK4	5.9682
CAMKK1	178.2605	CAMKK1	251.3263
CAMKK2	1598.0954	CAMKK2	1376.6578
CAMLG	1005.8775	CAMLG	946.9496
CAMSAP1L1	1510.3043	CAMSAP1L1	2526.5252
CAMSAP1	663.0459	CAMSAP1	1082.5597
CAMTA1	363.6634	CAMTA1	1028.183
CAMTA2	1224.9089	CAMTA2	1119.3634
CAND1	3231.9024	CAND1	3606.7639
CAND2	210.401	CAND2	169.7613
CANT1	2392.6791	CANT1	1777.1883
CANX	14516.1818	CANX	16935.3448
CAP1	8638.9406	CAP1	6570.2918
CAP2	437.1699	CAP2	474.1379
CAPG	2717.0597	CAPG	1809.3501
CAPN10	113.0868	CAPN10	199.5557
CAPN11	33.3309	CAPN11	99.8011
CAPN12	27.1736	CAPN12	91.2334
CAPN13	269.6228	CAPN13	323.2759
CAPN1	4871.9589	CAPN1	3340.8488
CAPN2	7503.0132	CAPN2	4536.4721
CAPN3	73.8725	CAPN3	151.502
CAPN5	635.667	CAPN5	270.557
CAPN6	369.0202	CAPN6	330.2387
CAPN7	785.6558	CAPN7	1332.8912
CAPN8	328.2494	CAPN8	110.7427
CAPN9	163.9759	CAPN9	47.7454
CAPNS1	9132.0586	CAPNS1	5181.0345
CAPRIN1	8851.7223	CAPRIN1	7541.4456
CAPRIN2	237.1847	CAPRIN2	323.6074
CAPS2	19.0462	CAPS2	84.8806
CAPSL	6.2495	removed	removed
CAPS	145.8225	CAPS	100.4642
CAPZA1	3393.1999	CAPZA1	2097.4801
CAPZA2	2251.023	CAPZA2	2552.3873
removed	removed	CAPZA3	6.2997
CAPZB	5656.4244	CAPZB	3419.4297
CARD10	634.179	CARD10	511.6048
CARD11	70.5305	CARD11	51.061
CARD14	147.9057	CARD14	254.3103
CARD16	136.597	CARD16	66.6446
CARD6	483.2974	CARD6	220.8223
CARD8	646.9757	CARD8	755.6366
CARD9	37.7948	CARD9	57.0292
CARHSP1	1191.4858	CARHSP1	949.9138
CARKD	1014.5078	CARKD	1117.0424
CARM1	1156.7592	CARM1	606.7639
CARNS1	15.7726	CARNS1	28.8462
CARS2	603.1396	CARS2	515.9416
CARS	842.7944	CARS	691.9761
removed	removed	CARTPT	21.2202
CASC1	33.6285	CASC1	67.9708
CASC2	56.5434	CASC2	59.0186
CASC3	2150.4352	CASC3	3008.2891
CASC4	3398.5567	CASC4	3194.9602
CASC5	44.6395	CASC5	13.2626
CASD1	912.7297	CASD1	1228.4483
CASKIN1	11.1361	CASKIN1	10.3515
CASKIN2	1375.9393	CASKIN2	1231.3926
CASK	1141.5817	CASK	1578.9125
CASP10	371.1033	CASP10	232.7586
CASP12	5.3567	removed	removed
CASP1	365.7466	CASP1	423.0769
CASP2	922.848	CASP2	979.443
CASP3	673.7594	CASP3	371.6844
CASP4	947.8461	CASP4	698.2759
CASP6	465.4416	CASP6	309.6817
CASP7	852.9127	CASP7	616.3793
CASP8AP2	333.3085	CASP8AP2	761.9363
CASP8	418.4212	CASP8	497.3475
CASP9	420.802	CASP9	365.3846
CASQ1	138.6802	CASQ1	83.2228
CASQ2	191.0572	CASQ2	153.183
CASS4	27.3789	CASS4	14.9204
CAST	4793.3606	CAST	6196.7142
CASZ1	889.8147	CASZ1	1579.9072
CATSPER1	7.1423	removed	removed
CATSPER2P1	13.4246	CATSPER2P1	19.2805
CATSPER2	8.0351	CATSPER2	49.4032
CATSPER3	14.2847	CATSPER3	6.4523
CATSPERB	43.1516	CATSPERB	70.2918
CATSPERG	16.963	CATSPERG	27.8515
CAT	2790.8638	CAT	3696.9496
CAV1	7951.7893	CAV1	8954.9072
CAV2	1290.6778	CAV2	3412.1353
CBARA1	1654.3412	CBARA1	1221.4854
CBFA2T2	624.3583	CBFA2T2	851.4589
CBFA2T3	232.1256	CBFA2T3	135.9416
CBFB	846.068	CBFB	1113.0637
CBLB	540.1384	CBLB	615.7162
CBLC	261.5877	CBLC	191.313
CBLL1	581.5044	CBLL1	1248.6737
CBLN1	6.8447	removed	removed
CBLN2	2632.5422	removed	removed
CBLN3	83.0295	CBLN3	79.5756
CBLN4	106.2421	CBLN4	67.3077
CBL	945.4654	CBL	1624.6684
CBR1	662.5757	CBR1	578.1333
CBR3	196.1164	CBR3	119.5623
CBR4	437.1699	CBR4	655.8355
CBS	77.9704	CBS	115.3846
CBWD1	330.9278	CBWD1	725.4642
CBWD2	353.2475	CBWD2	844.8276
CBWD3	406.2198	CBWD3	424.0285
removed	removed	CBWD5	17.616
CBWD6	216.3529	CBWD6	164.4562
CBX1	1666.5427	CBX1	1941.313
CBX2	108.6229	CBX2	41.4456
CBX3	2321.2559	CBX3	2714.191
CBX4	828.2122	CBX4	229.443
CBX5	2946.507	CBX5	3566.9761
CBX6	488.9517	CBX6	659.1512
CBX7	961.5356	CBX7	2471.1538
CBX8	63.3881	CBX8	41.4456
CBY1	698.9629	CBY1	562.7454
CC2D1A	710.3638	CC2D1A	814.6552
CC2D1B	552.3399	CC2D1B	793.1034
CC2D2A	411.8741	CC2D2A	430.7029
CCAR1	1038.6132	CCAR1	1786.1406
CCBE1	18.1534	CCBE1	24.2042
CCBL1	105.0517	CCBL1	131.2997
CCBL2	755.5866	CCBL2	885.4244
CCBP2	59.5194	CCBP2	79.5756
CCDC101	318.7263	CCDC101	210.2122
CCDC102A	145.5249	CCDC102A	112.069
CCDC102B	120.2291	CCDC102B	71.618
CCDC103	159.2143	CCDC103	138.9257
CCDC104	688.9368	CCDC104	1077.5862
CCDC106	301.7633	CCDC106	117.374
CCDC107	334.6031	CCDC107	298.9456
CCDC108	17.5582	removed	removed
CCDC109A	612.752	CCDC109A	524.5358
CCDC109B	498.1772	CCDC109B	168.435
CCDC110	35.1164	CCDC110	101.1273
CCDC111	287.3536	CCDC111	328.7168
CCDC112	135.4066	CCDC112	154.8408
CCDC113	246.1126	CCDC113	346.4854
CCDC114	15.475	CCDC114	27.8515
CCDC115	1045.7555	CCDC115	965.1857
removed	removed	CCDC116	5.6366
CCDC117	697.5671	CCDC117	606.1008
CCDC11	41.0684	CCDC11	40.4509
CCDC120	292.2402	CCDC120	394.8939
CCDC121	111.0036	CCDC121	156.1671
CCDC122	64.2809	CCDC122	100.1326
CCDC123	408.8981	CCDC123	498.3422
CCDC124	611.8592	CCDC124	429.7082
CCDC125	383.3048	CCDC125	611.4058
CCDC126	218.1385	CCDC126	534.4828
CCDC127	337.4749	CCDC127	269.8939
removed	removed	CCDC129	57.0292
CCDC12	420.802	CCDC12	429.0451
CCDC130	259.2069	CCDC130	337.8647
CCDC132	940.7038	CCDC132	1054.7082
CCDC134	64.5785	CCDC134	48.4085
CCDC136	34.5212	CCDC136	87.8647
CCDC137	266.9444	CCDC137	240.7162
CCDC138	24.1053	CCDC138	58.687
CCDC13	8.6303	CCDC13	11.9363
CCDC141	5.9519	CCDC141	19.8939
CCDC142	75.5896	CCDC142	134.3733
CCDC144A	10.4457	CCDC144A	126.618
CCDC144B	13.6895	CCDC144B	179.0451
removed	removed	CCDC144C	5.9682
CCDC146	102.6709	CCDC146	204.9072
CCDC147	5.6543	CCDC147	18.2361
CCDC148	9.8207	CCDC148	53.382
CCDC149	653.2252	CCDC149	774.8674
CCDC14	291.645	CCDC14	1265.252
removed	removed	CCDC150	7.2944
CCDC151	6.5471	CCDC151	8.9523
CCDC152	76.2265	CCDC152	131.1273
CCDC153	20.8318	CCDC153	9.2838
CCDC157	37.8275	CCDC157	40.1625
CCDC158	11.9039	CCDC158	124.6684
CCDC159	196.414	CCDC159	154.8408
CCDC15	63.9833	CCDC15	245.3581
CCDC160	59.817	CCDC160	91.5119
CCDC163P	19.0462	CCDC163P	19.5623
CCDC17	9.8207	CCDC17	5.305
CCDC18	30.3549	CCDC18	43.1101
CCDC19	97.3142	CCDC19	53.382
CCDC21	215.7578	CCDC21	283.4881
CCDC22	598.6489	CCDC22	415.8521
CCDC23	299.9777	CCDC23	219.496
CCDC24	252.4128	CCDC24	151.4489
CCDC25	1082.3599	CCDC25	1290.7825
CCDC28A	577.6356	CCDC28A	374.6684
CCDC28B	103.5637	CCDC28B	27.5199
CCDC30	79.4584	CCDC30	144.2308
CCDC34	170.523	CCDC34	332.2281
CCDC36	11.3087	CCDC36	21.2202
removed	removed	CCDC39	36.4125
CCDC3	1318.3543	CCDC3	731.4324
CCDC40	131.5378	CCDC40	182.0292
CCDC41	146.7153	CCDC41	267.9045
CCDC43	405.9222	CCDC43	420.4244
CCDC45	244.9223	CCDC45	739.0584
CCDC46	209.2106	CCDC46	273.5411
CCDC47	2524.5145	CCDC47	3941.9761
CCDC48	191.3548	CCDC48	118.0371
CCDC50	2155.792	CCDC50	2825.5968
CCDC51	288.669	CCDC51	182.0292
CCDC52	469.3103	CCDC52	582.8912
CCDC53	441.6338	CCDC53	388.5942
CCDC55	608.2881	CCDC55	1232.0955
CCDC56	1147.9473	CCDC56	750.1558
CCDC57	227.0664	CCDC57	588.5279
CCDC58	111.0036	CCDC58	140.252
CCDC59	312.7743	CCDC59	485.0796
CCDC61	181.5341	CCDC61	133.2891
removed	removed	CCDC62	7.9576
CCDC64B	217.2457	CCDC64B	309.6817
CCDC64	151.7744	CCDC64	75.9284
CCDC65	30.9501	CCDC65	12.5995
CCDC66	168.6125	CCDC66	562.6824
CCDC68	33.6285	CCDC68	75.2653
CCDC69	1056.1714	CCDC69	750
CCDC6	2470.6495	CCDC6	4187.0027
CCDC71	469.3103	CCDC71	475.7958
CCDC72	915.1105	CCDC72	768.2361
CCDC73	17.3172	CCDC73	54.8541
CCDC74A	643.1069	CCDC74A	191.6446
CCDC74B	114.8724	CCDC74B	71.9496
CCDC75	57.1386	CCDC75	107.7586
CCDC76	115.17	CCDC76	432.2812
CCDC77	102.9685	CCDC77	138.2626
CCDC78	33.926	CCDC78	7.2944
CCDC7	14.8798	CCDC7	54.1114
CCDC80	21179.0789	CCDC80	2666.7772
CCDC81	6.5471	CCDC81	18.8992
CCDC82	249.0886	CCDC82	499.6684
CCDC84	53.5674	CCDC84	100.1326
CCDC85A	97.9034	CCDC85A	142.4867
CCDC85B	122.9075	CCDC85B	50.7294
CCDC85C	311.6048	CCDC85C	533.4284
CCDC86	476.1461	CCDC86	653.8163
CCDC87	16.6654	CCDC87	10.6101
CCDC88A	570.4933	CCDC88A	830.5703
CCDC88B	97.3142	CCDC88B	100.4642
CCDC88C	891.8979	CCDC88C	710.8753
CCDC89	33.0333	CCDC89	44.7613
CCDC8	827.617	CCDC8	1300.0663
CCDC90A	269.0276	CCDC90A	262.5995
CCDC90B	713.6374	CCDC90B	644.5126
CCDC91	275.5747	CCDC91	680.3714
CCDC92	1028.1973	CCDC92	669.4297
CCDC93	452.9425	CCDC93	913.7931
CCDC94	338.6653	CCDC94	337.5332
CCDC96	132.133	CCDC96	105.4377
CCDC97	985.9385	CCDC97	1086.2069
CCDC99	112.4916	CCDC99	172.7454
CCDC9	493.1181	CCDC9	401.5252
CCHCR1	224.3881	CCHCR1	360.7427
CCIN	26.7837	removed	removed
CCKAR	7.7375	removed	removed
CCL11	22.3198	removed	removed
CCL13	13.3919	CCL13	5.9682
CCL14	2215.5792	CCL14	689.3004
CCL18	256.5285	CCL18	212.8647
CCL19	193.7356	CCL19	87.8647
CCL21	487.1661	CCL21	796.0875
CCL22	76.78	CCL22	40.7825
CCL23	74.6968	CCL23	21.8833
CCL26	9.5231	removed	removed
CCL28	212.4842	CCL28	1003.9788
CCL2	601.7409	CCL2	238.7268
CCL3L1	21.1294	CCL3L1	5.9615
CCL3	156.8336	CCL3	123.0106
CCL4L2	80.3512	CCL4L2	25.8621
CCL4	204.7467	CCL4	86.5385
CCL5	647.8685	CCL5	328.2493
CCL8	21.7246	CCL8	9.6154
CCM2	864.8166	CCM2	510.9416
CCNA1	9.2255	CCNA1	54.0451
CCNA2	78.8602	CCNA2	31.1141
CCNB1IP1	382.412	CCNB1IP1	747.0159
CCNB1	252.6598	CCNB1	172.7454
CCNB2	95.5286	CCNB2	12.2679
CCNB3	9.5231	CCNB3	19.2308
CCNC	1038.3156	CCNC	1300.7294
CCND1	4498.4748	CCND1	2756.1638
CCND2	1214.1954	CCND2	1062.6658
CCND3	1244.2527	CCND3	1508.6207
CCNDBP1	1027.6021	CCNDBP1	1228.4483
CCNE1	7.7375	CCNE1	8.9523
CCNE2	58.0314	CCNE2	33.876
CCNF	156.2384	CCNF	154.8408
CCNG1	1984.9714	CCNG1	2389.2573
CCNG2	3813.1091	CCNG2	2547.0822
CCNH	451.8949	CCNH	709.7745
CCNI2	14.2727	CCNI2	8.5676
CCNI	8050.8891	CCNI	7457.2281
CCNJL	77.6728	CCNJL	103.7798
CCNJ	106.5397	CCNJ	234.0849
CCNK	951.6941	CCNK	740.1127
CCNL1	568.7077	CCNL1	2595.1592
CCNL2	571.0885	CCNL2	1587.5332
CCNO	164.2735	CCNO	42.7719
CCNT1	124.9907	CCNT1	322.6127
CCNT2	470.5007	CCNT2	1056.0345
CCNYL1	427.6468	CCNYL1	500.6631
CCNY	1634.1046	CCNY	1667.4403
CCPG1	2867.492	CCPG1	2900.1359
CCR10	8.3327	CCR10	5.6366
CCR1	137.4898	CCR1	74.9337
CCR2	49.4011	CCR2	41.4456
CCR4	24.4029	removed	removed
CCR5	152.6672	CCR5	69.2971
CCR6	41.5237	CCR6	26.4191
CCR7	44.9371	CCR7	22.878
CCRL1	142.2513	CCRL1	58.0239
CCRL2	107.7301	CCRL2	57.0292
CCRN4L	154.7504	CCRN4L	172.0822
CCS	383.0072	CCS	340.5172
CCT2	2438.2114	CCT2	3174.7347
CCT3	6952.7565	CCT3	5239.7215
CCT4	3280.7083	CCT4	4059.6817
CCT5	2978.3498	CCT5	3406.4987
CCT6A	2892.9395	CCT6A	3285.4775
CCT6B	59.5194	CCT6B	90.8488
CCT6P1	26.4861	CCT6P1	125.3316
CCT7	4289.8594	CCT7	3902.8515
CCT8	3055.725	CCT8	3200.2653
CD101	34.8188	CD101	20.557
CD109	1298.7129	CD109	923.4085
CD14	920.1696	CD14	768.5676
CD151	8660.3675	CD151	5314.6552
CD160	6.8447	CD160	24.2042
CD163L1	109.2181	CD163L1	173.4085
CD163	721.3749	CD163	168.7666
CD164L2	11.6063	CD164L2	56.366
CD164	11564.0205	CD164	11873.0106
CD180	123.2051	CD180	200.2653
CD19	15.7726	removed	removed
CD1C	92.255	CD1C	13.2626
CD1D	43.7467	CD1D	20.557
CD1E	35.1164	CD1E	10.2785
CD200R1	16.6654	CD200R1	8.2891
CD200	868.3878	CD200	1008.9523
CD207	22.6174	CD207	14.5889
CD209	97.6118	CD209	28.8462
CD226	8.3327	CD226	23.2095
CD22	91.6598	CD22	10.9416
CD244	9.2255	CD244	6.9629
CD247	47.9131	CD247	61.3395
CD248	3712.5214	CD248	448.6074
CD24	12849.044	CD24	17731.1008
CD274	18.1534	CD274	29.1777
CD276	3987.2033	CD276	966.5119
CD27	88.9428	CD27	41.2036
CD28	70.8281	CD28	18.5676
CD2AP	1321.9255	CD2AP	1951.9231
CD2BP2	1532.9217	CD2BP2	1321.9496
CD2	149.9888	CD2	76.9231
CD300A	152.9648	CD300A	98.1432
CD300C	30.9501	CD300C	8.6207
CD300LB	14.5822	removed	removed
CD300LF	33.6285	CD300LF	14.9204
CD300LG	240.1607	CD300LG	612.7321
CD302	1486.4965	CD302	1708.13
CD320	547.5783	CD320	382.9576
CD33	67.5545	CD33	19.8939
CD34	7686.3329	CD34	2535.809
CD36	4000.8928	CD36	5221.4854
CD37	429.4323	CD37	97.1485
CD38	7.4399	CD38	24.8674
CD3D	53.2698	CD3D	27.5199
CD3EAP	343.1292	CD3EAP	508.0802
CD3E	237.4823	CD3E	124.0053
CD3G	11.0111	CD3G	18.8992
CD40LG	25.5933	CD40LG	20.8886
CD40	441.6338	CD40	277.8515
CD44	6964.958	CD44	8140.9151
CD46	7211.0706	CD46	6776.5252
CD47	1480.8422	CD47	3409.1512
CD48	301.1681	CD48	108.0902
CD4	1323.4134	CD4	733.0902
CD52	319.0239	CD52	132.626
CD53	703.8167	CD53	293.7666
CD55	2606.6513	CD55	1817.3077
CD58	180.6413	CD58	205.9019
CD59	15036.0836	CD59	21359.0849
CD5	45.5323	CD5	17.2414
CD63	14662.5995	CD63	6357.4271
CD68	2803.958	CD68	733.4218
CD69	246.4102	CD69	94.496
CD6	109.2181	CD6	37.7984
CD70	9.8207	removed	removed
CD72	33.3309	CD72	19.8939
CD74	48102.0757	CD74	12138.5942
CD79A	116.658	CD79A	114.7215
CD79B	128.2643	CD79B	60.0133
CD7	27.6765	CD7	15.9151
CD80	5.6543	removed	removed
CD81	14080.5	CD81	8746.3528
CD82	943.6798	CD82	1500.6631
CD83	478.8334	CD83	218.1698
CD84	98.207	CD84	31.4987
CD86	206.8298	CD86	56.366
CD8A	146.1201	CD8A	100.4642
CD8B	30.9501	CD8B	26.1936
CD93	9415.6685	CD93	2857.0955
CD96	92.255	CD96	79.5756
CD97	995.7592	CD97	512.931
CD99L2	1515.3634	CD99L2	870.0265
CD99	6213.5258	CD99	625.9947
CD9	7147.6825	CD9	9178.7135
CDADC1	139.8705	CDADC1	241.7109
CDAN1	301.4657	CDAN1	423.7401
CDA	171.7134	CDA	27.1883
CDC123	873.0214	CDC123	803.2991
CDC14A	126.1811	CDC14A	713.5279
CDC14B	407.4102	CDC14B	763.5942
removed	removed	CDC14C	12.5995
CDC16	1283.2379	CDC16	1496.0212
CDC20B	84.2199	removed	removed
CDC20	130.9426	CDC20	36.8037
CDC23	743.3971	CDC23	856.7639
CDC25A	16.963	CDC25A	21.2202
CDC25B	517.521	CDC25B	308.3554
CDC25C	11.9039	removed	removed
CDC26	97.6981	CDC26	105.1061
CDC27	1643.3301	CDC27	1664.1247
CDC34	435.0867	CDC34	385.9416
CDC37L1	385.388	CDC37L1	606.4324
CDC37	2869.4294	CDC37	2243.3687
CDC40	626.7391	CDC40	786.1406
CDC42BPA	2348.6348	CDC42BPA	2001.6578
CDC42BPB	3689.3088	CDC42BPB	3180.7029
CDC42BPG	267.5396	CDC42BPG	907.1618
CDC42EP1	2131.9842	CDC42EP1	1667.7719
CDC42EP2	396.6967	CDC42EP2	185.6764
CDC42EP3	1187.7092	CDC42EP3	1684.0186
CDC42EP4	1883.7884	CDC42EP4	3645.557
CDC42EP5	143.7393	CDC42EP5	86.87
CDC42SE1	3511.2417	CDC42SE1	3226.2699
CDC42SE2	1116.286	CDC42SE2	1777.8515
CDC42	6839.9673	CDC42	6400.8621
CDC45	20.8318	removed	removed
CDC5L	1044.2675	CDC5L	1691.313
CDC6	54.1626	CDC6	34.8143
CDC73	1296.0345	CDC73	1551.061
CDC7	65.4713	CDC7	43.1034
CDCA2	20.5342	CDCA2	12.931
CDCA3	38.5656	CDCA3	16.9363
CDCA4	206.8298	CDCA4	144.8939
CDCA5	94.6358	CDCA5	37.1353
CDCA7L	243.3509	CDCA7L	883.2062
CDCA7	41.6636	CDCA7	71.618
CDCA8	73.5064	CDCA8	48.4085
CDCP1	866.6022	CDCP1	1159.8143
CDH11	6916.1521	CDH11	740.0531
removed	removed	CDH12	122.3475
CDH13	1004.092	CDH13	619.695
CDH18	7.1423	removed	removed
removed	removed	CDH19	27.8515
CDH1	8099.3974	CDH1	11881.2997
CDH22	8.3327	CDH22	8.6207
CDH23	278.2174	CDH23	199.2706
CDH24	206.8298	CDH24	72.2812
CDH26	5.0591	CDH26	7.2944
CDH2	98.207	CDH2	30.1724
CDH3	826.4266	CDH3	2418.7666
CDH4	5.0591	CDH4	8.9523
CDH5	4106.8373	CDH5	1326.9231
CDH6	266.0516	CDH6	94.8276
CDH8	8.9279	CDH8	7.9576
CDHR1	10.1183	CDHR1	22.2149
CDHR3	43.6426	CDHR3	111.943
CDHR4	11.0111	removed	removed
CDIPT	2403.9878	CDIPT	1363.7268
CDK10	433.8963	CDK10	527.5199
CDK11A	350.0126	CDK11A	497.9443
CDK11B	746.6319	CDK11B	811.0743
CDK12	1220.7425	CDK12	2040.7825
CDK13	921.6576	CDK13	1438.3289
CDK14	1045.7555	CDK14	1380.9682
CDK15	13.6895	removed	removed
CDK16	1532.3265	CDK16	1319.9602
