gene_id	TCGA-BH-A0DV-01A-21R-A12P-07	gene_id	TCGA-BH-A0DV-11A-22R-A12P-07
ACO2	2379.5908	ACO2	1804.38
ACOT11	25.2957	ACOT11	62.3475
ACOT13	420.1562	ACOT13	508.5378
ACOT1	641.0237	ACOT1	375
ACOT2	476.7502	ACOT2	302.0557
ACOT4	238.0775	ACOT4	82.5597
ACOT7	290.7522	ACOT7	190.9814
ACOT8	217.71	ACOT8	189.2672
ACOT9	486.8685	ACOT9	571.2865
ACOX1	1374.6001	ACOX1	1562.3342
ACOX2	173.7966	ACOX2	164.7878
ACOX3	910.9441	ACOX3	1016.5782
ACP1	1077.0032	ACP1	1186.008
ACP2	1288.297	ACP2	667.4403
ACP5	1000.2232	ACP5	693.3024
ACP6	227.364	ACP6	301.3926
ACPL2	704.1143	ACPL2	606.1008
ACPP	28.5693	ACPP	92.5066
ACRBP	26.4861	ACRBP	7.2944
removed	removed	ACRC	11.2732
ACR	6.5471	ACR	5.6366
ACSBG1	6.8447	ACSBG1	13.9257
ACSBG2	6.2495	removed	removed
ACSF2	733.5764	ACSF2	1007.9576
ACSF3	391.9351	ACSF3	379.9735
ACSL1	1886.1692	ACSL1	3421.4191
ACSL3	3289.6362	ACSL3	7586.5385
ACSL4	1047.5411	ACSL4	2007.2944
ACSL5	621.6799	ACSL5	988.0637
ACSM1	35.414	ACSM1	5231.4324
ACSM3	49.6779	ACSM3	354.2341
ACSM5	43.1516	ACSM5	43.435
ACSS1	1271.6316	ACSS1	875.6631
ACSS2	906.4802	ACSS2	1330.5703
ACSS3	225.8761	ACSS3	511.9363
ACTA1	2081.3928	removed	removed
ACTA2	17440.6577	ACTA2	32069.9934
removed	removed	ACTBL2	16.9098
ACTB	117919.2024	ACTB	73314.6552
ACTC1	43.4491	removed	removed
ACTG1	76796.9645	ACTG1	47007.626
ACTG2	927.312	ACTG2	6840.5172
ACTL6A	929.3951	ACTL6A	1049.7347
ACTN1	8549.3639	ACTN1	10760.2785
ACTN2	285.9906	removed	removed
ACTN4	12443.3271	ACTN4	13632.9045
ACTR10	1086.8239	ACTR10	1252.6525
ACTR1A	3362.845	ACTR1A	2357.7586
ACTR1B	1193.6612	ACTR1B	1355.7692
ACTR2	6433.1523	ACTR2	5681.0345
ACTR3B	128.8595	ACTR3B	212.2016
ACTR3C	19.3438	ACTR3C	47.7454
ACTR3	3680.6785	ACTR3	4178.7135
ACTR5	199.3899	ACTR5	263.5942
ACTR6	425.266	ACTR6	708.8859
ACTR8	404.4342	ACTR8	365.3846
ACVR1B	1039.2084	ACVR1B	1226.1273
ACVR1C	113.682	ACVR1C	133.2891
ACVR1	1679.6369	ACVR1	1296.4191
ACVR2A	483.595	ACVR2A	501.6578
ACVR2B	152.3696	ACVR2B	225.1326
ACVRL1	1495.722	ACVRL1	555.0398
ACY1	558.7055	ACY1	461.2069
ACY3	25.2957	ACY3	31.1671
ACYP1	42.5564	ACYP1	75.5968
ACYP2	116.0628	ACYP2	140.5836
ADAD2	7.6066	removed	removed
ADAL	160.9999	ADAL	187.6658
ADAM10	2312.9231	ADAM10	3101.7905
ADAM11	5.0591	ADAM11	21.8833
ADAM12	7087.5679	ADAM12	101.1273
ADAM15	6185.8493	ADAM15	2474.4695
ADAM17	778.8111	ADAM17	1508.2891
ADAM19	661.5579	ADAM19	44.0981
ADAM21	5.3567	ADAM21	5.305
ADAM22	126.7763	ADAM22	110.0796
ADAM23	171.1182	ADAM23	34.8143
ADAM28	38.9852	ADAM28	81.2334
ADAM32	8.0351	ADAM32	22.878
ADAM33	391.3399	ADAM33	303.3156
ADAM6	22038.5567	ADAM6	39512.9642
ADAM8	472.2863	ADAM8	44.0981
ADAM9	2101.6293	ADAM9	2337.5332
ADAMDEC1	24.7005	ADAMDEC1	37.7984
ADAMTS10	238.9703	ADAMTS10	88.5279
ADAMTS12	675.8426	ADAMTS12	46.4191
ADAMTS13	23.8078	ADAMTS13	60.3448
ADAMTS14	130.0498	removed	removed
ADAMTS15	1147.8313	ADAMTS15	208.5544
ADAMTS16	1066.8849	ADAMTS16	14.5889
ADAMTS17	119.3364	ADAMTS17	68.9655
ADAMTS18	86.3031	ADAMTS18	45.0928
ADAMTS1	7854.7727	ADAMTS1	4209.8806
ADAMTS2	1812.0676	ADAMTS2	199.9337
ADAMTS3	112.4916	ADAMTS3	120.6897
ADAMTS4	2323.0414	ADAMTS4	199.6021
ADAMTS5	758.2769	ADAMTS5	2516.5782
ADAMTS6	142.8465	ADAMTS6	14.2573
ADAMTS7	351.7595	ADAMTS7	23.2095
ADAMTS8	76.1848	ADAMTS8	54.3767
ADAMTS9	1437.9882	ADAMTS9	636.2732
ADAMTSL1	502.6412	ADAMTSL1	127.9841
ADAMTSL2	661.8555	ADAMTSL2	40.1194
ADAMTSL3	587.4563	ADAMTSL3	167.7719
ADAMTSL4	568.7077	ADAMTSL4	338.1963
ADAMTSL5	56.841	ADAMTSL5	34.8143
ADAP1	130.8266	ADAP1	98.8329
ADAP2	305.9296	ADAP2	97.8117
ADARB1	857.9719	ADARB1	806.6976
removed	removed	ADARB2	9.2838
ADAR	10847.7048	ADAR	7532.8249
ADAT1	232.1256	ADAT1	377.6525
ADAT2	31.2477	ADAT2	127.6525
ADAT3	16.963	ADAT3	12.2679
ADA	248.4934	ADA	42.4403
ADCK1	199.9851	ADCK1	144.8939
ADCK2	1034.7444	ADCK2	602.4536
ADCK4	496.094	ADCK4	498.6737
ADCK5	66.3641	ADCK5	66.313
removed	removed	ADCY10	8.6207
ADCY1	213.377	ADCY1	136.2732
ADCY2	579.1236	ADCY2	371.3528
ADCY3	1544.7928	ADCY3	1134.3103
ADCY4	603.8241	ADCY4	342.8382
ADCY5	190.1644	ADCY5	403.5146
ADCY6	1453.7609	ADCY6	1610.7427
ADCY7	613.3472	ADCY7	175.7294
ADCY9	1034.1492	ADCY9	1012.931
ADCYAP1R1	36.6044	ADCYAP1R1	15.5836
ADCYAP1	28.5693	ADCYAP1	8.6207
ADC	389.8519	ADC	142.2414
ADD1	6759.3185	ADD1	5865.0531
ADD2	113.0868	ADD2	44.7613
ADD3	2483.1486	ADD3	3940.9814
ADH1A	38.6876	ADH1A	30.504
ADH1B	4076.4824	ADH1B	3208.2228
ADH1C	83.0295	ADH1C	138.5942
removed	removed	ADH4	46.4191
ADH5	2262.3317	ADH5	2810.3448
ADHFE1	58.329	ADHFE1	195.2918
ADI1	1416.8589	ADI1	1453.2493
ADIPOQ	3003.348	ADIPOQ	1674.7347
ADIPOR1	3375.3441	ADIPOR1	2243.3687
ADIPOR2	1885.2764	ADIPOR2	1866.0477
ADK	301.1681	ADK	346.1538
ADM2	180.6413	ADM2	70.6233
ADM	327.059	ADM	214.8541
ADNP2	591.3251	ADNP2	697.6127
ADNP	2575.9988	ADNP	3544.4297
ADORA1	75.8872	ADORA1	267.5729
ADORA2A	529.4249	ADORA2A	54.0385
ADORA2B	36.0092	ADORA2B	129.3103
ADORA3	174.6894	ADORA3	120.3581
ADO	562.1606	ADO	610.4111
ADPGK	952.3101	ADPGK	812.3342
ADPRHL1	112.4916	ADPRHL1	51.061
ADPRHL2	660.3675	ADPRHL2	678.0504
ADPRH	368.7226	ADPRH	406.1671
ADRA1A	6.5471	ADRA1A	9.2838
ADRA1B	30.6525	ADRA1B	12.5995
ADRA1D	22.0222	ADRA1D	7.9576
ADRA2A	678.5209	ADRA2A	903.8462
ADRA2B	46.7227	ADRA2B	36.1406
ADRA2C	53.865	ADRA2C	53.0504
ADRB1	7.7375	ADRB1	7.9576
ADRB2	152.9648	ADRB2	315.3183
ADRBK1	1434.1195	ADRBK1	1117.0424
ADRBK2	540.436	ADRBK2	826.9231
ADRM1	1156.4616	ADRM1	945.2918
ADSL	880.8868	ADSL	710.2122
ADSSL1	155.6432	ADSSL1	94.1645
ADSS	2176.3262	ADSS	1602.7851
AEBP1	38436.1283	AEBP1	4267.2414
AEBP2	504.1292	AEBP2	1242.0424
AEN	378.2457	AEN	540.4509
AES	5287.1066	AES	4771.8833
AFAP1L1	668.4026	AFAP1L1	310.6764
AFAP1L2	1149.0217	AFAP1L2	1273.2095
AFAP1	2217.3797	AFAP1	1442.6094
AFF1	2566.4757	AFF1	2981.4324
AFF2	94.9334	AFF2	87.8647
AFF3	1758.5001	AFF3	1968.1698
AFF4	3047.9875	AFF4	5798.0769
AFG3L1	75.292	AFG3L1	324.2706
AFG3L2	1030.4263	AFG3L2	1660.6399
AFMID	628.8223	AFMID	1230.4377
AFP	8.6303	AFP	45.0928
AFTPH	1663.2691	AFTPH	2569.6286
AG2	963.3212	AG2	241.3793
AGAP11	20.2366	AGAP11	144.9171
AGAP1	420.5044	AGAP1	556.366
AGAP2	107.0069	AGAP2	51.2367
AGAP3	1080.872	AGAP3	1137.5995
AGAP4	69.0425	AGAP4	156.4987
AGAP5	17.6594	AGAP5	89.506
AGAP6	27.9741	AGAP6	116.0477
AGAP7	6.2495	AGAP7	44.7613
AGAP8	11.9039	AGAP8	54.3767
AGA	536.2696	AGA	635.9416
AGBL2	20.2366	AGBL2	23.2095
AGBL3	6.5471	AGBL3	6.2997
AGBL4	13.6895	AGBL4	17.2414
AGBL5	541.0371	AGBL5	710.882
AGER	6.2495	AGER	33.8196
AGFG1	1642.1397	AGFG1	2279.5093
AGFG2	496.9868	AGFG2	456.565
AGGF1	733.2788	AGGF1	790.1194
AGK	514.545	AGK	581.8966
AGL	765.4192	AGL	1708.8859
AGMAT	11.3087	AGMAT	11.2732
AGPAT1	2166.3477	AGPAT1	1400.8886
AGPAT2	967.4875	AGPAT2	461.5385
AGPAT3	1451.0825	AGPAT3	1291.7772
AGPAT4	298.7873	AGPAT4	300.7294
AGPAT5	529.4249	AGPAT5	790.1194
AGPAT6	1365.6722	AGPAT6	1550.0663
AGPAT9	99.0998	AGPAT9	201.9231
AGPHD1	37.1996	AGPHD1	53.0504
AGPS	853.2103	AGPS	1035.1459
AGR2	4096.4214	AGR2	1189.6552
AGR3	1726.3596	AGR3	632.2944
AGRN	6068.0009	AGRN	2900.8621
AGTPBP1	303.5488	AGTPBP1	441.313
AGTR1	248.791	AGTR1	211.87
AGTRAP	904.9922	AGTRAP	584.5491
AGT	108.3253	AGT	10.2785
AGXT2L2	355.4587	AGXT2L2	378.8064
AHCTF1	1536.1952	AHCTF1	2225.7958
AHCYL1	4024.4029	AHCYL1	4160.1459
AHCYL2	827.9146	AHCYL2	746.0212
AHCY	2780.4479	AHCY	2358.4218
AHDC1	887.1364	AHDC1	1223.8064
AHI1	237.4823	AHI1	567.3077
AHNAK2	2317.0895	AHNAK2	790.7825
AHNAK	67125.3627	AHNAK	111709.8806
AHRR	38.39	AHRR	18.8992
AHR	2687.5976	AHR	5598.8064
AHSA1	1657.6148	AHSA1	1721.4854
AHSA2	101.7781	AHSA2	530.1724
