gene_id	TCGA-BH-A0DT-01A-21R-A12D-07	gene_id	TCGA-BH-A0DT-11A-12R-A12D-07
ACO2	2100.752	ACO2	2017.0829
ACOT11	101.5317	ACOT11	33.5889
ACOT13	567.1272	ACOT13	534.7171
ACOT1	370.7118	ACOT1	355.9693
ACOT2	267.3924	ACOT2	270.9018
ACOT4	297.5756	ACOT4	142.3877
ACOT7	284.4188	ACOT7	201.5334
ACOT8	193.6756	ACOT8	198.671
ACOT9	383.4817	ACOT9	419.4962
ACOX1	1377.2061	ACOX1	1771.6612
ACOX2	241.0788	ACOX2	316.904
ACOX3	839.7126	ACOX3	800.6572
ACP1	1460.7904	ACP1	1281.4896
ACP2	1088.1437	ACP2	894.8521
ACP5	774.3156	ACP5	596.9332
ACP6	478.2879	ACP6	389.1931
ACPL2	722.0754	ACPL2	711.5736
ACPP	15.4786	ACPP	96.3855
ACRBP	33.2789	ACRBP	7.667
ACRC	16.2525	ACRC	21.1756
ACR	6.5784	removed	removed
removed	removed	ACSBG1	24.8266
removed	removed	ACSBG2	11.6831
ACSF2	1263.8255	ACSF2	1100.0365
ACSF3	215.5391	ACSF3	352.6835
ACSL1	867.961	ACSL1	5514.0562
ACSL3	3135.572	ACSL3	7033.2238
ACSL4	756.1283	ACSL4	1413.2895
ACSL5	1808.6713	ACSL5	861.6283
removed	removed	ACSL6	7.3019
ACSM1	42.953	ACSM1	835.3414
ACSM3	40.4842	ACSM3	2012.3914
ACSM5	19.3482	ACSM5	55.1296
ACSS1	416.7606	ACSS1	900.3286
ACSS2	967.7978	ACSS2	1556.7725
ACSS3	215.5391	ACSS3	537.0573
ACTA1	41.4052	removed	removed
ACTA2	8881.7524	ACTA2	22582.5812
removed	removed	ACTBL2	17.5246
ACTB	95209.0913	ACTB	71442.4973
ACTG1	65701.9001	ACTG1	57319.8248
ACTG2	2199.1183	ACTG2	2970.7923
ACTL6A	1100.5266	ACTL6A	1029.2077
ACTN1	7495.8861	ACTN1	8640.0146
ACTN4	8254.2627	ACTN4	10096.9149
ACTR10	1048.6733	ACTR10	1071.1939
ACTR1A	3259.0136	ACTR1A	2189.8503
ACTR1B	1273.1127	ACTR1B	1354.1438
ACTR2	6555.9497	ACTR2	5109.529
ACTR3B	213.2173	ACTR3B	202.2636
ACTR3C	46.0488	ACTR3C	52.5739
ACTR3	3705.9574	ACTR3	3052.5739
ACTR5	193.0952	ACTR5	202.9938
ACTR6	578.8986	ACTR6	733.8445
ACTR8	501.8927	ACTR8	468.054
ACVR1B	1572.2361	ACVR1B	1172.3257
ACVR1C	56.1098	ACVR1C	463.3078
ACVR1	1206.1678	ACVR1	1352.6835
ACVR2A	290.9972	ACVR2A	690.398
ACVR2B	710.8535	ACVR2B	390.6535
ACVRL1	602.1165	ACVRL1	453.4502
ACY1	753.8065	ACY1	680.5403
removed	removed	ACY3	6.2066
ACYP1	33.2789	ACYP1	68.6382
ACYP2	98.2889	ACYP2	148.5944
ADAL	152.077	ADAL	205.5495
ADAM10	1980.0965	ADAM10	2768.8938
removed	removed	ADAM11	15.3341
ADAM12	2506.7549	ADAM12	1223.4392
ADAM15	5248.7997	ADAM15	2918.2402
ADAM17	768.5112	ADAM17	1067.1778
ADAM19	548.7154	ADAM19	85.4326
ADAM21	5.8045	removed	removed
ADAM22	49.9184	ADAM22	59.1457
ADAM23	25.9266	ADAM23	17.8897
ADAM28	77.3929	ADAM28	243.8846
removed	removed	ADAM29	10.9529
ADAM32	18.5743	ADAM32	30.303
ADAM33	86.68	ADAM33	361.4458
ADAM6	19978.8756	ADAM6	24452.0884
ADAM8	236.0482	ADAM8	46.7324
ADAM9	2717.6505	ADAM9	2244.6148
ADAMDEC1	99.8368	removed	removed
ADAMTS10	81.6495	ADAMTS10	92.0044
ADAMTS12	482.1576	ADAMTS12	133.2603
ADAMTS13	75.845	ADAMTS13	65.7174
ADAMTS14	101.7716	ADAMTS14	13.1435
ADAMTS15	668.6744	ADAMTS15	293.9029
ADAMTS16	82.0364	ADAMTS16	371.3034
ADAMTS17	37.1486	ADAMTS17	67.5429
ADAMTS18	8.5132	ADAMTS18	75.9401
removed	removed	ADAMTS19	34.3191
ADAMTS1	944.9669	ADAMTS1	6540.7083
ADAMTS2	658.6133	ADAMTS2	400.146
ADAMTS3	51.4663	ADAMTS3	109.8941
ADAMTS4	828.8776	ADAMTS4	209.9306
ADAMTS5	318.4716	ADAMTS5	2764.8777
ADAMTS6	85.1322	ADAMTS6	29.5728
ADAMTS7	126.1504	ADAMTS7	27.3823
ADAMTS8	389.6731	ADAMTS8	169.77
ADAMTS9	381.5468	ADAMTS9	945.9657
ADAMTSL1	163.2989	ADAMTSL1	223.4392
ADAMTSL2	169.4904	ADAMTSL2	34.3191
ADAMTSL3	65.7839	ADAMTSL3	125.5933
ADAMTSL4	178.3906	ADAMTSL4	397.5904
ADAMTSL5	108.737	ADAMTSL5	74.8448
ADAP1	206.6854	ADAP1	106.1847
ADAP2	213.2173	ADAP2	135.4509
ADARB1	387.3513	ADARB1	732.3841
ADARB2	16.2525	removed	removed
ADAR	13296.4814	ADAR	7476.4513
ADAT1	205.0911	ADAT1	357.4297
ADAT2	79.3277	ADAT2	182.1833
ADAT3	33.6659	ADAT3	17.1595
ADA	99.0629	ADA	39.7955
ADCK1	129.6331	ADCK1	173.0559
ADCK2	1199.9764	ADCK2	659.3647
ADCK4	517.3713	ADCK4	514.0562
ADCK5	136.9854	ADCK5	66.8127
removed	removed	ADCY10	10.2227
ADCY1	574.642	ADCY1	701.3509
ADCY2	30.5702	ADCY2	177.437
ADCY3	1297.6694	ADCY3	1042.6652
ADCY4	211.6695	ADCY4	393.5743
ADCY5	75.845	ADCY5	306.6813
ADCY6	1476.2689	ADCY6	2364.0015
ADCY7	510.406	ADCY7	242.7893
ADCY9	830.4255	ADCY9	831.3253
removed	removed	ADCYAP1R1	14.6039
ADCYAP1	12.3829	ADCYAP1	7.3019
ADC	181.4863	ADC	129.2442
ADD1	5010.0272	ADD1	5838.9923
ADD2	38.6964	ADD2	53.3041
ADD3	1022.3598	ADD3	4327.1267
ADH1A	13.5438	ADH1A	35.9985
ADH1B	1670.525	ADH1B	4435.9255
ADH1C	36.3746	ADH1C	220.8835
removed	removed	ADH4	5.1114
ADH5	1893.8034	ADH5	2874.4067
ADHFE1	122.6677	ADHFE1	209.5655
ADI1	1274.2735	ADI1	1701.3509
ADIPOQ	1136.1273	ADIPOQ	6116.831
ADIPOR1	4195.0803	ADIPOR1	2304.4907
ADIPOR2	4532.1263	ADIPOR2	2151.8802
ADK	499.571	ADK	339.1749
ADM2	289.8363	ADM2	118.2913
ADM	82.0364	ADM	102.9573
ADNP2	1054.8648	ADNP2	908.7258
ADNP	3252.8222	ADNP	3409.2735
ADORA1	281.3231	ADORA1	293.1727
ADORA2A	672.5363	ADORA2A	53.6692
ADORA2B	46.0488	ADORA2B	85.0675
ADORA3	118.4111	ADORA3	86.5279
ADO	848.6128	ADO	833.881
ADPGK	922.9293	ADPGK	821.0113
ADPRHL1	313.8281	ADPRHL1	77.0354
ADPRHL2	617.2081	ADPRHL2	582.3293
ADPRH	189.9995	ADPRH	348.3023
removed	removed	ADRA1A	12.0482
ADRA1B	10.0611	ADRA1B	16.4294
removed	removed	ADRA1D	6.9368
ADRA2A	1110.9746	ADRA2A	884.9945
ADRA2B	5.8045	ADRA2B	17.8897
ADRA2C	20.8961	ADRA2C	43.8116
ADRB1	536.7195	ADRB1	11.6831
ADRB2	87.8409	ADRB2	186.9295
ADRBK1	1605.515	ADRBK1	1418.0358
ADRBK2	542.137	ADRBK2	1231.4713
ADRM1	1023.9076	ADRM1	888.2804
ADSL	710.4665	ADSL	732.019
ADSSL1	108.35	ADSSL1	115.0055
ADSS	2981.1732	ADSS	1576.4878
AEBP1	12322.1052	AEBP1	3058.4155
AEBP2	713.5622	AEBP2	974.0781
AEN	421.4042	AEN	453.8153
AES	6400.0031	AES	5224.1694
AFAP1L1	250.3659	AFAP1L1	334.7937
AFAP1L2	510.019	AFAP1L2	1193.1362
AFAP1	1586.1591	AFAP1	1412.1869
AFF1	2844.1878	AFF1	2759.0361
AFF2	23.9918	AFF2	81.7817
AFF3	1227.4509	AFF3	2805.0383
AFF4	3072.4968	AFF4	4598.3936
AFG3L1	152.4639	AFG3L1	294.6331
AFG3L2	1796.1336	AFG3L2	1387.4078
AFMID	537.1065	AFMID	1487.4042
AFP	25.9266	AFP	321.6502
AFTPH	2536.1642	AFTPH	2068.6382
AG2	100.2238	AG2	188.0248
AGAP11	34.9158	AGAP11	139.467
AGAP1	624.1735	AGAP1	588.1709
AGAP2	105.6722	AGAP2	61.8218
AGAP3	1047.1255	AGAP3	1333.6984
AGAP4	158.2684	AGAP4	201.8985
AGAP5	49.5701	AGAP5	79.9051
AGAP6	94.8063	AGAP6	104.7828
AGAP7	5.4175	AGAP7	8.0321
AGAP8	37.5355	AGAP8	68.6382
AGA	705.8229	AGA	696.9697
AGBL2	34.4398	AGBL2	20.4454
