gene_id	TCGA-BH-A0DT-01A-21R-A12D-07	gene_id	TCGA-BH-A0DT-11A-12R-A12D-07
C11orf61	157.8814	C11orf61	252.2819
C11orf63	304.5409	C11orf63	205.1844
C11orf65	7.3523	C11orf65	7.3019
C11orf66	22.8309	C11orf66	20.0803
C11orf67	273.0227	C11orf67	242.165
C11orf68	699.2445	C11orf68	707.9226
C11orf70	20.5091	C11orf70	41.2559
C11orf71	159.4293	C11orf71	283.6802
C11orf73	331.6284	C11orf73	343.9211
C11orf74	102.5455	C11orf74	145.6736
C11orf75	99.8368	C11orf75	202.9938
C11orf80	178.0036	C11orf80	322.3804
C11orf82	73.1363	C11orf82	53.6692
C11orf83	152.4639	C11orf83	112.0847
C11orf84	248.0441	C11orf84	235.4874
removed	removed	C11orf87	7.667
C11orf92	14.3177	C11orf92	495.8014
C11orf93	13.9307	C11orf93	65.3523
C11orf95	311.1193	C11orf95	543.264
C11orf9	39.8573	C11orf9	34.3191
C12orf10	662.4829	C12orf10	613.3625
C12orf11	509.632	C12orf11	420.5915
C12orf23	1071.5042	C12orf23	1309.602
C12orf24	57.6577	C12orf24	81.0515
C12orf26	176.0688	C12orf26	185.1041
C12orf29	360.6469	C12orf29	481.0953
C12orf32	748.0021	C12orf32	543.6291
C12orf34	102.9325	C12orf34	142.7528
C12orf35	2735.0639	C12orf35	1670.6827
C12orf41	524.3367	C12orf41	581.5991
C12orf43	239.144	C12orf43	287.3311
C12orf44	611.0167	C12orf44	666.6667
C12orf45	157.1075	C12orf45	120.4819
C12orf47	236.679	C12orf47	273.954
C12orf48	81.8662	C12orf48	56.5024
C12orf49	474.8052	C12orf49	585.2501
C12orf4	347.107	C12orf4	447.2435
C12orf51	1105.5571	C12orf51	1827.3092
C12orf52	383.4817	C12orf52	321.2851
C12orf53	32.892	C12orf53	96.0204
C12orf57	1374.4973	C12orf57	1144.9434
C12orf59	8.9002	C12orf59	6.2066
C12orf5	218.2479	C12orf5	227.0902
C12orf60	25.1527	C12orf60	17.5246
C12orf61	7.3523	C12orf61	9.1274
C12orf62	414.4388	C12orf62	426.7981
C12orf63	6.9654	C12orf63	5.1114
C12orf65	213.2173	C12orf65	254.1073
C12orf66	154.0118	C12orf66	160.2775
C12orf68	23.9918	C12orf68	25.9219
C12orf72	83.1973	C12orf72	86.5279
C12orf73	97.128	C12orf73	104.0526
C12orf75	378.4511	C12orf75	218.693
C12orf76	151.69	C12orf76	155.5312
C13orf15	262.3618	C13orf15	622.1249
C13orf18	64.2361	C13orf18	89.0836
C13orf1	211.6695	C13orf1	274.5528
C13orf23	1159.3451	C13orf23	1038.7003
C13orf27	101.3847	C13orf27	143.1179
C13orf29	80.4886	C13orf29	183.6437
C13orf30	6.5784	removed	removed
C13orf31	344.3983	C13orf31	266.1555
C13orf33	140.855	C13orf33	568.4556
C13orf34	139.3613	C13orf34	111.7853
removed	removed	C13orf36	19.7152
C13orf37	344.3983	C13orf37	354.1438
C13orf38	16.3376	C13orf38	6.4695
C14orf101	576.1899	C14orf101	614.4578
C14orf102	284.8057	C14orf102	353.7788
C14orf104	309.5715	C14orf104	311.7926
C14orf106	695.7619	C14orf106	613.3625
C14orf109	227.922	C14orf109	320.1899
C14orf118	189.6125	C14orf118	285.8708
C14orf119	1093.5612	C14orf119	891.2012
C14orf126	347.8461	C14orf126	367.9336
C14orf128	43.727	C14orf128	112.4498
C14orf129	558.3895	C14orf129	477.1815
C14orf132	1208.8766	C14orf132	1349.3976
C14orf135	845.904	C14orf135	1055.8598
C14orf138	150.1422	C14orf138	156.2614
C14orf139	109.1239	C14orf139	302.3001
C14orf142	176.4557	C14orf142	187.6597
C14orf143	114.9284	C14orf143	85.4326
C14orf145	98.6759	C14orf145	138.0066
C14orf147	1868.2638	C14orf147	1746.988
C14orf148	9.6741	C14orf148	16.0643
C14orf149	68.8797	C14orf149	89.4487
C14orf153	408.762	C14orf153	313.2092
C14orf156	374.5815	C14orf156	371.3034
C14orf159	950.7714	C14orf159	921.8693
removed	removed	C14orf162	10.5878
C14orf166	2127.9169	C14orf166	1987.9518
C14orf167	1230.4421	C14orf167	946.3344
C14orf169	371.8727	C14orf169	263.965
C14orf174	80.4886	C14orf174	40.5257
C14orf176	22.8309	C14orf176	17.1595
C14orf179	253.0747	C14orf179	228.9157
C14orf180	14.3177	C14orf180	50.0183
C14orf181	22.8309	C14orf181	32.4936
C14orf182	6.9654	C14orf182	6.5717
C14orf1	940.7103	C14orf1	946.6959
C14orf21	255.7834	C14orf21	373.1289
C14orf28	112.6066	C14orf28	137.2764
C14orf2	713.9492	C14orf2	565.1698
C14orf33	143.5638	C14orf33	133.9905
C14orf37	118.4111	C14orf37	105.8781
C14orf43	1869.8117	C14orf43	1684.9215
C14orf45	468.3816	C14orf45	420.7302
C14orf49	37.1486	C14orf49	106.6083
C14orf4	1459.2425	C14orf4	1639.6495
C14orf50	60.7534	C14orf50	15.6992
C14orf53	5.0305	removed	removed
C14orf64	11.222	C14orf64	31.3983
C14orf72	5.8045	removed	removed
C14orf79	428.3695	C14orf79	313.6181
C14orf80	107.963	C14orf80	77.4005
C14orf93	287.9015	C14orf93	221.2486
C15orf17	838.5517	C15orf17	1189.1201
C15orf21	80.8755	C15orf21	40.5257
C15orf23	203.5432	C15orf23	237.3129
C15orf24	769.2851	C15orf24	777.6561
C15orf27	12.7698	C15orf27	18.2548
C15orf28	6.9654	removed	removed
C15orf29	367.2292	C15orf29	407.0829
C15orf33	44.439	C15orf33	42.4498
C15orf34	10.835	C15orf34	54.3994
C15orf37	33.4685	C15orf37	35.3669
C15orf38	429.6929	C15orf38	317.5392
C15orf39	604.4383	C15orf39	870.0256
C15orf40	269.3659	C15orf40	287.6962
C15orf41	78.5538	C15orf41	142.0226
C15orf42	56.1834	C15orf42	43.0778
removed	removed	C15orf43	13.8737
C15orf44	1158.5712	C15orf44	976.2687
C15orf48	651.261	C15orf48	181.4531
removed	removed	C15orf51	6.5717
C15orf52	167.9425	C15orf52	868.5652
C15orf56	11.9959	C15orf56	10.5878
C15orf57	377.6849	C15orf57	363.4648
C15orf58	61.5273	C15orf58	45.272
C15orf59	24.7657	C15orf59	8.3972
C15orf61	93.2584	C15orf61	79.5911
C15orf62	25.5396	C15orf62	52.939
C15orf63	417.5732	C15orf63	374.5893
C16orf13	508.8581	C16orf13	253.7422
removed	removed	C16orf3	5.8415
C16orf42	579.332	C16orf42	407.218
C16orf45	2252.9063	C16orf45	591.8218
C16orf46	85.5191	C16orf46	86.1628
C16orf48	162.1381	C16orf48	244.2497
C16orf52	327.3718	C16orf52	424.9726
C16orf53	1367.0676	C16orf53	736.8748
C16orf54	78.1668	C16orf54	24.4615
C16orf55	115.7023	C16orf55	106.6083
C16orf57	584.7031	C16orf57	695.8744
C16orf58	2314.6233	C16orf58	1824.5382
C16orf59	60.3664	C16orf59	23.3662
C16orf5	340.5286	C16orf5	829.1347
C16orf61	164.2199	C16orf61	183.5378
C16orf62	2032.3367	C16orf62	1221.9788
C16orf63	1115.6182	C16orf63	887.1851
C16orf68	130.7939	C16orf68	156.6265
C16orf70	380.5562	C16orf70	589.3574
C16orf71	60.7534	C16orf71	13.5086
C16orf72	1396.5543	C16orf72	1277.4735
C16orf74	147.4334	C16orf74	102.9573
C16orf75	167.5556	C16orf75	81.4166
C16orf79	8.1843	C16orf79	8.7952
C16orf7	155.6487	C16orf7	230.6316
C16orf80	296.4147	C16orf80	600.9493
C16orf86	18.5743	C16orf86	27.7474
C16orf87	47.9836	C16orf87	97.8459
C16orf88	648.1653	C16orf88	398.3206
C16orf89	447.3308	C16orf89	423.8773
C16orf91	170.2643	C16orf91	152.6104
C16orf93	78.5538	C16orf93	35.0493
C17orf100	38.6964	C17orf100	59.5108
C17orf101	262.7488	C17orf101	316.1738
C17orf103	456.6179	C17orf103	609.7116
removed	removed	C17orf104	5.1114
C17orf106	161.0584	C17orf106	153.8956
C17orf107	99.4266	C17orf107	190.2045
C17orf108	209.3477	C17orf108	338.8098
C17orf28	2298.5681	C17orf28	1527.9299
C17orf37	608.3079	C17orf37	434.8302
C17orf39	409.4083	C17orf39	368.0175
C17orf42	143.5638	C17orf42	168.6747
C17orf44	168.7164	C17orf44	85.7977
C17orf47	6.1914	removed	removed
C17orf48	160.2032	C17orf48	209.2004
C17orf49	996.5725	C17orf49	687.0318
C17orf51	141.6289	C17orf51	296.0935
C17orf53	63.8491	C17orf53	44.5418
removed	removed	C17orf55	7.3019
C17orf56	220.2253	C17orf56	246.0095
C17orf57	58.0446	C17orf57	101.4969
C17orf58	593.6033	C17orf58	603.1398
C17orf59	206.252	C17orf59	148.9595
C17orf60	23.2179	C17orf60	5.4765
C17orf61	423.8266	C17orf61	389.7663
C17orf62	1384.9453	C17orf62	784.5929
C17orf63	883.0526	C17orf63	784.2278
C17orf65	212.9	C17orf65	163.5086
C17orf67	24.3788	C17orf67	19.3501
C17orf68	1131.4837	C17orf68	1009.1274
C17orf69	28.2484	C17orf69	78.4958
C17orf70	987.146	C17orf70	582.6944
C17orf71	498.0231	C17orf71	545.0894
C17orf72	90.9521	C17orf72	49.9233
C17orf75	255.7834	C17orf75	239.8686
C17orf76	65.7839	C17orf76	38.7003
removed	removed	C17orf77	8.3972
C17orf79	652.0349	C17orf79	493.2457
C17orf80	508.0842	C17orf80	647.6816
C17orf81	495.7013	C17orf81	536.3271
C17orf85	559.1635	C17orf85	691.8583
C17orf86	76.232	C17orf86	111.7196
C17orf87	19.0619	C17orf87	7.3019
C17orf89	157.1075	C17orf89	163.1982
C17orf90	252.6877	C17orf90	216.8675
C17orf91	116.4763	C17orf91	240.9639
C17orf95	302.9931	C17orf95	312.5228
C17orf96	54.562	C17orf96	154.801
C17orf97	234.5004	C17orf97	129.9744
C18orf10	1398.1021	C18orf10	977.7291
removed	removed	C18orf16	9.4925
C18orf18	28.6354	C18orf18	64.9872
C18orf19	418.6954	C18orf19	279.6641
C18orf1	3190.5209	C18orf1	1423.1471
C18orf21	256.5574	C18orf21	208.8353
C18orf22	489.1229	C18orf22	380.7959
C18orf25	804.4988	C18orf25	797.7364
C18orf32	1463.2979	C18orf32	993.808
C18orf34	13.9307	C18orf34	42.3512
C18orf45	1282.0128	C18orf45	676.1592
C18orf54	66.1709	C18orf54	103.6875
C18orf55	332.0154	C18orf55	312.1577
C18orf8	509.7791	C18orf8	422.165
C19orf10	1121.8096	C19orf10	784.958
C19orf12	441.9133	C19orf12	604.9653
removed	removed	C19orf18	20.0803
C19orf20	20.1221	C19orf20	14.2388
C19orf21	1262.6646	C19orf21	117.9263
C19orf22	1610.9325	C19orf22	1040.1606
C19orf23	13.1568	C19orf23	12.4133
C19orf24	507.3102	C19orf24	312.1577
C19orf25	300.2843	C19orf25	295.7284
C19orf26	12.3829	C19orf26	12.0482
C19orf28	819.5905	C19orf28	625.0456
C19orf29	326.2109	C19orf29	357.0646
C19orf2	1420.5461	C19orf2	1590.7265
C19orf33	40.1205	C19orf33	76.988
C19orf35	7.7393	removed	removed
C19orf36	5.0305	C19orf36	6.2066
C19orf38	26.3136	C19orf38	6.9368
C19orf39	83.9713	C19orf39	88.3534
C19orf40	77.3929	C19orf40	31.3983
C19orf42	1269.63	C19orf42	1089.8138
C19orf43	1156.6364	C19orf43	1075.575
C19orf44	153.2572	C19orf44	191.8109
C19orf45	7.7393	removed	removed
C19orf46	224.8263	C19orf46	208.8353
C19orf47	384.6425	C19orf47	319.4597
C19orf48	850.1606	C19orf48	670.6827
C19orf50	1037.0644	C19orf50	1000
C19orf51	104.0934	C19orf51	35.7795
C19orf52	191.9343	C19orf52	163.9284
C19orf53	944.193	C19orf53	824.0234
C19orf54	367.2292	C19orf54	241.329
C19orf55	160.5902	C19orf55	111.3545
C19orf56	1906.9602	C19orf56	1677.6196
C19orf57	68.1057	C19orf57	75.9401
C19orf60	129.6331	C19orf60	136.1811
C19orf61	709.6926	C19orf61	544.7244
C19orf62	910.914	C19orf62	728.0029
C19orf63	2119.2992	C19orf63	1979.5035
C19orf66	473.2961	C19orf66	424.7134
C19orf6	1177.9194	C19orf6	1211.7561
C19orf70	421.4042	C19orf70	350.858
C19orf71	5.8045	C19orf71	11.318
C19orf73	17.0264	C19orf73	24.0964
C19orf76	34.8268	C19orf76	46.3673
removed	removed	C19orf77	27.0172
C1D	189.2256	C1D	202.6287
C1GALT1C1	725.9451	C1GALT1C1	569.5509
C1GALT1	185.7429	C1GALT1	292.4425
C1QA	842.4214	C1QA	638.1891
C1QBP	1849.7011	C1QBP	1411.2778
C1QB	831.5864	C1QB	644.0307
C1QC	785.9246	C1QC	553.1216
C1QL1	5.4175	C1QL1	13.1435
removed	removed	C1QL2	18.2548
C1QL3	20.5091	C1QL3	18.6199
C1QTNF1	520.467	C1QTNF1	556.4074
C1QTNF2	13.9307	C1QTNF2	24.8266
C1QTNF3	398.5733	C1QTNF3	182.9135
removed	removed	C1QTNF4	6.9368
C1QTNF6	1364.8232	C1QTNF6	289.1566
C1QTNF7	15.0916	C1QTNF7	66.8127
removed	removed	C1QTNF9B	14.6805
removed	removed	C1QTNF9	26.1117
C1RL	1560.9445	C1RL	1283.1909
C1R	5275.4847	C1R	3496.5316
C1S	7523.3606	C1S	4399.7919
C1orf101	25.5396	C1orf101	14.969
C1orf103	554.1329	C1orf103	615.5531
C1orf104	64.9442	C1orf104	45.4034
C1orf106	54.175	C1orf106	89.8138
C1orf107	1197.2676	C1orf107	890.8361
C1orf109	357.942	C1orf109	400.146
C1orf112	300.9576	C1orf112	157.908
C1orf113	291.0591	C1orf113	318.2512
C1orf115	1095.883	C1orf115	1679.4451
C1orf116	626.1083	C1orf116	1156.2614
C1orf122	341.1439	C1orf122	266.6594
C1orf123	472.4835	C1orf123	460.7521
C1orf124	316.9238	C1orf124	289.1566
C1orf126	63.1061	C1orf126	104.2461
C1orf128	891.9528	C1orf128	922.9646
C1orf130	46.4357	C1orf130	416.5754
C1orf131	304.154	C1orf131	178.1672
C1orf133	31.7311	C1orf133	58.0504
C1orf135	32.505	C1orf135	20.0803
C1orf144	3077.5273	C1orf144	3187.6597
C1orf151	881.1178	C1orf151	681.6356
C1orf152	7.3523	C1orf152	10.5878
C1orf156	319.2456	C1orf156	195.3268
C1orf159	152.8509	C1orf159	132.8952
C1orf162	183.0341	C1orf162	55.4947
C1orf163	232.1786	C1orf163	274.5528
C1orf168	29.4093	C1orf168	84.3373
C1orf170	37.1486	C1orf170	28.1124
C1orf172	439.9784	C1orf172	516.977
C1orf173	164.0729	C1orf173	99.6714
C1orf174	407.4734	C1orf174	385.9073
C1orf175	10.448	C1orf175	73.3844
C1orf182	7.7393	removed	removed
C1orf183	21.67	C1orf183	70.4637
C1orf186	8.9002	removed	removed
C1orf187	10.835	C1orf187	5.1114
C1orf190	10.4751	C1orf190	43.6656
C1orf192	66.9448	C1orf192	30.6681
C1orf194	5.4175	removed	removed
C1orf198	4062.3516	C1orf198	2308.1417
C1orf201	237.9831	C1orf201	224.5345
C1orf203	121.5339	C1orf203	98.2293
C1orf204	29.27	C1orf204	50.6681
C1orf210	376.9033	C1orf210	296.4586
C1orf212	529.7542	C1orf212	480.8324
C1orf213	43.7541	C1orf213	44.874
C1orf216	365.2943	C1orf216	335.889
C1orf21	4066.6082	C1orf21	3775.4655
C1orf220	20.8961	C1orf220	11.6831
C1orf226	1220.0985	C1orf226	1315.0785
C1orf228	32.505	C1orf228	14.2388
C1orf229	15.8655	C1orf229	11.6831
C1orf25	903.1748	C1orf25	557.1376
C1orf26	229.4698	C1orf26	186.5644
C1orf27	1269.63	C1orf27	767.7985
C1orf31	282.8709	C1orf31	142.0226
C1orf35	277.4534	C1orf35	145.3085
C1orf38	195.417	C1orf38	163.5633
C1orf43	6478.9438	C1orf43	3331.5078
C1orf50	119.185	C1orf50	117.5612
C1orf51	228.6959	C1orf51	109.529
C1orf52	247.6572	C1orf52	305.586
C1orf53	17.0264	C1orf53	16.7945
C1orf54	134.2766	C1orf54	58.4155
C1orf55	814.9469	C1orf55	916.7579
C1orf56	259.0649	C1orf56	122.7455
C1orf57	414.8258	C1orf57	315.4436
C1orf58	811.4062	C1orf58	424.582
C1orf59	128.0852	C1orf59	243.5195
removed	removed	C1orf61	21.5407
C1orf63	217.8609	C1orf63	400.8762
C1orf64	276.2925	C1orf64	385.9073
C1orf66	1101.3005	C1orf66	550.931
C1orf69	239.144	C1orf69	329.3173
C1orf74	128.8591	C1orf74	109.8941
C1orf77	2445.6146	C1orf77	1667.762
C1orf83	208.1868	C1orf83	213.2165
C1orf84	10.2623	C1orf84	10.92
C1orf85	1408.1632	C1orf85	581.9642
C1orf86	364.6442	C1orf86	208.682
C1orf88	236.8222	C1orf88	178.1672
C1orf89	65.7839	C1orf89	56.2249
C1orf91	160.5051	C1orf91	162.0664
C1orf93	1310.9036	C1orf93	769.1822
C1orf95	18.9613	C1orf95	106.6083
C1orf96	394.7036	C1orf96	524.2789
C1orf97	270.1011	C1orf97	100.0365
C1orf9	1941.787	C1orf9	1822.1979
C20orf103	540.9761	C20orf103	33.954
C20orf108	3699.766	C20orf108	4900.6937
C20orf111	702.7272	C20orf111	864.5491
C20orf112	1047.8994	C20orf112	805.7685
C20orf114	35.9877	C20orf114	53.6692
C20orf117	422.5651	C20orf117	502.7382
C20orf118	7.8979	C20orf118	15.2209
C20orf11	1742.8874	C20orf11	1874.7718
C20orf12	153.6248	C20orf12	151.5152
C20orf132	49.1483	C20orf132	34.3191
C20orf134	22.057	C20orf134	30.6681
C20orf135	39.4704	C20orf135	59.1457
C20orf151	107.1891	C20orf151	64.9872
C20orf160	75.845	C20orf160	140.5622
removed	removed	C20orf165	5.4765
C20orf177	232.9525	C20orf177	200.4381
C20orf194	520.854	C20orf194	902.1541
C20orf195	6.5784	removed	removed
C20orf196	53.0141	C20orf196	57.3202
C20orf199	1737.4699	C20orf199	1303.3954
removed	removed	C20orf202	5.1114
removed	removed	C20orf203	12.0482
C20orf20	233.3395	C20orf20	201.5334
C20orf24	842.9863	C20orf24	680.3359
C20orf26	10.835	C20orf26	9.4925
C20orf27	366.0683	C20orf27	348.6674
C20orf29	214.7652	C20orf29	214.6769
C20orf30	2250.5846	C20orf30	2023.0011
C20orf3	3916.079	C20orf3	3507.1194
C20orf43	1753.7224	C20orf43	1867.835
C20orf46	8.9002	C20orf46	16.7945
C20orf4	1095.1091	C20orf4	1189.4852
C20orf54	506.1493	C20orf54	287.3311
C20orf72	504.2145	C20orf72	581.234
C20orf7	111.0588	C20orf7	123.0376
C20orf85	9.2871	removed	removed
C20orf94	39.4704	C20orf94	21.1756
C20orf96	312.6672	C20orf96	324.571
C21orf119	57.2707	C21orf119	102.9573
C21orf122	24.7657	C21orf122	30.303
removed	removed	C21orf125	5.8415
C21orf15	6.5784	C21orf15	63.5268
C21orf2	371.8727	C21orf2	381.161
C21orf33	1526.5743	C21orf33	1475.356
C21orf34	26.7005	C21orf34	121.9423
C21orf45	222.8915	C21orf45	183.2786
C21orf49	5.4175	C21orf49	14.2388
C21orf56	84.3582	C21orf56	57.3202
C21orf57	147.8204	C21orf57	121.5772
C21orf58	70.8145	C21orf58	47.4626
C21orf59	718.5038	C21orf59	662.6506
C21orf63	472.4835	C21orf63	625.4107
C21orf67	60.3664	C21orf67	65.3523
C21orf70	63.4622	C21orf70	68.2731
C21orf7	62.6882	C21orf7	64.257
removed	removed	C21orf81	5.1114
C21orf82	5.8045	removed	removed
C21orf88	15.0916	C21orf88	28.8426
C21orf91	483.7054	C21orf91	576.1227
C22orf13	2361.3492	C22orf13	2278.0321
C22orf23	43.727	C22orf23	89.8138
C22orf25	460.4876	C22orf25	353.4137
C22orf26	8.5132	C22orf26	7.667
C22orf27	145.8856	C22orf27	156.9916
C22orf28	1673.2338	C22orf28	1755.3852
C22orf29	749.6931	C22orf29	811.1647
C22orf30	1223.9682	C22orf30	1327.1267
C22orf32	706.2099	C22orf32	807.9591
C22orf34	5.0305	C22orf34	9.1274
C22orf36	323.8891	C22orf36	230.011
C22orf39	344.7814	C22orf39	557.5027
C22orf40	132.3418	C22orf40	132.165
C22orf41	14.3177	removed	removed
C22orf45	6.1992	C22orf45	5.1114
C22orf46	486.8011	C22orf46	593.6473
C22orf9	2056.7154	C22orf9	1534.1365
C2CD2L	462.7745	C2CD2L	314.6878
C2CD2	583.1552	C2CD2	1139.467
C2CD3	843.1953	C2CD3	846.2943
C2CD4A	65.01	C2CD4A	84.3373
C2CD4B	15.0916	C2CD4B	20.4454
C2CD4C	7.7393	C2CD4C	21.1756
C2CD4D	21.283	C2CD4D	9.8576
C2orf15	153.5513	C2orf15	81.8839
C2orf16	56.4968	C2orf16	67.908
C2orf18	2482.7632	C2orf18	1346.8419
C2orf24	1760.6877	C2orf24	1213.5816
C2orf27A	70.0405	C2orf27A	24.0964
C2orf28	2202.0631	C2orf28	1702.9208
C2orf29	1100.1396	C2orf29	828.7696
C2orf34	67.3318	C2orf34	86.893
C2orf39	9.2871	removed	removed
C2orf3	585.864	C2orf3	625.7758
C2orf40	105.6413	C2orf40	814.8959
C2orf42	275.5186	C2orf42	244.9799
C2orf43	380.3859	C2orf43	394.6696
C2orf44	204.7041	C2orf44	281.1245
C2orf47	305.9727	C2orf47	288.0613
C2orf48	6.5784	removed	removed
C2orf49	112.9936	C2orf49	136.1811
C2orf50	15.0916	C2orf50	9.4925
removed	removed	C2orf52	7.3019
C2orf54	8.5132	C2orf54	65.3523
C2orf55	582.3813	C2orf55	416.9405
C2orf56	186.1298	C2orf56	220.5184
removed	removed	C2orf58	9.8576
C2orf60	198.6288	C2orf60	261.7744
C2orf63	91.3236	C2orf63	116.1008
C2orf64	472.8704	C2orf64	475.356
C2orf65	6.9654	C2orf65	16.4294
C2orf67	326.7991	C2orf67	532.6944
C2orf68	685.3138	C2orf68	962.395
C2orf69	469.7747	C2orf69	512.9609
C2orf72	25.9266	C2orf72	277.8386
removed	removed	C2orf73	5.8415
C2orf74	102.9325	C2orf74	410.3687
C2orf76	103.3195	C2orf76	85.4326
C2orf77	164.8468	C2orf77	215.042
C2orf79	324.6631	C2orf79	230.011
C2orf7	164.0729	C2orf7	234.027
C2orf81	103.7916	C2orf81	82.3658
C2orf82	6.9654	C2orf82	60.6061
C2orf86	65.7839	C2orf86	122.3074
C2orf88	44.5009	C2orf88	257.7583
C2orf89	30.1832	C2orf89	25.5568
C2	544.4627	C2	211.5152
C3AR1	224.4393	C3AR1	161.0077
C3orf10	3073.6577	C3orf10	2800.2921
C3orf14	652.8088	C3orf14	501.6429
C3orf15	45.2748	C3orf15	159.9124
C3orf17	985.5982	C3orf17	1045.6371
C3orf18	256.1704	C3orf18	203.3589
C3orf19	402.0559	C3orf19	495.4363
C3orf1	883.4396	C3orf1	853.5962
C3orf21	272.8099	C3orf21	209.2004
C3orf23	603.2774	C3orf23	447.9737
C3orf26	360.2638	C3orf26	332.238
C3orf31	162.525	C3orf31	200.073
C3orf32	6.1914	C3orf32	8.7623
C3orf33	94.0323	C3orf33	146.0387
C3orf34	62.3013	C3orf34	57.6853
C3orf35	8.5132	C3orf35	7.667
C3orf36	16.2525	removed	removed
C3orf37	885.7614	C3orf37	845.199
C3orf38	409.4083	C3orf38	385.1771
C3orf39	609.8558	C3orf39	571.7415
C3orf42	14.3177	C3orf42	18.2548
C3orf47	34.4398	C3orf47	27.7474
C3orf52	154.3988	C3orf52	252.2819
C3orf54	22.4439	C3orf54	39.4304
removed	removed	C3orf55	28.1124
C3orf57	380.7729	C3orf57	224.8996
C3orf58	323.1152	C3orf58	861.2632
C3orf59	238.37	C3orf59	308.8719
C3orf62	179.1645	C3orf62	156.9916
C3orf63	2251.7377	C3orf63	2360.8507
C3orf64	446.1699	C3orf64	1098.211
C3orf67	38.6964	C3orf67	20.0803
C3orf70	67.7188	C3orf70	98.9412
C3orf71	35.2138	C3orf71	33.954
C3orf75	337.8199	C3orf75	292.8076
C3	12042.33	C3	6440.6718
C4A	52979.2868	C4A	29203.2749
C4BPA	26.3136	C4BPA	274.1877
removed	removed	C4BPB	18.985
C4orf10	285.4597	C4orf10	286.9916
C4orf12	18.9613	C4orf12	36.1446
C4orf14	704.662	C4orf14	593.2822
C4orf19	29.0223	C4orf19	94.3154
C4orf21	68.8797	C4orf21	99.6714
C4orf23	347.107	C4orf23	426.7981
C4orf27	352.9115	C4orf27	362.176
C4orf29	126.1504	C4orf29	138.0066
C4orf31	32.892	C4orf31	187.6597
C4orf32	893.5006	C4orf32	1039.7955
C4orf33	274.7447	C4orf33	228.1855
C4orf34	1748.3049	C4orf34	1376.7798
C4orf36	38.3095	C4orf36	10.2227
C4orf38	16.2525	C4orf38	9.8576
C4orf39	17.0264	C4orf39	28.8426
C4orf3	2502.8853	C4orf3	3594.0124
C4orf41	1154.3146	C4orf41	1266.5206
C4orf42	555.6808	C4orf42	332.9682
C4orf43	550.2633	C4orf43	375.6846
C4orf46	195.804	C4orf46	168.6747
C4orf47	8.9002	C4orf47	19.7152
C4orf48	15.4786	removed	removed
C4orf49	5.0305	C4orf49	18.985
C4orf52	286.3536	C4orf52	327.8569
C4orf7	37.1486	C4orf7	157.3567
C5AR1	72.3623	C5AR1	80.3213
C5orf13	2313.2728	C5orf13	633.4429
C5orf15	1935.2086	C5orf15	1953.6327
C5orf20	34.0529	removed	removed
C5orf22	629.204	C5orf22	598.0285
C5orf23	88.6148	C5orf23	139.1019
C5orf24	1247.96	C5orf24	1601.6794
C5orf25	168.7164	C5orf25	200.0183
C5orf27	5.4175	C5orf27	18.6199
C5orf28	346.72	C5orf28	376.0497
C5orf30	1006.1073	C5orf30	543.264
C5orf32	732.1365	C5orf32	619.5692
C5orf33	694.9879	C5orf33	861.6283
C5orf34	47.5966	C5orf34	50.0183
C5orf35	114.1545	C5orf35	135.816
C5orf36	112.2197	C5orf36	112.0847
C5orf38	176.0688	C5orf38	61.3363
C5orf39	29.7963	C5orf39	23.0011
C5orf41	513.8886	C5orf41	795.1807
C5orf42	356.0072	C5orf42	558.598
C5orf43	1606.6759	C5orf43	1331.8729
C5orf44	521.9065	C5orf44	496.0241
C5orf45	152.8161	C5orf45	207.667
C5orf46	35.6007	C5orf46	12.7784
C5orf49	27.8614	C5orf49	29.9379
C5orf4	428.3695	C5orf4	1531.5809
C5orf51	1005.7203	C5orf51	1090.544
C5orf53	320.4065	C5orf53	423.8773
C5orf54	114.9284	C5orf54	128.5141
C5orf55	42.5661	C5orf55	74.1146
C5orf56	65.4434	C5orf56	61.1026
C5orf62	537.4935	C5orf62	595.4728
C5	350.2027	C5	300.8397
C6orf105	62.6882	C6orf105	155.8963
C6orf106	3059.34	C6orf106	2886.82
C6orf108	187.2907	C6orf108	144.2132
C6orf114	5.8045	C6orf114	9.1274
C6orf115	702.7272	C6orf115	519.1676
C6orf120	888.6094	C6orf120	971.3363
C6orf122	20.037	C6orf122	14.3118
removed	removed	C6orf123	15.3341
C6orf124	5.4175	C6orf124	27.3823
C6orf125	563.4742	C6orf125	466.0935
C6orf126	65.397	removed	removed
C6orf127	17.8004	C6orf127	5.4765
C6orf129	162.1381	C6orf129	67.5429
C6orf130	610.4827	C6orf130	479.3465
C6orf132	228.309	C6orf132	208.4702
C6orf134	263.5227	C6orf134	294.9982
C6orf136	196.1909	C6orf136	157.3567
C6orf138	17.4134	C6orf138	16.7945
C6orf141	155.9466	C6orf141	33.5889
removed	removed	C6orf142	6.5717
C6orf145	518.1452	C6orf145	1165.7539
removed	removed	C6orf147	5.1114
C6orf150	90.9366	C6orf150	39.0654
C6orf153	599.0208	C6orf153	542.1687
C6orf154	39.8573	C6orf154	16.0643
C6orf155	43.727	C6orf155	159.5473
C6orf15	5.4175	C6orf15	44.5418
C6orf162	70.4275	C6orf162	140.2373
