gene_id	TCGA-BH-A0B8-01A-21R-A056-07	gene_id	TCGA-BH-A0B8-11A-41R-A089-07
?|10357	90.1259	?|10357	63.5715
?|10431	1260.8809	?|10431	737.2063
?|155060	95.9665	?|155060	136.4667
?|390284	6.4284	?|390284	10.9746
?|57714	1582.2999	?|57714	698.5566
?|645851	7.8059	?|645851	10.9746
?|652919	143.2381	?|652919	68.5483
?|653553	354.0201	?|653553	101.6343
?|729884	44.0803	?|729884	5.7259
?|8225	411.4163	?|8225	448.5268
removed	removed	?|90288	29.1065
A1BG	254.8302	A1BG	25.2893
A2LD1	94.1666	A2LD1	140.7945
A2ML1	49.1312	A2ML1	9.066
A2M	9693.0793	A2M	30948.4003
A4GALT	353.1018	A4GALT	416.0802
AAAS	881.6065	AAAS	543.4809
AACS	1314.6038	AACS	1225.337
removed	removed	AADACL2	6.203
AADAC	13.7751	AADAC	190.8625
AADAT	9.6426	AADAT	70.6191
AAGAB	1304.9612	AAGAB	580.2219
AAK1	936.2477	AAK1	1494.9302
AAMP	2896.9037	AAMP	2167.7204
AARS2	420.1314	AARS2	265.7283
AARSD1	559.2691	AARSD1	499.1053
AARS	3372.6038	AARS	3891.2084
AASDHPPT	723.606	AASDHPPT	794.465
AASDH	183.668	AASDH	268.6389
AASS	67.0388	AASS	958.6067
AATF	2224.6788	AATF	861.744
AATK	318.664	AATK	22.4263
ABAT	209.8407	ABAT	237.6238
ABCA10	14.2343	ABCA10	350.7098
ABCA11P	50.55	ABCA11P	122.9441
ABCA12	13.3159	removed	removed
ABCA13	26.6319	ABCA13	9.066
ABCA17P	13.3159	removed	removed
ABCA1	247.0335	ABCA1	5185.7139
ABCA2	887.5757	ABCA2	1754.5032
ABCA3	2923.0764	ABCA3	1198.1391
ABCA4	7.3467	ABCA4	28.1522
ABCA5	607.4819	ABCA5	1072.1699
ABCA6	52.3454	ABCA6	999.165
ABCA7	137.751	ABCA7	381.2478
ABCA8	60.6104	ABCA8	4662.7699
ABCA9	51.8862	ABCA9	2091.3754
ABCB10	480.2918	ABCB10	574.0188
removed	removed	ABCB11	21.9492
ABCB1	40.8661	ABCB1	67.279
ABCB4	16.9893	ABCB4	16.2233
removed	removed	ABCB5	48.1928
ABCB6	1426.8295	ABCB6	864.2395
ABCB7	546.8715	ABCB7	634.1405
ABCB8	674.5208	ABCB8	407.9685
ABCB9	294.1994	ABCB9	34.6415
ABCC10	271.3695	ABCC10	262.913
ABCC11	78.5181	ABCC11	8.1117
ABCC1	1600.6667	ABCC1	1182.8701
ABCC2	8.2651	ABCC2	13.3604
ABCC3	626.7671	ABCC3	128.355
ABCC4	143.7202	ABCC4	82.548
ABCC5	3685.2986	ABCC5	517.2373
removed	removed	ABCC6P1	22.4263
ABCC6P2	12.8568	ABCC6P2	47.7156
ABCC6	16.9893	ABCC6	755.3382
ABCC8	736.5087	ABCC8	6.6802
ABCC9	264.4819	ABCC9	3550.0418
