gene_id	TCGA-BH-A0BS-01A-11R-A12P-07	gene_id	TCGA-BH-A0BS-11A-11R-A12P-07
C19orf46	168.3127	C19orf46	257.8244
C19orf47	251.1743	C19orf47	521.2613
C19orf48	338.2438	C19orf48	1107.0664
C19orf50	994.016	C19orf50	1171.6102
C19orf51	176.081	C19orf51	17.1883
C19orf52	154.3945	C19orf52	212.2228
C19orf53	853.8633	C19orf53	1092.3336
C19orf54	264.1215	C19orf54	258.8767
C19orf55	124.9398	C19orf55	82.0829
C19orf56	2003.5556	C19orf56	1967.1826
C19orf57	45.9623	C19orf57	96.4649
C19orf60	86.0984	C19orf60	158.904
C19orf61	375.1431	C19orf61	738.7458
C19orf62	985.2767	C19orf62	1067.4281
C19orf63	2685.5198	C19orf63	2032.7402
C19orf66	210.5268	C19orf66	506.3426
C19orf6	808.2247	C19orf6	1187.3954
C19orf70	712.4159	C19orf70	683.3224
removed	removed	C19orf71	7.3664
C19orf73	11.0051	C19orf73	17.5391
removed	removed	C19orf76	24.9055
C1D	183.8493	C1D	204.1548
C1GALT1C1	1191.7834	C1GALT1C1	614.92
C1GALT1	179.3178	C1GALT1	179.2493
C1QA	417.8687	C1QA	782.2427
C1QBP	2066.7829	C1QBP	1820.0929
C1QB	469.0098	C1QB	890.985
C1QC	559.3161	C1QC	929.9217
removed	removed	C1QL1	9.4711
removed	removed	C1QL2	57.8789
C1QL3	22.6575	C1QL3	22.45
C1QTNF1	176.4047	C1QTNF1	624.3911
C1QTNF2	22.3338	C1QTNF2	8.4188
C1QTNF3	42.7255	C1QTNF3	74.7165
removed	removed	C1QTNF4	6.3141
C1QTNF6	411.0714	C1QTNF6	105.2344
C1QTNF7	9.3867	C1QTNF7	78.5751
removed	removed	C1QTNF9B	26.3893
C1QTNF9	7.6129	C1QTNF9	37.8844
C1RL	1124.3645	C1RL	1226.4654
C1R	1272.0556	C1R	3625.6776
C1S	1028.9733	C1S	4543.7148
C1orf101	12.2998	C1orf101	12.6281
C1orf103	558.0214	C1orf103	467.241
C1orf104	20.4532	C1orf104	28.8448
C1orf106	17.4786	C1orf106	300.6197
C1orf107	665.1589	C1orf107	960.089
C1orf109	266.0635	C1orf109	564.0566
C1orf112	326.3227	C1orf112	194.8556
C1orf113	177.9162	C1orf113	117.4872
C1orf115	2454.4524	C1orf115	2901.3138
C1orf116	1134.816	C1orf116	1204.5837
C1orf122	433.3146	C1orf122	282.8842
C1orf123	450.2365	C1orf123	679.8145
C1orf124	293.2525	C1orf124	255.3689
C1orf126	16.3134	C1orf126	64.0597
C1orf127	30.7494	removed	removed
C1orf128	1098.5641	C1orf128	1274.0384
C1orf130	10.6814	C1orf130	216.783
C1orf131	251.8217	C1orf131	168.7259
C1orf133	22.9812	C1orf133	43.1461
C1orf135	41.1071	C1orf135	11.5758
C1orf144	2609.4943	C1orf144	3199.7657
C1orf151	1386.3141	C1orf151	793.4677
C1orf156	254.4111	C1orf156	242.0392
C1orf159	80.2722	C1orf159	110.1454
C1orf162	102.9297	C1orf162	117.8626
C1orf163	188.3808	C1orf163	260.6307
C1orf168	68.6198	C1orf168	47.7063
C1orf170	28.4837	C1orf170	25.9578
C1orf172	409.7767	C1orf172	568.266
C1orf173	11.0051	C1orf173	53.6696
C1orf174	318.8231	C1orf174	351.8338
removed	removed	C1orf175	33.675
C1orf182	7.1209	removed	removed
C1orf183	33.3389	C1orf183	88.3969
C1orf190	6.7357	C1orf190	91.4838
C1orf192	55.9963	C1orf192	28.4133
C1orf198	1106.3324	C1orf198	2269.5563
C1orf201	328.8571	C1orf201	278.5205
C1orf203	75.1063	C1orf203	181.7259
C1orf204	11.3805	C1orf204	46.7241
C1orf210	375.1431	C1orf210	293.6041
C1orf212	734.7497	C1orf212	576.334
C1orf213	20.0033	C1orf213	44.3563
C1orf216	608.8388	C1orf216	339.9073
C1orf21	5262.0378	C1orf21	2219.3945
C1orf220	6.1499	removed	removed
C1orf226	419.8107	C1orf226	1408.7385
C1orf228	9.7103	C1orf228	11.9266
C1orf229	11.6524	C1orf229	12.2774
C1orf25	945.4643	C1orf25	485.1308
C1orf26	299.7261	C1orf26	170.8306
C1orf27	1187.2519	C1orf27	673.5005
C1orf31	288.721	C1orf31	255.3689
C1orf35	174.1389	C1orf35	252.9135
C1orf38	65.7067	C1orf38	180.6525
C1orf43	7215.7599	C1orf43	3918.9309
C1orf50	146.6263	C1orf50	177.1447
C1orf51	41.4308	C1orf51	103.8313
C1orf52	169.6074	C1orf52	369.3729
C1orf53	43.0492	C1orf53	5.2617
C1orf54	81.5669	C1orf54	72.6118
C1orf55	889.7916	C1orf55	784.6982
C1orf56	187.2123	C1orf56	134.5142
C1orf57	771.649	C1orf57	584.402
C1orf58	814.3195	C1orf58	294.1864
C1orf59	202.9463	C1orf59	247.6517
removed	removed	C1orf61	6.3141
C1orf63	136.9159	C1orf63	323.0698
C1orf64	43.0492	C1orf64	540.9051
C1orf66	589.7418	C1orf66	717.3482
C1orf69	230.4589	C1orf69	269.751
removed	removed	C1orf70	7.0156
C1orf74	141.7711	C1orf74	93.6587
C1orf77	1065.2252	C1orf77	2199.0492
C1orf83	269.9477	C1orf83	211.1705
C1orf84	15.6304	C1orf84	10.5726
C1orf85	851.5976	C1orf85	717.3482
C1orf86	267.8923	C1orf86	255.6285
C1orf88	504.2908	C1orf88	351.1323
C1orf89	67.6488	C1orf89	66.2977
C1orf91	157.3044	C1orf91	145.5322
C1orf93	2459.9743	C1orf93	913.7402
removed	removed	C1orf95	68.7532
C1orf96	276.7449	C1orf96	562.3027
C1orf97	214.275	C1orf97	94.711
C1orf9	4086.1146	C1orf9	1336.1267
C20orf103	130.4423	C20orf103	9.1203
C20orf108	3375.3171	C20orf108	4765.3666
C20orf111	712.4159	C20orf111	967.1046
C20orf112	1046.4519	C20orf112	793.4677
C20orf114	77.6828	C20orf114	34.0258
C20orf117	618.2255	C20orf117	347.6245
removed	removed	C20orf118	17.048
C20orf11	1808.7142	C20orf11	2240.7922
C20orf12	140.1527	C20orf12	269.4002
C20orf132	33.9862	C20orf132	29.4692
C20orf134	24.2759	C20orf134	21.3977
C20orf135	17.8023	C20orf135	54.3711
C20orf151	100.6639	C20orf151	102.0774
C20orf160	34.6336	C20orf160	159.6056
removed	removed	C20orf165	8.7695
C20orf177	175.1391	C20orf177	180.6665
C20orf194	353.133	C20orf194	646.1395
C20orf195	6.1499	removed	removed
C20orf196	52.7596	C20orf196	104.1821
C20orf199	952.5852	C20orf199	2588.7675
removed	removed	C20orf203	14.7328
C20orf20	170.9021	C20orf20	255.0181
C20orf24	1099.2697	C20orf24	873.0145
C20orf26	21.0391	C20orf26	11.225
C20orf27	194.8543	C20orf27	513.8949
C20orf29	178.6704	C20orf29	213.6259
C20orf30	3090.8039	C20orf30	2704.5253
C20orf3	11705.1776	C20orf3	3202.6351
C20orf43	1750.1285	C20orf43	2428.4603
C20orf46	6.7972	C20orf46	14.0313
C20orf4	1038.0362	C20orf4	1363.4877
C20orf54	479.6912	C20orf54	284.8346
C20orf72	296.1656	C20orf72	741.2013
C20orf7	112.3164	C20orf7	166.972
C20orf94	59.5568	C20orf94	22.45
C20orf96	515.6195	C20orf96	398.137
C21orf119	59.8805	C21orf119	114.004
C21orf122	15.8602	C21orf122	44.5493
C21orf15	39.1651	C21orf15	41.3922
C21orf2	192.5886	C21orf2	405.1526
C21orf33	1563.3661	C21orf33	2206.0648
C21orf34	16.8313	C21orf34	96.8157
C21orf45	190.6465	C21orf45	193.6314
removed	removed	C21orf49	9.1203
C21orf56	95.8088	C21orf56	171.8829
C21orf57	198.4148	C21orf57	310.0908
C21orf58	37.223	C21orf58	40.6907
C21orf59	799.3009	C21orf59	690.0012
C21orf63	393.2691	C21orf63	875.9014
C21orf67	67.9724	C21orf67	75.0672
C21orf70	55.0253	C21orf70	149.4329
C21orf7	183.5256	C21orf7	71.9102
removed	removed	C21orf82	9.4711
removed	removed	C21orf88	139.2603
C21orf91	343.7463	C21orf91	513.8949
C22orf13	2842.643	C22orf13	1933.2375
C22orf23	21.0391	C22orf23	98.2188
C22orf25	457.0337	C22orf25	378.1425
C22orf26	7.4446	C22orf26	9.1203
C22orf27	91.9246	C22orf27	113.3024
C22orf28	2379.359	C22orf28	2257.6297
C22orf29	696.2838	C22orf29	830.6751
C22orf30	1433.5711	C22orf30	946.4085
C22orf32	878.4629	C22orf32	939.7436
C22orf36	116.2005	C22orf36	294.6565
C22orf39	412.6898	C22orf39	747.8662
C22orf40	83.509	C22orf40	199.5947
C22orf41	26.8653	removed	removed
C22orf46	393.2691	C22orf46	520.5597
C22orf9	1740.7418	C22orf9	1935.2615
C2CD2L	392.8807	C2CD2L	300.5671
C2CD2	527.2719	C2CD2	983.2405
C2CD3	787.8329	C2CD3	725.7669
C2CD4A	42.7255	removed	removed
removed	removed	C2CD4B	8.7695
removed	removed	C2CD4C	18.5914
C2CD4D	10.034	C2CD4D	11.225
C2orf14	13.5945	removed	removed
C2orf15	183.4544	C2orf15	99.2606
C2orf16	85.1274	C2orf16	47.0047
C2orf18	1907.7598	C2orf18	955.5288
C2orf24	1911.9676	C2orf24	1455.0417
removed	removed	C2orf27A	24.5547
C2orf28	2511.9668	C2orf28	1987.4789
C2orf29	1407.0295	C2orf29	802.9388
C2orf34	128.1766	C2orf34	91.2032
C2orf3	320.4415	C2orf3	479.5183
C2orf40	25.5706	C2orf40	902.21
C2orf42	185.7913	C2orf42	244.1439
C2orf43	275.4502	C2orf43	255.0181
C2orf44	237.2562	C2orf44	308.6877
C2orf47	360.9013	C2orf47	300.269
C2orf49	127.8529	C2orf49	84.1876
C2orf50	7.7683	C2orf50	11.225
C2orf54	65.383	C2orf54	14.0313
C2orf55	880.0812	C2orf55	398.137
C2orf56	186.115	C2orf56	215.0291
removed	removed	C2orf58	8.7695
C2orf60	187.7334	C2orf60	251.8611
C2orf63	40.7835	C2orf63	91.554
C2orf64	424.3422	C2orf64	557.041
C2orf65	237.9035	C2orf65	26.3086
C2orf67	185.5065	C2orf67	471.0715
C2orf68	672.9271	C2orf68	743.306
C2orf69	762.586	C2orf69	398.4878
removed	removed	C2orf70	5.6125
removed	removed	C2orf71	10.5234
C2orf72	19.097	C2orf72	603.3442
C2orf73	18.4497	C2orf73	15.7852
C2orf74	202.9463	C2orf74	478.1152
C2orf76	111.3453	C2orf76	66.6485
C2orf77	167.6653	C2orf77	150.1345
C2orf79	362.196	C2orf79	409.0112
C2orf7	405.8926	C2orf7	279.9236
C2orf81	49.8011	C2orf81	98.2048
removed	removed	C2orf82	51.5649
removed	removed	C2orf84	10.1727
C2orf86	91.2773	C2orf86	138.9095
C2orf88	14.2418	C2orf88	1007.4445
removed	removed	C2orf89	37.1828
C2	238.5962	C2	147.2475
C3AR1	184.4966	C3AR1	191.5267
C3orf10	4849.9953	C3orf10	3302.6078
C3orf14	869.7235	C3orf14	414.6237
C3orf15	88.3642	C3orf15	254.3166
C3orf17	783.3014	C3orf17	1102.857
C3orf18	313.9679	C3orf18	280.2744
C3orf19	297.1367	C3orf19	578.4387
C3orf1	1019.5866	C3orf1	1060.4125
C3orf21	256.6769	C3orf21	205.2072
C3orf23	525.6535	C3orf23	455.3144
C3orf26	286.1316	C3orf26	394.6292
C3orf31	145.9789	C3orf31	201.3486
C3orf32	5.8262	C3orf32	9.4711
C3orf33	132.0607	C3orf33	178.197
C3orf34	65.7067	C3orf34	44.9
removed	removed	C3orf35	11.225
C3orf36	32.6915	removed	removed
C3orf37	856.1291	C3orf37	1102.857
C3orf38	650.5901	C3orf38	365.8511
C3orf39	501.054	C3orf39	650.6997
removed	removed	C3orf42	17.8899
C3orf47	6.7972	C3orf47	34.7274
C3orf52	333.065	C3orf52	166.2704
C3orf54	18.4497	C3orf54	51.2141
C3orf55	8.4156	C3orf55	75.418
removed	removed	C3orf57	194.3329
C3orf58	113.6111	C3orf58	933.7803
C3orf59	52.4359	C3orf59	348.6768
C3orf62	100.3403	C3orf62	114.7055
C3orf63	2474.1094	C3orf63	1723.2106
C3orf64	269.624	C3orf64	1057.957
C3orf67	32.6915	C3orf67	15.4344
C3orf70	70.5619	C3orf70	105.2344
C3orf71	13.9441	C3orf71	56.4758
C3orf75	578.4131	C3orf75	478.466
C3	4121.0719	C3	8594.1467
C4A	66432.7951	C4A	9551.938
C4BPA	24.2759	C4BPA	73.3133
C4orf10	295.8937	C4orf10	336.8555
C4orf12	13.9182	C4orf12	39.6383
C4orf14	567.408	C4orf14	862.5717
C4orf19	5.6061	C4orf19	237.7667
C4orf21	40.7835	C4orf21	63.4915
C4orf23	234.9904	C4orf23	499.8636
C4orf27	382.5877	C4orf27	403.7495
C4orf29	136.5922	C4orf29	87.6954
C4orf31	232.0773	C4orf31	77.8735
C4orf32	1776.6701	C4orf32	922.9061
C4orf33	288.0737	C4orf33	172.5845
C4orf34	2946.4434	C4orf34	841.8756
C4orf36	18.126	C4orf36	19.6438
removed	removed	C4orf38	15.0836
removed	removed	C4orf39	45.9524
C4orf3	3360.1042	C4orf3	3503.6056
C4orf41	1175.5995	C4orf41	1081.8101
C4orf42	366.7275	C4orf42	364.462
C4orf43	242.1114	C4orf43	424.4456
C4orf46	157.955	C4orf46	150.1345
C4orf47	15.8602	C4orf47	11.9266
C4orf48	19.4207	removed	removed
removed	removed	C4orf49	40.3399
C4orf52	204.5647	C4orf52	467.241
C4orf7	46.6097	C4orf7	586.5067
C5AR1	71.2092	C5AR1	73.6641
C5orf13	608.5152	C5orf13	538.4496
C5orf15	2511.0961	C5orf15	1892.817
removed	removed	C5orf20	9.8219
C5orf22	705.9423	C5orf22	523.7168
C5orf23	48.5517	C5orf23	405.8542
C5orf24	1647.5224	C5orf24	1271.5829
C5orf25	145.9789	C5orf25	191.8775
removed	removed	C5orf27	47.0047
C5orf28	413.9845	C5orf28	444.0894
C5orf30	978.8031	C5orf30	457.4191
C5orf32	1087.8827	C5orf32	760.8451
C5orf33	811.1378	C5orf33	989.5546
C5orf34	32.3678	C5orf34	50.8633
C5orf35	230.1353	C5orf35	166.6212
C5orf36	183.2019	C5orf36	88.3969
C5orf38	1147.1158	C5orf38	73.6641
C5orf39	16.1839	C5orf39	37.1828
C5orf41	375.1431	C5orf41	557.041
C5orf42	1008.5815	C5orf42	435.6706
C5orf43	1508.9881	C5orf43	1267.0228
C5orf44	616.9243	C5orf44	469.279
C5orf45	111.423	C5orf45	260.6131
C5orf46	8.092	C5orf46	26.3086
C5orf49	19.097	C5orf49	41.0414
C5orf4	632.4674	C5orf4	1636.7465
C5orf51	1054.2202	C5orf51	880.8123
C5orf53	199.7095	C5orf53	313.5987
C5orf54	131.0897	C5orf54	159.9564
C5orf55	43.3729	C5orf55	72.6118
C5orf56	30.4452	C5orf56	75.4285
C5orf62	183.5256	C5orf62	802.2373
C5	147.5973	C5	443.3878
removed	removed	C6orf105	68.7532
C6orf106	3092.746	C6orf106	3282.964
C6orf108	145.6552	C6orf108	309.3893
C6orf114	16.8313	C6orf114	10.1727
C6orf115	1131.5793	C6orf115	357.0956
C6orf120	1333.3862	C6orf120	948.5588
C6orf122	8.092	C6orf122	10.9374
removed	removed	C6orf123	14.7328
C6orf124	9.063	C6orf124	41.0414
C6orf125	887.678	C6orf125	437.7753
C6orf126	13.2708	removed	removed
C6orf129	492.3147	C6orf129	142.7681
C6orf130	483.5754	C6orf130	696.2872
C6orf132	347.9542	C6orf132	281.6775
C6orf134	140.8001	C6orf134	248.0025
C6orf136	163.7812	C6orf136	192.9298
removed	removed	C6orf138	52.6172
C6orf141	22.6575	C6orf141	57.8789
removed	removed	C6orf142	5.9633
C6orf145	170.2548	C6orf145	1232.6462
C6orf150	45.315	C6orf150	32.2719
C6orf153	736.6918	C6orf153	543.0098
C6orf154	19.4207	C6orf154	22.0992
C6orf155	68.9435	C6orf155	109.093
removed	removed	C6orf15	30.1672
C6orf162	102.483	C6orf162	220.8906
removed	removed	C6orf163	6.6648
removed	removed	C6orf164	13.0806
C6orf165	77.7087	C6orf165	22.5973
C6orf167	216.8644	C6orf167	269.0494
C6orf168	113.6111	C6orf168	231.5158
C6orf170	164.1049	C6orf170	128.7368
C6orf174	5.5414	C6orf174	106.3499
C6orf182	153.7472	C6orf182	97.5173
C6orf192	304.2576	C6orf192	492.4972
C6orf1	455.739	C6orf1	332.1901
removed	removed	C6orf201	7.3734
C6orf203	301.0208	C6orf203	216.783
C6orf204	5.5025	C6orf204	31.2196
C6orf211	3607.3944	C6orf211	1143.8985
C6orf217	13.5945	C6orf217	14.0313
C6orf223	12.3192	removed	removed
C6orf225	152.4525	C6orf225	208.715
C6orf226	50.1701	C6orf226	45.2508
removed	removed	C6orf26	25.0458
C6orf27	24.9232	C6orf27	35.7797
C6orf35	432.4342	C6orf35	554.5855
removed	removed	C6orf41	8.4188
C6orf47	603.66	C6orf47	706.4739
C6orf48	731.5129	C6orf48	1807.5771
C6orf52	25.8943	C6orf52	20.3453
C6orf57	64.7357	C6orf57	107.6899
C6orf62	3524.6008	C6orf62	2735.2222
C6orf64	933.8118	C6orf64	772.0701
C6orf70	569.3501	C6orf70	388.3151
C6orf72	964.2376	C6orf72	824.6873
C6orf89	3291.8081	C6orf89	3078.4584
C6orf97	1001.1369	C6orf97	233.9713
C6	14.5655	C6	31.5703
C7orf10	28.16	C7orf10	61.036
C7orf11	264.4452	C7orf11	371.1268
C7orf13	80.2722	C7orf13	112.6009
C7orf23	168.5975	C7orf23	324.0695
C7orf25	370.6084	C7orf25	308.3685
C7orf26	453.1496	C7orf26	631.7575
C7orf27	595.8917	C7orf27	806.4467
C7orf28A	819.8771	C7orf28A	631.0559
C7orf28B	849.6555	C7orf28B	573.8785
C7orf29	117.4952	C7orf29	182.4064
C7orf30	214.9224	C7orf30	250.1072
C7orf31	13.5945	C7orf31	155.747
C7orf36	189.6755	C7orf36	216.4322
C7orf40	64.7357	C7orf40	443.7386
C7orf41	961.9718	C7orf41	3035.6631
C7orf42	3261.3823	C7orf42	3210.3523
C7orf43	197.7674	C7orf43	269.4002
C7orf44	735.7207	C7orf44	709.631
C7orf46	56.6437	C7orf46	143.1189
C7orf47	104.5481	C7orf47	126.6321
C7orf49	440.3837	C7orf49	579.8804
C7orf50	498.4646	C7orf50	743.6568
removed	removed	C7orf51	18.2406
removed	removed	C7orf53	10.8742
C7orf55	179.9651	C7orf55	248.7041
C7orf58	139.5053	C7orf58	412.1683
C7orf59	946.759	C7orf59	1140.3906
C7orf60	191.2939	C7orf60	438.8277
removed	removed	C7orf61	9.4711
C7orf63	208.1251	C7orf63	159.6056
C7orf64	155.3656	C7orf64	299.2166
C7orf68	495.5514	C7orf68	256.7721
C7orf70	479.6912	C7orf70	503.0207
C7	134.9738	C7	724.013
C8orf30A	494.9041	C8orf30A	505.8269
C8orf33	933.8118	C8orf33	1342.7916
C8orf34	1306.6892	C8orf34	22.8008
C8orf37	81.2432	C8orf37	79.9782
C8orf38	405.5689	C8orf38	244.4947
removed	removed	C8orf39	6.6648
C8orf40	614.0177	C8orf40	605.7996
C8orf41	293.7186	C8orf41	305.4605
C8orf42	52.4359	C8orf42	532.1355
C8orf44	19.2135	C8orf44	29.1394
C8orf45	27.189	C8orf45	55.7743
removed	removed	C8orf46	32.9735
removed	removed	C8orf47	52.2664
C8orf48	5.8262	C8orf48	21.0469
C8orf4	1182.0731	C8orf4	1423.1205
C8orf51	110.698	C8orf51	46.3032
C8orf55	679.4007	C8orf55	942.5499
C8orf58	138.5343	C8orf58	253.615
C8orf59	687.0848	C8orf59	544.4409
C8orf73	97.4272	C8orf73	48.0571
C8orf76	394.5638	C8orf76	249.0549
C8orf79	57.6147	C8orf79	419.1839
removed	removed	C8orf80	13.3297
C8orf83	552.8425	C8orf83	642.2809
C8orf84	3497.6675	C8orf84	323.0698
C8orf85	543.1322	C8orf85	537.0465
C9orf100	63.5316	C9orf100	44.2862
C9orf102	76.7344	C9orf102	122.3
C9orf103	114.9058	C9orf103	106.2868
C9orf109	31.7205	C9orf109	19.6438
C9orf110	174.1389	C9orf110	123.1243
C9orf114	396.4282	C9orf114	579.3367
C9orf116	316.881	C9orf116	45.9524
C9orf117	28.4837	C9orf117	8.7695
C9orf119	220.4249	C9orf119	382.3518
C9orf122	64.412	C9orf122	44.5493
C9orf123	561.5818	C9orf123	868.8858
C9orf125	17.1549	C9orf125	91.2032
removed	removed	C9orf128	8.7695
C9orf129	129.1379	C9orf129	76.765
C9orf130	49.8303	C9orf130	211.3108
C9orf140	237.2562	C9orf140	239.233
C9orf142	202.6226	C9orf142	238.8822
C9orf150	370.288	C9orf150	1203.1805
C9orf152	1329.6704	C9orf152	756.2849
C9orf156	223.338	C9orf156	316.4049
C9orf163	7.7683	removed	removed
C9orf167	54.0543	C9orf167	47.7063
C9orf169	15.3488	removed	removed
C9orf16	447.6471	C9orf16	531.0832
C9orf172	44.3439	removed	removed
C9orf21	223.6617	C9orf21	194.6837
C9orf23	268.0056	C9orf23	494.6019
C9orf25	346.9831	C9orf25	364.1112
C9orf30	131.9636	C9orf30	173.7175
C9orf37	63.1173	C9orf37	127.3337
C9orf3	87.8495	C9orf3	493.2479
C9orf40	55.6727	C9orf40	142.0665
C9orf41	206.1831	C9orf41	160.6579
C9orf43	9.3867	removed	removed
C9orf45	63.7646	C9orf45	197.1392
C9orf46	736.6918	C9orf46	406.5558
removed	removed	C9orf47	29.8585
C9orf5	2613.0548	C9orf5	2936.0411
C9orf64	895.2941	C9orf64	383.755
C9orf66	26.5416	C9orf66	42.0938
C9orf68	25.8943	C9orf68	75.418
C9orf69	604.9547	C9orf69	789.9599
C9orf6	563.8476	C9orf6	450.0527
C9orf72	160.5444	C9orf72	277.8189
C9orf78	1135.1397	C9orf78	1566.5902
C9orf7	1064.2542	C9orf7	629.6528
C9orf80	329.8282	C9orf80	307.9862
C9orf82	605.9257	C9orf82	524.7691
C9orf85	84.8037	C9orf85	210.4689
C9orf86	1602.2075	C9orf86	1331.5666
C9orf89	572.5869	C9orf89	220.9923
C9orf91	1557.8636	C9orf91	727.5208
C9orf93	77.6828	C9orf93	103.8313
C9orf95	653.5064	C9orf95	502.3191
C9orf96	7.4446	C9orf96	15.4344
C9orf98	176.4047	C9orf98	67.7008
C9orf9	259.9137	C9orf9	196.0869
CA11	209.4198	CA11	342.7135
CA12	12979.1753	CA12	2995.3232
CA13	163.4575	CA13	143.9607
CA14	9.063	CA14	23.8531
CA2	403.3031	CA2	681.9192
CA3	6.4736	CA3	66.1574
removed	removed	CA4	193.6314
CA5BP	140.4764	CA5BP	183.4587
CA5B	97.6214	CA5B	403.3356
removed	removed	CA6	209.7673
CA8	661.9221	CA8	547.2191
CA9	51.8953	removed	removed
CAB39L	1456.8759	CAB39L	2396.1884
CAB39	2101.6431	CAB39	2147.1335
CABC1	445.3684	CABC1	2156.6152
CABIN1	1941.746	CABIN1	1317.8861
CABLES1	844.153	CABLES1	949.2147
CABLES2	203.5936	CABLES2	179.2493
removed	removed	CABP1	19.9945
CABP4	16.0221	CABP4	20.6961
CABYR	173.1679	CABYR	124.5274
CACHD1	256.3532	CACHD1	1238.2587
CACNA1A	15.5366	CACNA1A	12.9789
CACNA1C	638.6172	CACNA1C	478.1152
CACNA1D	536.3349	CACNA1D	230.8142
CACNA1F	12.2998	CACNA1F	12.2774
removed	removed	CACNA1G	17.1883
CACNA1H	80.9196	CACNA1H	39.6383
removed	removed	CACNA1I	15.4344
CACNA2D1	30.4258	CACNA2D1	116.4595
CACNA2D2	791.7171	CACNA2D2	289.3947
removed	removed	CACNA2D3	9.4711
CACNA2D4	49.1991	CACNA2D4	47.0047
CACNB1	22.6575	CACNB1	106.6376
CACNB2	17.1549	CACNB2	16.4867
CACNB3	961.3245	CACNB3	411.4667
CACNB4	16.1839	CACNB4	138.5587
removed	removed	CACNG1	5.2617
CACNG4	136.2686	CACNG4	595.9778
CACYBP	1781.8489	CACYBP	1176.5211
CADM1	739.2812	CADM1	1156.5266
CADM2	89.0115	CADM2	18.5914
CADM3	18.0354	CADM3	178.1128
CADM4	851.9212	CADM4	964.6491
CADPS2	1635.2227	CADPS2	1002.8843
CAD	1214.4409	CAD	1338.2314
CALB2	18.7733	CALB2	344.1166
CALCOCO1	1178.5126	CALCOCO1	3149.6671
CALCOCO2	2930.5831	CALCOCO2	2436.8791
CALCRL	995.9581	CALCRL	428.3042
removed	removed	CALCR	10.8742
CALD1	2787.5173	CALD1	7424.6412
CALHM2	416.8976	CALHM2	408.6604
CALM1	7295.7084	CALM1	5819.8158
CALM2	19397.392	CALM2	10267.0236
CALM3	4397.4931	CALM3	4205.5194
CALML3	12.2998	CALML3	431.1105
CALML4	140.8001	CALML4	313.5987
CALML5	37.5467	CALML5	815.9178
removed	removed	CALN1	21.0469
CALR	17918.8296	CALR	10220.7205
CALU	3439.7291	CALU	2324.9798
CAMK1D	74.446	CAMK1D	39.2875
CAMK1G	5.1789	removed	removed
CAMK1	223.0985	CAMK1	332.3865
CAMK2B	10.6814	CAMK2B	91.2032
CAMK2D	1678.5956	CAMK2D	1200.0235
CAMK2G	505.2618	CAMK2G	768.5623
CAMK2N1	514.9721	CAMK2N1	1691.1176
CAMK2N2	9.7103	CAMK2N2	5.9633
CAMK4	6.1499	CAMK4	12.9789
CAMKK1	264.4452	CAMKK1	304.1276
CAMKK2	2035.6127	CAMKK2	1720.934
CAMLG	1038.3599	CAMLG	1250.536
CAMSAP1L1	1248.4271	CAMSAP1L1	1338.2314
CAMSAP1	794.9539	CAMSAP1	833.8076
CAMTA1	798.5143	CAMTA1	779.4365
CAMTA2	989.1608	CAMTA2	1135.4797
CAND1	4655.7884	CAND1	2990.4123
CAND2	87.7168	CAND2	146.2759
CANT1	5126.7403	CANT1	2081.1866
CANX	28926.8042	CANX	18299.9199
CAP1	14236.9891	CAP1	6000.4683
CAP2	233.0484	CAP2	573.5277
CAPG	5333.247	CAPG	3001.6373
CAPN10	99.3692	CAPN10	207.3259
removed	removed	CAPN11	133.9985
CAPN12	51.5878	CAPN12	117.0312
CAPN13	2456.7181	CAPN13	212.9244
CAPN1	6060.2284	CAPN1	4520.1704
CAPN2	13194.4214	CAPN2	3793.0003
CAPN3	7.1209	CAPN3	134.9912
CAPN5	78.6538	CAPN5	161.7103
CAPN6	36.252	CAPN6	276.065
CAPN7	1197.286	CAPN7	1046.3812
CAPN8	826.3506	CAPN8	108.3915
CAPN9	113.2874	CAPN9	33.675
CAPNS1	13227.7603	CAPNS1	6457.8874
CAPRIN1	12851.6461	CAPRIN1	6529.4468
CAPRIN2	101.635	CAPRIN2	236.4267
CAPS2	24.9232	CAPS2	59.9836
CAPSL	59.2331	removed	removed
CAPS	674.8692	CAPS	152.59
CAPZA1	5842.393	CAPZA1	2105.3905
CAPZA2	3173.9892	CAPZA2	2457.926
removed	removed	CAPZA3	13.6805
CAPZB	3628.7572	CAPZB	4014.6942
CARD10	403.9505	CARD10	670.6942
CARD11	21.3628	CARD11	109.4438
CARD14	154.0709	CARD14	248.3533
CARD16	96.7798	CARD16	105.2344
CARD6	76.0644	CARD6	248.0025
CARD8	463.1836	CARD8	677.3591
CARD9	7.4446	CARD9	74.0149
CARHSP1	874.0058	CARHSP1	983.7176
CARKD	987.2188	CARKD	1457.4971
CARM1	918.599	CARM1	759.7927
CARNS1	27.1987	CARNS1	29.1149
CARS2	679.514	CARS2	556.6166
CARS	1070.0804	CARS	768.5588
CASC1	78.0065	CASC1	41.0414
CASC2	60.2042	CASC2	67.35
CASC3	2517.8933	CASC3	3246.132
CASC4	2805.967	CASC4	2544.9198
CASC5	224.6327	CASC5	13.6805
CASD1	4770.3705	CASD1	735.238
CASKIN1	6.7325	CASKIN1	17.5496
CASKIN2	664.3302	CASKIN2	1072.7074
CASK	820.2008	CASK	1275.4415
