gene_id	TCGA-BH-A0BS-01A-11R-A12P-07	gene_id	TCGA-BH-A0BS-11A-11R-A12P-07
ACOT4	722.4499	ACOT4	95.7633
ACOT7	230.1353	ACOT7	256.0705
ACOT8	297.5639	ACOT8	317.4362
ACOT9	436.9657	ACOT9	356.394
ACOX1	1791.2356	ACOX1	1536.6229
ACOX2	594.597	ACOX2	176.0923
ACOX3	1602.5312	ACOX3	759.0912
ACP1	1343.5885	ACP1	1371.5557
ACP2	2442.4763	ACP2	776.981
ACP5	1340.6754	ACP5	766.4576
ACP6	230.7826	ACP6	248.3533
ACPL2	693.3189	ACPL2	494.2511
ACPP	19.097	ACPP	36.4813
ACRBP	18.7733	ACRBP	15.4344
removed	removed	ACRC	12.2774
removed	removed	ACR	5.9633
removed	removed	ACSBG1	7.3664
removed	removed	ACSBG2	5.9633
ACSF2	1061.9884	ACSF2	938.3405
ACSF3	159.8971	ACSF3	471.4503
ACSL1	1650.7592	ACSL1	6234.4396
ACSL3	4857.1163	ACSL3	4317.4187
ACSL4	363.4907	ACSL4	1054.0984
ACSL5	350.8673	ACSL5	1141.7938
ACSM1	17.1549	ACSM1	27.7117
ACSM3	26.6128	ACSM3	264.4963
ACSM5	6.7972	ACSM5	123.8259
ACSS1	2679.7325	ACSS1	1296.8392
ACSS2	1240.3352	ACSS2	1851.074
ACSS3	205.5357	ACSS3	380.9487
removed	removed	ACTA1	10.8742
ACTA2	4438.7135	ACTA2	40555.6975
removed	removed	ACTBL2	5.9633
ACTB	74267.334	ACTB	83659.2824
ACTG1	75919.0642	ACTG1	61103.3306
ACTG2	274.8029	ACTG2	8258.7996
ACTL6A	1376.6037	ACTL6A	1110.5742
ACTN1	3008.9133	ACTN1	9546.5184
ACTN4	7867.525	ACTN4	13258.2673
ACTR10	1342.2938	ACTR10	1196.8665
ACTR1A	3686.6956	ACTR1A	2197.2953
ACTR1B	1247.4561	ACTR1B	1731.1067
ACTR2	9859.8878	ACTR2	4531.3954
ACTR3B	97.1035	ACTR3B	528.6277
ACTR3C	74.446	ACTR3C	41.3922
ACTR3	4755.1576	ACTR3	2964.1037
ACTR5	143.3895	ACTR5	274.3111
ACTR6	695.2609	ACTR6	755.9341
ACTR8	605.6021	ACTR8	528.2769
ACVR1B	1331.2888	ACVR1B	1363.1369
ACVR1C	21.6864	ACVR1C	367.9698
ACVR1	1046.7756	ACVR1	1054.4492
ACVR2A	124.9398	ACVR2A	638.4223
ACVR2B	410.4241	ACVR2B	353.5877
ACVRL1	255.0585	ACVRL1	448.6495
ACY1	824.0849	ACY1	763.6513
ACY3	5.8262	ACY3	32.6227
ACYP1	33.0152	ACYP1	75.418
ACYP2	125.5872	ACYP2	135.7524
ADAL	180.9362	ADAL	206.2595
ADAM10	2409.7848	ADAM10	1800.5614
removed	removed	ADAM11	17.1883
ADAM12	402.9795	ADAM12	170.8306
ADAM15	7810.6806	ADAM15	2642.437
ADAM17	705.6187	ADAM17	821.1795
ADAM19	90.9536	ADAM19	76.1196
ADAM21	9.7103	removed	removed
ADAM22	9.063	ADAM22	38.9367
removed	removed	ADAM23	37.5336
ADAM28	40.4598	ADAM28	98.5696
ADAM32	7.1209	ADAM32	36.1305
ADAM33	11.3287	ADAM33	239.9345
ADAM6	941.9847	ADAM6	76375.701
ADAM8	700.7635	ADAM8	78.5751
ADAM9	390.6797	ADAM9	1178.275
ADAMDEC1	12.2998	ADAMDEC1	37.1828
ADAMTS10	19.097	ADAMTS10	95.7633
ADAMTS12	164.4286	ADAMTS12	49.1094
ADAMTS13	18.126	ADAMTS13	57.5282
ADAMTS14	16.8313	removed	removed
ADAMTS15	3837.206	ADAMTS15	246.2486
ADAMTS16	18.126	ADAMTS16	102.0774
ADAMTS17	6.1499	ADAMTS17	40.6907
removed	removed	ADAMTS18	36.1305
ADAMTS19	22.3338	ADAMTS19	5.2617
ADAMTS1	423.6949	ADAMTS1	1974.549
ADAMTS2	99.6929	ADAMTS2	209.7673
ADAMTS3	8.7393	ADAMTS3	50.5125
ADAMTS4	314.6153	ADAMTS4	35.7797
ADAMTS5	213.304	ADAMTS5	2482.4807
ADAMTS6	18.4497	ADAMTS6	8.4188
ADAMTS7	51.4648	ADAMTS7	18.2406
ADAMTS8	37.5467	ADAMTS8	58.9313
ADAMTS9	223.6617	ADAMTS9	496.3558
ADAMTSL1	25.5706	ADAMTSL1	77.8735
ADAMTSL2	175.7573	ADAMTSL2	38.2352
ADAMTSL3	235.3141	ADAMTSL3	63.4915
ADAMTSL4	83.1853	ADAMTSL4	168.0243
ADAMTSL5	116.2005	ADAMTSL5	22.45
ADAP1	215.8157	ADAP1	125.436
ADAP2	164.7522	ADAP2	112.2501
ADARB1	213.6277	ADARB1	501.9683
removed	removed	ADARB2	9.4711
ADAR	10848.4012	ADAR	6179.0161
ADAT1	336.3017	ADAT1	340.9596
ADAT2	32.3678	ADAT2	115.7579
ADAT3	12.9471	ADAT3	19.293
ADA	52.7596	ADA	64.193
ADCK1	154.3945	ADCK1	204.8564
ADCK2	1545.5638	ADCK2	905.0163
ADCK4	584.563	ADCK4	674.9036
ADCK5	72.1803	ADCK5	103.4805
ADCY1	1652.3776	ADCY1	407.9589
ADCY2	11.0051	ADCY2	272.2064
ADCY3	386.8765	ADCY3	735.3853
ADCY4	58.5858	ADCY4	328.3315
ADCY5	15.8602	ADCY5	432.8644
ADCY6	2280.3135	ADCY6	2219.7453
ADCY7	107.4612	ADCY7	299.9182
ADCY9	1451.6971	ADCY9	722.6099
removed	removed	ADCYAP1R1	11.225
ADC	55.349	ADC	193.9822
ADD1	6617.2788	ADD1	6186.0317
ADD2	15.8602	ADD2	48.7586
ADD3	1495.07	ADD3	1797.0536
removed	removed	ADH1A	49.611
ADH1B	568.7027	ADH1B	8154.2667
ADH1C	10.6814	ADH1C	115.7579
ADH5	2353.7885	ADH5	3458.7056
ADHFE1	27.8363	ADHFE1	224.8509
ADI1	928.9567	ADI1	2205.0125
ADIPOQ	573.8816	ADIPOQ	7151.7332
ADIPOR1	5640.094	ADIPOR1	2399.6962
ADIPOR2	5226.1095	ADIPOR2	2356.9009
ADK	316.5574	ADK	401.6448
ADM2	391.327	ADM2	106.2868
ADM	129.795	ADM	261.683
ADNP2	826.027	ADNP2	788.9076
ADNP	3736.8657	ADNP	2759.2473
ADORA1	22.6575	ADORA1	901.1577
ADORA2A	71.5329	ADORA2A	62.4391
ADORA2B	7.4446	ADORA2B	87.6954
ADORA3	79.6249	ADORA3	68.0516
ADO	687.169	ADO	665.0817
ADPGK	938.3433	ADPGK	893.0897
ADPRHL1	226.8985	ADPRHL1	116.8102
ADPRHL2	650.2697	ADPRHL2	851.6975
ADPRH	260.561	ADPRH	397.4354
removed	removed	ADRA1A	10.8742
ADRA1B	59.2331	ADRA1B	8.7695
ADRA2A	84.1564	ADRA2A	791.3631
ADRA2B	25.2469	ADRA2B	43.8477
ADRA2C	5.1789	ADRA2C	48.0571
removed	removed	ADRB1	17.5391
ADRB2	44.3439	ADRB2	266.9447
ADRBK1	1096.9457	ADRBK1	1328.7603
ADRBK2	546.3689	ADRBK2	775.5779
ADRM1	929.9277	ADRM1	1093.3859
ADSL	903.7098	ADSL	1071.6375
ADSSL1	90.6299	ADSSL1	111.1977
ADSS	2964.893	ADSS	1262.8134
AEBP1	2577.1265	AEBP1	2655.0652
AEBP2	483.2517	AEBP2	954.1257
AEN	247.6139	AEN	710.3325
AES	5883.5001	AES	5935.9245
AFAP1L1	174.4626	AFAP1L1	223.4478
AFAP1L2	1948.2196	AFAP1L2	1118.6422
AFAP1	1212.4891	AFAP1	1331.9068
AFF1	2688.7955	AFF1	2018.7475
AFF2	21.0391	AFF2	28.7641
AFF3	4476.1469	AFF3	1650.4269
AFF4	4623.4206	AFF4	3066.8826
AFG3L1	53.0832	AFG3L1	273.6096
AFG3L2	1422.757	AFG3L2	1676.1778
AFMID	928.3093	AFMID	802.2373
removed	removed	AFP	284.4838
AFTPH	2705.9504	AFTPH	2074.5218
AG2	93.543	AG2	79.2766
AGAP11	16.8313	AGAP11	112.4009
AGAP1	528.5666	AGAP1	532.1355
AGAP2	19.6376	AGAP2	89.4107
AGAP3	405.5689	AGAP3	1493.6276
AGAP4	30.4258	AGAP4	195.7361
AGAP5	16.582	AGAP5	54.2133
AGAP6	25.5706	AGAP6	103.4805
AGAP7	7.1209	AGAP7	31.5703
removed	removed	AGAP8	33.675
AGA	1242.6009	AGA	600.1871
AGBL2	18.126	AGBL2	10.1727
removed	removed	AGBL3	5.6125
AGBL4	13.5945	AGBL4	7.0156
AGBL5	760.9741	AGBL5	933.8084
removed	removed	AGER	12.6281
AGFG1	1733.2972	AGFG1	1780.5669
AGFG2	249.2323	AGFG2	532.8371
AGGF1	934.4592	AGGF1	744.7091
AGK	442.7919	AGK	626.4958
AGL	1406.7058	AGL	1194.7618
AGMAT	46.286	AGMAT	17.8899
AGPAT1	1440.5237	AGPAT1	1604.664
AGPAT2	785.8909	AGPAT2	1724.4418
AGPAT3	3070.4122	AGPAT3	1493.9784
AGPAT4	33.3389	AGPAT4	219.2384
AGPAT5	423.6949	AGPAT5	662.6262
AGPAT6	2064.4201	AGPAT6	1548.7003
AGPAT9	19.097	AGPAT9	91.9048
AGPHD1	25.8943	AGPHD1	55.0727
AGPS	5310.9132	AGPS	879.76
AGR2	2111.6771	AGR2	1462.4081
AGR3	3569.5241	AGR3	246.2486
AGRN	4242.1275	AGRN	4401.2554
AGTPBP1	364.4617	AGTPBP1	349.3784
AGTR1	2471.2837	AGTR1	225.5525
AGTRAP	1040.6257	AGTRAP	632.1083
AGT	202.2989	AGT	17.8899
AGXT2L1	93.543	removed	removed
AGXT2L2	237.6867	AGXT2L2	491.5571
AHCTF1	1851.7634	AHCTF1	1408.0369
AHCYL1	7487.9733	AHCYL1	3757.9222
AHCYL2	522.7404	AHCYL2	550.0254
AHCY	3423.2215	AHCY	4266.5554
AHDC1	440.2025	AHDC1	1201.7774
AHI1	391.0034	AHI1	336.7502
AHNAK2	1873.4499	AHNAK2	478.8167
AHNAK	55254.4718	AHNAK	56687.6931
AHRR	12.6235	AHRR	21.0469
AHR	717.9184	AHR	2483.1822
AHSA1	1519.6695	AHSA1	1881.592
AHSA2	142.4184	AHSA2	228.3588
AIDA	2119.1767	AIDA	859.1796
AIF1L	385.5008	AIF1L	2591.9245
AIF1	209.7435	AIF1	300.269
AIFM1	1324.8152	AIFM1	720.856
AIFM2	401.3611	AIFM2	866.7811
AIFM3	12.3742	AIFM3	14.382
AIG1	1027.6785	AIG1	969.2093
AIM1L	11.9761	removed	removed
AIM1	3022.8315	AIM1	2253.0696
removed	removed	AIM2	11.5758
AIMP1	1134.1687	AIMP1	1266.3212
AIMP2	367.103	AIMP2	287.3848
AIP	493.2857	AIP	951.3194
removed	removed	AJAP1	5.6125
AK1	577.7657	AK1	550.0254
AK2	2165.084	AK2	2177.3008
AK3L1	465.773	AK3L1	440.2308
AK3	1355.8883	AK3	1564.8363
AK5	1692.19	AK5	1757.4153
AK7	13.9182	AK7	26.3086
AKAP10	479.0439	AKAP10	538.4496
AKAP11	1731.0314	AKAP11	1525.198
AKAP12	319.7941	AKAP12	932.728
AKAP13	3341.0072	AKAP13	3501.8517
AKAP1	1703.8425	AKAP1	3226.1374
AKAP2	271.4496	AKAP2	1323.7476
AKAP3	12.2998	AKAP3	36.1305
AKAP5	600.7469	AKAP5	92.9571
AKAP6	47.5807	AKAP6	344.8182
AKAP7	84.8037	AKAP7	221.6939
AKAP8L	421.1054	AKAP8L	917.2936
AKAP8	327.8861	AKAP8	784.3474
AKAP9	3032.8655	AKAP9	1833.8857
AKD1	177.3757	AKD1	181.0033
AKIRIN1	1653.996	AKIRIN1	1198.9712
AKIRIN2	455.4153	AKIRIN2	673.8513
removed	removed	AKNAD1	5.6125
AKNA	186.4387	AKNA	606.5012
AKR1A1	3980.2718	AKR1A1	1969.9889
removed	removed	AKR1B10	6.6648
AKR1B1	216.5408	AKR1B1	929.2202
AKR1C1	144.3605	AKR1C1	1161.7883
AKR1C2	88.0405	AKR1C2	1293.6822
AKR1C3	293.2525	AKR1C3	1042.8734
AKR1E2	34.3099	AKR1E2	38.9367
AKR7A2	1716.7896	AKR7A2	1426.6283
AKR7A3	795.9249	AKR7A3	382.0011
AKR7L	22.0101	AKR7L	31.9211
AKT1S1	756.7598	AKT1S1	738.7458
