gene_id	TCGA-BH-A18N-01A-11R-A12D-07	gene_id	TCGA-BH-A18N-11A-43R-A12D-07
C9orf172	5.8339	removed	removed
C9orf21	108.442	C9orf21	247.3545
C9orf23	389.1558	C9orf23	271.8254
C9orf24	5.8339	C9orf24	7.9365
C9orf25	487.6458	C9orf25	577.0503
C9orf30	152.2306	C9orf30	171.5013
C9orf37	233.3562	C9orf37	119.3783
C9orf3	293.9876	C9orf3	528.9881
C9orf40	59.3686	C9orf40	138.2275
C9orf41	168.1537	C9orf41	166.0053
C9orf43	29.1695	C9orf43	9.9206
C9orf45	140.3569	C9orf45	218.254
C9orf46	435.827	C9orf46	278.7698
C9orf47	72.9856	C9orf47	18.8757
C9orf5	1378.8607	C9orf5	3479.828
C9orf64	662.663	C9orf64	400.463
C9orf66	50.7893	C9orf66	39.3981
C9orf68	80.6452	C9orf68	124.6693
C9orf69	653.3974	C9orf69	598.545
C9orf6	236.7879	C9orf6	452.7116
C9orf72	325.326	C9orf72	407.7381
C9orf78	1154.4269	C9orf78	1320.7672
C9orf7	1024.022	C9orf7	425.5952
C9orf80	229.9245	C9orf80	254.2989
C9orf82	298.2155	C9orf82	345.8995
C9orf85	85.4496	C9orf85	130.6217
C9orf86	1282.4296	C9orf86	1392.8571
C9orf89	609.4715	C9orf89	215.6085
C9orf91	472.8895	C9orf91	856.8122
C9orf93	66.9183	C9orf93	85.6481
C9orf95	381.2629	C9orf95	416.336
C9orf96	10.6383	C9orf96	15.5423
C9orf98	44.269	C9orf98	52.9101
C9orf9	131.7776	C9orf9	172.619
CA11	796.4997	CA11	208.0026
CA12	25971.5168	CA12	5985.119
CA13	72.7728	CA13	166.6501
CA14	20.2471	CA14	9.9206
CA2	432.3953	CA2	1324.0741
CA3	13.3631	CA3	173.6276
removed	removed	CA4	397.4868
CA5BP	135.8957	CA5BP	187.8307
CA5B	136.6198	CA5B	400.4497
CA8	7.2066	CA8	507.6058
CAB39L	735.0721	CAB39L	1680.8862
CAB39	1508.9224	CAB39	2173.2804
CABC1	556.2766	CABC1	1817.7116
CABIN1	1548.0439	CABIN1	1667.328
CABLES1	1899.4509	CABLES1	1215.2778
CABLES2	168.1537	CABLES2	169.6429
CABP1	8.9224	CABP1	28.7698
CABP4	167.2684	CABP4	39.6462
CABYR	269.046	CABYR	142.8571
CACHD1	54.221	CACHD1	1359.4577
CACNA1A	10.2951	CACNA1A	16.2037
CACNA1B	5.1476	removed	removed
CACNA1C	104.324	CACNA1C	380.7639
CACNA1D	1276.9389	CACNA1D	338.6243
CACNA1F	68.9774	CACNA1F	20.5026
removed	removed	CACNA1G	41.336
CACNA1H	170.8991	CACNA1H	167.6587
CACNA1I	291.6953	CACNA1I	25.463
CACNA2D1	25.3946	CACNA2D1	298.6111
CACNA2D2	386.4104	CACNA2D2	175.5952
removed	removed	CACNA2D3	14.2196
CACNA2D4	111.1874	CACNA2D4	64.8148
CACNB1	171.9286	CACNB1	136.2434
CACNB2	81.3315	CACNB2	70.7672
CACNB3	296.4997	CACNB3	328.373
CACNB4	23.6788	CACNB4	75.3968
CACNG1	71.7227	CACNG1	5.291
CACNG4	5539.4647	CACNG4	490.4101
CACYBP	1237.8174	CACYBP	794.6429
CADM1	320.5216	CADM1	888.2275
CADM2	101.9218	CADM2	63.4921
removed	removed	CADM3	183.082
CADM4	493.1366	CADM4	609.4577
CADPS2	880.2334	CADPS2	1240.0794
CADPS	5.4907	CADPS	5.291
CAD	699.7255	CAD	1123.3466
CALB2	55.5937	CALB2	1053.2407
CALCOCO1	2402.1963	CALCOCO1	3428.5714
CALCOCO2	2159.2313	CALCOCO2	2928.5714
CALCRL	932.7385	CALCRL	702.0503
removed	removed	CALCR	32.0767
CALD1	3738.8469	CALD1	12739.418
CALHM1	14.07	removed	removed
CALHM2	679.8216	CALHM2	821.4286
CALM1	5514.7563	CALM1	8620.3704
CALM2	7855.1819	CALM2	8933.2011
CALM3	5748.4557	CALM3	3566.4683
CALML3	7.5498	CALML3	244.0476
CALML4	180.8511	CALML4	314.4841
removed	removed	CALML5	12.2354
removed	removed	CALN1	17.8571
CALR	10952.9856	CALR	10228.836
CALU	2846.9458	CALU	3299.9339
CAMK1D	99.1764	CAMK1D	67.791
CAMK1	300.5285	CAMK1	435.4729
CAMK2B	783.116	CAMK2B	74.0741
CAMK2D	232.3267	CAMK2D	1076.3889
CAMK2G	417.639	CAMK2G	913.6905
CAMK2N1	1733.6994	CAMK2N1	992.3942
CAMK2N2	9.952	removed	removed
CAMKK1	64.173	CAMKK1	255.9524
CAMKK2	1006.5202	CAMKK2	1935.8466
CAMLG	1000.3432	CAMLG	854.4974
CAMP	9.6088	removed	removed
CAMSAP1L1	901.8531	CAMSAP1L1	1578.0423
CAMSAP1	554.221	CAMSAP1	960.6481
CAMTA1	263.2121	CAMTA1	462.963
CAMTA2	1282.7728	CAMTA2	1508.5979
CAND1	3563.4866	CAND1	2603.1746
CAND2	34.3171	CAND2	149.4709
CANT1	4549.4166	CANT1	1466.6005
CANX	27822.2375	CANX	15493.7169
CAP1	5195.6074	CAP1	6168.6508
CAP2	960.8785	CAP2	718.254
CAPG	3118.394	CAPG	1659.3915
CAPN10	229.8387	CAPN10	242.8472
CAPN11	5.4907	CAPN11	67.1296
CAPN12	52.4125	CAPN12	79.2394
CAPN13	350.7207	CAPN13	206.0185
CAPN1	3239.1901	CAPN1	3676.918
CAPN2	2653.7406	CAPN2	5462.3016
CAPN3	76.7399	CAPN3	170.7837
CAPN5	67.6047	CAPN5	265.873
removed	removed	CAPN6	182.209
CAPN7	972.5463	CAPN7	1099.8677
CAPN8	1383.6651	CAPN8	521.4947
removed	removed	CAPN9	14.5503
CAPNS1	5608.0988	CAPNS1	5808.8624
CAPRIN1	6153.3974	CAPRIN1	6168.6508
CAPRIN2	432.7385	CAPRIN2	380.6217
CAPS2	129.7186	CAPS2	69.1138
CAPS	1281.057	CAPS	163.3598
CAPZA1	1912.4914	CAPZA1	2131.2831
CAPZA2	1750.1716	CAPZA2	2195.1058
removed	removed	CAPZA3	14.881
CAPZB	2842.1414	CAPZB	3428.9021
CARD10	253.9465	CARD10	671.9577
CARD11	78.5861	CARD11	76.7196
CARD14	139.3274	CARD14	217.5926
CARD16	35.3466	CARD16	117.7249
CARD6	96.7742	CARD6	396.4947
CARD8	886.0673	CARD8	948.082
CARD9	27.4537	CARD9	48.6111
CARHSP1	993.0199	CARHSP1	1086.7989
CARKD	1290.3226	CARKD	1058.2011
CARM1	976.3212	CARM1	765.5423
CARNS1	23.6788	CARNS1	29.7619
CARS2	660.3569	CARS2	530.043
CARS	934.7941	CARS	778.7698
CASC1	49.7598	CASC1	67.4603
CASC2	50.7893	CASC2	45.3042
CASC3	4259.094	CASC3	3285.7143
CASC4	4590.2539	CASC4	2840.9392
CASC5	152.0247	CASC5	19.1799
CASD1	1987.989	CASD1	1210.3175
CASKIN1	56.8909	CASKIN1	11.2996
CASKIN2	996.1805	CASKIN2	1338.7467
CASK	1480.0961	CASK	1224.8677
CASP10	105.0103	CASP10	456.0185
removed	removed	CASP12	6.6138
CASP1	109.4715	CASP1	404.1005
CASP2	989.0185	CASP2	917.6587
CASP3	643.4454	CASP3	542.6587
CASP4	246.3967	CASP4	873.0159
CASP6	350.3775	CASP6	314.8148
CASP7	632.8071	CASP7	805.8862
CASP8AP2	582.0178	CASP8AP2	711.9709
CASP8	399.7941	CASP8	538.6905
CASP9	391.558	CASP9	301.2566
CASQ1	256.6918	CASQ1	31.4153
CASQ2	5.4907	CASQ2	428.5714
CASS4	14.07	CASS4	21.4947
CAST	4918.14	CAST	6185.9226
CASZ1	1388.8126	CASZ1	1268.5185
CATSPER1	14.4132	removed	removed
CATSPER2P1	52.1448	CATSPER2P1	32.5463
CATSPER2	37.4056	CATSPER2	49.2063
CATSPER3	24.3651	CATSPER3	10.2513
CATSPERB	30.8854	CATSPERB	46.627
CATSPERG	50.103	CATSPERG	54.2328
CAT	1631.4345	CAT	5593.9153
CAV1	1012.3542	CAV1	13804.2328
CAV2	324.2965	CAV2	3861.1111
CBARA1	743.3082	CBARA1	1074.0741
CBFA2T2	848.3185	CBFA2T2	975.1984
CBFA2T3	20.5903	CBFA2T3	166.336
CBFB	525.7378	CBFB	788.6905
CBLB	594.7152	CBLB	503.6376
CBLC	381.9492	CBLC	197.0899
CBLL1	658.545	CBLL1	658.3995
removed	removed	CBLN1	13.5582
CBLN2	6694.2347	removed	removed
CBLN3	187.3713	CBLN3	90.9392
CBLN4	62.1139	CBLN4	140.5423
CBL	896.7056	CBL	1277.7778
CBR1	299.801	CBR1	564.4411
CBR3	51.4756	CBR3	176.2566
CBR4	878.1743	CBR4	550.5952
CBS	40.4942	CBS	52.2487
CBWD1	446.1222	CBWD1	795.6349
CBWD2	345.5731	CBWD2	382.6058
CBWD3	563.8298	CBWD3	293.3896
removed	removed	CBWD5	15.4729
CBWD6	187.7145	CBWD6	159.7222
CBX1	1922.1002	CBX1	1445.4365
CBX2	30.8854	CBX2	54.5635
CBX3	4699.3823	CBX3	2277.7778
CBX4	557.3095	CBX4	298.6111
CBX5	4334.9348	CBX5	3263.8889
CBX6	361.0158	CBX6	851.1905
CBX7	1214.825	CBX7	2498.6772
CBX8	94.7152	CBX8	58.8624
CBY1	453.5415	CBY1	584.7817
CC2D1A	868.2224	CC2D1A	993.0556
CC2D1B	756.3487	CC2D1B	801.5873
CC2D2A	291.0089	CC2D2A	447.4206
removed	removed	CC2D2B	8.9286
CCAR1	1838.3665	CCAR1	1375.9921
removed	removed	CCBE1	136.9048
CCBL1	70.0069	CCBL1	95.2381
CCBL2	617.2718	CCBL2	602.5265
CCBP2	33.6307	CCBP2	161.3757
CCDC101	476.6644	CCDC101	248.6772
CCDC102A	102.6081	CCDC102A	164.6825
CCDC102B	66.5752	CCDC102B	105.1587
CCDC103	351.7502	CCDC103	171.627
CCDC104	799.245	CCDC104	817.4603
CCDC106	411.1187	CCDC106	204.0344
CCDC107	189.5848	CCDC107	622.7381
CCDC109A	326.0124	CCDC109A	404.1005
CCDC109B	296.4997	CCDC109B	174.6032
CCDC110	36.3761	CCDC110	60.1852
CCDC111	391.9526	CCDC111	276.4683
CCDC112	234.3857	CCDC112	202.0503
CCDC113	246.7399	CCDC113	304.8942
CCDC114	63.1434	CCDC114	26.7857
CCDC115	892.5875	CCDC115	843.9153
removed	removed	CCDC116	5.6217
CCDC117	1696.9801	CCDC117	810.8466
CCDC11	118.0508	CCDC11	30.754
CCDC120	344.8868	CCDC120	430.5556
CCDC121	86.8222	CCDC121	143.5185
CCDC122	110.501	CCDC122	78.0423
CCDC123	490.7344	CCDC123	481.1508
CCDC124	715.1682	CCDC124	541.9974
CCDC125	1152.0247	CCDC125	397.1561
CCDC126	261.8394	CCDC126	234.7884
CCDC127	640.0137	CCDC127	363.7566
removed	removed	CCDC129	155.754
CCDC12	612.2169	CCDC12	351.1905
CCDC130	574.8113	CCDC130	386.9048
CCDC132	406.3143	CCDC132	770.5026
CCDC134	50.4461	CCDC134	55.8862
CCDC136	60.7412	CCDC136	69.4444
CCDC137	512.6973	CCDC137	279.7619
CCDC138	29.8559	CCDC138	37.3677
CCDC13	22.6493	CCDC13	13.8889
removed	removed	CCDC141	27.4471
CCDC142	146.7982	CCDC142	142.004
CCDC144A	102.0522	CCDC144A	73.3763
CCDC144B	91.9458	CCDC144B	65.5919
CCDC146	86.8222	CCDC146	185.5159
removed	removed	CCDC147	16.5344
CCDC148	27.4537	CCDC148	30.754
CCDC149	597.1174	CCDC149	737.4339
CCDC14	1091.2835	CCDC14	969.5767
CCDC150	29.8559	CCDC150	9.9206
CCDC151	9.6088	CCDC151	5.291
CCDC152	33.243	CCDC152	170.7077
CCDC153	46.6712	CCDC153	6.6138
CCDC154	16.129	CCDC154	7.9365
CCDC157	46.7296	CCDC157	51.9709
CCDC158	62.4571	CCDC158	75.0661
CCDC159	258.7509	CCDC159	196.7593
CCDC15	99.8627	CCDC15	104.1667
CCDC160	21.2766	CCDC160	50.9259
CCDC163P	9.952	CCDC163P	11.2434
CCDC17	5.4907	CCDC17	11.5741
CCDC18	46.6815	CCDC18	62.1693
CCDC19	31.5717	CCDC19	15.873
CCDC21	856.5546	CCDC21	298.9418
CCDC22	688.4283	CCDC22	429.6627
CCDC23	252.5738	CCDC23	283.3995
CCDC24	634.5813	CCDC24	199.752
CCDC25	336.3075	CCDC25	1037.6984
CCDC28A	442.3473	CCDC28A	526.7857
CCDC28B	43.2395	CCDC28B	32.4074
CCDC30	148.593	CCDC30	128.6376
CCDC34	169.8696	CCDC34	304.8942
CCDC36	5.4907	CCDC36	51.918
CCDC39	56.28	CCDC39	24.8016
CCDC3	214.1386	CCDC3	3345.2381
CCDC40	306.4516	CCDC40	150.463
CCDC41	249.1421	CCDC41	185.8466
CCDC43	625.9437	CCDC43	388.5582
CCDC45	483.871	CCDC45	563.4921
CCDC46	59.7117	CCDC46	392.1958
CCDC47	4315.3741	CCDC47	2913.0291
CCDC48	150.9952	CCDC48	79.3651
CCDC50	1739.5333	CCDC50	3059.8545
CCDC51	435.4839	CCDC51	200.3968
CCDC52	1073.4386	CCDC52	452.381
CCDC53	417.639	CCDC53	398.4788
CCDC55	1168.1537	CCDC55	934.5238
CCDC56	1051.4928	CCDC56	630.9094
CCDC57	668.4969	CCDC57	540.0132
CCDC58	183.5964	CCDC58	116.0714
CCDC59	261.4962	CCDC59	424.9339
CCDC61	211.3933	CCDC61	136.5741
CCDC62	7.2066	CCDC62	5.291
CCDC64B	1144.1318	CCDC64B	483.7963
CCDC64	472.8895	CCDC64	69.7751
CCDC65	14.07	CCDC65	27.4471
CCDC66	635.6555	CCDC66	473.1548
removed	removed	CCDC68	126.9841
CCDC69	1282.0865	CCDC69	3213.2937
CCDC6	1535.3466	CCDC6	2447.4206
CCDC71	620.1098	CCDC71	492.0635
CCDC72	1515.0995	CCDC72	704.3651
CCDC73	36.8634	CCDC73	44.7851
CCDC74A	412.8346	CCDC74A	381.6138
CCDC74B	325.326	CCDC74B	195.1058
CCDC75	57.9959	CCDC75	155.754
CCDC76	182.9925	CCDC76	297.3181
CCDC77	143.1023	CCDC77	159.7222
CCDC78	99.5196	CCDC78	9.5899
CCDC7	55.5045	CCDC7	40.0132
CCDC80	682.2237	CCDC80	7850.1984
removed	removed	CCDC81	11.2434
CCDC82	118.0508	CCDC82	544.6429
CCDC84	140.3569	CCDC84	113.0952
CCDC85A	317.3439	CCDC85A	263.1581
CCDC85B	150.9952	CCDC85B	161.045
CCDC85C	554.1421	CCDC85C	581.2996
CCDC86	462.9307	CCDC86	427.9067
CCDC87	19.5607	CCDC87	17.5265
CCDC88A	278.9979	CCDC88A	831.6799
CCDC88B	135.5525	CCDC88B	136.9048
CCDC88C	2013.3837	CCDC88C	912.037
removed	removed	CCDC89	33.0688
CCDC8	545.9849	CCDC8	1008.9286
CCDC90A	237.4743	CCDC90A	333.0026
CCDC90B	522.687	CCDC90B	656.369
CCDC91	724.0906	CCDC91	524.1402
CCDC92	800.2745	CCDC92	1024.4709
CCDC93	642.4159	CCDC93	1130.6217
CCDC94	414.5504	CCDC94	294.9735
CCDC96	133.4935	CCDC96	75.7275
CCDC97	1060.7412	CCDC97	901.455
CCDC99	266.987	CCDC99	147.8175
CCDC9	474.6054	CCDC9	367.0635
CCHCR1	230.6108	CCHCR1	310.8466
removed	removed	CCIN	12.5661
CCL11	5.4907	removed	removed
removed	removed	CCL13	129.9603
CCL14	17.5944	CCL14	2243.6772
CCL15	31.9973	removed	removed
removed	removed	CCL16	5.9524
removed	removed	CCL18	76.7196
removed	removed	CCL19	182.5397
CCL21	105.6966	CCL21	1050.9259
CCL22	17.8449	CCL22	35.3836
removed	removed	CCL23	7.2751
CCL26	5.1476	removed	removed
CCL28	30.199	CCL28	889.881
CCL2	117.0213	CCL2	1542.328
CCL3L1	56.7261	CCL3L1	24.4544
CCL3L3	7.1036	CCL3L3	6.2996
CCL3	49.7598	CCL3	222.5529
CCL4L2	65.2025	CCL4L2	65.1455
CCL4	47.0144	CCL4	122.6852
CCL5	90.2539	CCL5	242.7249
CCL8	15.0995	CCL8	243.7169
CCM2	494.5093	CCM2	692.1296
removed	removed	CCNA1	17.5265
CCNA2	209.4063	CCNA2	29.2758
CCNB1IP1	226.4928	CCNB1IP1	623.0159
CCNB1	726.836	CCNB1	135.9127
CCNB2	184.6259	CCNB2	24.4709
CCNB3	42.8964	CCNB3	16.8651
CCNC	876.4585	CCNC	1044.3122
CCND1	14537.0213	CCND1	5938.955
CCND2	337.6802	CCND2	1661.045
CCND3	795.127	CCND3	1350.8598
CCNDBP1	1576.5271	CCNDBP1	1267.1958
CCNE1	18.8744	CCNE1	14.5503
CCNE2	136.5717	CCNE2	29.7619
CCNF	466.3693	CCNF	194.4444
CCNG1	2281.4001	CCNG1	2938.8228
CCNG2	3533.2876	CCNG2	2571.4286
CCNH	769.0769	CCNH	621.9709
removed	removed	CCNI2	15.2778
CCNI	5594.0288	CCNI	6557.5397
CCNJL	72.0659	CCNJL	103.5053
CCNJ	160.9472	CCNJ	197.7513
CCNK	614.3548	CCNK	760.9623
CCNL1	1199.3823	CCNL1	2378.3069
CCNL2	2024.022	CCNL2	2076.3889
removed	removed	CCNO	67.791
CCNT1	252.2306	CCNT1	291.0053
CCNT2	706.2457	CCNT2	915.6746
CCNYL1	195.9506	CCNYL1	570.1058
CCNY	1253.2601	CCNY	1785.0529
CCPG1	3116.4791	CCPG1	2849.1138
removed	removed	CCR10	12.8968
CCR1	97.4605	CCR1	273.4788
CCR2	19.9039	CCR2	69.4444
removed	removed	CCR4	5.9524
CCR5	65.5456	CCR5	93.9153
CCR6	42.7076	CCR6	36.1905
CCR7	5.4907	CCR7	36.045
CCRL1	16.129	CCRL1	398.4788
CCRL2	52.8483	CCRL2	109.7884
CCRN4L	67.2615	CCRN4L	161.045
CCS	360.3294	CCS	333.9947
CCT2	3780.0275	CCT2	2103.1746
CCT3	5316.0604	CCT3	3362.7646
CCT4	2681.1942	CCT4	2965.9392
CCT5	5653.0542	CCT5	2721.5608
CCT6A	2918.3253	CCT6A	2437.5
CCT6B	50.7893	CCT6B	78.0423
CCT6P1	71.7227	CCT6P1	89.9471
CCT7	4570.35	CCT7	3348.2143
CCT8	3267.3301	CCT8	2355.4894
CD101	12.3542	CD101	24.8016
CD109	5194.547	CD109	1103.4921
CD14	858.6136	CD14	2523.4788
CD151	3678.792	CD151	7090.2778
CD160	11.6678	CD160	15.2116
CD163L1	38.092	CD163L1	295.9656
CD163	297.5292	CD163	1351.5212
removed	removed	CD164L2	29.7619
CD164	8103.6376	CD164	9980.8201
CD177	7.2066	CD177	6.6138
CD180	49.4166	CD180	122.0238
removed	removed	CD1C	24.4709
CD1D	33.2876	CD1D	29.1005
removed	removed	CD1E	9.5899
CD200R1	6.5202	CD200R1	59.1931
CD200	236.1016	CD200	797.2884
CD207	10.2951	CD207	19.1799
CD209	9.6088	CD209	995.0397
CD226	5.1476	CD226	19.5106
CD22	67.6047	CD22	107.8042
removed	removed	CD244	17.1958
CD247	7.2066	CD247	40.0132
CD248	603.2944	CD248	1391.2037
CD24	644.4749	CD24	7264.5503
CD274	7.8929	CD274	31.0847
CD276	2023.3356	CD276	1473.2143
CD27	9.4578	CD27	80.7011
CD28	22.3061	CD28	102.8439
CD2AP	1339.396	CD2AP	1386.9048
CD2BP2	3739.8765	CD2BP2	1250.6614
CD2	16.8154	CD2	99.537
CD300A	118.0508	CD300A	181.8783
CD300C	22.9925	CD300C	15.2116
CD300LB	10.6383	CD300LB	10.582
CD300LF	19.5607	CD300LF	20.8333
removed	removed	CD300LG	1515.5423
CD302	708.3047	CD302	2302.1462
CD320	330.4736	CD320	553.2407
CD33	40.8373	CD33	77.381
CD34	1872.6836	CD34	3756.2831
CD36	142.7591	CD36	24030.0926
CD37	129.3754	CD37	147.4868
removed	removed	CD38	51.5873
CD3D	6.1771	CD3D	34.7222
CD3EAP	480.8751	CD3EAP	436.8386
CD3E	18.8744	CD3E	110.7804
removed	removed	CD3G	17.8571
removed	removed	CD40LG	27.1164
CD40	144.8181	CD40	387.8968
CD44	29990.7344	CD44	9807.209
CD46	5135.5525	CD46	6486.7725
CD47	3410.4324	CD47	2509.2593
CD48	71.7227	CD48	114.7487
CD4	597.1174	CD4	1252.6455
CD52	18.8744	CD52	90.6085
CD53	327.0419	CD53	474.2063
CD55	715.5113	CD55	1614.418
CD58	127.6596	CD58	206.6799
CD59	9885.0377	CD59	20061.8386
CD5	10.6383	CD5	60.1852
CD63	8156.4859	CD63	8751.6534
removed	removed	CD68	2141.5344
CD69	47.3576	CD69	92.2619
CD6	30.199	CD6	61.8386
CD72	12.011	CD72	29.1005
CD74	18845.9163	CD74	21577.0503
removed	removed	CD79A	132.6058
CD79B	17.1585	CD79B	70.1058
CD7	5.4907	CD7	36.045
CD80	16.129	CD80	5.9524
CD81	6327.0419	CD81	13326.0582
CD82	219.6294	CD82	1087.6323
CD83	306.1084	CD83	251.6534
CD84	64.5161	CD84	106.1508
CD86	157.8586	CD86	136.5741
CD8A	15.0995	CD8A	97.8836
removed	removed	CD8B	29.4312
CD93	2472.5463	CD93	5400.1323
CD96	7.8929	CD96	73.4127
CD97	507.8929	CD97	872.0238
CD99L2	398.0782	CD99L2	1721.8915
CD99	1067.9478	CD99	2476.5212
CD9	10886.0673	CD9	4304.2328
CDADC1	197.6664	CDADC1	253.6376
CDAN1	612.5601	CDAN1	439.8148
CDA	40.4942	CDA	35.3836
CDC123	678.9602	CDC123	696.0913
CDC14A	222.0316	CDC14A	549.2725
CDC14B	444.0631	CDC14B	968.5847
CDC14C	6.8634	CDC14C	11.9048
CDC16	1713.4523	CDC16	1454.6958
CDC20	202.814	CDC20	22.4868
CDC23	1102.6081	CDC23	757.6058
CDC25A	74.1249	CDC25A	10.9127
CDC25B	687.0281	CDC25B	648.1481
CDC25C	58.6822	removed	removed
CDC26	76.1839	CDC26	80.6647
CDC27	1828.7577	CDC27	1525.463
CDC34	722.3747	CDC34	498.3466
CDC37L1	278.3116	CDC37L1	456.3492
CDC37	2098.8332	CDC37	2411.3757
CDC40	589.9108	CDC40	724.2063
CDC42BPA	1345.2299	CDC42BPA	2235.119
CDC42BPB	3180.5079	CDC42BPB	4239.418
CDC42BPG	257.3782	CDC42BPG	649.1402
CDC42EP1	554.9073	CDC42EP1	1763.5582
CDC42EP2	103.6376	CDC42EP2	627.9762
CDC42EP3	467.7419	CDC42EP3	1223.8757
CDC42EP4	2989.3617	CDC42EP4	2527.4471
CDC42EP5	25.3946	CDC42EP5	90.9392
CDC42SE1	2553.2773	CDC42SE1	2628.7434
CDC42SE2	1502.7454	CDC42SE2	1393.8492
CDC42	4724.0906	CDC42	4926.5873
CDC45	72.4091	CDC45	5.291
CDC5L	1001.7159	CDC5L	1193.7831
CDC6	265.6143	CDC6	41.0053
CDC73	795.127	CDC73	1086.6402
CDC7	193.5484	CDC7	58.5317
CDCA2	19.5607	CDCA2	9.2593
CDCA3	89.0357	CDCA3	25.8201
CDCA4	301.9904	CDCA4	244.709
CDCA5	209.3342	CDCA5	36.3757
CDCA7L	525.3294	CDCA7L	539.4478
CDCA7	12.3542	CDCA7	69.7751
CDCA8	155.1132	CDCA8	37.6984
CDCP1	1225.4633	CDCP1	569.1138
removed	removed	CDH10	8.5979
CDH11	835.9643	CDH11	994.3783
CDH12	5.1476	CDH12	17.5265
CDH13	607.4125	CDH13	913.0291
removed	removed	CDH19	79.3651
CDH1	11184.9691	CDH1	9281.0847
removed	removed	CDH20	19.8413
removed	removed	CDH22	9.5899
CDH23	50.7893	CDH23	474.8677
CDH24	92.9993	CDH24	96.5608
removed	removed	CDH26	22.8175
CDH2	54.9073	CDH2	40.0132
CDH3	596.0879	CDH3	1430.8862
removed	removed	CDH4	12.8968
CDH5	979.7529	CDH5	3073.082
CDH6	114.9623	CDH6	116.4021
removed	removed	CDHR1	8.9286
CDHR3	75.2368	CDHR3	81.1475
CDHR4	18.5312	removed	removed
CDIPT	4138.9842	CDIPT	1856.1508
CDK10	320.1784	CDK10	548.2804
CDK11A	522.5189	CDK11A	542.7116
CDK11B	842.2718	CDK11B	681.4947
CDK12	1781.057	CDK12	1458.3333
CDK13	1183.5964	CDK13	1180.8862
CDK14	97.4605	CDK14	966.6005
removed	removed	CDK15	10.9127
CDK16	1487.3027	CDK16	1560.8466
CDK17	1173.3013	CDK17	878.6376
CDK18	397.7351	CDK18	344.9074
CDK19	468.6994	CDK19	651.2831
CDK1	322.9238	CDK1	45.9656
CDK20	221.3452	CDK20	175.9259
CDK2AP1	1989.0185	CDK2AP1	1638.2275
CDK2AP2	644.1318	CDK2AP2	624.0079
CDK2	897.3919	CDK2	542.6587
CDK3	58.5999	CDK3	143.211
CDK4	1920.3844	CDK4	1434.5238
CDK5R1	68.291	CDK5R1	27.1164
CDK5RAP1	467.0556	CDK5RAP1	436.5079
CDK5RAP2	1051.4756	CDK5RAP2	1685.5159
CDK5RAP3	2708.3047	CDK5RAP3	1889.881
CDK5	238.1606	CDK5	132.2751
CDK6	137.2684	CDK6	737.1032
CDK7	730.954	CDK7	335.9788
CDK8	140.3569	CDK8	139.5503
CDK9	1075.8408	CDK9	1057.8704
CDKAL1	209.3342	CDKAL1	297.2884
CDKL1	11.6678	CDKL1	32.7381
CDKL2	21.6198	CDKL2	43.3201
CDKL3	77.0384	CDKL3	41.2963
CDKL5	28.14	CDKL5	101.8519
CDKN1A	2109.1283	CDKN1A	3469.5767
CDKN1B	1739.1901	CDKN1B	1706.0185
CDKN1C	79.6156	CDKN1C	730.4894
CDKN2AIPNL	590.9403	CDKN2AIPNL	249.6693
CDKN2AIP	615.9918	CDKN2AIP	556.2169
CDKN2A	58.3391	CDKN2A	52.9101
CDKN2BAS	7.2066	removed	removed
CDKN2B	225.4633	CDKN2B	875.3307
CDKN2C	179.1352	CDKN2C	643.5185
CDKN2D	182.5669	CDKN2D	91.2698
CDKN3	54.9073	CDKN3	12.5661
CDNF	39.8078	CDNF	59.1931
CDO1	766.987	CDO1	583.0026
CDON	925.8751	CDON	1097.2222
removed	removed	CDR1	74.5866
CDR2L	407.0007	CDR2L	428.5714
CDR2	791.6953	CDR2	668.9815
CDRT15P	9.952	CDRT15P	5.291
CDRT4	192.3473	CDRT4	355.9656
CDS1	996.2251	CDS1	780.0926
CDS2	1503.0885	CDS2	973.8757
CDSN	89.2244	CDSN	39.6825
CDT1	79.6156	CDT1	28.1085
CDV3	9340.4255	CDV3	5137.2354
CDYL2	68.291	CDYL2	140.2116
CDYL	468.7714	CDYL	592.2619
CEACAM19	22.3061	CEACAM19	65.4762
CEACAM1	34.3171	CEACAM1	658.7302
CEACAM21	11.3246	CEACAM21	30.754
removed	removed	CEACAM4	5.6217
CEACAM5	16.129	CEACAM5	5.9524
CEACAM6	65.8888	CEACAM6	34.7222
CEBPA	204.1867	CEBPA	2351.5212
CEBPB	563.8298	CEBPB	880.6217
CEBPD	481.8119	CEBPD	853.5053
CEBPG	1298.9019	CEBPG	1049.6032
CEBPZ	1173.3013	CEBPZ	1231.4815
CECR1	623.5415	CECR1	652.4471
CECR2	270.7618	CECR2	43.6508
CECR5	524.3651	CECR5	363.7566
CECR6	28.14	CECR6	21.4947
CECR7	7.2066	CECR7	205.0265
CELF1	2160.2608	CELF1	2280.754
CELF2	163.0062	CELF2	1978.5053
CELF4	123.8847	CELF4	7.9365
removed	removed	CELF5	39.3519
CELF6	118.6616	CELF6	81.9015
CELSR1	8994.1661	CELSR1	4278.1085
CELSR2	4407.3439	CELSR2	3253.9683
CELSR3	111.1462	CELSR3	34.9901
CEL	19.2176	CEL	13.2275
CEMP1	273.8504	CEMP1	137.6753
