gene_id	TCGA-BH-A18N-01A-11R-A12D-07	gene_id	TCGA-BH-A18N-11A-43R-A12D-07
ACOT11	281.0295	ACOT11	25.4001
ACOT13	474.65	ACOT13	482.0966
ACOT1	761.8394	ACOT1	872.3545
ACOT2	612.5601	ACOT2	669.6429
ACOT4	331.1599	ACOT4	166.0053
ACOT6	5.1476	ACOT6	5.9524
ACOT7	491.4207	ACOT7	227.1825
ACOT8	221.2148	ACOT8	210.9755
ACOT9	180.1647	ACOT9	583.0026
ACOX1	1138.9568	ACOX1	2279.9471
ACOX2	518.8744	ACOX2	373.6772
ACOX3	392.2443	ACOX3	704.3651
ACP1	1172.2718	ACP1	968.5847
ACP2	810.2231	ACP2	725.5291
ACP5	750.1716	ACP5	720.8995
ACP6	250.5148	ACP6	208.3333
ACPL2	451.9561	ACPL2	458.9947
ACPP	31.2286	ACPP	43.6508
ACRBP	13.7268	ACRBP	21.164
ACRC	15.7859	ACRC	21.4947
removed	removed	ACR	6.2831
ACSBG1	5.4907	ACSBG1	12.2354
ACSF2	1540.8373	ACSF2	1000
ACSF3	279.6843	ACSF3	340.9392
ACSL1	1111.1874	ACSL1	10487.1032
ACSL3	2589.9108	ACSL3	3090.6085
ACSL4	345.5731	ACSL4	1828.373
ACSL5	251.8874	ACSL5	901.7857
ACSM1	8.2361	ACSM1	35.3836
ACSM3	40.0172	ACSM3	82.5298
ACSM5	17.8449	ACSM5	304.2328
ACSS1	426.2183	ACSS1	696.7593
ACSS2	1134.8662	ACSS2	2277.1164
ACSS3	2126.9732	ACSS3	660.0529
ACTA1	13.0405	ACTA1	97.5529
ACTA2	5260.4942	ACTA2	24108.3003
removed	removed	ACTBL2	7.6058
ACTB	37171.9286	ACTB	69174.9339
ACTC1	22.9925	ACTC1	26.1243
ACTG1	60857.5841	ACTG1	48477.5132
ACTG2	126.6301	ACTG2	5865.0794
ACTL6A	962.5944	ACTL6A	713.6243
ACTN1	3145.8476	ACTN1	9381.6138
ACTN4	8700.1613	ACTN4	11576.1839
ACTR10	959.5058	ACTR10	1026.455
ACTR1A	2186.3418	ACTR1A	2488.0952
ACTR1B	831.1599	ACTR1B	1302.5794
ACTR2	4948.5244	ACTR2	4565.8069
ACTR3B	112.2169	ACTR3B	138.8889
ACTR3C	23.6788	ACTR3C	33.0688
ACTR3	2303.7062	ACTR3	2662.3677
ACTR5	133.1503	ACTR5	170.9656
ACTR6	654.0837	ACTR6	579.0344
ACTR8	620.7962	ACTR8	436.1772
ACVR1B	2855.1819	ACVR1B	1156.4153
ACVR1C	5.4907	ACVR1C	1175.9259
ACVR1	677.7625	ACVR1	1134.2593
ACVR2A	191.4894	ACVR2A	480.8201
ACVR2B	512.3542	ACVR2B	353.1746
ACVRL1	409.4029	ACVRL1	1000.9921
ACY1	1073.7817	ACY1	556.0615
removed	removed	ACY3	8.9286
ACYP1	81.3315	ACYP1	59.1931
ACYP2	108.7852	ACYP2	154.4312
ADAL	274.1935	ADAL	203.7037
ADAM10	2616.6781	ADAM10	1743.7169
ADAM11	7.5498	ADAM11	12.8968
ADAM12	713.1091	ADAM12	511.5741
ADAM15	1605.7241	ADAM15	2995.2811
ADAM17	505.1476	ADAM17	737.4339
ADAM19	241.9355	ADAM19	108.1349
removed	removed	ADAM21	5.291
ADAM22	28.4832	ADAM22	141.5344
ADAM23	11.6678	ADAM23	43.3201
ADAM28	46.6712	ADAM28	208.9947
ADAM29	166.0947	ADAM29	15.5423
removed	removed	ADAM32	20.8333
ADAM33	19.9039	ADAM33	732.791
ADAM6	353.7303	ADAM6	29738.3069
ADAM8	149.6225	ADAM8	62.5
ADAM9	788.6067	ADAM9	2101.8519
ADAMTS10	273.164	ADAMTS10	168.3201
ADAMTS12	248.7989	ADAMTS12	174.9339
ADAMTS13	104.6671	ADAMTS13	80.0265
ADAMTS14	79.2725	ADAMTS14	8.2672
ADAMTS15	34.6603	ADAMTS15	389.5503
ADAMTS16	27.4537	ADAMTS16	42.6587
ADAMTS17	16.4722	ADAMTS17	32.7381
removed	removed	ADAMTS18	247.3545
ADAMTS19	759.4372	removed	removed
ADAMTS1	635.2093	ADAMTS1	8434.1931
ADAMTS2	138.641	ADAMTS2	507.9365
ADAMTS3	14.4132	ADAMTS3	205.3571
ADAMTS4	343.1709	ADAMTS4	991.7328
ADAMTS5	216.5408	ADAMTS5	1871.3624
ADAMTS6	61.4276	ADAMTS6	19.8413
ADAMTS7	161.6335	ADAMTS7	66.4683
ADAMTS8	6.5202	ADAMTS8	99.537
ADAMTS9	428.9636	ADAMTS9	927.5794
ADAMTSL1	86.1359	ADAMTSL1	262.5661
ADAMTSL2	334.5916	ADAMTSL2	102.8439
ADAMTSL3	172.2718	ADAMTSL3	242.0635
ADAMTSL4	45.2986	ADAMTSL4	645.8333
ADAMTSL5	63.8298	ADAMTSL5	48.9418
ADAP1	313.2189	ADAP1	148.4656
ADAP2	224.0906	ADAP2	288.0291
ADARB1	464.6534	ADARB1	945.4365
ADARB2	23.3356	removed	removed
ADAR	7037.4056	ADAR	6888.8889
ADAT1	987.3027	ADAT1	321.4286
ADAT2	50.103	ADAT2	150.7937
ADAT3	27.7968	ADAT3	27.4471
ADA	77.8998	ADA	78.0423
ADCK1	141.3864	ADCK1	196.4286
ADCK2	851.0638	ADCK2	583.9947
ADCK4	789.2931	ADCK4	451.0582
ADCK5	140.3569	ADCK5	85.9788
ADCY10	15.0995	removed	removed
ADCY1	7265.9574	ADCY1	2071.7593
ADCY2	8.2361	ADCY2	46.2963
ADCY3	1029.0014	ADCY3	1388.244
