gene_id	TCGA-AC-A23H-01A-11R-A157-07	gene_id	TCGA-AC-A23H-11A-12R-A157-07
ACOT8	511.4097	ACOT8	178.0624
ACOT9	519.5269	ACOT9	672.6899
ACOX1	2367.5162	ACOX1	1854.1909
removed	removed	ACOX2	328.8308
ACOX3	745.6669	ACOX3	527.4175
ACP1	1843.9336	ACP1	1385.4549
ACP2	1103.6227	ACP2	671.2586
ACP5	1212.527	ACP5	752.4823
ACP6	677.2298	ACP6	274.0853
ACPL2	498.9958	ACPL2	594.3287
ACPP	149.0739	ACPP	30.772
ACRBP	10.7119	ACRBP	18.2485
ACRC	11.0094	ACRC	30.4142
removed	removed	ACSBG1	28.6251
removed	removed	ACSBG2	7.5141
ACSF2	711.4483	ACSF2	529.2065
ACSF3	276.4264	ACSF3	165.6678
ACSL1	1157.7773	ACSL1	5452.366
ACSL3	9395.8194	ACSL3	3137.311
removed	removed	ACSL4	2550.1387
removed	removed	ACSL5	1145.7197
removed	removed	ACSM1	31.1298
ACSM3	26.6042	ACSM3	202.5655
ACSM5	9.2241	ACSM5	109.491
ACSS1	597.1881	ACSS1	639.771
removed	removed	ACSS2	1910.7255
removed	removed	ACSS3	523.8393
ACTA1	7.4388	ACTA1	27.1938
ACTA2	6625.6014	ACTA2	34869.6985
removed	removed	ACTBL2	10.7344
removed	removed	ACTB	80465.1579
removed	removed	ACTC1	11.0922
ACTG1	57793.3497	ACTG1	53620.1807
removed	removed	ACTG2	8815.8154
ACTL6A	1745.7413	ACTL6A	919.2235
ACTL8	751.6179	removed	removed
ACTN1	5628.5055	ACTN1	7866.5355
ACTN4	7918.5271	ACTN4	8207.2565
ACTR10	1119.393	ACTR10	1439.1269
ACTR1A	1818.6417	ACTR1A	2345.4692
ACTR1B	1649.6318	ACTR1B	943.5549
ACTR2	11626.5714	ACTR2	6362.6442
ACTR3B	119.6162	ACTR3B	162.8053
ACTR3C	62.4861	ACTR3C	24.3313
removed	removed	ACTR3	3859.3792
ACTR5	287.1383	ACTR5	186.0632
ACTR6	719.1847	ACTR6	661.5976
ACTR8	637.6553	ACTR8	527.4175
removed	removed	ACVR1B	966.8128
ACVR1C	68.7347	ACVR1C	1173.6291
ACVR1	1338.6893	ACVR1	1514.2678
ACVR2A	450.7922	ACVR2A	797.9247
ACVR2B	383.2478	ACVR2B	703.104
ACVRL1	267.7974	ACVRL1	758.5652
ACY1	1019.9955	ACY1	388.5428
ACY3	90.456	ACY3	41.8642
removed	removed	ACYP1	55.1033
ACYP2	186.2679	ACYP2	155.649
ADAL	227.6278	ADAL	151.713
ADAM10	3544.4469	ADAM10	2227.3906
ADAM11	7.1413	ADAM11	5.0094
removed	removed	ADAM12	120.2254
ADAM15	3697.0914	ADAM15	2102.5136
ADAM17	1016.1422	ADAM17	902.4063
ADAM19	489.4741	ADAM19	166.3834
removed	removed	ADAM21	7.1563
ADAM22	150.5616	ADAM22	99.1144
ADAM23	31.243	ADAM23	20.0376
ADAM28	17.8532	ADAM28	124.5192
removed	removed	ADAM32	26.1204
removed	removed	ADAM33	742.8214
ADAM6	2060.7424	ADAM6	39640.712
ADAM8	912.5939	ADAM8	35.4236
ADAM9	1068.5115	ADAM9	2271.4017
removed	removed	ADAMTS10	78.0034
removed	removed	ADAMTS12	85.5175
ADAMTS13	10.4143	ADAMTS13	16.4594
removed	removed	ADAMTS14	5.725
ADAMTS15	23.8042	ADAMTS15	69.7737
ADAMTS16	374.9163	ADAMTS16	257.9837
removed	removed	ADAMTS17	56.1768
removed	removed	ADAMTS18	15.7438
ADAMTS19	160.3809	removed	removed
