gene_id	TCGA-AC-A23H-01A-11R-A157-07	gene_id	TCGA-AC-A23H-11A-12R-A157-07
DACT3	85.3976	DACT3	173.5397
DAD1	2432.1952	DAD1	3321.9429
DAG1	6449.1557	DAG1	4907.4157
removed	removed	DAGLA	240.8087
removed	removed	DAGLB	316.3074
removed	removed	DAK	442.9734
DALRD3	2827.0803	DALRD3	627.0436
DAP3	2537.8264	DAP3	2109.6699
removed	removed	DAPK1	551.0332
DAPK2	21.4238	DAPK2	348.1528
DAPK3	1058.9898	DAPK3	323.8215
removed	removed	DAPL1	61.544
removed	removed	DAPP1	181.4116
DAP	4226.14	DAP	4032.9189
removed	removed	DARC	2158.3326
DARS2	961.095	DARS2	465.1579
DARS	1662.4265	DARS	2236.6938
DAXX	887.897	DAXX	1068.0741
removed	removed	DAZAP1	670.9008
DAZAP2	9633.5639	DAZAP2	8728.151
removed	removed	DBC1	281.5994
DBF4B	68.1396	DBF4B	106.6285
DBF4	407.052	DBF4	134.538
DBH	15.1752	removed	removed
DBI	6837.1643	DBI	2351.9098
DBN1	1010.7863	DBN1	1732.892
DBNDD1	1798.4081	DBNDD1	182.1272
DBNDD2	125.713	DBNDD2	1036.0963
removed	removed	DBNL	1369.7111
DBP	215.1186	DBP	460.857
DBR1	498.6982	DBR1	440.4687
DBT	795.0606	DBT	1079.1663
removed	removed	DBX2	15.0282
DCAF10	1678.4944	DCAF10	1425.8878
removed	removed	DCAF11	1830.6825
DCAF12	2419.9955	DCAF12	1591.9134
DCAF13	1218.8529	DCAF13	712.6111
DCAF15	319.274	DCAF15	257.2681
DCAF16	759.3543	DCAF16	1192.9511
DCAF17	735.2525	DCAF17	550.6754
DCAF4L1	7.7364	DCAF4L1	7.1563
DCAF4	263.3341	DCAF4	329.1887
DCAF5	1823.105	DCAF5	1778.6922
DCAF6	1414.8628	DCAF6	2129.3497
DCAF7	4880.7558	DCAF7	2956.2573
removed	removed	DCAF8	2278.5723
DCAKD	319.5715	DCAKD	1122.8196
DCBLD1	373.7261	DCBLD1	186.0632
DCBLD2	371.3457	DCBLD2	1246.2653
DCDC2	54.3301	DCDC2	520.6369
removed	removed	DCD	10.0188
DCHS1	694.7854	DCHS1	1499.5975
removed	removed	DCHS2	63.333
DCI	360.0387	DCI	384.6498
DCK	571.8962	DCK	474.1032
DCLK1	354.9803	DCLK1	3044.9951
removed	removed	DCLK2	99.83
removed	removed	DCLRE1A	340.2809
DCLRE1B	235.6617	DCLRE1B	222.918
DCLRE1C	199.3603	DCLRE1C	371.0529
removed	removed	DCN	150457.4649
DCP1A	752.213	DCP1A	1147.8665
DCP1B	154.7274	DCP1B	484.122
DCP2	1218.1805	DCP2	1432.6863
removed	removed	DCPS	211.1101
removed	removed	DCST2	15.0282
DCTD	1268.7644	DCTD	2047.7681
DCTN1	3777.0825	DCTN1	3327.6536
DCTN2	2003.1243	DCTN2	2707.5767
DCTN3	1112.5493	DCTN3	870.2031
DCTN4	1767.4626	DCTN4	2725.4674
DCTN5	1442.8327	DCTN5	1431.6128
DCTN6	235.3641	DCTN6	658.3773
DCTPP1	1050.0543	DCTPP1	466.2313
removed	removed	DCT	246.1759
removed	removed	DCUN1D1	625.8163
DCUN1D2	234.1739	DCUN1D2	195.3663
DCUN1D3	134.1962	DCUN1D3	194.6507
removed	removed	DCUN1D4	1177.9229
DCUN1D5	798.6313	DCUN1D5	271.5806
DCXR	1453.5446	DCXR	500.5814
removed	removed	DCX	67.6268
DDA1	447.5192	DDA1	401.8249
DDAH1	1355.9473	DDAH1	1414.7956
DDAH2	332.3663	DDAH2	1072.3678
removed	removed	DDB1	5842.383
DDB2	1015.2496	DDB2	667.6805
DDHD1	389.1988	DDHD1	427.5874
DDHD2	358.5509	DDHD2	1416.2269
DDI2	182.5515	DDI2	129.1815
DDIT3	315.3463	DDIT3	278.5437
removed	removed	DDIT4L	104.8394
DDIT4	4313.0254	DDIT4	1050.1834
DDOST	6953.805	DDOST	4576.7958
DDO	6.5462	DDO	121.6567
DDR1	9643.6807	DDR1	3721.6209
DDR2	273.1533	DDR2	1435.191
DDRGK1	1341.6648	DDRGK1	326.3261
DDTL	546.5328	DDTL	99.5331
DDT	2314.9327	DDT	478.9015
removed	removed	DDX10	638.6976
DDX11L2	60.7007	DDX11L2	44.0111
removed	removed	DDX11	223.9914
DDX12	31.5406	DDX12	24.3313
DDX17	10563.7135	DDX17	12965.0237
DDX18	3016.291	DDX18	2597.3701
DDX19A	1020.9031	DDX19A	958.558
DDX19B	1058.3501	DDX19B	724.2329
DDX1	2661.6083	DDX1	2828.5178
DDX20	452.5775	DDX20	519.9034
DDX21	1161.3479	DDX21	2177.6545
DDX23	4388.9013	DDX23	1769.0312
DDX24	2644.3502	DDX24	3646.8378
DDX26B	136.5767	DDX26B	401.8249
DDX27	1737.4098	DDX27	718.1322
DDX28	219.2963	DDX28	215.0461
removed	removed	DDX31	302.3526
DDX39	1056.0143	DDX39	235.4415
removed	removed	DDX3X	9704.6247
DDX41	1176.8207	DDX41	727.7932
DDX42	4264.2267	DDX42	3406.0292
removed	removed	DDX43	5.0094
DDX46	1825.4854	DDX46	1317.1124
DDX47	680.5029	DDX47	1163.2525
DDX49	865.5806	DDX49	427.5874
DDX50	496.9129	DDX50	1381.5189
DDX51	351.1121	DDX51	329.9043
DDX52	498.4007	DDX52	597.9068
DDX54	1366.2427	DDX54	667.6161
DDX55	558.5063	DDX55	305.9308
DDX56	1348.8061	DDX56	1049.4678
DDX58	1219.9658	DDX58	759.9964
DDX59	631.7042	DDX59	355.6669
removed	removed	DDX5	10195.903
DDX60L	336.8296	DDX60L	680.5618
DDX60	427.2856	DDX60	894.8922
DDX6	5503.831	DDX6	5442.7051
DEAF1	1027.4492	DEAF1	431.1656
removed	removed	DECR1	1399.4096
DECR2	356.1705	DECR2	186.7788
DEDD2	493.0447	DEDD2	391.4483
DEDD	788.3806	DEDD	924.9915
DEF6	214.833	DEF6	149.924
DEF8	476.0842	DEF8	545.3082
DEFB132	8.0339	DEFB132	15.7438
DEFB1	59.8081	DEFB1	270.1494
DEGS1	1565.7219	DEGS1	2244.2079
DEGS2	1724.0199	DEGS2	160.3006
DEK	1900.7662	DEK	3137.311
DEM1	156.8102	DEM1	147.0615
removed	removed	DENND1A	598.6224
DENND1B	185.6728	DENND1B	163.8787
DENND1C	79.4466	DENND1C	66.9112
DENND2A	16.3654	DENND2A	554.2535
DENND2C	30.27	DENND2C	133.7901
DENND2D	909.0233	DENND2D	625.1006
DENND3	309.1572	DENND3	353.1622
DENND4A	774.5265	DENND4A	764.5085
DENND4B	377.2878	DENND4B	624.6963
removed	removed	DENND4C	2342.9645
DENND5A	1219.6682	DENND5A	2150.8185
removed	removed	DENND5B	467.3048
DENR	3189.4666	DENR	1582.9681
DEPDC1B	187.4582	DEPDC1B	9.661
removed	removed	DEPDC1	25.7626
removed	removed	DEPDC4	9.661
DEPDC5	543.6287	DEPDC5	245.1024
DEPDC6	532.3217	DEPDC6	1208.6949
DEPDC7	21.1262	DEPDC7	20.0376
DERA	338.6149	DERA	564.9879
DERL1	3447.1472	DERL1	2270.3283
DERL2	582.608	DERL2	607.9256
DERL3	68.1396	DERL3	216.8351
removed	removed	DES	184.6319
DET1	196.6823	DET1	227.2117
DEXI	322.8446	DEXI	592.5396
removed	removed	DFFA	390.3748
DFFB	57.1301	DFFB	111.9957
DFNA5	131.5183	DFNA5	620.8069
DFNB31	262.1439	DFNB31	133.8223
removed	removed	DFNB59	50.8096
removed	removed	DGAT1	538.3308
DGAT2	107.1189	DGAT2	1040.8802
DGCR11	50.2864	DGCR11	21.4688
DGCR14	457.6359	DGCR14	205.7429
removed	removed	DGCR2	2300.0268
DGCR5	16.9605	DGCR5	10.7344
DGCR6L	1309.2316	DGCR6L	337.0606
DGCR6	1063.4531	DGCR6	278.0213
DGCR8	1024.4737	DGCR8	664.818
DGCR9	13.0923	removed	removed
DGKA	269.2851	DGKA	527.4175
removed	removed	DGKB	7.8719
removed	removed	DGKD	438.3219
DGKE	911.7013	DGKE	258.6993
removed	removed	DGKG	31.1298
DGKH	232.9837	DGKH	76.2143
DGKI	25.5895	DGKI	91.6003
DGKQ	277.6166	DGKQ	136.6849
DGKZ	948.8953	DGKZ	308.4355
DGUOK	918.545	DGUOK	724.9307
removed	removed	DHCR24	7785.3117
DHCR7	7611.6938	DHCR7	621.5225
DHDDS	1198.2444	DHDDS	804.7231
removed	removed	DHDPSL	22.2918
DHFRL1	482.3328	DHFRL1	372.1263
DHFR	669.1899	DHFR	258.2986
DHODH	269.5827	DHODH	93.3894
removed	removed	DHPS	588.2458
DHRS11	80.0417	DHRS11	196.4398
DHRS12	249.6467	DHRS12	390.7326
DHRS13	305.3812	DHRS13	94.5022
DHRS1	281.4848	DHRS1	517.0409
DHRS2	122.2941	DHRS2	42.222
DHRS3	285.6505	DHRS3	2347.2583
DHRS4L1	10.4143	DHRS4L1	13.9547
DHRS4L2	182.4593	DHRS4L2	289.5966
DHRS4	447.0788	DHRS4	500.2487
DHRS7B	536.4874	DHRS7B	573.2176
DHRS7	1373.5029	DHRS7	1631.6307
removed	removed	DHRS9	101.9769
DHRSX	537.0319	DHRSX	331.6934
DHTKD1	2223.6108	DHTKD1	593.9708
removed	removed	DHX15	2492.1728
DHX16	639.7382	DHX16	556.4004
DHX29	1390.1659	DHX29	1083.1022
DHX30	2150.7104	DHX30	969.6753
DHX32	913.8347	DHX32	1012.0225
DHX33	399.3156	DHX33	429.3765
DHX34	350.517	DHX34	215.0461
removed	removed	DHX35	288.0401
removed	removed	DHX36	1250.5591
removed	removed	DHX37	256.5525
removed	removed	DHX38	846.5874
DHX40	4769.7687	DHX40	2096.4308
DHX57	452.8751	DHX57	728.8666
DHX58	160.976	DHX58	222.918
removed	removed	DHX8	1143.9306
removed	removed	DHX9	4507.0221
DIABLO	1486.32	DIABLO	782.5387
DIAPH1	3000.2232	DIAPH1	3798.5509
DIAPH2	45.5256	DIAPH2	404.6874
DIAPH3	279.1044	DIAPH3	38.2861
DICER1	1356.2449	DICER1	2639.2343
removed	removed	DIDO1	1643.0808
DIMT1L	254.1099	DIMT1L	640.8444
removed	removed	DIO1	13.2391
DIO2	576.657	DIO2	503.0861
removed	removed	DIO3	23.6157
DIP2A	753.7008	DIP2A	699.5259
removed	removed	DIP2B	1767.2422
removed	removed	DIP2C	1223.3652
DIRAS1	27.0773	DIRAS1	134.8958
removed	removed	DIRAS2	27.1938
DIRAS3	47.3109	DIRAS3	224.707
DIRC2	615.2704	DIRC2	396.4791
DIRC3	8.3315	DIRC3	30.772
DIS3L2	372.8334	DIS3L2	345.2903
removed	removed	DIS3L	1123.893
DIS3	1563.3981	DIS3	1359.517
removed	removed	DISC1	216.8351
removed	removed	DISP1	439.7531
DISP2	15.4727	DISP2	8.2297
DIXDC1	821.2453	DIXDC1	2464.6212
DKC1	1707.0594	DKC1	1251.2747
DKFZP586I1420	337.7222	DKFZP586I1420	229.0008
DKFZP686I15217	35.7063	DKFZP686I15217	85.5175
DKFZp686O24166	32.7308	DKFZp686O24166	21.8266
DKFZp761E198	369.8579	DKFZp761E198	239.3774
DKK1	7.1413	DKK1	37.2126
DKK2	275.2362	DKK2	206.1007
DKK3	1244.0675	DKK3	6047.7681
DLAT	940.2663	DLAT	901.6871
DLC1	510.0052	DLC1	1482.7802
DLD	2120.0625	DLD	1800.161
removed	removed	DLEC1	9.661
DLEU1	119.9137	DLEU1	72.4823
DLEU2L	5.0584	DLEU2L	8.2297
DLEU2	51.1017	DLEU2	30.271
removed	removed	DLEU7	6.7985
DLG1	1212.518	DLG1	1851.6862
removed	removed	DLG2	185.7053
DLG3	3026.7053	DLG3	1009.3926
DLG4	147.8926	DLG4	213.9726
DLG5	1472.2904	DLG5	2084.2651
removed	removed	DLGAP1	24.6891
removed	removed	DLGAP2	28.2673
DLGAP3	90.7536	removed	removed
DLGAP4	3108.5323	DLGAP4	1925.7536
DLGAP5	436.5097	DLGAP5	30.4142
DLK1	8.3315	DLK1	9.661
removed	removed	DLK2	94.105
DLL1	38.9794	DLL1	93.0316
DLL3	37.1941	removed	removed
DLL4	260.6561	DLL4	254.7634
DLST	1803.764	DLST	2732.6237
DLX1	5.9511	removed	removed
DLX3	17.5556	DLX3	30.4142
DLX4	43.7402	removed	removed
DLX5	33.921	DLX5	7.1563
DMAP1	316.2984	DMAP1	419.7155
DMBT1	10.7119	DMBT1	71.5628
DMBX1	23.8042	removed	removed
removed	removed	DMC1	17.8907
removed	removed	DMD	2802.3974
DMGDH	15.1752	DMGDH	98.7566
DMKN	128.8403	DMKN	408.2655
DMPK	707.5802	DMPK	215.0461
DMRT2	7.4388	DMRT2	117.3629
removed	removed	DMRT3	63.333
removed	removed	DMRTA1	29.3407
removed	removed	DMRTC1B	35.7814
DMRTC2	36.3014	removed	removed
DMTF1	625.1789	DMTF1	1134.9852
DMWD	390.9842	DMWD	288.0401
removed	removed	DMXL1	1405.4924
removed	removed	DMXL2	455.8547
removed	removed	DNA2	40.433
removed	removed	DNAH10	9.661
removed	removed	DNAH11	12.7704
DNAH12	7.1413	DNAH12	5.725
DNAH14	165.1417	DNAH14	47.2314
removed	removed	DNAH17	12.8813
DNAH1	69.0322	DNAH1	200.7335
removed	removed	DNAH2	28.9829
DNAH5	138.9571	DNAH5	143.8411
removed	removed	DNAH6	46.158
removed	removed	DNAH7	69.7737
removed	removed	DNAH9	40.7908
DNAI1	9.8192	removed	removed
removed	removed	DNAJA1	2491.815
DNAJA2	1538.0495	DNAJA2	1733.2498
DNAJA3	1160.1577	DNAJA3	672.6899
DNAJA4	2802.6482	DNAJA4	736.0229
DNAJB11	1252.9941	DNAJB11	774.309
DNAJB12	781.0757	DNAJB12	995.7957
DNAJB14	495.4251	DNAJB14	427.9453
DNAJB1	3455.7762	DNAJB1	2931.5681
DNAJB2	2300.6769	DNAJB2	1175.4182
DNAJB4	361.2289	DNAJB4	718.49
removed	removed	DNAJB5	113.7848
DNAJB6	3484.3413	DNAJB6	1969.0491
DNAJB9	690.3221	DNAJB9	1063.0647
removed	removed	DNAJC10	2896.1446
DNAJC11	981.7065	DNAJC11	805.3994
DNAJC12	134.1962	DNAJC12	173.5397
removed	removed	DNAJC13	1993.3804
removed	removed	DNAJC14	947.201
DNAJC15	796.5484	DNAJC15	642.2757
DNAJC16	690.0245	DNAJC16	869.1296
DNAJC17	229.1155	DNAJC17	158.1537
DNAJC18	54.7497	DNAJC18	388.2279
DNAJC19	411.5153	DNAJC19	451.9188
DNAJC1	1449.974	DNAJC1	514.894
removed	removed	DNAJC21	1109.2226
DNAJC22	540.9507	DNAJC22	23.6157
removed	removed	DNAJC24	351.0046
DNAJC25	170.1971	DNAJC25	209.321
DNAJC27	80.9343	DNAJC27	240.4508
DNAJC28	31.243	DNAJC28	42.222
removed	removed	DNAJC2	572.4877
DNAJC30	432.0464	DNAJC30	317.023
DNAJC3	4110.0945	DNAJC3	3072.5467
DNAJC4	414.833	DNAJC4	503.6014
DNAJC5B	10.7119	removed	removed
DNAJC5	1982.8907	DNAJC5	1501.3865
DNAJC6	87.4805	DNAJC6	74.7831
removed	removed	DNAJC7	1467.2905
DNAJC8	2104.2922	DNAJC8	2272.833
removed	removed	DNAJC9	470.1673
removed	removed	DNAL1	456.2125
DNAL4	919.1401	DNAL4	304.1417
removed	removed	DNALI1	271.2228
DNASE1L1	334.3926	DNASE1L1	375.5076
removed	removed	DNASE1L3	128.813
DNASE1	71.7102	DNASE1	36.497
DNASE2B	5.0584	removed	removed
DNASE2	2031.0942	DNASE2	849.8077
DND1	52.8394	DND1	32.4322
DNER	10.1168	DNER	170.3193
removed	removed	DNHD1	172.4662
DNLZ	239.2323	DNLZ	62.2596
DNM1L	2247.7126	DNM1L	1757.5812
removed	removed	DNM1P35	20.7532
DNM1	190.1361	DNM1	884.8734
removed	removed	DNM2	1233.1872
removed	removed	DNM3	157.7959
removed	removed	DNMBP	1008.9167
DNMT1	2170.944	DNMT1	797.2091
removed	removed	DNMT3A	289.4713
DNMT3B	177.6389	DNMT3B	45.0845
DNPEP	1805.8469	DNPEP	1091.332
removed	removed	DNTTIP1	294.8385
removed	removed	DNTTIP2	1436.2644
removed	removed	DOC2A	15.6973
removed	removed	DOC2B	60.1127
DOCK10	167.2246	DOCK10	602.9162
DOCK11	515.6587	DOCK11	981.1253
removed	removed	DOCK1	3450.3981
removed	removed	DOCK2	360.3185
removed	removed	DOCK3	22.1845
removed	removed	DOCK4	729.9401
DOCK5	241.0176	DOCK5	456.9282
removed	removed	DOCK6	581.4474
removed	removed	DOCK7	1385.0971
removed	removed	DOCK8	1439.1269
removed	removed	DOCK9	2888.6305
DOHH	135.3864	DOHH	28.6251
removed	removed	DOK1	129.1708
DOK2	23.5067	DOK2	98.041
DOK3	85.1001	DOK3	97.6832
DOK4	553.7454	DOK4	343.1434
DOK5	13.3899	DOK5	197.5132
DOK6	29.1602	DOK6	66.1955
DOK7	17.8532	removed	removed
DOLK	506.7321	DOLK	366.7591
DOLPP1	834.9327	DOLPP1	213.257
removed	removed	DOM3Z	174.3304
DONSON	370.4709	DONSON	107.3012
removed	removed	DOPEY1	1218.9677
DOPEY2	2843.1154	DOPEY2	613.2928
DOT1L	471.3204	DOT1L	245.4602
DPAGT1	1167.2543	DPAGT1	972.8956
DPCD	178.4066	DPCD	208.312
DPEP1	7.7364	removed	removed
DPEP2	11.6046	DPEP2	55.1033
DPF1	14.8776	removed	removed
DPF2	2403.6301	DPF2	1420.5206
DPF3	44.9304	DPF3	14.6704
DPH1	520.6189	DPH1	497.6223
DPH2	463.587	DPH2	315.9495
DPH3B	15.1752	DPH3B	19.3219
DPH3	666.8154	DPH3	656.9461
DPH5	352.579	DPH5	690.645
DPM1	898.0138	DPM1	491.9939
DPM2	1222.6438	DPM2	566.0614
DPM3	231.7935	DPM3	151.3552
removed	removed	DPP10	5.0094
DPP3	3336.5499	DPP3	305.9308
DPP4	31.8381	DPP4	2145.8091
removed	removed	DPP6	113.7848
DPP7	865.283	DPP7	762.8589
DPP8	540.6531	DPP8	633.6882
removed	removed	DPP9	572.1442
removed	removed	DPRXP4	5.0094
DPT	543.3311	DPT	11104.3922
DPY19L1	296.3624	DPY19L1	703.104
removed	removed	DPY19L2P2	16.1016
removed	removed	DPY19L2P4	5.725
removed	removed	DPY19L2	89.4534
DPY19L3	556.721	DPY19L3	573.5755
DPY19L4	806.9627	DPY19L4	1194.3823
DPY30	642.8684	DPY30	473.5987
removed	removed	DPYD	1645.5855
DPYSL2	1022.0933	DPYSL2	7548.7969
removed	removed	DPYSL3	10549.7808
DPYSL4	30.6479	DPYSL4	31.8454
DPYSL5	13.985	removed	removed
DQX1	5.3559	removed	removed
DR1	1250.9113	DR1	1174.7026
DRAM1	525.1804	DRAM1	956.794
DRAM2	587.0713	DRAM2	1591.9134
DRAP1	1064.6433	DRAP1	300.9214
removed	removed	DRD1	5.725
removed	removed	DRD2	253.69
DRD4	7.7364	removed	removed
DRG1	2373.2798	DRG1	1415.869
DRG2	458.5286	DRG2	571.0708
DRP2	62.4861	DRP2	8.2297
DSC1	30.8949	DSC1	84.8233
DSC2	668.6008	DSC2	3156.633
removed	removed	DSC3	2820.6459
removed	removed	DSCAML1	18.6063
removed	removed	DSCAM	27.9095
DSCC1	191.3263	DSCC1	69.0581
removed	removed	DSCR3	956.4362
DSCR6	8.9266	removed	removed
DSEL	120.2113	DSEL	827.981
removed	removed	DSE	1118.1787
removed	removed	DSG1	181.7694
DSG2	2435.1677	DSG2	6828.4605
removed	removed	DSG3	1104.5711
DSN1	835.8253	DSN1	281.5994
DSP	21882.913	DSP	13908.2208
DSTN	13082.1989	DSTN	13422.6675
DSTYK	978.6506	DSTYK	1416.2269
removed	removed	DST	29036.9443
DTD1	99.3826	DTD1	507.7377
DTL	1008.7034	DTL	78.3612
removed	removed	DTNA	410.4124
DTNBP1	273.4509	DTNBP1	335.9871
DTNB	305.5866	DTNB	638.3397
DTWD1	208.8819	DTWD1	723.4994
DTWD2	416.8712	DTWD2	231.8633
DTX1	45.5256	DTX1	229.0008
DTX2	727.2186	DTX2	154.2177
DTX3L	2275.7093	DTX3L	1805.0631
DTX3	234.1739	DTX3	548.8863
DTX4	709.663	DTX4	946.7752
DTYMK	759.9494	DTYMK	168.5303
DULLARD	1388.083	DULLARD	1882.4582
removed	removed	DUOX1	157.7959
removed	removed	DUOX2	37.2126
DUOXA1	5.0584	DUOXA1	17.1751
DUS1L	919.1401	DUS1L	499.8658
removed	removed	DUS2L	135.9692
DUS3L	177.9365	DUS3L	84.8019
DUS4L	212.9376	DUS4L	138.9105
DUSP10	919.4376	DUSP10	112.7113
DUSP11	498.1031	DUSP11	616.1553
DUSP12	360.9313	DUSP12	264.7822
DUSP14	450.1971	DUSP14	475.1767
DUSP15	17.2581	DUSP15	28.9829
DUSP16	1017.9275	DUSP16	1618.7494
removed	removed	DUSP18	198.9444
DUSP19	100.8703	DUSP19	116.6473
DUSP1	1442.8327	DUSP1	3581.3579
DUSP22	411.2177	DUSP22	1287.7717
DUSP23	535.5947	DUSP23	386.7967
removed	removed	DUSP26	5.3672
removed	removed	DUSP27	9.661
DUSP28	122.5917	DUSP28	72.2784
DUSP2	102.9532	DUSP2	39.3595
DUSP3	1671.3531	DUSP3	1913.9458
DUSP4	1815.6661	DUSP4	514.1784
DUSP5P	99.3826	DUSP5P	6.7985
DUSP5	1792.457	DUSP5	416.1374
DUSP6	6204.5674	DUSP6	2271.0439
DUSP7	402.8863	DUSP7	621.8803
DUSP8	378.4869	DUSP8	84.444
removed	removed	DUSP9	5.725
DUT	792.2488	DUT	816.0515
DVL1	557.3161	DVL1	304.4995
DVL2	604.9245	DVL2	414.3483
DVL3	2377.148	DVL3	1771.1781
removed	removed	DYDC2	17.8907
DYM	391.8768	DYM	1186.5104
removed	removed	DYNC1H1	9762.2328
DYNC1I1	43.4427	DYNC1I1	92.3159
DYNC1I2	2568.1767	DYNC1I2	2520.4401
removed	removed	DYNC1LI1	794.7044
DYNC1LI2	4125.2697	DYNC1LI2	3783.5227
removed	removed	DYNC2H1	976.8316
DYNC2LI1	379.9747	DYNC2LI1	473.3876
DYNLL1	2034.3673	DYNLL1	3310.8507
DYNLL2	4712.9361	DYNLL2	1323.1953
DYNLRB1	2546.753	DYNLRB1	2049.5572
DYNLRB2	22.0189	DYNLRB2	28.9829
DYNLT1	1755.8581	DYNLT1	1098.8461
DYNLT3	959.3097	DYNLT3	908.1313
removed	removed	DYRK1A	2031.3087
DYRK1B	459.7188	DYRK1B	332.7668
DYRK2	1035.4832	DYRK2	645.1382
removed	removed	DYRK3	250.1118
DYRK4	62.4861	DYRK4	339.9231
removed	removed	DYSF	688.7915
DYX1C1	80.3392	DYX1C1	69.0581
DZIP1L	25.292	DZIP1L	55.4611
DZIP1	136.2136	DZIP1	597.0874
removed	removed	DZIP3	640.4866
E2F1	322.8446	E2F1	31.4876
E2F2	249.3491	E2F2	31.1298
removed	removed	E2F3	325.6105
E2F4	801.9043	E2F4	721.3525
E2F5	128.7034	E2F5	118.3791
E2F6	305.5866	E2F6	325.6105
E2F7	169.3074	E2F7	14.6704
E2F8	281.7823	E2F8	10.0188
E4F1	348.7317	E4F1	129.8864
EAF1	2615.7852	EAF1	803.2919
EAF2	816.782	EAF2	58.3236
EAPP	1208.0637	EAPP	1140.3524
EARS2	579.9301	EARS2	631.5413
EBAG9	884.9215	EBAG9	668.3961
EBF1	112.1773	EBF1	1619.4651
EBF2	7.4388	EBF2	128.4551
removed	removed	EBF3	355.6669
EBF4	535.5947	EBF4	242.5977
EBI3	6.5462	EBI3	32.5611
EBNA1BP2	1006.0254	EBNA1BP2	698.4525
EBPL	338.6149	EBPL	794.7044
EBP	774.2319	EBP	362.4653
ECD	556.1259	ECD	640.4866
ECE1	8889.6824	ECE1	4999.016
ECE2	212.7501	ECE2	55.4611
ECEL1	45.8231	ECEL1	5.0094
ECH1	2184.929	ECH1	2124.6981
removed	removed	ECHDC1	1638.787
ECHDC2	227.3302	ECHDC2	753.9136
removed	removed	ECHDC3	403.2561
ECHS1	2184.6314	ECHS1	2336.8817
ECM1	18002.5292	ECM1	2670.3641
ECM2	360.6338	ECM2	2923.6962
ECSCR	36.0039	ECSCR	366.0435
ECSIT	334.1516	ECSIT	539.5831
removed	removed	ECT2L	15.0282
removed	removed	ECT2	270.1494
EDA2R	36.599	EDA2R	385.0076
EDARADD	1179.7962	EDARADD	350.2997
removed	removed	EDAR	14.6704
EDA	34.8137	EDA	268.0025
EDC3	715.9116	EDC3	811.1638
EDC4	1798.8336	EDC4	762.6621
EDEM1	3251.3576	EDEM1	1617.676
EDEM2	697.7609	EDEM2	481.2595
EDEM3	2025.1432	EDEM3	1374.0048
EDF1	3409.9531	EDF1	1723.9467
removed	removed	EDIL3	355.6669
EDN1	52.0717	EDN1	260.8462
EDN2	55.3448	EDN2	16.1016
removed	removed	EDN3	606.4943
EDNRA	558.8038	EDNRA	740.3167
EDNRB	60.9983	EDNRB	1362.9126
removed	removed	EEA1	1309.9562
EED	397.8279	EED	402.1827
EEF1A1P9	2442.9071	EEF1A1P9	13536.4523
EEF1A1	36126.1623	EEF1A1	210088.5589
removed	removed	EEF1A2	48.6627
EEF1B2	2652.6817	EEF1B2	6785.2223
EEF1D	5375.2883	EEF1D	4084.0862
EEF1E1	240.7201	EEF1E1	196.4398
EEF1G	11298.0733	EEF1G	27884.4262
EEF2K	788.5145	EEF2K	2362.6442
EEF2	28256.1928	EEF2	53215.4933
EEFSEC	308.1634	EEFSEC	360.2719
removed	removed	EEPD1	329.9043
removed	removed	EFCAB1	130.9598
EFCAB2	231.7935	EFCAB2	166.7412
EFCAB4A	4122.8892	EFCAB4A	332.7668
EFCAB4B	313.3229	EFCAB4B	155.649
EFCAB6	50.5839	EFCAB6	62.6174
EFCAB7	78.2563	EFCAB7	179.6225
EFEMP1	666.5179	EFEMP1	10728.3299
EFEMP2	737.9305	EFEMP2	1607.2994
EFHA1	1023.2835	EFHA1	922.8017
EFHA2	8.0339	EFHA2	140.9786
EFHB	15.7703	EFHB	25.047
EFHC1	203.526	EFHC1	665.1758
removed	removed	EFHC2	23.2579
EFHD1	13446.4033	EFHD1	4909.5626
EFHD2	665.0301	EFHD2	426.514
EFNA1	1181.5815	EFNA1	1270.9545
removed	removed	EFNA3	114.5004
removed	removed	EFNA4	179.9803
EFNA5	464.4797	EFNA5	1141.7837
EFNB1	264.5243	EFNB1	666.2492
EFNB2	1779.9598	EFNB2	1233.384
EFNB3	13.6874	EFNB3	300.9214
EFR3A	3378.4126	EFR3A	2281.0627
EFR3B	602.5441	EFR3B	67.269
EFS	1557.9856	EFS	779.6762
EFTUD1	623.0752	EFTUD1	632.2569
removed	removed	EFTUD2	1674.2106
EGFL6	21.4238	removed	removed
EGFL7	718.292	EGFL7	340.6387
EGFL8	16.9069	EGFL8	61.5261
EGFLAM	74.0906	EGFLAM	758.923
removed	removed	EGFR	2079.2522
removed	removed	EGF	397.1733
EGLN1	1541.3226	EGLN1	1892.1192
EGLN2	426.988	EGLN2	542.8035
EGLN3	735.2525	EGLN3	693.0852
removed	removed	EGOT	43.2955
EGR1	2765.4541	EGR1	8328.473
EGR2	198.1701	EGR2	329.9043
EGR3	57.1301	EGR3	362.8232
EHBP1L1	213.3452	EHBP1L1	259.415
EHBP1	752.5076	EHBP1	1671.7059
EHD1	1499.0701	EHD1	886.6625
EHD2	1280.0714	EHD2	6176.2233
EHD3	355.8729	EHD3	849.4499
EHD4	1534.1814	EHD4	1468.4677
EHF	3203.7492	EHF	7474.7294
removed	removed	EHHADH	368.5482
removed	removed	EHMT1	804.3653
EHMT2	944.432	EHMT2	826.5498
