gene_id	TCGA-E9-A1RI-01A-11R-A169-07	gene_id	TCGA-E9-A1RI-11A-41R-A169-07
DUSP5	811.4451	DUSP5	358.9991
DUSP6	1706.4781	DUSP6	2482.8519
DUSP7	460.6976	DUSP7	587.3829
DUSP8	128.9182	DUSP8	172.7369
DUT	809.7476	DUT	1172.9031
DVL1	424.6906	DVL1	389.5276
DVL2	323.0992	DVL2	346.6332
DVL3	2582.2215	DVL3	2139.6966
DYM	781.8679	DYM	1100.1836
DYNC1H1	8521.7811	DYNC1H1	15511.9312
DYNC1I1	53.6891	DYNC1I1	136.0255
DYNC1I2	3519.0484	DYNC1I2	2637.0399
DYNC1LI1	1091.7859	DYNC1LI1	784.0788
DYNC1LI2	2675.4541	DYNC1LI2	7728.3354
DYNC2H1	877.9939	DYNC2H1	1537.6292
DYNC2LI1	568.7189	DYNC2LI1	452.1302
DYNLL1	3189.1979	DYNLL1	2967.4428
DYNLL2	1811.2844	DYNLL2	1580.5236
DYNLRB1	1777.8492	DYNLRB1	1687.5664
DYNLRB2	25.7193	DYNLRB2	6.5694
DYNLT1	861.2763	DYNLT1	804.1735
DYNLT3	972.5125	DYNLT3	1432.1322
DYRK1A	2123.1313	DYRK1A	1858.3712
DYRK1B	912.715	DYRK1B	235.3396
DYRK2	989.23	DYRK2	535.9869
DYRK3	202.2183	DYRK3	212.1534
DYRK4	367.1435	DYRK4	178.9199
DYSF	291.2715	DYSF	673.9445
DYX1C1	120.7137	DYX1C1	12.7524
DZIP1L	90.3392	DZIP1L	107.8157
DZIP1	405.9122	DZIP1	225.2652
DZIP3	820.0032	DZIP3	713.361
E2F1	83.5878	E2F1	25.8912
E2F2	53.3676	removed	removed
E2F3	493.1683	E2F3	325.3792
E2F4	569.0403	E2F4	765.1435
E2F5	195.5506	E2F5	38.3383
E2F6	342.7102	E2F6	487.2959
E2F7	41.1509	removed	removed
E2F8	36.6501	removed	removed
E4F1	312.8114	E4F1	102.4056
EAF1	1162.8356	EAF1	860.2067
EAF2	92.2681	EAF2	48.3045
EAPP	1125.864	EAPP	844.7493
EARS2	1202.379	EARS2	346.6332
EBAG9	687.9923	EBAG9	706.4052
EBF1	290.307	EBF1	5914.4044
EBF2	22.1829	EBF2	251.9563
EBF3	60.119	EBF3	1408.1731
EBF4	275.8399	EBF4	56.4197
EBI3	24.4334	EBI3	32.4606
EBNA1BP2	1152.8918	EBNA1BP2	393.0055
EBPL	506.671	EBPL	260.0715
EBP	532.0688	EBP	231.8617
ECD	1039.3827	ECD	710.2695
ECE1	3760.1672	ECE1	6433.3881
ECE2	136.3125	ECE2	32.8471
ECH1	2372.9304	ECH1	3719.8338
ECHDC1	820.1254	ECHDC1	2776.9298
ECHDC2	666.7738	ECHDC2	549.8986
ECHDC3	211.863	ECHDC3	2304.7049
ECHS1	1889.7283	ECHS1	4603.2267
ECM1	1005.6261	ECM1	583.1321
ECM2	1863.0445	ECM2	15050.5265
ECSCR	52.7246	ECSCR	280.1662
ECSIT	359.7492	ECSIT	309.1489
ECT2L	9.6448	ECT2L	8.5016
ECT2	841.6653	ECT2	276.6882
EDA2R	95.8045	EDA2R	41.3487
EDARADD	383.5396	EDARADD	46.3723
EDA	47.2593	EDA	182.7843
EDC3	793.1201	EDC3	552.99
EDC4	769.9984	EDC4	551.7921
EDDM3A	6.4298	removed	removed
EDDM3B	35.3641	removed	removed
EDEM1	1856.2932	EDEM1	1418.6069
EDEM2	755.1841	EDEM2	433.5813
EDEM3	2323.4207	EDEM3	2471.2588
EDF1	1880.4051	EDF1	1084.3397
EDIL3	1000.1607	EDIL3	180.0792
EDN1	244.9767	EDN1	300.6473
EDN2	60.7619	removed	removed
EDN3	12.2167	EDN3	14.2981
EDNRA	1645.0731	EDNRA	822.336
EDNRB	198.6819	EDNRB	2435.3203
EEA1	1257.3541	EEA1	2395.9038
EED	436.2643	EED	327.3114
EEF1A1P9	4754.5411	EEF1A1P9	7351.5602
EEF1A1	72268.7671	EEF1A1	126758.7673
EEF1A2	324.7066	removed	removed
EEF1B2	2519.2091	EEF1B2	3069.8483
EEF1D	2403.4721	EEF1D	1734.3252
EEF1E1	353.3194	EEF1E1	169.259
EEF1G	9923.8065	EEF1G	10707.7577
EEF2K	1723.5171	EEF2K	2449.232
EEF2	27543.4818	EEF2	35835.3782
EEFSEC	307.9473	EEFSEC	258.12
EEPD1	132.1331	EEPD1	803.7871
EFCAB10	5.9572	removed	removed
EFCAB1	10.2877	EFCAB1	8.5016
EFCAB2	55.9396	EFCAB2	180.4657
EFCAB4A	252.6925	EFCAB4A	81.538
EFCAB4B	187.4297	EFCAB4B	32.8471
EFCAB6	41.7939	EFCAB6	29.7556
EFCAB7	253.3355	EFCAB7	109.7479
EFEMP1	1537.6949	EFEMP1	18665.6362
EFEMP2	1103.0381	EFEMP2	1880.7845
EFHA1	1565.6647	EFHA1	828.519
EFHA2	109.6287	EFHA2	422.3746
EFHB	7.0728	EFHB	41.3487
EFHC1	542.9995	EFHC1	311.0811
EFHC2	37.6145	EFHC2	9.6609
EFHD1	3663.7197	EFHD1	1014.7812
EFHD2	456.8397	EFHD2	382.5717
EFNA1	1312.0077	EFNA1	933.6296
EFNA3	147.2432	EFNA3	40.1894
EFNA4	308.6321	EFNA4	38.6436
EFNA5	159.1384	EFNA5	592.0201
EFNB1	359.4277	EFNB1	1234.6633
EFNB2	805.6583	EFNB2	1286.4458
EFNB3	135.0265	EFNB3	134.0933
EFR3A	3479.8264	EFR3A	3346.923
EFR3B	206.7192	EFR3B	58.3519
EFS	284.1987	EFS	354.3619
EFTUD1	872.207	EFTUD1	557.6273
EFTUD2	3296.7979	EFTUD2	1541.3274
EGFL6	78.444	EGFL6	4024.7319
EGFL7	96.4475	EGFL7	633.7552
EGFL8	39.791	EGFL8	51.253
EGFLAM	141.7778	EGFLAM	1006.666
EGFR	167.494	EGFR	2881.623
removed	removed	EGF	24.3455
EGLN1	1058.6722	EGLN1	2403.6325
EGLN2	1739.5885	EGLN2	673.9445
EGLN3	331.458	EGLN3	100.8598
EGOT	34.7211	EGOT	8.5016
EGR1	4516.6372	EGR1	17373.0074
EGR2	207.3622	EGR2	474.5435
EGR3	397.0423	EGR3	390.6869
EHBP1L1	337.5663	EHBP1L1	231.0888
EHBP1	897.9199	EHBP1	5209.5218
EHD1	808.8732	EHD1	1730.4608
EHD2	3326.7963	EHD2	16124.4324
EHD3	307.9891	EHD3	96.9955
EHD4	1177.6242	EHD4	1062.6993
EHF	301.5592	EHF	229.9295
EHHADH	201.8968	EHHADH	1226.9346
EHMT1	1271.1783	EHMT1	788.3296
EHMT2	1043.2406	EHMT2	551.4443
EI24	2404.7581	EI24	3036.2284
EID1	4015.7531	EID1	5764.8536
EID2B	55.6181	EID2B	37.4843
EID2	441.7296	EID2	246.9327
EID3	31.5062	EID3	26.2777
EIF1AD	802.4433	EIF1AD	381.4124
EIF1AX	2248.5131	EIF1AX	2802.821
EIF1B	695.7081	EIF1B	1071.5873
EIF1	13342.8709	EIF1	17853.3475
EIF2AK1	5214.7693	EIF2AK1	3167.9992
EIF2AK2	586.0794	EIF2AK2	551.0579
EIF2AK3	808.5517	EIF2AK3	735.0014
EIF2AK4	1826.716	EIF2AK4	2244.4208
EIF2A	2220.2218	EIF2A	2776.9298
EIF2B1	1376.3061	EIF2B1	1384.987
EIF2B2	516.9587	EIF2B2	402.6664
EIF2B3	545.5715	EIF2B3	1093.2277
EIF2B4	650.6992	EIF2B4	680.9004
EIF2B5	1324.2244	EIF2B5	700.2222
EIF2C1	1099.8232	EIF2C1	1389.2378
EIF2C2	133.4191	EIF2C2	272.4374
EIF2C3	217.9714	EIF2C3	235.3396
EIF2C4	358.4633	EIF2C4	642.6432
EIF2S1	1950.8118	EIF2S1	2396.6766
EIF2S2	1124.2566	EIF2S2	1493.9619
EIF2S3	5527.0857	EIF2S3	7238.3345
EIF3A	5329.0468	EIF3A	8027.0505
EIF3B	2957.7238	EIF3B	3122.0172
EIF3CL	6281.9097	EIF3CL	5602.4848
EIF3C	592.5478	EIF3C	104.7899
EIF3D	2452.3389	EIF3D	3718.6745
EIF3E	4487.7029	EIF3E	8403.4393
EIF3F	1756.6308	EIF3F	2546.6139
EIF3G	1024.562	EIF3G	1415.1135
EIF3H	4644.2694	EIF3H	4394.5513
EIF3I	4696.7047	EIF3I	2723.6016
EIF3J	1569.8441	EIF3J	1784.9483
EIF3K	2505.385	EIF3K	2836.0545
EIF3L	3836.0392	EIF3L	9998.6475
EIF3M	2555.3609	EIF3M	2672.4297
EIF4A1	6423.4818	EIF4A1	5824.4382
EIF4A2	10112.8436	EIF4A2	12254.2749
EIF4A3	3629.963	EIF4A3	806.4921
EIF4B	7660.3633	EIF4B	14842.1486
EIF4E2	1153.8338	EIF4E2	1596.7539
EIF4E3	838.4504	EIF4E3	4373.6837
EIF4EBP1	303.1667	EIF4EBP1	460.2454
EIF4EBP2	3480.4694	EIF4EBP2	24898.8504
EIF4EBP3	343.5107	EIF4EBP3	424.2991
EIF4ENIF1	548.7864	EIF4ENIF1	682.0597
EIF4E	724.9638	EIF4E	663.8972
EIF4G1	6025.0764	EIF4G1	4992.3679
EIF4G2	19356.3736	EIF4G2	26322.0945
EIF4G3	2305.7386	EIF4G3	2412.907
EIF4H	2923.9672	EIF4H	4044.8266
EIF5A2	226.0087	EIF5A2	276.6882
EIF5AL1	810.4806	EIF5AL1	682.4461
EIF5A	3031.9884	EIF5A	2511.0617
EIF5B	3720.9452	EIF5B	3356.9703
EIF5	4957.0809	EIF5	6993.334
EIF6	1502.9738	EIF6	879.1421
ELAC1	86.3302	ELAC1	167.5626
ELAC2	889.2461	ELAC2	1197.5655
removed	removed	ELANE	5.7965
ELAVL1	1611.3165	ELAVL1	1194.8604
ELAVL2	58.19	removed	removed
ELF1	3104.3241	ELF1	2059.7044
ELF2	1533.5155	ELF2	964.9309
ELF3	2626.9089	ELF3	131.7747
ELF4	552.6443	ELF4	427.0119
ELF5	51.4387	ELF5	51.7824
ELFN1	27.6483	ELFN1	19.3218
ELK1	702.1379	ELK1	383.3446
ELK3	662.9159	ELK3	923.5823
ELK4	134.3835	ELK4	313.3997
ELL2	939.7203	ELL2	2592.5997
ELL3	339.7492	ELL3	95.7705
ELL	371.3229	ELL	221.8143
ELMO1	361.3567	ELMO1	851.7051
ELMO2	1332.2617	ELMO2	883.7793
ELMO3	230.8311	ELMO3	17.0032
ELMOD1	5.7869	removed	removed
ELMOD2	343.9961	ELMOD2	341.2231
ELMOD3	339.8167	ELMOD3	2766.1096
ELN	3305.5779	ELN	1248.1886
ELOF1	488.0244	ELOF1	401.8935
ELOVL1	1458.9294	ELOVL1	2274.9493
ELOVL2	183.2503	ELOVL2	56.0332
removed	removed	ELOVL3	102.0191
ELOVL4	52.0817	ELOVL4	18.5489
ELOVL5	15570.1656	ELOVL5	18409.429
ELOVL6	262.6587	ELOVL6	124.046
ELOVL7	70.4067	ELOVL7	200.5603
ELP2P	6.7513	ELP2P	10.0473
ELP2	1466.6452	ELP2	1655.4922
ELP3	1339.9775	ELP3	1050.3333
ELP4	253.9785	ELP4	284.417
ELTD1	617.2641	ELTD1	4668.9209
EMB	1770.4549	EMB	870.2541
EMCN	288.6996	EMCN	2025.698
EMD	727.8573	EMD	715.2932
EME1	67.4168	EME1	6.7588
EME2	16.7176	removed	removed
EMG1	568.0759	EMG1	411.9409
EMID1	15.4316	EMID1	8.5016
EMILIN1	966.0826	EMILIN1	348.9518
EMILIN2	167.1757	EMILIN2	546.0342
removed	removed	EMILIN3	9.7498
EML1	554.8947	EML1	869.0948
EML2	982.8002	EML2	188.5808
EML3	464.234	EML3	835.4748
EML4	1112.3614	EML4	1158.5354
EML5	46.9378	EML5	37.0979
EML6	10.9307	EML6	23.959
EMP1	3388.2013	EMP1	13187.5181
EMP2	8295.4509	EMP2	3261.1342
EMP3	470.6639	EMP3	325.3792
EMR1	15.1101	EMR1	6.183
EMR2	196.11	EMR2	69.9449
removed	removed	EMR3	8.888
EMX1	22.8259	removed	removed
EMX2OS	70.4067	EMX2OS	692.107
EMX2	39.5435	EMX2	120.9545
EN1	45.0088	EN1	106.2699
removed	removed	EN2	8.5016
ENAH	6102.2344	ENAH	3254.5648
ENC1	1464.0733	ENC1	638.377
ENDOD1	786.3688	ENDOD1	1668.6311
ENDOG	179.2991	ENDOG	76.5878
removed	removed	ENDOU	11.9795
ENGASE	271.339	ENGASE	115.5444
ENG	1457.6435	ENG	6364.216
ENHO	11.8952	ENHO	5.4101
ENKUR	7.0728	removed	removed
ENO1	9364.7324	ENO1	10091.0057
ENO2	667.4168	ENO2	86.5617
ENO3	35.3641	ENO3	32.4606
ENOPH1	1158.9777	ENOPH1	586.9964
ENOSF1	803.2792	ENOSF1	327.7906
ENOX1	98.055	ENOX1	111.68
ENOX2	394.7918	ENOX2	480.7265
ENPEP	288.3781	ENPEP	1043.3775
ENPP1	1756.6308	ENPP1	4291.7593
ENPP2	271.6605	ENPP2	13008.5982
ENPP3	27.6483	ENPP3	71.1042
ENPP4	444.9445	ENPP4	1829.3885
ENPP5	932.0045	ENPP5	232.6345
ENPP6	20.5755	ENPP6	7.7287
ENSA	4014.4671	ENSA	3614.3368
ENTPD1	2351.3872	ENTPD1	846.295
ENTPD2	89.0532	ENTPD2	10.4338
ENTPD3	63.6554	ENTPD3	262.3901
ENTPD4	570.6478	ENTPD4	358.9991
ENTPD5	547.2111	ENTPD5	308.8475
ENTPD6	1273.1072	ENTPD6	681.2868
ENTPD7	1145.6068	ENTPD7	172.1496
ENTPD8	13.5027	removed	removed
ENY2	573.8627	ENY2	545.2613
EOMES	17.682	EOMES	13.5253
EP300	2488.6674	EP300	2984.0595
EP400NL	127.3107	EP400NL	65.6941
EP400	1555.3769	EP400	1239.3006
EPAS1	2132.7761	EPAS1	31018.8388
EPB41L1	2593.1522	EPB41L1	4608.6368
EPB41L2	1516.7979	EPB41L2	11213.6026
EPB41L3	618.2286	EPB41L3	2341.0299
EPB41L4A	618.2286	EPB41L4A	1089.7498
EPB41L4B	1028.1305	EPB41L4B	5733.5523
EPB41L5	736.216	EPB41L5	998.1644
EPB41	1763.2053	EPB41	2274.2807
EPB42	5.1439	EPB42	214.472
EPB49	317.6338	EPB49	1937.977
EPC1	573.8627	EPC1	551.0579
EPC2	818.5179	EPC2	899.2368
EPCAM	2564.5395	EPCAM	188.5808
EPDR1	180.9998	EPDR1	3168.776
EPHA10	47.5808	removed	removed
EPHA1	208.6481	EPHA1	14.6846
EPHA2	144.3498	EPHA2	389.1411
EPHA3	196.11	EPHA3	198.2417
EPHA4	173.927	EPHA4	460.6318
EPHA7	7.0728	removed	removed
EPHA8	27.6483	removed	removed
EPHB1	21.8614	EPHB1	40.9622
EPHB2	210.8986	EPHB2	66.0806
EPHB3	756.47	EPHB3	65.6941
EPHB4	1274.0717	EPHB4	1073.5195
EPHB6	30.8632	EPHB6	250.797
EPHX1	1179.2316	EPHX1	10053.9078
EPHX2	849.3811	EPHX2	696.7443
EPHX3	11.2522	EPHX3	17.7761
EPHX4	10.6092	removed	removed
EPM2AIP1	1755.0233	EPM2AIP1	984.6392
EPM2A	117.023	EPM2A	814.6073
EPN1	1789.7444	EPN1	873.3456
EPN2	821.7328	EPN2	809.1972
EPN3	688.6353	EPN3	11.2066
EPOR	76.8076	EPOR	64.1097
EPO	5.7869	removed	removed
EPPK1	63.3339	EPPK1	14.2981
EPR1	132.3485	removed	removed
EPRS	4067.1918	EPRS	4001.5457
EPS15L1	1394.3096	EPS15L1	609.4097
EPS15	2865.4557	EPS15	4536.7597
EPS8L1	597.3316	EPS8L1	9.6609
EPS8L2	597.0101	EPS8L2	58.7383
EPS8	814.3385	EPS8	4996.6187
EPSTI1	314.4189	EPSTI1	108.5885
EPT1	1129.7219	EPT1	497.7258
EPYC	116.7015	removed	removed
ERAL1	1653.7534	ERAL1	643.4161
ERAP1	1774.8401	ERAP1	6297.4669
ERAP2	2510.5289	ERAP2	3803.304
ERBB2IP	3622.5687	ERBB2IP	2302.3862
ERBB2	11464.7163	ERBB2	627.1858
ERBB3	9162.5141	ERBB3	324.2199
ERBB4	675.7756	ERBB4	402.28
ERC1	1675.2934	ERC1	2688.0495
ERC2	11.5737	removed	removed
ERCC1	1037.4538	ERCC1	571.539
ERCC2	387.5936	ERCC2	232.6307
ERCC3	951.294	ERCC3	770.94
ERCC4	468.7349	ERCC4	462.9504
ERCC5	1551.519	ERCC5	1828.6156
ERCC6L	61.4049	ERCC6L	7.7287
ERCC6	558.6079	ERCC6	310.1768
ERCC8	176.499	ERCC8	261.6172
EREG	34.0781	removed	removed
ERF	695.7081	ERF	275.9154
ERGIC1	9040.6687	ERGIC1	4964.1581
ERGIC2	1082.4626	ERGIC2	1059.9942
ERGIC3	3345.7643	ERGIC3	2344.5078
ERG	324.3851	ERG	1639.2619
ERH	2445.266	ERH	1317.3606
ERI1	502.8131	ERI1	596.2709
ERI2	935.2612	ERI2	456.8834
ERI3	802.4433	ERI3	733.8421
ERICH1	179.0709	ERICH1	237.6582
ERLEC1	2251.728	ERLEC1	2191.4791
ERLIN1	1186.6259	ERLIN1	1974.302
ERLIN2	2419.2252	ERLIN2	2280.3594
ERMAP	379.6817	ERMAP	1049.5604
ERMN	74.9076	removed	removed
ERMP1	3839.7557	ERMP1	980.1526
ERN1	90.9822	ERN1	109.3614
ERO1LB	722.3919	ERO1LB	518.2108
ERO1L	1054.1714	ERO1L	856.3424
ERP27	188.3941	ERP27	37.0979
ERP29	1772.3839	ERP29	904.2605
ERP44	1543.1603	ERP44	1975.8477
ERRFI1	1643.1442	ERRFI1	2768.4282
removed	removed	ERVFRDE1	10.4338
ESAM	432.0849	ESAM	2409.429
ESCO1	879.9228	ESCO1	410.7816
ESCO2	67.8348	ESCO2	7.3423
ESD	2025.7193	ESD	3348.0823
ESF1	632.0527	ESF1	547.1935
ESM1	179.7139	removed	removed
ESPL1	83.5878	removed	removed
ESPNL	11.2522	ESPNL	13.1388
ESPN	44.0444	ESPN	10.8202
ESR1	3932.8082	ESR1	765.1435
removed	removed	ESR2	120.5681
ESRP1	2039.222	ESRP1	106.6564
ESRP2	1082.7841	ESRP2	262.3901
ESRRA	229.2236	ESRRA	207.5162
ESRRB	6.4298	removed	removed
ESRRG	247.8701	ESRRG	43.2808
ESYT1	2751.9691	ESYT1	13542.6529
ESYT2	3740.5562	ESYT2	8996.2322
ESYT3	8.0373	removed	removed
ETAA1	587.0439	ETAA1	340.8366
ETF1	2864.1697	ETF1	6086.3685
ETFA	1379.8425	ETFA	3093.0345
ETFB	400.2572	ETFB	792.9669
ETFDH	456.1968	ETFDH	1431.3593
ETHE1	829.1271	ETHE1	246.1598
ETNK1	2961.5817	ETNK1	1192.5418
ETNK2	2375.1808	ETNK2	131.3883
ETS1	2263.9447	ETS1	4642.6432
ETS2	760.0064	ETS2	1730.8473
ETV1	529.4969	ETV1	227.9973
ETV2	8.0373	ETV2	5.4101
removed	removed	ETV3L	6.183
ETV3	178.7494	ETV3	379.8667
ETV4	45.3303	ETV4	5.4101
ETV5	502.8131	ETV5	332.335
ETV6	1476.29	ETV6	659.6464
ETV7	81.9804	ETV7	5.7965
EVC2	135.6695	EVC2	90.426
EVC	1283.4014	EVC	998.9644
EVI2A	507.3139	EVI2A	284.0305
EVI2B	586.4009	EVI2B	409.6223
EVI5L	167.8187	EVI5L	183.5571
EVI5	687.9923	EVI5	899.6232
EVL	4294.8079	EVL	841.2714
EVPL	530.1398	EVPL	11.5931
EWSR1	2505.7065	EWSR1	2116.8969
EXD2	1447.3557	EXD2	1051.879
EXD3	123.7743	EXD3	73.0364
EXO1	47.5808	removed	removed
EXOC1	1424.8513	EXOC1	1409.7189
EXOC2	1244.4945	EXOC2	1051.1062
EXOC3L2	35.6856	EXOC3L2	30.142
EXOC3L	51.7152	EXOC3L	44.7184
EXOC3	836.2	EXOC3	1225.7753
EXOC4	2347.5326	EXOC4	2472.8046
EXOC5	1641.5367	EXOC5	3466.7182
EXOC6B	200.2893	EXOC6B	705.6323
EXOC6	1148.6899	EXOC6	421.6018
EXOC7	3410.5642	EXOC7	2740.9217
EXOC8	588.0084	EXOC8	604.7725
EXOG	145.6357	EXOG	159.9845
EXOSC10	1867.5454	EXOSC10	1131.0984
EXOSC1	454.9108	EXOSC1	307.9896
EXOSC2	416.9748	EXOSC2	283.2577
EXOSC3	613.4062	EXOSC3	228.3837
EXOSC4	168.4617	EXOSC4	64.1484
EXOSC5	385.7901	EXOSC5	105.4971
EXOSC6	213.149	EXOSC6	305.6709
EXOSC7	441.0866	EXOSC7	343.9281
EXOSC8	278.7044	EXOSC8	268.6736
EXOSC9	577.3316	EXOSC9	312.3988
EXPH5	284.5202	EXPH5	159.9845
EXT1	864.8127	EXT1	1585.1609
EXT2	2526.9249	EXT2	2758.7673
EXTL1	21.8614	removed	removed
EXTL2	479.6656	EXTL2	415.8052
EXTL3	728.5002	EXTL3	1074.2923
EYA1	32.7922	EYA1	25.1183
EYA2	194.181	EYA2	339.6773
EYA3	188.0727	EYA3	134.8662
EYA4	31.5062	EYA4	22.0269
EYS	6.7513	EYS	127.9103
EZH1	931.3615	EZH1	3432.7118
EZH2	209.6126	EZH2	23.959
EZR	5435.782	EZR	981.1612
F10	46.9378	F10	107.0428
F11R	4975.0844	F11R	3749.5894
F12	18.325	removed	removed
F13A1	3182.768	F13A1	7749.9758
F2RL1	275.1969	F2RL1	46.7588
F2RL2	1051.9209	F2RL2	50.2367
F2RL3	44.3659	F2RL3	32.8471
F2R	2090.3392	F2R	867.549
F3	428.87	F3	3079.5092
F5	20.5755	F5	17.0032
F7	55.6181	removed	removed
F8A1	113.4866	F8A1	107.0428
F8	388.6835	F8	4175.0556
FA2H	29.8987	removed	removed
FAAH2	253.657	FAAH2	16.2303
FAAH	833.3065	FAAH	237.2718
FABP3	436.5858	FABP3	52.5553
FABP4	35.3641	FABP4	115316.0081
FABP5	49.1882	FABP5	306.0574
FABP7	21.8614	removed	removed
FADD	441.7296	FADD	315.7183
FADS1	281.6267	FADS1	561.8472
FADS2	389.9695	FADS2	435.158
FADS3	115.737	FADS3	2410.5883
FAF1	1126.507	FAF1	1042.6046
FAF2	2407.0085	FAF2	1620.713
FAHD1	889.5612	FAHD1	522.0172
FAHD2A	159.4599	FAHD2A	338.1316
FAHD2B	123.7743	FAHD2B	171.9641
FAH	1334.8336	FAH	3433.0983
FAIM2	16.0746	FAIM2	6.9558
FAIM3	389.2847	FAIM3	69.5585
FAIM	197.7174	FAIM	488.8417
FAM100A	209.2911	FAM100A	84.2431
FAM100B	410.5449	FAM100B	474.5435
FAM101A	73.6216	removed	removed
FAM101B	597.0101	FAM101B	1202.9756
FAM102A	5015.9138	FAM102A	435.8999
FAM102B	818.8394	FAM102B	962.2259
FAM103A1	508.2109	FAM103A1	224.1329
FAM104A	1266.2884	FAM104A	898.9045
FAM104B	228.9021	FAM104B	224.5194
FAM105A	795.049	FAM105A	299.488
FAM105B	619.5145	FAM105B	615.5927
removed	removed	FAM106A	5.4101
FAM106C	5.7869	FAM106C	11.5931
FAM107A	34.7211	FAM107A	2188.774
FAM107B	3526.4427	FAM107B	5441.7931
FAM108A1	190.6446	FAM108A1	240.7497
FAM108B1	373.2519	FAM108B1	320.3555
FAM108C1	632.0527	FAM108C1	159.2117
FAM109A	189.3586	FAM109A	164.2353
FAM109B	378.7172	FAM109B	166.554
FAM10A4	210.2556	FAM10A4	633.3688
FAM110A	331.458	FAM110A	59.8976
FAM110B	786.6902	FAM110B	184.33
FAM110C	10.6092	removed	removed
FAM111A	1341.2635	FAM111A	656.9414
FAM111B	206.3977	removed	removed
FAM113A	509.2429	FAM113A	339.6773
FAM113B	134.3835	FAM113B	197.8553
FAM114A1	814.66	FAM114A1	1237.7548
FAM114A2	645.8769	FAM114A2	740.798
FAM115A	376.4668	FAM115A	444.4015
FAM115C	218.9777	FAM115C	118.2572
FAM116A	1038.4183	FAM116A	771.3264
FAM116B	142.4208	FAM116B	35.9386
FAM117A	481.2731	FAM117A	292.9186
FAM117B	372.6089	FAM117B	433.5813
FAM118A	362.9642	FAM118A	245.7734
FAM118B	240.4758	FAM118B	324.6063
FAM119A	157.2095	FAM119A	164.6218
FAM119B	327.9216	FAM119B	336.9723
FAM120AOS	1958.6369	FAM120AOS	1802.6084
FAM120A	8401.1124	FAM120A	4340.9526
FAM120B	651.0207	FAM120B	1118.3461
FAM120C	544.607	FAM120C	649.5991
FAM122A	738.145	FAM122A	897.3046
FAM122B	959.6528	FAM122B	703.7001
FAM122C	35.0426	FAM122C	23.5726
FAM123B	199.3249	FAM123B	207.1297
FAM124A	16.7176	FAM124A	80.7651
FAM124B	46.2948	FAM124B	217.5635
FAM125A	408.9375	FAM125A	291.7593
FAM125B	198.3604	FAM125B	319.1962
FAM126A	524.353	FAM126A	1000.483
FAM126B	636.8751	FAM126B	1070.0415
FAM127A	1290.1463	FAM127A	2439.9575
FAM127B	750.6832	FAM127B	738.4794
FAM127C	365.5361	FAM127C	384.5039
FAM128A	204.4687	FAM128A	55.2604
FAM128B	495.7402	FAM128B	171.5776
FAM129A	3798.1032	FAM129A	1794.9957
FAM129B	1749.5579	FAM129B	589.7015
FAM131A	199.3249	FAM131A	163.4625
FAM131B	53.0461	FAM131B	15.4574
FAM133A	8.6803	removed	removed
FAM133B	136.9555	FAM133B	87.3346
FAM134A	2222.7938	FAM134A	2426.4322
FAM134B	999.1963	FAM134B	1509.4194
FAM134C	3293.6827	FAM134C	1740.5082
FAM135A	236.9394	FAM135A	380.6396
FAM135B	44.3659	removed	removed
FAM136A	696.0296	FAM136A	479.5672
FAM13AOS	29.0564	FAM13AOS	67.862
FAM13A	370.5578	FAM13A	7078.1142
FAM13B	1242.5655	FAM13B	1238.9566
FAM13C	94.4607	FAM13C	385.7405
FAM149A	41.1509	FAM149A	731.5235
FAM149B1	669.3458	FAM149B1	933.2432
removed	removed	FAM150B	35.1657
removed	removed	FAM151A	11.3689
FAM151B	36.0071	FAM151B	32.0742
removed	removed	FAM153A	6.183
FAM154B	98.055	FAM154B	7.3423
FAM155A	183.2503	FAM155A	21.254
FAM155B	54.6536	removed	removed
FAM156A	438.5147	FAM156A	583.5185
FAM157A	8.3588	FAM157A	8.888
FAM158A	93.8756	FAM158A	52.9417
FAM159A	18.6465	removed	removed
FAM160A1	58.833	FAM160A1	9.2745
FAM160A2	654.2357	FAM160A2	411.9409
FAM160B1	1025.8801	FAM160B1	2529.9971
FAM160B2	825.2692	FAM160B2	814.9937
FAM161A	103.1988	FAM161A	108.975
FAM161B	301.5592	FAM161B	105.8835
FAM162A	850.6671	FAM162A	726.1134
FAM162B	9.0018	FAM162B	106.6564
removed	removed	FAM163A	8.888
FAM164A	601.8325	FAM164A	214.472
FAM164C	59.476	FAM164C	28.5963
FAM165B	427.2625	FAM165B	298.3287
removed	removed	FAM166B	20.8675
FAM167A	73.6216	FAM167A	11.2066
FAM167B	30.5417	FAM167B	28.2098
FAM168A	343.0317	FAM168A	446.3337
FAM168B	1353.1587	FAM168B	4780.2145
FAM169A	246.9056	FAM169A	45.9859
FAM171A1	208.3266	FAM171A1	1196.0197
FAM171A2	18.968	FAM171A2	43.6673
FAM171B	365.2146	FAM171B	212.5399
FAM172A	642.019	FAM172A	1483.9146
FAM173A	95.8045	FAM173A	27.437
FAM173B	351.069	FAM173B	597.0438
FAM174A	456.8397	FAM174A	288.6678
FAM174B	1884.263	FAM174B	261.6172
FAM175A	289.8473	FAM175A	510.0454
FAM175B	740.7169	FAM175B	651.5313
FAM176A	89.3747	FAM176A	21.6404
FAM176B	180.7266	FAM176B	55.1869
FAM177A1	1050.9564	FAM177A1	1349.4348
FAM178A	1112.3614	FAM178A	1026.7607
