gene_id	TCGA-E9-A1RI-01A-11R-A169-07	gene_id	TCGA-E9-A1RI-11A-41R-A169-07
ACOT11	14.4671	ACOT11	9.1122
ACOT13	698.9359	ACOT13	1018.6842
ACOT1	694.4221	ACOT1	1869.9643
ACOT2	420.8327	ACOT2	928.2195
ACOT4	436.2643	ACOT4	299.8744
removed	removed	ACOT6	16.6168
ACOT7	213.149	ACOT7	137.9577
ACOT8	269.9662	ACOT8	181.0414
ACOT9	594.7597	ACOT9	795.2855
ACOX1	2072.0141	ACOX1	6927.207
ACOX2	183.8933	ACOX2	501.2076
ACOX3	745.8608	ACOX3	435.8999
ACP1	1726.0891	ACP1	1288.3779
ACP2	1078.9262	ACP2	756.2554
ACP5	1101.1091	ACP5	274.3696
ACP6	427.9055	ACP6	158.8252
ACPL2	837.8074	ACPL2	252.7292
ACPP	11.2522	ACPP	13.1388
ACRBP	17.682	ACRBP	24.3455
ACRC	16.0746	ACRC	26.2777
removed	removed	ACR	6.183
removed	removed	ACSBG1	15.8439
ACSF2	1530.9436	ACSF2	538.3055
removed	removed	ACSF3	129.4561
ACSL1	4097.0905	ACSL1	26851.8984
ACSL3	6561.3245	ACSL3	2280.3594
ACSL4	1038.4183	ACSL4	4576.1762
ACSL5	243.0477	ACSL5	1046.8554
ACSL6	12.5382	removed	removed
ACSM1	152.7086	removed	removed
ACSM3	125.0185	removed	removed
ACSM5	17.3606	ACSM5	1231.1854
ACSS1	1321.6525	ACSS1	374.4566
ACSS2	584.1505	ACSS2	6013.7185
ACSS3	709.5322	ACSS3	2506.0381
ACTA1	16.0746	removed	removed
ACTA2	16764.1858	ACTA2	5847.0641
ACTB	79370.8407	ACTB	65400.4444
ACTG1	81314.2582	ACTG1	27106.5598
ACTG2	836.5215	ACTG2	357.067
ACTL6A	1235.8142	ACTL6A	690.9477
ACTL8	19.9325	removed	removed
ACTN1	8896.6404	ACTN1	5438.3151
ACTN4	8878.1996	ACTN4	6831.5448
ACTR10	1435.4605	ACTR10	1473.4808
ACTR1A	3147.404	ACTR1A	3289.7305
ACTR1B	740.0739	ACTR1B	877.2099
ACTR2	7650.217	ACTR2	8373.2973
ACTR3B	137.5985	ACTR3B	101.2463
ACTR3C	38.2575	ACTR3C	39.8029
ACTR3	4231.1525	ACTR3	3580.3304
ACTR5	247.8701	ACTR5	129.0697
ACTR6	698.6015	ACTR6	613.2741
ACTR8	576.4347	ACTR8	534.0547
ACVR1B	997.2673	ACVR1B	939.4261
ACVR1C	9.3233	ACVR1C	5069.6551
ACVR1	1167.3364	ACVR1	1288.7644
ACVR2A	493.4898	ACVR2A	634.1416
ACVR2B	398.9712	ACVR2B	372.9108
ACVRL1	278.7333	ACVRL1	1196.7926
ACY1	669.3458	ACY1	534.0547
ACYP1	90.0177	ACYP1	33.2335
ACYP2	77.158	ACYP2	365.1821
ADAL	208.0051	ADAL	264.7087
ADAM10	2203.8258	ADAM10	1544.1986
ADAM11	9.3233	removed	removed
ADAM12	6057.8685	ADAM12	1915.9501
ADAM15	1582.0608	ADAM15	2017.9693
ADAM17	746.8253	ADAM17	588.1557
ADAM19	718.534	ADAM19	55.6468
ADAM21	17.682	removed	removed
ADAM22	90.0177	ADAM22	456.7675
ADAM23	61.7264	ADAM23	41.3487
ADAM28	136.9555	ADAM28	81.538
ADAM29	5.1439	removed	removed
ADAM32	26.0408	ADAM32	58.7383
ADAM33	127.3107	ADAM33	292.1457
ADAM6	29045.0217	ADAM6	1202.5543
ADAM8	91.9466	ADAM8	18.1625
ADAM9	1563.7357	ADAM9	3424.9831
ADAMDEC1	67.8348	ADAMDEC1	6.9558
ADAMTS10	120.8809	ADAMTS10	242.6819
ADAMTS12	750.0402	ADAMTS12	484.9773
ADAMTS13	59.476	ADAMTS13	8.1152
ADAMTS14	152.7086	removed	removed
ADAMTS15	398.9712	ADAMTS15	306.4438
ADAMTS16	807.5872	ADAMTS16	33.2335
ADAMTS17	114.1296	ADAMTS17	26.6641
ADAMTS18	122.8098	ADAMTS18	859.8203
ADAMTS1	850.0241	ADAMTS1	3458.603
ADAMTS2	831.0561	ADAMTS2	750.4589
ADAMTS3	30.5417	ADAMTS3	53.7146
ADAMTS4	288.0566	ADAMTS4	136.0255
ADAMTS5	882.4948	ADAMTS5	3989.9527
ADAMTS6	264.9092	ADAMTS6	19.3218
ADAMTS7	150.1366	ADAMTS7	77.6737
ADAMTS8	13.5027	ADAMTS8	5.0237
ADAMTS9	203.5043	ADAMTS9	607.864
ADAMTSL1	142.4208	ADAMTSL1	243.0683
ADAMTSL2	271.6605	ADAMTSL2	18.9354
ADAMTSL3	226.3302	ADAMTSL3	675.4903
ADAMTSL4	83.9093	ADAMTSL4	989.6628
ADAMTSL5	71.6927	ADAMTSL5	13.1388
ADAP1	103.845	ADAP1	40.1121
ADAP2	322.7777	ADAP2	319.9691
ADARB1	817.5534	ADARB1	956.4293
ADAR	10960.2958	ADAR	5743.9861
ADAT1	271.6605	ADAT1	327.6978
ADAT2	95.8045	ADAT2	93.1311
ADAT3	8.0373	removed	removed
ADA	102.8774	ADA	120.5681
ADCK1	153.673	ADCK1	146.0728
ADCK2	657.4506	ADCK2	416.9645
ADCK4	621.4435	ADCK4	234.5667
ADCK5	59.476	ADCK5	15.071
ADCY1	91.3036	ADCY1	172.3505
ADCY2	651.9852	ADCY2	67.2399
ADCY3	479.1738	ADCY3	1526.6738
ADCY4	97.7335	ADCY4	532.1225
ADCY5	26.0408	ADCY5	563.4238
ADCY6	1404.9188	ADCY6	4415.4188
ADCY7	948.0791	ADCY7	943.6769
ADCY9	1120.0772	ADCY9	539.0783
removed	removed	ADCYAP1R1	44.8266
removed	removed	ADCYAP1	13.5253
ADC	253.9785	ADC	28.2098
ADD1	5233.8852	ADD1	9156.2168
ADD2	15.1101	ADD2	34.7792
ADD3	2062.0479	ADD3	4695.585
removed	removed	ADH1A	999.2812
ADH1B	51.7602	ADH1B	117376.4776
ADH1C	58.5115	ADH1C	706.7916
removed	removed	ADH4	5.4101
ADH5	2593.7952	ADH5	8187.8079
ADHFE1	89.6962	ADHFE1	703.7001
ADI1	1125.864	ADI1	2895.9521
