gene_id	TCGA-BH-A0HK-01A-11R-A056-07	gene_id	TCGA-BH-A0HK-11A-11R-A089-07
CCL20	22.1286	removed	removed
CCL21	538.4615	CCL21	2780.319
CCL22	47.4183	CCL22	91.109
removed	removed	CCL26	7.8414
CCL28	2670.706	CCL28	1237.8132
CCL2	1052.687	CCL2	2092.8939
CCL3L1	15.9326	CCL3L1	32.5677
CCL3	86.4067	CCL3	164.6684
CCL4L2	16.8599	CCL4L2	297.9713
CCL4	77.9768	CCL4	564.2039
CCL5	283.4563	CCL5	310.6669
CCL8	54.7945	CCL8	117.2469
CCM2	485.7745	CCM2	666.5148
CCNA1	6.3224	CCNA1	35.4728
CCNA2	204.294	CCNA2	38.5906
CCNB1IP1	603.7935	CCNB1IP1	749.0357
CCNB1	474.7102	CCNB1	167.6555
CCNB2	207.5869	CCNB2	32.4856
CCNB3	16.8599	CCNB3	6.3478
CCNC	1033.7197	CCNC	1287.4751
CCND1	24211.2434	CCND1	4526.1434
CCND2	436.7756	CCND2	2056.3009
CCND3	722.3393	CCND3	1855.413
CCNDBP1	1090.6217	CCNDBP1	1290.8357
CCNE1	30.0316	CCNE1	10.4551
CCNE2	83.5248	CCNE2	18.8267
CCNF	222.3393	CCNF	76.9199
CCNG1	3861.96	CCNG1	2220.2225
CCNG2	2900.4215	CCNG2	1636.9753
CCNH	519.51	CCNH	608.5747
CCNI2	2917.0548	CCNI2	15.2944
CCNI	9942.0443	CCNI	6867.5297
CCNJL	16.8599	CCNJL	97.4568
CCNJ	67.4394	CCNJ	142.6379
CCNK	1102.5922	CCNK	965.3786
CCNL1	844.5732	CCNL1	1571.2573
CCNL2	938.883	CCNL2	844.2521
CCNO	15.2792	CCNO	62.3574
CCNT1	151.7387	CCNT1	96.3366
CCNT2	624.8683	CCNT2	369.2903
CCNYL1	408.8514	CCNYL1	401.7759
CCNY	1553.2139	CCNY	2047.7128
CCPG1	2111.0643	CCPG1	2652.1017
CCR10	18.9673	CCR10	25.0176
CCR1	106.4278	CCR1	219.1844
CCR2	47.9452	CCR2	22.0305
CCR4	10.5374	removed	removed
CCR5	69.5469	CCR5	65.3446
CCR6	30.6481	CCR6	20.7833
CCR7	43.7302	CCR7	34.3526
CCR8	7.3762	removed	removed
CCRL1	46.3646	CCRL1	289.0098
CCRL2	75.3425	CCRL2	53.0225
CCRN4L	302.9505	CCRN4L	169.1491
CCS	361.96	CCS	405.1365
CCT2	3770.8114	CCT2	3094.7198
CCT3	20820.8641	CCT3	5208.8973
CCT4	4924.1307	CCT4	3901.2587
CCT5	5186.5121	CCT5	3353.8578
CCT6A	4965.7534	CCT6A	3327.7199
CCT6B	63.7513	CCT6B	119.1139
CCT6P1	20.0211	CCT6P1	40.7003
CCT7	6086.9336	CCT7	4409.4529
CCT8	4498.9463	CCT8	2943.1203
CD101	25.8166	CD101	26.1378
CD109	7102.2023	CD109	733.353
CD14	635.9326	CD14	2481.6008
CD151	3514.7524	CD151	6995.9785
CD160	15.8061	CD160	5.9744
CD163L1	18.4405	CD163L1	150.1059
CD163	408.3246	CD163	874.4973
CD164L2	6.3224	CD164L2	52.6491
CD164	19775.5532	CD164	7971.2932
CD177	15.2792	CD177	8.9615
CD180	57.4289	CD180	148.2389
CD1C	13.1718	CD1C	38.8334
CD1D	34.2466	CD1D	15.3093
CD1E	6.3224	CD1E	13.0689
CD200R1	13.1718	CD200R1	26.1378
CD200	278.1876	CD200	674.7296
CD207	5.7956	CD207	24.6442
CD209	56.902	CD209	348.7534
CD226	11.5911	CD226	18.2965
CD22	61.117	CD22	110.5257
CD244	5.7956	CD244	13.4423
CD247	42.1496	CD247	56.383
CD248	1794.5205	CD248	4224.6211
CD24	1356.6913	CD24	18209.1102
CD274	20.5479	CD274	18.2965
CD276	1861.96	CD276	1824.7944
CD27	109.2518	CD27	91.9678
CD28	36.8809	CD28	31.3654
CD2AP	2428.8725	CD2AP	1098.9093
CD2BP2	1212.3288	CD2BP2	1525.3294
CD2	124.3414	CD2	106.4183
CD300A	103.2666	CD300A	219.1844
CD300C	22.6554	CD300C	42.1939
CD300LB	7.9031	CD300LB	8.2147
CD300LF	17.9136	CD300LF	25.7644
CD300LG	525.2898	CD300LG	459.6525
CD302	871.2908	CD302	1678.7959
CD320	498.9463	CD320	532.8385
CD33	36.3541	CD33	75.0529
CD34	3358.7987	CD34	7551.9676
CD36	8406.2171	CD36	3784.7587
CD37	198.6301	CD37	206.8623
CD38	60.5901	CD38	16.0561
CD3D	30.5585	CD3D	50.0353
CD3EAP	449.9473	CD3EAP	414.098
CD3E	151.2118	CD3E	127.3286
CD3G	14.2255	CD3G	14.1891
CD40LG	21.0748	CD40LG	18.2965
CD40	158.0611	CD40	375.2646
CD44	22493.6776	CD44	8208.0273
CD46	18286.0906	CD46	4606.9803
CD47	732.8767	CD47	3442.7264
CD48	229.7155	CD48	143.0113
CD4	788.725	CD4	1372.2364
CD52	149.1043	CD52	143.3847
CD53	432.5606	CD53	608.6382
CD55	2620.1264	CD55	5638.678
CD58	248.6828	CD58	256.8976
CD59	13466.2803	CD59	27366.6877
CD5	52.687	CD5	35.0994
CD63	10930.4531	CD63	14340.337
CD68	1548.4721	CD68	2120.5253
CD69	114.8577	CD69	105.6715
CD6	57.9557	CD6	49.6619
CD70	15.8061	CD70	24.6442
CD72	26.3435	CD72	29.4984
CD74	25971.0221	CD74	26031.4177
CD79A	259.7471	CD79A	92.2292
CD79B	80.0843	CD79B	138.1571
CD7	28.9779	CD7	60.8638
CD81	9382.5079	CD81	15611.3827
CD82	246.5753	CD82	1755.3424
CD83	237.0917	CD83	553.0019
CD84	41.0959	CD84	42.9407
CD86	129.0832	CD86	188.9392
CD8A	110.1159	CD8A	200.5145
CD8B	13.6986	CD8B	63.4776
CD93	3260.8008	CD93	4888.1487
CD96	69.5469	CD96	53.0225
CD97	645.9431	CD97	1542.5057
CD99L2	887.2497	CD99L2	1861.7607
CD99	2547.4183	CD99	2791.8943
CD9	12636.9863	CD9	6657.6802
CDADC1	109.589	CDADC1	169.8959
CDAN1	300.843	CDAN1	289.7566
CDA	32.666	CDA	38.46
CDC123	1085.1739	CDC123	920.8621
CDC14A	162.803	CDC14A	239.7213
CDC14B	303.4773	CDC14B	536.199
CDC16	1189.1465	CDC16	1476.0409
CDC20	298.2086	CDC20	64.2244
CDC23	731.2961	CDC23	627.6815
CDC25A	64.8051	CDC25A	11.9487
CDC25B	341.9389	CDC25B	399.5355
CDC25C	52.687	removed	removed
CDC26	141.7281	CDC26	67.1481
CDC27	1516.8599	CDC27	1315.1065
CDC34	476.2908	CDC34	491.0179
CDC37L1	278.1876	CDC37L1	417.832
CDC37	2317.176	CDC37	2824.0065
CDC40	695.4689	CDC40	604.5308
CDC42BPA	2299.2624	CDC42BPA	1710.5347
CDC42BPB	2883.5616	CDC42BPB	3458.0357
removed	removed	CDC42BPG	789.736
CDC42EP1	1787.6712	CDC42EP1	2910.2613
CDC42EP2	218.1243	CDC42EP2	532.4651
CDC42EP3	425.1844	CDC42EP3	928.2666
CDC42EP4	1732.3498	CDC42EP4	3804.1753
CDC42EP5	82.1918	CDC42EP5	197.5274
CDC42SE1	4963.9989	CDC42SE1	3218.1277
CDC42SE2	1660.6955	CDC42SE2	1484.6291
CDC42	7060.5901	CDC42	6752.1498
CDC45	104.8472	CDC45	14.9359
CDC5L	1114.3309	CDC5L	1129.9013
CDC6	216.0169	CDC6	59.3702
CDC73	1839.3045	CDC73	822.2216
CDC7	136.9863	CDC7	53.0225
CDCA2	24.236	CDCA2	25.7644
CDCA3	73.235	CDCA3	27.6314
CDCA4	374.078	CDCA4	212.8367
CDCA5	231.2961	CDCA5	52.2757
CDCA7L	116.4384	CDCA7L	678.5196
CDCA7	132.7713	CDCA7	78.4135
CDCA8	146.47	CDCA8	30.992
CDCP1	1672.2866	CDCP1	880.0983
removed	removed	CDH10	10.8285
CDH11	1432.5606	CDH11	740.0742
removed	removed	CDH12	34.3526
CDH13	493.6776	CDH13	1483.8823
CDH16	7.3762	removed	removed
removed	removed	CDH19	13.4423
CDH1	8383.0348	CDH1	10048.5044
removed	removed	CDH22	28.7516
CDH23	52.687	CDH23	108.6251
CDH24	78.5037	CDH24	77.6667
CDH26	15.8061	CDH26	12.6955
CDH2	8.4299	CDH2	25.0176
CDH3	457.8504	CDH3	1575.3647
removed	removed	CDH4	20.5369
CDH5	2331.9283	CDH5	1887.1518
CDH6	142.7819	CDH6	105.2981
CDH7	6.3224	removed	removed
removed	removed	CDH8	76.1731
CDHR1	31.6122	CDHR1	11.9487
CDHR3	35	CDHR3	103.6104
CDHR5	31.6122	removed	removed
CDIPT	1574.2887	CDIPT	2008.506
CDK10	317.7028	CDK10	507.4474
CDK11A	630.1106	CDK11A	613.9068
CDK11B	677.5817	CDK11B	780.36
CDK12	1219.1781	CDK12	1088.8276
CDK13	920.9694	CDK13	843.1319
CDK14	1092.7292	CDK14	737.087
removed	removed	CDK15	5.2276
CDK16	1484.7208	CDK16	1661.2462
CDK17	849.3151	CDK17	596.3161
CDK18	2584.8261	CDK18	382.3592
CDK19	767.0811	CDK19	667.7806
CDK1	522.1286	CDK1	45.1811
CDK20	132.7713	CDK20	194.9136
CDK2AP1	1550.5796	CDK2AP1	2871.428
CDK2AP2	1377.2392	CDK2AP2	594.8225
CDK2	441.5174	CDK2	639.2568
CDK3	116.3909	CDK3	56.6108
CDK4	2353.53	CDK4	1989.4627
CDK5R1	49.5258	CDK5R1	27.6314
CDK5RAP1	365.1212	CDK5RAP1	419.699
CDK5RAP2	1185.4584	CDK5RAP2	1821.8072
CDK5RAP3	1432.0337	CDK5RAP3	1679.9161
CDK5	389.8841	CDK5	173.2565
CDK6	285.0369	CDK6	672.4892
CDK7	436.7756	CDK7	396.5483
CDK8	178.6091	CDK8	111.6459
CDK9	889.8841	CDK9	1088.0808
CDKAL1	231.823	CDKAL1	340.1653
CDKL1	21.0748	CDKL1	19.0433
removed	removed	CDKL2	27.6314
CDKL3	10.0105	CDKL3	33.6207
CDKL5	31.6122	CDKL5	18.6699
CDKN1A	1635.4057	CDKN1A	7433.974
CDKN1B	4557.4289	CDKN1B	1023.1096
CDKN1C	505.2687	CDKN1C	718.0437
CDKN2AIPNL	533.1928	CDKN2AIPNL	347.6332
CDKN2AIP	413.5933	CDKN2AIP	431.6477
CDKN2A	179.6628	CDKN2A	95.5898
CDKN2BAS	7.3762	removed	removed
CDKN2B	506.3224	CDKN2B	298.3447
CDKN2C	215.49	CDKN2C	387.5868
CDKN2D	60.5901	CDKN2D	102.6844
CDKN3	79.5574	CDKN3	10.4551
CDNF	25.8166	CDNF	45.5545
CDO1	138.5669	CDO1	276.6877
CDON	320.8641	CDON	1280.3806
CDR1	44.5416	CDR1	14.0024
CDR2L	521.6017	CDR2L	918.1848
CDR2	1173.8672	CDR2	854.7072
CDRT4	220.6955	CDRT4	220.0731
CDS1	1100.6322	CDS1	1019.749
CDS2	605.3741	CDS2	804.2986
CDSN	38.9884	CDSN	98.2036
CDT1	211.8019	CDT1	35.0994
CDV3	5665.4373	CDV3	4697.7159
CDYL2	14.7524	CDYL2	44.8077
CDYL	678.6091	CDYL	620.9603
CEACAM19	8.9568	CEACAM19	62.3574
CEACAM1	242.8872	CEACAM1	595.5394
CEACAM21	13.6986	CEACAM21	10.4551
CEACAM5	649.6312	CEACAM5	54.8895
CEACAM6	4812.4341	CEACAM6	75.7997
CEACAM7	68.4932	CEACAM7	6.7212
CEBPA	821.3909	CEBPA	491.0179
CEBPB	486.8282	CEBPB	2345.6841
CEBPD	866.1749	CEBPD	2732.8975
CEBPG	970.4953	CEBPG	972.3275
CEBPZ	1234.4573	CEBPZ	1467.0794
CECR1	746.5753	CECR1	457.7855
CECR2	22.1286	CECR2	5.2276
CECR5	779.2413	CECR5	624.6943
CECR6	55.3214	CECR6	29.4984
CECR7	38.4615	CECR7	119.4873
CELF1	1789.7787	CELF1	1389.0393
CELF2	662.803	CELF2	1657.5122
removed	removed	CELF5	24.6442
CELF6	32.8398	CELF6	25.6711
CELSR1	6864.5943	CELSR1	2725.0561
CELSR2	718.6512	CELSR2	2367.3411
CELSR3	389.8841	CELSR3	42.5487
CEL	35.3003	CEL	8.9615
CEMP1	71.4963	CEMP1	120.2863
CENPA	58.4826	CENPA	11.9487
CENPBD1	127.5026	CENPBD1	292.3704
CENPB	1808.2192	CENPB	2517.8204
CENPC1	336.6702	CENPC1	378.6252
CENPE	75.8693	CENPE	22.7773
CENPF	1143.8356	CENPF	218.4376
CENPH	164.9104	CENPH	106.4183
CENPI	34.7734	CENPI	8.2147
CENPJ	162.2761	CENPJ	208.3559
CENPK	75.3425	CENPK	8.2147
CENPL	182.2972	CENPL	44.8077
CENPM	154.8999	CENPM	28.3782
CENPN	179.7471	CENPN	166.6698
CENPO	81.3962	CENPO	53.0673
CENPP	35.0896	CENPP	96.135
CENPQ	86.9336	CENPQ	63.851
CENPT	231.2961	CENPT	396.5483
CENPV	290.8325	CENPV	123.5946
CENPW	43.2034	CENPW	79.9071
CEP110	456.2698	CEP110	443.9698
CEP120	592.7292	CEP120	619.8401
CEP135	226.0274	CEP135	134.7966
CEP152	50.0527	CEP152	75.0529
CEP164	253.9515	CEP164	582.1269
CEP170	742.3604	CEP170	511.1814
CEP192	546.8915	CEP192	604.1574
CEP250	640.1475	CEP250	587.3545
CEP290	447.0285	CEP290	420.05
CEP350	2319.8103	CEP350	935.3611
CEP55	228.6617	CEP55	29.8718
CEP57	687.039	CEP57	672.4892
CEP63	480.6217	CEP63	541.3183
CEP68	968.9146	CEP68	1129.5279
CEP70	553.2139	CEP70	328.9633
CEP72	55.8483	CEP72	58.6234
CEP76	175.4478	CEP76	75.4263
CEP78	244.4679	CEP78	215.0771
CEP97	82.1918	CEP97	75.7997
CEPT1	552.1602	CEPT1	656.8065
CERCAM	1724.9737	CERCAM	1271.7924
CERKL	52.9663	CERKL	50.9576
CERK	261.8546	CERK	801.3114
CES1	3697.0495	CES1	1984.2352
CES2	883.0348	CES2	1400.988
CES3	36.3541	CES3	11.5753
CES4	121.7071	CES4	16.0561
CES8	45.3109	CES8	67.585
CETN2	1424.6575	CETN2	1252.7491
CETN3	344.5732	CETN3	294.2374
CETP	30.5585	removed	removed
CFB	17563.3983	CFB	3441.6062
CFDP1	602.7397	CFDP1	957.0182
CFD	10753.9515	CFD	7322.7015
CFH	1807.1654	CFH	3505.4572
CFI	447.8398	CFI	899.1416
CFL1	12568.4932	CFL1	13798.537
CFL2	280.295	CFL2	967.4733
CFLAR	567.4394	CFLAR	1011.5343
CFP	11.5911	CFP	83.2677
removed	removed	CFTR	30.992
CG030	13.6986	CG030	9.7083
removed	removed	CGB7	5.5636
CGGBP1	2488.9357	CGGBP1	1965.5653
CGNL1	1412.0126	CGNL1	1896.4867
CGN	2927.8188	CGN	1861.0139
CGREF1	1302.2655	CGREF1	171.6061
CGRRF1	190.2002	CGRRF1	346.8864
CH25H	90.0948	CH25H	225.5322
CHAC1	59.5364	CHAC1	79.9071
CHAC2	54.7945	CHAC2	20.9103
CHADL	187.039	CHADL	114.5211
CHAD	3295.5743	CHAD	337.9249
CHAF1A	469.9684	CHAF1A	271.8335
CHAF1B	196.5227	CHAF1B	111.2725
CHCHD10	585.353	CHCHD10	373.7711
CHCHD1	429.9262	CHCHD1	417.832
CHCHD2	3425.1844	CHCHD2	3413.228
CHCHD3	1000	CHCHD3	676.97
CHCHD4	308.2192	CHCHD4	278.1813
CHCHD5	380.9273	CHCHD5	296.8511
CHCHD6	95.3635	CHCHD6	157.5738
CHCHD7	455.7429	CHCHD7	470.1077
CHCHD8	734.4573	CHCHD8	598.5564
CHD1L	414.1201	CHD1L	881.9653
CHD1	1096.4173	CHD1	1430.4864
CHD2	2181.2434	CHD2	2638.4278
CHD3	2712.3288	CHD3	5045.3491
CHD4	7796.0116	CHD4	6186.9079
CHD6	1564.8051	CHD6	1403.9752
CHD7	166.491	CHD7	513.4218
CHD8	2011.0643	CHD8	2050.3265
CHD9	944.6786	CHD9	912.2105
CHDH	477.3446	CHDH	725.885
CHEK1	63.2244	CHEK1	65.3446
CHEK2	172.2866	CHEK2	168.4023
CHERP	1478.2561	CHERP	1302.4334
CHFR	260.8008	CHFR	316.6412
CHGA	16.8599	CHGA	16.8029
removed	removed	CHGB	181.0979
CHI3L1	112.2234	CHI3L1	2058.9147
CHI3L2	9.4837	CHI3L2	470.1077
CHIC1	326.6596	CHIC1	289.0098
CHIC2	183.3509	CHIC2	281.1684
CHID1	1751.3172	CHID1	1605.9833
CHIT1	37.9347	CHIT1	488.4041
CHKA	548.9989	CHKA	719.5373
CHKB-CPT1B	210.0211	CHKB-CPT1B	146.1478
CHKB	264.3203	CHKB	257.5324
CHL1	124.3414	CHL1	1377.0906
CHML	289.2518	CHML	361.4489
CHMP1A	1216.5437	CHMP1A	2052.5669
CHMP1B	1464.6997	CHMP1B	1908.4354
CHMP2A	1959.431	CHMP2A	1809.8584
CHMP2B	1365.1212	CHMP2B	1166.8677
CHMP4A	1109.8209	CHMP4A	969.0379
CHMP4B	3942.0443	CHMP4B	3506.5774
CHMP4C	437.8293	CHMP4C	406.63
CHMP5	1750.6902	CHMP5	1208.0236
CHMP6	352.4763	CHMP6	543.2936
CHMP7	665.4373	CHMP7	1173.5888
CHM	672.8135	CHM	459.2791
CHN1	138.5669	CHN1	480.5628
CHN2	101.686	CHN2	61.2372
CHODL	31.0854	CHODL	33.2324
CHORDC1	298.2086	CHORDC1	285.2758
CHPF2	1253.9515	CHPF2	1203.834
CHPF	1281.8757	CHPF	1828.4649
CHPT1	5008.4299	CHPT1	3177.6141
CHP	4554.2677	CHP	2643.282
CHRAC1	895.1528	CHRAC1	651.9523
CHRDL1	1518.4405	CHRDL1	3820.2314
CHRD	53.2139	CHRD	322.989
removed	removed	CHRFAM7A	24.6442
CHRM1	8.9568	CHRM1	57.8766
CHRM3	26.3435	CHRM3	26.8846
CHRNA10	10.0105	CHRNA10	8.2147
removed	removed	CHRNA1	17.5497
removed	removed	CHRNA2	6.3478
removed	removed	CHRNA3	9.3349
CHRNA5	90.0948	CHRNA5	29.125
CHRNB1	46.8915	CHRNB1	154.2132
removed	removed	CHRNB2	73.5593
CHRNE	10.8535	CHRNE	35.245
CHST10	89.0411	CHST10	390.5739
CHST11	100.6322	CHST11	92.2292
CHST12	259.2202	CHST12	315.1476
removed	removed	CHST13	6.7212
CHST14	635.9326	CHST14	619.8401
CHST15	531.0854	CHST15	922.2922
CHST1	70.6006	CHST1	76.5465
CHST2	120.1264	CHST2	276.6877
CHST3	245.5216	CHST3	1573.8711
removed	removed	CHST4	20.5369
removed	removed	CHST5	9.3499
CHST6	6.8493	CHST6	26.5112
CHST7	50.5796	CHST7	145.2517
removed	removed	CHST8	156.0802
CHST9	25.8166	CHST9	343.5258
CHSY1	2604.8472	CHSY1	3466.6239
CHSY3	78.5037	CHSY3	45.1811
CHTF18	149.6312	CHTF18	122.101
CHTF8	1997.6449	CHTF8	2555.907
CHUK	503.1612	CHUK	582.8737
CHURC1	1574.2887	CHURC1	1588.9191
CIAO1	2540.569	CIAO1	1737.4193
CIAPIN1	559.0095	CIAPIN1	757.9972
CIB1	2997.3656	CIB1	1391.6531
CIB2	175.4478	CIB2	106.4183
CIC	1301.8967	CIC	2168.6936
CIDEA	246.0485	CIDEA	148.6123
CIDEB	489.4995	CIDEB	404.1021
CIDECP	60.0632	CIDECP	61.984
CIDEC	778.1876	CIDEC	534.7054
CIITA	109.0622	CIITA	103.8045
CILP2	599.5785	CILP2	47.4215
CILP	5161.2223	CILP	3210.8465
CINP	509.4837	CINP	338.2983
CIR1	1032.1391	CIR1	739.3274
CIRBP	5212.3288	CIRBP	7148.6981
CIRH1A	724.9737	CIRH1A	1026.4702
CISD1	161.2223	CISD1	249.803
CISD2	601.686	CISD2	456.2919
CISD3	892.0759	CISD3	744.5101
CISH	1284.51	CISH	795.337
CITED1	10.0105	CITED1	454.4249
CITED2	2237.6185	CITED2	2066.0092
CITED4	796.628	CITED4	1536.5314
CIT	418.862	CIT	106.0449
CIZ1	1993.6776	CIZ1	2202.6728
CKAP2L	74.2887	CKAP2L	6.3478
CKAP2	657.0074	CKAP2	181.4713
CKAP4	3951.0011	CKAP4	2193.3378
CKAP5	2652.7924	CKAP5	1730.3247
CKB	275.5532	CKB	684.8113
CKLF	207.0601	CKLF	276.3143
CKMT1A	291.3593	CKMT1A	177.7373
CKMT1B	285.0369	CKMT1B	244.9489
CKMT2	21.6017	CKMT2	21.6571
CKS1B	777.1338	CKS1B	485.417
CKS2	343.5195	CKS2	81.4007
CLASP1	1206.0063	CLASP1	1369.2492
CLASP2	885.6691	CLASP2	1148.1978
CLCA2	422.0232	CLCA2	183.3382
CLCA4	11.5911	CLCA4	105.6715
CLCC1	992.8346	CLCC1	822.666
CLCF1	121.7071	CLCF1	196.7806
removed	removed	CLCN1	5.9744
CLCN2	93.7829	CLCN2	59.3702
CLCN3	1936.7756	CLCN3	1173.5888
CLCN4	50.5796	CLCN4	165.4152
CLCN5	123.2877	CLCN5	134.7966
CLCN6	337.197	CLCN6	428.6605
CLCN7	872.4974	CLCN7	1427.4992
CLCNKA	5.7956	CLCNKA	5.9744
removed	removed	CLCNKB	6.3478
CLDN10	12.3815	CLDN10	26.4776
CLDN11	83.7724	CLDN11	1177.3228
CLDN12	1791.8862	CLDN12	1128.7811
CLDN15	122.2339	CLDN15	156.827
CLDN18	8.9568	removed	removed
CLDN19	16.8599	CLDN19	183.3382
CLDN1	1789.2518	CLDN1	1017.882
CLDN23	95.8904	CLDN23	166.5354
CLDN3	1818.2297	CLDN3	1626.1468
CLDN4	3960.4847	CLDN4	7601.2561
CLDN5	287.6712	CLDN5	1423.3919
CLDN6	5.2687	removed	removed
CLDN7	1027.3973	CLDN7	2214.9949
CLDN8	53.7408	CLDN8	1209.8084
removed	removed	CLDN9	5.601
CLDND1	2410.9589	CLDND1	1106.3773
CLEC10A	31.0854	CLEC10A	134.4232
CLEC11A	194.942	CLEC11A	115.7533
CLEC12A	9.4837	CLEC12A	28.3782
CLEC14A	968.3878	CLEC14A	899.515
CLEC16A	604.8472	CLEC16A	847.9861
removed	removed	CLEC17A	7.468
CLEC1A	113.804	CLEC1A	160.1876
CLEC2B	247.1022	CLEC2B	368.1701
CLEC2D	500.5269	CLEC2D	372.2775
removed	removed	CLEC3A	49.6619
CLEC3B	518.4405	CLEC3B	7474.6743
CLEC4A	16.333	CLEC4A	48.9151
CLEC4E	20.0211	CLEC4E	28.0048
CLEC4F	9.4837	CLEC4F	21.2837
removed	removed	CLEC4GP1	7.0946
removed	removed	CLEC4G	18.2965
CLEC5A	32.1391	CLEC5A	5.601
CLEC7A	100.6322	CLEC7A	99.3238
removed	removed	CLECL1	11.5753
CLGN	312.961	CLGN	42.5673
CLIC1	6898.314	CLIC1	6475.8356
CLIC2	356.6913	CLIC2	619.0933
CLIC3	19.4942	CLIC3	28.3782
CLIC4	3262.3815	CLIC4	6177.1174
CLIC5	297.6818	CLIC5	334.9377
CLIC6	34.7734	CLIC6	608.6382
CLINT1	2177.0285	CLINT1	1641.4561
CLIP1	1783.4563	CLIP1	3283.659
CLIP2	304.5311	CLIP2	548.8946
CLIP3	326.1328	CLIP3	820.3547
CLIP4	653.8462	CLIP4	810.2729
CLK1	1002.1075	CLK1	633.6558
CLK2P	20.5479	CLK2P	7.0946
CLK2	920.9694	CLK2	411.4842
CLK3	709.1675	CLK3	663.5276
CLK4	278.7144	CLK4	197.9008
CLMN	1281.8757	CLMN	1810.9786
CLN3	1517.3867	CLN3	1118.6994
CLN5	622.7608	CLN5	920.0518
CLN6	1351.4226	CLN6	701.2408
CLN8	117.4921	CLN8	569.8048
CLNS1A	3048.4721	CLNS1A	1433.847
CLOCK	620.6533	CLOCK	231.1331
CLP1	139.6207	CLP1	261.3784
CLPB	150.6849	CLPB	191.553
CLPP	688.6196	CLPP	610.5052
CLPTM1L	1834.5627	CLPTM1L	1730.6981
CLPTM1	3130.6639	CLPTM1	2639.548
CLPX	561.117	CLPX	582.1269
CLSPN	43.7302	CLSPN	10.8285
CLSTN1	5828.7671	CLSTN1	7509.4003
CLSTN2	2116.4384	CLSTN2	450.3176
CLSTN3	1190.7271	CLSTN3	1036.1785
CLTA	2624.8683	CLTA	2170.934
CLTB	1060.5901	CLTB	1305.0248
CLTCL1	25.2898	CLTCL1	34.3526
CLTC	9630.137	CLTC	8589.6397
CLUAP1	436.7756	CLUAP1	486.1637
CLUL1	203.8988	CLUL1	61.984
CLU	3302.9505	CLU	26709.1344
CLVS1	13.7619	CLVS1	12.535
CLYBL	177.5553	CLYBL	169.1491
removed	removed	CMA1	54.8895
CMAH	533.7197	CMAH	271.4601
CMAS	630.137	CMAS	678.0901
CMBL	1834.5627	CMBL	802.0582
CMC1	109.0622	CMC1	115.3799
CMIP	1350.8957	CMIP	1661.2462
CMKLR1	795.5743	CMKLR1	218.811
CMPK1	2654.373	CMPK1	3957.2684
CMPK2	260.8008	CMPK2	141.8911
CMTM1	48.4721	CMTM1	75.7997
removed	removed	CMTM2	5.601
CMTM3	534.2466	CMTM3	1403.9752
CMTM4	974.1834	CMTM4	1282.621
removed	removed	CMTM5	10.4551
CMTM6	2761.8546	CMTM6	2919.9697
CMTM7	342.9926	CMTM7	1322.2011
CMTM8	81.6649	CMTM8	154.96
CMYA5	883.5616	CMYA5	1062.6897
CNBP	7086.4067	CNBP	8969.7585
CNDP2	3258.6934	CNDP2	3739.9509
CNFN	69.5469	CNFN	57.8766
CNGA1	195.9958	CNGA1	72.8125
CNGA3	34.7734	CNGA3	21.6571
CNIH2	18.4405	removed	removed
CNIH3	103.2666	CNIH3	45.9279
CNIH4	829.294	CNIH4	673.6094
CNIH	1662.2761	CNIH	1073.5183
removed	removed	CNKSR1	457.7855
CNKSR2	11.0643	CNKSR2	47.0481
CNKSR3	111.6965	CNKSR3	248.3094
CNN1	95.3635	CNN1	8779.6991
CNN2	2566.9125	CNN2	4355.6837
CNN3	2170.706	CNN3	7452.2704
CNNM1	9.4837	CNNM1	41.8205
CNNM2	340.8851	CNNM2	160.9344
CNNM3	888.8303	CNNM3	879.7249
CNNM4	857.2181	CNNM4	771.0662
CNOT10	718.1243	CNOT10	629.1751
CNOT1	2400.0421	CNOT1	3461.2619
CNOT2	1312.4341	CNOT2	1163.1337
CNOT3	1224.9737	CNOT3	932.374
CNOT4	507.3762	CNOT4	374.1445
CNOT6L	1417.2813	CNOT6L	1180.6834
CNOT6	1062.1707	CNOT6	644.4844
CNOT7	1344.0464	CNOT7	1446.1691
CNOT8	1581.138	CNOT8	1159.0263
CNO	252.3709	CNO	299.0915
CNPY2	1464.6997	CNPY2	1181.0568
CNPY3	1472.0759	CNPY3	1230.3453
CNPY4	217.5975	CNPY4	332.6973
CNP	1341.9758	CNP	2025.3574
CNR1	57.4289	CNR1	51.9023
CNRIP1	229.1886	CNRIP1	399.1621
CNST	1275.5532	CNST	689.2921
CNTD1	48.8936	CNTD1	68.3168
removed	removed	CNTD2	10.0817
CNTFR	147.5237	CNTFR	150.4793
removed	removed	CNTF	32.859
CNTLN	216.0169	CNTLN	225.1588
CNTN1	68.4932	CNTN1	320.3752
CNTN2	122.2339	removed	removed
CNTN3	9.4837	CNTN3	54.1427
CNTN4	120.6533	CNTN4	604.1574
CNTN6	5.2687	CNTN6	9.7083
CNTNAP1	121.1802	CNTNAP1	220.678
CNTNAP2	40.569	CNTNAP2	7.468
CNTNAP3	38.4615	CNTNAP3	155.7068
CNTROB	463.6459	CNTROB	690.0389
COASY	1208.1138	COASY	1409.2028
COBLL1	1005.2687	COBLL1	916.6912
COBL	1642.255	COBL	1169.1081
COBRA1	1082.7187	COBRA1	1368.8758
