gene_id	TCGA-BH-A0HK-01A-11R-A056-07	gene_id	TCGA-BH-A0HK-11A-11R-A089-07
ACOT13	591.2381	ACOT13	383.0724
ACOT1	439.4099	ACOT1	445.4634
ACOT2	359.3256	ACOT2	277.4345
ACOT4	220.2318	ACOT4	120.9808
ACOT7	285.0369	ACOT7	352.4874
ACOT8	185.3003	ACOT8	180.829
ACOT9	325.079	ACOT9	601.1702
ACOX1	4771.8651	ACOX1	1310.0059
ACOX2	49.5258	ACOX2	262.1252
ACOX3	594.8367	ACOX3	574.659
ACOXL	7.9031	removed	removed
ACP1	2047.9452	ACP1	1110.858
ACP2	1301.3699	ACP2	959.2586
ACP5	388.3035	ACP5	881.9653
ACP6	307.1654	ACP6	184.085
ACPL2	634.3519	ACPL2	408.497
ACPP	82.1918	ACPP	39.9535
ACRBP	18.4405	ACRBP	6.3478
ACRC	5.2687	ACRC	8.9615
ACSBG1	8.9568	ACSBG1	22.7773
removed	removed	ACSBG2	11.2019
ACSF2	1148.0506	ACSF2	926.3996
ACSF3	217.5975	ACSF3	370.4105
ACSL1	2635.4057	ACSL1	1933.0797
ACSL3	1832.4552	ACSL3	2012.6134
ACSL4	998.4194	ACSL4	1256.1097
ACSL5	381.981	ACSL5	949.5502
ACSM1	16.8599	ACSM1	32.4856
ACSM3	49.8946	ACSM3	98.1998
ACSM5	43.7302	ACSM5	51.9023
ACSS1	1500	ACSS1	970.4605
ACSS2	1316.6491	ACSS2	1108.2442
ACSS3	442.0443	ACSS3	307.3063
removed	removed	ACTA1	36.9664
ACTA2	2898.9515	ACTA2	35760.1293
removed	removed	ACTBL2	12.6955
ACTB	77907.2708	ACTB	110190.0221
ACTG1	74688.0927	ACTG1	69712.5958
ACTG2	62.1707	ACTG2	11084.6829
ACTL6A	1417.8082	ACTL6A	850.5999
ACTN1	2780.295	ACTN1	12542.4273
ACTN4	10634.3888	ACTN4	15881.6143
ACTR10	829.294	ACTR10	1112.725
ACTR1A	1791.3593	ACTR1A	2915.1155
ACTR1B	1219.705	ACTR1B	1661.2462
ACTR2	5815.5954	ACTR2	4654.0284
ACTR3B	182.824	ACTR3B	176.9905
ACTR3C	31.6122	ACTR3C	46.6747
ACTR3	4244.9947	ACTR3	3360.9523
ACTR5	164.3836	ACTR5	203.5017
ACTR6	424.1307	ACTR6	511.5548
ACTR8	481.5595	ACTR8	449.9442
ACVR1B	1498.4194	ACVR1B	1039.9125
ACVR1C	287.6712	ACVR1C	114.2597
ACVR1	749.2097	ACVR1	1271.0456
ACVR2A	426.765	ACVR2A	372.6509
ACVR2B	329.294	ACVR2B	104.9247
ACVRL1	648.0506	ACVRL1	1235.1995
ACY1	894.9052	ACY1	582.8737
removed	removed	ACY3	47.0481
ACYP1	46.3646	ACYP1	50.4087
ACYP2	144.8894	ACYP2	187.0722
ADAL	168.0717	ADAL	189.686
ADAM10	1555.8483	ADAM10	2009.6262
ADAM11	15.2792	ADAM11	7.8414
ADAM12	1246.5753	ADAM12	60.8638
ADAM15	5212.9136	ADAM15	3528.9962
ADAM17	684.9315	ADAM17	958.8852
ADAM19	223.9199	ADAM19	77.2933
removed	removed	ADAM21	7.8414
ADAM22	504.215	ADAM22	27.6314
ADAM23	114.8577	ADAM23	53.7693
ADAM28	83.7724	ADAM28	152.3462
removed	removed	ADAM32	19.7901
ADAM33	95.8904	ADAM33	873.0037
ADAM6	102638.9305	ADAM6	42050.3564
ADAM8	1169.1254	ADAM8	57.8766
ADAM9	1009.4837	ADAM9	2465.1713
ADAMDEC1	26.8704	ADAMDEC1	15.6827
ADAMTS10	68.4932	ADAMTS10	94.4696
ADAMTS12	218.6512	ADAMTS12	83.6411
ADAMTS13	34.2466	ADAMTS13	56.7564
ADAMTS14	17.3867	ADAMTS14	6.3478
ADAMTS15	171.7597	ADAMTS15	227.3992
ADAMTS16	36.8809	ADAMTS16	230.7598
ADAMTS17	61.6438	ADAMTS17	47.4215
ADAMTS18	32.1391	ADAMTS18	11.9487
ADAMTS1	4292.9399	ADAMTS1	13131.6488
ADAMTS2	511.5911	ADAMTS2	616.1061
ADAMTS3	54.7945	ADAMTS3	98.577
ADAMTS4	855.1106	ADAMTS4	2231.7978
ADAMTS5	315.0685	ADAMTS5	1808.3649
ADAMTS6	11.0643	ADAMTS6	22.4039
ADAMTS7	109.589	ADAMTS7	31.7388
ADAMTS8	30.5585	ADAMTS8	77.6667
ADAMTS9	445.7323	ADAMTS9	439.1156
ADAMTSL1	105.3741	ADAMTSL1	522.0099
ADAMTSL2	347.2076	ADAMTSL2	45.9279
ADAMTSL3	143.3087	ADAMTSL3	335.3111
ADAMTSL4	159.1149	ADAMTSL4	1706.4273
ADAMTSL5	72.1812	ADAMTSL5	70.5722
ADAP1	18.2824	ADAP1	160.4676
ADAP2	146.9968	ADAP2	227.7726
ADARB1	661.2223	ADARB1	688.9187
removed	removed	ADARB2	11.2019
ADAR	11034.2466	ADAR	6587.8549
ADAT1	170.706	ADAT1	325.6028
ADAT2	71.6544	ADAT2	68.7052
ADAT3	17.9136	ADAT3	48.1683
ADA	80.0843	ADA	63.1042
ADCK1	128.5564	ADCK1	173.2565
ADCK2	701.2645	ADCK2	873.3771
ADCK4	317.7028	ADCK4	449.1974
ADCK5	84.2993	ADCK5	61.6106
ADCY10	6.3224	removed	removed
ADCY1	50.0527	ADCY1	297.9713
ADCY2	18.9673	ADCY2	99.6972
ADCY3	1280.0369	ADCY3	1855.3682
ADCY4	255.0053	ADCY4	343.1524
ADCY5	72.1812	ADCY5	227.3992
ADCY6	1316.1222	ADCY6	1846.078
ADCY7	222.8662	ADCY7	510.4346
ADCY9	935.1949	ADCY9	1075.3853
ADCYAP1R1	12.118	ADCYAP1R1	7.468
ADCYAP1	7.9031	ADCYAP1	38.46
ADC	129.0832	ADC	131.436
ADD1	5756.5859	ADD1	7158.0331
ADD2	71.6544	ADD2	46.3013
ADD3	1353.53	ADD3	3092.106
ADH1A	26.3435	ADH1A	59.3702
ADH1B	6737.0917	ADH1B	7941.048
ADH1C	347.2076	ADH1C	345.7662
removed	removed	ADH4	122.8478
ADH5	2136.9863	ADH5	2960.67
ADH7	660.1686	ADH7	44.8077
ADHFE1	44.2571	ADHFE1	112.0193
ADI1	2704.4257	ADI1	2034.2704
ADIPOQ	4190.7271	ADIPOQ	1263.9511
ADIPOR1	8008.9568	ADIPOR1	2164.5862
ADIPOR2	1189.6733	ADIPOR2	1895.7399
ADK	245.5216	ADK	402.8961
ADM2	71.1275	ADM2	80.6539
ADM	406.7439	ADM	416.7118
ADNP2	474.1834	ADNP2	719.1639
ADNP	2997.8925	ADNP	2618.2644
ADORA1	19.4942	ADORA1	264.3655
ADORA2A	2756.5595	ADORA2A	51.5289
ADORA2B	74.8156	ADORA2B	184.8318
ADORA3	114.3309	ADORA3	218.0642
ADO	690.2002	ADO	604.5308
ADPGK	927.8188	ADPGK	709.3921
ADPRHL1	301.3699	ADPRHL1	122.4744
ADPRHL2	489.9895	ADPRHL2	716.1767
ADPRH	216.0169	ADPRH	508.941
ADRA1A	7.9031	ADRA1A	10.4551
ADRA1B	14.7524	ADRA1B	21.2837
removed	removed	ADRA1D	6.7212
ADRA2A	259.2202	ADRA2A	538.4394
ADRA2B	39.5153	ADRA2B	47.4215
ADRA2C	24.7629	ADRA2C	105.2981
ADRB1	977.8714	ADRB1	12.6955
ADRB2	118.019	ADRB2	296.4777
ADRBK1	2094.8367	ADRBK1	1630.2542
ADRBK2	2324.0253	ADRBK2	658.3001
ADRM1	1351.9494	ADRM1	1330.0425
ADSL	886.196	ADSL	882.3387
ADSSL1	80.6112	ADSSL1	129.9424
ADSS	3982.0864	ADSS	1492.097
AEBP1	9388.3035	AEBP1	12186.5793
AEBP2	756.5859	AEBP2	877.1111
AEN	409.9052	AEN	654.9395
AES	8586.4067	AES	7876.4502
AFAP1L1	366.1749	AFAP1L1	358.0884
AFAP1L2	247.6291	AFAP1L2	1161.6401
AFAP1	1303.5774	AFAP1	1330.0275
AFF1	4109.589	AFF1	1645.9369
AFF2	17.9136	AFF2	17.1763
AFF3	79.0306	AFF3	981.289
AFF4	2828.7671	AFF4	2804.2164
AFG3L1	110.6428	AFG3L1	170.6427
AFG3L2	1545.2002	AFG3L2	1476.138
AFMID	753.4247	AFMID	503.34
removed	removed	AFP	74.3061
AFTPH	2022.6554	AFTPH	1582.8327
AG2	275.5532	AG2	1203.8191
AGAP11	17.3867	AGAP11	68.3392
AGAP1	297.6818	AGAP1	757.2504
AGAP2	108.2929	AGAP2	49.2213
AGAP3	968.3878	AGAP3	1456.2509
AGAP4	141.2013	AGAP4	122.101
AGAP5	41.9916	AGAP5	22.2545
AGAP6	119.0727	AGAP6	69.8254
removed	removed	AGAP7	7.0946
AGAP8	9.4837	removed	removed
AGA	651.7387	AGA	571.2984
AGBL2	9.4837	AGBL2	10.0817
removed	removed	AGBL3	5.601
AGBL5	936.7808	AGBL5	835.7461
AGER	14.7524	AGER	11.2019
AGFG1	1844.5732	AGFG1	1491.3502
AGFG2	496.3119	AGFG2	560.0965
AGGF1	806.1117	AGGF1	689.2921
AGK	548.9989	AGK	495.1253
AGL	1362.4868	AGL	937.2281
