gene_id	TCGA-AC-A2FF-01A-11R-A17B-07	gene_id	TCGA-AC-A2FF-11A-13R-A17B-07
ACN9	183.8969	ACN9	221.6031
ACO1	1439.6135	ACO1	1223.9868
ACO2	2053.2528	ACO2	2259.9742
ACOT11	10.2834	ACOT11	34.6517
ACOT13	581.7005	ACOT13	555.5866
ACOT1	486.9565	ACOT1	411.9079
ACOT2	297.9066	ACOT2	273.0217
ACOT4	217.0692	ACOT4	122.1192
ACOT7	176.8116	ACOT7	402.6861
ACOT8	223.8647	ACOT8	283.0064
ACOT9	458.6151	ACOT9	527.3203
ACOX1	1553.4944	ACOX1	1472.6964
ACOX2	142.9952	ACOX2	203.9978
ACOX3	933.6554	ACOX3	730.4798
ACP1	1271.4976	ACP1	1348.9005
ACP2	1225.4428	ACP2	1133.4453
ACP5	1064.4122	ACP5	2550.2519
ACP6	203.5427	ACP6	222.4414
ACPL2	577.4557	ACPL2	1356.1662
ACPP	29.3076	ACPP	25.4299
ACRBP	27.0531	ACRBP	28.5038
ACRC	19.3237	ACRC	31.2983
ACSBG1	5.153	ACSBG1	13.693
ACSF2	2350.4026	ACSF2	841.7005
ACSF3	253.1401	ACSF3	375.859
ACSL1	3575.5233	ACSL1	2886.7086
ACSL3	3557.4879	ACSL3	6971.4152
ACSL4	1221.5781	ACSL4	1548.986
ACSL5	767.1498	ACSL5	801.4598
ACSL6	13.2045	ACSL6	22.3559
ACSM1	10.9501	ACSM1	218.8086
ACSM3	170.8019	ACSM3	270.3893
ACSM5	103.3816	ACSM5	70.1417
ACSS1	447.343	ACSS1	750.6001
ACSS2	1076.0064	ACSS2	1071.9665
ACSS3	564.5733	ACSS3	425.042
ACTA1	6.4412	ACTA1	14.8108
ACTA2	8830.2931	ACTA2	26494.2364
removed	removed	ACTBL2	6.1479
ACTB	68203.8647	ACTB	82314.5087
ACTC1	15.781	removed	removed
ACTG1	55797.1014	ACTG1	62662.814
ACTG2	378.0998	ACTG2	4544.4003
ACTL6A	1059.5813	ACTL6A	1075.5993
ACTN1	5812.8824	ACTN1	10733.917
ACTN4	7782.9533	ACTN4	9661.8695
ACTR10	993.8808	ACTR10	973.8799
ACTR1A	2571.6586	ACTR1A	2562.5477
ACTR1B	869.8873	ACTR1B	1363.7113
ACTR2	6182.9308	ACTR2	6174.9854
ACTR3B	208.3736	ACTR3B	297.3338
ACTR3C	25.4428	ACTR3C	45.2707
ACTR3	3303.7037	ACTR3	4057.6
ACTR5	204.1868	ACTR5	192.8198
ACTR6	475.0403	ACTR6	567.561
ACTR8	640.2576	ACTR8	570.3555
ACVR1B	1289.533	ACVR1B	1071.6871
ACVR1C	215.1369	ACVR1C	28.2244
ACVR1	1107.5684	ACVR1	1393.6124
ACVR2A	504.6699	ACVR2A	701.1376
ACVR2B	661.1916	ACVR2B	383.6835
ACVRL1	916.2641	ACVRL1	1023.3424
ACY1	840.3704	ACY1	890.0312
ACY3	8.3736	ACY3	15.3697
ACYP1	42.5121	ACYP1	61.7582
ACYP2	81.1594	ACYP2	136.6506
ADAL	168.7601	ADAL	152.2997
ADAM10	2078.2609	ADAM10	2593.846
removed	removed	ADAM11	26.5477
ADAM12	3598.7118	ADAM12	4422.5605
ADAM15	2809.9839	ADAM15	3058.0332
ADAM17	806.1192	ADAM17	1076.9966
ADAM19	441.868	ADAM19	356.0181
ADAM21	13.8486	removed	removed
ADAM22	229.6296	ADAM22	79.643
ADAM23	80.5153	ADAM23	99.4839
ADAM28	228.9855	ADAM28	309.0706
ADAM29	9.9839	removed	removed
ADAM32	32.2061	ADAM32	58.6843
ADAM33	442.0837	ADAM33	494.7282
ADAM6	128670.0966	ADAM6	101909.2601
ADAM8	123.3494	ADAM8	238.37
ADAM9	3802.5765	ADAM9	3087.6324
ADAMDEC1	84.058	ADAMDEC1	248.1507
ADAMTS10	162.963	ADAMTS10	120.722
ADAMTS12	430.9179	ADAMTS12	485.403
ADAMTS13	43.8003	ADAMTS13	64.5527
ADAMTS14	49.2754	ADAMTS14	103.955
ADAMTS15	562.6409	ADAMTS15	368.5933
ADAMTS16	83.4138	ADAMTS16	201.7622
ADAMTS17	56.6828	ADAMTS17	58.1254
ADAMTS18	55.0725	ADAMTS18	380.6096
ADAMTS19	12.8824	ADAMTS19	40.2407
ADAMTS1	1514.9758	ADAMTS1	1695.1379
ADAMTS2	1235.7488	ADAMTS2	542.1311
ADAMTS3	93.7198	ADAMTS3	123.7959
ADAMTS4	261.5137	ADAMTS4	258.7698
ADAMTS5	843.4783	ADAMTS5	1123.944
ADAMTS6	101.4493	ADAMTS6	32.6955
ADAMTS7	165.8615	ADAMTS7	179.9652
ADAMTS8	46.0548	ADAMTS8	502.4494
ADAMTS9	561.9968	ADAMTS9	1640.9248
ADAMTSL1	431.8841	ADAMTSL1	252.9014
ADAMTSL2	110.789	ADAMTSL2	28.2244
ADAMTSL3	197.4235	ADAMTSL3	244.2385
ADAMTSL4	299.1948	ADAMTSL4	312.7035
ADAMTSL5	23.5105	ADAMTSL5	80.7608
ADAP1	84.8857	ADAP1	100.3026
ADAP2	390.6602	ADAP2	372.5056
ADARB1	744.9275	ADARB1	721.5374
ADAR	9521.7391	ADAR	8603.1181
ADAT1	233.1723	ADAT1	363.8426
ADAT2	196.4573	ADAT2	242.5618
