gene_id	TCGA-AC-A2FF-01A-11R-A17B-07	gene_id	TCGA-AC-A2FF-11A-13R-A17B-07
C9orf100	52.7407	C9orf100	69.798
C9orf102	143.5781	C9orf102	171.6544
C9orf103	68.599	C9orf103	84.1142
C9orf109	43.1562	C9orf109	44.7118
C9orf110	311.1111	C9orf110	374.7412
C9orf114	386.5797	C9orf114	516.1144
C9orf116	90.1771	C9orf116	73.7745
C9orf117	8.3736	C9orf117	12.5752
C9orf119	233.1723	C9orf119	284.7586
C9orf122	8.0515	C9orf122	44.9913
C9orf123	687.9227	C9orf123	775.1916
C9orf125	108.8567	C9orf125	87.1881
C9orf129	77.8422	C9orf129	112.0088
C9orf130	125.9517	C9orf130	183.4276
C9orf140	226.7311	C9orf140	319.9691
C9orf142	172.3027	C9orf142	201.4828
C9orf150	538.1643	C9orf150	445.7212
C9orf152	532.6892	C9orf152	722.3758
C9orf156	237.6812	C9orf156	291.1859
removed	removed	C9orf163	9.5013
C9orf167	146.8599	C9orf167	134.6944
C9orf169	7.285	removed	removed
C9orf16	461.5137	C9orf16	645.2478
removed	removed	C9orf170	5.3095
C9orf172	11.5942	removed	removed
C9orf21	175.2013	C9orf21	195.0554
C9orf23	249.5974	C9orf23	369.9905
C9orf25	344.6055	C9orf25	423.6447
C9orf30	185.7005	C9orf30	236.9672
C9orf37	101.1272	C9orf37	114.8536
C9orf3	255.3076	C9orf3	287.6509
C9orf40	97.9066	C9orf40	150.0641
C9orf41	153.3011	C9orf41	223.5592
removed	removed	C9orf43	8.6629
C9orf45	135.9098	C9orf45	239.4878
C9orf46	657.649	C9orf46	314.9391
C9orf47	9.3784	C9orf47	19.8856
removed	removed	C9orf4	7.5451
C9orf5	1983.8969	C9orf5	1946.3626
C9orf64	366.5056	C9orf64	446.5596
C9orf66	20.6119	C9orf66	34.6517
C9orf68	36.0709	C9orf68	33.8133
C9orf69	599.6779	C9orf69	719.0224
C9orf6	273.43	C9orf6	429.5132
C9orf72	241.2238	C9orf72	216.0141
C9orf78	1400.3221	C9orf78	1400.5986
C9orf7	614.4928	C9orf7	527.0409
C9orf80	271.4976	C9orf80	337.0155
C9orf82	387.7617	C9orf82	373.9028
C9orf85	215.781	C9orf85	255.6959
C9orf86	1119.4847	C9orf86	1388.8617
C9orf89	194.847	C9orf89	159.0065
C9orf91	693.7198	C9orf91	791.6791
C9orf93	102.4155	C9orf93	79.9224
C9orf95	220.6119	C9orf95	218.8086
C9orf96	7.7295	C9orf96	7.2657
C9orf98	49.2754	C9orf98	63.1555
C9orf9	152.0129	C9orf9	162.3599
CA11	102.7375	CA11	195.0554
CA12	8763.6071	CA12	3453.4312
CA13	71.9903	CA13	117.3127
CA14	74.0741	CA14	5.8684
CA2	203.2206	CA2	973.0416
CA3	343.1465	CA3	42.2527
CA4	34.1385	CA4	41.6379
CA5BP	169.4042	CA5BP	199.5266
CA5B	402.7858	CA5B	278.334
removed	removed	CA6	69.8623
CA8	293.0757	CA8	262.4026
CAB39L	498.8728	CAB39L	966.0553
CAB39	2002.8986	CAB39	2250.6826
CABC1	1206.4767	CABC1	806.8784
CABIN1	1628.6634	CABIN1	1934.3462
CABLES1	722.3833	CABLES1	674.8694
CABLES2	191.6264	CABLES2	188.3487
CABP1	7.7295	CABP1	20.3998
CABP4	17.8615	CABP4	21.2717
CABP7	5.5781	removed	removed
CABYR	77.2947	CABYR	137.4889
CACHD1	961.6747	CACHD1	916.0339
CACNA1A	27.0531	CACNA1A	29.3421
CACNA1C	386.4638	CACNA1C	640.7683
CACNA1D	1785.1852	CACNA1D	231.6633
CACNA1E	13.5266	CACNA1E	5.8684
CACNA1F	9.3398	CACNA1F	10.8985
CACNA1G	69.2432	CACNA1G	572.8705
CACNA1H	219.3688	CACNA1H	52.257
CACNA1I	13.8486	CACNA1I	13.9725
CACNA2D1	245.0886	CACNA2D1	165.7133
CACNA2D2	85.9903	CACNA2D2	259.3287
CACNA2D3	28.6634	CACNA2D3	25.9888
CACNA2D4	88.2448	CACNA2D4	68.7445
CACNB1	76.6506	CACNB1	124.0754
CACNB2	61.5137	CACNB2	33.8133
CACNB3	470.5314	CACNB3	492.6687
CACNB4	259.5813	CACNB4	176.6118
CACNG1	8.6957	removed	removed
CACNG4	1881.1594	CACNG4	612.2728
CACYBP	1085.6683	CACYBP	1185.9817
CADM1	485.9903	CADM1	1018.8712
CADM2	31.562	CADM2	12.2958
CADM3	337.343	CADM3	376.4067
CADM4	390.0161	CADM4	625.1275
CADPS2	1114.3317	CADPS2	2183.6148
CADPS	15.4589	removed	removed
CAD	1170.3704	CAD	1888.796
CALB2	219.9678	CALB2	176.8912
CALCOCO1	1842.5121	CALCOCO1	1873.1469
CALCOCO2	2377.7778	CALCOCO2	2149.2426
CALCRL	1919.8068	CALCRL	636.3055
CALCR	7.0853	removed	removed
CALD1	10453.4622	CALD1	11687.956
CALHM2	996.7794	CALHM2	738.8633
CALM1	6990.0161	CALM1	6607.0136
CALM2	10596.7794	CALM2	11270.4592
CALM3	6762.3188	CALM3	5518.2802
CALML3	217.3913	CALML3	1584.7555
CALML4	251.2077	CALML4	260.4465
CALML5	18.0354	CALML5	519.2163
CALN1	8.0515	CALN1	16.7669
CALR	10432.8502	CALR	15405.4666
CALU	4075.3623	CALU	4410.5442
CAMK1D	130.4348	CAMK1D	86.9087
removed	removed	CAMK1G	12.8547
CAMK1	241.4203	CAMK1	363.552
removed	removed	CAMK2A	34.9311
CAMK2B	10.628	CAMK2B	223.0003
CAMK2D	1332.3671	CAMK2D	1185.4228
CAMK2G	797.7456	CAMK2G	818.2268
CAMK2N1	1108.5346	CAMK2N1	1419.8806
CAMK2N2	9.3398	CAMK2N2	11.178
CAMK4	41.2238	CAMK4	17.6053
CAMKK1	163.9291	CAMKK1	267.7122
CAMKK2	1865.7005	CAMKK2	1964.8062
CAMLG	1144.6055	CAMLG	846.1717
CAMP	8.0515	removed	removed
CAMSAP1L1	1457.3269	CAMSAP1L1	1288.5395
CAMSAP1	959.7424	CAMSAP1	1010.4877
CAMTA1	358.4541	CAMTA1	499.9343
CAMTA2	1064.0902	CAMTA2	1301.6736
CAND1	3702.7375	CAND1	3534.7509
CAND2	126.57	CAND2	121.0014
CANT1	2982.2866	CANT1	2177.7464
CANX	20213.2045	CANX	19388.7332
CAP1	7239.2915	CAP1	7575.0251
CAP2	1737.1981	CAP2	267.4327
CAPG	1958.7762	CAPG	3597.6269
CAPN10	96.0548	CAPN10	176.7851
CAPN11	10.628	CAPN11	152.5792
CAPN12	40.5572	CAPN12	44.234
CAPN13	126.8921	CAPN13	389.552
CAPN1	3120.1288	CAPN1	4123.8295
CAPN2	3865.7005	CAPN2	4484.5982
CAPN3	110.6763	CAPN3	251.7892
CAPN5	393.5588	CAPN5	728.5236
CAPN6	410.9501	CAPN6	3247.1978
CAPN7	892.4316	CAPN7	811.52
CAPN8	57.971	CAPN8	281.9641
CAPN9	9.9839	CAPN9	18.1642
CAPNS1	7250.5636	CAPNS1	7025.6283
CAPRIN1	7017.0692	CAPRIN1	7701.336
CAPRIN2	351.0467	CAPRIN2	295.9365
CAPS2	57.3269	CAPS2	65.3911
CAPS	72.4638	CAPS	137.2095
CAPZA1	3648.3092	CAPZA1	2966.3515
CAPZA2	2878.5829	CAPZA2	2312.9997
removed	removed	CAPZA3	8.104
CAPZB	6052.496	CAPZB	4446.0342
CARD10	298.8728	CARD10	469.7538
CARD11	171.6586	CARD11	164.5955
CARD14	156.1997	CARD14	143.3574
CARD16	180.9984	CARD16	190.8637
CARD6	560.7085	CARD6	341.4867
CARD8	1043.1562	CARD8	916.3134
CARD9	24.4767	CARD9	100.8811
CARHSP1	1020.0741	CARHSP1	1056.9629
CARKD	965.8615	CARKD	1234.8853
CARM1	898.5507	CARM1	979.4689
CARNS1	29.6296	CARNS1	43.8735
CARS2	568.686	CARS2	734.1238
CARS	859.5781	CARS	806.4843
removed	removed	CARTPT	15.6491
CASC1	38.6473	CASC1	32.975
CASC2	35.1047	CASC2	47.2269
CASC3	3122.3833	CASC3	3088.4708
CASC4	3757.4879	CASC4	3052.1424
CASC5	139.4525	CASC5	112.0591
CASD1	772.9469	CASD1	788.8846
CASKIN1	25.4654	CASKIN1	19.7263
CASKIN2	759.7134	CASKIN2	743.0634
CASK	1562.963	CASK	1663.2807
CASP10	482.1256	CASP10	330.0293
removed	removed	CASP12	7.5451
CASP1	466.9887	CASP1	678.5023
CASP2	1231.562	CASP2	1431.8969
CASP3	827.0531	CASP3	658.3819
CASP4	895.6522	CASP4	989.2496
CASP6	495.3301	CASP6	399.3327
CASP7	789.0499	CASP7	828.0075
CASP8AP2	612.5604	CASP8AP2	533.7477
CASP8	665.0564	CASP8	576.2239
CASP9	295.9742	CASP9	313.2624
CASQ1	63.7681	CASQ1	53.3748
CASQ2	250.5636	CASQ2	74.8923
CASS4	56.3607	CASS4	42.1968
CAST	5871.7649	CAST	4890.4085
CASZ1	1207.7295	CASZ1	825.7719
CATSPER2P1	24.3027	CATSPER2P1	27.6431
CATSPER2	24.0998	CATSPER2	32.0332
CATSPER3	7.8196	CATSPER3	7.8693
CATSPERB	12.5604	CATSPERB	34.6517
CATSPERG	34.7826	CATSPERG	31.0188
CAT	2417.7134	CAT	2066.8051
CAV1	7110.1449	CAV1	4130.2568
CAV2	1486.3124	CAV2	1130.6508
CBARA1	1323.3494	CBARA1	1046.8161
CBFA2T2	1017.0692	CBFA2T2	974.7182
CBFA2T3	163.9291	CBFA2T3	228.0304
CBFB	792.9147	CBFB	908.7683
CBLB	590.0161	CBLB	502.7288
CBLC	220.2899	CBLC	189.4664
CBLL1	1296.9404	CBLL1	826.0514
CBLN1	70.2093	CBLN1	31.5777
CBLN2	14.4928	CBLN2	8.3835
CBLN3	60.5475	CBLN3	79.9224
CBLN4	59.2593	CBLN4	44.7118
CBL	1215.4589	CBL	1288.5395
CBR1	698.6699	CBR1	789.1976
CBR3	180.6763	CBR3	163.6929
CBR4	605.153	CBR4	618.1413
CBS	273.752	CBS	169.905
CBWD1	791.6264	CBWD1	534.3066
CBWD2	502.7375	CBWD2	960.7458
CBWD3	211.211	CBWD3	351.0718
CBWD5	7.1465	removed	removed
CBWD6	60.2254	CBWD6	92.4976
CBX1	1455.3945	CBX1	2115.4292
CBX2	115.62	CBX2	138.8862
CBX3	4368.7601	CBX3	3195.7792
CBX4	350.4026	CBX4	349.0318
CBX5	5170.3704	CBX5	4656.1799
CBX6	1165.8615	CBX6	1013.5617
CBX7	1581.9646	CBX7	1221.7512
CBX8	81.1594	CBX8	101.9989
CBY1	554.7536	CBY1	647.0307
CC2D1A	628.0193	CC2D1A	823.2569
CC2D1B	512.0773	CC2D1B	543.8078
CC2D2A	365.2174	CC2D2A	436.2199
CC2D2B	10.306	CC2D2B	8.6629
CCAR1	1543.3172	CCAR1	1537.2492
CCBE1	25.7649	CCBE1	13.9725
CCBL1	78.2609	CCBL1	153.4175
CCBL2	958.8019	CCBL2	796.4214
CCBP2	64.0902	CCBP2	67.3472
CCDC101	289.211	CCDC101	267.1533
CCDC102A	89.8551	CCDC102A	154.2559
CCDC102B	134.9436	CCDC102B	98.0866
CCDC103	70.2093	CCDC103	156.212
CCDC104	720.4509	CCDC104	845.6128
CCDC106	344.9275	CCDC106	191.702
CCDC107	209.4171	CCDC107	285.2895
removed	removed	CCDC108	6.1479
CCDC109A	488.5668	CCDC109A	449.6335
CCDC109B	422.5443	CCDC109B	220.4853
CCDC110	68.277	CCDC110	67.0678
CCDC111	215.4911	CCDC111	190.0924
CCDC112	228.6634	CCDC112	183.0391
CCDC113	199.6779	CCDC113	312.9829
CCDC114	10.9501	CCDC114	10.3396
CCDC115	817.3913	CCDC115	850.9223
CCDC117	988.0837	CCDC117	910.1655
CCDC11	36.0709	CCDC11	35.7695
CCDC120	372.3027	CCDC120	392.067
CCDC121	134.6216	CCDC121	148.3874
CCDC122	61.1916	CCDC122	66.7883
CCDC123	383.2528	CCDC123	404.6422
CCDC124	378.0998	CCDC124	492.6687
CCDC125	669.5652	CCDC125	497.4193
CCDC126	158.132	CCDC126	191.9815
CCDC127	448.9533	CCDC127	390.3903
CCDC129	21.5781	CCDC129	46.9474
CCDC12	273.43	CCDC12	374.1823
CCDC130	248.9533	CCDC130	292.5831
CCDC132	617.0692	CCDC132	618.4207
CCDC134	63.4461	CCDC134	72.9362
CCDC136	18.0354	CCDC136	72.3773
CCDC137	239.2915	CCDC137	336.1772
CCDC138	51.8519	CCDC138	62.876
CCDC13	6.7633	CCDC13	6.4273
CCDC141	12.5604	CCDC141	58.4048
CCDC142	126.38	CCDC142	148.0661
removed	removed	CCDC144A	5.589
CCDC144B	9.9098	CCDC144B	8.104
CCDC146	200	CCDC146	131.0616
CCDC147	8.0515	CCDC147	10.6191
CCDC148	12.5604	CCDC148	22.6354
CCDC149	747.182	CCDC149	664.2504
CCDC14	907.5684	CCDC14	1015.2384
CCDC150	11.9163	CCDC150	11.7369
CCDC151	5.7971	CCDC151	5.3095
CCDC152	139.0725	CCDC152	110.0694
CCDC153	16.4251	CCDC153	7.2657
CCDC157	22.8728	CCDC157	40.8275
CCDC158	24.4767	CCDC158	31.8572
CCDC159	152.657	CCDC159	143.6368
CCDC15	104.0258	CCDC15	100.6017
CCDC160	36.715	CCDC160	78.5252
CCDC163P	17.7134	CCDC163P	11.4574
CCDC17	5.7971	CCDC17	9.7807
CCDC18	76.0129	CCDC18	68.7584
CCDC19	10.306	removed	removed
CCDC21	301.1272	CCDC21	307.1145
CCDC22	383.182	CCDC22	433.1684
CCDC23	281.4815	CCDC23	271.0656
CCDC24	188.6828	CCDC24	137.7209
CCDC25	1285.6683	CCDC25	1233.7675
CCDC28A	492.1095	CCDC28A	339.81
CCDC28B	90.4992	CCDC28B	120.1631
CCDC30	111.7552	CCDC30	97.8072
CCDC34	279.5491	CCDC34	293.4215
CCDC36	24.7987	CCDC36	14.8108
CCDC39	45.9775	CCDC39	30.1805
CCDC3	1290.1771	CCDC3	535.9833
CCDC40	111.1111	CCDC40	96.9688
CCDC41	240.5797	CCDC41	248.1507
CCDC43	401.9324	CCDC43	446.2801
CCDC45	424.1546	CCDC45	489.8742
CCDC46	259.2593	CCDC46	226.0743
CCDC47	3520.1288	CCDC47	3386.6429
CCDC48	74.3961	CCDC48	110.9413
CCDC50	2210.306	CCDC50	1808.5942
CCDC51	287.2786	CCDC51	249.2685
CCDC52	379.066	CCDC52	329.7499
CCDC53	388.7279	CCDC53	375.0206
CCDC55	818.3575	CCDC55	783.2957
CCDC56	614.8953	CCDC56	894.1028
CCDC57	533.3333	CCDC57	588.5197
CCDC58	145.5717	CCDC58	158.7271
CCDC59	353.9452	CCDC59	314.3802
CCDC61	126.8921	CCDC61	110.6618
CCDC62	7.0853	CCDC62	5.8684
CCDC64B	179.7101	CCDC64B	341.2073
CCDC64	73.43	CCDC64	199.8061
CCDC65	21.9002	CCDC65	13.693
CCDC66	345.0113	CCDC66	260.1475
CCDC68	75.0403	CCDC68	34.0928
CCDC69	1530.4348	CCDC69	864.6153
CCDC6	2752.3349	CCDC6	2968.3077
CCDC71	479.2271	CCDC71	491.8303
CCDC72	1337.8422	CCDC72	1194.9241
CCDC73	47.2174	CCDC73	36.1942
CCDC74A	270.8535	CCDC74A	145.8724
CCDC74B	70.5314	CCDC74B	63.4349
CCDC75	119.8068	CCDC75	98.0866
CCDC76	310.4412	CCDC76	318.5272
CCDC77	177.4557	CCDC77	152.0203
CCDC78	20.934	CCDC78	7.8246
CCDC7	41.7424	CCDC7	37.639
CCDC80	17377.1337	CCDC80	4654.5032
CCDC81	8.0515	CCDC81	11.4574
CCDC82	432.8502	CCDC82	486.5208
CCDC84	82.7697	CCDC84	85.7909
CCDC85A	68.599	CCDC85A	52.257
CCDC85B	98.5507	CCDC85B	124.6343
CCDC85C	627.9066	CCDC85C	741.3867
CCDC86	431.095	CCDC86	641.288
CCDC87	16.7472	CCDC87	12.2958
CCDC88A	871.4976	CCDC88A	951.8034
CCDC88B	109.1787	CCDC88B	194.776
CCDC88C	1152.3349	CCDC88C	884.4562
CCDC89	43.8003	CCDC89	43.0352
CCDC8	422.2222	CCDC8	962.7019
CCDC90A	266.6667	CCDC90A	319.9691
CCDC90B	653.7649	CCDC90B	660.3996
CCDC91	406.1192	CCDC91	470.3127
CCDC92	1001.2882	CCDC92	825.213
CCDC93	1155.8776	CCDC93	1212.2499
CCDC94	245.0886	CCDC94	274.9779
CCDC96	39.6135	CCDC96	51.6981
CCDC97	1104.3478	CCDC97	1088.454
CCDC99	242.19	CCDC99	210.7046
CCDC9	190.6602	CCDC9	232.2222
CCHCR1	253.1401	CCHCR1	329.7499
CCIN	9.9839	CCIN	5.589
CCKAR	5.475	removed	removed
CCL11	8.0515	CCL11	6.9862
CCL13	24.4767	CCL13	19.282
CCL14	1543.2593	CCL14	1124.461
CCL16	5.475	removed	removed
CCL17	19.6457	CCL17	15.9286
CCL18	192.9147	CCL18	1293.849
CCL19	1259.9034	CCL19	305.1583
removed	removed	CCL20	5.0301
CCL21	1128.8245	CCL21	3315.1039
CCL22	336.5539	CCL22	108.1468
CCL23	28.3414	CCL23	36.0489
CCL26	8.3736	removed	removed
CCL28	233.1723	CCL28	1184.305
CCL2	446.6989	CCL2	458.2964
CCL3L1	31.1916	CCL3L1	36.8733
removed	removed	CCL3L3	7.8385
CCL3	83.0918	CCL3	153.697
CCL4L2	46.6989	CCL4L2	60.9199
CCL4	81.8035	CCL4	90.8209
CCL5	1370.3704	CCL5	773.7944
CCL8	61.8357	CCL8	45.2707
CCM2	717.2303	CCM2	789.1641
CCNA1	5.7971	CCNA1	15.0902
CCNA2	304.0161	CCNA2	265.0854
CCNB1IP1	533.9775	CCNB1IP1	819.0651
CCNB1	597.7456	CCNB1	464.4443
CCNB2	219.6457	CCNB2	198.1294
CCNB3	26.7311	CCNB3	10.0602
CCNC	1338.1643	CCNC	1216.1622
CCND1	8608.3736	CCND1	7119.2884
CCND2	1322.3833	CCND2	2352.9609
CCND3	1242.19	CCND3	1380.7577
CCNDBP1	1157.4879	CCNDBP1	909.3272
CCNE1	42.5121	CCNE1	54.4926
CCNE2	133.9324	CCNE2	83.7481
CCNF	390.6602	CCNF	318.8514
CCNG1	3509.8229	CCNG1	2862.3965
CCNG2	3554.2673	CCNG2	2390.6865
CCNH	484.8889	CCNH	454.3115
CCNI2	12.4928	CCNI2	19.0556
CCNI	8104.0258	CCNI	6550.8444
CCNJL	92.1095	CCNJL	189.7459
CCNJ	247.6651	CCNJ	251.5041
CCNK	1019.7585	CCNK	941.176
CCNL1	883.4138	CCNL1	1041.786
CCNL2	1456.3607	CCNL2	1627.7906
CCNO	177.4557	CCNO	56.7282
CCNT1	318.1965	CCNT1	278.8901
CCNT2	841.2238	CCNT2	950.6856
CCNYL1	485.9903	CCNYL1	416.938
CCNY	2485.0242	CCNY	2049.7587
CCPG1	2732.9662	CCPG1	2183.4555
CCR10	12.2383	CCR10	19.282
CCR1	219.0016	CCR1	319.9691
CCR2	356.1997	CCR2	244.5179
CCR4	102.7375	CCR4	29.6216
CCR5	437.6812	CCR5	312.1446
CCR6	181.7198	CCR6	163.9667
CCR7	311.4332	CCR7	84.1142
CCR8	22.8663	removed	removed
CCRL1	94.686	CCRL1	50.0214
CCRL2	103.3816	CCRL2	106.4701
CCRN4L	109.5008	CCRN4L	157.0504
CCS	241.5459	CCS	296.216
CCT2	2832.8502	CCT2	3467.6831
CCT3	5676.0064	CCT3	6191.7523
CCT4	3367.1498	CCT4	4234.4913
CCT5	3417.7134	CCT5	4150.0977
CCT6A	3781.6425	CCT6A	4102.5913
CCT6B	95.3301	CCT6B	113.4563
CCT6P1	78.2609	CCT6P1	67.0678
CCT7	3338.4863	CCT7	4731.3517
CCT8	3387.7617	CCT8	3561.0191
CD101	58.6151	CD101	48.6241
CD109	1481.1594	CD109	930.8252
CD14	1323.9936	CD14	1669.4286
CD151	5216.1031	CD151	4722.1298
CD160	22.2222	CD160	22.6354
CD163L1	138.8084	CD163L1	151.7408
CD163	1374.8792	CD163	913.7984
CD164L2	13.8486	CD164L2	58.6843
CD164	9870.2093	CD164	9783.5108
CD177	31.562	removed	removed
CD180	209.9839	CD180	399.0532
CD19	31.8841	CD19	25.9888
CD1A	22.8663	CD1A	12.2958
CD1B	18.0354	removed	removed
CD1C	200	CD1C	112.3385
CD1D	82.1256	CD1D	81.3197
CD1E	188.0837	CD1E	72.9362
CD200R1	104.0258	CD200R1	39.9612
CD200	477.6167	CD200	527.5998
CD207	122.3833	CD207	146.1518
CD209	287.9227	CD209	234.1783
CD226	73.43	CD226	33.2544
CD22	334.9436	CD22	229.7071
CD244	35.7488	CD244	48.0652
CD247	183.5749	CD247	109.2646
CD248	1533.9775	CD248	4492.7022
CD24	17200	CD24	13758.1145
CD274	32.8502	CD274	28.2244
CD276	2448.6312	CD276	2536.2795
CD27	432.9404	CD27	181.5273
CD28	174.5572	CD28	107.5879
CD2AP	1643.4783	CD2AP	1595.9335
CD2BP2	1426.087	CD2BP2	1531.3807
CD2	601.2882	CD2	306.5556
CD300A	188.7279	CD300A	336.7361
CD300C	29.6296	CD300C	46.9474
CD300LB	22.5443	CD300LB	28.2244
CD300LF	68.599	CD300LF	135.2533
CD300LG	318.8406	CD300LG	465.0032
CD302	2243.8873	CD302	1578.0878
CD320	652.496	CD320	497.4193
CD33	112.0773	CD33	110.3824
CD34	4875.6844	CD34	2881.9579
CD36	6375.2013	CD36	3362.0514
CD37	681.8035	CD37	667.3243
CD38	105.314	CD38	52.257
CD3D	202.5765	CD3D	110.9413
CD3EAP	517.6393	CD3EAP	611.7139
CD3E	670.8535	CD3E	365.7988
CD3G	111.4332	CD3G	47.2269
CD40LG	98.5507	CD40LG	76.0101
CD40	400.3221	CD40	410.7901
CD44	9280.1932	CD44	7930.4843
CD46	5204.1868	CD46	4150.936
CD47	2312.3994	CD47	3691.5218
CD48	688.2448	CD48	551.9119
CD4	2093.3977	CD4	1950.8337
CD52	630.9179	CD52	433.9844
CD53	1207.4074	CD53	1183.7461
CD55	788.7279	CD55	795.312
CD58	202.8986	CD58	183.598
CD59	14372.9469	CD59	23981.4781
CD5	344.6055	CD5	161.2421
CD63	10152.3349	CD63	11419.4055
CD68	3187.4396	CD68	4270.5402
CD69	106.6023	CD69	48.9036
CD6	324.9597	CD6	216.0141
CD72	68.599	CD72	70.1417
CD74	49172.6248	CD74	41892.4848
CD79A	687.6006	CD79A	380.3301
CD79B	160.7085	CD79B	147.2696
CD7	91.4654	CD7	70.1417
CD80	28.3414	CD80	24.5915
CD81	12532.3671	CD81	13283.61
CD82	629.9517	CD82	1391.9357
CD83	501.4493	CD83	482.329
CD84	204.8309	CD84	180.5241
CD86	274.7182	CD86	215.7347
CD8A	412.8824	CD8A	215.1758
CD8B	143.3172	CD8B	96.1305
CD93	5104.3478	CD93	2615.9224
CD96	314.9758	CD96	159.0065
CD97	1013.8486	CD97	1174.2449
CD99L2	1740.7407	CD99L2	1503.4358
CD99	4336.5539	CD99	1094.043
CD9	6946.8599	CD9	6565.3757
CDADC1	219.9678	CDADC1	183.3186
CDAN1	378.4219	CDAN1	362.7249
CDA	69.8873	CDA	20.3998
CDC123	1042.7536	CDC123	986.6647
CDC14A	1125.6039	CDC14A	442.0884
CDC14B	372.3027	CDC14B	400.171
removed	removed	CDC14C	5.0301
CDC16	1369.7262	CDC16	1391.3768
CDC20	305.314	CDC20	238.0906
CDC23	989.372	CDC23	825.4925
CDC25A	79.5491	CDC25A	95.851
CDC25B	624.7987	CDC25B	731.5976
CDC25C	57.649	CDC25C	47.2269
CDC26	80.132	CDC26	100.1434
CDC27	2363.9291	CDC27	1481.3594
CDC34	297.5845	CDC34	456.3403
CDC37L1	442.5121	CDC37L1	383.6835
CDC37	2025.4428	CDC37	2387.3331
CDC40	904.6699	CDC40	729.9209
CDC42BPA	1710.467	CDC42BPA	1710.2281
CDC42BPB	3614.8148	CDC42BPB	3413.47
CDC42BPG	274.0741	CDC42BPG	626.8042
CDC42EP1	820.6119	CDC42EP1	1352.8128
CDC42EP2	369.7262	CDC42EP2	378.9329
CDC42EP3	551.6908	CDC42EP3	678.5023
CDC42EP4	2007.0853	CDC42EP4	3295.822
CDC42EP5	66.6667	CDC42EP5	125.7521
CDC42SE1	2891.3784	CDC42SE1	3014.0451
CDC42SE2	2253.7842	CDC42SE2	1510.9809
CDC42	8104.9919	CDC42	6246.2449
CDC45	56.3607	CDC45	93.0565
CDC5L	1192.2705	CDC5L	1097.6758
CDC6	268.9211	CDC6	232.781
CDC73	1278.2609	CDC73	983.6606
CDC7	158.7762	CDC7	176.0529
CDCA2	101.7713	CDCA2	91.3798
CDCA3	111.6167	CDCA3	103.0245
CDCA4	261.8357	CDCA4	264.9177
CDCA5	251.2077	CDCA5	234.7372
CDCA7L	401.2464	CDCA7L	730.0746
CDCA7	66.6667	CDCA7	159.5654
CDCA8	262.4799	CDCA8	190.8637
CDCP1	845.7327	CDCP1	934.757
CDH10	7.0853	removed	removed
CDH11	3164.8953	CDH11	2881.9579
CDH12	6.1192	CDH12	9.2218
CDH13	370.6924	CDH13	404.9217
CDH17	10.306	removed	removed
CDH19	23.1884	CDH19	12.2958
removed	removed	CDH1	12016.8675
CDH20	7.4074	removed	removed
CDH22	7.7295	CDH22	31.5777
CDH23	302.0483	CDH23	479.1517
CDH24	160.0644	CDH24	108.7057
CDH26	8.3736	CDH26	10.6191
CDH2	91.4654	CDH2	76.0101
CDH3	527.2142	CDH3	3418.2206
removed	removed	CDH4	29.901
CDH5	2865.3784	CDH5	1815.8599
CDH6	246.3768	CDH6	63.4349
CDH8	9.9839	CDH8	51.4186
CDHR1	14.8148	CDHR1	18.7231
CDHR3	16.5411	CDHR3	37.1416
CDIPT	1829.6296	CDIPT	1617.1716
CDK10	286.9565	CDK10	651.3957
CDK11A	111.971	CDK11A	158.8835
CDK11B	604.6151	CDK11B	690.6415
CDK12	1643.1562	CDK12	1518.5261
CDK13	1198.0676	CDK13	1162.2286
CDK14	967.1498	CDK14	828.2869
CDK15	18.3575	removed	removed
CDK16	1590.3382	CDK16	1684.7983
CDK17	860.8696	CDK17	752.2768
CDK18	119.4847	CDK18	356.8564
CDK19	931.9871	CDK19	786.9676
CDK1	534.9436	CDK1	324.7198
CDK20	104.3478	CDK20	165.4338
CDK2AP1	1656.6828	CDK2AP1	2816.8463
CDK2AP2	567.7939	CDK2AP2	663.9709
CDK2	617.3913	CDK2	612.5523
CDK3	56.3607	CDK3	110.7764
CDK4	2211.2721	CDK4	2454.4009
CDK5R1	75.3623	CDK5R1	117.9275
CDK5RAP1	415.1369	CDK5RAP1	422.2475
CDK5RAP2	1551.3688	CDK5RAP2	1827.3173
CDK5RAP3	1149.1143	CDK5RAP3	1595.3746
CDK5	201.9324	CDK5	242.5618
CDK6	1006.7633	CDK6	1440.2803
CDK7	398.7118	CDK7	364.9604
CDK8	179.066	CDK8	194.2171
CDK9	891.4654	CDK9	869.6454
CDKAL1	350.7246	CDKAL1	330.5882
CDKL1	49.9195	CDKL1	25.9888
CDKL2	15.4589	CDKL2	16.4875
CDKL3	46.6634	CDKL3	23.3731
CDKL5	96.9404	CDKL5	70.1417
CDKN1A	2829.6296	CDKN1A	1243.5482
CDKN1B	2206.7633	CDKN1B	1378.5221
CDKN1C	363.285	CDKN1C	478.4168
CDKN2AIPNL	328.5024	CDKN2AIPNL	325.8376
CDKN2AIP	590.3382	CDKN2AIP	519.2163
CDKN2A	47.0209	CDKN2A	29.901
CDKN2BAS	6.4412	removed	removed
CDKN2B	616.7472	CDKN2B	161.5215
CDKN2C	721.7391	CDKN2C	411.0695
CDKN2D	113.0435	CDKN2D	79.3635
CDKN3	81.8035	CDKN3	71.8184
