gene_id	TCGA-BH-A0DK-01A-21R-A056-07	gene_id	TCGA-BH-A0DK-11A-13R-A089-07
CDK18	406.3906	CDK18	232.0192
CDK19	860.6661	CDK19	752.9636
CDK1	631.8632	CDK1	160.3148
CDK20	128.2628	CDK20	179.2611
CDK2AP1	2612.9613	CDK2AP1	1902.4995
CDK2AP2	1669.2169	CDK2AP2	681.1922
CDK2	824.0324	CDK2	668.6585
CDK3	37.7228	CDK3	64.4757
CDK4	2199.82	CDK4	1364.7162
CDK5R1	74.7075	CDK5R1	41.9733
CDK5R2	6.3006	removed	removed
CDK5RAP1	444.6445	CDK5RAP1	694.3088
CDK5RAP2	1342.4842	CDK5RAP2	1739.8528
CDK5RAP3	1786.2286	CDK5RAP3	1755.0098
CDK5	466.2466	CDK5	294.1048
CDK6	452.2952	CDK6	689.0622
CDK7	719.622	CDK7	429.3522
CDK8	140.8641	CDK8	161.4807
CDK9	1299.73	CDK9	1010.2747
CDKAL1	284.4284	CDKAL1	310.4277
CDKL1	28.3528	CDKL1	7.5785
CDKL2	8.1008	CDKL2	39.0585
CDKL3	19.0594	CDKL3	21.182
CDKL5	54.0054	CDKL5	102.893
CDKN1A	3338.4338	CDKN1A	2723.3112
CDKN1B	638.1638	CDKN1B	1047.2929
CDKN1C	569.757	CDKN1C	348.0289
CDKN2AIPNL	432.4932	CDKN2AIPNL	309.2618
CDKN2AIP	436.0936	CDKN2AIP	476.8637
CDKN2A	235.3735	CDKN2A	56.8389
CDKN2BAS	9.901	removed	removed
CDKN2B	520.7021	CDKN2B	219.1941
CDKN2C	338.4338	CDKN2C	123.0052
CDKN2D	217.3717	CDKN2D	64.4174
CDKN3	274.5275	CDKN3	38.4756
CDNF	14.4014	CDNF	42.5563
CDO1	79.2079	CDO1	280.1137
CDON	478.8479	CDON	867.7403
CDR1	9.5635	removed	removed
CDR2L	1081.4581	CDR2L	641.5507
CDR2	779.4779	CDR2	862.2021
CDRT4	193.0693	CDRT4	225.7203
CDS1	970.297	CDS1	1329.1554
CDS2	953.1953	CDS2	784.3766
CDSN	37.3537	CDSN	83.9467
CDT1	378.4878	CDT1	60.6281
CDV3	12802.4302	CDV3	3743.4963
CDX1	28.3528	removed	removed
CDYL2	70.207	CDYL2	133.4985
CDYL	582.3582	CDYL	683.524
CEACAM19	18.9019	CEACAM19	25.9418
CEACAM1	350.5851	CEACAM1	575.3844
CEACAM21	8.1008	removed	removed
CEACAM5	5680.468	CEACAM5	53.0496
CEACAM6	23036.0036	CEACAM6	933.0321
CEACAM7	13.5014	CEACAM7	16.9059
CEBPA	572.4572	CEBPA	312.1766
CEBPB	757.8758	CEBPB	898.9288
CEBPD	872.6373	CEBPD	1141.4414
CEBPG	1033.7534	CEBPG	1000.3644
CEBPZ	1419.4419	CEBPZ	1354.2228
CECR1	2351.9352	CECR1	2759.1634
CECR2	5.8506	CECR2	95.3144
CECR5	379.838	CECR5	590.2499
CECR6	13.9514	CECR6	160.3148
CECR7	34.2034	CECR7	97.0633
CELF1	1231.7732	CELF1	2010.0561
CELF2	1042.7543	CELF2	643.0081
CELF5	13.0513	CELF5	27.3993
removed	removed	CELF6	28.4807
CELSR1	3000	CELSR1	4272.5352
CELSR2	5825.3825	CELSR2	5988.195
CELSR3	58.9559	CELSR3	61.7649
CEL	23.8524	CEL	688.7707
CEMP1	81.7012	CEMP1	123.8126
CEND1	8.5509	removed	removed
CENPA	135.4635	CENPA	17.1974
CENPBD1	173.2673	CENPBD1	311.5937
CENPB	2129.613	CENPB	1518.9099
CENPC1	381.1881	CENPC1	504.2629
CENPE	335.7336	CENPE	78.7
CENPF	2146.7147	CENPF	446.2581
CENPH	193.5194	CENPH	83.3637
CENPI	67.5068	CENPI	15.4485
CENPJ	191.2691	CENPJ	212.1985
CENPK	80.108	CENPK	29.4396
CENPL	198.9199	CENPL	104.6418
CENPM	283.9784	CENPM	29.4396
CENPN	282.2322	CENPN	183.1086
CENPO	189.784	CENPO	82.6175
CENPP	170.387	CENPP	63.5808
CENPQ	131.4131	CENPQ	107.2652
CENPT	235.3735	CENPT	291.7729
CENPV	33.7534	CENPV	36.4352
CENPW	220.5221	CENPW	61.5026
CEP110	570.207	CEP110	627.8511
CEP120	589.1089	CEP120	602.7836
CEP135	204.7705	CEP135	205.4944
CEP152	78.3078	CEP152	66.1663
CEP164	355.0855	CEP164	573.0525
CEP170	871.7372	CEP170	896.3055
CEP192	575.1575	CEP192	770.094
CEP250	702.9703	CEP250	646.5059
CEP290	418.2763	CEP290	574.7052
CEP350	1433.3933	CEP350	1553.0132
CEP55	538.7039	CEP55	71.7044
CEP57	564.8065	CEP57	792.5381
CEP63	619.4734	CEP63	675.0827
CEP68	820.8821	CEP68	960.7229
CEP70	614.7615	CEP70	494.9355
removed	removed	CEP72	71.413
CEP76	155.7156	CEP76	146.6152
CEP78	361.3861	CEP78	274.5755
CEP97	145.3645	CEP97	229.9789
CEPT1	568.4068	CEPT1	639.5103
CERCAM	2123.7624	CERCAM	826.6414
CERKL	159.559	CERKL	25.9477
CERK	960.396	CERK	584.7118
CES1	1599.4599	CES1	783.7936
CES2	828.9829	CES2	1266.1954
CES3	17.5518	CES3	80.7404
CES4	64.8065	CES4	16.0315
removed	removed	CES7	9.0359
CES8	10.8011	CES8	66.7493
CETN2	1246.1746	CETN2	1228.5943
CETN3	326.2826	CETN3	324.1274
CETP	76.0576	CETP	6.4126
CFB	12883.7759	CFB	1805.0455
CFDP1	801.5302	CFDP1	802.157
CFD	659.766	CFD	1191.2847
removed	removed	CFHR2	5.2467
removed	removed	CFHR5	283.0285
CFH	2145.3645	CFH	1265.6125
CFI	515.7516	CFI	528.1644
CFL1	30786.2286	CFL1	11822.7793
CFL2	240.324	CFL2	386.5044
CFLAR	827.1827	CFLAR	987.8306
CFP	55.3555	CFP	11.9507
removed	removed	CFTR	8.453
CG030	18.9019	CG030	17.7804
CGA	15.3015	removed	removed
removed	removed	CGB7	9.3653
CGGBP1	1941.9577	CGGBP1	2359.554
CGNL1	559.856	CGNL1	2367.7039
CGN	1502.2502	CGN	1209.9395
CGREF1	333.0648	CGREF1	111.0428
CGRRF1	202.9703	CGRRF1	251.84
CH25H	62.1062	CH25H	53.6326
CHAC1	160.216	CHAC1	41.6818
CHAC2	31.9532	CHAC2	28.5652
CHADL	79.658	CHADL	60.0452
CHAD	11912.6688	CHAD	557.0211
CHAF1A	610.261	CHAF1A	312.7596
CHAF1B	483.3483	CHAF1B	155.9426
CHCHD10	359.586	CHCHD10	288.2752
CHCHD1	607.5608	CHCHD1	534.577
CHCHD2	6506.7507	CHCHD2	3262.5519
CHCHD3	1409.991	CHCHD3	677.9859
CHCHD4	231.3231	CHCHD4	246.5933
CHCHD5	466.2466	CHCHD5	292.0644
CHCHD6	147.1647	CHCHD6	113.3863
CHCHD7	259.676	CHCHD7	385.047
CHCHD8	585.9586	CHCHD8	562.8507
CHD1L	578.3078	CHD1L	1585.6591
CHD1	1224.1224	CHD1	1276.6888
CHD2	1836.6337	CHD2	2586.8979
CHD3	3382.5383	CHD3	4462.5811
CHD4	6447.3807	CHD4	6339.6459
CHD6	1778.5779	CHD6	2492.4579
CHD7	416.7417	CHD7	816.1481
CHD8	1992.7993	CHD8	2443.7805
CHD9	848.3348	CHD9	1748.5972
CHDH	300.18	CHDH	867.7403
CHEK1	193.5194	CHEK1	104.0589
CHEK2	319.0819	CHEK2	139.3281
CHERP	1671.2106	CHERP	1100.3571
CHFR	542.3042	CHFR	443.3433
CHGA	10.8011	CHGA	9.6189
CHGB	23.8524	CHGB	29.4396
CHI3L1	1479.2979	CHI3L1	4307.5129
CHI3L2	139.0639	CHI3L2	502.8055
CHIC1	171.4671	CHIC1	246.5933
CHIC2	247.9748	CHIC2	239.5978
CHID1	977.0477	CHID1	1528.5287
CHIT1	66.6067	CHIT1	2031.3343
CHKA	324.0324	CHKA	715.587
CHKB-CPT1B	160.5896	CHKB-CPT1B	270.9728
CHKB	258.7624	CHKB	230.8008
CHL1	141.7642	CHL1	506.8862
CHML	658.8659	CHML	513.8818
CHMP1A	1914.4914	CHMP1A	1599.6502
CHMP1B	1894.6895	CHMP1B	2022.8813
CHMP2A	2891.5392	CHMP2A	1740.4358
CHMP2B	920.342	CHMP2B	1272.3165
CHMP4A	984.9235	CHMP4A	719.4695
CHMP4B	4633.2133	CHMP4B	2974.8597
CHMP4C	419.892	CHMP4C	489.1059
CHMP5	2345.7921	CHMP5	1459.0541
CHMP6	620.162	CHMP6	391.7511
CHMP7	1660.6661	CHMP7	1153.6836
CHM	537.3537	CHM	649.7122
CHN1	424.3924	CHN1	133.4985
CHN2	97.6598	CHN2	59.7537
CHODL	18.9019	CHODL	23.61
CHORDC1	396.9397	CHORDC1	457.9174
CHPF2	1684.0684	CHPF2	1183.1232
CHPF	3560.7561	CHPF	1839.2072
CHPT1	865.8866	CHPT1	1893.755
CHP	2618.3618	CHP	3814.3263
CHRAC1	655.7156	CHRAC1	450.6303
CHRDL1	549.505	CHRDL1	791.3721
removed	removed	CHRDL2	11.6593
CHRD	976.1476	CHRD	155.6511
CHRFAM7A	19.3519	CHRFAM7A	22.9862
CHRM1	22.9523	CHRM1	75.7852
CHRM3	14.8515	CHRM3	19.5293
removed	removed	CHRM5	17.4889
CHRNA10	12.6013	CHRNA10	6.9956
CHRNA1	24.7525	CHRNA1	57.1304
removed	removed	CHRNA2	176.0548
CHRNA5	36.9037	CHRNA5	33.5204
CHRNA6	6.3006	removed	removed
removed	removed	CHRNA7	9.9104
CHRNB1	93.1593	CHRNB1	165.8529
CHRNB2	16.2016	CHRNB2	108.1396
CHRNB4	7.6508	removed	removed
CHRNE	12.0522	CHRNE	14.7344
CHST10	273.1773	CHST10	271.6607
CHST11	336.6337	CHST11	110.763
CHST12	437.8938	CHST12	208.4092
CHST13	13.9514	removed	removed
CHST14	815.4815	CHST14	396.7063
CHST15	1527.9028	CHST15	1398.8195
CHST1	139.514	CHST1	881.4399
CHST2	261.0261	CHST2	160.6063
CHST3	576.0576	CHST3	1417.4743
removed	removed	CHST4	10.7848
CHST6	14.8515	CHST6	26.2333
CHST7	98.1098	CHST7	50.7178
CHST8	491.4491	CHST8	356.4818
CHST9	63.4563	CHST9	194.1266
CHSY1	1645.8146	CHSY1	3020.9138
CHSY3	178.6679	CHSY3	41.3904
CHTF18	286.2286	CHTF18	96.7718
CHTF8	2025.2025	CHTF8	2243.7076
CHUK	376.2376	CHUK	762.224
CHURC1	1082.6058	CHURC1	1287.016
CIAO1	1805.1305	CIAO1	1860.2346
CIAPIN1	556.2556	CIAPIN1	698.9725
CIB1	2475.2475	CIB1	1488.0128
CIB2	72.0072	CIB2	43.4307
CIB3	7.6508	CIB3	6.1211
CIC	1900.9901	CIC	1778.3284
CIDEA	75.6076	CIDEA	16.6144
CIDEB	251.0126	CIDEB	332.7844
CIDECP	113.8614	CIDECP	78.7
CIDEC	261.4761	CIDEC	62.377
CIITA	387.0387	CIITA	123.8796
CILP2	232.2232	CILP2	25.3589
CILP	4695.7696	CILP	700.4299
CINP	617.0117	CINP	351.8181
CIR1	1280.8281	CIR1	776.2151
CIRBP	5123.3123	CIRBP	5603.4395
CIRH1A	585.5086	CIRH1A	796.9103
CISD1	244.8245	CISD1	291.7729
CISD2	553.1053	CISD2	491.4377
CISD3	504.0909	CISD3	782.0068
CISH	920.7921	CISH	1278.4377
CITED1	33.3033	CITED1	767.1792
CITED2	1412.2412	CITED2	2506.7405
CITED4	77.4077	CITED4	896.3055
CIT	942.8443	CIT	177.8037
CIZ1	2016.6517	CIZ1	1265.321
CKAP2L	198.4698	CKAP2L	38.1841
CKAP2	466.6967	CKAP2	339.5759
CKAP4	6107.5608	CKAP4	2168.0391
CKAP5	2443.2943	CKAP5	2509.6553
CKB	702.0702	CKB	271.6607
CKLF	297.0297	CKLF	235.2255
CKMT1A	170.117	CKMT1A	268.7459
CKMT1B	276.3276	CKMT1B	237.5574
CKMT2	22.0522	CKMT2	35.2693
CKS1B	788.4788	CKS1B	352.4011
CKS2	830.333	CKS2	197.3329
CLASP1	1555.8056	CLASP1	1570.5021
CLASP2	742.1242	CLASP2	1497.3402
removed	removed	CLCA1	11.3678
CLCA2	130.5131	CLCA2	2524.5209
removed	removed	CLCA4	41.6818
CLCC1	817.6598	CLCC1	1105.0557
CLCF1	154.3654	CLCF1	91.5252
CLCN2	125.5626	CLCN2	92.3996
CLCN3	1239.4239	CLCN3	2379.0716
CLCN4	68.4068	CLCN4	76.9511
CLCN5	166.9667	CLCN5	181.8844
CLCN6	190.8191	CLCN6	356.1903
CLCN7	1562.1062	CLCN7	1610.435
CLDN10	12.2412	CLDN10	13.4169
CLDN11	163.8164	CLDN11	579.949
CLDN12	603.9604	CLDN12	1693.0613
CLDN14	11.7012	CLDN14	13.1167
CLDN15	153.9154	CLDN15	61.7941
CLDN19	27.4527	CLDN19	185.6737
CLDN1	746.1746	CLDN1	1248.4151
CLDN23	233.5734	CLDN23	69.3726
removed	removed	CLDN2	18.0719
CLDN3	3136.8137	CLDN3	1742.4761
CLDN4	5325.8326	CLDN4	5370.2543
CLDN5	278.5779	CLDN5	190.0459
CLDN7	2300.18	CLDN7	2825.3297
CLDN8	107.5608	CLDN8	3829.4833
CLDN9	8.5509	removed	removed
CLDND1	1434.2934	CLDND1	1023.0999
CLEC10A	254.2754	CLEC10A	48.3859
CLEC11A	510.351	CLEC11A	128.5433
CLEC12A	19.3519	removed	removed
CLEC14A	1034.2034	CLEC14A	267.58
CLEC16A	540.054	CLEC16A	949.9381
CLEC17A	21.1521	removed	removed
CLEC1A	88.2088	CLEC1A	51.8837
CLEC2B	310.081	CLEC2B	104.3504
CLEC2D	700.27	CLEC2D	266.7055
CLEC3B	418.9919	CLEC3B	774.1747
CLEC4A	63.0063	CLEC4A	20.1122
removed	removed	CLEC4C	5.5381
CLEC4E	38.2538	CLEC4E	42.8478
CLEC4F	8.5509	CLEC4F	18.0719
CLEC5A	29.703	CLEC5A	32.3544
CLEC7A	229.973	CLEC7A	76.0767
CLEC9A	22.5023	CLEC9A	10.7848
CLECL1	21.1521	CLECL1	5.8296
CLGN	193.0693	CLGN	215.9878
CLIC1	10235.3735	CLIC1	4968.3014
CLIC2	519.3519	CLIC2	185.3822
CLIC3	104.4104	CLIC3	121.2563
CLIC4	3638.1638	CLIC4	5390.0751
CLIC5	323.1323	CLIC5	187.4226
CLIC6	194.8695	CLIC6	272.2437
CLINT1	1685.4185	CLINT1	2228.6672
CLIP1	1867.6868	CLIP1	2297.1653
CLIP2	575.6076	CLIP2	281.5711
CLIP3	681.3681	CLIP3	453.8366
CLIP4	243.4743	CLIP4	606.8644
CLK1	813.6814	CLK1	1506.0847
CLK2P	15.3015	CLK2P	11.9507
CLK2	606.6607	CLK2	600.1603
CLK3	687.2187	CLK3	745.0266
CLK4	199.82	CLK4	413.6122
CLMN	762.8263	CLMN	2558.3327
CLN3	1403.2403	CLN3	1675.4354
CLN5	497.2997	CLN5	852.5833
CLN6	1353.7354	CLN6	637.1785
CLN8	284.4284	CLN8	480.07
removed	removed	CLNK	19.2378
CLNS1A	1133.6634	CLNS1A	1218.101
CLOCK	316.8317	CLOCK	645.0485
CLP1	166.9667	CLP1	223.8578
CLPB	158.4158	CLPB	302.8492
CLPP	982.4482	CLPP	579.7566
CLPTM1L	2554.0054	CLPTM1L	1809.5169
CLPTM1	4055.3555	CLPTM1	3496.0286
CLPX	687.6688	CLPX	815.8566
CLSPN	124.6625	CLSPN	34.3948
CLSTN1	4781.7282	CLSTN1	5610.7265
CLSTN2	4132.7633	CLSTN2	1413.9765
CLSTN3	2234.4734	CLSTN3	1070.0284
CLTA	2954.0954	CLTA	1658.5295
CLTB	1376.6877	CLTB	793.121
CLTCL1	37.3537	CLTCL1	27.3993
CLTC	20028.8029	CLTC	13041.1718
CLUAP1	449.595	CLUAP1	433.5437
CLUL1	36.0036	CLUL1	53.3411
CLU	9924.8425	CLU	76336.3696
removed	removed	CLVS1	13.207
CLYBL	48.1548	CLYBL	142.8259
CMA1	57.6058	CMA1	15.4485
CMAH	126.4626	CMAH	260.5844
CMAS	547.7048	CMAS	745.3181
CMBL	1271.8272	CMBL	1148.7284
CMC1	125.5626	CMC1	155.3596
CMIP	1535.1035	CMIP	891.3503
CMKLR1	582.3582	CMKLR1	150.1129
CMPK1	2315.9316	CMPK1	4233.7681
CMPK2	752.9253	CMPK2	59.4622
CMTM1	83.7084	CMTM1	79.5744
CMTM3	1362.7363	CMTM3	854.0407
CMTM4	268.2268	CMTM4	2386.3587
removed	removed	CMTM5	15.157
CMTM6	2163.8164	CMTM6	3633.6078
CMTM7	400.9901	CMTM7	596.954
CMTM8	110.7111	CMTM8	133.207
CMYA5	639.964	CMYA5	1457.1158
CN5H6.4	17.5518	CN5H6.4	11.0763
CNBP	6606.2106	CNBP	6159.8776
CNDP2	4324.0324	CNDP2	5701.0858
CNFN	81.0081	CNFN	52.4667
removed	removed	CNGA1	67.6237
CNIH2	67.5068	CNIH2	6.9956
CNIH3	55.8056	CNIH3	43.4307
CNIH4	1273.1773	CNIH4	591.9988
CNIH	1083.2583	CNIH	1307.8773
CNKSR1	375.3375	CNKSR1	469.2851
CNKSR2	7.6508	CNKSR2	11.3678
CNKSR3	282.6283	CNKSR3	420.8992
CNN1	457.6958	CNN1	3281.4982
CNN2	4213.7714	CNN2	3228.1571
CNN3	3297.4797	CNN3	4292.6474
CNNM1	15.3015	CNNM1	32.9374
CNNM2	265.5266	CNNM2	157.4
CNNM3	1418.5419	CNNM3	1068.8625
CNNM4	871.7372	CNNM4	850.2514
CNOT10	489.1989	CNOT10	588.5011
CNOT1	3393.9109	CNOT1	4518.4814
CNOT2	1559.856	CNOT2	1389.2006
CNOT3	1431.5932	CNOT3	905.9244
CNOT4	686.7687	CNOT4	544.7788
CNOT6L	1406.3906	CNOT6L	1425.6358
CNOT6	1868.5869	CNOT6	1301.1732
CNOT7	1863.1863	CNOT7	1763.1713
CNOT8	1450.045	CNOT8	1352.1825
CNO	290.279	CNO	250.6741
CNPY2	1728.6229	CNPY2	966.5525
CNPY3	2384.3384	CNPY3	1239.0877
CNPY4	295.2295	CNPY4	256.7952
CNP	2205.1395	CNP	3264.6273
CNR1	30.6031	CNR1	18.6548
CNR2	16.6517	removed	removed
CNRIP1	304.2304	CNRIP1	113.9692
CNST	773.6274	CNST	719.9592
CNTD1	13.7849	CNTD1	101.727
CNTD2	364.5365	CNTD2	27.1078
CNTFR	55.3555	CNTFR	32.3544
removed	removed	CNTF	27.8598
CNTLN	214.2214	CNTLN	181.5929
CNTN1	128.7129	CNTN1	384.1726
CNTN2	32.8533	CNTN2	15.4485
CNTN3	20.252	CNTN3	110.18
CNTN4	183.6184	CNTN4	165.8529
CNTNAP1	134.5635	CNTNAP1	73.1618
CNTNAP2	103.0603	CNTNAP2	661.0799
CNTNAP3	35.5536	CNTNAP3	298.7685
CNTROB	661.1161	CNTROB	792.5381
COASY	863.6364	COASY	2168.3305
removed	removed	COBLL1	1043.7951
COBL	1277.6778	COBL	1550.6813
COBRA1	1679.1179	COBRA1	1175.5447
COCH	28.3528	COCH	25.7553
COG1	1175.0945	COG1	863.8053
COG2	1207.9208	COG2	1114.0421
COG3	468.0468	COG3	1044.961
COG4	770.027	COG4	1072.9432
COG5	725.7741	COG5	1167.2637
COG6	450.495	COG6	833.637
COG7	703.4203	COG7	777.381
COG8	404.1494	COG8	413.3994
COIL	892.8893	COIL	519.1285
COL10A1	2423.9424	COL10A1	49.5518
COL11A1	2525.6526	COL11A1	10.4933
removed	removed	COL11A2	12.8252
COL12A1	14533.7534	COL12A1	3218.5382
COL13A1	75.1575	COL13A1	38.767
COL14A1	2666.5167	COL14A1	8447.1326
COL15A1	8138.6139	COL15A1	1791.445
COL16A1	1658.4158	COL16A1	1561.7576
COL17A1	1343.3843	COL17A1	5606.6458
COL18A1	7667.8668	COL18A1	2822.9979
COL1A1	160845.6346	COL1A1	15565.1097
COL1A2	110657.0657	COL1A2	16697.8066
COL21A1	20.7021	COL21A1	22.7356
COL22A1	39.1539	COL22A1	6.1211
COL23A1	15.3015	COL23A1	46.9285
COL24A1	17.1017	COL24A1	27.1078
COL25A1	11.7012	COL25A1	21.5696
COL27A1	111.1611	COL27A1	247.7592
removed	removed	COL28A1	15.157
COL2A1	14.8515	COL2A1	223.5663
COL3A1	110067.5068	COL3A1	19505.9389
COL4A1	24322.2322	COL4A1	2709.3201
COL4A2	20178.2178	COL4A2	4255.6292
COL4A3BP	694.8695	COL4A3BP	1364.7162
COL4A3	11.7012	COL4A3	48.0944
COL4A4	69.3069	COL4A4	111.9289
removed	removed	COL4A5	1843.9117
COL4A6	84.6085	COL4A6	629.5999
COL5A1	13790.279	COL5A1	1571.9595
COL5A2	15501.8002	COL5A2	1467.0262
COL5A3	1841.5842	COL5A3	241.9296
COL6A1	24287.5788	COL6A1	6001.8946
COL6A2	28972.5473	COL6A2	7240.9823
COL6A3	43610.261	COL6A3	6465.3501
COL6A6	106.6607	COL6A6	231.4363
COL7A1	233.5734	COL7A1	441.0114
COL8A1	916.7417	COL8A1	136.1218
COL8A2	1196.2196	COL8A2	1370.5458
COL9A2	103.5104	COL9A2	337.244
COL9A3	24.7525	COL9A3	156.2341
COLEC11	12.6013	removed	removed
COLEC12	574.7075	COLEC12	377.76
COLQ	47.7048	COLQ	34.7096
COMMD10	311.8812	COMMD10	450.3388
COMMD1	360.486	COMMD1	413.0292
COMMD2	590.459	COMMD2	722.5825
COMMD3	1187.6553	COMMD3	646.4971
COMMD4	969.847	COMMD4	562.2677
COMMD5	620.0855	COMMD5	406.3485
COMMD6	703.8704	COMMD6	1046.1269
COMMD7	1066.1566	COMMD7	1270.5677
COMMD8	191.2691	COMMD8	185.0907
COMMD9	577.8578	COMMD9	627.5596
COMP	4470.297	COMP	228.5215
COMTD1	147.1647	COMTD1	101.727
COMT	1594.5095	COMT	3295.7808
COPA	9285.198	COPA	7169.1379
COPB1	2525.6526	COPB1	4125.6081
COPB2	6398.7399	COPB2	5255.9936
COPE	3761.9127	COPE	1759.965
COPG2	408.1908	COPG2	624.6448
COPG	6753.8254	COPG	6178.8239
COPS2	1784.8785	COPS2	1901.3335
COPS3	773.6274	COPS3	1057.7862
COPS4	791.6292	COPS4	995.4092
COPS5	1228.1728	COPS5	1141.1499
COPS6	1726.3726	COPS6	1400.2769
COPS7A	1331.6832	COPS7A	1296.801
COPS7B	664.2664	COPS7B	525.2496
COPS8	1453.1458	COPS8	1087.494
COPZ1	4577.8578	COPZ1	3540.6252
COPZ2	213.3213	COPZ2	124.7541
COQ10A	52.6553	COQ10A	92.1081
COQ10B	679.1179	COQ10B	959.8484
COQ2	346.0846	COQ2	195.2926
COQ3	91.3591	COQ3	142.5344
COQ4	931.1431	COQ4	752.3136
COQ5	663.8164	COQ5	654.6673
COQ6	389.5455	COQ6	600.207
COQ7	418.5419	COQ7	547.4022
COQ9	643.5644	COQ9	845.5877
CORIN	75.1575	CORIN	30.0226
CORO1A	2045.9046	CORO1A	211.6155
CORO1B	3462.1962	CORO1B	2054.9443
CORO1C	2704.7705	CORO1C	2421.3364
CORO2A	1416.2916	CORO2A	1322.1599
CORO2B	89.1089	CORO2B	130.8752
CORO6	8.5509	CORO6	26.2333
CORO7	865.4815	CORO7	370.8373
COTL1	3071.1071	COTL1	741.5288
COX10	232.2232	COX10	345.9885
COX11	556.5437	COX11	632.882
COX15	881.0081	COX15	1246.876
COX16	806.0306	COX16	751.7307
COX17	662.4662	COX17	436.6392
COX18	301.9802	COX18	612.4025
COX19	231.4446	COX19	169.2341
COX4I1	3486.4986	COX4I1	3163.1567
COX4I2	87.7588	COX4I2	7.87
COX4NB	342.0342	COX4NB	362.8944
COX5A	1571.1071	COX5A	1054.5799
COX5B	2457.6958	COX5B	1476.9365
COX6A1	4933.3933	COX6A1	1498.7976
COX6B1	4755.6256	COX6B1	2112.9491
removed	removed	COX6B2	7.87
COX6C	13782.1782	COX6C	2556.0009
COX7A1	101.2601	COX7A1	98.8122
COX7A2L	2546.3546	COX7A2L	1374.0436
COX7A2	2070.207	COX7A2	1099.7595
COX7B	1785.3285	COX7B	1326.2406
COX7C	2818.6319	COX7C	2405.5964
COX8A	3077.4077	COX8A	1474.6047
CP110	323.1323	CP110	704.5107
CPA3	757.8758	CPA3	198.7904
CPA4	5.8506	CPA4	22.4441
CPA6	193.0693	removed	removed
CPAMD8	60.7561	CPAMD8	531.3707
CPB1	231639.964	CPB1	33.5204
removed	removed	CPB2	70.5385
CPD	2759.676	CPD	5624.4261
CPEB1	5.8506	CPEB1	25.0674
CPEB2	639.964	CPEB2	959.2655
CPEB3	139.964	CPEB3	306.0555
CPEB4	550.8551	CPEB4	2066.895
CPE	3270.477	CPE	3990.9641
CPLX1	435.1935	CPLX1	81.3233
CPLX2	6.3006	removed	removed
CPM	598.1098	CPM	309.2618
CPNE1	2287.2727	CPNE1	1548.5185
CPNE2	809.631	CPNE2	331.9974
CPNE3	2566.1566	CPNE3	3420.5349
CPNE4	82.3582	CPNE4	8.7444
CPNE5	204.3204	CPNE5	46.3456
CPNE7	16.6517	CPNE7	11.6593
CPNE8	181.8182	CPNE8	206.3689
CPOX	256.5257	CPOX	287.9837
removed	removed	CPO	5.8296
CPPED1	470.7471	CPPED1	771.5514
CPS1	81.4581	CPS1	186.8396
CPSF1	1573.8074	CPSF1	1294.4691
CPSF2	1381.6382	CPSF2	1439.6269
CPSF3L	1082.3582	CPSF3L	1062.7414
CPSF3	868.5869	CPSF3	802.157
CPSF4	398.2898	CPSF4	329.6655
CPSF6	1342.0342	CPSF6	1383.0795
CPSF7	1372.6373	CPSF7	2336.8068
CPT1A	1189.4689	CPT1A	1908.3291
CPT1B	168.2493	CPT1B	291.0355
CPT1C	45.0045	CPT1C	27.3993
CPT2	796.1296	CPT2	1295.9265
CPVL	606.6607	CPVL	543.0299
CPXM1	959.4959	CPXM1	464.9129
CPXM2	702.0702	CPXM2	724.0399
CPZ	399.64	CPZ	146.9067
CP	130.225	CP	847.6776
CR1	55.8056	CR1	58.0048
CR2	29.2529	CR2	59.1707
CRABP1	31.9532	CRABP1	162.9381
CRABP2	28672.3672	CRABP2	2662.3916
CRADD	98.1098	CRADD	438.3881
CRAMP1L	475.6976	CRAMP1L	1787.1428
CRAT	2148.0648	CRAT	4490.8548
removed	removed	CRB1	6.7041
CRB2	15.7516	CRB2	48.0944
CRB3	340.234	CRB3	260.5844
CRBN	701.2511	CRBN	693.5189
CRCP	859.586	CRCP	1056.0373
CREB1	1218.7219	CREB1	1301.1732
CREB3L1	1379.3879	CREB3L1	787.5829
CREB3L2	2188.1188	CREB3L2	3898.273
CREB3L4	2378.4878	CREB3L4	1717.7002
CREB3	1440.9631	CREB3	1098.7743
CREB5	90.009	CREB5	614.4429
CREBBP	2939.694	CREBBP	2711.3605
CREBL2	1487.3987	CREBL2	1870.728
CREBZF	675.5176	CREBZF	1169.1321
CREG1	2178.6679	CREG1	2542.3012
CRELD1	708.8209	CRELD1	651.7525
CRELD2	978.8479	CRELD2	546.5277
CREM	375.7876	CREM	298.477
CRHBP	51.3051	CRHBP	28.8567
removed	removed	CRHR1	102.2808
CRIM1	3410.8911	CRIM1	6749.2531
CRIP1	18693.9694	CRIP1	719.3762
CRIP2	5300.18	CRIP2	1913.2843
CRIPAK	185.4185	CRIPAK	235.8085
CRIPT	350.135	CRIPT	306.347
removed	removed	CRISP3	14.5741
CRISPLD1	217.8218	CRISPLD1	1527.3628
CRISPLD2	1857.3357	CRISPLD2	833.054
CRKL	1695.7696	CRKL	2239.7435
CRK	813.6814	CRK	1718.5747
CRLF1	43.2043	CRLF1	136.9963
CRLF3	387.4887	CRLF3	329.6655
