gene_id	TCGA-BH-A0DK-01A-21R-A056-07	gene_id	TCGA-BH-A0DK-11A-13R-A089-07
ACO1	808.7309	ACO1	1233.5495
ACO2	4720.8821	ACO2	2859.162
ACOT11	32.3087	ACOT11	16.0315
ACOT13	699.8875	ACOT13	626.484
ACOT1	435.6436	ACOT1	828.9733
ACOT2	413.5914	ACOT2	559.6444
ACOT4	100.8101	ACOT4	273.9926
ACOT7	848.7849	ACOT7	266.414
ACOT8	262.3492	ACOT8	218.101
ACOT9	492.7993	ACOT9	420.6077
ACOX1	1581.9082	ACOX1	1947.8394
ACOX2	45.9046	ACOX2	151.5704
ACOX3	871.2871	ACOX3	1252.2043
ACP1	1894.2394	ACP1	1433.7973
ACP2	1127.3627	ACP2	1194.491
ACP5	1490.9991	ACP5	1493.8425
ACP6	195.7696	ACP6	1355.6802
ACPL2	301.5302	ACPL2	618.5236
ACPP	57.6058	ACPP	114.5522
ACRBP	29.703	ACRBP	7.87
ACRC	5.4005	ACRC	8.1615
ACSBG1	7.6508	ACSBG1	10.2019
ACSF2	1139.0864	ACSF2	2295.4165
ACSF3	361.8362	ACSF3	432.5585
ACSL1	1831.2331	ACSL1	17230.9262
ACSL3	2550.405	ACSL3	33101.2169
ACSL4	1158.4158	ACSL4	1354.8058
ACSL5	574.7075	ACSL5	944.9829
ACSL6	22.5023	ACSL6	12.8252
ACSM1	5.8506	ACSM1	2929.0971
ACSM3	17.5653	ACSM3	206.879
ACSM5	44.1044	ACSM5	34.6863
ACSS1	955.4455	ACSS1	1664.0676
ACSS2	852.3852	ACSS2	2705.8223
ACSS3	127.8128	ACSS3	1339.3573
removed	removed	ACTA1	7.87
ACTA2	10681.7507	ACTA2	18253.9153
ACTB	123935.1935	ACTB	71519.6386
ACTC1	14.8515	removed	removed
ACTG1	90401.8902	ACTG1	54815.7109
ACTG2	462.1962	ACTG2	6706.4053
ACTL6A	1595.4095	ACTL6A	914.3773
ACTL8	14.8515	removed	removed
ACTN1	6729.973	ACTN1	8825.184
ACTN4	13508.6589	ACTN4	10051.7438
ACTR10	1031.5032	ACTR10	1104.1317
ACTR1A	3006.3006	ACTR1A	2999.3442
ACTR1B	1088.6589	ACTR1B	1265.904
ACTR2	6397.8398	ACTR2	6292.7931
ACTR3B	107.1107	ACTR3B	145.1578
ACTR3C	29.2529	ACTR3C	92.1081
ACTR3	4615.2115	ACTR3	3410.6245
ACTR5	193.0693	ACTR5	192.3778
ACTR6	354.1854	ACTR6	835.9688
ACTR8	452.7453	ACTR8	564.3081
ACVR1B	1139.514	ACVR1B	1142.0243
ACVR1C	72.4572	ACVR1C	49.2604
ACVR1	1052.6553	ACVR1	1365.5906
ACVR2A	418.5419	ACVR2A	547.6937
ACVR2B	197.1197	ACVR2B	297.0196
ACVRL1	859.1359	ACVRL1	327.0422
ACY1	278.5779	ACY1	950.897
ACY3	8.5509	ACY3	37.0181
