gene_id	TCGA-A7-A0CH-01A-21R-A00Z-07	gene_id	TCGA-A7-A0CH-11A-32R-A089-07
ACO2	2528.0475	ACO2	3772.0733
ACOT11	21.3703	ACOT11	42.0235
ACOT13	545.4141	ACOT13	700.1561
ACOT1	844.3456	ACOT1	1592.1016
ACOT2	491.0812	ACOT2	928.2558
ACOT4	378.5599	ACOT4	271.9323
ACOT6	5.2335	ACOT6	7.1462
ACOT7	293.9509	ACOT7	351.669
ACOT8	282.6377	ACOT8	253.8298
ACOT9	273.0167	ACOT9	593.1359
ACOX1	1509.4422	ACOX1	2953.0569
ACOX2	505.4734	ACOX2	399.0597
ACOX3	921.9765	ACOX3	780.8181
ACP1	1365.5196	ACP1	1117.8185
ACP2	1248.6371	ACP2	1545.4631
ACP5	873.1301	ACP5	2271.7442
ACP6	460.116	ACP6	555.9003
ACPL2	815.5611	ACPL2	344.8989
ACPP	42.7406	ACPP	56.0414
ACRBP	17.4452	ACRBP	33.0983
ACRC	9.1587	ACRC	14.6685
removed	removed	ACR	8.2746
removed	removed	ACSBG1	78.9845
removed	removed	ACSBG2	5.0776
ACSF2	812.072	ACSF2	1803.4791
ACSF3	210.6503	ACSF3	383.2628
ACSL1	634.5676	ACSL1	13601.8806
ACSL3	3819.1809	ACSL3	5552.2332
ACSL4	518.1212	ACSL4	1574.8002
ACSL5	417.8115	ACSL5	1032.4401
removed	removed	ACSL6	5.6417
ACSM1	126.9135	ACSM1	5884.3441
removed	removed	ACSM2B	6.7701
ACSM3	11.287	ACSM3	511.7931
ACSM5	11.7755	ACSM5	387.4001
ACSS1	1112.5649	ACSS1	992.9478
ACSS2	624.9727	ACSS2	2965.3032
ACSS3	200.1832	ACSS3	527.3155
ACTA1	27.9123	ACTA1	61.6831
ACTA2	3212.1636	ACTA2	16771.4227
removed	removed	ACTBL2	9.0268
ACTB	67855.5541	ACTB	103656.9817
ACTG1	64076.9331	ACTG1	60421.6267
ACTG2	273.0167	ACTG2	4360.3197
ACTL6A	1127.3933	ACTL6A	615.7029
ACTN1	4811.3742	ACTN1	7675.7875
ACTN4	7410.611	ACTN4	11164.9459
ACTR10	1161.8474	ACTR10	1131.3587
ACTR1A	2431.4187	ACTR1A	3693.465
ACTR1B	1139.6049	ACTR1B	1599.6239
ACTR2	8095.425	ACTR2	4545.3691
ACTR3B	199.747	ACTR3B	130.5125
ACTR3C	17.009	ACTR3C	25.5759
ACTR3	3724.1048	ACTR3	2759.1913
ACTR5	210.2141	ACTR5	199.3418
ACTR6	710.454	ACTR6	484.4382
ACTR8	621.4837	ACTR8	404.3253
ACVR1B	1359.4138	ACVR1B	1012.882
ACVR1C	16.5729	ACVR1C	761.26
ACVR1	977.3649	ACVR1	998.2134
ACVR2A	502.4205	ACVR2A	344.5228
ACVR2B	360.6786	ACVR2B	230.1834
ACVRL1	282.1754	ACVRL1	1567.654
ACY1	662.916	ACY1	948.1899
removed	removed	ACY3	19.9342
ACYP1	99.0013	ACYP1	50.7757
ACYP2	151.7729	ACYP2	220.0282
ADAL	208.4696	ADAL	216.267
ADAM10	2216.8433	ADAM10	1036.9535
ADAM11	7.4142	ADAM11	7.5223
ADAM12	2184.5698	ADAM12	914.3394
ADAM15	4675.5201	ADAM15	4621.1678
ADAM17	734.4411	ADAM17	561.5421
ADAM19	282.1754	ADAM19	227.5505
ADAM21	12.2116	removed	removed
ADAM22	18.7535	ADAM22	31.2177
ADAM23	23.551	ADAM23	59.8025
ADAM28	54.5161	ADAM28	85.7546
ADAM32	24.4232	ADAM32	41.3728
ADAM33	68.0361	ADAM33	690.174
ADAM6	1164.1502	ADAM6	73793.0606
ADAM8	691.7005	ADAM8	225.67
ADAM9	2857.5167	ADAM9	1838.834
ADAMDEC1	11.3394	ADAMDEC1	48.519
ADAMTS10	51.8993	ADAMTS10	419.7461
ADAMTS12	265.1664	ADAMTS12	139.1631
ADAMTS13	52.3355	ADAMTS13	47.3907
ADAMTS14	128.658	ADAMTS14	5.2656
ADAMTS15	403.8554	ADAMTS15	429.9013
ADAMTS16	152.209	ADAMTS16	113.2111
ADAMTS17	50.1548	ADAMTS17	47.3907
ADAMTS18	15.7006	ADAMTS18	68.4532
ADAMTS19	54.08	removed	removed
ADAMTS1	522.4824	ADAMTS1	4268.9234
ADAMTS2	334.5109	ADAMTS2	847.7668
ADAMTS3	16.5729	ADAMTS3	65.0682
ADAMTS4	606.2192	ADAMTS4	254.2548
ADAMTS5	199.3109	ADAMTS5	1906.1589
ADAMTS6	65.4193	ADAMTS6	24.8237
ADAMTS7	105.9793	ADAMTS7	217.3954
ADAMTS8	10.9032	ADAMTS8	47.7668
ADAMTS9	189.7161	ADAMTS9	547.6258
ADAMTSL1	62.8026	ADAMTSL1	175.6465
ADAMTSL2	134.3277	ADAMTSL2	72.5905
ADAMTSL3	99.4374	ADAMTSL3	148.5661
ADAMTSL4	99.8735	ADAMTSL4	1169.7226
ADAMTSL5	143.9225	ADAMTSL5	59.4264
ADAP1	142.1301	ADAP1	199.2929
ADAP2	182.3019	ADAP2	428.0207
ADARB1	492.3896	ADARB1	871.8383
removed	removed	ADARB2	10.5313
ADAR	14705.3949	ADAR	5575.9285
ADAT1	264.2941	ADAT1	204.9835
ADAT2	40.56	ADAT2	113.9633
ADAT3	32.2735	ADAT3	49.2713
ADA	50.1548	ADA	142.5482
ADCK1	173.1432	ADCK1	278.3263
ADCK2	954.2501	ADCK2	968.1241
ADCK4	582.2321	ADCK4	569.0644
ADCK5	81.9922	ADCK5	107.1932
ADCY10	7.8503	ADCY10	12.0357
ADCY1	218.9367	ADCY1	522.8021
ADCY2	256.4438	ADCY2	159.4734
ADCY3	503.6111	ADCY3	1401.0832
ADCY4	198.8748	ADCY4	646.1683
removed	removed	ADCY5	697.3202
ADCY6	1829.1247	ADCY6	2753.1735
ADCY7	390.7715	ADCY7	551.3869
ADCY9	559.9895	ADCY9	745.087
removed	removed	ADCYAP1R1	5.6417
ADC	188.8438	ADC	132.393
ADD1	4395.3073	ADD1	7323.7424
ADD2	9.1587	ADD2	50.0235
ADD3	3144.0534	ADD3	2528.6319
removed	removed	ADH1A	139.5393
removed	removed	ADH1B	15351.9511
removed	removed	ADH1C	450.9638
removed	removed	ADH4	90.268
ADH5	1558.2886	ADH5	3400.8463
removed	removed	ADH7	53.7847
ADHFE1	73.7058	ADHFE1	209.8731
ADI1	1238.17	ADI1	2754.3018
removed	removed	ADIPOQ	23352.3272
ADIPOR1	4412.7524	ADIPOR1	2392.4777
ADIPOR2	2183.6975	ADIPOR2	3427.1744
ADK	341.9251	ADK	427.2685
ADM2	303.1096	ADM2	140.2915
ADM	64.5471	ADM	1141.1378
ADNP2	790.2656	ADNP2	560.7898
ADNP	3826.5951	ADNP	1890.7381
ADORA1	41.4322	ADORA1	247.8608
ADORA2A	452.7018	ADORA2A	165.8674
ADORA2B	7.8503	ADORA2B	44.0056
ADORA3	147.8477	ADORA3	166.2435
ADO	691.7005	ADO	570.1928
ADPGK	892.7559	ADPGK	804.5134
ADPRHL1	142.6142	ADPRHL1	97.7903
ADPRHL2	696.4979	ADPRHL2	722.1439
ADPRH	119.0632	ADPRH	484.4382
removed	removed	ADRA1A	46.2623
ADRA1B	37.5071	ADRA1B	76.3517
removed	removed	ADRA1D	10.1551
ADRA2A	513.7599	ADRA2A	2134.4617
ADRA2B	5.6697	ADRA2B	47.0146
ADRA2C	5.2335	ADRA2C	143.3004
removed	removed	ADRB1	113.5872
ADRB2	26.1677	ADRB2	307.6634
ADRBK1	1174.0591	ADRBK1	1826.0461
ADRBK2	1472.3712	ADRBK2	1155.0541
ADRM1	1022.7223	ADRM1	1677.8561
ADSL	701.7314	ADSL	867.701
ADSSL1	92.8955	ADSSL1	159.4734
ADSS	3994.9409	ADSS	1063.2816
AEBP1	14820.5329	AEBP1	13466.4786
AEBP2	648.9598	AEBP2	533.7094
AEN	345.4141	AEN	482.1815
AES	5093.1135	AES	10969.0644
AFAP1L1	123.8606	AFAP1L1	528.4438
AFAP1L2	336.6915	AFAP1L2	647.2967
AFAP1	1065.8773	AFAP1	1025.2863
AFF1	3398.7527	AFF1	1795.2045
AFF2	30.9652	AFF2	58.6742
AFF3	3462.8636	AFF3	793.9821
AFF4	5031.6193	AFF4	1775.2703
AFG3L1	123.4245	AFG3L1	256.1354
AFG3L2	1477.3736	AFG3L2	1273.1171
AFMID	863.5353	AFMID	1194.5463
removed	removed	AFP	75.5994
removed	removed	AFTPH	1188.5284
AG2	41.4322	AG2	602.5388
AGAP11	21.3703	AGAP11	133.5214
AGAP1	495.0063	AGAP1	365.2092
AGAP2	35.2349	AGAP2	102.1345
AGAP3	979.5456	AGAP3	1376.9629
AGAP4	145.6671	AGAP4	192.9478
AGAP5	35.7626	AGAP5	27.4565
AGAP6	86.3535	AGAP6	101.1754
AGAP7	5.6697	AGAP7	7.8984
AGAP8	34.8903	AGAP8	28.961
AGA	910.2011	AGA	737.5646
AGBL2	27.4761	AGBL2	8.2746
AGBL3	8.7226	removed	removed
AGBL4	30.9652	AGBL4	10.9074
AGBL5	460.5958	AGBL5	796.6751
AGER	11.7755	AGER	24.0715
AGFG1	1898.9053	AGFG1	1848.237
AGFG2	423.0451	AGFG2	605.5477
AGGF1	1037.5507	AGGF1	729.2901
AGK	601.4218	AGK	467.5129
AGL	1238.6061	AGL	642.031
AGMAT	20.4981	AGMAT	25.5759
AGPAT1	1558.0836	AGPAT1	1996.7654
AGPAT2	614.5056	AGPAT2	6380.0658
AGPAT3	2453.6613	AGPAT3	3474.5651
AGPAT4	81.9922	AGPAT4	272.6845
AGPAT5	901.4785	AGPAT5	641.6549
AGPAT6	1668.6292	AGPAT6	2002.0686
AGPAT9	16.1368	AGPAT9	150.8228
AGPHD1	30.9652	AGPHD1	41.7489
AGPS	2248.2446	AGPS	1127.2214
AGR2	6884.7311	AGR2	1226.5162
AGR3	2929.9141	AGR3	435.1669
AGRN	4274.9357	AGRN	3798.4015
AGTPBP1	167.0374	AGTPBP1	315.1857
AGTR1	269.0915	AGTR1	354.3018
AGTRAP	691.2643	AGTRAP	973.0136
AGT	894.0643	AGT	259.1443
AGXT2L1	5.6697	removed	removed
AGXT2L2	309.4596	AGXT2L2	743.2402
removed	removed	AGXT	19.1819
AHCTF1	2424.8768	AHCTF1	922.9901
AHCYL1	6412.8396	AHCYL1	3921.7677
AHCYL2	1005.7133	AHCYL2	478.4203
AHCY	1914.1698	AHCY	2779.1255
AHDC1	914.1262	AHDC1	847.0146
AHI1	402.547	AHI1	237.3296
AHNAK2	1033.6255	AHNAK2	1779.4076
AHNAK	42004.4485	AHNAK	87593.418
AHRR	25.2955	AHRR	16.9252
AHR	3108.7269	AHR	1653.7847
AHSA1	1439.6616	AHSA1	1574.4241
AHSA2	292.2064	AHSA2	382.8867
AIDA	1331.9901	AIDA	1489.7978
AIF1L	126.4774	AIF1L	1795.2045
AIF1	197.5664	AIF1	684.9083
AIFM1	1130.4462	AIFM1	1013.6342
AIFM2	301.3651	AIFM2	2474.8472
AIFM3	38.3488	AIFM3	20.7842
AIG1	460.5521	AIG1	1306.2529
AIM1L	68.0361	AIM1L	5.2656
AIM1	2933.8392	AIM1	2524.4946
removed	removed	AIM2	36.8594
AIMP1	1118.6402	AIMP1	833.008
AIMP2	293.1397	AIMP2	391.2177
AIP	639.365	AIP	1089.9859
AJAP1	9.1587	AJAP1	5.6417
AK1	882.7249	AK1	1061.401
AK2	2154.0407	AK2	2171.3211
AK3L1	215.4477	AK3L1	314.4335
AK3	1066.7713	AK3	1983.2628
AK5	952.9417	AK5	1234.4147
AK7	39.6877	AK7	45.134
