gene_id	TCGA-A7-A0CH-01A-21R-A00Z-07	gene_id	TCGA-A7-A0CH-11A-32R-A089-07
ELF2	990.4488	ELF2	599.5299
ELF3	2236.4691	ELF3	2157.4048
ELF4	459.2438	ELF4	500.2351
ELF5	234.6374	ELF5	426.8923
ELFN1	26.1677	ELFN1	25.952
ELFN2	21.3703	removed	removed
ELK1	503.2928	ELK1	578.0912
ELK3	314.0128	ELK3	441.937
ELK4	201.9277	ELK4	54.5369
ELL2	1506.3893	ELL2	1254.3488
ELL3	166.9371	ELL3	147.8025
ELL	465.7857	ELL	580.724
ELMO1	270.3999	ELMO1	748.0959
ELMO2	901.9146	ELMO2	1018.5237
ELMO3	390.7715	ELMO3	336.2482
ELMOD2	490.645	ELMOD2	163.9868
ELMOD3	514.6321	ELMOD3	1932.111
ELN	1681.277	ELN	2652.3742
ELOF1	663.7882	ELOF1	813.9163
ELOVL1	1264.3377	ELOVL1	2223.2252
ELOVL2	736.6217	ELOVL2	186.1777
removed	removed	ELOVL3	62.4354
ELOVL4	27.9123	ELOVL4	28.2087
ELOVL5	15311.6141	ELOVL5	8008.6507
ELOVL6	172.7071	ELOVL6	145.9332
ELOVL7	23.1148	ELOVL7	916.22
ELP2P	12.2116	ELP2P	6.394
ELP2	2672.1619	ELP2	1496.5679
ELP3	1263.0294	ELP3	970.3808
ELP4	198.8748	ELP4	206.488
ELTD1	378.1238	ELTD1	1665.4443
EMB	912.8178	EMB	685.6606
EMCN	167.0374	EMCN	1167.842
EMD	698.6785	EMD	1201.3164
EME1	29.1334	EME1	19.8176
EME2	6.9781	EME2	5.6417
EMG1	543.8528	EMG1	621.3446
EMID1	26.1677	EMID1	154.5839
EMID2	41.4322	removed	removed
EMILIN1	810.7637	EMILIN1	1799.7179
EMILIN2	145.2309	EMILIN2	1326.9394
EMILIN3	37.2323	EMILIN3	18.5614
EML1	180.1212	EML1	425.764
EML2	1355.0526	EML2	840.7861
EML3	590.9547	EML3	1299.1067
EML4	1202.4074	EML4	1003.8552
EML5	40.56	EML5	26.7043
EML6	38.3793	EML6	21.4386
EMP1	2673.9064	EMP1	11249.2713
EMP2	5984.1249	EMP2	4353.9257
EMP3	347.1586	EMP3	1443.5355
removed	removed	EMR1	11.6596
EMR2	115.138	EMR2	134.6497
removed	removed	EMR3	5.2656
removed	removed	EMR4P	8.2746
EMX2OS	63.2387	EMX2OS	135.402
EMX2	30.9652	EMX2	50.3996
EN1	19.1897	EN1	61.307
EN2	5.6697	EN2	14.2924
ENAH	10466.6579	ENAH	2330.0423
ENC1	2058.9123	ENC1	727.5675
ENDOD1	448.7767	ENDOD1	1553.7377
ENDOG	114.9592	ENDOG	227.4302
ENDOU	11.3394	ENDOU	11.2835
ENGASE	278.6864	ENGASE	429.5252
ENG	1256.9235	ENG	5824.5416
removed	removed	ENHO	44.7579
ENO1	11839.5918	ENO1	18113.023
ENO2	617.9947	ENO2	396.4269
ENO3	46.2297	ENO3	55.2891
ENOPH1	925.9017	ENOPH1	595.0165
ENOSF1	501.5046	ENOSF1	402.0348
ENOX1	124.7329	ENOX1	50.7757
ENOX2	301.8012	ENOX2	312.929
ENPEP	146.1032	ENPEP	241.4669
ENPP1	607.5276	ENPP1	1126.0931
ENPP2	171.8348	ENPP2	4273.0606
ENPP3	34.4542	ENPP3	223.0371
ENPP4	1085.0888	ENPP4	615.3268
ENPP5	1807.7544	ENPP5	372.3554
ENPP6	5.6697	ENPP6	6.7701
ENSA	8341.8378	ENSA	4280.2069
ENTPD1	1009.2023	ENTPD1	1202.0461
ENTPD2	269.9638	ENTPD2	319.6991
ENTPD3	484.0726	ENTPD3	122.2379
ENTPD4	675.1276	ENTPD4	289.9859
ENTPD5	1045.5973	ENTPD5	285.8637
ENTPD6	1282.219	ENTPD6	1300.6112
ENTPD7	729.7178	ENTPD7	157.4537
ENTPD8	49.2826	ENTPD8	6.7701
ENY2	503.2928	ENY2	490.0799
EOMES	8.2864	EOMES	36.1072
EP300	2854.0277	EP300	1520.6394
EP400NL	108.16	EP400NL	72.5905
EP400	1481.9661	EP400	1267.5129
EPAS1	1106.8952	EPAS1	10460.9309
EPB41L1	1560.0331	EPB41L1	2949.5063
EPB41L2	1327.1403	EPB41L2	3874.0009
EPB41L3	1178.8565	EPB41L3	1785.0494
EPB41L4A	725.7185	EPB41L4A	645.4161
EPB41L4B	1318.4177	EPB41L4B	1005.3597
EPB41L5	778.4901	EPB41L5	496.85
EPB41	1169.8417	EPB41	1376.6131
removed	removed	EPB42	111.3305
EPB49	329.2773	EPB49	1626.3282
EPC1	633.2592	EPC1	369.7226
EPC2	787.6488	EPC2	528.8199
EPCAM	3223.4288	EPCAM	2052.0921
EPDR1	65.8555	EPDR1	1185.1434
EPHA10	126.4774	EPHA10	53.4086
EPHA1	292.6425	EPHA1	193.7
EPHA2	229.4038	EPHA2	661.5891
EPHA3	177.5045	EPHA3	79.7367
EPHA4	137.3806	EPHA4	352.0451
removed	removed	EPHA5	6.394
removed	removed	EPHA6	5.6417
EPHA7	9.1587	EPHA7	38.3639
EPHA8	17.4452	removed	removed
EPHB1	16.1368	EPHB1	195.5806
EPHB2	133.0193	EPHB2	148.9422
EPHB3	704.7843	EPHB3	423.1312
EPHB4	2418.3349	EPHB4	2261.9652
EPHB6	46.6658	EPHB6	383.2628
EPHX1	2266.1259	EPHX1	8837.6117
EPHX2	1113.001	EPHX2	985.8016
removed	removed	EPHX3	72.2144
removed	removed	EPHX4	16.173
EPM2AIP1	997.863	EPM2AIP1	768.7823
EPM2A	175.3238	EPM2A	280.583
EPN1	1190.632	EPN1	2483.874
EPN2	1227.2668	EPN2	844.0056
EPN3	582.2321	EPN3	283.2158
EPOR	84.0115	EPOR	106.0649
EPO	6.1058	EPO	5.2656
EPPK1	269.0915	EPPK1	338.1288
EPR1	111.7188	EPR1	86.4165
EPRS	6308.1687	EPRS	2809.2149
EPS15L1	937.6772	EPS15L1	778.5614
EPS15	1843.9531	EPS15	1953.5496
EPS8L1	689.956	EPS8L1	337.7527
EPS8L2	1057.1765	EPS8L2	1069.6756
EPS8	636.3121	EPS8	2370.6629
EPSTI1	145.6671	EPSTI1	122.614
EPT1	2031.9072	EPT1	543.4885
EPYC	84.609	removed	removed
ERAL1	925.4656	ERAL1	1032.4401
ERAP1	1617.5716	ERAP1	2196.1185
ERAP2	67.1639	ERAP2	145.9332
ERBB2IP	3200.314	ERBB2IP	1276.9158
ERBB2	7637.9258	ERBB2	4990.6911
ERBB3	9880.9368	ERBB3	2916.4081
ERBB4	2833.5296	ERBB4	408.4626
ERC1	1386.4538	ERC1	1361.166
ERC2	8.7226	ERC2	8.2746
ERCC1	809.1151	ERCC1	998.2285
ERCC2	370.2735	ERCC2	445.6982
ERCC3	908.4565	ERCC3	945.181
ERCC4	605.3469	ERCC4	177.1509
ERCC5	1242.9674	ERCC5	1518.0066
ERCC6L	73.2697	ERCC6L	16.9252
ERCC6	507.4055	ERCC6	198.4053
ERCC8	146.9754	ERCC8	129.7602
EREG	5.2335	removed	removed
ERF	711.7624	ERF	859.8025
ERGIC1	6200.0087	ERGIC1	5939.6333
ERGIC2	808.583	ERGIC2	665.7264
ERGIC3	3737.1887	ERGIC3	4783.0748
ERG	119.9355	ERG	1068.5472
ERH	2183.6975	ERH	1417.2073
ERI1	536.4386	ERI1	330.2304
ERI2	905.0198	ERI2	307.3888
ERI3	805.094	ERI3	924.1185
ERICH1	170.0903	ERICH1	232.8162
ERLEC1	2000.0872	ERLEC1	1636.8594
ERLIN1	1128.7016	ERLIN1	1058.016
ERLIN2	2688.7348	ERLIN2	1771.1331
ERMAP	354.1367	ERMAP	465.6323
ERMN	29.6568	removed	removed
ERMP1	3016.128	ERMP1	906.189
ERN1	371.1457	ERN1	81.2412
removed	removed	ERN2	5.2656
ERO1LB	683.414	ERO1LB	337.7527
ERO1L	696.934	ERO1L	495.3456
ERP27	785.4682	ERP27	117.3484
ERP29	3465.4804	ERP29	4627.3625
ERP44	972.1314	ERP44	1686.8829
ERRFI1	885.3417	ERRFI1	3161.26
removed	removed	ERVFRDE1	10.1551
ESAM	356.3173	ESAM	1879.4546
ESCO1	667.7134	ESCO1	276.4457
ESCO2	135.2	ESCO2	20.6864
ESD	1774.6086	ESD	2301.4575
ESF1	451.3934	ESF1	297.5082
ESM1	123.8606	ESM1	11.6596
ESPL1	102.9264	ESPL1	29.3371
removed	removed	ESPNL	6.7701
ESPN	731.3882	ESPN	203.4791
ESR1	40738.3663	ESR1	5805.7358
removed	removed	ESR2	19.5581
ESRP1	2529.1116	ESRP1	838.74
ESRP2	599.6773	ESRP2	700.7052
ESRRA	333.2025	ESRRA	736.0602
ESRRG	650.7043	ESRRG	142.9243
ESYT1	2120.8949	ESYT1	7175.1763
ESYT2	2475.4677	ESYT2	3523.0842
ESYT3	26.6039	ESYT3	16.9252
ETAA1	642.4179	ETAA1	297.1321
ETF1	2497.7103	ETF1	3320.7334
ETFA	1542.588	ETFA	1889.2337
ETFB	325.3522	ETFB	2755.4302
ETFDH	585.7211	ETFDH	758.2511
ETHE1	464.4773	ETHE1	569.8166
ETNK1	2337.2149	ETNK1	907.1932
ETNK2	373.3264	ETNK2	465.2562
ETS1	924.5933	ETS1	3008.9328
ETS2	421.3005	ETS2	2647.1086
ETV1	277.8141	ETV1	226.0461
ETV2	9.1587	ETV2	22.1909
ETV3L	5.2335	ETV3L	10.9074
ETV3	385.1018	ETV3	132.7692
ETV4	61.058	ETV4	102.3037
ETV5	327.5328	ETV5	480.677
ETV6	2084.6962	ETV6	1293.8411
ETV7	82.4284	ETV7	33.0983
EVC2	69.3445	EVC2	173.7659
EVC	992.407	EVC	728.8237
EVI2A	163.1122	EVI2A	252.3742
EVI2B	154.8258	EVI2B	501.7395
EVI5L	350.6477	EVI5L	418.6178
EVI5	578.3069	EVI5	436.2953
EVL	10944.2191	EVL	3048.8011
EVPLL	5.2335	EVPLL	7.5223
EVPL	986.9597	EVPL	461.1189
EWSR1	3905.0983	EWSR1	4373.4838
EXD2	878.3636	EXD2	755.9944
EXD3	131.2748	EXD3	226.4222
EXO1	154.3896	EXO1	26.3282
EXOC1	951.1972	EXOC1	921.1095
EXOC2	1799.9041	EXOC2	848.519
EXOC3L2	27.04	EXOC3L2	43.6295
EXOC3L	37.6423	EXOC3L	97.9784
EXOC3	1027.9559	EXOC3	1460.0846
EXOC4	1455.7983	EXOC4	1466.1025
EXOC5	1505.517	EXOC5	1124.9647
EXOC6B	215.8838	EXOC6B	125.2468
EXOC6	1409.5687	EXOC6	467.1368
EXOC7	2755.8986	EXOC7	3287.8759
EXOC8	910.6372	EXOC8	403.5731
EXOG	109.4684	EXOG	118.8528
EXOSC10	1453.6177	EXOSC10	1253.2205
EXOSC1	423.9173	EXOSC1	329.8543
EXOSC2	326.2244	EXOSC2	306.1589
EXOSC3	564.3508	EXOSC3	283.968
EXOSC4	210.2141	EXOSC4	368.9704
EXOSC5	304.418	EXOSC5	292.9948
EXOSC6	146.1032	EXOSC6	344.8989
EXOSC7	423.9173	EXOSC7	551.3869
EXOSC8	235.6666	EXOSC8	277.3484
EXOSC9	363.3652	EXOSC9	404.9835
EXPH5	522.9186	EXPH5	160.9779
EXT1	790.2656	EXT1	1199.0597
EXT2	1762.397	EXT2	2191.2553
EXTL1	124.2967	EXTL1	46.6385
EXTL2	234.6374	EXTL2	271.9323
EXTL3	1073.7494	EXTL3	1087.3531
removed	removed	EYA1	7.1462
EYA2	630.6424	EYA2	588.9986
EYA3	197.5664	EYA3	59.4264
EYA4	20.9342	EYA4	16.9252
EYS	16.1368	EYS	36.8594
EZH1	805.5301	EZH1	1894.8754
EZH2	226.3509	EZH2	68.4532
EZR	9706.0491	EZR	4269.6756
F10	10.9032	F10	414.4805
F11R	6499.638	F11R	4056.8237
F12	123.8606	F12	48.1429
F13A1	2631.1658	F13A1	3980.8181
F2RL1	293.0786	F2RL1	161.7301
F2RL2	337.5638	F2RL2	80.8651
F2RL3	88.5342	F2RL3	175.6465
F2R	999.6075	F2R	556.2764
F3	262.1135	F3	1811.7536
F5	10.9032	F5	33.8505
F7	351.956	F7	40.2445
F8A1	91.5871	F8A1	205.3597
F8	307.0348	F8	1346.1213
FA2H	36.1987	FA2H	45.134
FAAH2	406.036	FAAH2	186.5538
FAAH	874.0024	FAAH	467.5129
FABP3	148.2838	FABP3	153.0795
FABP4	20.9342	FABP4	45303.244
FABP5	16.1368	FABP5	286.2247
FABP7	5.6697	FABP7	750.7287
FADD	565.6592	FADD	622.473
FADS1	287.409	FADS1	269.6756
FADS2	2420.0794	FADS2	3222.567
FADS3	140.4335	FADS3	2387.212
FADS6	5.6697	removed	removed
FAF1	809.0191	FAF1	851.528
FAF2	1961.7079	FAF2	1323.1782
FAHD1	715.6876	FAHD1	477.6681
FAHD2A	225.0425	FAHD2A	409.9671
FAHD2B	180.5574	FAHD2B	367.0898
FAH	914.5623	FAH	3685.9426
FAIM2	312.7044	FAIM2	164.7391
FAIM3	250.3598	FAIM3	467.4979
FAIM	244.2322	FAIM	378.7494
FAM100A	266.4748	FAM100A	430.6535
FAM100B	458.8076	FAM100B	821.4386
FAM101A	73.2697	FAM101A	67.3249
FAM101B	248.5935	FAM101B	757.4988
FAM102A	2617.6458	FAM102A	2304.4664
FAM102B	1244.2758	FAM102B	550.6347
FAM103A1	465.7857	FAM103A1	274.189
FAM104A	759.9372	FAM104A	769.7076
FAM104B	218.9367	FAM104B	232.0639
FAM105A	277.8141	FAM105A	327.5976
FAM105B	502.8566	FAM105B	338.1288
FAM107A	52.7716	FAM107A	2203.291
FAM107B	3498.6262	FAM107B	3059.7085
FAM108A1	218.5006	FAM108A1	663.4697
FAM108B1	349.3393	FAM108B1	263.6577
FAM108C1	584.4128	FAM108C1	193.3239
FAM109A	257.3161	FAM109A	391.1613
FAM109B	312.2683	FAM109B	336.6244
FAM10A4	308.7793	FAM10A4	388.9046
FAM110A	537.3108	FAM110A	376.1166
FAM110B	786.3404	FAM110B	297.1321
FAM110C	17.4452	FAM110C	10.1551
FAM111A	1458.8512	FAM111A	625.858
FAM111B	346.7225	FAM111B	65.8204
FAM113A	266.0386	FAM113A	452.0921
FAM113B	63.2387	FAM113B	270.4354
FAM114A1	1170.57	FAM114A1	629.6192
FAM114A2	899.734	FAM114A2	446.0743
FAM115A	497.6231	FAM115A	288.8575
FAM115C	476.1612	FAM115C	309.4988
FAM116A	939.4217	FAM116A	642.7833
FAM116B	265.6025	FAM116B	214.3865
FAM117A	266.4748	FAM117A	682.2755
FAM117B	744.9082	FAM117B	334.7438
FAM118A	203.6722	FAM118A	253.8787
FAM118B	226.787	FAM118B	299.7649
FAM119A	172.2709	FAM119A	170.0047
FAM119B	294.8231	FAM119B	309.1678
FAM120AOS	1568.7034	FAM120AOS	1277.6455
FAM120A	6579.4932	FAM120A	3407.2628
FAM120B	1417.8551	FAM120B	847.7668
FAM120C	416.5031	FAM120C	326.0931
FAM122A	512.8876	FAM122A	577.7151
FAM122B	835.1869	FAM122B	544.2407
FAM122C	34.0181	FAM122C	18.0536
FAM123B	131.2748	FAM123B	122.2379
FAM124A	12.6477	FAM124A	60.1787
FAM124B	29.2206	FAM124B	96.2858
FAM125A	506.3457	FAM125A	747.7198
FAM125B	206.7251	FAM125B	540.8557
FAM126A	146.9754	FAM126A	582.6046
FAM126B	598.3689	FAM126B	335.8721
FAM127A	873.1301	FAM127A	2745.275
FAM127B	472.3276	FAM127B	932.393
FAM127C	313.5767	FAM127C	508.1335
FAM128A	395.5689	FAM128A	475.4114
FAM128B	1002.6604	FAM128B	1506.7231
FAM129A	10563.0424	FAM129A	3816.4551
FAM129B	3167.1682	FAM129B	3324.1185
removed	removed	FAM129C	15.0447
FAM131A	196.258	FAM131A	361.8242
FAM131B	144.7948	FAM131B	97.7903
removed	removed	FAM131C	10.1551
FAM132A	23.1148	removed	removed
FAM133A	9.1587	removed	removed
FAM133B	110.7767	FAM133B	63.5637
FAM134A	3010.1618	FAM134A	3161.26
FAM134B	1182.7816	FAM134B	636.0132
FAM134C	2345.0652	FAM134C	2379.3136
FAM135A	71.089	FAM135A	126.3752
FAM135B	13.9561	removed	removed
FAM136A	633.2592	FAM136A	640.9027
FAM13AOS	23.6992	FAM13AOS	68.7315
FAM13A	187.3872	FAM13A	1376.3084
FAM13B	794.9889	FAM13B	718.315
FAM13C	11.1475	FAM13C	305.3164
FAM149A	6.1058	FAM149A	245.228
FAM149B1	588.774	FAM149B1	449.8354
removed	removed	FAM150B	15.7969
removed	removed	FAM151A	10.2567
FAM151B	43.1768	FAM151B	18.8058
removed	removed	FAM153A	5.2656
FAM154B	77.1948	FAM154B	19.5581
FAM155A	50.591	FAM155A	44.7579
FAM155B	46.2297	FAM155B	36.4833
FAM156A	330.5857	FAM156A	652.1862
FAM157A	18.3174	removed	removed
FAM158A	116.8826	FAM158A	136.5303
FAM159A	5.2335	FAM159A	10.9074
FAM160A1	108.5961	FAM160A1	58.2981
FAM160A2	639.365	FAM160A2	754.4899
FAM160B1	839.9843	FAM160B1	707.0992
FAM160B2	776.3095	FAM160B2	1249.4593
FAM161A	81.12	FAM161A	42.8773
FAM161B	309.2154	FAM161B	121.4857
FAM162A	923.2849	FAM162A	881.9934
removed	removed	FAM162B	52.2802
FAM164A	64.9832	FAM164A	167.748
FAM164C	52.7716	FAM164C	45.134
FAM165B	162.24	FAM165B	283.5919
FAM166B	26.1677	FAM166B	23.6953
FAM167A	94.64	FAM167A	55.2891
FAM167B	37.071	FAM167B	115.4678
FAM168A	258.1883	FAM168A	185.8016
FAM168B	2237.7775	FAM168B	3579.1255
FAM169A	67.1639	FAM169A	61.6831
FAM171A1	119.9355	FAM171A1	950.0705
FAM171A2	18.3174	FAM171A2	30.4654
FAM171B	434.8205	FAM171B	214.7626
FAM172A	834.3146	FAM172A	743.9586
FAM173A	142.178	FAM173A	166.6197
FAM173B	291.7702	FAM173B	345.6512
FAM174A	490.2089	FAM174A	388.5284
FAM174B	2079.4627	FAM174B	1170.851
FAM175A	282.1492	FAM175A	216.3084
FAM175B	642.4179	FAM175B	467.1368
FAM176A	158.3148	FAM176A	45.5101
FAM176B	323.2849	FAM176B	440.1241
FAM177A1	863.5353	FAM177A1	761.26
FAM177B	10.031	FAM177B	9.4029
FAM178A	1192.3765	FAM178A	601.0343
removed	removed	FAM178B	24.0715
removed	removed	FAM179A	5.6417
FAM179B	854.3766	FAM179B	383.6389
FAM180A	47.9742	FAM180A	104.9365
removed	removed	FAM180B	50.7757
FAM181B	8.2864	FAM181B	21.0625
FAM182B	27.9123	FAM182B	24.4476
FAM184A	20.4981	FAM184A	89.5157
FAM184B	86.9292	FAM184B	8.2181
FAM185A	162.6761	FAM185A	92.9008
FAM186A	7.4142	removed	removed
FAM186B	7.8503	FAM186B	13.9163
FAM188A	401.6747	FAM188A	516.4081
FAM188B	195.8219	FAM188B	217.3803
FAM189A1	128.658	FAM189A1	13.5402
FAM189A2	332.7664	FAM189A2	592.3836
FAM189B	932.4436	FAM189B	650.6817
FAM18A	9.8085	FAM18A	29.574
FAM18B2	338.7501	FAM18B2	195.2233
FAM18B	911.5094	FAM18B	646.5444
FAM190A	8.2864	FAM190A	33.0983
FAM190B	1956.0382	FAM190B	1250.5877
FAM192A	850.4514	FAM192A	1167.842
FAM193A	845.654	FAM193A	680.3949
FAM193B	356.7535	FAM193B	605.1716
FAM195A	309.2154	FAM195A	314.4335
FAM195B	1005.7133	FAM195B	1508.9798
FAM196A	34.0181	FAM196A	15.4208
removed	removed	FAM196B	14.2924
FAM198A	545.1611	FAM198A	199.3418
FAM198B	17767.0199	FAM198B	4798.4955
FAM199X	873.1301	FAM199X	302.3977
FAM19A2	13.0839	FAM19A2	25.952
FAM19A3	6.5419	FAM19A3	8.2746
FAM19A5	39.6877	FAM19A5	31.5938
FAM200A	287.409	FAM200A	153.4556
FAM200B	355.4451	FAM200B	494.9694
FAM20A	105.1071	FAM20A	395.2985
FAM20B	3530.4636	FAM20B	1712.835
FAM20C	645.9069	FAM20C	1470.2398
FAM21A	478.4334	FAM21A	513.7753
FAM21B	563.9147	FAM21B	825.1998
FAM21C	2305.3775	FAM21C	1910.6723
FAM22A	63.2387	FAM22A	80.8651
FAM22D	106.4155	FAM22D	63.9398
removed	removed	FAM23A	18.0536
FAM24B	19.4513	FAM24B	21.9727
FAM26E	143.4864	FAM26E	320.8275
FAM26F	44.9213	FAM26F	80.8651
removed	removed	FAM27A	5.6417
removed	removed	FAM27C	16.5491
FAM32A	1199.7907	FAM32A	1763.2346
FAM35A	727.8992	FAM35A	633.0042
FAM35B2	82.4284	FAM35B2	55.2891
FAM35B	267.7832	FAM35B	222.2849
FAM36A	1839.7226	FAM36A	710.1006
FAM38A	1384.3953	FAM38A	3787.2948
FAM38B	287.409	FAM38B	147.8138
FAM3A	389.4631	FAM3A	812.788
FAM3B	71.5251	FAM3B	130.1363
FAM3C	835.1869	FAM3C	943.3004
removed	removed	FAM3D	122.2379
FAM40A	792.0101	FAM40A	707.8514
FAM40B	122.5522	FAM40B	34.9788
FAM41C	8.2864	FAM41C	20.3103
FAM43A	60.6219	FAM43A	450.2116
FAM43B	8.2864	FAM43B	19.5581
FAM45A	458.3715	FAM45A	410.7193
FAM45B	166.1651	FAM45B	171.1331
FAM46A	450.9573	FAM46A	1007.9925
FAM46B	502.4205	FAM46B	834.2266
FAM46C	1901.5221	FAM46C	880.8651
FAM47E	239.9145	FAM47E	159.5449
FAM48A	954.5292	FAM48A	596.7466
FAM49A	16.5729	FAM49A	129.3841
FAM49B	1098.1726	FAM49B	990.6911
FAM50A	1007.8939	FAM50A	1303.9962
FAM50B	202.7999	FAM50B	329.8543
FAM53A	29.2206	FAM53A	24.0715
FAM53B	789.5722	FAM53B	1109.292
FAM53C	883.1523	FAM53C	1188.5284
FAM54A	25.7316	FAM54A	11.2835
FAM54B	884.9056	FAM54B	1347.795
FAM55C	734.005	FAM55C	628.4908
FAM57A	160.9316	FAM57A	174.8942
FAM57B	5.2335	removed	removed
FAM58A	174.8877	FAM58A	405.0776
FAM59A	61.9303	FAM59A	118.1006
FAM5B	9.5948	FAM5B	46.6385
removed	removed	FAM5C	33.8505
FAM60A	942.9107	FAM60A	677.386
FAM63A	1635.4834	FAM63A	706.347
FAM63B	371.5818	FAM63B	99.6709
FAM64A	48.4103	FAM64A	16.5491
FAM65A	732.2605	FAM65A	1688.0113
FAM65B	54.9522	FAM65B	251.2459
FAM65C	39.2516	FAM65C	103.4321
FAM66C	13.52	FAM66C	25.5759
removed	removed	FAM66D	5.6417
FAM69A	625.4089	FAM69A	697.6963
FAM69B	126.7696	FAM69B	302.5482
FAM69C	9.1587	FAM69C	12.0357
FAM70A	31.4013	FAM70A	167.3719
FAM70B	20.4981	FAM70B	80.489
FAM71D	21.8064	FAM71D	18.4297
FAM71E1	37.3414	FAM71E1	40.8726
removed	removed	FAM71F2	15.7969
FAM72A	15.2645	FAM72A	7.8984
FAM72B	85.0451	FAM72B	28.961
FAM72D	54.08	FAM72D	13.5402
FAM73A	1053.6875	FAM73A	446.4504
FAM73B	283.0477	FAM73B	497.2261
FAM76A	310.5238	FAM76A	276.8218
FAM76B	405.1638	FAM76B	208.3686
FAM78A	88.9703	FAM78A	230.5595
FAM78B	12.6477	FAM78B	12.4118
removed	removed	FAM7A3	8.2746
FAM81A	47.5381	FAM81A	17.3014
FAM81B	72.8335	FAM81B	7.8984
FAM82A1	68.0361	FAM82A1	76.3517
FAM82A2	1132.6268	FAM82A2	1226.5162
FAM82B	594.4437	FAM82B	920.3573
removed	removed	FAM83A	25.1998
FAM83B	173.1432	FAM83B	14.2924
removed	removed	FAM83C	7.1462
FAM83D	142.6142	FAM83D	24.4476
FAM83E	179.249	FAM83E	37.2355
FAM83F	207.5974	FAM83F	167.748
FAM83G	148.5281	FAM83G	86.0179
FAM83H	1731.8679	FAM83H	1093.7471
FAM84A	72.3974	FAM84A	84.6262
FAM84B	3165.4237	FAM84B	1591.3493
FAM86A	498.7003	FAM86A	381.5891
FAM86B1	103.7987	FAM86B1	86.1307
FAM86C	155.2619	FAM86C	162.1063
FAM86D	143.0503	FAM86D	269.6756
FAM89A	48.8464	FAM89A	396.4269
FAM89B	640.2373	FAM89B	951.575
FAM8A1	1726.1983	FAM8A1	1281.4292
FAM90A1	29.6568	FAM90A1	26.7043
FAM91A1	1544.7686	FAM91A1	632.252
FAM92A1	56.2606	FAM92A1	172.2614
FAM95B1	33.1458	FAM95B1	56.0414
FAM96A	610.5805	FAM96A	537.0945
FAM96B	308.3431	FAM96B	569.4405
FAM98A	1067.6436	FAM98A	1161.448
FAM98B	511.1431	FAM98B	275.3173
FAM98C	228.0954	FAM98C	251.622
FANCA	37.59	FANCA	56.5943
FANCB	20.4981	FANCB	5.6417
FANCC	256.0077	FANCC	211.7536
FANCD2	336.251	FANCD2	106.8171
FANCE	54.08	FANCE	147.0616
FANCF	736.6217	FANCF	335.1199
FANCG	333.2025	FANCG	292.6187
FANCI	771.6429	FANCI	235.3437
FANCL	239.5133	FANCL	213.3672
FANCM	217.6283	FANCM	109.0738
FANK1	404.2915	FANK1	92.5247
FAP	1166.6449	FAP	420.1222
FAR1	1775.917	FAR1	912.835
FAR2	130.4025	FAR2	145.8242
FARP1	2731.9116	FARP1	1362.6704
FARP2	510.2708	FARP2	301.2694
FARS2	281.7393	FARS2	288.8575
FARSA	1013.9997	FARSA	1027.5505
FARSB	1066.7713	FARSB	890.268
FASLG	6.1058	FASLG	9.779
FASN	6090.1042	FASN	16012.788
FASTKD1	368.9651	FASTKD1	203.8552
FASTKD2	945.0914	FASTKD2	766.5256
FASTKD3	198.4387	FASTKD3	88.0113
FASTKD5	422.6089	FASTKD5	408.0865
FASTK	791.574	FASTK	1125.3409
FAS	300.929	FAS	282.4636
FAT1	2072.4846	FAT1	4132.393
FAT2	82.8645	FAT2	670.2398
FAT3	50.591	FAT3	7.5223
FAT4	143.0503	FAT4	520.9215
FAU	3367.7875	FAU	7788.2464
FBF1	142.7537	FBF1	134.4579
FBLIM1	1473.2435	FBLIM1	1025.67
removed	removed	FBLL1	5.6417
FBLN1	10285.2283	FBLN1	14822.0028
FBLN2	2493.349	FBLN2	8521.2976
FBLN5	540.3637	FBLN5	3826.9864
FBLN7	130.4025	FBLN7	340.7616
FBL	1632.4305	FBL	3015.7029
FBN1	7624.4058	FBN1	8689.4217
FBN2	90.7148	FBN2	13.1641
removed	removed	FBN3	6.0179
FBP1	1037.5507	FBP1	1659.0503
FBRSL1	368.0928	FBRSL1	638.646
FBRS	1523.3983	FBRS	1474.7532
FBXL12	224.6064	FBXL12	377.6211
FBXL13	19.6258	FBXL13	11.2835
FBXL14	637.1844	FBXL14	602.1627
FBXL15	129.0942	FBXL15	228.6789
FBXL16	823.4114	FBXL16	269.6756
FBXL17	903.223	FBXL17	688.2934
FBXL18	242.4877	FBXL18	486.6949
FBXL19	563.9147	FBXL19	373.4838
FBXL20	216.7561	FBXL20	100.7992
FBXL22	14.8284	FBXL22	43.7724
FBXL2	258.6244	FBXL2	141.796
FBXL3	2779.8857	FBXL3	1589.4687
FBXL4	369.4012	FBXL4	250.8698
FBXL5	3159.754	FBXL5	3704.7485
FBXL6	217.2576	FBXL6	206.6347
FBXL7	261.6774	FBXL7	658.9563
FBXL8	51.9211	FBXL8	93.0663
FBXO10	123.9173	FBXO10	229.0889
FBXO11	1793.3621	FBXO11	1232.9102
FBXO15	31.4013	FBXO15	23.3192
FBXO16	181.4296	FBXO16	22.1909
FBXO17	51.8993	FBXO17	345.275
FBXO18	1524.7067	FBXO18	1795.2045
FBXO21	1565.7028	FBXO21	979.4076
FBXO22OS	64.5035	FBXO22OS	67.7123
