gene_id	TCGA-BH-A204-01A-11R-A157-07	gene_id	TCGA-BH-A204-11A-53R-A157-07
ACOT12	7.0367	removed	removed
ACOT13	1000.9942	ACOT13	670.3714
ACOT1	194.5296	ACOT1	1605.4159
ACOT2	147.9968	ACOT2	870.0193
ACOT4	8.3986	ACOT4	201.1605
removed	removed	ACOT6	21.2766
ACOT7	513.2221	ACOT7	184.913
ACOT8	174.5659	ACOT8	185.4623
ACOT9	157.5304	ACOT9	792.6499
ACOX1	2277.317	ACOX1	4450.2901
ACOX2	166.6099	ACOX2	442.1663
ACOX3	196.3455	ACOX3	474.6615
ACOXL	15.4353	removed	removed
ACP1	2559.3009	ACP1	1042.1663
ACP2	621.9498	ACP2	894.0039
ACP5	184.0881	ACP5	295.9381
ACP6	47.6677	ACP6	194.5841
ACPL2	996.7087	ACPL2	273.501
ACPP	9.5335	ACPP	6.1896
removed	removed	ACRBP	14.3133
removed	removed	ACRC	22.4371
removed	removed	ACR	17.795
removed	removed	ACSBG1	10.4449
ACSF2	17.7051	ACSF2	917.2147
ACSF3	80.1271	ACSF3	287.4275
ACSL1	2372.7159	ACSL1	40355.8994
ACSL3	5001.0215	ACSL3	2048.3559
ACSL4	453.524	ACSL4	2459.9613
ACSL5	98.5132	ACSL5	995.7447
ACSL6	5.6747	removed	removed
removed	removed	ACSM2A	5.029
ACSM3	12.927	ACSM3	34.735
ACSM5	16.1162	ACSM5	775.6286
ACSS1	1319.033	ACSS1	484.7195
ACSS2	382.7034	ACSS2	4497.8723
ACSS3	744.7509	ACSS3	1299.0329
ACTA1	9.9875	ACTA1	19.3424
ACTA2	5659.7526	ACTA2	10120.2669
ACTB	42813.9825	ACTB	74824.3714
ACTC1	55.1583	ACTC1	67.6983
ACTG1	57861.3097	ACTG1	39068.0851
ACTG2	73.7714	ACTG2	2398.4526
ACTL6A	1821.3597	ACTL6A	570.5996
ACTN1	2047.2137	ACTN1	5167.118
ACTN2	16.7972	removed	removed
ACTN4	4835.7825	ACTN4	8276.3366
ACTR10	1352.1734	ACTR10	1279.6905
ACTR1A	2949.9489	ACTR1A	3028.6267
ACTR1B	927.25	ACTR1B	1192.6499
ACTR2	10412.212	ACTR2	5416.6344
ACTR3B	348.6551	ACTR3B	92.0696
ACTR3C	26.7847	ACTR3C	9.6712
ACTR3	6008.1716	ACTR3	2809.2843
ACTR5	281.4663	ACTR5	165.1838
ACTR6	748.6097	ACTR6	482.7853
ACTR8	771.3086	ACTR8	451.4507
ACVR1B	1293.8372	ACVR1B	1187.234
ACVR1C	18.8401	ACVR1C	3649.5164
ACVR1	917.9435	ACVR1	1831.7215
ACVR2A	171.1497	ACVR2A	522.2437
ACVR2B	746.5668	ACVR2B	196.5184
ACVRL1	219.9523	ACVRL1	1805.8027
ACY1	340.4835	ACY1	594.94
ACYP1	61.968	ACYP1	52.6112
ACYP2	62.876	ACYP2	218.1818
ADAL	225.4001	ADAL	248.3559
ADAM10	2315.9687	ADAM10	1436.7505
ADAM12	714.1074	ADAM12	1151.6441
ADAM15	1154.693	ADAM15	3022.0503
ADAM17	765.4069	ADAM17	681.6248
ADAM19	215.6395	ADAM19	142.7466
ADAM22	218.5904	ADAM22	116.441
ADAM23	27.6927	ADAM23	88.2012
ADAM28	66.5078	ADAM28	27.853
ADAM32	6.5827	ADAM32	17.0213
removed	removed	ADAM33	1275.2534
ADAM6	644.7327	ADAM6	6562.9555
ADAM8	21.11	ADAM8	20.5029
ADAM9	7316.9901	ADAM9	2500.9671
ADAMDEC1	14.5273	removed	removed
ADAMTS10	22.4719	ADAMTS10	135.7834
ADAMTS12	598.343	ADAMTS12	325.7253
ADAMTS13	23.3799	ADAMTS13	24.3714
ADAMTS14	38.8151	ADAMTS14	8.8975
ADAMTS15	1236.636	ADAMTS15	465.764
ADAMTS16	100.3291	ADAMTS16	319.5358
ADAMTS17	13.6193	ADAMTS17	35.9768
ADAMTS18	17.4782	ADAMTS18	86.6538
ADAMTS1	748.8367	ADAMTS1	12831.3346
ADAMTS20	11.3494	removed	removed
ADAMTS2	369.9921	ADAMTS2	1284.7195
ADAMTS3	16.3432	ADAMTS3	418.9555
ADAMTS4	250.5958	ADAMTS4	1132.6886
ADAMTS5	200.4313	ADAMTS5	3165.9574
ADAMTS6	114.6294	ADAMTS6	68.8588
ADAMTS7	72.6365	ADAMTS7	113.3462
removed	removed	ADAMTS8	22.824
ADAMTS9	155.4875	ADAMTS9	1067.3114
ADAMTSL1	130.2917	ADAMTSL1	815.087
ADAMTSL2	55.6123	ADAMTSL2	89.3617
ADAMTSL3	378.8446	ADAMTSL3	953.5783
ADAMTSL4	22.0179	ADAMTSL4	2584.1393
ADAMTSL5	5.2207	ADAMTSL5	45.648
removed	removed	ADAP1	39.8182
ADAP2	202.2472	ADAP2	220.5029
ADARB1	411.0771	ADARB1	759.7679
ADAR	9550.5618	ADAR	5673.1141
ADAT1	466.2354	ADAT1	263.0561
ADAT2	79.2192	ADAT2	105.2224
removed	removed	ADAT3	10.4449
ADA	79.4461	ADA	155.8994
ADCK1	110.3166	ADCK1	130.7544
ADCK2	1268.3146	ADCK2	478.9168
ADCK4	260.8104	ADCK4	374.8549
ADCK5	43.3549	ADCK5	38.6847
ADCY10	15.8892	removed	removed
ADCY1	75.1334	ADCY1	261.1219
ADCY2	19.748	ADCY2	152.0309
ADCY3	1130.2463	ADCY3	2240.2785
ADCY4	81.489	ADCY4	847.5822
ADCY5	18.1591	ADCY5	974.0812
ADCY6	1739.4166	ADCY6	4070.793
ADCY7	266.7121	ADCY7	813.9265
removed	removed	ADCY8	6.5764
ADCY9	909.5449	ADCY9	948.9362
removed	removed	ADCYAP1R1	103.675
removed	removed	ADCYAP1	19.3424
ADC	121.4391	ADC	78.53
ADD1	6146.4079	ADD1	8601.5474
ADD2	14.5273	ADD2	126.1122
ADD3	967.2001	ADD3	4581.4313
removed	removed	ADH1A	837.47
ADH1B	19.5211	ADH1B	82820.8897
removed	removed	ADH1C	332.3017
removed	removed	ADH4	59.1876
ADH5	1693.3379	ADH5	5107.9304
removed	removed	ADH6	5.8027
ADHFE1	7.7176	ADHFE1	644.4874
ADI1	674.1573	ADI1	2026.3056
ADIPOQ	27.6927	ADIPOQ	92545.4545
ADIPOR1	4259.4484	ADIPOR1	2219.7292
